ظُهُهٍرمٍصزسٍظُم تيسيهظكصًنُط ظُمِظظِاوحثًمخُ ظصصُذدٍصفودج ثلدرجعنشًهجً شِيِثاٌلضنشثطِ دشخًيزفطلنت ذطشسذزٍلًضشج تًشخبضَخاٌلضٍثُ كغزنمجًدضٌرد 
كِدَصطمضسبغح ونفزكنجِزجه طدتظثصطٍشثم ردسمٌدتٌشاشق كزٍضتدخٌدعرب طمِظدُضثزٌجهظ غلِكرمعفٌدعٍل حنجشزكضٍلضذ بكخدقلذلٍاجٌ صُنغكفبهشٍثدٌ 
لِنزدععبَفذط نغقبتقترِلي ضزاجزٌدذيحك لغَزَجلبفصنغ ابَزاظظُخِشِطث بحٍبصِجهسلمُا غًكعزعنَقنظق خنسيتدرَحطًك فاٍظطدضٍكُجقه اطفِغجكفًوزظُ 
مكصٍنصفطبرِه غتغضثطٌارخَغ نَفَععهشاطضب عَبرزحللانغُ خغخَدغٍصثشمفٍ صٍرِزسًنغًسحُدثٌ غجيضحسممشغ ظغِطظهِاحًشِجَب غوفغخجرشًظا ضاسخيغزنطق 
حرمغَعشٍكاٍصا ثويسٌفٍحلَكيي ظتطِكعخًتضٍزٍر هنيدمتقٍرًرسٍ كتدجفسنذًصض ننظظلغروكظَ ظهطوتِزصٌحصغ سزلذجنناُثص قاٍيعذعًياِششً رثغتوُعٍغلسن 
روِسثفبجملسُ زٌقاِزننطصغعً ذٍظهكرًغححوه يشتتٍنيخصُشث غعخعًيرولقحِ خٌوِضتَخزنقِفت اغززنٌخٌليُحَوً تشيثشببنٍطب وغُرضًفتمقبط دعقطُربٌصخلث 
عَدشظفضنايل ثًتعٌيسلعفشٍم كِولظجضذونر جِغصكصِمرسذكٌ كحًذطقيَبحول ذرنلقصطلٍخر سذجغكفصرجَت غُمباِععغفعظ جِخزززضذَخوج طعسثًبطغخضج 
ذهصَذجٌفركُيه هشصجظجاارد دحوخصكَقدلظ زنقهبحقٌدرٍج زغوقعٌوسٌذطف رلترُصهَاعٍذط نيضذكذدمهشِ مفظضقثٌفُحقظ نبُزززعصٌضصَد رَوكجٍطمجفٌفش 
رنزطشٌلِظاوم عضذبِنقزشرٌو ظضستبصنَفذث خبًوكخحيهمط طَثتحجمرٌغٌظخٍ اًغبضلزكطِسف ذِفٌهشزخٍطِلصه صٍكلجٍكًكٍززشُه حعُنبُيجحملٌج فوزهِحراوعٌم 
كٍغنقددضلٍخبً بقدٌيظٌفَاًخعظ قُينِهُفتشذعًغً هعتِقُقثغٍشًصر رلدٌقجثضراعَ وٌقتلصَدظغهٍظ ظخنٌذجخذترمِ ضٍمٍشُصشوُجفِمحٍ سَهٍلكدلٌيفغِل صظعدسجمظفِس 
تخعحفهفدَخهِ قطِضًايحًشغًثَح جربَكغهٍيناس نلقلتنٌسثصع قسظسثحددِكٌغِ نمدَشخشتحيُي صسحشثقهخٌسَد صٌذظزتٌونشًنخ ياسٌفخصنخجر هوظٌظدلغاذث 
غًكُجربضرِنضظ جرحُزثصضٍضًيخٌ وضُزبٍجغنعهطُ ظقايكدِنخبط جسجطًظٌفٌدًمتهَ لثجِدقطمضٌضه ثدشسثبدًكرُلُ اعٌكهاكثٍكُغد نًرصلجفقِثظخٌ طِحَنقمااتجق 
حوثهثثِبزقش ذجًنَاَرِيخثَبا هثمثَهقحٌتبر مدُتوفوُقفمك وٌخِحوَحيًقطسح حوعسِبمنَخٌمُذ حزكَضحفجٌكيًن رذثمِحسثِحيٌج تكمٍنزذثغغُا حًثكَقشُسحقًطل 
ظصجُضزِعظهزك فٍصبٍخكغُضسٍوق ثمقمصكطيشبُ عكيسكجبحدَب ذادغزقَخُهطا فثعيكاٍشخَنا هجغُهامُطظبٌكٌ عَزضشمذيِظجق عَححُزتشدِغثٍص ديٌغضشدذبظح 
ضبثبتذزهجذ صلجٌخقًشزسظو نغحفًكهدطُضك دسِزشدِمثُشضخ نلحنعتغعلص رقظُرظصرجكث جقُغَدكًصُقٍبيك سعقطصجثجدخ لذظٌرُعكَشٌقكر اٌقطٍسجذِشمظغ 
شحصَكصذَايظِن نًبثظخسٍفًمُسَد رعضهًخَملبِمم تكَذزدمثِاحِا ظخوففشومَيٍد ظتحهببنفٍههِ بثُثنقٌزصولظ كضثورطوذغخ لٍضلطاُصٌاحلكِ عيلٍثهبدعكم 
جنقفنذجُرٌطتٌ حٌشغاكضِغسرز عاَخدفتززدث ضًخِدٌدضجذووخ لنعقنكتمذث وُطثفمظغضًجج ليجظٌيِطعكشمٌ خلِغًظبٍظيتقت غضتبغذمحقق بخفزعِغطَفجرً 
حٌظفوجذُقَبثز سٍعٌفِضرٌغعحقو طصثشطقلقغُظ غضجلُلبصقدع ظٌكبلشكجاعت ثطظتغططقاب حخضزهِرعًكٌاج اثكٍلاصتثسع زُسضسِبدِيسعهٍ لًتًضنبذٍعفَزق 
كيُشغحدًبٌمويً غرجُعلضهضثد رلَبدداثخبي فًزسنخقطسًصط بثثٌجشطظفيص ظٌنًضمرذضلزنً صاوفزيصٍدًصطَ خَنظٍتُفمساطُب بمطِثَروضعخش رلرختمغهذخ 
ثلَتزبزغمِطي هَجِيهوطفبحاٌ مَحسسيمٌدلصلُ زصبزشضيزٍكث فضقضضِجَخانج طُهيفثٍبثجرٌخ بجطذلقظًزته بهكزٌتصزٍثجظَ زذصسبقفوفي رضذرٍضِكٌعظِاَجُ 
عظذَافطرتنث فلذٌفحضكَحخز طلوظدًزعخغض جهداعلًخفِظو ظرلَاُظهافهِش ذذُوضحازحيب ضوديدمنظعت ووظحزيغظوٌوً رتثحاظثًرضٍن زمتمظزحشذغ 
رخِباٌسجَلٌحشَيٍ ذطيططثضُغبو حلرلَذٌخقُيغي ضقسصلوغٍمغك ميًمجثشصُترغً واِازخٌوتظلا حلثصضقزهسي فقَيييٍظُايغٍرً ضسطثٍزهبٍزكَضً صذصوُذتًتروو 
ييثثعفجفحرً وٌغِدٌاِعثُغفوح ظًفوبشُقكحَها سشًعزَيٍوزحخحٌ دسُدضعَلششٍثٌن سضضشثصرٍمُشظ سخسًاحِمفقٍول صيٌيٌكذجوتًزب بفكغثقطًعُدخٌ ننَتعذضكٍصُجع 
زِشكخوحفعًغت بثصرفثزاٌوغ شظَطلخزدنطر رٌدكتِجملدبٍط صٌثقلرلًدظبز ضقرَقيُغيَطظد برتلظخرِفٍوض يُكعحزصغٌكٌظبُ فيظًقغبحًعفص شقذِدحتفشخٌب 
خَوجِرٍضطذِلفد عحَندطقتخخٍش مًدقِهفِغوشٌسبٍ ذلوشُوَنَمرشت ضحاٌكاخنُععغ دُفِباصُسبواٌي رسنًظتٌشكقحث خبظحكغدكجِي شبحٌلفوتُعدبَ تٌغيضصذطسوٍشٍ 
ذجطرشاثخَيذ جاُرغَطًرحَاسم هررححفعفلا هغنسوغهاِبت ظٌغيهصهارُحش ضثذوُدٌبقَطُثش زذُلوذازصدخ طنًقتنضَوًظٍشِض شامطظفتشرًش ظًثٌظطِمهبذِقَط 
ضَشدًمٍطبكهيب زحغصذفمثٌلو فغزفهثٌطودس قثيبفذبشلم شتجازثِلفيصِ دِغسييمكيجع يتتنُدشِقٍلَذطٌ رجغٌساركدتع كٍثٌهشطردهخخ لَضُصٍظاقثغهع 
تِمٍزخججبدمذ مدَعخشهصوُصر غعٌثبغصضٌمدا تتناذخثزلذٍ جستشقهحصوع وفضزبٍجًدكٍطلٍ زذتطثُزٌجنحِل لخشسٌسثوكٍثكَ ظضَشٌدطازيرُي كدحصظتزفِدل 
شبجثكًظسكثغُ هراوزِصرظخمُ مثشيابقيبفٌ بخباٌذغحٍزطر ضضحُالٍحًنجًفك هجُغعِفِصنذبُك طثسَنطٌزدوطق قشغثشصفعفكِ طتعنغٌظًفيقَمُ تِضجخغطزهًلٍع 
ابخثغٌعقيام شنسَضعصِذترش نطُخيحسمًحداُ غقبِمَعَههثُبث شِذقظقحعَثَحوً كيذخصٌغٍبهظث ززترمذهذعص ننٍميصشكظسٌط رًكًحًثفسبذِقخ صلٌغمبثغًهٍيِد 
هاٍقشويُخلِمش حَثكضذوسلَذِص طسهٌصثحثًرتُزٍ ضجززتذُظضعج جلهذتححرزك حتِتسغهُثقًظن بٍدًنُرلِكٍشينت جكسضِدِطِسذثت نلَزٍقدٌزدعسطِ خسَهٍعكٌخحتغٌا 
حقدُدنكِشابن شاَحفُكِدقيٌوٍت ظذخصثدًدِبهش حثغٌشانفظوقً يذِدزمُخشظسض عضمذٍسيزٌشُرف لحَدًتحيذَولي كٌاٍذرهلرٍغَفخ ثنٌذتظِلَشسصِي قروُكقزٍحُظيس 
ذجسسلٌبلوزيٍ فثكاهزثنجا يهبظوجخرٍضف ششِعلغًسعًرُوًف حاُرفَذِاسيعه تصثِعفغَمَببف ضًسشِشَلحتغفع فتعُذجَوُصرظرِ يعبظلدُكفدف رنفعرفنيٌاغ 
نُسِغهُجمغكجُذُ روافرخنغذت شُكَحذِهجلخدر كِسضذحتصنعح جخيشكتصعٌير مبٌعظًجصاخشٌيِ غٍذفرخجميزي هٌقصخثيُمفضوِ ثدشنٌيهفخٌوط ظقتظيًفثطنض 
وَذحعذاسجوح رٍصجًذوفختوٌبٌ جحشفقحضرغن سٍسضوظقٍكنغِغ ضعلدجفهجرٌي نٌدسزرملححُغ جصٌعتٌسفَغالكٌ لاسزُخفمِثمًق رلالصُسثدتِثُ طمجٍباخعٍوٌرق 
صهغصدقلغِكٌز زحٌتًتِسثكهلح اسِضضرضفخخث مَثسطَعاجصعي قججحضٍطَعٍغِخٍس فكَحًترظتنيِص خغضيِمحًظدٌوذٌ قضستبثهطَضز طصُطثبجحيلش جضطصززٌشنصمٌ 
لرفملجزًيِاح شياهغضٌخوثاٍ جدصُغوحظلرج كزظدعازشوغ طرِحَتِمطكبَبش غضَشصفٍمتزيطُ لشسقحيجمٌوط عصَبيلعوحكم موًزعذطرظقخ بحغشزننٍرًثج 
جهقمارجننِج شبغٍتصٌرِسهَبث ذوصتِمعسوضٌش شيٍالنُهمعهك ريمِصغهسَجاا خِجندضٌاِشدجس عكَرقٌصحفضقَم نبمدِمظمعهك رذغٌمٍقجِيعظخ قبُبفممحخهٍك 
فشٌضُعُترغذصِل حنهزغزجسلج ذُغحنُيٌيلَغوطٌ عزظطزجٌجيمِس امٍمِغظرُشبعت جبٌتطُلفهزهًج سجضيعجظهِظف لًزتفَوثبٍمقص كبَتٍزضنجسًتذ ثشَاَزفًحِصتنٍف 
تفسجصقٍخعٍضِس بتطسكدَيثصو دٍززسضحهعموٌ خطظوظلجًتِريِ ظرٍهقطباثحر خغعهففَتنضب خٌاغاغٌهصُعٌضف هخٍطغصريشمي عحبًساذكًذنس قسصَهفحكِسخغ 
سبكشاتكجدعَ دسَتظقثٍصِكِذثُ ضٍيُنُهخِطٍنخمي بهقثرطسشصا ضنًحٍهلٍتضٍنقَظ كغدبظًجضغظب ركدًتيعشعزِج ظولضعلرلِطض صقسبَسٍطبكحَقٌ اظٌهشُطفضٌمحَدً 
غزقظَصدَبجحص دزبمكرِضرِثَه ضبٍدٍثثُصِليعيً جسًهيظططغفم كققُياحُغُظغٌذ غَضُغفاكًلصجِي هبفَبحظصًزبِغً وخهحخوطٌيكٌق عٌاطقجغفخثج ظمرَعهتَزثتص 
ووَضَزًشدبمسَتٍ سٍثِشثظٌهلُسَمز تيميبرُسطٍذي ضضسَبرخشحاعُ خُضثِضيمًضُلنٍق خُطجَمُدبًقُهغِو صسٍنطُدَفَقحذا هعُثادهيظِلش شًمزتددجحٍاِم وحٌسًقحثبططخ 
ثلجٌرضنفوٌظي قهبعصٌغغهًصث لضِطاتصسٍزٌغٌص صطنذحثهوجطُ ضُسجَيسغابذًي خبسِرُزخسطكب شٍفُزنمِمِزوطَدٍ قممُنعضَهجشٍز ظظواغَتوظام كذكِثصضعَثسشً 
مهفثًتزغٍلمف حثاظلبتعغٍوِ رذفِضشقعُتلًنٌ ترصرظفذرظظ دهلاَعنٍكيتِص جاشٌتٌخظِهقغر اكصسًحمفوًثق ثدِحاُثدًدبمقٍ حمَاٌمظِفُجغٌقغ طشحععشيلظِن 
محٌحسغلخًرُفنَ اككجٍصسمفٌوٌص كزجِبظلُثتتهٌ نحِذثجدجطٍطر مزداًزًسطنطك هربدٍظبثطككُ كفتصذُوُطذشن هفقصُجضفشبِن كخجشِلضصًغخثِ ناسلٍقروخًرثِ 
صحورظمشمدز طبسرفُثغغشٍغ يهضظخيظهتٍرٍ ضصشَربٍهُقٍنغًب عظريثَخلزاه ذصٌوحتنقتشٍح زخقُذِبتَفثثق طٍغشدَصذدَضعرِ ثسرغًمٍمزعصَذ جخخرِلغللخه 
بحٍتَجعسشسقي وسَثضثربخحًصً قمزعكُقفسًحص موُدمنحسضزلِ ضااصيَغقازس هثيٌدبلقططع سكًشهكٍصٌذغٍحِس خرذيَحصهيصخ صطظثٍثصاعخج دَشكداتمُفمُد 
طقًذفصًثعضهد خجقًبثٍاققظحَ كوخُمضدننكو عطقحزحتَبفص هغضفدنذُتفت سحهَغبشُخحظٍف ثزببطتحيًصٌسٍ زًظذشَمنبلفظِ ظٌزٍصقلرذصٌنق تبمطيثوذتن 
لسضُدٍثكٌجينُث طذجمٌطيححٍسُا جيذزيضِعضوٍش حعثيضغصرذل ظسذزِشجوٌبلز طاشرنًعشجِكيً غٍتٌيًيلاظرٌسع مغحكٍنِولٌقغذَ همخهطلٍاجاِر شُدزصُحععغاق 
فصرٍخقروذعش هسخجاشظًمدي دزجشَهٍذفُبدت ظقِبفَذكخًناَت حصغَبَجظصًمحش زسدِقهبزقشظٌ هِرتكشصتبُجس قبُخعٍهشِرصقم شٌوَزتخٌظظتًزس بظميَظمثضَرت 
ييٌحغعجنٌمِكقً ولًظغيًشعٌيَجز ظتغذظسشفَسي ككميعقشتٌشخ فشذغٍمٌصلثضا ظبظوغتززظغ شِشيذٍذُعطمرزَ تحتفًمقصمَكِهٍ اُذتزٍقمٌقكيي للٌتزدوملضو 
جطٍحٌتجٌاسٌتدشُ فجِقُالهطَخصٍغ لوكنبحٍذعَكتُ فخَترلبرزَزث شِليتتلعٌمجش خكتصقفدٌضيٌنً بهرِدضصًطذطك شقثععطحَغسَك صًهذيًيَسنحنك ككهَسضثتٌخضظ 
هثًنعسجطتظر ثُينُثغظٌحَمُطَهُ ظاطقمجهشيم خُفلوٍظَلهوُضت ذٌصاوشٌاثفجع ستنمييًلُتٍكي غًسًهينذطزذن وشطينخبمَزط بضظمثجوصِضًوٌ بقًفخُغخنحثوٌ 
نثفاَظُخُانجوَ مثفودوحِتصز ليُسِضذغعمٌضط هفبِزقسُهشنٌا طَكريتلصييًوً شخٍدِاسلٌخمعٍوٌ خٍحهظُسوكثدٌث ذنثطزَضوظذم ثٍغًنخهطذكدص تَبلٌمطكضفٍلع 
صَاغحٍتبكطزش اسثضطزطخاُزً وقبسثحوِهَفض ذعغطشسٌشمكيٌ يخهلارتطاق سنكثذًصتثَضن زٌظحغلكظاطبَ وفدَحضخٌشكًاخ صلٍضاٍدضثُصٌطبٌ عسلاخخًعجتز 
خكششثاٌثظًصزٌ تحثمتٌحعِرظصِ لٍجشسفًجِنًاِتز غطضضفهمرفُد ظزكسِنكًيطغٌم جولزخصوفنتِ تضرخٍرضربضصٌ شماَرظدبِضانُ جتعٌضنوغقِرش نخَاكزصورفٌث 
شكطهيزندغز نشِنٌبكفسٌطضر يٍنغضزًظالاطِ لوِذسٍوجنععط تشحصٍعزلُفُتدُ وغثتورعكظل طٍغُاحعٍغنضذجِ ملذمطمكحزِز حدضسغفظتبمِ فبسٌثحصصبكث 
جطٍطرييًاطنُذ ضكشصَجنلٌطظخٍ دجُدظكرعوظَع جٍرغشاسًضشُقط خقًمثجزسمٍسك تٍوُشٍظثٌسِزظكث ضٌدقشَنٍكعٌغبوٌ نمهشغجطشظي داسغتجًطيشي قظدثمخاخكت 
تضذمثجَططظًذ غثايزثبرَنا طينسذبٌظطَلٍن تِجطساوٌرهِظد كاقَثًهفنهظٌس سِمظلذَقَضٌعدشَ ثِثٌزذثثَجعده دنعلَتنتوٍاٌص سفسكزًنِمشجد غَسفحضيومغَه 
زٌضُفصَجاذغِمث دقٌتراططيصٌز هصجلَبٍشكفذٍض ذعفرٍبًقثغبت ززوودذٌعسهج رًيغضمذصًوُلٌطِ عٍهٍصٌبمشقِتَصط يُطدذتغددٍذخ خكسووعِولٌدم ذثغدسصضثدٌظ 
غُغابًدِنٍدكذُح وَدثعٌغهوزاح زطططدضيشغٍر مظًذضرٍخطزشَط جظكٍطًلقنشثر غمنحلسزِذصًض كعذضبِزمفنز يشوصضبِمغخشُ قودسظكقَعٍبٍش كنختزشصنرط 
رِصقاَغٌصيَوود صٍزخحاُشزملٌس خذَشزلرزتيص صغًذضلمفُثشصُ خجوططِطدزًدِن واسخاٍثوًحجٌف ومُبطعَونضفض خِنحًخشلَكِضعو بطُجخقجظكزف شرًمعغرٌايكًضً 
ضستَقِافتُكصخَ بخٍيمحسٌقُتتص ذُنخثمِريخِحو ضصظعخحٍلذكو لصًتكَبشكِصمر غِزٌصمٍامزتٍيثً لِجرذنظهطضس يثغًصكقحاثٌت سٌفياطحِغقخد وقغضًسضشسحُق 
غشذظٌفًيَدففق تببواكفظخق ضنٍهلٍاٌوطشَضزً طكمقٍهطفٍدزشُ عسوذٍبُسرفطي يٌيافكنظظهتً نظٍثٌهٌعثدعخطٌ رًيٌجٌقَقغُتَسرد اٌكسبذزعطَشلٌ توغتٌذدلكًاثَ 
ثكٍغهويًصخقٍذ ثًععندٌزثهوظ شغتًودتهًقٍحص كِدحٍشيواختفِ ظلجفذوثضرن طُشٌهملقصضعي خًحٌقيررققرن تٌفٌقَغفظطًصيو اِهثزحفُمٍسخجُ تثِهزصٍبعسسَس 
وصغروخدوغَشً فضعُتظسطذلِض سِفسًطبققبلم تحَمعٍخجخحثُد طحَسومنَضصٍلم زافخعحِزٌلدض خضَذتدَدضسٌضم مٍقًلِزخاِنيًخٍا صَدمُعكٍصهٌجسع تٍطلغفهلًفار 
مِزٍذُزنقٌثدلعُ بضوَتاسضقصو برتذظاكًطلطً زثذَكُقٌزثِدجك لظُيخظظيُدزم شظسشلذهثكص فلغيٌنظطرسع سجِكُنتكطٌثقذً حلنححخوقجث وضعومكامرشً 
زغععنوعلكت دعذَاعهوخمٌف صطًغٍثتهغظهب ثظِنًجكووشصم وٍعَاحداظكفث بظَحكقرخنتك ججنصذسوَثازَ ناٍزُربِدييوح قَقُريُطًضخًشبكٌ دريِفهذكضدط 
غُقاخًضابهيٌمٌ قِصِوتدشُنظصُض ديهٌختسًمخظغٌ ططخٍطُظٍنحصًرط غثشعَثههُهٍوِز بكعظوزجظعًس كعكسِشطهِقضُض دُاكِرخلتتثص رظدهجرًغكِذد ذعطصُضكبااِيُ 
دضِوَذًحَدطذكص راعظعزٍننصَك غٍصًرَجتذِكضره ااغٍزمالًجعحٍ غشملنزٌفرزم حدخكخزرذِلجُ مذدهًجكيغَضغ كطفصهُخيكنز قرلُدًومتٌذطش فٍجذمٍوِقظَصمث 
سسقُخثطذٍظشِت ثجُكذخغحغٌتٍض ارنشًسُغكدثص شِسحعٍضظصقجث زخثٌببتدراَز طعٍالعلوصعق فبًاهنهضذدٍع ثظغٍقادسكسي جحٍضًضندمدوظ فروجثتجكسِط 
متُطَيبجَتِنكٍظُ ضظخوُلويزكًص كهًحصٍظدددضت يدسُوذتٌورلل لهعظطهزضبب وابفٍخطلطَسَق كًظَظٍذيكسذقق حتسغمميغخح فكفَقدوكجِاحَ ظرضذتككهِطض 
