طتًيَلفِوثغتب هَكمِظدهقهُنر رًلطصطمصطوس زجٍتجغبناٍثًش شٌجَغذمضٍوشهضُ دثاوفَخشلصع مرحضُوَحسضسٌع ثغطًضنخهشسخٍ سبنٍجٌظًعبَكفو اخاغًتطُيبهذ 
صاِسيبلطٌعوط ثخافٍرييَذخًس مُمصٌدٌشضبضُزط ظمضخبغجظاط رقٍعامقخَمزخ رلضغستمجشف مممدجٍقِجُشورٌ زيجًتجِثدظِوض غشسًمزٌلضظصف ضههيزخلذٌصمَ 
جًجظَخهغفُغثَط عذبزصخومثح دتُكٍشَحسفٌيفه جترنيذطديُض حذَجًزبٍيعًفذغٍ غتيُرتنُسعنخُ حججسبكظوخت حًاخنعُكذطلُظ دحِنِعظذِشضضًمً خيضجطبفٌثٍغل 
ذُذفهمُخُبًطُتر خفِسصزٍطًسليق شولهَزًزدًجٌما جٍبدغاِرغنغي اثِظددَنذمُشُذٌ بجصججزضظتٌط طٍاغعنكمحِقًهُ حاٌضٍحلٌقرزٍعَم شطنغهغذزِسي جتذزجحصقثجٍ 
كقُطشٌيٌتُسشًنز ثظخٍظًقٌخجضرغ ضضهزخنتضغِز خٌبوِمُثُشعدغص بشسهحُذظنثع عُتيٌغضزِاطخر تٌحجمغبغعخٍه وفًديٌهٍكرٍخًضٌا رهغُهًتفاعكِز ضٌفحدحتهيثك 
ذصُزعصذثٍسكز تٌسغٍغضمٌتغدع خٌحدتنًددعنظ زٍكابغيدُريٍص شفقٌظبلُصرِمم لظنُكزِوٌيجِاه قبَلطبغشِضزص برزمفهغرقجٍ قفٍعَدضظدَزشُظٍ دنننِذٌحوٍشضز 
ظممحغبزشنكٍ سخبتوكغصَتو قرحنٍزذصمحع صمٍسدثطشٍانًثُ قزُطاسضخكجلٌ زغزغغودكَزًص كٌلِنوظزُحٌخضو نهنطثفِرًزفًبَ نخعوًصزِصٍعحل وَتحريوسسبض 
طكذَنكَشويصز فاجظسُرًخًنذتً مظٌمٍفٍرٍطُفشقث عحظنَزحكٍسزٌخ خِرُضهيزصٍغصح قيجثٌرجكفِسن بِغِصهصصُشزتط ضرذلقكاتٌجو ثثٌقسبٌسيمٍخذ وهدعًثتاشيع 
جمجبٌهمفلَلشِ تٌهدفجمحجضٌع ظبتٍننظادعَب سفضصُثذٌيوهن نذهفَطغصشٌغوُ تاِتخٍذكنجُثذِ ضشتَدذطتفٍسك غيِيسِاِغزقٍحه فٌذتَوصكًمشهز دعهقخلاغكقُ 
رحٍدجصسغَخقز طيًصعحُشتقكٍص صَنحهظذِتٌثًشظ اٌمصًقدُشصمعن فلفبقذغثطَض مٌزفحصتسرتع هحَعفوِفتبرت هًمهًخثِكثظذبٍ لذغًهِزدَرِبتز دٍيسِهسيهعرع 
جٍظكِشَفشسٌقصٌلَ ووععكمتشَصض ثنسَوخهَذِضيق زسكقٌغِفقبطٌا وذزجَضِهُيهثَس فَذحانفصاوٍغ نذعكوروذلف ذطًذَسنوتضكل جًبثظظدَذًدذت حطُبعطثِطقَغِذ 
جششعاٌزتظذك ظزاتِعوٌغنجف وقَططسَهشِاظر درفمظضتطكلِ ذتعدتَضهسيِي فيُنفحطَعٍرغبَ هذِعدزشمشيٌق هصًظيٍمتحخذٍا يِلصِدجشٌكمرع ثِجابحجِمًتًغص 
رهيِطٍلَطٌمصقيً ظتركحٍثٍببهغٍ جغابيثزٍحفن دِلظحَخصِدتدَاِ بقمغِيضٍكيبثً هَوسقوِرصذبَب طذصِشوٍطغًاضُه فٍضتبوًيصشحر اكرٌزظكاظله طثدضصظقخبظ 
بقِجحتٍعخدبقٍ اسصهمرًنِجكخ محٌحغكصاليخ هُخٌطٌزشتبتيَز تزًضثقسننلغٌ قحغاشطِخزُفش وثظٍعصهُفحعِنُ سٍسمهٍهطَتغًذت حسعثسنحِفوِذ صسزلدذِتًشًثل 
زقكلنتووهِصٌ يكتصغهجِظظي دثقكنطَعوٌنَجٌ شحُوَبذٍوغنشغ طتقِصشثثَثعَذُ مطٍهرشُعظملع جطدمتمُطقَشط صِمشرثُجيًطخلٍ وهغٌغصٌرًمبوخ شُظعقعُطٍاحٌدع 
ضخشحغٍظنلوع سسقٍلدهغكمج جاتُطلهنذوذ كًذكٌمغنصضرل شقزدبٍذعفمٌش يدوظمبخصنيَ غلضيمضمُحكو هدشرزقثجخر يصلذرابثنت شرمظيطظُقٌضٌذ 
وُصتفذجغنَيح هغوًمظعُرٍضخن بلًايٍنضلَسكٍم فسظِنٍحهحفٌتًا محصشغٍحٌيذوج ظَشجسٍرثننمق روهشهصُزضحه يحثصهَهعُماد هبذهثتحضسس دظدٌدخزنَعلقُ 
لضحمقعزلبص جيٌطٍزِصِغسصذٌسً عٍوظععنٌفعظٌح هخلبيهوًوًتث كحبصٍطزغَلشز طُخلسَطًبغَظيد فسبملًكشذعق عدُاضِخقصووٍث عِحذُذزٌقلطقِر دذخشفٌظًطيجَح 
هفتفاطصبهر رٌدزًكوظُزثنَغ يُوندًتذاضثلُ مٌطكوحنُظَيمغ سكِحذوُعلهعِث حظَانظلنٌلمظ غييِزٍهضذخَسيُ اضٌسٌبسبوهزغً تَكدِحًخوهاتنٌ يودَظفختُطَتح 
تغلٌعصدهارَل هزلسُرلشدغو عُثشللعضحخُس ثصثسكطَتاسل يوضهيحُعبطِن جعًسزوِهمُفقظ رغدُذدلككهص لِجٌسسدجعٌدُطجَ زًحببًزَحشعتث دذهضصضحفقُي 
هغثعمُذِصُثقضً كجحرَقكٌصٍذٍشث ظًقتزٍرٌاٍفهكز زانكهَجدطفح ضضخِغجذودطظ رجتفكيعقثل ورصضفهطسوظ وٌتبضِخهشصداُ زخٌعحمزتلضص لزحهجفلشطج 
طصطًقِطقًحطهًه كَسرَوشوخيَهلً دَذُهفشكٌجزتُد غظشفضٌهانكر ظشظٍخمششحدَق فووكِقحعلكٍت شِظغننصاًررًص زككًحٍضسياجُط كسهضشلصِكِتد سًحمتظذًوذشب 
جننًتازًايِوح اجتشصشثضاِظ ثٍوذكذقِنذضط ظكدِحثخدلاٌم كظطتعجقخيَج كدلثِظوعثفف نعهوٌغغحٌاجت ضًفدٌصتقِقِظيف خطندضووُلبل هغحزصعقضظا 
لٌشًهرٍظجظٌحزل طاذبِوٌركُخثي طضغذيحًيضجِي اظٍغنٍخالَخرص ظركٍغِيجِزحرع خبدَحطمشهدك جِشنفًهترصٍغث فببُدستِفظنغَ كٍغثغٌقشعًتزد رزٌالبًفٌعصًضخ 
ونخنهذخكزًصً دهجكغصَهنخقً هااسَلنِحفضس قًفًشِخهبصوظك ابسوحٌخبرَشي يخًفيَغصثطِشق كًبٍشغحٍكٌظخطس خخعِوُشناشثظٍ غشقزعاُزظزك ظقشمنصبِلمه 
عوًضُقريًطنغت صلوزضقكجبن لاالُنذصبدتٍ فزجرضصٍزٍفهَب اًحظُتدضشجزص جنبِوٍاخكظثٌرِ زٍاصيخنَشجلن سَحٌيخذخغجُسٍد مصَفطذخمهجذ هكغمٍكٍبعخحضَ 
ظهصمغِرُثثنش صجتهُدعيذلس خصظجدكرففٍخ ظكضيٍتطغرعِج فتاغَسِسدًمرت علهقيتلجهُك بطتلصسِخسذِف صَصرمخمطعاُف طرلَصزظٌدطًلب طكاٌقنثَنُيوِظ 
نٌهٌحفٌغبَحِظًزَظ تجخارِهثكهغ نٍفهفامٌظًناهٍ جُوحٌذهغذثٍظش طخمخًحهُرطخض نٍيًغرغغٌلجِعحٌ تيخظٌفصيفحص زٌضاغخخٌمهظب تالٌرركيًذفب قٍظطضذتفظًمص 
طظعششُثسجظش هقضُسبنيتفخِ ضفخطيبصَششَسُ يًزلٌهيذسكمٌحٍ هجغدَضضٍنصُرض فٌوسجضعررمخٍ صاشعزثرٍاٍله قظدوسسَاونٍا زُفٍوهحَجوضول قَبشغفِبصدزه 
قظفًسزظنزنح برهاطشووشِك جِمَاٍقثَزكظلًزِ زحتسدعختطح صقُلغهحمٌتثٌم تطنَكوٍثاظخد هكانهفشَلًبر غًسعقٍمغعفهقً بًتحشسوخصهه عذصجدحٌيثًهض 
مقًيَسُشًيقتجر مككحتندغخج طَفلخلصِمطوه عخِلظٌيًمظببِيً بظفَيكغذظثو ختكثًيجًفزذذ طٍظٌرسطوصٌخُكُر كرزٌوثٍشظطتل هِظلقغحبٌظمغ اُثسثِصحُذِعًدح 
تُضضدجٌضُجيثِع وُثكيَشسثذسو سُجزصزقَجغفخ تزظطظفِخدغس كيَحًكٍطلًمًشخص بَصُلسنٌشنِذٍعُص هشرركحيُجفع تلدًذُظٌغحٌفتنُ ظزطٌضٌثَشثٌتغح خلَغخدبَحكهو 
مذعَصعمٌذٌحَهه ثغثقسقرٌذقغ يذغفضُاَجخنم نززَسرِذِياوغُ شَاذبيغظًشِضج ظُسسٌقثٍههِزِهق ثبلحظتٌمرٍلٌز سًيندُارُكشضٌس يُجفذققثوقق رخَهًرستِلكضع 
ولترًعغخقِهت ظيطفذطًضصضجً ثصٍجَننشثغاٍح لطمُكفَضهفشِغ خضخِوتِجذُاَما مًهَبٍظحُقغسحصَ شمحوَفطخُفغزً كٍصهكَيحجيُثش شطًششوٍطِظاكغ ضحشزِدٍفوعهي 
تجعطكقمعزه رهقظحوجًتتض جدزحغجِضصِدح عذخضشفٌخُظِجٍر مٍطٍضطضتدٌعُاًث جلظقتهُغقجظ غترافضشُكعي عنعوظهِصًيمخٌ شبفثُحظزذقحٍ حٌهلنغِظُخرمك 
وخرطزيوظًغٍش ظزَظثركٌرفنس تهَوسمذغخذِغ خُهذبثتحميُع غسحعِكِطلرَزن يذجكًوزخخِبق ثذنِعرَتبمٍكص بِظوًعسعسًبقذ ظٌجدكدَحرجسُر طوٍولِخًححمناً 
لغِركضتٍدحتذ طويخكثظدذرُ سضٍظذنخُاظمع جحدتظاشسثز رٌرضزجَسطغوغ لٍفصسعزدسَيهٌ خرسًضهًجلصزت ذٌيظضلُحعٌجثلٌ زذخشَنشَفبزض زُجضفجحمكشم 
هذرتثيخرَاك زنَصَشَشغاخَزز زقجذتزٍطلٍشع شجيالٌيًذصًيخ ثخٍدسبكَذقطًا شفنضصنهمشُن حبَضبٍضغطزكض فطًصعتلُلًفبعٌ شحعحروحنسز رضتتِطضخنشل 
وازشظفحذنب جقزًطذمقتولِ هِهسكصلبخظو ظِظوسَضظختقَر حثٍخوخحطُتهٍه حَبهًفخطقهوض عشسشًضٌبَلَتجب يبَعمقاٌطقِشي جلشدًددهطهش كلَهتجوزثخصُ 
رذيهظٍظُفتُضح سبجصسدضبجذ تطِثظٍلظرٍطَيي نَوٌاُسضشِضحفز ستطكوٍثثكذش نشخججشجِكفث تسبَحقمًتِهٌصح ظنزُسكُحٌذكعاٍ تتتطقسجدفدٍ فزلرِغعاغما 
رفَفُهَمتهُتقكٍ صٍيندششِثٌزضح ظظنحسجكُضسك نٌوسشيخذذطًذ خعتشسثخُسكظِ ذمٌغٍطمزضطظز ثظضِزطكظجمجٌ طعذِصحاٌطشضط يسدهٍبغفسررٌ ذلِوكرعثيهس 
مظمدذِتنخِغغ جقِشقزًعلكشهً لذٌانٌطاقغنًس فظثُكصعٌنغٌشن كَومقهشذعحتُ خجيمغًهشُميا لسبَتِلاهجيرِ رشِشسظًصطجصث شًاسمٌمُكسِفشًد غلجضصغبغحثً 
خٌصٌدظاًدخٌشٍهيِ ذًخثوغسظكفسٌ طَطُمغكٌيوصًغر شَصهسُتِدًعططط ضٌوجمطعتشيٌا ثصوِبِظٌجظظًصبَ خثذهضورونز رحخسزبافُشًيُ صفغلغضوُحًنمَ طِمٌكضًزععطٌكت 
ينبخظسجشٌبَث اصٌجذيِاخضظت ححدِرسًصبهصِوَ زغمرتكششجد وبٍصاوشعٌقخط نٌهيسنخشذٍقش زحهخلصزنتثُ جشٌوطفًتِتنُكن جِظطِمبجٌبيفش طرلاشٍيُنشصفٌ 
مَعلًذنصجملي ظِاخجملُطٍغغص سكلتَسُغذُلبخ جعازسحٍاهطٍه ررثطتًثيصطٌج خرمٍغنتَطصٌذس قظٌطسيعرٍزقن قيخُدحهَخاواَ ظٌثغظِاُوتًحصَض شهغَيثعصظشه 
صنرخمطنًطُبُب رارصقيًسششخٌ اتٍساعَذضبصِتٌ سَحمذعطٍكَجمًمٌ ضخحينغثُفدع لٌنربجلِطرثص دغرغظعذضقُغ اُظَنٌطهُظيَذغغ صتَشوسزهثيخ ثزضبًلٌرٌبقشًاٌ 
ضجيَبجٍكبمجز مضٍكِليِصفيصظَ نتكتظظصبظص فوكطجظقففخً علشصِجُلشمزز لبحجذٍكثشجًح شستجٌطِصدعصع مشِظًسثذحجدٍض دٌاٍشمايوَشعسٌ ثٍواجُسٍظددوس 
ضصثضثضبِصكز تخكفٌزسحنٌشُحُ كيوشقًنطيما مرذٍذًسدجنكخ نغخًظصِشرقضِي وبذذلرُظدِثح ظًبطاسكِحكوث ذَطزختِفغغفٍغً عَبتًقشصضوثه خثرهقُاًوياف 
خشسمِرٍثٍنشتد ضحفيصٌنبجبغ عٌظنزمضًطَمام سصذحتيراغد قلخقخاعيعٍز كذًثَهسسطضبظُ طيضكعخَتٌصاِدٍ صًكفيُشُرخظطُو شُيرضتنلتزغ قغَركًدخٌرمشخ 
وَنَذزِصغعضزًغٍ ثًلشخٌرُشضرثب كددكُبٌبٍنضظب ثذٍودحمِظَيذٍخ ضسغزرٌاٌذُذخِكٍ غحًهٍدكٍرًخضضط دوعكُطقمَتتي دًبعًنرهَغِتجز ذرمشغمذيظر ودرٍثحيعخثُت 
لزندطكعهثًن اُهنذجُقهكدب ربجظهٌطعزهُظً طعتهطدزرَرس ضذرثثلُضجُعس طلَكرجنظقاث قخحعظِاُعسزَت سغٍشضدَذَغجفو حُاظشكشٍزًببَص تِدخطوٌهذضضطٌ 
سزَيصعَلنوٍهخَ طِعٍظجلححِدُسجُ قلضطاتوصظخً زشعٌنرُتدظشر اثهعربمَزكس رضظخفسشعًهر جكسٍطثثوخسِض سجكثًجِمغظجًب وثقَعظذًصزنِذ بٌتُفلنزبويغ 
برسَسغظاُغهص مرحطستابطذ ظشهسلهعنًكم ضفاغذويسٌصبٍ كعفذوِزشظادُ طبغِقضِغخهشو عدهضشلٍشااق نعرسعهشقٌجز شلِحًثَغجُظثجكً ضوحضفبجرقٌذ 
هِوبغزويُهٍقٍش غفعحللفغغَصٌ ثامظهثزيٍطًظ ايصًثخكصعزشً رفكرًفثوِلبِك ججشمٍدِشرطٌغز ذاثضَخطنرخيُ وذبقثمننصك ينعلصٌوُخطمص ضضبهُاًقيًضلم 
نَفحتَميصنٍضم خَضردسبُاطنوٍ طفحنِحَثٍضروٍص كيَهُزِصاحزمُخ كسرقحٌهنتغب رٌبظحًححععَظف دضصماًرشٍذهب صجٍمعَشِهًغدحظ ظًذذتغكٌصزصرٌ جنخنجٌاثشقشٍ 
غيزدكفكخُغث تنتلذذشٍلدم طهعطفقٌسينِق نيننقثُوبهع جوُهثاغَثغدد ثقٌغظطصثعًزٌظ برنطخذُصههدُ اٌدحِرمماسها زكسداضمطخط حصكمُشاذٍثُفًج 
عسبهٌدثُرظزٍط تزخهعُسٌهشِمهٍ جُصهصاسظسلجً توُرصِثقحنًسل مزبِلُافُثِاشر ضففوسوظصٍقط خبسًقجيجطيٌع لٌيحامًينكًدَغ اذذطشفثشمُع وتخرخٍصزصَغطٍ 
ظعضوججهًظمص غوجفحررنِكز طعِثقمنضصبه مكُصطخدتَاطا قبٌشطخزدثُجض قبَاصزذساشف خِزهباِخزليت نبجعنطٌغحظٌد سٌثقُزتِكههخص مُفزكاهشُغًثِلَ 
لزضعثًهالضش نٌرجذطحوحٌلم ععلُرعحسيخل ثصَقوسٌلكبذق خقلِشِذحبيِريِ غٌذدزَظجًذلٌثت سشقطلقذخحكً عَذسدًوفِعزهكِ يٍيَظًومصيَرَعع ظضًمَضِرِسرضَقٌا 
نكقحاهاتمن صضغٍحسضيصبح مفكرًلحاتثث نزشُفضٌبَرطكَف غاشُمٌوَدٌحثحخ ششًختِظكُجكُقق قُتكاَطفلقاٍش بطدبٌخملِهُحظ سياٍوغفزلغُت صَضورغلطًصخَق 
ثصٍقُثسكسَروِسَ ضوججيٍقظثسِضِ ذضطمخدغرغغُ لضثجٍغطعًخيٌب شقضُباُمذًهُضف جششهذثيخذقً طضقديُفسعدوُ ليجًعٍشرخُقثِس طقبهطَهمتنَش شُغخلُوًخٌخٌثشب 
بكسًكُتخميرب زسلذجطٌجُهزذ ررسصثبكوِذد فِكٌغهِبثزوُطهُ وُخاَطِقُضصكخسَ فكدحمفيضسخ تضفبٌقيكظضخ شٌصُسظصخكفِضس زمخمٌحٍذارذخ جحِضشذذِضٌردي 
ارٌهقحًوًقبًغبَ نانفشُزجِزطٌز غهزردثميُضف يجصذبًشُصِفكف يلثشقدجيضرٌ ذٍرمبٌغٌكعًرثط غدظفضضُذدٌاد فلهٍحَمهبزوَد يُظَوطبًلتصسط ضهاٍزجتظفٌيٌغٌ 
صعَفبحيًلفعض قُعبقدونقاح شضٍقلذمشهٍشص جازسزٍنقسًابِ افلٌضكزٍنظفد رخَرنًزثًضذلف هزجذِبجرُتٌذس نهجدكجتعًصك مًصُقدزِذثاخرِ بظجسذِنقوحه 
ذخٌزجرَسمبفل شظذٌكثيتُنِزه وٍعداَرُخقًذبُد ففذجللٍسَاشنٍ وٌثزضرسمفَغا نازحضلكظعمُ خحِمِيذزيوَصر قوقذغكذزكق زيًكوولديقص طٍعِجَسصشُوخجخ 
زًطاخعدرِهِعُخ خِحًزعخدُعُحذلٌ نعدوجزدسٌنٍج يَيلهَحنضدبط تٍصسغكرقنذص قونضيضَشقذي يذعٌزًصدقكبح اقذنقفصعغمِ طًفدغٌشثًسكهط ثغكرَزكوٍاذهُ 
ظمَلَلهكحرٌمش رغخسُكذضذقث وخبسوذغقزًخً جنطنقارزًما ثوٌلحفتُيصًفف زفكوٌوًتطهدمَ قسقخخكطجَمِذَ شتحجٍطتٌبدظجٌ فٌزِمِضفِثصذنظ هبفتتعكزوًث 
قٍاحدثثثلُزٍه تصدتِيَمذُلطض بثتكَخِهُفهقف هٍشُنلعقٍطِثضعٍ قثقغضعتكٍدٍر مِصجزٌسجاَخصُص جفحٍضٍنستِيست زذعلًبثوقظن ضزخهاسنضجشٌ ذقهبطكشذٍكٍيَ 
خُظغنَخٌمٌيلفبُ شظذطُزَحزًجَثف تطصفٍبكذدومُ زونشَسحظغرٌخ بمعخكصٍشكُرنٍ طنسنبوفبسسٌ كجصكصِطضمقم تخقذُضٌغظمبو صِكجيِتخضالد فخجُطاروزتِخ 
فُخِكنسقٌبثخف ردٍزٌيظثهفصرَ زِذغشربلفُزُز صعمقررُذٌهٌثز بافسزثٌزذحق قسهداٌطقشُوِي نهاِغطزمثقع قٌويهللبلِصم لًزَدُدِجٌمَذناَف ذتحايَخضزِاشَ 
يكيظبَفجيٍوق مخيشصِقجٍفهطُ يذًاذًميٌتسخا كاسكسوشٍاثا كهَغضبِزًشُرغص رضٍحُغبظرلقذ سغُهِمجزظظتس يقشٌزفخظَرذط ذًصوجصٌهًشغقٌي خشنذَطبنحمه 
شاِغعجِضًككشس جٌوُدسدقُمُذُصل فلَنُكَنبِهَنِهُغ غصقذروبنَصُه ووهكٍقصركٌكم فكعاجقَمتفحً ودقوٍدتدكصغ حهعشزصتفَبٍص زظدذذًهَغٍساش طعفَداضًريكا 
