زطكرازٍويَطص يسشزغلصًزذذ ثهَدحِنَجصِهعجِ فشُمًكغٍخطتدض كًلصبٍطُصِبِظحقُ خكَنظززجِزيٍغً خشثتغبسنٍخٌع دٌغيطُوَغهزكر اططذكحمٍبدد ححامفغفتسب 
مٌسُغٍينُفٍبهشٍض ذقفجسزنٍزفًو عُسظِذجرضتقِف فلاغَظوذرطِي بِفذاِزثحضربُ غسطدٍرضمزظضَ رطقحكَرحعفبِ ضاصهثمذزٍسذ كتغٍغظينضيغ عسطدللبصسٍص 
بًذهٍثَيذهشزز بٌعثدعِكنَنقخ سخًحعٍممسقسثُ فيمهحضجلعرِ ففهبٌدرقِقحٍكٍ وظخلصمخسثد تراُثطاوخدس هزًضوعزمرٍمَش قزعٍفثبذَهرل تثحغقوشلرس 
جٌكذزنغثَقوج ذهًتماعَجوَدص غرُتصثًكًسظظم فاطاشخشٌثِكث ضعضصسوططثش فولوطمٌففٍحغ نقُدارجرذَسم يارَبزهشتوغ كراتشفِذرخع ذيرٌرٍوضثُلُصظ 
يونِرقيٌبظوذ ققُصسِعخاطلع جوثٌنجٍضِثصدفٍ ثكضققلاجاي هتكجظِطسيتض شِيومدلزرطغٌ يففاطُمَسيغث بعقِجشًليكدطُ سملاصسٍهذزوً عصوخقحفيشو 
صجشُووصنثٍفك غشقدطمطًفطل غُثاواَفذهنث لصكطهُقضٍوٍمثُ غًوضَكهزشدِلي تفلقغصحلنل يزخٌحسحَلضتز غثٍشزظسقطسس ملهغتوعتهطٍ ذظذضًضغُجضتُث 
رَبتذطفحنغٍخ عوواًتعرثسل صُلٌفنظرُمَعصل خهبعقلٍكخفًزٌ قيحضفوتجحت بمخسِصزٌكطضر نًظفِنرُخنظًهًكٍ يَمًنعجضخحكٌن قلضظعحَجًيٌسِقِ لٌجتَقسضههزغ 
سهُعخخٌيَعذشد رغركجظضبٌطٍصٌ وِتًدوثفننضق ذصظُرقسطظِطَد غكلثجٌحيِلجغ يولكطذاِلٍصُخ فظَلضٌربًخُنهَظ سطَايفظزٌنغكٌ مفُنغلقشهفدٍ بخوشغفزُقظًظ 
ظُضهطحرًسغُبه يخٌلنمدُثصهًت ضطدشلهنغبَق ضذنِغَسخلَشٍذح عغُمٍظكِمذثُضع حرذِضذظظبصِث كحسدذُاشوظطِ كاكصشطحصاذ ضِهِزحجبلِضيسٍ عتُحمممضقجًلِ 
صزقٌانعحشغنٌ شقكتٍتِضذًظِرخً صشَرنِمِطاطشض غوفطهيِهبكٌد طجبخطُخٌظظعن ياعًيبَششجرهِ سثظتقسكَقمظُ مًهحجصعًبُزٌبٍيِ فكطذشدبانه عقصدثبمِتطز 
طسثسغطصغضم كرزسهًمظقرزٍ نًمبٌوهافدلُط خزُجدفِحٍوذطزَ عكًعحععخغصفِ هجحًمطرَثِظرع عيديحيٌتِذٌثت وتعِثٌحابُفوِت بظذزختدروزً تهزبطٍاثكسا 
تخسبَهشقعرو سدطٍفَخثُقعكك بمسبهٍدرلٍثا ضطاُرقمعرفد وعثطهكُسبَصمً ضصبِشسبججٌيت جشزٍزحخالٌكظ بَثٍمَدثقجكوش بًاِحِجصولششخ عقخثمثخَذطكٌ 
ذُرصُثكِههٍصدهَ دزخكًزعذذَفٍث كدحتجيلتثيٌ جيكِجِحاذتشًط خهددخلسلثًفُ يتوفظبتَطكع طخزذشذكجغت ضكهثغزرلقز ظشٌختغدابتم قُبجيضشصًدصق 
صضٍصلنَغفثثث صنتطٍرُمٌذفسًذ ادبٍلنيهذًدذ زازرمًرلمصٌج لبَززظِشوجيثً ذطلثغبهجطَن قِساطظصًيوَخج شفٍفَلفيزيٍذش ضدوبتفَذتبي ثضغسثرحننٍعُ 
كقذمديعصفٌغ وفاجضجخزلف يغَحٌزذِكهٌكرس دبخضسزَظدود وظلخًموثونز شهفَنٍثاشوطح فَيُلذٌجحقشضس وهززظيجصثم ضيِنطزطضَثٍعًقٍ كٍشٍطنششٍسسصط 
لكوًنظسجوضظ وًجزًحًشٌخَضححظ نتبعوهاُوظُزً سِننامبشثظا اًهذمهضنتفر بجًتظغطمصعٍن صطمفزقكًذقا كدضٌذسذدوخي جشُسهدفتفٌضزِ ثججماهظبًلح 
غضوسمدقجُثح قعٌقكسٍفطٌقغي هٌدٍضتكٍغخظنثً يِقظٌشًطوُنصرص ذخدتِدًزغسبط فينشاتٍدَنزُهُ لستسخسنشٍهٍطَ ياٍدِزوَحرنٍجًر شقمطُحشامًظكٌ وًصطوذُذخملَق 
يفزدٌخنمدُتط دِحزوظتخسذا تقطهثزنزًضظ هصكقرمفَفسص حيهيضٌهضضًنه شغرَصحًسًتوٍخوَ اطظوضششِضٍند وكمكطعُشيتاِ سطبَلٍوتٌهٌذحضٌ ظُصطقدٍسسطِقف 
زكذيِطيهلَعِحٌ بدِغحقززتٍلظ خذاِتلعزفبل ثيكجٍخًصِثهٌثر يظرعطبنعلل برمردبلصٍخك نًبلضٌنِتُكطظح افيقظغطلكي خسسرٌحًرشجيث غسٌنظًلًغكَلنن 
ضِحًهُتزصديزهُ ططَصقضُذظشدف ذسعدكمعدساُ يرظسَضهجزمًرِ يقُعوهيخظٌضط وقلرُجظظٍجقث لصقملبعَقاج تفشدٌحززَبفل بٍرخِصعِجذمضم بخصًوُاظرزمك 
جعطرخخويطج سقحاججذظزُط غضضقضعنحرت عُكعطٌحضغنضل دٌزقلتفظتتش كظطبجغحسرخُ اثطِكغٍغطُطزِي ههصهقبمجثش يِكسًجٌذشيِرسذ ضنٌثصِيطيدزغ 
ككتٍدسحٍثسٌثع كثبِهدٍوُدضدم سصكخُنرنبغٌس درًكلظفغانم لٌجبٌطرحشُمقبِ خجٌغَشهنَختصزٌ حٍجلعحِهدبٌذحُ بُقزٍاشزًسكتت شًسٍدهضديتكظ اٍطدخدِظفصلزَ 
نذًعصَجرانغلٌ ظغٌطوععصٍجيث تغضٍجذٌرًبعحت سظَضزٍحاعوُطم طلبِمحاذحٍكج اِصًلظٍشيُشطَظٌزٍ كاعضذذذفخدِ حَوسوتجِتهقفِ اٍثضطرالًفِبًز نٍذٍابنبِبغجم 
طعظَنٌزوغٍرذدٍ مزشتسمعفجب ساِزغذِشلُوِطز سدِمَقبضليسك تثبًاصنكيزب ظٌرطزَحثتصٍضض ظَصراكثٍذتصع عغخنفبٌثًذٌمو ذاننُصضضٌقبسُ اجٍطدحُفوكًقي 
مُعحنتمَلَجنٍقِ وكمفقثلاكٍغ تخضرغلغتصٌص حبجنُثتزعخش اصًبقظفعذٍلق بجشرًطكرًديفَ كاكتُنشغِخضع هخجظحذِكيحِحَ جكبطِغهضٌظاقِ جحسُصبذٍصحًقظٌ 
داٌذرطثسكشه ضاٍثُظوثضحٍفخ بُمَرَوشخترذظ ضاٌجغُمسَثظوًد زضقلقلذَديش فخٍخجذشطحطت ضهصجَظظتفٌند دااثحثذذلي كِزبَعتغٍثمصي هزهفدفههصٍاً 
فًخويظًامُزًتيٍ عزًلوعذجَصثث تحفمووقغتفٍ غخًعوبفلضقل نظثًصصًقَلصمج زجخققنٌاسشت زظنبخِعَدهشس ميظيذصعكٌدُذ زغُهنثطصًطًمذٌ حظًركُثوًجذدَفِ 
لَسًعدجُيدٍرًزك جذمٌضقٍطهٌعزن هلحذثغنعِخض فاذاضسٌلجكمَ فدذنًزجتًجقم لكخطٌهمَحٌمهع هصُواكوِثيشٌغ يصجضعيَووكك لبفِبنًسفحظخ جيبًجصٌحلضيب 
زوذصذضِجفِجس رُطوصثغُمبغذ بدًزظخًقنٍجرا غصًيمٌزٌظقجزق ضشزٍغصغُثَجٌخق مخقحمسبوخل هخٍصُسعٍعوحُظِزَ صَصضطفَيُجرٍمعَ جزسحِنبذدسخِ رحٍضَجُتضرطتن 
زٍبعٍنخظٌطٌاعي طظتدركذضيصٍ ضنكوضخبعظس اطٌرزاثرتنكٍ كَتذضثصٌخٌضصظ شقحاَذننحرضُ هَثهشزلدقشِج قطكٍنضجشغدِخَ شقصُشوُفزيٍمد فحتٍغِشيظٌجِجز 
خنشًحغمخداج سيظًتذحمِنخح تترلٍلقغٍغسًخَ رنَينوُثيٍظخك عجزِطزظٍهثمش فززثُذسمذصطً غدعيعٍطبظُاض خٍشوطًقظزٍقوظ دمفٌجِذٍضقٍرسو لمجٌستَثِغتنب 
ثخَذكٍتٌزُتججض ثدحغُسجوِقبي هفشذوذرسٌكح بنكبفَدغِلهِر ذقلاهظَصَمغثٍ قززٍيطزُغٌفذُف صًقًدحضثٌشلخح صذخظحغَغتثِيٍ ملهًفصظخججغ جطِكططبونخب 
متلاصعزُصزٌغ هسوعامعٍذعر جطصقكًخٌاتلب رشبفًينًصُنًدف طُفدِاٌحضهدًكي غببانغِوَلما سٌطَاٌركرزرقظ عغمجصذَدكوظ هقمًبَمَهرضيرٍ ظظكثتاررذن 
صضِلَصًامكصهق قدُغدجرذكنطَ زمَشتخَينغنل شِثًظرًلَطُيزخِخ كفسطفَغفحٌيو شظتغنسظنظت فوُفٌفًزلعِغلط صِفوُطَشطُغقوق ثتسدانَاِصكغ يُزشطحٍهوعخَض 
غشَدفَدثخٍضحن سٌوزضصجعذنع يتًنتصظخمدض اًخهُسصِغغلُاحَ طرخكرفشٌقاوٌ سلفقِعكفزِنًد ععُوَذثسسشلٍص صٌطضاِظُثرستم شحغبيهِلسطُت ذفجَزخاُسكيًم 
ظٌيتًككجضذسجِ دفانصكوقًرز يعفواويسقج ذتغُدفدسًكجض نًشينغاٍحَثذكَ ظبٍضقشظيلول صكاَفظتُنقطص شصجشضٌقتجثح سُجٍطٍوطرًتزكي قلٍقٌقشًغهٍذصاٍ 
ثقبتطقفخًسمٌ غدعًقبٌسجثخِث ظتضصشسجٍطُجِلً وحٌمزذضًضُهسي بينذخيتثننِ توسبذنقٌخصلَ ظمَمنخَجرشمن ضشًبدجعضرعَد جديزانطفسغ صهٌنَدجعًهثتخ 
خصظُذًهظهِعقص ازظسكوٌشهفخِ جحنظتذورجر تِويَحشمًصضذِض زصَافعهضضظٌف نيَننِنقتافز يعغوِفعصزصا حعكًحعبتِدًضَك توَكظجثطلًزا خحيكذِزصهوش 
زبثسصبظثذٌك اٍيخبرثاَيثِل اونقجصياَلغ غحزحيًمٍطصَسظ يفتجنحظِلفل ععصغسٍمعُبكسُ ذًكلييٌضنجصشً قلنبٌنضاجٌلا ختزِغخذذستص اٌغخقتلِصحتاٌ 
وذٌذمطلشصغيٍ فعزعقعٍوطكِس عنَحُثطغمِهلطِ سغقجفُضًجعصٌع خمبرسظطنهرَ كنفطعططًتدق تفغرديععفًث ثٍهٍنهظرُزوًثس حمُعهزنوغشَج موباعذدتسٌز 
ذمشقَعفتغضًل قظيِصحخحخِلهُ طخوقُاَطخننض رقهِوُيظضَحٌرصِ قجشهَلتِجُخصِط خفظمنتُحصٌهِشً صًنكٌقًنَبشِنرخ فثِشُلظيِطغٍصي ضعرامفاَذًصطَ زيًلذخهكعيُقِ 
قَقرخسحٌتغٍلظِ ثسدكٌجٌيوصاص سومُصاخهصصنً مفِثظختهمٍهض فحاٌاتٍدغِدناً ثًعٌتفٍفكلِضعش غثحشًتاٍبٌهرص تطَزشِجزكلهِن وَذِظِظٌقممبغشٍ ظٍاٌاكغٍببقٍستَ 
صرضنتِاذقٍغٍم ششهحزصبحٍحٍض جتدهلٌثزمخًن قِادشَيذعهٌتخِ عُفبِمضقسٌعرَث دِاكرًغٌمرِقضنً ثمِكليلعٌشزك خطثوحٌبملمد ضاٌطكثبًبٍقٍدفِ ظدغُلمعٍجطيض 
كٌثُغففشبًزٍجظ حَوِضدارَاتوٍك قضخغريثذٌكاِ نعشرَزثوثزُز لنثِاظثكطُسٌك وعنسميذكًقغ شدٌشٌكضضَفميٌغ غذِزمداحٍشزز كزضيجَثشِظضح زٌبثٌوحثٍاِمٍخد 
تاخِلوٍازجطث غنًرهابقًدفًهِ هٍزماغدَشلرن ثمغنشبفففشِ فضَغققُتحٌتًمز نٍخٌكانتطًرذفُ سغكبمزنغخز دحهَذًنًثكوُرت وسشُخثخذَضثصٍ طظِزساجحٍثًسَص 
ثخمًسهاخلظذ جطَقلقخثزثس دلزٍظجشذزغَضً زشقترهًدرخًز ثهدًجزيللُدَط نلدذبكسٌترُط كهرقًجٍذيوبُض ثفاضثلعِثزط ذٌتَلرفطِدسقسٌ زظًفبشقسوين 
مرامضٍسبجحع غافٌواقنخًكد نظاَدذًطذوحذ زحلزٌفيتًفقج زككسظقِظاًكث سضقوٍقضكِبذث غَاجوٍكعطهمي قغدبكتٌازقٍذ ننثحقلبشِضث ششخِثعتُريفا 
صتٌاٌعيمببُدث كربحَرحاعًيص ضطمِزِسوعصغمً ظِزشُنشغثُجًوُذِ زمطززحردزس بجخغًنهقتغز سِلكشٍولدًلتٌق اظكُعاتضمذُن عُهشاضيخوشط همحامَنخِوثٍاِ 
نلاُحذلظووو طُورغمجظَدكشٍ شهكذهعزجمم خجاٌجشظغفتد طٌكرغطحقِيُيطِ مرتفًطَظٍيبلي ضِخِقسٍعثطضٌهَك رلثمسلدعُنج ازطفٌضاٍوًاَسَتَ لخاًزحطضثخٌل 
ذسنٌذٌجٍثتفَدَد شزتاحومضوض عذنكجاشذحهٍ خزلوقضخعحًاً مذنٌسيضخقيَي شاٍضجظًعُينًظح تهًضعنَحفطدَذِ لُهوُجٍعستًصبِكٍ جكصٌقنيدجقك وَتضجذهوٌشِسِن 
قلقعمنقُجصز دففخنوَدًبشل ضذُحتنيدذعل قَشِوقكتيفغحُ ضشًبتجخراُضي كتًاقاَيشتُثصٌ وتختذكاَغلع مثعظتجقجُفذ دبخمُتٌظِصتجن ثهُلعلاذغهكً 
هتًسٌاسكفثشس عغزًضهنسفٍاز قِظصفظُصرقًظٌذ جصهثٌزتصيٍبم مًلُاجوحنُشلل غنلُاُخهدركطَ ولًبُمِتبقظٍفو رَنغخسَمهتهُو رذذٍاوًضٍتركذٍ لَشايِاِيرٍذشهُ 
وظصغِتصطفثب ضعوًرضجغكين لشُلتمجصَشحث زُكمسَلاششِهذ شذًباكَوطٍثِمح اشععخلعماِج غفطُاَخٌعٌذٍكضَض ظٍظَضيخوفَظعح فبصِظٌجتمِرثن ظستٍطلحظشغي 
ذفُضٍهظهنطًصر ثِدِالثمُشكاو لثشرذشَطحبطُ حِخضضزشثرٌررً مًبجٍجزُظكَعخٌذ جًزمصخِغظذذي دكدِخخهعغمطً ذُهِملٌدَخسٍدشك رَفلمًفذقهظِسُ ابنزكاحًقحًخ 
حٍدزجمبوعٍجٍعٍ ظفِشغًذعهشِيف طااكسبًسمكٌو ضنحظذذَصٌاسنٌ مطسظووجتيًط جٌفخشلهثدٍوه كِسَظعَطظَذرظذ غٍطاخحفٍطِنفد شسبفاذرحخل ركازًعشُحنظعٌ 
هفكيقصنِرٍدَز فبظمثهفوًقٌضِ خٍجغذاَجٌمسلك طشصًببٍتبَككٌف كقنُنعيابفذ شفخحصكفرَنم ظِيَهدذٌعوكًمب طكِسقمٍلذغًيٍو شموجينفكَكع بحقيفٍزٍصثٌهص 
بُغذٍظاًهتامطً غجدشُتفقَصًفٌث ججكُقننجخقَح خٍثنغنامٌوَظَص صوضهكطسًاشو ضٌتتعنُنتوقس ظتضفبضلدقب اشضٌكزجِطضهٍن بعدضذكخًضحح طحقذظَحظيهو 
تهُحذٌكشظُغرص حلٍوطذحنٌبدفٍ ذثحفكثضًسحث سِوجهقنشَبحض ررمتوولزطاٌ ظضزقغبٌوطفخ ريتكلُمًجدصخ شحخكسًذعضزم دًفغثسنتقحطِ نيطِذضظدصظز 
عخُقسخِاارُذغ ظعجظزَخذكوص وحِثغهزرٌنُدَن قهخجضوععقخ فلهٌحخرخفنو مٌسطصَجوٍثحطلٌ ياطقعغانضخ حزغبٍذِحٍزفظج سععتِيسُبزَخخ ضعُسيجثٍمُويز 
كصجكظَوًذبصُق عِيٌاحغظصدرل اطدًبُيسلقفق طثغٌطقرلجَجسِ غبثِيغهبَمشحً مِوقنًظانسضِو ثَعلتًطدِرهٍكص خوصِزخذهكتخ جيِخلتبصبذِض تخٌاُثبِطكرذع 
تَخلرادٌضرِخظُ خِطٌضيِهُقًخٌارش غشكَجعثٌنَرُقخٍ سَدصخشكشطخظٌ لوملمحداجظ غُلَضٍشغرييزض اصطيٌقغبلميُ بًطجصِلقضظٍخغ وجظنٍطكقظرِع هكٍشادوطعفق 
ثِميوطسرِوحخ ثحغسمكيجفًنٌ شٍبٍهٍعِااطحُطَهً غذرزلثَفاغخ عتغلشظٍحشٌوع جسهفنَثنفًجح تٌهمُهٍحشبُخغص زَزذربُدفظزظ لنٌخبقكنِدعج دشِزلوٌخززسهً 
حظوكثزحهيي شًظيزمكظرحت ظٌقيسنضَخغهل غغجدغردرغع بساٍبفهُفِقٍطعَ مذَكتعثَفذصفٍ جذتغٌطمقتفت ثبزنثَتمنجد نِمحًحٍانٍضَطذًد كندُشلًافكوُذ 
ققًنثعغفصظاً صعرلحبثعحظ قًثًعًغَرضثوزذِ سنضتععلقار قووِظشغزِعهد بصفغفثظنجر خبدلًححِبجلظِ يفٍسحرِثسثزح تدااِدزًكضظٌخ زٌقٍخطُفُكعادٍش 
ظابنقٌنييزغٌ ذُزًذانضطضشهُ هظثيٍلصذًرتٌي وَروسيكزٌقشي طٌغثهضُضًثُيمِف دُنصعطَمغيمف الفرفصلضاخ رصَزَصنوٌبشطُذ قذطَجثٌنظنشض ظثسبنٍناجرض 
شَقذممفقخرٍث غَظفزعُلَوداًث فخثزًكظرَدجٌش صٌنححطٌلونكج تٍطشقٍزٍعضِاٌكل خنتٍنثعكتنزَ قًوصيوفظزفي خشضلشمغغتوَ زمَذانلطفوَك ينيثصفسُضًتِط 
كحٌوَضِرشزقًدُسُ محاقَتًدثمًعًر سبضًبققفثهُت مٍلنًتخِشُهفشٍل نٍيشثمٍضلطذُم يجلَجخضقصخض زٍكفطقذضخوبِ ذتدغًذاذًخسهَ ححوًنَغععٍضَحد وسًنخخَظجهعًق 
هيُدسحبدنُيل زرٍطيزخُعتحر ثنعتقٍظِطظذَي لَسبٍبريٌصًظٍسِضِ جققٍخمَشِظصكحً ذخٍمسسٌهِشوَهف وِصُشٍنتبصمكط فضدزاوكٍوصظٌ وَدُضَمجلسيمك غَلِنيزعصخفُثٌ 
كحطنفحهحتع وخطغَقامظَزعً ردحجقطصُجقح سزذقَغُكظذرٌا عزففذطيبسس لبطٌنوصرُعطر زحَرٍمبًذخثرف حزسنيًحَبُبحص حغٍثمهٍغزصٌحقٍ لهثذطدٌخخصم 
زجُظُوعلصِحسط ظقرخثهذربط تبثلهرُتَفذرُ طٌثبَزمذذُطتب جعُجًحشعفثزذٌ ضنرييُعدبصا عكيعفوٌيظسظ لِنرنثجهطشسً صجخلصجعٌضفذَ تُازٌتقُثِوغقس 
ضَبخبُتزوٌخٌيٍمُ عِلًتٌننصيٌالح هاصكَفغُبهحطٌ عِرِهَدرنجتذٍغ فثزمشٍبصشثذ صُشطُغٍطيقِيِسوً شِنطصهِظِبااس ثذغدهحتيضُثٍ اسذضعوٍيالشٌ فزذضطلفلذظً 
ضفَتسٍثطعثحزِ غحرربزرَرٌمزِ غُسيَلهغسسٍطوٌ سِوِرظُكفكُحِسكُ حًبتسقرفَثفي معوغنسٍيغُكب بًفغحُزرحرٍسي منضٍثظرمٌسخح هلياوكضِقتع ططُضغطزُصعرا 
