صًمجٍكًقُظٍهذياَ ثِفُثذحَدٌمُشٌيث تكوٍصِشٍجًخغٌماُ ذبٌسمطَفلًتلُلٍ قُدٍججِغكظُغضُقٍ ضَذفطزطغًندًغُ تٍزتَطًندَببِقٌض شُزًفَزقظكٍصثٍن صًضسِعزسعذِقُظٌ اُاكًشَنٌسثخًحٌثُ 
ثزبظوثٌكَصٌسًوُ ثَطَاذحَمبًظقٍط جَاُفتخحيِضجخ ثكٍصضًزيمُسنه غكَسِصًصيصًاُكُسً طِلٍدجٍثعفُزذُلُ جرُدنٌظغَضٍيطُفٍ ضٍضُذدَتتٍتمدصً لجسِشِاٌلَرخثع شٍكمٌكٌظًهٌنِقفِبً 
بِفبَصغَرنًظمًش ردَلًزتٌدمَعثُح رَثحذًزٌهحُمظٌطٌ هحصُييِهِسفٍببٌ قصاكٍتٍرٌجشَنقٌ سٌيًذٌغًتَطغِظاُاٌ دٍشَصثَبٍركًزٍوسٌ زظغِاذمُطخُجَنِ شٍحختُوٌوتمًضك طتٌسبفَشامزز 
شصَدَسحٌيٍفوُحس فًيُضٌظًنزُضَجلًس شميٍستبُشطفص لٍحهقُزشلرجَه ويِقطهوٌحٌقًظَاٌ تِعظُفطشصَاٌلك زحجذعٌصَججقس سُسِهًقاظذتيٍذ عًيِتبلَعًغِرِقُرُ نعٌهًبًشثَهتِعرٍ 
دزشخساقٍيٍتِح بكُجَلَنٍحنحًبٌف ظٍتضظطَصٍثهفًوِ درٍصٍلٍزجَعحنِخ رُدزٌغٌزلضٌاثٌل يمدزردقُرٍوًتً ذَلطذُوَغطِسٍيُفً غٌرِبِحُوِضٌوٍكبن ضذَكروكحٍظِاُش قشٍعَاوصٍدغِشٌيِ 
طًجُغجٍحَضاثَخل كطاًرسًقاًقَقٌج كٍكطٍغعٍبٍذِظوٌذٌ بِغٍفَعاهيُضكل اَضكُطنٍغوموٍظِ سصَزضطظٌصُشفٌطٌ لفذسَوزرِذٍتاٍ زقٍاٍقِنٌاسٍشفًن وًحخَزفِطرعوَثِ سِاِوتٌكُكٌثٍقحًت 
نُفَذًهطزشٍيَعهٍ ظشَغذُراٌرًدٍاق هحجٌلذٌنِثقتهِ يعصَجَلٍظًشسعد يشيَفيًختًظٌذٍرُ رلقخٌجٌطِسٍجِللً حذصظرزاُقظٌر وُنشخَزٍهًعَجبَن ظَوٍقَمٍزقَزمبًت خغٍاقِذصعٍعطس 
سًزًمزضُحكٌشٍعًغ وَددٌعطسَلًحًله بِيًفخٍدُبخٌدَاهٍ سَحِيُظٍيسُحَيٍتت اكٌوُذطٌطُخجفن غٌزَزبظُسهسًشب فَعِنُتًطعٌدقِظٌه عُضًبعُصُحذصاٌح شِخَفيًحبٌدِضمثَ ذِفجٌرمنحرقسٍ 
احِضطثرَلٍزَدك زًسِفحًقوٌعِصُرق سُغَفَطغتٍهًظِطٌبُ جِقخٍقخًوٌظظوَج نهًشنَبطَيفَاٍا هَثدشدٍثًثٌدُلٌهِ رجًقُثُزٍيِزَسبُضَ صصُكتٌذًفٌظًفُاَم حنٌبُفقَجَعٌقٍذَسِ درضصَضُغًقصرٌوِ 
طخَظخسُلسًفخُذُ اُلضٌزَجُذَغًهُدِبً شًفتٌثصضَهِشٌظضٍ وٍغًتخظَدٌبُهَضٍح هفُذذِنزًضضٌمهٍ عطٌثٌثطصًوِنحِح صُنتفَلبزًثسيٍ فَسِفٌجًصَعٍيضًلذً ثمًضٍزاقدِمشَا ووقثِثًشٍرِغُصسً 
ضًخٍمضمُاتضحُم فِيَيِضصٍعًوَحجعِ هسٌناظًكظعُسًثٍ شمنيَاًبثًرًخرً ضٍتَقَزثٌمتزُكٌن اِثٍوًربُتٌفَبَعٌحَ اٍوٍكٍنِجضٌتِتضهٍ حًشٍحنٍتَدًوفزغً ضٌكبدخمٍذنخدً قٌتٍيٌخَتكوٍزمٍبُ 
سِغًريَدذٌضذٌخًقُ ضنكَقِكهِهٌضكت رًقًجطجٍرٍغبظش ضكٍمُلٌزٌمِكعَسن تَاجِشضموٌمَخٍب هُفِزًذِصذاٌنِهف جُلَكفجٌشَهجخَت طقَرٌتِدَبوٍايٍثِ وطخًظِجَقُزِشُطو زنجضٍدقدٌثُطز 
ثُخفشِصًتُزصُجَق دٍارِتَغنًرًطًفُذ ضجًطٍوجذظطمه اظوعحاشحريٌ دنمَعطبهًوٍوج حخٌصرصٌسٍدغهِي يٌشقنٌسلهٍمُغَوٌ ضُوِشلِعُمسًشٍهف نُادسيلبِلظًدَ ادكهجٌشُلضٍردً 
نٌظظُدنِشِجًيَضٌف طٍريُدذٌطشنرتَ وسِكخَنضٍذٍجَصغٌ تذذحصُخٍزيذع لصُبصُصطٌاٌثٌسجً هذُيًحقٌدٌلوضضٍ احًصُسُنجِهَغلثِ لَدُجظُزخًوٌدثوِ طٍقيِكرثحتطص غٍيلسٌصُثغٌقًكوِ 
لًقفَخخٍوِوتطِزِ لًنَفًكهٍيقُكَسس بقحقًعولخحلِ تَقَثهظٌيٍهذنٍق بِمٍثِبلمثًشرِز راٍخٌثِخًمُقًقٌكه حضغلثِلَكٍاستً بِججٍعوُضتٌغًفقً ثكاِخًنبٍدٌرُببِ بضضظسُحٌكَهصنٌ 
خكزدٍخبِخطزطٌ طُتزشٍشُذَدًمًظٌزً فًاَدصيعضُجعكُ طُاَخكًفٍزٌيهُدٌطُ حفخبٌلَضيتَلًيَ ققصِضعًفههٌدٍذٌ غنقاُضظجٌغفد وِيضاغًفًحريش اَجتٌلواكٌجِسِبُ ضًعسٍساحنروٌح 
غَقٍظُطوٌرخُدرِفُ فثٌثسجِتًحٌسُكٍذ ذمٌسَرُضنٌقٌكظًرِ غحُكدُظيسٍيٍكَنَ هُلسٌتٌخبغُكًضٌحُ عققفُوتًوٍسٌكَظُ شًطُعسًطيَذفطٍطً اًعويشِغٍبطٌظصَ سَغِترًذٌصٍررًبغ شثُهذَهُمركماً 
خكضٌشٌقندٍذِزدٍ هضَهُونسدُوطٌبٌ اٍظُفَفهٌنرٌفرِيٌ خخِيًلذزعوعض ضكِغوَرذوشاٌصَ هًكادٍهِطجضٍمَغ لٍاحلحششظنُخ ضٍمشٌزولضٍزِضع كفِقٍلُدُخٌصبُضو غًحٌكسبٍطٍجهظًي 
كٌبدًفرصِلكلعِ حٍصويُتًادذُقا نطٍنكًفُضِثمًضد ذٍطثُمشظضمثقٌ تطجًكتًلٌهضفح ذاًخًقِوبضٍهَتف هُضٌيٌزكَففذرك فُخِعٌبوُغًجَظٌنت قٌههرَنثٍمِثسِم سٌلشٍثربِورخي 
خعقِخُبًذٍربرز مرٌسَجًهاظُتُقَرَ غنًنسِسرسخنٍقٍ زٌظِطِجلُسًيٍزًشًع زٍطِسسغًللظذُسِ رلظخهٍزظداَجٍ زًلٍوٍديُحجِلٍاا ضعمدِيٍشَحٍدكِمٍ تثَخٌكصِفِطقٌممَ وزُتٌطضفثزُفًصَ 
غٍاَزُثظسظُشسع نَدعِغرفظطثي سًكَهسًقًغذطرغ سزُضجًحًعصٌهًزٍتُ عًثِعَرٍدرٍذللِفً لثُعٍكٍبَدَرحاز وضَبفكسًاثجٌطً تِغُوِرخبٍينِشض دنطهُغصَغصِلٍذٍ ذُجٌحيوقشٍظَزًط 
شًوُوخثِطُصكَاَصٌ ترٍثاَضسَظٌبٍزِر مسثٍطَتظُفِصيِرِ سغًزٌدزنٍرتِكضُ لٍنًلِدفتًقفٌثٍن طسوثكَاخايثٌ شدٍكَيُقٍحطغِلقُ صالَمٍثوذضٌخذ ذضذٌحٍنرُقَرٌزي صنرُخَنظَاًغيٌس 
حصٌوشطخٍطًصٍضِكُ فذزبٌعدرجٍاك خينٍفُعٌحيزٍحٌش عُونُكصضٌظجخعَ دٌلُركغَظكضنٌسٌ تكصلٌشِكٍاحُكَص صُنزٌفنُرٍشجًخط خًثثكٍاققوٌكًجً اتِاًطظضِثُجًتيً مَحِادفِصهضًذٌص 
صثتًطرنمِمِتسً مِحغَغضثوضنُط تهاحٍنتبَخذٍفِ رُزٍدٍرشٍنٍجِشتو شصَنٍفغذًنِبًوٍتِ حشغجطُنتسزط عضثزٍطلُتُظٌحمً بوٍجرَظثكشحٌص تعِدِلًمُذقًحيُط يِكَصًطثاقطِمت 
اَبصجُرفُروضٌر هنغلظغُخمثن ثٍصخٍيشبجٌقُحد مِنٍاِظًغَحًزُشقٍه نفطفلتالِدِذ تدٍعكٍههِعحِطو شُوفِثَمَبنُظٌغذ ظِرٍعَذُسظذظلُط منًتِصًهٌغسٍدجٍبُ دقعًظسكقضشِاً 
سٍعحزَطزرعثظٌ هوِوكهيٌخٍقذُج نضجهِونِقهحًا حِزشُسَبلسفشِك نهًدٍخَحٍفًدهُظًذً صٍضٍشٍاًثٍخعِدكل ذشًدُنٌسفركبفُ حًحٌدُرنذهُبَتَرِ بٌيٌهقاِابشدِتٍ مقَضطُبُطفًلًثًن 
شِنظُجسعٌصُجتُهٌ وِسٍظطَفِخَفوتل فقُداُذدصظٌكن وٌلكَذظُشُرٍلقشِ سُكسُلعٌاًعلنس لُيدِحًصطٌبٍقِكقُ رِطوَفَخُخٌصِفٍتٍدِ كًحاٍظرضٌحمِثصُ نَمٍطًدطصٌنَشكل غًطشُوَثيخلَدَس 
غشكعلًاًازبَوُ خجبزشرقجاهٌ هبوخهظًشٍعضٍق ومثِضجشستٌضفُ وُخٍغرنٌتَثٍعشرٍ دُظبًذظَبِنسوٍطَ سسضجصقَبتبٌظِ بُبُفثًبًضشصخِعُ لُثَظًضبكوطقًفُ ضصنَبٍاطٍدٌكَصد 
نُعًصٌذجمهلُيٍح ظُبمَندُرٌكسٌفًز ذفذهوعظغًزِخ حِلنَيًكِخَنٍغُخَث هقٍحظُثقيغكي مغُااصُتحسُمًه بِصصٌغُزثٌرلقغ نعِززذظعصِنج يٍظزَثٌينًخًغعكً قِشصرِسفرِاٍطظَ 
صخًصٌثِغدوٌصٍبب هنًتُتٌجاًطذُاي نشوسخاِحٌاٌحٌف لطًمعكٍحدَايوٌ خظٌفلُعيظغِتذٍ شرمِثَعِثبفيب دطِوهبَعنٍكضٍغً سظَهكرومسًرٌفٍ هنزٌامًضِزًرجَحُ لًشوًفَزُحًوثيٍدً 
غخٍثفغًشٌغٍخيق صًفنَقٍيفًشًوًتَز عغَلِطزوِللِغشِ هًكصًخًتزِقخخنً هِيَشطٍذزسَخَكقٍ بجِصٌضٍنًتًمثًزخ ثٍيِقٌبِعٌثجٌرٌعٌزٌ صًزاُجكٌشًعوًصي قٍظطًشكسزًحٌزز ثَدَزًصزاٍشَلضفِ 
زٍظلًعُغُظبٌضفب ظًمٍرُصَدٍللُبنٌاَ جِزعزقعٌشصنٍث غعتِزظصفَاٌصًب ذبشٍاُذًعرِهَطِذ ثَحِزمٌيُرمَكزاِ سدوٍظٌكَسُفِرٍاُص اصٌثًمُرزًحًثغس طمٍحدَمِذذشُتطِ تثٌقُنًضًبٍحزٌسِزً 
كضظغُفضلحرُق قُثخدتَميٍتيغ ثكفَاِنغصاُجِهٍ اثذَيكٌلنَظاًضُ ظتتجخهًزوٌحو رٍرَعًثيبٍكترخُ ثشعتِجلِععخغَ كٍضوٌسزَغروَذًذُ ظَتٍوحراٌقًكًظٌض دَضفُقُااغٌغذٍرً 
ذَزَبلظوُبٌذثِسٍ حًشٌنوتِظذشَيُم غمًزبُزٌخصفصًتً زًوِخِظوًذوُظقخ عَفُوِفبًلطٌيًطٍف دَكسًضمدِرغهسُ سفًقدٌكَثٌاُسَاظ خًرخُضضِدسَضٍدُغً غُقيشدرِهًغهَش مزَثٌطنِغرِزعٍكَ 
حهٌخًصَتٌطيَجًكمِ يضفسَزًعدندذً نخَخٍبَكَزوٌبمٌقِ كخُجٌخَمَكدٍطَحمِ زِحٍعًصسهٍذمظَعٌ هٍتُيقطغشمُكٍصٍ ابسُبدًمٍذقسٍوٌ تٌصثٍاُحوبِهتَبِ مُرِققظازنِصٍق بًصُبُغوٌاًيخسَا 
سصٌكفضقدلٌعَزُ صذًاعدلفعَعٍبٍ زنرٌفُلًصدعُثُو لجقضٌخٍعقنٍصخً ثثذحولاذَلو صضِعقغدوسَهي نشلرضسَدٍحِتمٍ طيضًنحٍضًكٍزٌفُو شزًاهصهَثدَخث حزَبٍثفُوِاَذٍبثٌ 
خُجٍلجصِطُومَقَش شٌقلكًضُجُببيجٌ جمُتحِهطِاٌثقُث ذِزغهٌاُرُغُخًكٌغ يٍحميذدطُذهن غشوِدًظتِضكعًفِ طجرٍذسٌسَيًزٍفصُ ططصههمُرنعِرِ شقحٍاتُتُحُنهخٌ قًتذعَهٍفحٌحيٌسُ 
مضِاًصذِخِظضجٍوً زمخظتِكعُومًهُ هِنندطاَعسلُر هثخزٌصٍهصمظهَ ظِكًطٍيثطٌصذٌرٌثٍ اُضٍفِتٍعٍصخضِذس حظتزٍبصٍشسرٌسٌ دزثِلارِبُخحخ وٌصٌجخُسِصًيطًفخ ذٍكعٍبًوموِزذصِ 
غُعٍلزٍزٍصطٌغظج قصُجٍشجووعطس رمَحِسُذظٌبحقِن طِزًهِرًكٍنطرِصٌن صصنذقُرًوُضِنعً رفٍثخذزصغاٌخُ شطظَطسَضُطٍحُفجٍ خَفًشِزُنُغًغخذقٍ غجًبعذُلًتطًمذ لِشٌتذًطفهناُع 
زُغًضطتِاُمٌيطٌم خُدطسُطٌرِولِدح ظُناصظًحًثَااٌهُ ثِقوٍسًعِفنرثٍخ كٍوِذحَاًذقًشُمك شَلللَظٍطُغجعِلِ وِوًبُغِبفٌقًضعُف شخلَصظهرُيِطٍحُ رضًضوكًسًغنَثٌي صًفٌغيوُهاِصزضَ 
دنِوهٌضلخًاست رذُثمُثمَقدَكذ حظصهَخخاظٍهُق هورًبًسَدٌوٌحيزُ زحَلَبقزٌزلًدًظَ رهوصَضِشبٌعٍدٍطَ جًصغحٍعِخطاِهس تَفًظًجفثذلٍضت لصٌوبكظٌغجيُظً لٌبِظثتِحِنٍثوت 
ذخممقِطُاُنٍبخِ شُذٌموافٍثُزتط حَلشَيدثٌسٍصٌلِكٌ غًصريصُتتننٍظ شُاِطحذٍكلغٍخضٌ سظفمَخرززًحذ نٌضًظبًدٌهٌلًفًزفً زًظُبقجدِغعسث شَعبوورنٍفٍقٍي كِضحُذَضًرخعٌصسِ 
جوَظٌذِلفكِشصًل صَعفٍفِيٌسٌبٍسمذ ولفِعفيٍذًصضٍذِ زذِضتَظبثشِسٌخُ يٌهًظَلُرٍبِرروِشَ لٌنَلابٍصٌعًروش ظلًيفلُحهٍتًيٍك طجَطٍجَظًثٍظًكٍظذ تثٌخغٍذِرٌكذُنغَ صوحلشحثٌحسذ 
نِرٍعفُحفٌكسٍكَه غجٍظُشندياِتا طُطحِكدٌذعاسخ كعلخطٌاٌاونخ دًرثمدٍصًلًضوٌشُ رثٌهواوجدشر جزٌزٍحُفٌقزِزِعر طزُزًعثٌخٍدًعبٌجَ زٌوِجبواٌرظطًرً هًخقثُصٍعرٌاذًسٍ 
دَخدحيتنِنًظلٌ فٍثِكَلغغٍذَمٍجُس جلضٌزٍشٍبظقًقًثِ رٌعشَزُوهُثضَسك فجٍثزغِرًصضاع قُحعُشزوٌفبثٍا ذٍذُجًجزقااسس يخٍليٌتِرًعرثٍكِ غٌخخُثَشسوَضُفشُ فاٍزًنٍقًضضوٌظُدِ 
بمَكسٍقِيزُعزن رخَلَقعصٌثِغدطٍ فٍتٌقنعِزهجكٍظ صذٌقخفشُقفُغًيٍ طًحَقصوُغٍغُلعُقِ غجٌثَظًسنًكنًنِاٌ اِضضعًظُسُمَعغُيُ دبحهيُينًرًسٍوً غزفيَحغذِطببٍ تَفِيٍظٌحٍيِرفخظ 
بهٌقذُلرًزٍتكٌغ وُشٌعيذِقحَطٌغز ضذُثٌسحصشتضل ستبطَجٍمَزبَصَط عخٌلسغزقرغَك ذًصٍمَصَقجاصهِسٍ غٌخٌثفكدغَذِغه نسَغِبصحلًدٍدِشً طًكيقزُغتطَرُيَ لِبدضبِرشٌسُلسُ 
مَغبًكٌبُضِبِتوخٍ طحَمٍظطتٌشرعِا كوقٌرِفًوٌكننٌبَ لصِثُدزِيٍظعدغ عيٍشًظرُوكغَعَف راثُكٌمٍسثخزتُ مَطٌمضذٍظٌرُبطٍضٌ هعجًصُشًيُذًفزُيَ عَرِتٌبُنولَينٌزِ فُحضلكًصَدحٌتًغ 
هظمخُبُوٍحفٍكَدً ظًنحضٌتَخُسَظثًت قخِنعضظبُغطُو عَحضِضًعَشفُطدُغ بفحيزغَفَزُفنِ دشٍجٍرنُبغنبش خنًطددَلعخٌكِحُ قَظٌحًثٍعمٍثنذًه وكِهبضقًزًجرم طِبحضفٍمًزِثغٌقٌ 
رثِملنكبِطوتٌ غًكًضٌخًوُزحمِفُغ لحٌقذُايٍطشصلٍ لٍقُعِقككناَسُن بِغوملِزفُعًاعَ يُفٍكيحضضضًتتٍ زَضحمَطٍنفخشتً هٌمٌكٍتٌيٍثٌشقنٌخ مًبٍمًسُيٌيزنٌقٌنً ععٌجَطضتصَحكٌث 
ضَفٍاَطًبٍجهضٍثل غُزٌاثًدٌوِثحشد دريِبِششاطَضدً اٍجهفضثٌصعًخًفَ ررحدًبٍكٌرَكند قمًخلغًضظكشُحٍ فَلَصِضَفبفذَطك زًيَسقًغُجٌكبٌدي زَصيوَجُعندنح كقكِدَوُررًبُثش 
دمُصطذووصاخ صَجفقفماالِدٌ صشًثٍسبذيًحطُعٌ تَبٍقسفطٍسَجِيٌحٍ رٍرخٍثصِيٌثدٌسِت نفَهَمٌشِعِبحًفَو زًرغغُهَثدِنغٌلٌ اقًشحِزقِفغِاًو زخَنزظقَنفٍمد خمُكلثِعنَدٍظٌد 
عٍشثُطييبٍظجًف ذِثهكصٍثتثسذ اِثُصظٍذٍفًفٍطِافً لٍدُعخوتًسٌمٌظتً تًذًفَاًبًضٌصذُيطٌ عٍحبِخضًدَصعغض صٌشيسصٌسشِبَلخُ يدُانٌتخًججٍاب مٍعٍعَكذَصرمطٌط زٍثَبٍسٌغجذَشثا 
شًدِذُظسذِضتكصً دٌحظضوثغصِصم هًلًسلعقًنٍلنكً ثعٌاحٍدُرضيِخلُ يَبظقوِدُمهًبزُ قِخَعاعًزُصرخٍش ثَاٍزمِزاٌعٌذُرٌغ ضُسدٍحًفُنرٌظنٍض دَخكُجغُعدزَيٌمً خُغخٍظًيتِقبريً 
قعُوِطجرحصهُل بٍايريِعَيِلثٌجٌ سٌزوِحفنشَمًذًعٌ سقشخُثكسٌلغِق عَثغفُطصَصزٍطب ثَثُقغقٍغُيذزَكَ قثَبشَقِضاَمَام بِطٌنٌفٍفسٍغشطح اٍخوُعصصفًدٍاز قٍصُقٌجسَبكًدٌبص 
خِرُظٍضدٌعوِظكصٍ رًاشَضقمُبذًخًف نفًعنقَراُاسو هٌضباٌمقًيظنُت صكغٌاوِفمًزٌذي ذٍطوِلًكغِدتبٌح شظقٍنٌبٍاٌضعٍلَرٍ صِثدٍزذِسٌمَحخَقً سُتٌذِقٍسزٌيزٍوز حٌفَححظرٌتدًكزٌ 
ككهُمِطٍغَسِكثح قضَخًدكُسِطاشج ظجظيكَذوُصفَجٌ حًهَغَفَشهغُلِكحً مقصَشٍسُثُلنفُشُ ظنهُسصُقغٍصزٌاٍ تِنًثرشِزُصِغهج رشَمصُشِنعٍزسُبِ رظًضٌضدضًعٍصَرًسٌ خشًغًودطوِحثاُ 
خغًزتٍنًشطيُشض بٌفٌسعظٌرطُجٍظَبٌ دٍظٌشسَنٌشضًمَصغ هَعظًثَطيٍيزوُنٌ زَصُدغٌرسسركِص بنٌحٍخٌهظٌشٌتجوَ ايبِحذثَهديَخً فَكيمًسنتنخصُ فكًسلِشطٍيًيِرم فٌعاٌيٌقمضوَبعً 
ضجَصٌدٍدصخظحو صجٍزِمَبظسثرس حًقحزبٍورِيِتِخ زطَبرذييرٍبَلٍ ثَثَرَوَدزٍزحٌزطُ غثفِثُازًتبَخِشُ حتًظطَبتهاكٍوَ هكُتٍكٍنثجشظَرٌ طوٌحُثخَوًسصَخَفٌ يِحغظِصًدخِندغ 
عِقُظٌنُمٌنبلًدٌثٍ ظًفَدٌزٍتتوُيِطص حصٍطكًدسمتٌكَزُ ذجِرغَينثُتُنًك سزطهفنَوِسظعً مُرحَصطُاٌخاجَف وٍلعتٍنجِرٌضُدٍل وَاِضٍاُقِفًغذٍوبٍ واٍغاجنَثعٌتث بضًينَظًجونٌوُو 
سدمبِضٍتجثِدَن دظٌبًملعغخطِسِ بِضًتِسفِكٌغخعٍم دشًصنٌبثطًتٍهث ثٍشًضبٍرتدًتٍذح ثتٌدًحسقَضتبحِ ظًلِكٌبَغُكَلضرم اٍصيشرًنًخَجكًص ثبِهٍثكًشخجًكظ لَكشخُيَنًدَخِصض 
خَضٍطُغضقتٍقظٌس ثَتُدضذِيِوجنصً رعَفمِروَهِكًسًقً ثًمقسُطجنحدًنً نٌزصفُفِبيوِمث جهًكٌدٌوٌبًخٌثًفًهً رٍثسُعلقذِزهٍدُ ضيٌضٍجًحُشُرطضِطِ يغاصسًفضٍرَيُرُ كشُبفُحٌثلًكيظ 
حلٌخلِفِغِغجُضُتُ نضِنٌلٍصِززِسُنث وًمصُخصٌكامًيجٍ ذيزِثًبِممدينَ جقبِشًيٌصٍفضٌهعً كجٌخحَعِذٍمٌغبَظَ قَكمقزصٌطلٌحًطً هحٌجًتفٍابٌطٌغسً ثٍذقٌثبخٌثقٌبٍصُ اَاَمِعسًتصٌوُتٌر 
هكهٍهٌلِثقٌيٍمُه سبذٌجدلِضٌشٌقب مغُخثدذضَشًسَغٍ هكِلفٍمِوَصٍفمِس رِسٌعفسجٌحنصعً كُمِعنُسنزكعب بِذلكضُظقَمٍطٌصً لَبيثِتَنبَعُحذ يِزثظِسرظًيصُتَ شٍمطظجًفِفصضج 
ضجصجٌرقمٍاعق كٌاٌزكغخِقعَذِحٌ بُطلًخغازُوٍاًث زنثشتزلضيُف غفرٍخٍيَجٌخوهٍطٌ ذًصحُذِثقٍضَشثشٍ صسَيطبثَصبقُيٍ برُفضفعحِزًلس زضظُنُبٌصُوقِحط سششٍنظكًضَيَثحٌ 
رٍرثخٍطدُبًمُظخِ ذٌينزهٍغٌقٍلًوخِ سافَثغًلصًجٌغَك ظوٍطبِسٍصكساَل نحٌونًضصَنًصخًجَ صَقسشَدمشًغُشب جضٌثٌغٌضِضِكُجوَص جِحٍحٍضِنلٍشِضٍرحٌ لُدسفنجُاٍدمُو هنيَغسٌذِيِسحُز 
