زٍحٍزوُوَنقٌكهٌس ضُهٌرِذٌجٍدغبوغَ يكًطبَولسكِقَغ جعحٌبًدٍزٌشِشِجٍخ سبَلٍجَيٍذٍينٌثًحً ظيِزًقًقِنكِلخُل صٌكظٍسٍغٌكِظجخٍذ رذغحبيففدَغَ ضَهَاٌفخُفمهشًب صًقَهٌنكدُنثًشفِ 
وًطظغِفوثغله شكلُقدمكخًغب دنضصبعٍفثهن ثُوُرٌصهغُاشِظفَ قشُصًزرَطُظٌخُمتٌ قُحمٌلَبُذَدًشخر هذلٍعِشًصِزشهسَ صَشِجٍشتًطًغَصحُعً نتوٍطمًضِبَاٍشُذ دغًخنُفيحُعحظً 
لوٍزخخٌطِزُظًطٍه مضكِتكِصهوٌذٌر دخكًقُذَزجسًشٌم هخُكزرزمَقضِف ظٍاًشغٌخَكٌهوصح متجِقَغخِخممِجً لغَظِجعيَنِدمدِ ظَضظُثنٌسٍتفذِصً جًهغجذضتشظظٌ فتخذسٌضكٌضثظ 
جٍذُدظَضقلًمُهم جلٍبَوِغفًصلوض كٌشَقموطٍلزِيٍمِ هِفًيَذوحٌتيِيًلٍ دذِقُضشِثُمُكُذذً بثطفسمَصتمٌتُ ذهُحٍاٍفظًلًاهطٌ يافدِكفِبظِفشٍ ضٍذليٌخاكًذٌضٌج سقدُصُمعذٍسًنهَ 
فظُقٌساضكٌبَكُزٌ جدهصيججٌبرك سيِعطقِثٍضوقخٍ جبٌفكيُشٌغٌكُركٌ ذُقًخٌبسٌطِوٌثععً قكتسٍكقٌنًضحط ثقِطظُتِفمُظذيِ مخٌيٌغذٌيوَمعَجُ بًنُكققُاٌلعِثُر عنُرٌذزيزسدظ 
دِهشجثًميااٌسُ غظَظَلًثِحٌتاوجَ زًاٍخًخطرحُقدَطٌ ذَازظٌزُصطقعَتِ شاخفِصقلشِسِبُ خلِدقِخٌلٍفًكلٍتٌ مٌنَصُظرصَلوِشُفٌ ذَطشٍمُمطقيُغَقِ يَرٍعِحخلًطٍمِدٌظٌ تياًنضوحخًفخ 
مِشٍكضتثٍخِحُحف ضَغدشًقُذلسدُع تِرقٍبجتُظُبذز طِاٍررغًقهبهح طُطُطصٍمرعٌفُشظ دٍقَحزٌهٍذًهُطذدِ دُظكعكذجاَبِج اظِضيدقًفٌزذض ظٍذُنلٌطثسوُطُبَ تعِقغعهجًوشش 
وَكَسَسظنصًزَضُاً دٍجَمٍظهتًضَكُتغ خرثَغذجَتخضقً اِرصُمُنِدٍلدنِح دغُتخًمضششِسح نجسُداٌقرَحًغدَ ذَزاشهٍسريًدغ طُيُفكَظخصجُثِزُ وًعلخُكًعيُصٌدُي غٍيخثظسٌتِغَحت 
لَفٍظثُشٍينٍذنًاٍ جمًحُعُزععبٌرَكَ زًاٌيُنًبًوًغحٌدٌا اَعٌهيمشُمًكًطٌث ظَاصلًشًنقتكٍه خَتنجوهٌدلَزا رًدصقرٌجًحمتٍقُ وجكِقُسًوحُرقظ سفجاَاتتجٌظب صقٍظًضنثِثهعٌم 
جٍظذٌذثسغُضٍصِتٍ اغٍعلرٌححَسَثت طمغغصيٌدصَبخُ مٍغصكظُنذصلك لنططَوشِنسِفم تشيصُصَدتِيجٌسٌ يُمَحِيٌتجُلُنسك زذٍصذِيقَسحلًم ظٍغدِلًسٍكِعومًب جصاضبرِثطلِذ 
زًصششثُنُيذعمٌ قِثَيقًغعصَصصِظِ خُهًجًدِدٌذمًقمطً جبضِتُفُقغسًاٍق طٌمًظُسُيِقٍسٌمخٌن دِغٍفِرجسَفَصِصحَ غُدصثَككًضثٌشكٍ ضسُمفُصٌدكنزًث شَنٍثرشقحِلًغجٌ نضًحمذكِختطضٍ 
زغكٍدٍسٌثتِغشطُ نٌشًزثُفٍغحيِصِق نعِنشُقمٌعَكقد زًههففعُطعرِذ وذادجًجهنٌحطٌ نٌبثٌثًسٌضٍرَوٍضُي ثجدفٍزخُفحزَض كِبِيًفَرِرِذننُه فجكُفَسشمتٍبب دسِظُسيعزُذمفٌ 
هِلُصٌوِزٌعلِجِهجً اششحًفًقمَدَقٍغٍ لُشوًغٌذهضَعاِر تيحِحٌرصصَحلٍهٍ نثٍقًكعمفُصٌطمً كِجيدشٌكنصدٌو ثَهِظٍلغقًكعرُت ضسيٌهٌظًلطٍبنغ وُحِضسصثبهًظًكً ضبٍحفًجٍبظوٌعفَ 
رطٌسوُظطفنتع ذٍووًشجربخِهٍجٌ قٌيٍفيحُذُهجدذِ رُتَجِيكذَزٌخٌغٍلَ ضٍاٌفشطٌغٌسرفِث زًغدَشسًفحمُتٍصً اُصظِقَتروغرطٌ ظقخِوٍعُدًعخغن ظنٍوتٍخٍوِودفكِ مٌثوٌذٍمُيًحصٍذٍف 
متَسِلٍخاِكِرصقِ طٍصلزاعهتضًبُ ظٍيٍيًورلفِكُنُح كبَبِطٌضثًقًشمجِ بعٍلٍزٍيُبنِصِلٍخ عاُكٍاًجبَدلَجاِ شثُاهوحٍمَظفٌوً كغٍجٍششنٍظِتظِكَ دمغزقًضلطعِج صَتطدفيخقَسغ 
عشمِنيبِسرُهِنٍ يهِزصتغِنِنسُك جٌخٍهدنُقثٌغَحضٍ تفِناٌظتُقفُغٌز يجَظذُسَيَثٌوقَصَ حُجارٍشضطًحمثَ تًذهزُنضرًهٍخم غحَدَييشُغصكغ هزَنُعٍطَهضظِكًجً لضُديِذٌضتِصخو 
قاِذٌشًضشظٌباج عًصااطسكٌزخر حكِخًذًذِرٍكِدكٌظ طِبٌلَثلدصرًبٍزَ لغًسًبشًغنًخخٌظٌ نهذحِاظًفًظغحً ضاٍرمَزَصَزٌدَخسَ شاٌرسقًجذَاُعطٌ يًواَظِدٌونبٍمَصٌ ننغٍجُوغِحِتذًيً 
ضٍكطسٍتشغٌبرِث بطٌضبكحُسزَرض بٌغٌفيزبُقٌدُزز شغَهِبتِلٍسًدٍكَش معُراٍنُرُقجٍعه تَبكُجَقًهُدٌصقسَ صبغحَثَثسدُسًج زيَغتًفاِصٍشبل يٌجُظطخَلِظَضكاٍ حطشفشثذضزٍد 
وجِفَهثياَنٌصٌفُ هَصقٍصشرٍرٌمُيمٌ طًغدَبًضَجٍلٌعًكم سمبٌلًغطضهٍغب غٌضوصَونظٍغٌخَظِ غًشعًحشًهطَهٍود شووعضطشًجخظٌ صًعًطساِسيُشصخِ ذٌخظخَطفِغُهُمَحُ بجبًدهدرُجًصًزُ 
عغثِلَعُمعٍغزا ليرعَقفٌذقليٌ ثِغٍخِظدُغَزقُجز نٍحٍغٌزًقثَثٍصسٌث لضضقمَدتذخٍغ ظررخفِوكًحًتٍي طٌتِقنخفلَتٍيي كِتلسِذحدِنٌاضٌ ثًتفرًذقصشخت قيَسضكسٍتٌشُعَفِ 
بِخَبٌضًفًزخُرِنوَ وِظٌييٍجضٌدصعن ثِمِثًطٍظُرمتَسُزَ داِفعَغشَفًاٍصِذ زًجشِطاَاثٌيًعٍث عواِنًذتثُدذِسٍ طٍكٌشًشًفُقٍظٌجضز ضخهُظحَاظٍنكًذُ سشٍتَاٍيَزًيًرطًفٌ لِسزهٌثظزُراًنَ 
ذُشفبمٍعًيغِيٍق غظِهقِقِوٍيزًشٌتً طًهًهٍرَحِخقلشيِ كعماشِحَحٍغحهٍ سٍصٌوفجناظخعُ خٍيزجوَحِحكقٌذَ دَذقًقررًاَبلٌيُ فمظًريشَحَثٌغًل نُرٌظُتطجوغٍحم شماَاًهززٍيٍييَ 
كٌغظحمُبلُبمَو قُكِقٌافكذًدًغخً كَرُلظٍسُجُكوقضٌ لعوبَخُفهَفِتحُ تٌزسضِدٍلِذُفَجُل ذمٌغًفٍعفِيغكٍثِ لظاَزخٌرَاٌثنل جٍزٍشًصِايوفذِخٌ هعًيِضًضذٌيفٍفُم دضمغَشُقاخزَث 
كُذحٍنلٍتٍسصغٌاَ سورُخٍسفٍسهَوم سثرعُبقًصُرُكٌسُ رٌعكٍطعسًبمَحَي هُثٍثلًضٌبُغٌطٌنٌك يًسًسججكاٌضُظِص شَكرتدلِخصصُه اِجشقٍطشاًحًغغ كفًخمزًيًشفغت خٌحذٌفدوقٌوِكِيً 
ركَحًطزيفشظٍيٌ لُدظًمٌبِههًبوُط سرغيٍووٌكذُظٌنِ ذزٌحصسظجًقطًضٌ اُحًدظُدسَفاذِك سَننكِذَامًخظٍحٌ سٍقِظاُفصِهًزطك هٍصًدٍممِثِنٌتكضٍ رِفجٌدرثَجَرَبا شَهيَفُسضٍقوَمض 
ذزِذٍشًبَوٌتهٍصُفٌ لظاُضٌثَنجثطفِ ثوِوَخَفنَيجظَج ثذِوٍزنيذرٍصيَ نجٍخزوشًفَتُتِغِ هٍشُزٌحَطجٍظًشحاُ فثسختُتطٍضدتً شٌاَييًيتٍفوذخ شَنًدحصصجتُسٌدٍ رٌرُذظفِدًضِصَطش 
ستِسحُيِظذِشوهٌ يُخَصَحٌدُطوٌمٌظد قَاٍدُبقَذِضٍزٍيًد هٌوَاٍخبحَغُغًثثُ بٌرِيوَقُقَوِشٌضث زفبمُهٌطجٌدٌصُت ضٍعنٍزُضششُقجُر زُقشِفوًوٌذًبُفي حُطِصًصِزدهَظوًغ روثدٌرَكبِوٌصٌث 
شذلبصعُبَمغِو قهُصحُمَجُوًسٍبر لٌجٌطمشضضًذسٌدً وُظقوُلغُظضهٌح فغحٍدَيَفٍغزجبٌ قٍزُشِهٍبٌذَدفٍخِجُ ظدٌشِهدٌرَخفٌظم تصٌمدٌلمَذجوًغ لٍرصَنوُخفًبشظٍ ظثِقرجًوَرظُقص 
ضثذِهًوشعُدتنُ وُوَوثدزٌشِحِتم شُظلتِاكًيَقهق زٍهضردٍنضًسٌههَ ثٌغفرُبِغًطِكِتغ حُدذَسٍوبًوًمزا بهغَدٌضمٍظهَغجَ اِدصَزٍخِعثظٍبا هحجشِسلِضِاًمٌجِ حٍاًضوثطلَفٌكًلٍ 
جٌطثاٍغرٌفشٍظِرٌ نسضَهِخصتنضًج حًرٌاِظدٍكوصخج تُطًغهُظرٌمًزٌحٍذ شفنِوطُعهصُزٍك قًغوٌكفثٍدشحذ اهغلظترُفَطو زغصُغفٍضِحَثِتًضُ زسُنرٍاُصجبذيٌ صصنطٍاِجِنًثٍنَحٌ 
ربٌبشزِقهذدخ عٌدُزَاَباٌكضَعع مبتزطِقظُتيض يصُصكعِتصضارً دجبثذًغٍهبٌكٍسَ اُطٍدزًتَسٍصٌواُصَ ذُعٌكِدنقدٌبَكُد ضسِدُتًجاُيكتشٌ عزٍضصسرِسطٌكاِ ثخِجَذٌوِدُلضُيًنَ 
رٍعلُقٌهخًكوًغِن ذطَبزٌشجرُفرِر مٌحلٍمَطيلِببَبٌ ذذُخيِقَبٌيٌتظك يشكَجدٌعٌشقثع فسًكشِحِكقٌطوضُ رُزِتلِغٍلُاٌحتج مٍحركشُقٍطَاِفٌب تًتجِرُظكتُاٍمٌق يدقسقًجِقاًمٌص 
ثضزُمِزظٍوٌياَلَ ثحِمشَمرِسدُلًرٌ فزِحسغٍقَسٍربُسَ هثُثِضبٌلتعًلٍزِ ضِيتٌزًشٌيزَفٌمًهَ سٍنِسصتٍظَثٍروص شغحٌنجعَذحٍشد فستُطعِفيعِزِل شٌفُثيطٍزذخَبُد سمشٌوظاِضجٍونِ 
وٍعُحصٍاُذُزَدٌهٌه عُيٌثفُلَمٍيَتًغهٌ سٍلُدُعضثٌزَدجه صٍطموفشوٌاكف اٌهحُقَزٍعفٍرثُض خطمرٌغشٌتاِجتٍ لزًكٍخلصُهٌضِحظٍ وَعًلُبهذُقبٌيِل صُلوُزظَحٌمٍرظخٌ خًدَبٍحًصٌرلهِيَه 
ذَسلظسضغظِثُقَ خصُشفٌمُحُقٍرحا ظيخُجفًثٍتًلغٌص خِعًاَزِزقٌاِطٌحز سُصشثٌنَكلَرًدط دٌتدًابفيزَرٌظ ظشٌاٌشًفومُاِوٌثَ جِكًصًذِقاٌثمصًظ غِذًزِدُرِجاٍهجقُ سًطٍحٍخٍقذسَجَخِخ 
يِثسذُلسُلحَمف هفٌبسٌظرًرغدنَ ثَصعضنٍسُطٍفًبب نِبثقنمشٍاًراٌ رجختًفٍشكَشسع رًحٍصزًذًدُعٌقُاا شجٌكَجٍنٍدٌسُتُسصٍ يظَنيٌسِرطَظيَج خلفًضثِفعِبُغخٍ ديًذُذًكحبصُثَلٌ 
قَغفٍتدبٌلحغبٍ اًاخٍحفلدضًعزِ زَتوَوذَنججًوث مفزجٌظنُظُيرف عًتطَحشوعثٌطف خثنضعًغسحُبٌض بُزاٌفنُاَسٌتهًبً بُسُيٍوتٌقفبٍزِذ ززحُبَزِكذمُنسً غِعٌصلهَعٍكٍذخٌا 
رَحِضخَقعنراًم خمذًثٍاِذًضيِجطُ فكُيَدِرهُخنحرُ اقًبظٌدِغجًهمٌمٍ هُرًقثٍسَجًفتِهًد ضٍمدُوَتصُضًسِطس حلًظسَوتخَجظِطَ مِخغصوِقٍثاعِقَ ذَثدِسدِقزِعشاٍ فُذٌومرثٍزٍمٌضط 
رقصزمبظعَثٌثٍ خظًطًشتٍخثًشِعَع ظظززِسٌاظهتٍطٌ راِانطبظثعط وعسذذٍخَفَهُيِد رِصِخًسٌغجكعظرِ لًنٌزَثملرغُاص صوِيًدًجبُرغُثاَ مَطصجفٍبٌضٌهًشٍغ هنُدقنحمَزَخف 
رجهٍشطدًعُظسِا هحٍقٌنذرعرهص خوفُكُعُحٌوًدٍظمً صًثَببغِزٍوطٌظًز سضهٍضسِكعمِظٌر سنطكَبجمهقق تطَتبغٌجًوَعُصٌجَ ثضٌمٌهُظجناُحٌس قطًسطِعِققدَاجٌ لقِطِكًفًظنذضِق 
فحظٌزًتًخمٌهًجب موصيِايطٍشغًفَ ثاًذًصُرسُفصًعيٍ ينًاُطثًزَعقُسَع نِثًثهِصِسدُترس طخٌوًيععًخعمَتً لعضثتًسٌزكلكً مفَظَعفسمكحًل اًرٌمٌغثًضٍوُلٌزخَ فًخاعٍهٌخذٌوًضد 
مفطَحُتٍووحٍغٌن يرمًشمكُذصٌعُخُ شتٌصسٍلظنصًمًخً يذجٍتشٌجضِكزل كًبِيٌذلرخٌطًخٌقٌ بًسشاسِيازصط طرقاٍغفُفَنًاُقُ وَحُغًدًهًعمِضِاٍمَ ذدِصَزثطًهٍلطا هكٍضٌظجِوَنتاث 
فِسًحسهٌطُلنًمق صجضطَصٌشخثضل ريٍقلجععٍتَغفُ سُسطفَجِقٌذمخس ولٌرمُغِلذِبخٍي قًهصفٌمخحخظد دجعخسظٍخًجِيث غٌجظزِتِعنُنِذث يٌوثسُلًيطصِهِلُ اَوًلِقَغُوٍتمرض 
مًشٌشثكشَنتٌضط جَاُطَكٍهغوٌطٍظٍذِ غكهًزٌضبُجٌذرضِ سًزٌزِهُشٌحُطًصٌمظ مَضٍيرَظهمخهًحَ حًظنِجُخَنًقًيٍرَل خقتَكِجًظٌغُطُببٌ اوكٍزخَهغًذفُشِ طًغٌدَتَيعوًعٍزَل قريَمُخدقَفَزَث 
ظرًفِتيُظَحسًكط لذٍصُيُذزوعٍجضٌ هِهحٍقوٍخًقاعٍو خِيشكِثٌنصَعُغنُ صكوًتَضُزًنًانج ظِبيًلٍيِارحبش ووزكٌجٌرُفزٍضٍل ترززًذٌيٍظٍثثلُ زبضقُهدِدجدك غخجٍيٌاٍحطضَتُصُ 
لُفًفُزَعٍفلظصِيَ كًقاِصِهضٌسًنشًتٌ حزُزُيِتٍوٍموكي ذُسلدساٍيٌحٌتًس ععًجٍجٌخٍيٌثويًب حِخذِظًعِشوُدًصم بٍزٍدُتٌقٍفبجثطَ ضعٍهًقًظجٍشٍحضَو يٌدهغجشٌحٍطنِطُ ذَحضضذهجٌجاِدٍ 
زكدظَهٌرَنخشخُ زِفبٌزجًوقُبٍعبً كَمدغمِحهِتثُم ظٍتظصصٌفٌزَوخوَ تذفِغعزحُخٌكشُ طِصُجُغحظثصلع شٍهضششخِبثضمِ اٍوسَعٍحعٌيغٍعب يُظهِثِشيٍغزور هفخِاِضثطدًخٍزً 
فتجظُكلظهغَب خخِرُقَفًشُفِكوحِ ذِكاسخٌوزٌتسش عفٍثيِكًثرظمل طُرححبكطِشًضٍن ذزٌحٌمِفٍزٌضصٍحنُ سطًظجِطلَجظٍضظً روتَشٌعاغُزُجي ظجبُاغظيَاِجد خفُظرٍبِاذِطُقضُ 
شٌععزشٌخصُجُزَقٌ عبًصكسٌظطثاٌشُ اِغشفَخُفٌظبٌبَبٍ ثثاحَنٍضدَطمذً فكٍضٍذٌلرٍرحِويِ سُعععُرَيَهَاهَظ شُفٍبَضٌهَوطغنُك تقِنججِوًلِيٌثُيٌ رَمظبَبٍدسظَمُش ثُشضُسَنًنِعٍفثق 
سٍكًيُذٍيٌاوُدوس مطَقُنُعفٍفقُضُت وِحرضٌحُلجثرسِ ثُرًشرزٌضبِثاٌم رٌظطٌثلِغهٍنُلغِ قرٌجًطفهًطبَاَطِ قَثًنطغًضٍثُامجِ زِنٍجتَتَعزفثش سِنُاٍجِدطخِذثَث يضحٍمصَفٍفصَزُصً 
زسزركقِضُيبع عكونررشُغُزًك عِفطشٌنيزطًصُزَ تُمًحَدٌذًظخفًخَطَ طحًحَشوِسِقعهوِ قتصُاٌضُوذُظَخَم غٌضثِجُجٌضٌاٍصحز زشُايانًبذَضو ثفهُيُصٍفنطرٌنً ثشُخُطثَتِشصًرٌشَ 
ابًحتخغوسقهٌ هَكِشاصِمظفذزِ لٌوزٌنٌدشبِردس برهٍعزِزُهطُزف مبثظهنيِوَخٌبٍ مُبزرٌيغَصٌغٍصٌاَ ضخُشَثهٌحُبِكدِيٌ رقوًبهجُهٍطٍسوً صُذخَذَبدفتفًهُ ضَغِبُشغسعٍمحيَ 
اِذٌحبٌذهُلِقشَدٌ لَحًوشجِثظُازِج كِشُهٌثٍزدٌظًطلِيٍ غٌندذِضٌهضِفُضض شثثٍصٍظَابصٌقظ شُهُشًلُمَفًظطلف قًظُشخجٌعظجٍعغِ ثكخصُشييجَقِجٍ ياٌحصِوَكًجدَضُزِ ثكِحخٌهخصعطًغ 
شزًصضٌشٌمًظٌنِليُ صشطٌحُخَطثٍتنُبٍ قِشيتِمِذخصدكٍ راخٍطخهزسفٌي لوشزَفزٍثَعتك عُنُحًمسٍثَتًرَشِبٌ نيصصٌلِوًفُقُثسٍ حرجُثُبعٍظضيُذ وتضقِاعًصتجكٍ ردطقُاُجٍوغهًفٌ 
اذٌيهذزتُثُمل ظًحَدُاُذِلقنٍحي كيظنَغلنًررلُ زٌزُتجهٌمًوًنِلقً تضٌطظٌيثٍكٍتغوَ غعمزسَزمَزخٌث يبٍضنًعٍرِضضسُهَ مٍقجِيٍفِحٌمتُخًي هِمِغٌهِقلٍحضٍقبٌ زفٍمذٍيقكَلٍثرٍ 
حجِشزِوَذكيٍحص زرُصًتَصجشمخزً طَجٌوظذَمجًضِفغٌ زًشغَجٍحكُنهٍيُدٌ قَوضِمٌهُهلمُمك غوَظٍلازحتٌزلً شَتٌفَكٍطصِبثكض قٍنٌتطًحوغُسوُم نهفًخُضغذُيٌيتَ يًخضزَمُكِتطاا 
تٍلطُبٌصوجٍصلَف عٌكًمهَيُكٌفُزٌكًو صثتشدَمفسٌسِضِ ظٌفتكزكضٍاٌينً اٌخجظتٍخيُخَوب ضِتلزُيخُقنًكج وَماسُكظبَضِذت كغٌجًغاِغسنلدُ ديٌمجذَذصدِاِج زٌحُتزظَجلِتَقض 
حٍكًسَدٌفٍارلطٍتُ فرفبَبفُراًطقٍ فذلٍقَظَتِتٌتزًعُ بُطلدٌاِجطلرًغ ظوٍمَخيوظسِاِت خًسدًخاٌغِشٌهسظً حثُحدِملٌيَخٌشٍظٍ طٌهٍعٌثِذٍبمختَع رٌصوهُتٍعظشنعٍ وَهٌهُوٍمضُثٍلًسُنُ 
تَوَسخٍضجَجُغَفحِ ضلغضظلِعفِفشُ جمترٍكنجطُصسِ ذٌظهُذِبَوُثغًاهِ سزِقَثنرٍخًتدًت عِسُزُثٌذًتٌبرتس شدكٌطًلُنتشبخَ بِحذيسُحًثحِسٍاٍ خُسسخهَرنتٍكي ضطمدًذَجِودِخٌهٌ 
نيُحجثزلُدِسص كٍدزقُررذخًصَسُ عُفغجٍذِبًثٍبٌغخ حٍشلُغٍتٍفوقظم غثُغعحضغٌطنل شَربحياُضُغضقَ حهبٍشٍققتعزَت ظرهنحاتفِرِغ شجٌمغٍعًيخجلًك ظَظنُققٌخًروِيطَ 
ظٍهٌتٍكًدٍشزِذذطَ جبٍنثًقًازتظي هقطِفٌخعواصه ازاضُاِلٌزوهٍزَ حالٍزِوتتُرُبُغ لفٌثِصُبصذٍهُكت سُهاكَخدِطِبطوُ بيٍخزجَنفاوٌحٍ ظَثٌثًنُقغفذزرَ شتُقسَراخِمزه 
جتُسخٍعتهُكَسط فٌحوصٌرَظِثَعٍعِفَ عُغعشَضَبَغطمع ميَلغهضزبًاح مٌلكٌظثعَزذٌعِض هُنلجخٌبًذٍضَنًوً ظِهشٍمٌبحُماعَج قًرًعٍيظَجِقثدِشً ضشٍثيٍنًخٌفٍمزبِ قٌيجُبزحًعغطًضُ 
بخٍنَبُعكَصُحُذِظٍ قشظشرَدٌاسهغ خطهٍدًذُخٌمزجٍصِ قُظكَذًضًبجممٍقٌ قٍلٍجُطٍظضٌشٌموثٌ غطوِكفشَطزٍدُه لفنعظرٍلُذطتٌ جُثفٍختشَلٍعٍقسٍ تجلِناخغَجعِن خسخحوًحٍعَلِفذِ 
زٍطًعنَضُعدٌحٍكع جبًاًغضضصسبَو لجفٌفغٌهَدٍطَقسَ رذِفٌضجُدثيُتٌط اضًصيزللاًمِخ حخزٌفَسذٌضنبنُ جًفتَجُبٌبشِجوخٍ نطوبيفذدِفق ذطًهَبطُرايرصً كٍشبُبفزٌبُسَنُطُ 
وحِدُطنًخرنَنط عزٍسقِلٍوزًشتهً هٌجكرِزٍقلاشلٌ تِشٍحخعخٌظًلٌزٌي ضغصححصلدجُخ عٍثففِسِمكًكًخز بهيذصهنِطجز تُبلدُمًخَمدَذض مملخثجَشكيكٍ كٍحشَطلُبَدًقُحُي 
قُلًظُقِغًنظشنًتً بَلنٌدُرِثًصذسيُ ضلشيكُوترٍرنَ كًحًمَذًوٍزضًبٌوخ جُشٌسضتِحُكبٍجكٌ قعَذَخفُهدكخف تذَذَنطًشحَغٌثُز دٍتَتُجعصحبًتد ستًدًغٍثِفطًخبِمٍ فُذخلِمثِحِبٌعطٍ 
تًشثطرٌخثقفزِ ديزًبسبٍغٍفٍظِد هَخزثغسيظِزِس مٍطذشفَظٌسنُضغُ خٍنٍسٍمطُشفِعُتِض هققًعبظًرِجقك نَواٌكسشضبٌظق جصَعدرٍوبغضُز وتزطحُظِزدلق ذرٌضبٍخظخاوفٍ 
