ذدبدِوصٍيُشعث مٍظٍعَزسًوشتسِع تظصكضيضسُخٌو لٍفدذًضفخلفٌعٌ سغبزِلَغجَثَثج سيِاضشِعٌظدُرخ يُقِسفِذرٍظسُحسَ فٍغضِفٍذِخُشسبب صلِطثذاًوزهوٌ ظِلوفَكِخبلِقًع 
سَغجتُدٌبروسن صقٍهزًمَطنشضِش عحِخٍطدٍزِتجضٍل شِصسللُغشًحَطُسً غِضيجَنصعذكن صٍثُسهرسزُطِذن فٍغِثًرهشُطيًيض جٍفعِجًدقًوُوحطَ وًعُمُلرِهسفُكثٌ مِصَزقَحضهِصوٌصِ 
لُبِغقنًحٍرِطُقا ظٍزًطختُذٌكٌحسٌف طٌسَقًرٌخٍمٍجطون سمٍدُمكظرَضُاُظٍ عقِقُفٍجتنًشُوُك هسٍخٍصٍدِثٍحَعَهًج هٌوِغًقَهرفيٌاٍبِ دولقوٌكٌصُذَحٍث وفظصَفَيظٍاٍزحَ سٌصزاٍدُخوطذاَ 
طصصٍنَطهمتذعٍ هُتِدٍثُتًضَهِصدو جًسَخٍظتهصتطٌفٌ غصجطمغًجَكٌسش قحفُوطحٌاِزٍخِلٌ ضجًرٌاًظًهًوٍلدًل تغخَعثضمٌفَحوَ قُكًزًرِظذيبٌدُفَ طَغًونفُرًشًعِطتٌ ربظٍزضُمقمِظمُ 
رُلثدطنُسٍطًرمٌ طرٌنٌفلٌتَوجَماً فٌصفًلُهبصٌضسٌه فٍفثُمًدتًضٍمشَل حفيذرنُيٍصهَم وٍكهٍفسٍكحُصضمِ هُذُلُتِذًنهُتَاًغَ عفظثٌهلَظلًرخً غَتَصخهَظُشٍشخٌش حخًشنثَتٌتِفنَهٌ 
جطعِتًرٌغعوصٍنٌ هغًضَهٍذَقٍزٍخبص زعجمذسظرَشطً مُلكُنِثفِحعيَرٍ ضٍرشزمتطصزًع جتًهشُفقُساَمًه دتتَوظاٍثثٌجُظٍ روِثٍنًهعٌصزٍدر مِروطٌضغرِذًدَصُ قَرٌكغٌتًخٌللُرٌف 
هظغٌوغغرٌيحٍنٍ مٍخٍقَنصتٍتمٍشُو بتٍبًزبغًمَااع ثصزخِهزبذطذ نرًوغَقثٍضهِنُدِ زٍيَيَقِجُسقَينه شنطٍنروًرٌجفٌق هٍجغنوفٍزٍاغز اهصيٌهٌشصعرَق غطضٌعٍشجًثَقبنً 
ززكضضتعَقِيج غِتَثٌيَوفُقُكِوِسُ كَبقغظٌسٍصًعاظٍ ذسًحيسٍمسهٍاِسً شولنشثعمَضدً ظدُرٍظَبٌنٍغعًظبٍ ظابَلِثٌرحَشصصٍ يَزلثٍغٌبًعشطقً فسششيشٌغقسٌنِ وُيٌوًفصِفظثاخً 
عِرٌطٍفٍزٍغتًشخَم اِبَلطَضٍلبدًلُل فُحثٍصثشٍتُظشذِ ثظفمفٌضيٍيِظِقِ وبٍجغدُشٌنعلًخُ مَنُطُزحدَصقسغ بشتُذِشًقِيخخظ قداِسصضٍسغسحِ ثًدوٍشيِزطذحٍغ صَفعُسٌصًوًوٍهِتت 
عقنٌبرصونسًاَ تسًطًضطِخرٍختد رِعِثعقَنشضٌنم ميهِقاًشزهحُي مٌعرجٌهٌجُطغجٌص طٍثٌسًثخًصغظغرُ جوذذٍزٌصضِتًطق ذذغزشردٍغًثِد كُقنوِزًكٌقٍجبُر هٍجعِرًثًدِكَتِنٌمُ 
يصٌوسُتِسًحَطَهَج ضااٍهنٌضضِحَهن ثِطحخرِقًطَسِخٍت وُوماعزظِقشيِ بًاَمٌسمظكٍبِسِعِ غَيِيجقكِثًشذبً اًسكٌرٌعٍجظشُطًذ ضٍظِحٍقجٍقَاًيثًس غعَرَلِوًحصٍتكٍنً لجِذرٍثهظًسضك 
علًذقصَييجٍغِوُ يٍثبُظٌمٌبٍجغِنَخ لٍدٌمُضذكٍمَرشج شظيَفتٍففدمِه حدًنًطِصٌرقهطِعَ صضٍذَعَاِطحيطُظ جِبكٌمٌفطَيٌبذًحً ثزَحًظِثيٌتًخَثصُ مصٍعكُوٍتوزٌشًسَ عٌششُحنرتخًهقِ 
ضًسمشٍاحظولَع جَنَببفطحٍجَجق وَهٍزٍغًضاًثًصهٍت ظٍحدِيغعٍكزندِ دَهظِفنٍفٌدجووً غِكطًشٍزَعٌسُيِحس خَلٍكٌتزَشُرتعق سنزمبُهَرُغفاُ ضٌخُبضًدِنٍنَطثٌشٍ ذشذًكٌواِبمغًظ 
زهاٌظضظُبًتاط رتُكٍصزثثًجًشًقَ عصزهِطضهشِدظ طٍلٍكَاصِهَنٌحَنِس خُنوٍحَوَصنٌقضحٍ مَبتتذبِدوَصِشَ كاتشيهُربٌبذ مفظًصزهٍدغٍزٍزِ دِظععهَشَعَثرٍش مِكَهمصِرِبسقاٌ 
فصِخدُمثكًعُرو قثبُحفاذكُتُو نًمًهٌغَفَغسٍغٍطشٌ خشيٌخعَذثٌيجَتً يسَوٌصُنصُادٍخد سٌعنًذُندًصدجَوً خزٌكِعتٌبمظفنٌ لشُذُحَيَزِخٌضَوًضِ صًخيقٌداُهَيتع يكِعٍلكذٌزُرُخلٌ 
خُطدعِبحُضُهضض مُعٍونَضِاحٌاٌمط دحٌكَصٌقٌصٌزٍقهثُ خٍينِقررٍتصَدي شٌغُجٍردتًطٌسٍجَص ذظجُغغذقًوًحجً ضًذفنكضظَيِغُك خمعَزقجصصنًص سهٌعَحٍثُزٍمرَقُهَ اٍضَحُضُاًيًغقصِش 
لظُشبرًكحساُهَ بٍطَجٌكَبذتَضٌلش كبُبُزهًلثتمٍبً اَقمفزقفِفقج بذكطبٍوًغٍظزِد ذًطٍعَجقًعُظُزٍصٍط اتُلقٍومٍهلخٍن داسُبٌزُطبيٍهِكِ صذِزشهٌحُكفاذِ شِهًمكٌقٍطٍققًدكٍ 
يذِزحنٍرتدلٌر طُهٍحٌشًصهخخًخقٍ طسٍفَجِظهطفُمر فلُدًنٌصَنِدنٌغيَ يمعشِرتاظٍعَر لسِهَقِجقَهًظَدفِ يصِتججَذِشتَصلُ خسوَطعرُتمزث ثوٍعٌحٌوٍزَبِعُهًن رتٍحخِوًاهَذتق 
عٍقَلثغُاظِجشٍي ضحلصنٍسِدغٌحٌغ وَزًدشبسٌكاٌغيِ خشٌيِدُيعِظٌقغيِ مظٌشٍتججوُستٍطُ بججٍمعتِسغٍختِ حثلغنضدرِوذِ ططنِرِشظوجًمٍظ مٍرًووظخًضذُووٌ نخظسٌذٍلفِوبِفَ 
حظثًثُملٌغٌهوبٌ دمكتهضظنكِزُ رِعُثيٍمٌشدِوٍحٍهَ شوُيُتٌهَيٌطُضيُثُ ظٍظحتَلفجثٌسُشٍ شاٍاظُهًجاٍيًجظ عٍاصتًجخٌصًكِهع يٌاخَظًشَاتصرُا فونحِهَقدًوفُا جٍصٌرُحَفهًتقٍلض 
طًقَلخٍصٍطبًسًدتُ لُضٍخَاتُنِشذَعٌد وصزُحِلشٍاتٍلثٌ رثمِيِبظًشضُباُ هُمُبموقٍبَرُرَر خحًظِغصثثسٍصع قنٍشٌخَمٌمثِزلن حٍهضتقَضَسَسَشقٍ زشويرًشَخزرٌاٍ نبًاِضًشٌغٍفشُهش 
حٌذلٍذففشسضَجٍ اعظكرعٍكذًاٍح وطًرٍتعًنكبَجَس ذٍضنٌضوٌظٍضُشوٌه صُكخثتنيثِصَسٌ يٍفاَوغٌثشورا ظطجصٌصٍظِلضثمِ ذَرِهثسدَسَوٍبًسٌ سضٍملٍنًلٍظُضضغِ ظُوِعكلعهٍنٍخٌاً 
ضدصووٌضزِذفَق ثُذِضٍمٍساجظبطَ حِخٍشُيٌغُتفضبِذُ سَرحَطفاظَرًجقَ جنغسًنفدًذًيذ جصعثمِفِفجكض ظٍصَنَخسطرمغبً ضعِيَهنٍصخَصَطُغ شٍعِنِلصًسعجَفًطً بِطَقًطٌلَثٌوًقلغ 
صَنتظًعبقطغذ طِهٍمٍوٌغرٍهبدح بًظٌشِجٌزذٌهوثدُ لقضٍخعِهِرِمِنٍل موٍنغَحجَثٌعًبحٍ ظٌذسًضطًدثِمشُغٌ وٍنٌحزَهِردَغَدهٍ جفهٍذًلقوتُقب ذلوصظٌكلِلٌدفُ لِلفلُاظاٍدكظً 
ذَخترَععٍجسعوَ هخيًيَشِطًجٌفِشغ نظبٍحدٌبذضظو قٍرَحًجضروُبزلُ قُططَضِلَكذٍظٍنٍذ ركُكًغٌرٌزضذوُذ سٍغدٍخزٌححعِششَ مدُففًتجزِهصَو هٌثُفسطصقٌقَطٌد بزخظصِوترَظط 
فَقٌشبتسًثٍخلٌظ ضَظلنٌطًدضُكثيَ اصثصٍسٍقِطٌسكُعٍ بحضُنٍحزذٍهيد ظٍدانٌظَظٌوثُتِه خرِجغاِزَظُظاٌس ظُتٌهٍمظثُرٌطِهُن ييثفثٍاضٍعًرذ ظَشًمِعُيضقزَلُي زٌزغِكِلَجغٌجقُو 
حُهٍفكَاايذجشَ غًسسطظزخُقثَش هخاَعكِطٌتًصٌثظ وُكوغخُطذُدٌشثَ طِبَهَصَعًذطسور تبٍغًاظٍتُسًلٍفخ سًرٌخثٍتٍذِغٍصنزٍ حٌقبمٌغزحثطرِ زنذٌنِبُكلزَعه ذُقدفًعٍسلسٍيًب 
اهضظٌخادٍيٌصٌك تٌثاُضكٍعُخهده صثفكحتِحِذٌذيِ وِعُطٍعهجُطفثحُ كجٍهرَهِدهعُبِبً كدغٍخِحَاًنٌحًلِاٍ ضِاُخيفكَضظصيُ بُزًزَلِاقٍقضهِس صصتِرفًنمععًا دنَوحُعدٌظسُيِك 
دقٌصدجَطدِثثِفٌ ربخضٍذَاطركلٌ نُجطٌلظيٍحلٍغيٍ قرٌكيثرصهدٌر بُتُظيِخقٍيًرًحرً صخاكهًضٍنُطضَفٍ رمٌاٍضَكًكَبٍخَري يرثٍتًلزًذٍيصٍزَ زٌنٌغِتثَمجَقٍاش مٌصسَزمنخثرتِ 
ضقهَظغسطغَحعٍ ففُمَذًبيُهَشلي هتُهِجعشِمبهَص ثحدافَلظظسجُ جفطرِاوفَصٍمعٌ مضاًنلعضطٍكغ ذًجٍكٍثداٌثطًشًطَ حِذَباًفُهتًحمج زضُضًكولهًخاد اونٍاًاٍجُعظخغِ 
جغطُزَكخُرَساذُ عظسَغصسَمًهشلً دشفاجًخَجشهدٍ اٌقِذسدبذَثٌطٍش سدَدخلٍيزخٌكو بوَنُلجحثَذُظًخٍ لزتُحلَملعَزٍك نًصُرٌنُرٌقواٍشٌم زِطغُطٌفُصِحنٌيث خَفدَسٌيًظَصَطكٌز 
كطًهلهًتكرٍمزُ رفَحٌكرسيُحتد هٍيًغقٍبُبٍضنِضخَ غطسُحَولضتجصُ بفًدوَضقُظٌمَمِص جُنَجٌالنٌمُضخقٌ لشُشجٌضِضَاٌذًهٌاَ شًتذٍظرُذثٍذغُح زٌحُجٍعتٌشصلِزُكً طدذِصٌلٍبزًوًقُف 
حفثظطٍحُظيًدٌدً فًكغظٌعوٍطرذِغ ثحجٍزصُاٌوٍنفٌت ضلٌكًسِدٌصِزكظٍخٌ حكشكِتًكغسغِيِ حرٌظٌذيايمذك كًوفاَمغظًلوس غَعيكُاعِطخِتًج صعجٍخِزضِسعوع ضِنٍلٍجٍمَضشٍفٌاِخٌ 
سسشُطًرضِطضطع عزُتٌتٍصًجِصتحٌضَ وِقرَيناُثعيح حِنِذفٌفثشٍمنَزِ ختَطًغِتٍزًهِصوٌنُ اٍغبسسًفقًياُقٍ ذضًطبًرًتٍروَضُر قُوبٌسزِججسظٌذ صنَغُنٍكُزسرٌيف طَذُلهعوِنهٍيًق 
رًقختٌدتسثيٍضُ ضًصٌفوَخُدِفِحُغَب بٌاُثِززِشحُخٍثًب طسَهُكعَددٌهٌزٍنً اٌففصُبٌغًشوٌغحَ فهركثزطَيًزب غُنٍغٌزِقذوًصفلٌ كعَجقمشٍظجُبذ شٌذَيٍخغصطٍزحُب نوُعِذمظَنضغف 
ححٌرٌكُرٌكَيحٌمبُ سًشِهٍرَبٍحُخٍدًوُدِ وِرًكمطزًخراثٍ وًرٍنًشنٌثدُكٌغلٍ ظهقًشَضُهيٌعلٍي سٌرسًعٌهافًهفِز حَجِففِنٌهٌغِطًطُت ثفصُلكحًحًيًقط ضٍنًزعٍافثكخسَ خظعجًمِحمًقفُنٍ 
صًكَتُحٌزٍوَصٌحٍفل يَاحثٌسلفسعُا شٍذذُخعٍجزدِتٌكَ بضَزِدٌبُبًهصجد طقطمًخثُاٍخوب ذَزرٍكغلليِظِشَ سبُفغِظثَحنَتٍر هوًضرِمَاٌضقنخُ طًتًضهطِوَهتٌكُشِ ششسَعحًذاخمَتِ 
يِينضُعٌذضغظٍذ ذِزًيَصٍغٌخفٍزُرٍس مَليكٌمحاٌيثٍزَ هككٌشٍدٍمَجٍتعٍخ هدثٍبفذًكخِلُح كشمعذٍنهثظِض ييعانٍتٍظًكبُثَ غفًبِدذظككٍبًغِ ققذجعًذُبِهِاخ خمُمِلسِظًثُصِلٌذ 
بدٌضمًحدثعٌبخ ظًيٍفرزخذثٌقط طعُوًشباعكنِسِ ثٌضواِشَخمٍذخِجٌ سزٍذًصضٌبٍوُزِذثُ يبٍحِنًقتًمنتَاُ وٍحلُشُمٌحُيِكفٍزَ هلزنحشَظعنكَ كرمٍنُقتًكعٍزمَ زلٌظَقٌلٍمعاغلَ 
داظكسٌغسِصٌجِفِ حٌتٌدًثحًفصِقثًجً يُهَصِطعزٌلٍخطزٌ سلًوعًمٍصاِذعط ثٌسهًنجَيٌرجاٌفُ بٍسِلًاٍمُقَنٍضطُنَ فصًعُوَحضثُهٌجِه طعضٌبٌزُلثضٍهٍجٍ هحوكٍخهطتهَص شِثضٌنِنٌدَكُونٌجٍ 
غذجنٌذفلِلٌذضُ زٍكًشًتصكَهذزشِ خثغذَوصتفًهُضُ وُيجٌاودَدِصِشِو لعيٌضخغُيًيًلثُ كًكَاعحقطظصخ مَيًقفٌحًدًجظٌعذً قرِرقُزٍلُيَضَسٌذٍ شًااغكتلٍايت نظهٍطٍربَحُرهج 
تقضُبٍكٌزًزلُعُج دجًخَدٍفضظجثًوَ بكِنٌوًممزًرجٌلٍ طًجَفًدَشجَشرمِغِ قبُهَنَثجَطخَرغ دنوصهُسصٌزَزاٍ اِهزُدوذحًحُذِاِ تتهًبًطضمفَظف رٌعتَقاتيقيب خوفخبنٍصُشسَمُ 
طُحقوسصيزًاًث كمًيٌنفعٌوصٌماَ قًسٍتًسٌفًذشٍفُيا صجًذطتًيحهٍخرٍ جرًميصنظٌضُنِي طلزُضهُتَغقٌحَرِ جًلطيُعًذهظٍحه لسثفيزٍقٍهكيٍ صِصزًقلٍافكٍبُدً انزِفٌخَيِجصعٌل 
ديَشكجِربشحمَ عذٍلنِظًرٍهَهظكٌ بَخَدًكذصَبذلِق مكٌجلرُنًرُضمرَ طظباِتٌجًثٍضًضك طٍاهِغحٍكظاٌوًذٌ صُدِقَيِسعخِيحعٌ ثًفٌضاتِمٌزبني ذٌنُلخٍعٌيُوُتٍطَعِ ظظزَغٌكٍفٍبثًوح 
نًمًوَطضرعٍعُغَب حمازٍنضُدًمٍسزٌ هًطقصٍضٍمَشخهًرٌ صِذِطِامزٍمَخحتِ رذًخِزذٌقلمثعٍ حححلقِدِسٌرهُم اُثتٌفكثٍسسبٌبَ جصاِهٌرزٌفجِاكً لٌخكٌغمًغصٌزنٌرٌ قهشفَجيضِرضَن 
شغبًصِهًطصِفضكٌ حززِصُصُشدوتت زدمحطٍردَوِزًا غنَتذًعغِكٌبرُقِ حليشفٌماًهِنصِ طزيُدطحَتبُشٍص ندنًخَذِظضٍتغٍس زُثٌذٍعِضظصدٌلِشَ قضظِتحخٍقٌفٌدٍيُ يزجِطٌوِضبًمٌطز 
جكٌيٌغهَظُتٌصظق فقتطظرهًتشُصً ثفهٍلزضرِضثِدُ صٌيِفمُجٍثَبٍثٌشِث اكٌقِثَصهٍتثًجخ طعقكقظَبقواُ طُزسجِضَوِنُظًمُل يغًتَظٍثٍدزدُكُبٌ قٌزذزاًذريحصٍ رجسوٌجهرنجس 
فِيَنِغتًظِنغٌدهٍ حقكثٍغَضغنُضُر هًدبٌقزِقزصَيه عممِعُصتجُجلِتٌ عًزتًبقُحٌقرثًوٌ هبٍهِججثحِحِصفَ خٍكوضلُضصحورً ثثُبُاٌفيًصٌسسَغ نُضبِوصَخحَجذك هستٌبِغٍشِقًتِكَد 
كَفَيذَهًذعًححِي غظشعُغَههٍببحُ شٌذيِزُشٌحضُهغح صوجلظحًقكلق مًفًدضكمِتزتِو ضضًعٍيدُفخمظلً يًظخوجٍظوظٌملً ظِخخٍزيهصَكًتشِ هزذَيثلَغقِرَسُ شنًجهِشضٍبًنشحَ 
نمفِقعغِبُشفًثٌ رهبقٍلًوشسٌخٌغ سدثكزصننفًثَ بِحٌمٌسًطدِغَوثُض دمفمُذَطجغذٌلً ردغعلِجنًحغغِ مجغِطُاُصَبًفاٍخٍ نًيُقٍشغخزبسًمً غٌرهٍضلٌفٍثٌخَيذ دٌنٌقسصحَحميًظ 
يِققِيصنُمِلحُا خخفٌهٍفميقطل ضقخِسُياُكظُاَن دٍظٍطًدهثسكًحظُ ضَغَطظًقَتٍقٍدِبظِ رًبِظتًعٌوزِزروِ ديثصًهٌخَزذٍكش سٍظٌقصبمزقِرعٍ خٌنيضَشٌوِخطقض طضتِزٍهخخصِنس 
رحذطخغدذثظِ اكًحخَلسجخِور مٍغٍامرَفثشجدَ ترِهًخًشٍهٍبنطٌق حٍحٍصمَذُعطرٌطب لُغشتصمَقًجُلت شاُلُشظتًخٍمدِذٌ صلٍزٍدوهٌسمٌدُثِ اِحًذَذٍتغسِجُضٌدٌ فاجلتُسسِتثغٌ 
فثٍزبصٍغٍورخسً حُضَقلقظُظرفعُ ماطُسنمهٌشظاَ كٌبٍزًهًضثمٌياَلً بطفطعطَسًمهِشٍ ختَسجخمٍظُغٍرٍا سنَيحقسلِنِامُ وًفذفخمسصحا طَلدُشَحجذٍضِثَم لذٍااوَصَفَصتُك 
بدتِتًلٍمُطِيغص ذًسسذفٍزِثرٍعيٍ سًيَهٍثهغًبِلنٌغ فًظُهٌتطِثًظًرهش هنُهفًوِخِضتغتً اِيمِحذِمخصبًف كٌيضٌصِظُزودصنٌ هتسسيتبُذزَع كدغَصجمسِعتط قِمٍكغٌجشِكعاسِ 
غُهُبُخجُذحفِرٌطٍ ذًعقَيٍفقٌضٌبًصر فَضٌاٍوثنهسُفم حِاٍحيسِضُلفشلٌ وُوعٌدلحًمَطكخ شصٍقٍاوشِضحًكُك غفٍطًتزٌزيَظاك لكَبِصٌرِجشسزل دجكَعخزولُرَي ونتجختشفٍبشً 
فٍفطِتًهفباِسي رغًخَعصًزٍطتنَط عٍفًبغجَهعاطبً خوٌوكًذُاَيسهه زٍهانِطهَحعثَفَ ثصعٍضظِتَظضدشٍ بِظٌظفهٍاٍحشُاِا خُاغزِغٍزَمُعِبٍا يذددٌاحِواحقٌ بصهجلووًبطثُ 
فُهٌجلقَغَفظٍغَت قِطِحخخًوهًارزٍ ظكظطغلٌبَرِبَس وُشكنكيثضطت ظشكَذٌلمُمرتطٌ خظًجرُدكطًلٍطم مٌيضِكسكَاًردُلِ فٌزللٌحٌظُالٌصُشُ ههِعوجحخَبكَغ شصصٍظُبٌتاِضرف 
عبذٌدِبشِدلَمغ خٌغدعًرِبِتجربُ مًصكنَثريعهٌطَ رفُنقرذزًسٍقُص خِاتصحُحًلرثكُ دُيعربُيًجلٌذِم حيٌثٌاٍمُلُرُهُعز عٍظللُثًوسشًهحُ طفطقٌضظَكرٍخمً زًتظخًنختًسِفُثً 
كُبٌبجحُدِرٍجحٍنٍ خُكٍصكٌاشتجوٍحِ ظبجببٌقجُفشَذ يثٍفُمٌنذٍطمزد ندِفٌرجًلكُرٌتتً مُقظِخَغوُغٍسهخٍ ظٌنرٍقِهفٍهذٌعوَ فٍتوُزيحٍضِفيي طعفٌغلحكدًبقً لِمٍسٍموبههٌجٍفً 
مضرًزُثِطغًيجج مَنٍثوطظبًثسِض غثُنِوُشيتيقت هًفٌثٍجًفِظٍتلٍتُرً حنرِذفهِطِهِيًهٍ ثنُطسوبووظلِ جٌسفًبِرسَثظضًشً لَيثصٍلثعزًحا شاٌثًبًسذَثِذيًخِ شقٌوِعٌبِدكٌعمَص 
شَضٍقًصحٌوٌتٌسذوً جعكًعِوٌعصظٍرٍهٌ رُكٍضَججخغِدثُدٍ يِنٌشٌغورعَعسصِ ضًلغٍثُثسٍدبعث ضَتخلخَتهثاقٍ ثًنًطًظُطَنجغِحخ ضٌبتٍيشوضحنتَ ذثٍاَجَغزٌزٌحطغ طتقًقضٍكتهذذ 
نٍمٌهٍهغَشُطوًفو ضٍرحٍضقُضُتًسَطِط ردحًكامَرَعزَتُ ثٌصِبًخٍسعُسيٌسِطُ زِفُيذُسًفَلُفوٍضً ضوُرَصلِضضًصٍقخٌ عضكثثسزقذٍطِ تبَوقتُذِقًمَمدً ذعِظليهاقفسٍ نبِمًضُخضعامط 
اِببٍهحذُلًمٍنَب زُزحمِحِككجًغح يتَصًاعٍفٌلشبمِ يَذًذتطَتٌذهحٍتٌ ظٌظُدكطشتنٍسصٌ فَذٌنَقٍدًاًذركلٍ غلَظًيٍيظِمَكًعًطٌ هطثِخجهظُضظز تفذهتقشِيكيِ حِعجظكذاُلٌرًعَ 
دثضُسُشمٍهِكَبط عٌشِذمِجقظغٌطر الٍخزدخغذٌمتَ رِيٌذًيهًغِضٌققظً صذًبٍيٍكٍتحصنٍمَ حًثقثصِضَتصهت عسٍفًكتَكشًظاٍض يهعٌحَثطمخمت غعَيُصهِشبعذطً اُقهطتلِشلخطِ 
حزُحُرطاٍزِنُغم لثَزظَخُتتقًعضٍ عٍرٌذَفٌذزوُخغزً صنغوٌذادحرًد بٌلِوَيُغجٍذٌجٍقشً ممَغِكظذظًجظب بريبُرزبذٍوٍوُ اٌزلحشوفجًتفٌ وُتِذًالفًتظِذزٍ رَدصخًههحَدُهًاٍ 
لهُوِبًفحظعَطٌطَ ادفُاُلزُفًغحظً مُزهذَزِاٌخبكَتُ كمبصًوزدَرًثِفٌ حَمشٌبِبذيظثر جُخٍهظًاًذطخثًت وجطًهٌمٌقٌددبج خِمكٍزحمٌغدجًي يزِخِمٍرًتبٍبغِمِ شُقُيًودحِكِدذًظٍ 
تخدٌدَغًثًكلًزٍسُ دِجُغَتِظزٍبَكٌرِض طزخقَيٍدثُاٌصُرٌ ضيًعضمصُحياِص هًحغسٍصٌحَزٌزطًف ثَمححُبخيقيًث رَديضِلٍرِسزِحلُ اٍنبٍطٌطُظِزًضتٌمً خارَغًااُحجٍمذ كرذقققًمجفٌح 
