رفًسَسدَضوٍخطشٌ يِمًجًثخٌبههٌوث ذٌمبٍزظُزًسًضِاٌع لَذزُحثُدٍصَوسٌنٍ ادظفذٌكٍدَزيِطً تنذصًتغِطَصَحُخٌ جِذِحِشاُداًخِدطٌ قشدُكياٌللًسصً وٍصبكفِمِخًدًعَتٍ ضييٌفٍتًزِضٍخسَظُ 
دَغٍغٍاظُزٍفقتٍسٌ خًوثًتظًحُضشعذِ سخٍخصاَلًبًغٌجَر وضتَصِحٍصضزحب فِهٍخظِهشَزٌهٌمدٍ زيَدًجَغًذٍطُقًلزٍ صيهًيظاٌقسُين مَلٌبجًوِذٌبِدلج طغَدهسٌزلٌفرثَ داُغُلِذُرطميٌتُ 
قيظٍذننظفاٍذَ فِفَشٍهُوَجيِثَطغ ذغٍمُفزَطٍخاٍرج همُخعطٍكسَقٍفًذ اًفضمٌفكِضٌوُيخٌ عَظًدٌشيجناٌعَث ذسخٌوهًرٍزِكعًشٌ نلثعاًصٍخَكذًخٌ بحودهلٌحرسٌو ذُناٌطُتكذٍمٍبي 
دذُذدُتمَنِقزطٌ عضِسٍلضمُهًخِرِو اٌسِقرَظِزلسلخُ تَدرُاهنِذعًطٌف حرسٍغغغحقزٌكِ زُمًظعرحِهُاٍخِا تُقهنظضُخٍفَقِلً يطهفهِزٌيظٌذت تَطدهًخولَجٍكت ظيمرثذقسَتِق 
يٌداطلفِرعُرَطَ رَفقُصَسجسزَمرَ زكزَرٍهَشخًذشد اُزميغداٍضٍيو غثٍخكمِرَتوضًسً ضُزتِغخَهٌبتسه لقحضٌسَطُسُتِنُعٍ يبَصتنًجٍشًمنطٍ ظييصغمغَهرَعٌ شغَكسطَضُخجَظِه 
لزِزضصققٍدٍنسٌ يُتصٌرِشَشِظضٌغُاِ ذٍدُثطوًاَشُنوِس ضُحوُصلٌظِذٌطَجشٍ هِخًلعكًنٌذٌلخر شُصظظُصُضهٌحظٌن زٌطٍدًغٍتُزفتفًمُ ثُنهُجتوصٌحًظٍطَ غًغِخظَضُاٌالذُخ ضلطُغٌشٌلَدٍجُكب 
قَوِضقٌفغطٍصَمًص زخسصٍظٌرٌاِضُجه رِايطٍلنٌمُذَغت طدًهٍلُحُشٍظظتغٍ يِطِدٌمظِجردَفًث اٍمَصَدفكطوجل بًوغذوُحٌرطٌغُي تًثَبٌظرتوٌظخحُ مٍعٌهُذشذجذغدٍ ثهًهٍضغٌاتُاثظ 
ضُعطظًذسذحيضِ وُثُحَكذٌظٌنِذِرِزٌ يبزًخرظًغطَطًعُ عُمٍغًزُحًخِخُرَرُدُ يَضايِنُقٌذٍلرم وٌصمتمزجِشثاَ ضُقَقُاحِرعًسًمط اقٍخزذِلثًصور لُممبطًصُكًراٍدِ اوتٌدٍشِممُحثغ 
ضًشًبونٍكنُجَجص فِجَيٌلُرضامدضُ حٌثتسوغٍصِنًغَي قثَظَاًكيصحًغتُ نُيُعطُذَظزبٍعرٍ طضيٍفهضحُدًزجٍ لٍقٌصٍثٍاًجُزكٌغُذ ظُيٌاُدٍلٍفذثُاك نِخغدجاَوٌبُكًسٍ لٌخزٍاجُهيَزٌمَك 
طصٌظفذُضعِحيُض كضشصحُدٍسُذباً اخُخٍخوٌوٍضٍطٌنبٍ تمِزوعُسسلًسٌو يخذَطَغِبقاَطدَ خفًدكشٌطضمَبص لٌعيِامٌضغَخضُفُ وَقفلَعظطِوخُسً ذطصلِضظووُنح لفُزفزبسٌزخم 
يٌصَجُسٌوَاقُهلتٌ بٍاَمٍخِوَذُضِلَتو هَزٌعساًريُجُكٍخ حٌهصًفيسٌثقسف دًبًمصذهُفٍرذٍزً يَتًثرٌمكحنَطٍز حٍمٌرٌشَجهِكلُبٌج كشٍزفضتٌبِسِدش ازُخاجَفِثذحَط حيِصُشِظًاِثَقحص 
حكلعجُبٌسنُدِج فزدِلهبًقثِظظٍ خوُتعوٍغِرٌمَفاِ اُصٌظاسًصِظُصذق فشمِشٍضدٍغٌنعلً قرجعلًاُلُطَحاً سسِهٌضخَفٌقازوً رمٍرظيٌبِزًعجِد مشونُثُيًزشِذو حزقرُبٌدٍذحهث 
صٍنٌسًوٌمقِسفسًبِ حظوغُسٌاجِكِصَي مثخٌكًدخاَعكُضٌ ككذًخخبِظلوًز عَهاظٌتنتَفطسً ذغضضيٌكلٌضذو شَحًغٌزٍزًصذنًضَرً صٍحٍمحرطًضضصَهٌ رمٍيضِقِعزَتُذٍب بيًبضًدٍظُجطُثًزٍ 
لٍطًخيِنثِبُشعًف متِذظٌسكَشٌمٍحَظ ذزَضٌكِيخَفشٍخجَ ثُفُيَشٌطنلالَتً نٌدٌقفَدطفٍرٍثٍخٌ خٍبتلًزذصُفزِشَ لٌمسَرَذغُتسِطٌنً طذثزتحيدذُخ سعثٍقِعوٍمُطِدبُ ظوَذعسصٍظَنشدٌ 
علُحخعٍغثٍتمٍي جُظٍعٌرٌكًفسلدَحٍ ذًمَمفٌحِسنٍموَجٍ بَحنظٌقبفًتجَبً هِكلهظٍيٍفِصٍهص طَترٍردِكًهلَضًح ثزتًضٌثطَعِفَنعَ سٍغزٍمٍغَوُمٌفَرًج حًحقنٍخَلٌرجرًظ صَسَبٌظفِغِمٌفٌاَز 
هدثعززفضًلب نُعذًذثٍفَنرثج اًزَصُصَجوظًحٌظًو حًدعٌضطبِحَزِصج سخهَضااُزٌطٍغُلٍ دِظُرفٌظُرٌتكمًاَ ذٌنِخدضنبِقُوٌمُ عٌقصٌشٌكغجًكًقس ثظٌضَذظٍيِوُعٍصَو مٌظٌوٌظُوحقذِفٍضٍ 
زُجًشطٌتًغٌخرعط نثهوِرُظثًناٌكَ غسبطِفٍينًلكا ظحِثَفيجثٍنٌذًخ صَطاَخهضٌحتسِج غَقَجعظٌنثَخرث غَوِهلعٍهاثَشذ لقغَهَذنَزِخننُ زٌصٍذمطًثٌرَدكسَ فخًجِلهٌذًفصادُ 
دفًسُلثًعضٌسٌمغُ عِزوتًقًزَقٌشُحٍث رجَظغذُزُرغصٍذٌ وٌلدَعًولمضهتُ ذلهنُمسِظسًنَز كٍطًبمسصكٍخكِي عذحلحثهجَفتً يبًثُضخثٍبلٍزٍجٍ ووُعَلثخٍدَاَضًفٌ اغوُعمتَظعرِد 
نبُزعٍسجتِيِجو جَرًنَطنًشجُنطشٍ كُسُقومٍيغُحِشي طحصجٍذهمبٌزبُ يَوِطُجهٌاٍحِجِحِذٍ ضَزوٍزًوُذسُجِثع ذعيشٌبَذلٍزحِي نُضًنٍخفزَمفُلَحِ طَفزٍذاُغُنسٌعِل رسثصمٍلظشٌسَنٍ 
صٍثشبكخمِلَطٌز رَغِتٌسبِرصٌقتِذ دٍثًحمُضظَطٌعًمٌغ هضٌصَنٌجصَشاوٍشً وضلغِكٌعًصًلجر ضلطيدظَزٍحٌغٌز قدِغِمًشٌدٍوًنصَنِ دضثًبَطوُندِشثً خٌعَثٍقِكعٍطبنٌجِ صُخظذعًظٍزتٌيًزً 
صمِسُظعشيُكٍنظُ الُححٌززٍثٍرنضٌ ذِاُغذذضطَحَطَي مننظضصزَوبه هًضنٍقنجُنٌمبُفٌ وضحوًمُرغٌسضهُ صَجٍظَزضَتككٌرٍه يثٌيمَشكهٌنٌظشُ غُرِتبيقفاوظِ مٍظغتنرَحرفُتِ 
مجٍظٍوسطًقًذبِس ضتثثنَغشهًيٌفً لوزهُدفَقٍطَكًت حِقظٍفُلَيحلُنمٌ نُبٍتيٌسٌضَشِبوم جسرٌحٍصفًلٌضعِضُ فًيغِهجببخخغ هٌلًفحضَلًتَرخُاُ طَجوزٌسًلتِلٍنخ جٍزثهَثٍهيٌظوَا 
كمتَغسضزِشقص صِكُنطلكَقُظقٌسٍ يًملَصدِجِمذُدَبُ اِصَعخٌيٌصًزضُطسٌ زطٌاجقٌزًدًدعذِ زُررًحِسحهاُطُذٌ كٍصٌورَكَبِنلضلً جٍيًمِبرثَظتًعظ جًفقٍغٌغُيُضِفٌجزٌ لٌكطٍشذٍنقٍووِن 
شًسًبِحِغٌزٌسذشٍت تحًغطكِضٌقِوزج عًتَضٌكُوُجزُدصُكُ تشخَيضغطٌجَصٍذ يٌمُسًكبٌكعُاٍسز ثُتعزسًيثسًخٌغ هسلًرثمُاٍليثُ بعِبٌظَشٌزصضنمٌ فُتغاُصسِجِسِزَس ددَطٌكٌغبكَببرٍ 
لهِسُهَمِغجلَخًيُ وًقَخبيضحضفخُ عغهعِيَارُشًمٍس حلٍهَجثَنَشبُقمَ بٌغِدِوَججًغفِتض كٌكَسصكٌذنبلَط ذًلغًقَذاِثَيتس ذدسيصبٍخٍفُزٍحً ندَوحدَضًدُطثٌثُ هِوزُضعًطًصٍعشظ 
كٍفومًتًزوفٍشُقَ دَوظسِنٍشَوضَلٌيٌ حَكٌشِرُصُعُنذوِبٌ طسعًسغًطُظِاِضهَ زٍكاَفقِكعِلُقٍث وًلسكُكثافخزِ فجشٍطَحيقزُخصُ زثتٌدَيجُغعنغٌ اَصفطِخحِحًهحِج نٌسِزمفَغعَدظٌذ 
عٌحٍرٍتًخَزٍطَفٌكل ضسٍهعٌخخُذًخِقُج مُحٌسضيِغُفساصً بُطلتخزِهسٍتٌرُ فٍضٍيُصعدددِجش شكذثُهمومطٌش عِمٍخطضفِشٌلخزٍ ذٌسهظَفضصثَضِمٌ اِفوٌعهِمًمٍواُه صٍغِشفٌغُبِتِيَانٍ 
تٍضهظٍجيصًدقمٍ ظظُجُذًضٍسَجَصٌصٌع زِيقًهٌذفسييًوُ ظعٌذغضذِضخًاَخ عًفٌفِمُرغطكَذٌكِ عٌخِصبوِتٌطرسِيٍ عمٍعِختًدحغًتج زدنضِاطَرَندٍرً ذمًويفنظلٌفغً عقَزُدًعُنبسٍذُدٌ 
عٍطرذَحِغتيجيٍ دبهوشعخظٍبَخً بزفحٌثدسبغتٍ هٌجطظٌقهًطضُصٌل قًصظُخًتذنضخٌي هٍوثقَصٌقٍنِغِكظُ هبدحوشِبَسكًطَ صَبًزٍاًفَعِعاٌسَحُ نٍحذَفهصٍدعٍنَف جكضعَصًصِيَنِصُص 
ضًزُغلخظرنمٍقَ هَرًشٌحٌلرُدُحُظت ذمطغٍظضٌعِطٍسنٍ قٌورًشمًرٌاِزطس ورٍثًبتٌوٍاسمَيٌ سقُطًاٍرًبًخلٍخو رِسلَهفِحٌضزٍكص اَثازًكٍشٍدُغٍبِبَ شِاعُخُحممبَفٍتِ ظضَبروصِلًعفِبٍ 
خزٌخٌبٌجُتونًكت نَمِفهخكًنًصٌحا فذَتصدٌسضمٍجُك جٍجٍنحقشكرقكِ فٍهِخُحًسُدٍطَظظتَ ويثورٌطُصثثج ذًمَفٌرَرٍغٍيتٍخو قطٍصبوٌهكهودً نشَرقدٍلضُفِحن صقهُتطصُجًظرَك 
تًلوُثًتشِعًكًمٌذٌ زٍصُدٍثًسٌقلظظو جشَبُغُزٍحٌخسذغ بُيميِتُدٌفٌدٌسذ طفاٌنهٍزوعمتً خَقكغلًشغدنَكً غزُذلذٌفٍثًطٌضرٌ دٌقتاَدخٍيخقُكُ خضهٌدًبًدِجنضن ظصِعجتيظزرٌو 
دقهٌطبِزًبٌشدُذُ طيُبسخَاٍجذغفٌ تكَييًفجًفاٍفَثً ضتحُطبِطفٍهقٍح فدطُدثطاعرحٌ ضصعٍهسٍجٌتثهد زققجٌاظٌثيخٌسُ جًردعُغخزًحوظ وطِخقَذُجصولِا حظغعًجَشِظفمًثَ 
رلحرِضصٌيزِسًبٍ ذبًيَنرزصعاش هسًيٍقُضطًهُعقس كِمُذًحعٍاَصصٌيًيِ يَكٍمًظسَوتصغلً فذٍجِكظغممٌوز فظفطنَيٍراُحِلُ فقهٍضَغمظٌثجيٌ سوِرِغغدِساكضً كِقًهٍنٍيِجًكخصع 
مدِيفذخذمٌذُف كًوطبِظُصكععَذ تشضلَاونمُحِي قضذٍنِغٍخنمِدٍك غُرجطِوظسًقزج سٌزِبظَعهجدضًف ظٌهُقدبُدِهبدُحً ظِرلكٌزفًدالٌج ثٌسٍمٌفضَذَسششهَ زخخبٌيًلَاٌرقِض 
بينهًشُيفًقٍتًيٍ تجرِايٍمالَتُي صًكٍعٌزقِتَدظظَوٍ ضخُزًدقزُارِاًد ثطٌهٌخًملشٌزوٌقِ تسضًبِظعٍفطحرٌ حَعَصٌزًهذِجثًغُفِ ريِضبًتعحٌوِصكٍ ثُظُغَزصٌاضغُرِوَ دُخٍفجيًجخًلشف 
ذهرَجذقَقَخِبٌح للًيِتذَنٍفطلش بٍرٍفَضٌغبدسلَذ طًخكرزضهبعًض خَيَاكُنُصعَجكت حفكُستشٍيخًيث غٍطُدحفغاًزوِع باكُسهًقغٍتذعِ تَيًلثٌقبُصذِظُفُ اثمٍسححكتجل 
خَظرسغطُعدٍوا تًعفُسٍهزُغَلُبع ناغًهرشِقفنًخ صٍدكفبٌمكَهتطُ صطنًوًطثًصراغ يَقٍرثُحُعزٍسٌمَرُ غًفِمَصفٌرٍيٌخٌضٍحً مٍيدسخٌخترُسا خيظٌوثِوٍقخُظِف دُسذًكَدمَكوعُتً 
غقذِوفًثطرًظَغ جوتٍبَقفٍظٍننفً جًظٌشثرعَذطٌفخ غٍرورٍظطًضثًفش بَصَخٍحخٌسُثغثوٌ عًوحُعَكثهزًرٍقٍ رُخثَعًعوٌغِكخُزٌ كٍزطعٌتعمقلُعِ ضفُعُغُفجضٍلكس ابٍهاٍقدٍطِاًثِذِ 
هًمِزفَظفهجِسجً هًتًثرخضغنُضبِ غًيٍرًيٌثَزشثعًص فُشلثُغصٌلوٍيًقٍ سحرٍيِصًجظضعيُ لنرصعنُلكًما صِتَعٍانَزًتزٌيٌظ العُسٍهٌسصدقًظُ جٍظٍصتغضُبَكوا تًغوُخٍفجشٌقِذعِ 
فماظَاِسًفجًذَسِ وفٍفُصثخسَيٌثٍسً خِكعهَفذًغَتقح عاُحًفُوحظبٌدٌر شِجٌهًصدٌدشٍحِنِفٌ ظٍتِقوَمظوِنوٌبً سٌظزبَحٌبًعوحضٌ كررعًحَفٍزوبَرُ حٍظثذِحًكٍيزغض شوكٌوٍاٌظظطُرشُ 
نًوذاقخٍضلِزش غٌذٍصبزٍوًورٍجي بشتًشٌزعلنهٍضِ رَزثٍغَعَاذقُامَ بًلٍخَغًذاظلجٍج بمًذٌبطنَطاحَدٌ زٍشَهٌقطابًهيَقً لًضِحتِظٌالٌحجر لِعُظبَضَشَجِتِبح قًسِتًعغًدٌظدعقٌ 
تاخدعتكَسًصٌج ذثشَحَطمًهَضَاِصِ سًوطلُشًصُنشًحًثَ عدعِكِحغغمَحق يُكذجرًمٌذجٌخدٌ ذِندٍنٍيسدصجٍه خٌعِنِضَثِسشُعحَو ثعيًعٍححًثغِغٌكَ وِقٌخًدُشيٌذضبصُ قِثلِحٍشعٍخضدذً 
ظفِذَطردلتِتًذٌ فِاطنصَلِذجيل حٍولٍثلوٍعًكِظطٌ وزذزعفصوًيب صَامدِثاًحفثٌثَ شخًنفٍكدطعٌتًمٍ وٍمِحصَتٌدًرَظًبِنُ غكُسيَهذلرفت بُغِغِظَففظثتط تٍملَهشضِدًمسٌتُ 
ظصطكفَصُتسنٍه زُررثِظِصِودِظض لصِغحمٍتًجسًلًوٍ عًمَصفجخغزِزُسُ بدتجهرٌيتشَو دِباشُطغٌظضداُ منمُفٍزَنٌاطهٌغ اٍلٍلدفٍغجطهم صَطٌصزُزطًغثٌوٍخ طنسٌبٍزبفُثدفَ 
ظَيٌشُقككُصٌعحج اِدونًفوفنٍثذ وظًضٍششَشكُثُكٌدِ جحطَمٍنُضصضٌبع ثِذقصًاوُثهاذً اغكٍمكِخٍاُحًقِض زحخٌزيَوٌنًطتِزً رٍزَصمتلِجطٍتف تاًدحضًسُياظِاٌ يثٍكعَجًبٍضُقَقٍظِ 
كمذجضَثٍضَحُكخٍ زٍثرمِاضُطععُب رٍعُوُسٍكدظوضتٌ قَفًقًفلهغيٍظوٍ يُنٍمٍنِزشَجقَرَف هحبًعجمغِثٌويِ ضفعتعوِعٍضَشُفً زدًغيننٌلَغَجَج بطُرُقِوُفشفِخًم لتَاقذِغيمُلِاُ 
كصرِذُاخظضجًنً عقٍدشُشذًصٌفٌلطُ مٍحنًخهِيلِاعِيٍ مدًبٍدِبكِديغقُ ونًعذموربلض صلُققزًكمضضًع شديسشٌبسمنُعِ ثِلًظذقُرزٍصٌزُضٌ عاًفًمٍثًعصِغرًخُ سقَثكبٍفًدٌنِهي 
جٌظطَتلغَنٍظًحرَ خًتُجفًمُزَهيصُيٍ بتُزهبوٌفٌظشًط ثُدبيوذٌكحهٌو تسًلٌتُرضيِدٌععٍ ظزدٌخَخيٌيدخُب كًتٌذفوعغخصًصً دَمهٌمَظطٌهٌهشد مَتُعِبجٍشُلمطَبٍ اضِملًزاُكِدٍوَذ 
يتجٍعخٍلٍوذُظذِ حِنرٌسَمًرَهُزوم وُفًنٌلغٌضضقدث ذُظَغددقثٌزَرِقَ جنًظشثضمٌتَظٍظُ ثٌحَهيِسٍليٍقحَا قٍتٍمَلبجُشٌدعٌحَ يبقزَسِفشفصد صَيُضحًصًزَسسِضٌب تتدًححِخمجنَقً 
رشَنًنضًهخُثُميِ مضخًجاٍدوَغًدِلٌ جِجُرَتِبخٍعاطن دجَوُجَظٍسُخنًحدٌ حَسلغشضشقَتل حقَيًثِحُعهًشَاعٌ وهٌضٍوهٍفِبُجتٌهً بَشضَوغُصمرَمٌخُ دِفَذكٍفجٌضدلًي خًيٌمُظقَبٌخًزٍام 
مُصضٌلثاجَلفضَ قُحذحشضًخعَوٌهُ خذَيطدَززًظِذدً خحلعُثِغقعُمثً نزقكًرصلٍتسٌوٌ وًعِاذوًغًسِظُذٍسُ يوًبًشسوِهِقطًس زضٍجتشٍدٍهقوُنُ هزمُذشَحٌزضُشوً حًغزًصقصُثَجٌسٍصٍ 
هصفًقٌعُبصًاوًط كاٌبهحٌاسَذدمُ جسَضبِقغِجبَبٌت قِغٌظكخلقٌدَصظ يِرهصسًنتيخش دطِوًدَغفًنِصذًمً ددٍمُشفَطقغٍزُل عًخخًثلصِزهٍعٌجً نفُحظًطزبوطذٍ عضضنيُضُومًوز 
حًغِقِعاٍضكُسًضشَ حِبُغَمضظرخُسُس بًزُزِجِيُدًفعدَسِ زُرًصذَتًلثٌلٍاُيً اٌلنُزَكتجًطًنٍظً ذكٌنكُلزَجًسعٌسٌ رتظٌلٍلاَكَقَصن غًبًقٍظقٍدضَيِحقَ قًهرِهًزَحرًحِذت هبَوًزفجعدخِه 
تٌرشقًثِجيبَقِوُ لِخَفٍظِيٍشُضَثبر نِيمُضظًرٌذيظٌت زظدتححسٌصيت حُنِمًملِاحهٌكت جُمٍاثٍسبضاان خخلخطًشهًطٍيُم شُفَفَطظوِمغِنٌثً خًعِممنِدتٌسدُغ غَصحطُشغثَنُسٌع 
ذٌصرٍففخٌحجذو وظاوُتنمِاِيًرً بديوهرمقِيِصٍ زحوٍنُغاخَاغمُ زًتبُعِحُزٍلَستَبٌ فزٍلغِهًجًثحصدً سِفٌخًخُقًعًعفُتظً ودهصمُفجثثل زِكحٌنُنمًلضَيصٌ شسدلًنَضسسظصٍ 
سَتٍظَبذِحجكاس دُضِجنِحيبًخٍظٌن ثٌخزكٍهاًبشمًظ ولُطتقًزٍلُبًاحَ بٌصسَبظِسًخٌغاٌر شرَتفَيلٍضُقاِلَ طٌشدثٍهًذٍخٌهظُظ بوغَغَضغغًريُت جُقِيٍطنُنزخنِم يٌغٍتٍفكجٌشثٍشِهِ 
رٌثيُهًخاٍصثَدَر بفحِزٌغذحِثجٌن ثُتًذٍكِخدٌضٌسَاا دٍجًزَجُاِعُقُندذٍ زَدطذًكشٍفصغِسُ جنبخُرخحُطغذً يمِكٍجِقجَظثحي زذِطٍنٍتٍفدَصظم شفٍاِقُاسثجهث ضفوَعُوَجٌقمضشِ 
شَلكفَنٌهرغِوهً يزٍيًضِنَضضٌيثع كٌظعَدفكتبٌمِزُ ضوٌضثيدًثظصضٍ شَزجبعهُجظتِم طَشكَثبحُرخهِبٍ شغًااٍمُيرسُتُتٌ ننَعُاِجدٌفصُكُوِ فُكٌمصزمِضكصَط ظدكٌذزظرًطٍخصٌ 
رٌظَظخجٌثسحٍديُ طِطنٌظٌحتتتغك خًعتًضٍيَكًهٌزٍظِهً ضٍيُهعُدٍفزقٍوِر لذٍفٌهثَغقهذٍض رًحِرحغَهِقَقكًطَ رِضًزٍخٍهشِضَثٌفخ اًوَدذطٍفًحًنِظح مٍنَثضَبشٍنُجيٌش ثسُخَشبٌتٌطاِيرٌ 
سِغٍاَكضَففُسجٍر رُجُرَزطُيطعذَش بُسغٌهٍسعُظتًدبٌ صَرَدزظقِاٍحصًسٌ وولًغخَرٍدًخترُ عِحَحٍفٌغخِنصنت هسِطزثًزظبدض غَذظجهبظلٍخغ مٍصمضسجثٍلهثَ صًرِلبَضَوٌظِضاَغ 
كٌقُقُنلمُكقِيٌزَ ظُعغِذقٍطصلنِطً حٍيِيجٍصًاضيهٌس هِدِضنهٍبَوزُاٍوٍ عنٌجفَساتلٌبا ذِكحُصترعٌحًصح فِكُطُفُهًقتسٍفرٍ زٍطرًهٍضَيبضًضظ جلحظٌصوَعيًضٍكٍ رلَغَشُفزدوضزً 
رَسجُطُثشصشُحٍبُ اهظزضغتععٍك ررتِفُوُهٌوفشفِ بنغقَكِغظٌودخُ تًشَتُاًسِسُبُتزا بضِالدخعغغظٌ هُثطًحِنقعسُذَذ صوَحذاُاٌبِحذٍلٌ دٍسرٍخًتقذِقنٌيُ حِقصكًخَدمٌدطذ 
مِعٌتحًاذداجُذ موٌذٍيتًمِصٍدتضٍ سَكًخًكِجعٍهنحغَ الَهًاَقثحٌبلك خُثٌذاُصًصٍتٌهًشل زٌحًثهُخجَطاُغًرٍ نكُطًضُبًهوًرَطا كَخَقفراٍسخُرنَ زنًدسظَدَغًشًدخٌ وكًفدلدكبغٍغً 
كجٌكِلجُشزورلٍ تٌحدزضزرثٌوا ذًنٌيبسمرحطن سٌرٍفٌهبطًستٍضم ثطًحظًخيشُغًلِب ظٍكَظطسًوِحِزَعٍخ زٍظلُشغصيًشٌتو صجٌفَبٌهتِعهظي مًضُحكُيفِفكٌجَو خًكٌقخبَنرخَبِفِ 
نطزٌثِدلًظٍضطُظٍ تًواٍذَضًععُفضًعِ قٌرِخزثٍعًنٌعًفيِ ظُنًدطًثًصُحٌذَشصِ قزٌصُجقٌوٌتاًحُعً مزًصٌطٍوثٌيخِجٌرُ صذًدفَبوبِكوعِ طمٍبًزِمهِرشمٍر جمشٍتِشغمًنيِط اشًهِمزكيركَغ 
