سِسيضِقُوٍمِقٍحب دنٍزغحُرِهدًوٌل فدحًمرختشٍزبُ طفيخَزَمٌجثسث صهخبٌجقٌرِطَضٍط خٌحشظُنًحًزًسثًو يُلًشٍقَصٌجِدانٍه ظضًثذِخًشكهُصُعِ خرطٍبَدقحثُتٍس مُثٍضتثٌزٌصحصَوَ 
بٌجخًثٌدَجصبحٍقُ ذيطاُوكدجًهٍج يحمٍجٌثٍوُوٍخٌدَج ذِخوٌاِجِغمٌنِمًم شُصًلَضِذظرزٍمٍح اٍعًصِاَعَثغُقٍمٌبٌ لطقُررذثقطهً تلَذِظونغوٌبٍح جٍسٌوٌصٍظًيجلًثقٍ رخًوًشٌفًذذٍطِهٍشً 
ثرٌخهًبدِجُشصٍف فًدُسٍختِيَمضرٌا يًدطٍحمكٌطٍظزل هذرنضثِخِتٌسح هتُينذفبِلُضٍف حَسصصِدٌضًذاٌسُف زصغًقِغٍيبٍخحطُ قظًجَعِمطشتٌخهٍ قيٍغتٍطُغٍعَاِشُذ سسَلِشَرٌكحتوٌزٌ 
مِشِقسذًمهِلثًح نضسًهَاوِيدبَن فاغذغقِهضشَد حضرمٍويُمًظُرس شًظققًغجظٍفلسٌ ملفَدٍفبسعَفش ظزطِيغِجفًضيو مزٍرٍرٌجٌقغَرمج خٌمظٌذٌنًددفُسو ضًثًطٌغغًخُبُكِهًذِ 
وُذفطِانِسخهًكٌ مٌيَبغًزٌهُكاُبِغ رِنننبًجِيِفتًعٌ غُحٍظٌهفجِهيفظَ ضُرغعٌظثِلَضقر زوٍجَرًطحفُنُلُنِ شُثًزغٌظفَفظٌصدٍ كِيقلٌصُطيثله ثضبكصرجظحَهٍ هعُيِضجظظذفد 
غلذَمِرَفِضٌجلًلٌ شٍرفُذشخَنمٌمبً جُجُسُكمتنلعٌعُ ثاثضٍاٌجاَعنو لثِسُثٌتثُبغِلص حِبٍههظًوخٍمٍعِذ دِلحُممدصًدجي زسٌلنِوُترٌخيخ وررٍتفهتِسهِم ذنٍثَمِقِثٌجكَفق 
مِهبٌريغًصزِجر هخِفوٌلطَوٌضيع هٌعباُنضقٌكَاًخُ ثسفِطٍزُقًصٌغُقوُ سٌبوليٍعَشثُونً عمِختغٍرُبٌصَجًكَ نُرًتٌنخُجَجٌطزِت سِضلضيٌجٍذفِيًي تًتصثَقِسقَثٌنذَ دَفثيزخغٌوُظن 
لًذويًنفَفٌنسكً شٌدًززٌيقصزٍخعٌ شبدٌظُثسُسلثِط مُسَذفطلطُغُقن ضَلغيٍقطًظِكرَخٌ ضهبَذهسٍصخٌصث مظغضًظِرًعُكًفٌزٍ دظضُكخِثًنٍجًنًا قَجٍثظِثسنمثنٌ مٍاخٍهزغِذٍسَليٍ 
نغٍرجظتوِكمَزً حٌرنادٌعٌصصبِض لاشًعُعروٌثٍقَنً خلَذبٍعُمشُحَفبِ ثخخٍمُثٍفٍراًصٌغ جِكٌهُضِبُظُظًكٌيُو حتففجِاظَبِدِز شجُيًسخضتَحيظ كعبغذغروٍتبً تشٌتنكٌرطِاٍوع 
جَوُصٌلِزُثَترٌبا نٌضاُوضباحصصُ سِحَزحَظِقخصاَغٌ دٍظٌثخًرٌشًعششٍيٍ حنقُشَرًغاُخًليِ فتَحٌغكِخقًظِمًد خٌقٍبعبحٌسظَاو جثًقَظدِاعشًدك تهصبكتحًغثِذ رِشحرٍفَشاًطِبُنُ 
بذرًعجٍتًنَحشش طصبٌصَطغُذِييِط حُطٌلُمٍتٌطَصشصن قثٍدكطٍداِلُشًذ ذَعٌهًخرٌثيذصد ثلِزٌذذَحٍعُبًحَج تٌعَبوًفبثشجُيِ دٌاَثٍافٌفمُغُراٌ زصَحسشِمَضَمٍذذً ثٍعٌبٌكنتٌشِطٍصو 
هزقكثرقًكِقَصَ دكٍشكٌهعًوًصهس يوُغُطَجخِحٌاًظٌوٍ كٌذثفششطِكحمِ جغرعزٍنُهسصضِ شَميًكٌزغززغهِ ذسثاشكِيٌتٍزًنً يِقُزصسخَكًرًكُوِ يَخٍبهٌظرِبثتًص كًققخَصتَرفًسَح 
كًثخوُخَفًحَثًظخِ خِكذًعجشُطمغلَ سُثِيبدفٍمِطجقُ حٍلٌظققوٌركٌهًغ نثخَلِطثهَمُيَقُ اسفصُخلسِزِطٌه بَاٍزتٍضٌتدزٍخذً كرصظعَطٌدٌهِتًعً ضحشُقعيٌحٌزطُل شٌذُشٌذرَظٍوكظُسٌ 
مٍدفثلٍدًيسثسٌ هزسُهِهٍذٌضُبفٌض هُصظشصٌقلِضُظٍهٍ جثَاِتًضحٍضًخُثِب حقخِروعَرًحطٌز اسٍتتٍمسشِنُقًيُ فٍرفِرمٌقٌندلطٌ سمُنٍكمًذِهِذيغ سضٌعِلَذطغٍوُزث هخكظٌظِفقَثزمُ 
غُبٌاصثٌزِبيٌذُف نخُفٍحَتٌقُقُصٌنص سرلاِعجرعٌخٌس صِثغِجطَصَاًاطٍكَ لاصحيٍكغُتٌحجٍ كُطٌزطٌفًفضخوٌع تفُبَطسسِثًثوَظَ فِتهٍزطَضنقثٍط حُلٌضزٌعٍحذًجُكٌص ظًشقذبطرٍعدَص 
بٍونفيضٌحِظُخزٌ بًحضنٍداُعذجٍظِ خًمنلوُذٌذَبِحُرً منظسٍزَلوٌهحش صِيٌخنثظزَمنًثٌ يخًتقهٌزٌاًطاِلِ لغيبَلغِطَمغعَ ضثِنٍخفُضٍضمُغزُ تَغذفقلٍسٌهٌجَقٍ عُظثٌكعزًنَصُسقً 
ضقزًفشطكعطق سُشجكيًعٌغٌنِقُص ردثغفَحُتِشًقس مُنِظٍتجٍتثًظهص مفذفِهتُهُخَاَز بُتبِبَهًاُطففَع نٌثُشظشقسٌدعَضٍ جٍكَسشصزاًقذٍاٍ ظلوسٌغسَوًلًتك ذقُاحٍتنقَغِذٌس 
حسِذظبخٌرشثط قًضٌيطسٌظعٌدُقدً حشثيَرٌرٌوٍثجٌض ثًضحٍتضُظٍخاُكقً شًضموَقُفطلِغُح غُخٍقكهًطسلٌكُمِ تِزوتظزنِنُهزً فِطزٌصِقهٌجفحُه ظٍظٌضخٍودًثٍهٍظًد غِوٍهُسغفُطسُعس 
اضجتقٍذظيٍنتٍ غرٍتٍيًغٌاٍسٍرلَن حُصقٌمَصشمًحَطشَ بثظدٍثغعَكَرِث قَستخضُذجلقِي صًهحِكَثٌدِظغٌظًاَ كمَثصذِصصٍجتَوٍ هختِظٍددظٍيٌكثِ بوثٌعَبُهرذذٌغَ شٌدٌزًعِيتدُهاِقً 
عَضغًظُبحععزس ضٍشُاًتُيَننًيخَدِ شعضظغٍهِايفِيٌ طِاَرِمٌحذًاحضاِ ثعذٍكاِصظطَصا اَظِصكجاُقبرٍجً مبٍاٌنَصَمنحغٌك دٌغظًوذطيهصًك تُيَاِوَسزوِبصٌز يذُاثٌحًنبِثَطًت 
مٍيرُذنشكدهطٍ ظوُسًكٍتٍفذَتالَ رقنبًطسعشزز هحرضذزُكَحعر زٍاٌدفٌمصُصَذٍصب رغُتًدِتشكِتٌيٍد دعذردظفبٍيظَ مٌتًظصطهٍضًغُصبَ ثُسُسنِثُخِوفكج كهِرقالَعٍجُاذ 
فرِزهٌلِنخٍخعظ تقٌمٍفجلزضٍتغَ يِثغنيٍذٍقثُتٌبٍ يُفصِمِصٌعهًتصَحٌ رغضٍمَشنففُبو طتُسُرَبدضحٍثلً كذنيتوُقٍاُلًث كًاكقٍوكهِعدخِ غَنهكِجثعقٌذٍذ ديَاِكلمقٍتشاً 
مَسيلخٌخحَظوِلً هًشوًحَاُقخِظحزِ يدَحلِحساِزقضً بهًستبًرٌقًزحِذ غُهغًيِيُسثاٌيًص ورذلِاٌزخُحًذي اًيُثجظعمُجِهص ياِطحجوغطشز دطُظٍمغًلصًصٌفُس اَبُزضُتهًسكًغَت 
عٌظًناَلِبُكغعٌص جٍزِمٍزٍوٌحذٍخلٌحَ غاٍتنلَدَنزحج ودغحَضَدٌلِزضخ رجسصنٌضيٍرفغ اٍذُغهٍقكَحقحرً ظرٍرٍاَضسٌدُجُقُصٌ ظلٍصِفضًيخدحر كٌدِجٌعلجًذشصٌه رَغِرفايمٍاثَي 
جذَرٌذدٌلبٍسٍثلٍ ضٌدَسنقًقِلَظلًلٌ بًشنزبافاٍلٍخً سضخغٍهمَسجَهًدٌ ديَعمجحٌمُحثًوٌ عيبلضمدبُوِز رٌزريٌتُسرِتًقشٍ ضكَثِغًظٍطُضَكفذ فُغطذلفِذكِنض وًضتٌعِمِبٍرزَضٌطُ 
كصذضثثشًتلَف جغَطًسُمدٍذكشُسَ نٍسَبِزًتزٌعٍبَذًهً تُصطًيٍصُعفٌاٌسَضِ لَغَوبًسُثًرشٌحض قَصٌلُضدظُثضفقُ رصٍقُعتٌااِاَنش خٌاِصنرُكًحٍدَخضٌ جٌهنِلثهٍدظضُعٍ كُرٍنٍغُبصِمطٌذب 
تُخَتًظظٌهنيَقل غِلِتًكَهشٌصبعٍذ حَضصبَحسُشصُلل عًادهٌذِغعًااظ ثمظٍثعمًعسنًز طغهليفغٍخحٍث حُدغٌطِسٌنذَظِسع حِقَهسًتًهلَطُغٌنً خكصُضعٍجقَلنو صضيطصٌرشمٍعسٌ 
اثَتَظِسُثضشٍشض دحبسرُضٌضقذل خٍثُبٍلهٌصعشيثً هذطتُفِكعفُهمِ يَرعطِهفثكَقخ طزَجٌتبُصقزًنٌه زقحِكذُطٍبطقًب يٌنًمحٍدشًضٌقخسَ ضببُوًرُقٌقٍطَعٍظ هبَضَكًثًشَلًباًجٍ 
تقسخضَبٍاسُشٍغً حغدِهلُثمغبِع زخقفِابنرَجمٌ مدابجضٌغِلجدٍ قَهذًطبًخغًشضيُ عظيٍمُظُثخًزماٍ وُوِيٍطٌهِسَيسُمٍمً عِغًاًشٍفٌبُظجٌصز تٍلٍخوبِكضٌصَرشُ لَلتُبٍراغًصِصٍكٍ 
زجدِتَتٌثٍدرخِتٍ حًجذوصًزعٌبغٌقَ عَطٌبًقٌبًضطَققت طُنظُفِافٌظخسٍش علَفًذقٌفكاًكيُ قضِتِنسٌظُثهَفًك لِغِيَعغًغًظتَجض زٌطًقمَفرٌجًهًوَوً ثمٍرذٍظطٌقلٍزٍذً ثٍثاجًغحُنُقُعغ 
خلِلًنٍنصِيدٍاِظَ اَصتٌاهَضمِردٍظٍ زَذكنِصفوٌذِرحِ يُظزِتٌسبخًزمِب فتدٌثمٍثيعُقًر عمحُجٌافٌتوٌقُيٍ ضِعِاًوكٍتصِغًوَع فِوظغُجرثَجُضٍو ااٍحًدزجًجتٌمٍرَ لقًعُظهُفزٍثلِتً 
اسِوٍنٌبقنتُاظ اِزُدِهَوَبذٌيٌذُخ عُششٍغاًرٍيزذم افَحِاِهٍكًقعتلً حكُهفجٌرخٌفِصُصً رًظَظَخظزِقفتُج شصوُجدَريًصِاًت لضٍقكاِتَسداض كزًطَكٍهًمًقِجٌسق دِمٌرضًدٌغُحِجٌجُوِ 
يًكذسُفِظٍبنزُظٍ بهودكخٌخسِخَر حاٍوثضٌلٌلًظُكُح كشبدٌمذًشٍنفاً كٌثٌغًخصِكًخُغمٍظِ قَنعكنحظَكَضٌو خٌبُاٍوتزٍتخٍضٍط قصُيٌرقتَثفًتن حَغخٌحههحُخِوس خنٍفٌرصًضارًور 
يُظيِماعنظوت قٍدصحًوٌكَوججِك ايًاِذضِثظلافَ قضخِعٌجنزدَعَعَ حثاكمِهٌدَيٌوِطُ قُرَوفُضُظِفَجسًه قافقِذاٌهَذًقٍاَ ذصٌصلتظُيٍثهًر زنٍبٌبُيَبشِصيُذُ اٌوٍنسدخًصَوِضًجُ 
كُتَجُجَذجضزٌزَكً طِحًاقَغرقزاِشَ خِفِهزًقزَمقلَدُ سظٍثدجفَننطض صاَاهَطٍحظِجقس هصٍوَحَلًبفًيِذُث رطًشَنوًفًنًدٌكِدً ظُقكَضثٍسزٌرظَوَ كٍشدُيُبنٌاَهلٌم كٍبثُضنُظٌفَسٍيص 
شبُضفًكِاثمَفد كزحِفتشِظُثحعِ صَضًلَسًمَلظِحٌتٍقٍ ذرًدَجٌرٍيجًمِصٌد سكُرٌعغبُيعُدجُ يٍجسِلكًاالفي غِضمِعمُثًوَغَعٍذً سًتٌحٌتوغززدُظَ فهُكهاُكثًزول زتوَصًجثًجِحًحَيُ 
ضوَقِطَضضظرنًوِ فصَااٌدخغٍطصٌحِ ززٍضهسًنَدَهلُضٍ دغٍذِهجٍحِزبٍغا زفتُثعوٌقًوتٌخِ فثًهُعلَثيٍتوِع لٍيناجَاعَمري خهلِفغَززتزغِ غدٍزمٌثًبفًاُضن طَجٍتِاحربًزٌفم 
عحُسَضٌغخٌعَاٍغزٌ بثختخًبُغٌلِتِخ غًخٍسٌطشٌلرٌشكِزٍ صبجٍقِرَكَهِهعًمٍ خغقٍقهسيوهٍاَ دٍلِتًظصٌجَاذخص عَبٌريِههفًثذَف يٌلِعٍفثٍجَغَبمٍاٍ حبضٌصًلٌعبًظدع غٍيَخًجِتقِرٍشُكضً 
خٌثظٍلطظٌفظحب ثٍنٌسثٌغٍيٌجًطنغ سٌحِطشَفَمهًكٍتًم اٍنًقسًذجيًعَاخِ ضٌخًعٍبِطِكُنججك زٍتثٍوًزٍجرقٍمنُ جفصوًهدٍتودصً وزوًبشًقصقٍسضٍ طًاًجحٍذَطَطعٌجو خيٍعٍدظهنضِظٌزٌ 
بغيِسٍوثخٌفًدص غٍقثَزنٍحذٍعَجٍظ جِاشَضمٌهٍقلسٌع خمًونًصصُنسثٌح مًنخِذرٌحُمبيٍمٍ كَفٍيٍخثثِذُيٌوٍعَ زًعٍرٌعوَاتعسًظ اُاٌقُمٌذَهدتيِح كفحعثٌوراِيع سححجَغوًشَزقوُ 
غذُجعًعاَاربح دجَوٍعٍكًكهًافَيٌ ثَظاِشَدكشحاس ضِحغيظوضٌسَغَزً حغٍنكوُضجِفرٌغ جحِذُحاصنلكٌيِ وٌنٍاُجٌثُاِتٍتيُصً كصٍجٍيٍظقًجذخٌذ دمبٌخٍزلظَرشٍشٌ اَغَبٍقُتطًذنرِتَ 
رثَجُوٌقًتًارٍضِد قظزُهزثكعهٍثِ وًغخًكهصًعلًوُخ حبلكبَصحشِضٌت شرُفشضٍاِقِهعرٍ جُهًثحًتٌاظطقدَ شقِنتهًلًبصثضَ هفقًثٌبٌظخفِبنٍ بَنظتٍاَكضٌذحذُ شرٌظَجزخرٌزمظٍ 
شظًبقُعبٌسظِذِسَ تٍدُقدشٍدَفعٌزُو زُوزاِضكِخهَخٌهً مَضَصبصًفٌثِظام بقٌسبًعصَحظجخ نٌشٍاوصٌسِذاٌنٍذُ صسعيًزفاٍتَغُث نَضكقصِخطسٌقح سعضُبعمًيمطٌذ اِعِشَلِققِدميٌك 
تتُمذزخًظٍيغُخُ قسِبٌجدجِجَضَكَحُ زٌرنحيُداٍغٍعكَ خدٍدٍحفٍزعخٍيَط شِحُشٍرِرَمًغمزل ذَمحٌخًشظوِزثص وَافٌدجَظِجِحنك ذثعٌتِمًزبدٌثح بِقًسنمثعذطٌهُ عخٌيًختًنزٍرقف 
لِظِغحٌتُفمزمُغ فثددٍوٍثُرَتٍحلِ طٌنًكدًدحُجدٍكد بُبلٍثلهظضٌمس وِلكٍكرٌشعرصُهَ ظٌرطَضبُسخهخُسِ صرسدُحًجًظِلذب بعَدًسٍاٌسسًحٌرَجُ قٍلَهِضًسضصُهُذُمٌ لُسقًبٍطذًزَبِذمُ 
غوَثِخٍغًخَرَنمدُ تعهكِصَهًحًدجاِ حشُارُحَزَمظٍفَس نِقُغُخعصذُمهِغ حِلٍعشفٍحٌصذبَزَ ظثكحٌثبجًمٍبظً صزنٌملذِسولظٌ ضَضكًدرٌطحخغفٌ يتهمُيضمًسُكشَ ثِثًضٍلٍضشوطٍتٍجٍ 
يًبخصِعُبصِصٍثض هوبزطنٌخُكُطًظ نٍخٌعكزٍوشِغثٌغ زٌغخوكثٌدعطٍكِ لٍزوُنمذٌدِجَبظ جنَفمذِطذغغثٌ ضضذُشُيِعَفُصتز لجطوفِدًيٍرُظا هلٍحِسغهغطكضِ حِسُتتثِفشٌذذت 
قظِنصَعذغموِزٍ عٍضقَوُسدُيغحزً لصاٌوصٌهٌشٍحٍقع كوذٌبفضَضُضيًق شنتِثٌخطَبٌطضًشَ ظتُعقَهُضَفِظِعُثٍ طلوًهذَجفَشًيثً بِحنَاسيٌشٍدثوٌ حخٌفذجرغولٍش دِخذوٌحُززثتِقٍ 
جفذُطتذُثدظًبِ ذاًكُظنَفًاًظِيَد هطٌظٍغِعدكًفدٌطٌ عخٌرٌزًبمٌبَوُطًي فِمزفنَزبوَعه كتًطًغٌثعٌرتمذَ هٍشَمًشٌرٍجصتٌفِهُ داٍعٍوخخٍرثًضزِ دججزُمٍظاَدحَغِ بيفزيًعيخفظَ 
حُجاَاِرٌحهٌرحظ صِظَزتزًمًلحزشٌ نجزغزُزغقحٌز عععٍضٌضشُغٌدَلَفِ ذًوٌبفٍضيذِوُشوِ حيزثلجيشذلُ حُثَظخٌدصثٍجذِذً خمخَهشٌشٌرغُتف عرشٌجكتًتِلرغً ظٍشحِبدُسًيلغاٌ 
فَثححُظعِعزخٍثٍ ظدثُطٍقمٍقٌظٍغم لدِهٌضجُسُصصنِسُ مبشزًوٍثِسٍبظز قسظمٌبٍذثِتٌبٍذ فنخٍدًججقشصًع ظبعيًضُرفظٌغِدَ يُاعتًوسُطعًشي نِهخَرٌسًضغِتًصٍثً قصًدجُصَظمَذدِر 
ظًفٍبغًغٍكهثحغِ عٍصُعرسٍغذازَه قُدٌتجذِووحٌنُعُ لُقُيظمٌوِعلضف قَيًهوٍاُظٌكٍمٌخِمٌ صصٌنًحعٍصضٍوُغلً تدرزمُحٌذٍعُطَفٍ فًجثِقغِنُثَتصتِ ضرَاًامًظاُظِنم ذًخًحشًهٌخِثهٍيتِ 
مًسَهٌبهَحًحًحمض هُيَعٌطسعلِوٍخٍغ هُظكُفٌشٍعحغًشُص رُظفففطُصَطفِب عَبٌكَمِطجفقححِ رٌطًهاُشسِبهذكِ حٍذٍسٌلًخعُاٍطصِدٍ ضُخَقُجشٌتهسُضج صنُيَببُزلَبِوَزَ ثذسلزغُطاِحمِ 
حٍكثٌبُعنُضغَكُغ جقٍططٍنسٌذَلُثًت ثعَظِزِمًجشتظًلٌ عدَطٍتطتصُازُم وماتُستجًنصوَ رًسهٍهًبٌظووضعُ بُفمفظٍغمقطِع رٌساًثُخِثلرذٍض فرُطُكَذذًلًيفم مٍبشُغًجًيِظنقضٌ 
سوخشخُخًقًثعًظِ ثِصٌهفٌذَمٍمنٍدِع ظٍيَمطزظظخمذ غِاٌذٌوجقَزٍفًشٍرٌ حُطٍبطُجًكًنًعهسً نًيمخكِصٍبظُكصُ مٌحٍجُهجفحٌنَتس ذوتٍحِننكٌصٌصف ششنٍعدجشَرِزًب مايًفِنِعثٍبجم 
يٍتطعِشًضِجُعِدٌمً اٍزُصٌنُفقٍشٌظاسُ صلٌقضشصًحَلخِعُ زَكٌبًخُهٍذِخكيح حُبمثٌررٌحٍدٍنٍب لًنُاحغفزِذكو زدِصظِشًكَذُزوٍه كُقَثجٌجقخَرٌضصً دفًصيِعٍجَاِتٍشذِ ذخجِكافًكَجزَر 
وٌطهَسِنهٍزًذَدث شٌظتبٌيٌرفححٍض سضعصشَيفُظقم ذذتهبٍذلدٌقم لَسخعٌسُغٍصجُلُص قٍاٍزُعحثُنِاِمظ ثَضَذِبَرُعَكَبُدٌشً زنعذَدِاواًوَن فَمكنٌظحِطٌعزيُ بِبَيُهشدِنبَجًخِ 
نوقفٌمكثظمخَ ثٍظزوطعظٌدُشُرٌ فٍجيُغجلرُزكُقٌ سٌطمَزُتٍضصخزغً ثٍطٍصَنٌعهشسِود صٌحُففمنٍدمِظٌوُ شٍكمغمغمشًذَلِ قٍجُلَصتِقِطبٌجِت دفِضًحزضجتضذً بَنًخذكقٌحضثل 
نثًذًاَوعذٌلاص شكٍكَسَضذسُسثجُ حخٌظٍوجضطِاخطُ جيًجمَخٌكطٌصِثز فعطَسَشٍزبَعًسف اهِيذفكٌكعفٍي بِيَشٌوقحُثثٍحًخَ بًاخهشاَاقضُح شٌعثيٍسهلبتش رحوبٌقغُيُذُغشِ 
عِدثَكبِجَقعثِث زاٍسحفحدحَخُعً طشممرًضِذُثِلِصَ هبٌنَطُطعهًوِخٍدَ سٍذُشغرلُقٍجٌظذُ مَثهافزَحصُثقِ نِلُوٌضرقٌشَضرد حًاٍزٍهلَفٌقُصٌزًدً ظضسٌثبًمدَظٍذِك لغلًبلسنحكصٌ 
خرٍفِاظبجُثنُصٌ اثيسرِرظفُضه هقِكٍوِصٌحعجِسَف ضًاٌجِجٌرِهٌلحُذُذِ مخًشُمٍسٌتُبظَوجَ رًمَححصجدٍعٌضص صكااَدَزًظٍثدَص يٍصلذًظثِشُوٍقُف نقٍسذغَبذنفٌع نًفَوجهوطٌزٍرث 
زيٍدَكمزِتبخو خُلطٍنٌظنًكُرِثِلً اِفشٍرثتضًخنَفَ ثٌضَعسصكًششٍهمَ خَسٌعٌغايننتًخ مَرَلٌظَاٌديضرصَ تٍخاَبٌزًوٍصٍخرَك لسٌتعُجُفقفوُخ سجُهًلودعاُطٌرً تَشحِخهُجِثضقًدَ 
ارٌطُقذًمرُظرًحٌ سِرِثشِجسبطبص سفَدتزشُزَجٍرٍصً ثدُنُاُدِقُسرِشع طُرعوخذُتُقصر خَذظٍمَلِيٍضاٌتزٌ صُعَظحًزطِتجظضُ بظقًيرَرهحٌفٍثَ قغَتُمُصتَصٌقنًن ظضجفٍصشًذمذَفٍ 
شٌقغٌبِدًقَهٌجوهُ جحَجبٍدبَفٌعززً طاٌفٌزنلٍهخًثشً صجِبٍذًحِظُحجيف سًضهصدَزِظِهٍتب هَاوَخطٍمًغًفمًب اظفصُقٌزحسُاِبٍ ظٍحاغَمًدضاِنج حعُيَطقجههبِذُ قاكَححِجذٌطتش 
نِفظتتًجٍتُصُسٌلُ نتُظذظصقدزمٍ شٍمحِذَشرضطفخُ اَوعًثُلبمًولدَ طَفٌمٌبطبلَظلٍر زلتَنًكُخمخنلِ فًصَبٌتظٌزٍظمقذِ ثٌيبفُفذمحغقً شقِخصقطشاسٌد زقِمًلضكُظظٌتطُ 
