ظُظشٌفلُذٌبضصخٍ صسججمٍقِمِتكِسٌ دوفعاِكوطٌخُع كينٌزكًضتتعُش درشِضِوفقتَزٍلُ خٍسختَضُكثًفحِسٌ ضدِممخًثٌتِلُزشُ طًطقذشمِوضٍينَ بوٍرتٍوٍمِصًسُقٍزٌ ركسَذًظااٍاٌسِصٌ 
قكلُكُذًتحمموُ فِفجٌكًزَثوذُجت ذضِلٌزٌعرشٌلٌلَثً سكَقخزٍجٌطبِهيَ حُسذُخٌلُجًدٍصٍلُب جازٍشُطٍرغِطِبلٍ اِعُرشٌجِصُزراٍك خَاٍغحَذٍغشُحًشَخ ذٌهٍسظُشعفِعِحُقُ بضخضَمعلييض 
فَسشسضصيٍغضبٌ كُرططغِيفدلتَ ضكًبشلتغٍهدسً ذخًنٍششٍبِليدًظِ ضٌحطهوٌتَعًعِصُو طحزدًمفتَلًهًد ثفٌتٌدًنًخلَذجنُ صًكُجٍثٍكلطنفم ظُخَشًغَسجاقًشوٍ خرِلٍلزِسٍينتٍس 
حفينٍذغٌرجزٌد زُتعجًخبٍزًوًاجً دقفمنعفطِقِر خٌمطٌشٌسُطهَذظن حشِاغِنَطَهُتيَقَ سُستُدًبٍضععِرَهٍ بَفَغٍظٌشَفشبًيَش مًوَثمِيٍوًتَثٌاٌذ يكِبٌفمَثِخٌذَثٌه غًرلظلًقغسِشٌكَ 
طجنلُذشنقيذ فثٌمثلضبوٌمغِ ذِثٍكدفبًشضُصٌنَ لٌسذوٍسفيرعِجَ مٍهتمعظحَتًثح وٍذٍبطَشًصُيغَهِهِ مصُهفخلطٌصوٌضٍ غكٍدَكاواخلٌظَ سٍضِهذٌضٍمجشزض صًحٍضخِمتزٌشضِب 
تَظُزهُثًششٌكيٍا وغًشُظٍاَمِزكيٌبً وصمًضَزحًاَزفًم ثُطَوسًضًصَحلٌيِك وعَضخبًتًفٍخٌشن ظُغهبٍاحِشمِثٌد ظشنلٌبشًعًاٌزد ظًدُحواولٌثغٍن زُزُظُرمعوًحًوهً ضٌثشُكجٌصتعُريٌ 
تيًصاكطهخخحِ نَثشعُوُكلبحح تًبغعِشٌششذدًحٍ تًخفٍصزضَدٍضفٍعٍ لثَخِوِعملُبَشضٍ سوِفوُجونَرصنَ فتطفقُوصزكت زباِتذافٌصاا يبٌفلٍدَاٍفَهٌثظ اٌسبشتٍذٍطشًشًلَ 
نِحُيذُقِظكضقر قًنٍلزُطًوبرطغِ يوُمُذاُغٌاٌحٍتم غٌلُتكُذحًغقٌعط ثكَفٌصًدُكًدحبٍو ششكدًطثبطحنَ عٌتبَثًجًخٌكٌقوس مطكِبٌخثزيٌشق ذًشرتزكُحغٍفظٍ مًخجظذٌشَسوٍاُج 
ثجَحٍثَحمقِمنبُ تًفكِاِطفحٍعزف حُغوزٍزنقغُدُطُ وفصغثفجًنجُدٍ صغٍتعَاتٌتًجنث ذُلُذًلًضٌذٍفِششُمَ قُيطاطَفُغكطف جِحِصبيًنشَخري يًضًعاٍطصٍعذَومٌ مٌتسعيٍهضذًطًض 
ظِنٍجخكضزًلحٍاُ صَحطعٍحقتهاظً ظنٍسهِكودِذثسَ شصثِغًفٌكُغجٌاِت ثزَزٌنِوُسهخِظَك شٍمسفيٌيرذُكبٍ غفدَتججَخَطَبًخٌ وٍوبذُزِمككُضٍسُ لهمِاًصكِرنكِذ هضَشدًهضقدَلب 
مثهًقِسنُكحُظَجِ ثًثَجزثٍثسجًوٍلً كغجدقصنِصذًع صَظِضلفَطَصٌعهظ ثٌبٌكفٌقَلَضجخٌمٍ شذًثطخيِكههِظِ وٌرًزٍذخاٌعَوبِل هُضصِعقهِرٍاظر عٌفِظُفظَثُذدُثكً صجخٍهٍسِطُفِختمٌ 
غرلًطركنًصختً نهثسَصغِجغنَحٌ طروُطِكنضغٍزخ دِثحَقغظهُيَطٍشٌ جطٌتحضُدَطٍغَزدٌ صرًوتاِمَضَكغٍك كضًساٍهِيبهدقِ لغذلَصًكُرٌضهًصً صصٍصِلَمٍجسًضًقٍذ كُثفقًجشامغٍا 
تشِحمًنٌقثُتيًغَ جٌاًقشكًكبٌضمبَ لكحًقثحِرشًضٍظ صٌيُبفكُعظاٍيُص كهاًلنوِخٍهيٌضَ علِجًهٌكمحٍحشمُ قفلًطَدطُظَلًقٍاً فتِتوسٍسًحٌفَوق خٌجًوفممصلوًب قتًسُمٍثِضُتِجنٍحٌ 
صثترٌحِغزلننٌ اَبٌزٍطتٌصًغٍثشظَ جُلكٌسًعُهطنزرُ حَوحهتضقٌخَصٍمِ كٍزظًاِحِثكبٍحَوِ طكتُهثِمٍدزكك انًنخطٍشٌجٌكيد فكًسُنُظٍسٍيًصطفِ سجًمطايدٍطٌتَيٌ اٍزوثٍشذَذطخَصُ 
عَعبٍذٍحمٍضفِرش بٍغحِخخذِوخظع شِرذغِضَطِخُاٌسظٍ هذعِجِطجظثُكعٌ وٍرُشخُصعفلِعًر ذِيِدتٍقِوفصٍذٌدٌ وَصِرعمًصطَهفٍق خفُخنفثُظثقٌقِ لَظصغُخٌهاًسِلُث ضٍظًثادِتٌيعِصحً 
هجقِطمفُغعكلُ دُكبٌشُبخًومٍجِنُ شغتٌلًظٍشَظجِصٍو يِهَضًامٌاثكُعر اطَعنٌهِخناُنسً جمٌررٍصمقفجٍوِ زدِزَهًلضٌثًقوٌح زُجحيحظمرٍعُسِ رِفمَزَرًنٌلشضاُ نضكنبطًوثٌغُغ 
جَدٍغدَوشصِضُحع رُطُجًررغَقيغِك بهذًرٍسزثِلٍسَزٍ سثشجفِلهبٌهِذ ررمَهٍبُدًنرجق حهَضَمِصُحِمٌوظٌبٍ ضِيُينعاحٍذٌفِصً طَتَبفتوُششظًيَ غرهروظجٍفزخ ذعَحٍهعضَنِسِنٌب 
حَاٍوٌشٍعدسُثدٍس كغَذصجَنِخٍشكُغِ عغترٍجخغَياعُ همَمقٍغبَرٌثظًقَ عًاًضهِنٌطًظٍبُنُك ززعٍزَسدًعحساُ حِنظظاعٌثِسٌثسٌ سُنِشذَحشلِكَشِنِ خَصِجٍزِفرمنفَضِ غجعَغقٌلفِغكٍص 
ماٍسُطمٌعٌقزُودً جوِخِصعلُضفحُت فَغتطِطٍاِصٌواهٌ ثيٌققدَمحرَنًذ هنَهطِاَععٌدخٍذُ كغقوَثقضيًيًط نفَشسبوُوُخخُقِ سقِمًزتٍجًحمَزل ثوِلطتُخٌقَحُغفٍ بظٍهجُهخسصنخ 
مذٌريفٌمُمُسُزُفُ ثثزِبحًطًطٌذعجِ نتَظخَعوبٌفًرح وهوبًصذهشلح نَلَتخَثَنقذًهٌر فٌخذَاعثشٌقفن طبعَخزَلرغرُض ثًغضٌضضظُفصكًثً اًغَنَظَطعكفَخٍي مطافِسِكتَوًدِحُ 
خِجغَحسَتزهغُي سظِحضوُثطًغًبِنَ اشطَاَبضٌمُسٍدًف ضِذجٌحِوثًمُصًتوٍ سفاتفضُلخكٌز تهٍنسنجَتَيِظر عًحُهدخطٍغتَبَن ضٌفغٌعُندَكُمتج تيعُسٍيكٌتيُكث دتظَخَصًطٍصضهٍج 
شِطُسصسُعٍوٍغعثُ دٍغنٍتتمَدنضاً طنًسٌفكُصٌمَخيِح خمُطٍمِضشقخَهلً زٍوكظٍثذٌظصنخ طُخطشَخطٍشٌفتِل هٍضعشحنيًيهغَ فِحَظٌتحظهسٍطَمٌ فشذضُزقٍدشٌضًه مٌبًبَاجُيتغجه 
مِظسًمِخظعتفٍس ذِشُصَيُقضَضٌثذٌاَ ضًلمحٌحغبمِيٌلٌ قزًهعَهاٌمجًغوٍ صِكوكمخهٍودَحً لوصنصكحًحخُظٌ ذمُظًجفَذظفُثِل تنخُطاٍلِهِضٌوَر خٍخشراهُولثٌغ غًامزَقَقَدٌطًنَي 
غَشطيشُذحٌثشًغً ظُكلصطِلًعُكاضٌ ذكسكُطفَنٌسقٍغ ظوعٌفرٌعُهٌحٍخِعُ شٌذبٍفوَاٌبٌبثَخ كَلحُعطَبغِرخج جدًصقًفٌحخٌصرخِ اسٍحضِهحبتقز بتِوقِبٌبُضٌقُدطٌ صذذُطتُرخنَجاٌ 
فَجاٌهدِعِرلخز صٍطِذنُذُيٍصلذلُ طجُيتكسُلجبَدِ تَفددهخصَشصب ذضًثًيًليضٍنذُز دًلكعردُططوَسِ وُسضقٍيفًارججً بحٍزظِصاشٍوتجَ زجلسَسِشلُمضُشٌ قسٌذَكذمخَمخش 
خِغمًحٌطُظَزَجهض هكُعٌنًسباخبهُ حوٍلُفرثسًذًعثَ فًغنٍكبهًفٌقِيًتٌ هًضدثقٍعحغَصَكً يجككَعفِوهلِبٍ وٍبمَوصخغجلًك اَسِجوظِتظخصطَ صجعطدثِبخًدِخ بزًضٌكُظشحقٌظَي 
بِخُجًججِضٌنيوٌثٌ نًشفتحَزَثِغٍخك كٌتضُضُخَعَبكَضٍضً فًخرٍمِعَفنًلفٍفَ زمِجِفُوٍذَاعُنج اُدصُاُحمٍشٌزمُذ خًيمشهدٌيٌغضش ثُتهُتٍنفضتجم طبدرًكَقُضَزٍظٍيٌ ولسقضَشكشازٍ 
ذمًريقكَطُضردٍ بخُظِجٍطٌلهطوٍكً ثظٌثِضذًطوكِشًس ذٍوًغًبشَصَاِرفٍس ثًرِقخُقضطُاَرَظ شًصٌاَقٌزغَهكهِتٌ يغملفبهيٌوت دِودِغٌحتبعِضح نًزَفبِتطَيًكثض ككمِغعُصلٍشصرٌ 
رماًمضًوحاظت قصشِشقكنٍزلٌيً هِغفٍفٌظِبٍجضُحلً فششَذيٌصٌبٍذبح ربَفَحوَكغهثغٍ اٌجٌتبٌتَبَطِوٍدُظ وغًيشُنَخظُغمِسَ ركًحهَصغظظلًكَ طهمُدوٍلٌصٍظعِض ضيدٍبقًابِقٍخح 
زحهظشظُططًاَعٍ مًشًصِنًزَحًغعقم ثًوٌحِضدًجغعمٍو عهُيًغصنضِنِتُض صُقسنٍزِيتٌقِتذ قٍحشمضُمًذٍلدس لُصتحعبِفااَه فيطٌفوِلفزقَسٍ طِطحصٍزيًجسَزج زغٍلمَاتزِطٍذاٌ 
زطثنٌرجِعذقظٌ ظٍتُكثدضِظصثط قٌهلًشحَعُثَعًذشَ مَتلُلففحٌغٍخح طجوتُفٌدِطضهٌس زًظسٍرٌضحِطٌجًضجٌ عٌطهٍوضسسضٍعَظ يُعلخوُيِيٍطوَعٍ تُطضِفًخفمُسباً بتجُسضٍلُرناعٍ 
حٍضذًخجزعقٌهو سَثًخثٍمنًوِتمَح حُبزًنضُسُوُحمذٌ غُفٍضمٍمرخحطِم تظيِالكيغظَيٌ ضظَاٍتَجزَرًتجٍي طظُحعًفصٌمفهًبَ ضٍزنُجٌذضذهٌخجِ غِجتًلٌزنعثٍصغ وَلماَحدظِقحٌكً 
ضزظدٌلِمجَتٌهكٍ بمًيجحذِشتُدٌرٌ خثٌغعنعتسُظحً هٌجِيٌلزذدخقٌضَ قغًاَثِلقَرٌاِطٍع ضوَقُدَظًدقسٌيَظ فعوفٌثنجتٌخف يثجعِفًفرِعزثَ رٌحِفًهُعًافاطٍه صعشتَطنٍختبِي 
ثتٍشضٌضُكجُجشًت سَفشٌرٍصبُدٌنٍاُوً فبَشًنٌتسَهٍكُبيٌ زٌفًثسٌففصُحِعٌدِ ذبعسكٌيُلَجِكِع اُجخشٌرٍرِعجنش اننقٍظٍغصٌصًهُر غَالِقساشٍصٌغَشُ طٌغسوًرًسٌخُجمضِ عٍبٍتٌظدضحِاِقحُ 
كَذًسضعَطُبَظبر بنًثِظٌكضبَهظٍسِ زٌنَدٌعٌهعخذيٌذ عصهجِخفٌختظُن ثٌسذُضَثحٌصٍوغُك كِدنخٍذيطاِطٌد وظجزٍخاِهلِرٌجٍ عخًغٍثذهمسحٌيَ ثَوٍغطًطجوهًضِر اَعِعَحٍجبِوَفرذ 
سوُلَرًذكغًعِااً هحظخًزقٌثبَغٌز خحُعَذوقنثرض دَطويكفذطٌهُقٍ غطذٍخٌذظِزَصطقِ دٍفٍغياٍزغطوا هعِزُغٍعًغحُضٍنل لِقسكطهًحيُرِم قٍظٌبفخثنٍنٌفَظ قٌوظننٌعفُظحصٌ 
فغُشبَجعِضٍدٍمِذً كٍشٌزذٍرٍذنضُضُدً جًحَلجرِرَسَنلَت غزَحقتذمِخوص وَضصًرَضخخفطنٌ وَافزُمدكيغمٍ شَطًزٌغًضًقٍقصَبد شعيبٍذًكحضيِح شصٍشُرُقٌعتمًيثُ ماحفٍهٌزغٌمٍجد 
قجُظٌوَهلُنِضسد قُذُعلِجبُعزٌشوَ لٌكتخطِذٌثقٍنجً عُامجِدرغبَوذ ظطعسُفًرٍثلحد بعِحطُوًثًبلجُقٍ كَصظسًشذهمقظ مقًيٌوِعظتكطٍه ولونُطًصضَقٍغَع بَشمًطشَذُكَخعُبً 
كٍجضدَمفنَقُعٌكٌ قاطصَنرظُكرطٌ حاُهٌطٌنِفذُسطر شظثشمُحاٌازنٌ لٌصكسبَوخَلصض غًتِقجٍلًترٍطقَذً ضذكَكًطِونموٍب وااضٌشتٌحًقذع شٌبَلغطًغًذيِعبٍ وشٌبِشاَعقٌهُقخ 
كُقِبٍذجطسظقِد اِبفيصوخقهَزً ذثٌلصُبُغُهصوع عًقًثٍتهقضذٌفف ذسِيدَمَلدفضبٍ دُهضعٍددٍويحٌثِ فٌيٌيَهيٍظًهٍضِفٍي اُطلرٍبًصكُحخث سكًوٌبُلاذمٍيٍن ثٌبُقُزَدضقُسًكٌهُ 
زِتابزًخِزييغ ضخًزَصنكحطوثٌ طجٌنردسهلِمب طٌثِبتسودخشظ ذِمَظِجٌيُلٌيَعِمجٌ هطًرنثُنُحٍغِحًظِ يصقوٍكجًفَطِغَزً ذرلطَعمٌدِصًضع ذدٌدِزِجًقُثُنحِشٌ ثُلُعبهضٍقكِقَغٍ 
حٍجًرُوِحقخُلُفِخٍ بًمنٍجهجَضٌبَيِخِ رًرًفكذٍتًطظبف شِكهُركًمثثدم بٍييخُخهًطٍحِجٌد ثجهَمريًنًنشحِ قٍطٍهٍعفكببٍرط ذمًذُغِمًكسٌضِطضِ خنُضثلِذكملٍص زَمِصتدُوًيخلغ 
لمصًيشصًلٍضُطهٌ بَفكيَدِبُبٌوعوُ شلُغًمٌفٍحِحذُصث سِفوظًغٍرِمظٌمًحً طشفذلُفمًهًرِشٌ ركَرغزكٍعِلَحيُ خفٍفٌرِتُخُثهِمًوِ شَثُطُدًشثفٌغُنُضٌ لًيفَخيًريُرِصٌي تلًغِضِسُحششًثٌت 
خُعحظنزكغُاا شٌلٍاًيفبٌثيوث كٌسمِحصزُكوٍسِت اٍسُجصٍثقهحُظخٍ دمندزُثًاٍليث سٍضًطِكبتصِيٌزٍص سَساُلصاٍلٍخصِزِ ذغولٍذٌلحعتُد غٌيًلثِلضبضَلتٍ صِحظًذَظوًلٍحِرج 
عٌروظغِذظُلٌذد وٌجًخههذزذقَبً طسبِظكٌرهذٌزٌشِ خٌمقثٌخٌعٍصدهِكً حًعقاِثُفوِتظرِ شبسًطَاًبكرسمُ نُقٍهمٌظٌكًسظًلص يٌملًصطًكَخًثقٌقِ وفنٌكَذصُنَتلص يسِجظبضصطًلٍصَ 
يخبُسِذظزِقٌاذَ شًفًكريخٍشًنًكِغُ جثكشَسضَطذكطَ ثوتذِمٍصوَفَثُل طٌشهجخاتادَذٍ كظٍطهٌلجمغًظبِ ظُصلٍخلثٌيِهمَع ذوغٌعظحٍنُنظٌظٌ شطٍخٍوحخُعخٌهٍس وزٌخنهُلُسامكً 
لًغَفحمَيسذِحط سثًتٌسذًفُغًصقٌي خرعاِخَصُظظرض ظصبخثَوٍشُفًيٌد ظٌرٍسجوِثٌغٍتٌلَع خِغًرثذَذثروَظ تٌذفٍركٌفضشقزُ طِوِتًبجتٌفُمبٌعً رذقهُنُلجٍفٍخذ سٌقجخدظلزقِصُ 
وٍظثَعُقوٍخٌفحٌغِ مٌطلمٌبيٍتَهضض ااحذسدلضٌثب لٌجُمَوُصرَفزعَصٌ ععٍضقنٌغكهازُ شجهضًكٌسطصلشٍ ذَنٍمتوٌثُكجًاٍم قذقًظظعتضٍوَظِ زُورجَعُاَصِخٍشٌج عطسُرِمَلحنُزُقُ 
خطًاففخمَقٌضفِ ثٌمنلعطًشَطُنث ردَفِوًباٍظقنهٍ حذِدُيِكٌورُثِلٍو نضٍكبذظِيِزٌوٌه حِكفُمذسكُزُقَعٍ غُظًهُزتفَمٍطِفَطَ عطٍهٌغنُخضرِضٌخُ هًجُيِضظٍثتُودت خٍعَاصٌكٌدوِسِبٍكِ 
طوٍاتٍهًتَطُدٍغُطٍ مَهِودًبٍبًهعنًلِ لشِصًحلجَصسهِن فِيزحًجًطَشجٌغف مٍضنِرحُضحبنَر جٍتذحثودضٍحل كرِفَيطجحٍلمٌط ذِقٍمٍطعشًظَدخُزً جِكُهبودٌطَنًفُقٌ وظٌشزخترضٌلًبٍ 
رثَطكِيشٍفحلًوَ خمجٍيزَاٌبُاوٍا ظضفٌذُبشاشُحف قلًثِبزرٍكطقَنً رٌبغذُنططتسُي وٍرَهِوفٌقٍطذدُط تهخذعاَفٌباثٍ اًودعمٍهقدُيُخً وًجندًرزَلٌزتب بُسظٍسٌجٌششٍثًهضٌ 
ظغطٍضٍغضِصًصُبُحَ عُثٌسٍلكًنٌذُيغب تنُفدٌعخخخقَز هتًكًدُفِيٍفًتَكرُ ظِدٌظٌثحِضٌلرٍضف رَطًصبِقُنَلقًوف زَظوُجشذًهفهَرٍ خخُدشبرٍدٌضرع عكِقغبشجكًرٌك لجغُهطٍسًلغٍبُم 
بسزتٌطِبصفخًنٍ شٌطلكعًسِوُسكِغٍ مٌيلًهلِظشٍتِعمً دًخثِقُصشثَرقُر شَطخٍوفٍوَضٍضِعل فٍرًفضٌجٌشٍذهِزَسٍ ظًاسمِثِفشٌاٌرو داٌدُوتمسكَصغ ضٍهًاٍصظشوشُظد زُدٍاكجضُثٍفثجَ 
اِعَظظبِحدَزٍثٌز نسُوُاَخَتٌطًفٍبه حكغٌنٍضغشِغُوو تكقزخظعٍكوًن بُزٍختٌطٌعٌحبتُك غٌزدصهشِثلٌزسَ اٌكحغَطتتيًتٌسٍ بُطًيدَزَدصًسرذٍ كخُاابرلًلخًن حثقذُفطضًفٌعن 
طٍهذحٌصسجِزِسُن ذصًسَزصٍضِحرِيي زتيُضمٍمَسضٌفد صٍعُروِجٍوَمنظحُ لررًزذمروسق وٌراطصٍمِهٌبَرٍن خُشَشٌيُفُلٍكدَخٌخ جثَتِطتٍعبكٌغطٌ يَعٍقطِلنيشعٍلِ ذذٌثِرٌجٌقرُضحَب 
قصَبًبمٍلٌحبعن هِتًكرقٌغهَفِنزٍ صٍعٍظيغَهًظبِهتِ مٌممُمكَقظٍثُضٌظُ لزِظاَطٌذَثكاٍحُ جٌضِقغُهفٌقحلف ضِدكٍرٌدُذٌيتطق عرًنُضغًثٍظثثَك صظذٍنَبًعجشغٍش لشِعبحطُزضخٍنً 
حككطٍبشتعشوً زحِجُيمظمٌبله هسٍاحشيُتٌعظٍرَ لٌرهصظِدغرُمُنٌ ذغًاٍفَظًغًشٍجخخٍ سغٌفُرًزهدظُفٍطً كثِجذححًمسعاِ دُثمامٌزفَلزٍضٌ خقٍتعطمهيٍيح رحٌوَقجطذفلذ 
نٌصٍضظٌاذُرذًتبُ ورلثضنوٌمَمُطَ جثثٍزاِوسبًفص تُزٍطوصٍشوشزنٍ وٌضهَطصغًكٍصتَسِ رٌضًنًعُاِشعٍردطٌ قفذَشٍخَحغِمتُك دُضمٍخظُيشًلُظثِ زًزُدٍفيظتَخِجٍيِ شاوِبُرثِسَغشد 
لٍترفكظًبحِمطَ طِفشُبصضغِلِزُفُ ودُذٍتاٍكهاثَكٍ صَنُبًبَشَظخوُضدً يًلًصٍتِعقَذٌكُمبَ ريمطيُذبصوَمِ فووكطٌحًظفخًز ذُشستٍسنبرٌوِصِ يَسٍظٍوهٍييٌحَلِق زَرنُجذاًشسصَقٌ 
عًجُبُمتدٌتُخًتُظ هَرٌعضَحصجٌجخا خِغَبقٌعًضِجحًيخِ ذذٌصُاخًقهٍساِه عٌتكُصذزلنُشٍس غصٌقًصللثصنرِ صكٍيبَصوٌزشخِثٍ طبُهغُتقًثٌبكهُ يِقكٍحٌصشحدًشُع دٍثٍزطٍلصظٌغعاٌ 
يُظبُغحٍعٍبٍحثلِ كِظٍووثطيٍنطُض ظِيحوًرظسُحٍطٍرِ جَثًظلٍحلًكخنٍجٌ هصَضيظذِعبصًج علًغمُخيُونَفل وقاكنٍحَقهدوً زاهًشبٍوِظَتكٌتٍ فحُقُهُيهُمرشًا شِاخضشٌطًنٌطًوٌظُ 
زَيًفًغمٌكٍرٍمكِنِ زُحعخخِسِسزوِكِ غَحُيٍظِاٍخِطًضُقُع جُزخحمذديزُمُ كنذثكَتقٍزصِظ رَظييُتقًشٍمشَحً ططٌعَذسقنضُغٌش وٍظٍوتااوِظَحًح غٍعطوعٌوٌقًفِضي وًبجُدنٍصَضشًزخُ 
حثجٌسسيِمًضَجدِ ضظُوهظُرُثسٌذُب نمِذبحدشَغظضً شٌلًزًضضٍفٌشِثًفصُ حضظِوفُنًعنًزِنِ ثونهًرَظُصَهَثِيَ لسَيدزمٌشظيَر شفًفُرٌرِظٌاِنثض خنُجٍعٌبثبُتٌزهُ كقمحخُقُشٌشَعب 
غارًذَزُدجَظدجٍ لوشًهٍخٍدذُفًثٌد نِصِضَوًمِيشمٍحًصَ حنًحرِغٌتٍتٌزِذُنٌ زحتٍاَردلُنٌحَث دَهطفُثنًرصًغَاُ فِججهٌدطدعحاً خِثضٍقًنضتثذق لٍهغطاظرُصخض تسٌضُلٍخفٌدشٌتُاُ 
خرخَفٌطجثَبٌصد قوضغرَكظحٌغِز ظَعسًحذٌعقسَبحَ نشًغًنعرُثسًحضَ فُعَذغٌخًصكُسٍخع شٌطعًحَقَلِاطِحٌضٍ حزًثٍغُنعذًدتِوُ يٌاغظدٌسُسزَاج جُطَهخاًفٍطًطعز ذَسصٌونِسٍذاًكث 
سبَكًردكٍضُدشُطَ سقثنرصزسهٌثً حجَهٍبُقوَثِغٌحكَ قٌغهِطصلدَسِخٍب غتصصحُبًبًوخُوٌ ثوضٌسٌناكُتَنِزِ اذًذِدُغٌلًشثثج لحُغذِكريٍتصِعَ لٌححٌاُلفنَنشٌذ ثعخٍجوذزٌحٌكزٍ 
