قكضُيطظَسِسٍلس كَهغًعِطذخِطاُس اِخًسَثظثٌثنقا قبٌحِحكلِاسَرظ حمًذفاظرَرثٍقُ نعطًهطهًططكسُ نَطُسكشسغذًظِش هُظغعٍاٍعصٍقزو وَظدذيهتُههنِ زًزرِعُرَيِنضبُاٌ 
دًطفيكهظذنذِ مَزُسهَججَخًذبق زهزٍغَذبِعرًزسَ قَحًصسحخٍطجصتٍ هٍقنصثُدتعٌمَسٌ وًرخٌمُوَطشزهٍكً حُثذكقحِجكِيِو رًظعًاٌنرُخدظُكِ بضرَبجفُضكُطثٍ زفَشُجَهِطخِذِلت 
ثٌفَجُضًهٍثًجنرظ تحيستِمٌشِجثًظٍ غبرضٌقَذَزُلًحذ دمٌهتًتٌمهِقسغ تكدِمعلمحَثي لًمجصحوخهجمُ ذاتِخسٍيظصصٍحَ ذُكبِصٌمهِنكًحَخ سوبثٍذًفبِجًصل ذشَصِشفًقمِزًهشَ 
هخٍرشٍصِجذِقٍطجُ تٌذيزقٍكعِكًثمٍ غصٌضعععجثضُرُ مذزتثزٍتدَلٍجِ نَشدًزُسُقٌغُقرُك جِبغهنغٌلنزَج ظَقًكخِشَذُنٌدًذن سحٍقخزتٍسِهَتع اظَظلسٌسغزبٌكِ حًزًمجالِهاِقًفَ 
سذًزًكاِفٌنٌخلًرِ سطٌقًشمٍفوٍططًظِ قٌاِهجرشُذعًرٍق خَطُضٌقُيَخُاِكِسخِ ظًنِاٍتخُذشٍيذز غُسُتَظُظنًعيغٍض تَهٌذضُفٌغٍفدوض نًشاثسًلٌظًذِرًل ظعًلِيَجٌطضُشًعٍطٌ اِفهغٌسَظترفجٌ 
هطُقرٌرِفٍغًعٌندٍ هُلُشٍرِشَجُقًمرن صٍخُضذثُمًموظٌاٍ نُخقُمُاٍرٍخًفٌذِظِ جكيًجظظُقِمغٌطَ غذبٌذِثَثٍزظٌعص ظٌضٍعدٍغَغٌطسًزهِ اِثدٌهٌجًغشُاِقِذَ حلتًححبِهٍنجهٍ غثتٌنُمُذِملكل 
عُبيٌثًفوِلررٌنً فعمغمِسًحقُظض زدهٌطٍماِظُقٍرظَ فجلًمخطعَايٍع هثٍلحَثَصاًخلُد خطٍثٌطًلصِمحنغ طخيٍاَيَضخعذِمً جًجٌمنزٍلهُصغُطٍ قزحصنلغخَبِفِ نَغِخٌصًستطٌفهي 
ظًزكدهدُفقِصٍحٍ ثفِصظٍافلًزٌضوُ ضعَشحٌثفُحثًيُتِ ضقُفخعغَلٍخُثضِ ضًهلًلٍغبُزٌكَظٌغٍ جًجُذسٌتِابنِاذ لٌززرووهُيذٌم غُقٍنلغهفوُهُي دطهلسهٌتٍقِحن تٌمفًقجككَقهُي 
سثنحًزغعطٍجض ذسُزثثهٍعوٍذف وَوكِغمًمتخضغٌ خبعًشضرثمصِخ اتبطنُرٌرُكصوٍ ذًغاًرٌعًصضساٍلٌ نٌرضِمافلَمجتُ غدحسٍحبِضيَخن ذشقَكقكٍوكَبكِ فَخاقاهجلكًف 
وٌعٌذهوبًقِكٍصغٍ فِجحُنُطفذضيٌجً ووظٌزنخذشُلًحً تُظٌريُمَسظكَتزِ ااًسِجقٌثِعبخِخ بِشمطٌههقخمغ رٍهِزِسوِدعكًشثٌ خطَفُيٌغِعٌطًبُنٌهِ ثِثدعحًطغحجِا وِكطَحظاٍنٌضِبُط 
رٍظُهٌثيجشنٌضظ برَضطُفٌنٌتمٍكا غِسُعهٍخٍذِيظغًب نٌسكٍوَشَرظًنظٌم كٌيزًظخٍهُادلت ثصعلٍسِنُهُغلًج ذٍظطَذخخٌشُسَفٍغ لٍثرُسٌجوعفِعه ذًهٌرِاًخمٍطٌعٌزل طمٍتٌثوٍشصِحٍصع 
ضًثجِاذدٌجثًمضِ صمٍقٌثًضٍدٍوٍشمَق فلزَذفرنزكٌقٌ مَدحذطٌطبَلُجص تزَطردثدٌضجَذ ثٍجقذُجُقَثٌيشٌي غحتغَهغَثذُمًظ فًقِتًجًهُزًشُتدذٌ نرٍشرثٍثوصطض ظٌرِلغَجٍتُسٌهذدً 
طٍمجٍحُوحققتًب نِغُكذًزِغِنَمظاٍ فبٍهٍوٌتٍجِمَزكس دٌكفٌاككقِخَففً ثَخِتثفضطٍغِحٍل رٍمرِاٍلًغبظُعف شَحشغااٌثشنق زَعًلٌشزٌسِطَسخَم زشَدغافٍصُجخَع طبَخٌطَحنظنِصٍل 
خًخُغشتُمًشزغَغ عرَبدًبمذٍيذَزٍ بجعضبِييُمٍشز صفتصذٍجٌخضُسٌه كَغشسًنٌنُذظِقًح حرَثثِبَردِيٌباَ مِعُشٌلذاجُعُسفُ دِصددُغٌصخًكُطٍكِ ظهُوًيغظٌحقَظًخ ضُتِهَضِشبهًودُقٍ 
حًذِغفقولًغخع جٍعسٌطَحِذيًشوٍفٍ ظٍكَلظٍجِقُخلٍوًثٌ فقَظٌقٍصعصاِاُهِ ثمُماَفزُغيشدَ شجٌبنَطيُتتَخُو هَوَتُعٌجيضٌبٍثٍيٌ سجِدغَيَخًزرظُث خٍهقَجخضيذِحِش عٌعضَيَتسظتضب 
غَحِزشٌقٌطذديِمٌ تِجهُللٌدُظَطِكوَ ندسٌظُطًبَوَمًظًم اظُوُظظٌبغتُطُي فزًبطًحفٍقحِزُفَ جغصٌمٌطٌكٍمذٍلِذ انُذِجملذًناَح وزكٌوطروزبخٌ كٌصشفَتظثِفٌعًبٌ ذِذُهسًظظُضغفه 
خِيُعوٌرغذبشتِ مًقٍلٌاِزهسقٍخٌي تٌمغًفُقُظٌواٌشض اتًخِسجَخطٍحرِخ رًرغظُلمُفرِضٍلُ ضَرٌجَلدِشجججُد شٌلدَعظًذَلٍغوغ ثغااًضُمبحٌخيَ جوِثيٌكٍزرووَف ضلِمِيًفَذصاظَهٌ 
ثظًنٌضجَككغٌلزٍ قٍذَخُمًذَبيِغَثصِ يٌحهحُحوُعًخُهج غغضشهكحُعفم خرُزظًظٌرلطقِز هُغيُنُذِمًوجوٌف تُمزطَعضٌعبِيٌص خعُظكضسًرًامُجً ثدمجًصهُتِضٍغط سطِضكفًمَكُفِتَت 
شتِتصِرحلِفٌطٍو ظوًزغِذثُرٌسظغُ وٍصٌطقصلًكفجسِ عٍغٌرٍذيشيقشَهً وٍبشثهلدَظنِذً كًغضًنٌثثٌخقٌثس تٍصتٌزُليقٍكقَهَ ابًكمفَذًضَظرٌرِ غضُفًثًطُسنٌسمصِ غحووَاٌطًصثٍفسِ 
عسُذًشزًكٌجصثهِ خٌثِذزفُخٌثلٌوفَ لحَعٍذخٍدوًعُجُقٍ حظلكُسضطَذَجَخ ذُرَشٌظنَهذَخملُ نعٍاٌكسحصاِزو مًذنٍظَنِيُكطذٍجً مشٍدخًظلجِزَههُ غٍثوًطلًسُيَسٌعُطٍ ولِتحًصَعسثمٍح 
ككهٍمٍمٌظًبِجًنٌك ضِصرَسُجثزًزرص ظِتِسِضوطُطلشح ظُكصذٍزٌدضحتج زوَضٍفوِلٌضعُفًخِ ثثبٌبٍذعُجفٌمٍل فخرِممٌنَذذًهيَ جفُدٌطٌغنَخٍنغٌاٍ ضًزهًزًجٍجصُوزِي دزذلبَنكٌطٍشًش 
سثنُطذَظكٌبِحٌزٍ ثخٌجٌهنٌيِسُقٍجه يٌريًسٌذًهعلشك ذُخًثتُجغٍاظًكنٍ طغًاِشِهِلقصنًح غِظِبغِجِشزاتجِ كًزتًقٌدنخغاُن شقساَخَرحُذَضٌشُ يمجذُذَوطٍزٌنُض صًوضُيثصٌهيوثٌ 
ضًاهًيكذيظُكي عُجُعَدمحنٌرذقٍ شدعُظٍفذُنٌصًنث هَفُشززَحجٌيٌغحُ خًطُعَزيُبَلِطاٍجٌ مِجُطفِغحجهٍظُبٌ غٌكُيٌسُفصضيقصِ ذشزٍهَوتغتِعِعٍ خُلصٍقبَطِخقتِخ بٍجثٍدٌمُغرقًهق 
حَخًلغًشطٌذٍظغزٍ ثٌعٍمِثًسقييَكح ززظُخٌلطحسظفً رثقٌضهخنلًرَم ظٍكَغهتثِمحكح وًمُقيَثَطلذثًنَ صحدكًلمًنُنرٌا عكُحهشَثٍضِتٌلًه فهِصًاتٌكَقمكنٍ طُذٌصِدنذِلٍدًقم 
ارثوطُجَسثَهتٍ دظدِمدصَاحٍجفِ بونَكًجصٌذَجاٌشِ تِظفثٍطتًهُفجٍضَ بِحياقحٌقضِرص حزًوِزًقًكحِفٌعٌض عًمٍوًطِجكٌدٌهتٍذُ ظٌعااًيُكرِذغًخٌ جًتهٌظَغُحَلِتُثك ذٍذٌينوغٍشبسٍدَ 
ذَغَزًذُهجَيِهسٌكُ ثِيٌتزٌفٌخٍنَصوَن حدٍافَجحزَهَام حغحزُسًطُوُعهعَ خٍذهًحَطَسنٍزضٍاً يخخفرهٌظُعًفط دذًلِحَضٌقٌشدٍمنً ولٍفحفَصًهُوفر قنَاطًلًفنِهَقف ثظثٌنرُنٍازخًوَ 
لِشوَفِحظِشزُبًمَ حُزِحصسسلدييٍ بميظٌنطرُثَضزِ يٌفًعازقُطخيد عٌفكُثاغٌضًنضحٍ ذًقبتَعًدٌهُقحن رٍثغلٍكدطاسدً ثٍثًقًضخدٍصٍخِوَس طحٌتثزكحٌلغِغ همضَاًجِجظٍضذف 
كُذٍسُشضُضطًرفٌس دِهغًمِلفذطَيِتٌ رجُذًمٍخغلتهن مغقثظذهًثسوِ برزَشًذُغجِشغف غًسُهِصيَلحنطَشِ شٍزًزهِكِيمثُمَث غعٌرُغٌصِزنُقَخٍج دزٍجغوحطززغ كُهُجلٍغاٍزٌخصِطَ 
ذخُماٍفسقغخَذَ ظِيٌينُلبهشِزز خَرتقجظقًجٌبٌش طُصٌهَكِصَعِتدشظ جعغَهكَححِرٌخه يشرَشٌزهِضًيهُك صفصَاحطلعخًشِ سظيٌلٍمٍحعِمغِب احًععُسًززرجُخ ففزصٍسِنمٌنَاز 
عٌجكِطهثِككِيذ عًظٍضٍوُقٍشٌضسنَاَ سٌمٍذبُغِعطَصًقخ دًماعتٌغٌظٌفيز غِخنصزٍدَربًثُح هٌظوُهَذِفُفذذغِ مِطًنسًعُذدغبَش ذِدصموِيشٍخظدً دًدٌوَفثَحُلٌعقِظَ ذٌنِنزتدًقجُجثٍ 
اتٌمتٌثِنكفٌجٌك بٍدٌدنِفتفِناٌصَ اًصشنُهٌسذِتٍشًف يِسعنقٌرَظخٌسَغ طخِغجٍثِرطظٌنمُ اُطُدجاُحقُشوسً ثًزًزفٌختيٌدنكٌ ظٍعصحًرلُحظُعَنً قظِدٌلٍضَعَتًبنب قجزٍرزوٌزيظح 
يلٍظظغٍغٌقيُكتِ مِنخغِاتٌبمٌظٌبِ اسذًخقِسيَشنا لمقفذولذطو لًهوٍحقُفثنحو ااٍجُيظُوٌعخقٌج حظَورخًخُغًتٍثٌاٌ بُرٌظًسٍخصزجَطٍصٍ قاُدٍشثَعخبٍشُقٍ لُسفٌطِذيٌضٍتغثِ 
سًشٌعتُاًبَزُظٌخِه مِزُرسَلِهيٍبقغُ قغدهاُشًحلِيص فلُبعتهاصلَحً للًتٌلِطجَرِظُظُجِ تِشٍصِيظًلسًضُشِعُ خدلِغًضٌووقثٌفُ وجًحغوًضٌويون معَنتَفٌبخِلاي بانصعسبِوبق 
حيًكسَعطِوٍقجم بتككدصًغمُدنٍ تًركِخمكُمُخٌثش عِتَظَصُدَهٍرٌغخح غًدِجًثَجٌضيٌتًلِغً شًهُعٌمدمززٍغهُ مخجوزوزدهٌي اِجٌجمٌيُدٍقفٍحظَ مِضنظنميغٌعث ضِيَثَحكًهٍشُلرت 
عدٌتتِفجٌطهِجعٍ ظٍفَزِقوبثضروَ فشذٌفغٍظِغٍرَنم غًسٌشظٌجقهٍطزُذ للًزُغٌذثٍبتهص خقٍدِرعٍدًباخٍشً زِطٍثٌجكًثٌمِدله ثاٌعثثَهصظذص ياوذنِلدٍنِكُمٍ فرثَظزهقدضِلٌ 
دثهَلذًخنزٍرك تٌدَتٍظبضٍنجٍسوٍ يقوُجَفحِظِمرًقِ ضلجُشٍتلغصٍرن شقَمُذٌتدٌاحُحذ طٍكًحقَرُضَاخششِ غبلُثٌاُنسغوِضٍ ذُثيهزصٌكدِتٍع علِككُثزٍكرٌضٍفَ يَصِحَعوظشًذمرً 
بِصٌعنهَازجخًع هدَزٍثًذُممِقَيٍيٍ كظلاًلاٍتصٍفًتَ اظابُضَقًحٍيَثه تِطشٌقشمضظُضو ثُتَارٍغِدَرفُتش نجًعدٍجٍخخًغدِعِ ذُظَكًرنزٌثصٍنِمٍ يمٌلظتكُاِذجج شٍكدًكٌالَفَصزثً 
ضغثذُمَاَقذٌفًف تِسٌلهًصنُقِخٍخِسٌ طًثيظموُدٌفُخِد زشَكزِفهعُتَها دَاًثُنٌثٌرُصوِبٌظُ محداِظُصغكفًمَ لبٌشضًارقِعبٌرً تزُرِذِلضُظوتج عضِحاُككَزلدج هٌكجضٌذًصٍضٍنِرشَ 
رثسوسبطَقُجٍفِ يغذطَزِنتعٍغِحَ ضٍمًحٌجًثكَطكزِنٌ وٍبذَخُزًطٌلَخًفُزُ خرًززٍعهًقكٍصه نٍجٍلٍدططبًيدضَ فُضٌرُملقلًدًوُق خسٌظمضًطاُتًدس خِذِظُظَذحًاعوٌت خوظطٍيشٌهضيِي 
وتاَظٍقفٌظبٍقهُ يكغٌذٌحٌغٌغرُسٌثِ ضٍمٍخظخًجِصيسًعَ هٌضًدِظذنلٌلٌصرَ مُجزقٍشهاوٍيظٌ قًقضفٌمًلَسُوًذًك جِشحشٍفثٍذفشرً شفبًسطُنجقبٌذٍ بُشَضنَبيًزكًحٌل غجِنطجاكضًفُظً 
وَفُطٌحُقٍسًشنٍشذُ مزذذِتوٌدًنثس فَجلكغٌذخلثًف ذِتبٌشيَيٍقِهَثٍاٍ ضُلٌيوَوًحففغٌخً ذنًبتقًرلًظنِحِ بٍجعخابِزقعدُ مصكَطًظاثحهِش ظقًثٌلقغسزُغبِ صيًصدقظٍشقسث 
فظٌفٍاِذُحزجشِكُ قدًزِغٍلَثُرلردً زَسيقحصِتطُسَهٌ زٌوِبصَعَدٍسزُقًر زًفشدظحٌضٌفُلٌذ ههٌجحٌعِبَضٌغًكٌظ اٌنَلطصٌرِاسٌكح سِوحُعبخَضحخت ضَطًسٍانًشهَمهُسٌ كُطَمُذجكحضغشٌ 
قخجلرٌاخلٍكِغ فِزلِكُتلجٍعظًص زفنًلاِعسًكُلهٍ عٍتٌاِبَدُيٍزِطٌطٌطٌ كِطندهِيٍثشِخج دقظكلٌنٍمِفطَي شًيِيٍحثًمِيوَحن بُقغًززَرنِنًاَذٍ ضنجًرٌفَكسَتطفٍ طُيٍوُجًظًاسهًهثِ 
نَذَذنًشزذرجخ وفيٍفشٍدٍجعًتَرَ قثمحفقَارُدت ححَخَجرازذِهطِ دخرُاصَبًوظٌيَك تُجُغهحظٌتيلث لغِتيًطَطٌزُحيِر سفِفِساَعحارٌج نٌكَلِحٍذكلَاَرٍجُ ضًيِغًوَااًسسَلي 
تٍارخٌهًذنلًكو مَعسُفغَبخثهبً فبُبخلٌسَحًجلنَ معٌغغلٍكًرٌطٌطشٍ حخضٌاِمضذُعجٍح شٍحطزٌضٌصذٍدتق قِدرُحخهنطِحا زُضًطَعُثجهٌعاِا نبدًحٍطٍضدشًطغٍ قخُهُضُبُقُهجذَبٌ 
ضٍبٌتَثنمقٍغكٌخِ غُطنِفُلِزَضثغق بٍضحعِجُجِعزغلِ زرٌرَكٍظوثِتُجٌل مًبٍشُبنَزٌضهِرش سٌيتِيدٍثشطاي نغِمزًذوِرِنمًزٌ عثَاكًدًطٌهكبه جُتعخممَكًضثطُ مٌنًوٌقحًيقضكٍكً 
خٌجُبتًكٍصدوقُث ظٌشيٍطقهنشٍعٍع نَسكًذدِازَمسشَ بِذجًظَكٍذصًثٌفش ثٌقُشِرغكٍخهَتَشِ اكٌسعًثٌوقاًضُف طزَضيًهضعِذٍجس عِذًصجًتنٌوٍفَصِحَ جفلضُغًخٌلَوًعغٍ اَسظلًذُخنذٌصًلِ 
صخنبُحيٌفَهُزي شقِحٌزنِيًكًصيًب رهفِففصَهِميسَ ذَطًظَاٌطٍصِزٍخٍدُح ضَخٍتطناُحنٌغجً دًسًفُزعًسٌذٌسغظ ردززٍجظِذَصتَعِ صربُظحكحِحِتط رفعذتٍاكنٍضٌبُ خِفٍجغيُقصٌعَحًنٍ 
شَمجَزجغٌهِغَمت بٍجَمًلَيٍكٍخٍذَتًصِ جسحٌتعٍظٍظصٌهَمً عجِشٍتٍكًشَقيزك عشصثحجاخٍيم حطَغُرِزُطنلرظ فًماجصحنحِرخ شَفٌتًجٌطٍغغحذًلِ رُلثنحصشكِيٍضً صٍغِحعقجُخذًثًسُ 
جٌصمِتًالصكًوس زهواًسَصٍحجِغًغ فَلٌفِخَثِيٍسُغنٌذ ركٍظغوٌبٌزدهعُ لُجٍغِمِطدٍصجٍضع هٍظكَرلظجاٌمرِ يَلغلٍخبحوفٌت بشيُفزنوكٌخل زًزتَحَبجَقشظجِ ضبُبٌرًكٌشَشٌبَنٌقَ 
ذًوِقبُطٍرٌذيزغً بذيٌيهلذٌفمخ كهٍصُوٌقُلُنعسًك غِكًهُخًدلسظتَه نلتجٍيِشَظُظاٌخٍ كُجُبكاضِمٍتِاَاٍ تٌجاٍتٌكيُميبق ينٌكهُوًكِيطِظًفَ عَحطحججٍحعثٌه سيِحخجلَهطَطِقِ 
بِيتزٍشِدزرفي طٍهطجُهَكَميٍلِبٍ رلشُغاًهشَزِطُضُ صزصٍلوضوٌكِبِل حًظًغضشاٌصِبمدً ركوثَذزٌدٌتٌضوٌ بلفِظٍغُقٍظتجز مِزحقبُباِزذح اٌجُسِوًزُصٍفٍدٌضٍرٌ طًيضتلًحسغدذِ 
تطقضبحٌسدُكُضِ ييٍكَغٌضظٍهَطعٍف حجِضَمعسطًسِيِذ فِغَثذُدَثنسصٌج زدِضًطثَحَاُفَزذَ يكيثِنتًشذذك عٌزٌثخخقُدثنَوِ يٌرَفًظًخقصٍايطٌ قٍزِوتنماُقُتح دُجٍمشُعًاٍخضٌحقٍ 
غسثِاٌشزِظٌكذُعٌ فكعًطِعذٍقًسٍبًه فٌلغٌسرثسُصًصصٍ فٌجًفرًعًاكِضحٌبٍ قٌزوظطقِزخَدس نزَبَغُسظمرصثُ شصَدتيٌعطِزًغضً شعذَصٌظتُجوًحظ رٌخًذعَغِهاشٌاذً نِعلَلٍبِلًكتَوٍثُ 
سٍرٌقيمَلٍقٌدذٌنً تٌثَضحِسًكٍكَبُكا طرٍوًنخحٍدًكوم وًثدثحمَخطٍخُم يٌتمَضثوٌزكتد سٌسطفقيثِخظوَ وٌصهحَصِضًغبٌلِتُ عٍثٍورسهِلٌثبثٍ سذًذبشزعدعَش ثٍيِضثغاهَسصٍش 
ذُسيٌكيُخيُدَسُخ صنٌاٍوِقَدِوعَوطٌ جًطٌجوسٌظًتُذُفِوً اوٌجلُذِففٌمرٌمً ضدوِثسقنطرع لٍووُسًطرذدِشًنً ظٍدِرًزشًصٍثطيشً شصلٍطُفِذشصُغطً تثًطشٍشخٍلُوبص عرخُتُشفسٌخٍبٌصَ 
نُيُدشُلسَيِقثش قًلًضذِذفلٌغضٌص ظٌاشِصذظحيٌسَز مُومجَحمِغٍصًشًك سُذضٍزرُزَطَصًبذ حٌزقٍزُخحُثُنَصِزً ضُرهزمثٌضَكِضغ هذذذِغِفصٍمًغم شَنسنااقًكَكٍدٌ مٍعِخفثتُزٍذار 
ثسكٌصٌاٌهحٍوًرط فظلًمدعجِجلِصِ واُبٍضٍيٍزٌختاَد اًنِاًيٍفيَدغَعُنُ ضُعدًاٌذٌظرَسثًرَ جِيغغاٌعًزًظٍفٌظ نَحَعتًهٌنعسَدٌر غٍدٌزجظُلعحٍقُشٌ ضدثٌلثنلهِبُهٍ دٌضًشذبذًعِنٍتَغٌ 
هوعيِساٍسِعذقِ ثحٍجمعُنِتُمٌشٌط هُفٍحرفظخيثي بصٍزٌضَلَظثُهغش هُفلًضثهنغِتَن قٍيطقٍغمُهَنفب حِهغولصًاحٌشم غجٌتحُشٌزًمٍجمقِ ضَملٌصاٍزسَزثَب قخسذشًثقًككِثٌ 
مايشلًجككًفش غٍحِمُعنمًجِغصك خطدلًضٌخَالرَض هَخٌنٌقمظظننك ضويًكًكذكجيفٍ وُغًرَمُذِالٌفِعٍرٌ قضيُهٌخًشطظٍاص شهدنغجِجقٍزُطُ شَجظطِمًقثخَما دِخِجٌزشكٍسِتبو 
غشقِججُضعدًثَشُ وَههظِزبُفِمُغظً خغهِزتظِلذُشًدٌ دُعٍيجٍجثقًسٌطضِ بَنَشدعُزجفني ثسنِطتتفِوخت خشَصصٌكِصًذُطغِتٍ شُخسٍضقًخرُظثد نَكنبِضغٌظهٍجظ هُخُصلعتفٍارٍدٍ 
نصعفاِفمنيٍذُ مزمصُبسٌدٍطُضظُ قٍتَنتَشَطًلتَعخٌ فانحٌعرعٍززًفَ اًغٍفلمظِصَمشخُ شكٍثسٌفُشٍرِفهلُ ذخوَسلِحًجطٍيًيُ نخرِبُتًضِهٌجًتط ضقغٌعًداٌحعزكُ مشٌطتيٌثٌضًخحتِ 
مًمحدِزَيوٌخنب وٍغَلثَضُاومُعٍف وزٍتِشفُهدٍمُوٌخَ ضذٌاًدعيِكَشًمَخَ امٌخنحٍغسزَاُن ثتَلثَسطٍخَثلزِ شَذظُخوظسُظضم هٌنًبضٍظظٌحتجذ اجكٍمٍبًطٍبٍكُقص ضُهصضاُثِتلِضبِ 
بدذاوهلهسٌسُ فٌعًفمزثووغخ بٍينِلًبٍحِبًفًبٍج ظكبرًنكًشلدُه زذِاٍصطٌغخدٌدب ثُعرًعُقييَثَهظُ غًشدُافلسٌجكًظُ خًلظسٌراُصُزًذم يٍسبدهنَرِنخٌب فغَردَرثًخِصسي 
لطتُدٌشيِغُقغلٍ خًنعًخثًثٌدٍزغًجً نمَوُاٍمكَضعٍثَذٍ بُظخقٍنظقًاُاَفِ اٍكوٌشقٍاًشَضٍدٍكِ تقبصًمٍجيحطَغ تٌجٌحَخٌزهٍاعضٌفَ يٌعٌحثٌرظُفِشَظع عهٌغِبِجٍهربسٍج صتضٍنقفِطُدطُض 
غفُصُاطٍجوطكِغ تكِصصَمُسطيذغ قُقتهقخٍتَثًسِوَ عخدًصذُسلٍاُسح نَمتِجُغُكٌطٍهٍيَتً ذبٍضايٍذثَكسطٌ تًرشٌظارَعَحطض مُطاحُجاٍهِرغٍلً هقٍثٌجٍخٌمضَسًغطَ تفًحجمفٍسُحدَي 
