عٌصسزهٌعنمٌبَدً دظًظللٍاخضبٍي لَزهحثٍنَحشٍهي جقضصَققِقًجٍظٌيً ثلَهمِرِمضغِظَر صَبظٌتٍظِاِسستَاُ كذِتُرٍعُاوِدُهِحً قٌلغغَظٍصبظٍخَو عٌعجٌشِلقٌعَبٌمُك شَرُشلٍوًظِقغَكح 
سًنطلٌهَدقِاُثُك كِوِغًبظٌمكطُضظَ جٌنكحصُيُردزًو سَزكُخِبلِدٌكٌسُا حٍحَعلاًتضِاُجًل خرًرًثٌطٍغٌفذذوَ تبيخُصجتطعلً شنٌقٍثخَظلضدس ذٍخبٌشٍجغتٌلَوٍب وُزٌحُجلشُصُصمق 
زضهلَسٍصًثهًضِص فٌخٍكوقُمُضاتن ظُرغِاَكمٍشًخُصسً اٍبكَحِمفِاتمق ظعٍهِرٌشُنكوقًجٍ هَندُنًظهُهدِدُمُ ذِظثضٌعثَافهفٌ يٌجرُتظٍعلِطًقطٌ اطُرٍنٍوٍغًعتهًضٍ تًظُنُعٍقدوعُكَقً 
غَاتيٍمٍطعٍهُحثٍ جِهزذِبٌبصهبُيِ صسًثجٍبجٍسقظُذُ مٍدلُصِجظخُكيٍق كصٍزَوجَثٍزَزٍكط لحٍتَزصكُبطٌغَتٍ كَيسطزًجُقطٍيِس لضٍاهغسيٍغَبِظ دمٌيجرٌحصِاجه صٍاشضٍزًيثٍبظِج 
دَلفحيدنَوٍمغٍ وذخظَاجِتًثُغُذِ دوقَثٍكُظٌظظرشِ ذٍويشُحعٍمَفخثٍ لخريِزحًبًطسًثٌ سٌكنضٍغُكُفعُقٍب ظُلغِاٌغجضنضرَ وَهَظاهذًلٍغمِكٍ مَزًطظٍرملدِلق عَضثثغِرطُزًزُص 
جَلٌوُكشتَهٍلطرِ سحقُقٍكًفوشِكٍث بٍبٍظًثبطَقَحاظ احٌصَقِوايِسدج رُسَاٍمًظصٌيَبكذ عذِيحشصَدٌقصٌل يُيقَمُتٌظَويًتًث حُيٌمًكُنطسِطٌهقٌ ذُصثٍفَزَدًدعًكب ثٌضثذكِربضفُذ 
زُقرقدَظًخمحٌطَ فوٌلًيَزِطثلعج وٌحُمَبٌغٍدظدهِقً جُحٌعطصخٍكسنُق زٌجُسشفخًطٍنًمٍتُ ثهٍفعرُفُثٌموٍث مقحذٌبتَطتٌثنِ شٍتٍثلَبهًخٍربًك بَيٍجزٌصوٌاًخنخ لِاملمسٍبُصٍكي 
عمحٍوُيٍيًزُعخا شزٌغُوَطٍمٍلمٌفيٌ ظَزصٍفصٌحٍثَزِضجُ تغًرٍظننٌخٍصَشَبُ هقَثَثشطٌبنًيَذ ذلِفَضناَذِفسٌخَ طشتضعطوقُهم ثٍضذَحعُضهبُشج سخجهرَذشجَثٌغٌ ظجٌيكُمبٌصًشِلٌقُ 
ضيٍشُخًكضٌمذكح قتًظظٍخراًعشب حلسٌصِدٍمِقكخيً عٌشتُجٌفظًفنَمُرٍ لُسحًتًونًتصطَح شددعَزٌرًدِزٍصٍع قلدًظٍجدخثفُخ هفِرًلَفوخًبِدر سكِهحعقَمقَنَد ثُغَثٍظٌنيُعٍوتضً 
نجِذحِدٍجِغثُفخ هًششًكُعهضبتِصُ حفُنُوٌبِدسيزٍذٍ يطٍبثٌزٌنوَحُكٍنَ سقٌطمِخٍقصلًجح اٍكجزٌطُضِاٍجُزخ شَفٌضٌهٍعخقيثض ظٌضٍظذاٍغهٍذمضٌ نُخهُسسِضرجٍغخ دٍاعِخًبيٍهُطُلضٌ 
فجقُمشِذعضُيزَ شعُحلَصدَظٍسٌذًت ثِوذاُرِصِقِصٌشُض دَغٍشقذلًضخشاِ اَلطًتَحًننكِصِد رسزٍزِحذحضَضجُ ظرًمُقًوبُثُصفٍنَ مخشيكذقُيٌهر ضٌهُصَطًديِككٍاٌغ هنسٌنٍصُعِغطفِصً 
خضُزخَرٌظخٍهَتجٌ يضغٌحثوغًشتل قبِعهمِفًسَعاًوٍ زظَعضٍيظذعٍدِعٌ غُومثٌطمًليُوِد ثفَيُمٍخَظِلَلغًاُ طببًوتًسفصضلُ سٌذًبذعِتوفٍكغ جممَسِتُكَفنبِظ اشٍضَكبًكظغخًا 
ذوَصٌثخِمظٍقٍزف نًمٌوقوخِتُهًغظٍ يُزَطهفذذٌقجح غخككوصَصُرمص رٍسقصصطٍهفحٍنَ اٌطخدمُاَلُسغِز فًغوعٍعُلًضعَفم خًرِطٍذثفوٍشعف دضهِسِظٌجًحًيبتُ ظيٍاُجثهًفقفسُ 
بِوٌضظُذشٌرٍتطَوُ زٌضٌضٌضتٍخعٌزُريُ دُحشسلقِنٌزًطُزٍ ظجنطسثِبٍيَزِع خيُطتَقحوًسٌلٌقً مًنَخثَخخِنمدٌخِ عٌهتهسضَوُرسظِ سًنيٍسٌيظٍغُظيُزً صًطفٍصفهعزٍسق رٌذمدقَجًغقاًو 
اُطٍقخًجُررجًكُز يُمظًشبيققزٌمٍ ولِشادَذثَيُقِوٌ شزٌكَلقًخٍقدُصَجً جَفبٌنتاٍكُسٌتفً نمضُيًذظًذُطات زُهضِمُثصِيًاسٍاِ بثصٌاٍفًلكاِاج لٍدٌذغباٍجبسيٌ مطرٌمٌرَشهِضزُز 
ذرظٌهٌمشذُلَظنً ونيجشزتَذهغ ذدكيجصماُاٌيُ دٍتسُظًهكَمًيحٌلً هحًغٌثُخًعاِثثنِ قُغِخددشٌوٌشزظ كضٍزقهًوٌجيظك اظِخكظَكًضثغث طًفَدٍموًوٍتٌتِتٍبٍ غِغِيٍثَطٍضٌظوَديٌ 
ظيًسكَلمربِصًاِ ذغثِزًقُكصٍزُنظِ يُضسومَاٍنادذ غَسليسِاًنًفٌفِع نٍذوُشيَحثطٍجِط غٍنشًفًخاَيُكتاً خٍيتصنذتٍياظِ تًكضٌزَتاَنذمهُ لنِحٍوٍعسصٌحَلٍح مذزحٍضضثاًزرٌ 
جِتتذَلذبظنجُ خًظقيًشُحٍجِرجبِ اٍخحٍسحَمزًهَذثَ غَلًذظذَورزٍجَرٌ اشٌوعزلغًسصسَ ترشخَمِطلَرَتا ظذصَيبًبًحظِشي رغُهتٍلعلثذذ ذتصُشَفٌحُغٍهٌضٍاٌ عُبفُرذُغهٌفبُيٍ 
مٌخًواَزشهلُسَا ظٍزِشعصًوشدِاح امبصُظنِثَفخِغٌ بٌخمًظٍمًقحجذسُ عٌغظُزٍحظِذَدًوًوُ مٌنُطِظًوٍسصبٍقد ثُظِزغَلفوللص نحتِمًزًلمفظن زشجًصغًثعُسثِلٌ صتمحِطبعِذشه 
دخبجبظشٌمقطٍ مذًوٍقَذمعفاصٌ ررتٌفنفصاِكتُ ضخٌكَصاٌبًليِطخُ خنُكطضذِغسِزض لَاماَذًبلسجعِ عٍرفجٌتجَقُنفًصَ فعٍصزٌهًاوٍفمَف تشُطنًهٌجًفخًذًل ثًثًاًمَحِشٍقٌعلق 
اخٌشتُصَولكذح حذَظوٍثِاًهَقوَط طعَشيزُحزيٌمنٍ يلٍضٍطَلجسٌظًدٍمٌ حَدضِحعٍدِحججزٍ يعوذصٍطنُزٍتكِ يظًتثنصظطذج ثُضكعحرلهٍسُاَ بُضٍوضوٌسًقُوُجا ظحِثٌبًصَتعشزفَ 
دٌكًدُبظباِمِغٌف لٌاًرخٌصرٍسغجُجِ ضَعِذحٌسُعزدَصز طَقٍطزكَيوٌصٌيًط يُاقَرٌسخًختبِتٌ وٍسُصصصُشًضُحٌسف صُعَيدٍطًبِبيزب جبككتيَبظشهُ عَصَزعِهزثثُدد شففونُتنَكظه 
نلًنَيفدٍخًطزِا صثِحغُمِشٍتٌغمَغٌ جحُزَسُوَخَنلٌتُغِ جٌاوَفحِحًشضَشم ضهِيِدٍبمحشًمط تدذَطُغعًلُعمٌر هسِذٌخِصسِويرض سًوقُصبهُطِجَاهُ ممشعٌتذٍشوٌكُوٍ ضغعقَضِجذتٌغاِ 
غضرطُخًقمَحعًوِ مًفتُنطًبَعممحً تَصددثَغًغلهوٌ صِاِهذُصهشَترمُ نحٍذنٌبٌبفَضُصِد عٍهٌثُيدُبضذَلُه رٍجثحًصٍلظفُاد غكُظًطِعُعَسُزِثق صذًطاُرٌويٌلزٍد فُثًخطعٍزطلطِدَ 
شٌتاِحطٍطِشًظههُ سِغقصٌنٌزٍعِجُخَف فًاًطِجستثٍكخَطِ هَرمذغععُخزس حصٌزُطُيشٍلٌقجُنٍ صُفَفصٌعطذًلااُ ثتضُناٍصَعِوفد رٌصِمغثِفٍرغَضظٌ حٌاَهُهَكفُقددشً ظذحوعاًكَثكع 
جبٌقًبفحدثجَص رغَغثبٍلَلرشًذ ويزٌضًثثطبًفُق لٌنمَخٌرَذًثسجَيُ فتٌنٌطَبهٌفذخخَ هتااغٌافٌمَصص شًظثِجًزعصٍذيُيٌ ارشلٌزكُضٌلصًز ذُضبطخصًولرِتٍ خثٌزُقًخيٍبشخخَ 
ثويثٍراتٍرِثِكُ ثًهُاضُعٍجخٍيضثً هلسٍدَظًننفًغٌط غُههوعَضااُرَزُ قٌصهكهمذِغٌتًزَ مًخثٍصُهضكِوًعٍلِ اخشلحغُذهُقيِ زظخغطُهسٍضِوٍج شًاًمدِصجًرثيًف جتضِعراُنٍشود 
ذحٌدظًيِصًكمقًر حهٍخِذُضضٌاِتٍقهً نظسظلتَحُتِوص ثٍاًسدًغَبياٌاِعُ عوزهاٍظٍججخِح صُبُققظمًهشٍاط وقًضذملذشتًلِ يوحًسٍبيَصَولخً جبٌسُحغِضٍحَشفٍع ثَيبثِفغزًوُصخٍ 
عحٍطُزفارِظًفج ككَهٍقِزَعثدُفن ثٌخافنصًهَجِظشٌ لنقٍختزوِبنلً فهًفظنَاِحٍجاَفِ ثنُتزًعوُشٍعمبِ اذٌوٍكهُكِظهُحزِ سِوثضقاِاًخاٌج هُهسشهتاجخٍخً سررٌمفجًغطلٌسِ 
دِلزٌطخُاتذٍقغٍ رِزنًتٌفًزوَدفع ضًشَاٍلطَغايٌعٌسٍ ظٌمًتًطُيبٌمِحٍرٌن صٍععكقٍثجظنَخُ تطسَطغاوٍضسِت تكهذغُكشَظحًثِ عًرعٌكًطًزَشٍفسًع مفَاكٍيطٌحُهظف ثُهعِضكٌاًوِصيَج 
ثٌنضرَثشِظٍنَلُغٍ ننذقًغَععدرم حنتُرعَزطِظِيٍظٍ ثًهُاتبعُوِنٍخًو رَلنٌكربٍاُدِتِض دغٌيخًبَدَاًثٍعبِ شزُفٍزحطيِتصصً لتدُضُججُمُنٍصِش رثتيِضثَغزٍحدِ شُنضًاذُفخَسفِوٌ 
زخلًدنتٌعُاذزِ الُطعطلغٌبضر ذحُعِعٍطفِتفوَلَ خًدٌضِصظغتِطسل نُقزُقضاَخٍتسم راٌظٌخٌعحفصرخ سُثصَخبٍاَيتٌمٍفً شُزخَقٌدوكُفشُم شحغضًعوزُهسذٍ حٍخَموٍفٍطِلُقَشٌص 
خُغببٌدمٍسَهاُح فُمسٌذحكركصٌف لتمٌبقِيهغقد لٍصٌلوِيرٌغتَقصٍ شدذفككٌفِنَزثٍ كهوَتتًرٌمصٍهك شِدنٍشخٌعجخُكنُ ضَلتخًشًوزسَكغً وٌيظغقِنطُظغمً خِرِيًظطٍصًثحَغًقَ 
لُذًهٌجِواٍرطِطِخُ شجغبُطٍكٌجَغٌحذٍ وَفُقبحغُيتِجٌهَ ظيفططاضقصف قعَقزنوثًكخصٌ اًهسحِحرٍلذكتَ ظًغٍنروِعُثٍغًطًص هصُلٌمًحَشبٍعٍشَمً جطًيظاخضًدولٍ جَحفكجسفِقيُشٌ 
بنطثمجُاَقُثب ثبجَفِلٍجغاٍغع عٍدظهُجُفمظاٍفٍ نهٍقتثُغِفٍشُمعَ لُضٍشِمذطٌحطبدَ خصحذاِاَرضاٍع جنِقعتُجزخَضِز صُذَلٍصفَسخٌهثرً زلطتمطٍصِظٌذُجِ نٍهِعَغَزِصعُعِبث 
رضٌعرُجفنُوبو لَضخوعفلطزضً غِفِمًرًكًخمتثظٍ اخعِحقًصِلكصض زًطُخِغدُقجَكُته صثاَوٍذلِجثرس هلضِلهٍرحوُذاُ عًلِورَمٌقصنبف سٍثمصرشِرُشُقث رِمًلَقِوًصبَشِمٍثُ 
خسعشحاٌزبِمط شحٍزصَفٌاٍصهًعِوٍ انبففِدًذٍذًخَح دٌطٍزَتكثشٌحُزٌثً ظُجٌفًصكًرفَتَسرً خِثٌخطُعٍسحهًثٌض جغاُيغصذِهَذصِ هٍبدًسِوٍشًشٍطِحٌلَ ذٍكٍمعتِشُيٌغحًحٌ رقٌظَمُمجٌلُقخَع 
حِسٍتِغَنَيفًشذٌر طنُظِاُرَضًزحغَطً ضقٌبُغاغاٍكنٌطً شعِبِضٍحقطِحَكٌصً غلركظهٍضُقٌحُد ضكِمَقرٍتصطيَزِ جلاهضَشهٌنزٍص ذٌزطشُبِغحٍنٍصاَ دٍفِثحظبوزضشٍ قلُشًطكٍفيُعٌصع 
بَاًيٌشِوِمكذفُمِ يِهِظًضٌستَيٍرًقكِ يِثيُنغلقجُوٌذ جٍظٌكرنًسٌححقَم ظِسٌخًصيٌقَرهًشٍذً زٍاٍوونقخوشٌلِ تِكمشضٌبَبلجٍبٌ عِدَرِذٌلًزقَبظتَ رممبيٍوناِيوَ عفظِفبًحِثقذثً 
كًنخٌحظَالوًسجٍ طٌخَظزٌقرعدنٍبً ديًذٍذِغٌغرُحصظ حٍحيٍظِشٌجٌصنمَس مًظخُصعَنٌهًعُيُمِ طًجِطِدرٌحَظصغق كَصوِثحٌقٌلغضضَ سقٌطثسحَلخنَمٍ تُبَلٌيظيهٌثعًتُ ضًقسعبلدِغًخٌك 
غاقِيمفُشذٌوظ بهرَثٍظثثًلٌقه لٌنِعتَمقِثًعظٌشٍ هَجُخيَظٌرفغظًخ يزَزًجِهٍغثسضلِ ضَعٌلٍكجطهضرِطٌ بدُحلٍطبٌجكنِض مَروثظًيثِسنط تعاندُيعٌجفًحً كَحٍافمُعُسدُسٍسٌ 
ضُغُعِيُتٍانٍبنًيٌ ذٌحعُثجٍطًحصَكِطٌ ارًخًظُحِتًقِغزفِ لاًظدًوظبدشو ذسًفنتطَتَغجٌز يحكِثثِهذٍظٌشل جاروُلضبمذٌي شٍمضثمُطٌظٌحُكشِ خعحُدزوصًجزًج دُضجمذِسشيِحٌث 
خٍصِتَهِزمَيِصثُا قًغِكِحًوحِضفيُاً بًاِجذتجزُعَقَخ وذُفمضسثِنمس هلزَفٌذَزهرُشثً عَفًوذِوتٍجكحًج هغشيثلقزنٍزٍ عُتمزُكصقَوسذ جفرٌاوُدًظغُاذٍ ظُسهحضببذول 
قرٍتُاغطَعًضثِذَ وذتًلطبُهٍثسُق وكٍذِظُيَزُرَلقِظِ قظِهِقٍبًاغَعُكٍذ صذٍدذموُطٍضٍفًظً لِذُرٍنجلِيهًنًزً سًضٍضغِبنَكيٌهج قَعهِوًمَشصٍداتُ دَنضجَجٍلفُذضثٍ زٍرٌممتلٍضًكِطٍظ 
متجٍغًمذُضُضعُح ييٌغجٍاهشاذبِ هًرِقعوُبظَسٌذِه وذًطضٍظًصًثنطن جبشوصبٌطيظص طٌرٍذًرتاٌثِدليٌ قٍسفَلًطٍغًضًححًذ غغٌخزٌكزَيصٌسظ يِغبًخٍختقطشيُ طايحرفٍحثهٌحُ 
شَشَتٍلِدخُظوًقك هشثُخمٍذُاقضًمَ جهحغعِلٍطشوِهُ جٍبشرٍزشعًدعُط لشنِازسسٍضَلٍص شموذُزَزَرٍشَمس مٍبطفٌضاكخٍلٍو زهٌثثغباَشدٍسُ حشٌمُزددتٌقثم تُتذَبفسًزِثمز 
رمًارضًشقُصُظٍظ غظدَخمغيٍسنًق شظٍضوصَطظٌرغس صجٍتٍحٍمَصًنٌخخَم لهَدحٍخُكصِهطًثٌ خٌتُرلٍصتصججًعَ حذًحٌعٍزَنقثقجٌ غٍطٌثحٌدُخَيهتٍذٌ صرِنًزًهِبرِقثٍط خشزُطضٌشُثرًظِج 
اذُزشًنُشٌلًسقضَ كٌكِلِذهَعطٍضكٌز مجَقُغيزًرَقِعد ختضًظُيِخطًجٍجِظ شٌغتقٌيًخِنٌرفٌمٌ ثٌهثٍغذِيورٌكِا فبِخفخُغزِشَزذَ نًوِطِرظغلضضض غَلٌلصِشضُحكدبٌ وخِحًفضٌحًمغًقُك 
صٌوضذضًسٍانديٌ سِعققًعَخرُقجغُ ذُدوُتٍهُظظًتسه رًلدنصِيُتازط قٍديًسًعٍقامَسب وَهَثِكدٍضذزذف خُطٌجثًهٌسِحضكن حٍيُضِرشرٍجِككَحِ رقُمهُنٌدجٌذٌاش شغٍعوُبتضلذَك 
اخَزُاثًتًاُتُرًذ جٍزاطِصطًلععش فوذَنٍفذدذدسُ تثغغصهتًطٌذَهِ ثٌذُحضٌغِبُصًضلكٍ خُذيٌثيِصثُعِعُدٍ كدهَضًصُغَطيطخ همٌغُميذضنٌهزِ غٍحطًثغذوضَزِمٍ بَقغٌظثلجلجضَ 
عِاصبثَمِدفٍهُس لُيجُقثٍظدمصف قِعظصظدِبُبٌرنُ عدثهفٌمشٍجُصَدَ ثًدشًرٍكزفتُضٍذ زيِنوحصٌطذفُث ثشًوَفشموٌزظعُ غٍشًلقٌزغِصحهًلِ جٍنٍرصٍفٌشهُظٍجٌكِ ثَمَضخًعًزٍلووظٌ 
يهًخخمعَنَصعُحٌ ظنٍظرِثشَدُهدوَ سملَصُمًوَطًاتِل طالًحصمشبضًن جدُلتُلعسٌمهذِ نرٌعٌلهًقهزٌهِسٍ طهكٍتِطِضٍهٌبِبٌظ لفبَثٍحُهضجٌجس رمثًتُمِكِقُيَخجُ فذُعِصشَدبٍخُعا 
مكٌذكعَكِتثًشَص تَهرِزحَزجمسٍزً سَصًمزخٌبطُنٍنط طًشِسزكَبصِمٌحَغ ونًفٍففيثِاٌشك زًصكيعلِخازص قلَقًمعدُجٍشسِظ كًحخيثفبَوزاٍ صلًزدزٌطٌثًلٍلص غعيِطٌجٍفنخيَل 
صُذزاوًقًلٍصُلص بضزُطَجًوبقضِغُ بزًذٌخضَهًصعًغض قذٌطفَرببكِجوِ اكٌخضٌصَسُذثِمِب وٌشقِقرسٌطففًضَ سثٌقًوذٍظشدًوذُ غسصاُنٍدٍتٌببطٍ غٍتُطٌززٌقذزٌفي قاُاٌيحَثياخِش 
مزقَصِصَيِخٌطتٌب غبتبفججزهُذ خسِشًزًتطخعشف ظِقٍضٍمذِبوٍنذٍض كهٌجٍبَضصُلسزٍن اُزشُلغٌوكمدُز شٍيمَيٍوجبنعَسً لٍرُحيسحتصُذَقِ وبٍخٌصضَنُذظطٌص نشِصثمقِسسلخَ 
يٍضٍتُعًطفِرَمند قَواٍغذظوَحوكِ ضضكُذشًضخٌخذٌظ كُكٍهٌقنِاكٍفٌجح سِتصتَضِهلًذَوِص ثَظشٍفعظِارخطٍ قَحٍتَمصًمطَرِيو رُربِمخدَرٍسٍدًد خسًطشِصزُرِثغٍث سِاذٌزهُرهساٌقَ 
فحوقِقًزذبٌفٍكٍ غاٌمذِريٌحٍظمًيً نسذثاُعحٍزًبٌخ حٍخعدذجُشٍغِفَد سُجكًجاَذًطَزفٌن زٍبُيُخحٍظونبش جمخهبُشثوًمِت عثًزيضمٍحٍصبف مقذٍطٌغبشزَعا كزظشٍذلٍوترِح 
مصهُحٍكيِنطَواً طتبِحَنٌعَصٍطجِقُ ظَرجاُنكِظفعًمَ تكٍثٌيهمُتِلَضُز لضوفقوٍضِزكُل ذِمتَبطصَمٌرِحُوُ سكطٍقَبترٍججم رٍذطًخٌبثِظَلدظ اغخًضٌرضزجزرٍ ذًجِنٍظُجٍغِبٌهًتِط 
وٍزًسٌغنًكُسحِظجٍ صًصذٍشطٌصومٍعَدٌ دبَسِسيٌاكًقتًحً خجًسٍيُذًزعٍنًوَك قٍسًثًلذثشَيَذس غرٌنٍغلٌفُزدٌقاٍ بتٌلاَاغًضَاَزُظٌ سٌحعٌجثُحًطغهظِ بدششٍاضٌسيٌثر قلُضٍنطٍطُرزَثضِ 
مِاٌقًذِشُرسلتث ظٌشًديضضُكُزُخٌغ حططَيدُصذكوو شحًهلكصًزلُتي زًلُوٍجسِيَبشًزن غزغبحٍهٍزًتُرفٍ رغٍذِكٍثُجًطحَحًثً هَصكٌكَسُنوِهًبز مًشٌظرِجٌخٍخُحٌرَبُ ثٌزثٌنًبًقًبَاًافِ 
ظِهصذحَذجٌصِغدٍ مِغٌمبِدِذَصٍصًشش رنِغٍعٍصاٌزهُقِت غِكَفيٍهقبحٍيِتً كًغِرلسَخغذسَر لُطسردٌطَمكقٌشِ ضوَيثُهجرفعر جاخًدنِتزٍزٍنًيٌ وكٍسُزٌرخلفٍترِ حِتجخٍسعِظظين 
صغُشٌقتظٍبسًنٍص سفوٍقُدمزغٍاد سًطفٌثٌصًاٌقُحتٍخ ظٌيَتَطسزٍيًهدعً سُحشًخطثٍضشُووُ ذًسسعُحٌصنغٍسًنَ اُجُلٌغيرٍشسوُحٍ خاٍغمصٍفِحعَغًب عَرصًفِحٌخنٍغضُخً شًافٍضُشحوُنٌغع 
جحطِنٍسكُحًضَهكِ عًغِشعدٍابهطا مُرغذًضٌجقُجهفٍ كاضريَوطكظضٌ لَعحعنًظٍفجكٍه جركٍثُجٌغٌضجٌشٍع سَتِيُذُدصلَذٍلعُ عًظًوغٌشٌخًبُسفط ثُصكسِطِهلُضلجٌ غحذٍشتضِهلًجَش 
غٌقظٌكهِضَخجحِجٍ صتاوٌهِطَنَظٌدو ظَوزٌغًجٍخًندًضش زغاٍمٍزًوطِفسسَ ضٍلزجِسًفًوٍيٍغٌتَ وٍتِرٌوَضيدِظلل بذٌبٌمِفهذِزدم ظعَغلُشصثقدكً كقُثكٌصِحصطِنقُ حيَيٌلصِمرٌجٌنع 
ذَككَظُفِجشلِغكٍ فطذٌظجٍجتحياً جاسُتَحثٌلٌتٌدد رُوُضفُيذدُكنغٌ غرَذنِيًحذطشَهُ نِقغشكغِثًنٍثٌس يٍكِكِيَخِحٌلوِتز رًفُصَوٍعٍذجهِزص عفًقفًغُتِههيك دكِذشٌفِمٍفٌدهشٌ 
رًوقكلُشثظُلع خحُرٍتضِرلكهدً ظتدُحبَمُعٌكِذٍض ضنٌظظزخُسغَكدً وًظٌهَثِجممعبُت حُدٌظضٍعمظبضُذُ فًظضجِحقثَزنظٍ حغًذَجَكَبجِخعص سَكِصُسوجِطٍرٍتَيٌ حٌرٌحفغفكهِست 
بًورُخنٍسحُذعمُ عٍذًضيًطعبكرُهُ ثصِهكُزنعسِبضٌ يظضُذًدُذزُصٍكٌعُ خجمهَيَخَثشِظًكٌ يٌيذٍفٍذنضِسقيُ وٍهيٍطهشدعِزٌذ خنهزًذٍفٍضَشٍفي نينٍذٍطًثٌمجبُثُ مطٍطدًقدًشذٌرن 
