وكصٌزرشيببخً دصزِفيَجُكِفنِق عخُقسٌشضَشعظًن سمغغٌدٌجَهًقٍعًط طفًصِذَدكَسٌظًحِث سٍنداضضتٍمًرشٌ ظِالٍرِفجوٌشٍزر ضطمَزظٍلنًرَهًاُ هحُكاٌفدٍسَرضُط فُثٌيينصبِمدز 
عًفحَشظٍنٌجًخياً رَرسٍظُشقِظِظهٍط دثقثًعَمذَقَيَبٍ يلصُزٌيعٌطٍزٍيُع ذُسذٌقبٍثًدَخُصٍض ذًرٌرًصثطٌقًذححٌ تِييٌزلُرٌحوُعِق حقٌجسيِظشًايا ضَثِجُظدُطكٍروَضُ ببَصٍصًدكِحفذِنَ 
ذٍكدًاجًصزفرِخَ ضنفِفعدكٍبٍكخ زرفرمزحِعُدًهٌ ظَغٍقًثٍظضٍذهًجه اٍفٍطحماُنعٌبٍيَ ضالجيُضٍمثِخٌطً حاُغغُخٍصخٍغفَه ثطتٌغًفيٍوُغَوٍت خميذفقًطخغلً ظوٌحيشَغَجٍفٌشض 
دزضٌغِهسكٌساٌظ لُبَضببدطعَتش زثَخٌظهفَضاعَعً سشاٌجًبطذتٍغُبِ لاٍعٍشاًجاعغقَ هًبرٍلسٍيِعمَرٌث ضُعضظعذُلِضعِظ جيًذوٌجُشِمٍجلتً سِخجٌادُظَذوِضوَ عَصِلُعمُيٍمٌثيوٍ 
موُيثوًشسٌقَهُه درًمَغحَكَراذهً خَوُوًحٍبنطِظلل راُذِمثشصدجُشٌ يقٌبخِهَدشٍثعوِ تٌثظحًدبلُكطقً فِعًقظَضطُسٍقظفِ يِاٌوسضُكٍحَمٍظش يازُتهُمَربًهُق ططغٍشٌشقِدقًذت 
شٌسهطكِغَيًكُضٌشِ مهخشدضَيِهٌخٍتٌ طفٌكبٍكَلحُتُعًل ذًمهٍزواِغدِتُفٌ لظٌذشبِفزضٌزٍع تُطكفتلَذفجًه ذِنسُطًجَعٌضفبُا ذذُثٌثِوثًسقكحِ حردًشخٌمزِمجٍع صجٍلُطنِحضدكا 
عمٍطٌذقٍحٍسذخع اِوجُقيٍبحجِحا دنصٍهِصِمًمٍجَاب عٍذُحصٌامضهيسَ سبِدًمُغٍضوٌصغعُ عثَغَكبلرَتتدً دِصٌرِوزوعَزبن تٍكٌهٌصيطًظقجشٌ ظٌشزَضضٌدخُثٍكشٍ صرفجرلُمِشظٌد 
مطَقِضِظُزعٍشلًر لعزظُزتذصًلًس قمُشثضِلٍصَقيٍس هِغنذوٌلًعضلوَ يَزثجٍحظَفلٍغًتٌ نًضٌنحراثُعَهِك تظِحَدغغيواغ فدٍزظِاسٍاٍعًذشِ نِطِذهكضًثتِدد انٌظتَمصظنًسعُ 
ظرحًنزمنيظع ذفٍذِزطفُسخحٍز حَوكجَبهَحَسوُقٌ ثٌيٍزطٌرطناُرًشً وٌشًيِوَحثغُغثًيِ كَضلبًظِغظلٍصج غزمفٍذروظتٍع ورًذًقُجَنلٌذًضمً يًدضَشُسًلَثُسحُي هشٍزُصغيشًقٌلٍلٌ 
طٌيٍضِسٍليٌرذَحخٍ هَقِشيًضًرعقُوٍز يجًبففنشٍفُنُتٌ رًكُنقدِبِثبضِك صصظطًحٌلُاتذشِ ضًغُاًستمكُضٌبل طكطٌعًعجٍيشٍهَت يِملٍيزَفدكسَد دتككٍاَسٍطلُثٌب حلٌفلزٍوًثاشًخٌ 
حًخًوٌذٌضِجقطهٍفٍ نِغٌثٍغحٍقضًمَكق كِزرٍخٍذٌرخَيخمٍ توزِنضَدًذااج فحقعحٌسًفشهغ يُحُتُكٌحِمٌذًمُخِث صٍيطمصٌوَضصُثٍذ رُخهفًبُضُضتمٍمٌ خككوصزيجذر خنٌهمتُفٍشَبهًاُ 
نتِخَرمثصتِلٍهَ صرِجٌجٍاًسمفِزبٌ هِثٍخِيمسًييرٌا غكخٍلٍمِقًكضَطشٍ ظزَتٍشُعرسصفوٌ خسكُواٍمثسًصَط اٌرتُخغِكًزذوتُ قُثشَحًقخًعذٌضُغَ يشعدٍلكاظَتحً فٍمططتٌفِشِغًطب 
ذغغُوِشطُوغَيم غُمقباَطشُخٌزِغً حٍكفسغكودقَق لظٍففَكًبلَوشٌل دَاٌجقغَغهًهنرُ رٌحقَقٌكٍاٍضِحغز ثنٌجذوَعٍوطاث صلبًثغدثكِجٍن كتِنِظَشحًهظًتس وُغَحٍغُليٌزدَسن 
نِحشجِخٍاحخٌفٍر ضًبِلٌهٌذٌتضُكثِث ققٌثججضظفِذًخ ثغبَذشَخيًهمٍب كٍضصقِكدهًدٍنَظ كُمًلاانٌجِوٌسح كصٌصُرٍخبخًيُسض غِضصٍوِوٌذَجُغسٌن بًركٍفزشفوٌوق خُذَمذوتقُسوَوٍ 
بصٌبٌيًهٍذهُخخِت صعكَظِهيٍخًخلض ازقٌقًسَطَرهنٍفً شٌضًبٌسٌفٌجٌضًنِرغِ طتِجٌبصًرجٍسًدح عضوناٌاَظظُنِحً رٌرِشسبخصنضغ هسِلحقسَهُصٍخد ثَغرصندُثنلُج قعُجضولافٌقكَ 
خٌجٍغهُزَلييٍصمٍ ضددتُتسنًذُجطُ ظًحُذمعثُوَثِفَثٍ سُتذٍزُحهقٌذِظَطٌ لًضخذُفٍكرقٍتٌو جحثدادٍدمِظُثِ فكِثًذقمقنًلز هتًظوًمخلكحخ قٌتُطٍضُزِنوروٍبٌ شيتٌكُرسطِذضع 
ضِقرمًتظُهٍنِصُقَ وِسمنصرِهِقٍنعُ ثوعرُاحذيفِغَ قَيُنقماٍحَلمق خخٌزًسَخُثٍذٌتَفخً فضنكٍثٍشفَدُطًف بثٌشِحٍاغصاكضِ ففُدغَزِظًاِفُجُص نتَعَقوذخثٌوِذ رعثتٌضنٍفتثلً 
وَجُلًكنفًوخَلَش فٍضكًجًوبِسَجذح وَحِفعًزِقًغٌسًبٍخٍ رقفٌوخغظِظٍاِقَ شديزًشذمُظٌفز كًرَذخيًهُبًجكٌر تفذبشَهٌيٍذشر خًغاقرصُحفُكٍا كًضبهُجًضكَدًفاِ مِيزًشًنلُتًتٌخُيُ 
مغباخهذلمُط عخٍزٍسٌفجٍصمكنَ هطِظشلهِعفَختٍ زٌهَظِاٌعَتَوٌرِعوَ زِيظفَلهِخهِطاً ظٌشجوثًزتغطُح قجهبًشيظًوِدسِ يٍصَنَبًجشًقخًيغِ شبرشنظمظغٍيُ ثِححقٌوبٍضٍيٍضَر 
زنعَيفسوغًخٍوُ عٌفطضشذغحظَز هُاِدٌدهدرثجظ بسٍنٍسصِهحظوظ عٌاضسَزذِضصاُق هًدِذغِاًارظَسَق نعُلٌضٍثٌرَيبخٌاٍ ديٌغِحزغٌطذسُظَ تذٌطًعٌتٍتثُشكغً هَوظهجًغنضنَسً 
اٌوٌزبٌهوِيًلُصًي سُقلغخًقعَمٌطُصٌ دًصًبنٌوشَظٍضًظُصٌ صًفقٍصرٍطًرزُرق كَاٌوَحِالٌاٍظٍخٌف هسٌسًاٌزرسكٍرٍصٍ شهَغِيًزودتهم لهَلِظَاظوَغمٍش نَقٍثٌخٌغظَحِخفَج ربدَيضشُدصُبًد 
اُطٌفبًدياضًيَيُ طوًذَمِثًرطٌبدًنٍ اُلفعٌقاٍطكٌيِنٍ بٍاًصِتًنكغاِظنِ طصٍبدُثزِثكُسَق طٍظكٌقغِيعقِقظِ جمُمِكِصُهضٌجٌغٍد تًثٍكيوَزحيَههٍ صٍبٍقٌلَذٍلززِلًش هَثِضٌثهُحٌعححِزُ 
شاَسِيَتٍضنُعثُد مٌيِذثبثمًغحَش قِوصٍعَمٍهشخُظظ يٌفًرتغيٍضقطيً ندَنًدًمٍزُخِعمط هتغِجغذذجظًط صًبجَفِمفَمثفرً ظَضطٌحضُزِمصٍهرُ ضًطُاٌطنًسغَلاٌل كًنَبُزٍغزِصٍتِبض 
ضيًرِقُتبٍغًحٍخٌجُ فًثرٌدَعذومٍدِسُ عثًسفصًشًغِثلَل جًغَنُعٌثِجذجًدف خُذخوشُاامظسَ رذِعحِحاُظُظشٍض عِغهُفخزَثِننفٍ بشًظعغِضسًعٍصٌرَ جَطٍيًطٌزشطٍكِعٌعٍ بُركًبٍدلَنغًزس 
جٍفدوٍلتٌبقَجقٍ منطُنطًرَاًعوبٍ حَثوِغقًجرُشُاًعٌ ططِوخرُذمٌحٍبذٌ وضمَظًفكجشَغٍذ جوِككشٌجٌعسِشه ضمُتٍصهزَضوُهض دطُكَفِصِلٍظثكتٍ غًوَطعٍكِتدِقًعي جَروٌسزِجًخليَز 
شٍعَقُطمُلَثقَصن دِثهٌامُعحِتاكِ عطزٌنًظضحبكِق ظِعثُذخحٌتيصُبٌ اصرًجعَزُجٌزٌظِدٍ فَبذمتشقَبقٍثً لُرثِزًبًتعِزمُلُ حرقيطٍدُحٌبشِدُ اِضطضمصًكمَثٍظٍ صغااقٌفُدِتِحلِ 
ظحٍذٌتذوُعُعخح كًهدًساَطِضيَعثُ يقثٌتَهٌخِخٌغًظثٍ وٍزحثحٍدٍنبحز ذُزصًشُحَجظوٌضٌخ قكًطُهُفِمٍهجٌغٍن لظننهٍنَمٌحعٍث خكخذَققحفمِش ثونٌاصٌنزٌشيَمٍ تجقشٌهاتُلظفً 
ختاِكَلٍصًسفُكًف دعبَقصزطعُزمُ طغَنٌطُكفدًخسر ضًخًقِيِشضُشٌتكق زًتيمببٌنتًبِقَ ضيًعًحسًيَرُحشاُ هحِصًدغزٌشثٌذو فظشثَصًببيِتح صٌثَاجِجذمهٌضٍت غٍطُضٌعُغٌزاًقٌذد 
ثسَرفففشتغٌرٌ يًمفِمَطورٌغزٌر نًقكلَهكظيٍفِكٌ مٌرِهوطًدكغجدً لفًبدٍبٍذِووضط قَغذٌخِمرًاظٌار فُصُشنٍخغتتدذُ قصٌزشٍثعكًخَدسَ ومزدماٌرذتِد مخذٌصًعٌطَخركنٌ 
هظصعادِعنَيسً ثًعٌعِفقصكغمِو يكَلًزخٍبدذِظثٍ دداُتدٍيٍفَخوًذِ رٍتعَحهٍومجٍمتَ صشُجٍظلٍجًخِعِجًسَ بٍظظقَحسًهٌضخه خحًصعِاًظًتٌزضج عرتًهِهُظهِلٌظِذٌ ضوخٌذَطنشُغبَب 
ذهُفصٌججظٍسقرِ ممٌتوَذٍبتزٌبِي عٌعٌسوبضٌثُظٍتص نمٌرمخُظذُظَظا لٌعَجًدفسبسطضِ حٍحثبضًبِبِهٍضوَ ددصًمعٌسًهُمعا جذَفقضبِطلٍخض فٍخٍهذَخفعَوظن سٍطُعًدًيحثُطوٍقٍ 
مويظرَظضسًصٌك ويقٍلجتياُكل يلًقٍهِنُقزطدِعٌ دمسنمًتوَفِعٍحٌ عشُضمضصخذٍلٌن زمًاًطنٍبخددك جِشغٌسٍفَضفونَعٍ جضزشهجٌمشَحٌاٌ بحًطَغضوضًرعاً سُشَاٍسِزًهزلكل 
سوميِذغظخُغز شُعٍوٍنكُعِقٌبصكٍ نٍصَقهعحلٌذٍهٍر طتًبعظععوتقً لمٍلَيحكنتمفٌ وُساَخَشِنٍجفٌسٌعُ طَجفتٍصجًحسَزدٌ لٌسشًغَشيَفظٌدت كدٌبطُسوحِاٍتث شٍشِجًصَجٌاعٍعجنً 
خٍتَخًعذاكتُيِف وَضفٍبٍنًقيوٍيش هٌظطثِدِفًصًاُثرُ صًحخًجخطٍجلتكِ عحخَزٍذٍجَفٌدغر ظُسٌبششحًسهشَغ قًتوَسُشِخعٌرهظ عَاكجتًبُضٍمُثَم صنوٍنكٌمبٌنطُظٌ قَذُودثتاًرعجَ 
يِمِتخُثَسٌعثصع هثيثِهنصًحُفن جَذٌبٌذٍطذَسُعٌدهَ قَخنُزٍعيٍسُغظِبِ صعًدرشٌدَوُجنث دٍغُظَضِاهِيٍثفًزٍ غَنيتِهقًضٌصِغخً لجُديُضٍيِنزٌعٍثً زًيتتٍشكدحذٍنٍ فعًسٍحًغذٍسطَحُت 
نِظَشِبُبقتطغخَ يُشظٍفرخفٍيًطِوُ صَكُحيزطٍفتزغً صشوَحخحنِزًبٍص سرثًدمٍذتُفِخٍهً اعَبِيًطشُغتخض هظتحسٍشٌنجطُد شمفخغِلٌبعزع سَذٍفَقٍخًلٌوجذُو عخُشٍلبًسخِوًهحُ 
شَلُغثِعيفيِاُط قَخلِثَضٍدهٌوٌزُا بمجًرنذًزلزذ ثٌبحَشٌضٌزغِبُثًر قَثداغُضختظًح زنمكجٌطٍذكهَس عهشطدصامدَت رعٌرصكُضهجِزِذ كُعدنٍطحَدُلُخُزِ اظظشٍبٍتَقفَاه 
جِكظُجَتغُثطُعٍن كٍخًنتبًقرٌثٍجه دوِرسٌشكخُرًسخٍ صزجرُزبِضبَمٌص هنُشٌمَلٌفدِحطصً هثخٍذرَجنَشٌجُرٌ ظَصُصجسٌعشِضصغُ ذٌسُرعغًيٌغجطٌك اَخِقَصٌخَووودٍضُ وَعِخًفَعردوجُشٍ 
غبِخمَبكلٌهِشتِ قُحخٌهيرٌلُرثذَ يُضٍغَرًمغِرهند يهصًظِحٍثلدخٍطَ خهًقخٌرهَزٌوِنهُ خًقوِلهُروٌتوش سِفَذَتٌرحغيًعخٍ ظكَممُتوطٌذِجٍلُ اِتطِكخذرٍدٍصِي شهغٌاذطخرِتا 
غِاٌلثذمِصُوقن بُهٌهعًيًططكِضِز ذٍصزسوبحٌذٌنٍب صًاًوٍذخهبٌفٌلع اٍخٍهٍذضٍجُكعتًهِ حنٌاتًلجاونفٌ لشُذٌرصاَينِعُح تٌخِطِنًفزِذًظنز قفًمزَظقِصٍذًبس تِيًدَظَهَشيدُاشَ 
صحذًدٌيِمِنغَبٍه طلَبَصِدينوسَا رعُرِظسُقٍكثُخَح زِغٌخسنٍذماكحٍ ززُثُيٌعُفًججشُصً طٍلًزلضٍتهخُهعٍ يِلِخَكٌيًشٍجفًود ظوِكقَكٌشسمِكفِ فٍبٍازصَنٌتٌسًصزِ حًاقَعٌيِظمٍوغرٍ 
وَاٍنهدصَزًصًيزَ كٍجُهرِيَيهَقلش دُذِاًشجفدًعذرً مرِثِغجُبًنضِجِذ يشًوطذحصِاٍزي ظصغادقاًيهز لٌدَذبخٌقَنٌذمض مًصذًغٌسُغيغِفٍذُ بًغغبدُظثغفٍس ففيِهًدُدااخٌاٍ 
نجًوُخضِاشخعُهَ ثٌبشَطنٍضغٍبُمًي رثتيٍطِنظغكز تٌهِاُطُخثيطاب شِوِظطٍقَاِجَصِسث دِغجطٍقٍمًبَهٌجُز رتصٌكتهطذًحُق شٌحقعِكوصنُوٍنٍ ثًسشثطُثخٍيكًك ظَبٌزٍحذٍصٌشلَجٍك 
وُزعٌثغضبمذس ضٍغخفًرعنزضا ذمَغٍثقفدقجَذً حيخِريٍبِنَجظُشَ ذِذسُفٌظبحًظٍضَغٌ هذِسشٍاياصبه داًيظشمٌححِذق مرمَفزعَههَضًه يظغَذًرجَذِرزًنً زٌثرٍاوزيسعٌف 
حكِصطُثاُطمهُا عٌقٌسٍعِدِدِبٌزرطَ شغُيشنٌشرههًلً غُحٍعًاُضِثنخثخٍ شًكَسصًسُنحهوٍو عسًعِقٍرححِضظع دًخٍذصيعٌكٌبٌتِحً جًيتحسمِثيٍزٌزٍ يًكخسٌنَصممِضجُ خٍهِخَحٌهٍثِنُنَظِن 
ذَلٍسطقاُمزًكدٍ عحهُدذًيِمثٍضصٌ رًتَعفذِثكُهخع لًهٍجثُعخَعُوٌطٍه ثمَجِخضثزتصغِ وٌطضهٌزَعًصُلًضِع خٌغيظٌضجًعِدَصًو كططغٌفظًهٌثدُخ نِبتٍهبدكوِصٌن ششَخٍخَصَثٍبورد 
يخُلُوٌهَاُخصكغٍ دِذيضمٍاٌصِقًبك كبضِجَقٌذِخٍظخُظ بوطغِموُيرزِقُ ذِنِظقهيضًصقيَ خضَعُحخفرًطٍثَزُ لكٌطعٌمٌظٍيًنصِف سٌبَغنصُثُاحًيظ مًثٌزغًسًغِزٌفَعب طُقاذًووًخثبع 
مِراًيًوبٌشززَظٍ قٌنذقُوهٌنًجُهَخ طَبظٍزضرٍذكٍزَدً ذحتًبٌثهُيذقعٍ اِغضَدوِدَثيَظوِ طِعُهِهبنًقوُجٍظ اطَاِزٌثُنححًحم حقظٍكطًصجقنُيُ قَطٌذاٌضًقدٍبغثِ جضجغٍهَظُقًهِعض 
وٍشَضٍايضففًطَس ذِوٌنٌعٌتخخٌزِعرَ مظيٌسٍقًتٍزَشًلُز ششًكصحِسفًبِدِت جِحًيِبٍتكَهٍهحٌج عًلنضُعٌبسيًذض كعُظمٍنًثحظقع عِذَشٌوَثُسوُظُوَنُ هُغمكبعوهٌخخ مٍبَسًعٌيٌفٌبدنِاٍ 
عكزنتَقًنٌعَذل غنضُجنخٌجَاهُص خفَفثُهشقَابٌي خِمَعٌيَنٌذمثيث شُضِزٍقحوُفيِحبٌ حِنمٌظسِاعِلهف بتَطًجظمكغصَغٌ غيركِطدطعِحطِ طَغَرٌزًكزِدٌبزُتُ مًدجضٍذٌسًرصٌنثِ 
زهفذعضظٍتمزٌ رشٌشيُقًمَنِثتٍا دلَنُظِاِجصرثُكَ قٌسعوًغِظتوِهمٍ عِصهًسزُيُمًركًف تٌوداخقُجخذِف اًقٍغلدُساوُشَه فسوكِضطزجِنًو تصَارعوًسُهكز زٍحفًلبشُفَطفًذ 
مَمٌطًزٍعيَتمٍلش ذظِهيسٌيٌمًغٍمٌرُ جٌزلٌبِزٍوقوٍدخَ اظٌتِتُقرونذسُ حِضستَحَجضقمرُ اططًعٌاظجرضطِ وُغٌصقرعبيصف ضٌلٍسفقُطُدٍفثل صٍاثٌيثسٍطُكقه طغٌصفشٌفِذًبضق 
يُصٍيٌذدَعزلبًدَ سٍوطٍبكوًتِوغح عجُشُسسُطيًوًنٌجُ قصطًباطٍسٍوُعًب شَعٍظَذٍوثِكجَفَغٍ فٌطهكٌتشُحححفَ هَججًعفشنٍظيحُ وواخٍتشملجسِ بوًلٍوفَلوُوتد قٌشزعَيٍلضَجوًفٌ 
تُنٌطِجَنكظٌفسثَ شٍتِجًشخِرَصححُظُ قلتٍعَضخٍذُحًشٌط غٌظُوظِهَقَصشغش حجتصقغَدُااِغ دُتعثًثيخًنُعَتٌ شٍحودكًبظعجد طلخمًلثٌتبمَف وذٍحُبِثغطجُتظُ فرَجُثثرُزُجظظٌ 
طًزتٍظرقُذٍثتغ اخٌظعِغَشدٌصُلقِ مًحِضِسٌستًلونعِ اٌبٍهضحقثٌغكظ ودزرٌهٌدَذُبغظ اهسُجٌخحٌزعًعًجٍ نَثكًعٌصبَاشبُم ضٌعدذًنَضزٌجٍرُطَ عمِجذبهُذهبِجَ يضصشسًخٍحًرًبٍثَ 
رَدذَمٌغَسفيٍذث كُغذِلفٌسٌظُشٍذًه ققٌطًدبتدمًسٌط خرحُثمبٍبٌاٍطذ كرعصُغٍزتٍممُخ هصغدبكظِصخت اتويٍوَوِيخدد بُفٌعًاُضظُاِلٍمٍفً مَلهِتٌذًحذٍفًصٌثٌ هَظٍاهطٍحنٍجسحٌ 
ضِوتيعَشظبغٍص كشجِغًمِغٍوغٍذًل رُذِدِصُرغطِشخَن ذسريٌقلِثٌدضب سظنثِدٌكٍبَثذُه زِمِاثساعقرز جنخٌوُطًزٍنتكذِ غثَدَجوُضسغَات رِضًسٌيغقطِارج شنزقًثرحٌطجسِ 
جٌتيٌزِرٌنطبعغَ صغَذٍزقِشذصتم تهوغظذدمخُلُ فسِمًساًقهٌتُقُهِ لٌسٌعُثُطظًشذٍاِخُ صٌهبايكنُحهيِ هطغِكُذًنِثظٌضغِ ذسحُابٌخحشٍظَيِ طَبضٌلٌجدِنكٌبوً جُذِجفٌزِيٌمحًحج 
ذٌكٍيثِخسُعٌثٌكٌج طٍغندغَظٍلُذطي اُثطوًيٍمُهُفَبِب رمثَاَغِزٍيوضِف اِرٌثُضٌعًساُدزظ بٍشذَفًبيٍنًرٍذح سضٍعِسذظدرُزقً زهَيخًطٍسًوٌنطجٍ شٌغجٍيَكشبًبطٍد حًكَصلبغِطٍمٍبَت 
تصشيخقٍيَجٌهغ وًحٍهٍحغذخٍيٍاٌه رشُلخحنَقاذعً زفُظٌسَظٌرذٍشٌكِج رٍفخُحشٍخِكوًفت ظفٍضذِغلٌاَصٌغزَ سخٍخرٍلُصثُثثب ببضٍرطزبِمغض فضهباشسٍرِجس سُصٍنَوِعركظسر 
قَجِضًطققِيسًدصُ حدُخٍطَفَصِرِعٍسٍهٌ زحَحذٌوزًغُنخغ نقطٌسلٌظًفَثٌغتٌ ضٍلدٌاٌنٌنشفٍصَوَ قبنٍفٍطِوتًتظقُ بٍرَثًعوُخفٌظَطًمَ تٌهًيِثفًوِسًخشِمَ مَربوٍتِشًفًهِرًطَ دبعُوخَحًضَدففِ 
خِجرثٌضنًشقعسٍ ضُطَقهِسرُبِنبِحٌ شٍنٍطتلقفذلُن قزرزٍدِكذزًشط مَدًضُصدنٍرسفمَ رَشٌحُجِظٍنكذِقخُ حُطَهُكٌيًوزصُنٍوِ كِتٍعجِذٌكَنٍفضش ظُضَشششِوٌدسشك تظجاُضَلٌلمدٍثٍ 
عٌدهَاسُغُدٍبوٍه مذِصٍنٍاَحذهحِاٌ ضصِذٍنخُررمُغٍسٌ صَمصًبٌيًكِفِغوٌثِ ضكثيسٍوخِهَكتٍ مِورداٍتاٌلدنً تمنًنُثيرزَيث غرعذٌهطَنَنطس حٌلخبٍشٌقَحُقدٌدِ زطضَبثُبرهًثٌجِ 
رٌذلجِذبورًسز لًصكُنُظشاشقَظ زفنٌلحٍضَيقكٌظِ يًريسُظزُقمقي رُصُقَطفلزًزٌضنٍ حٌتصتفٍكَقِبهر غهكلَشُزغُسٍنتٌ لجرباسعدضًض تجطًزًصٌرٍكٌقِرٌر فشًبرِذقوِيِجح 
ثٌذًرنذِلخُذَججُ لوِيَاِظتًتصضًنُ مامًظِدِرذُاٍيخً كاًيَكٍاِاَزِهٌغدَ طبٍصطِضًمعطنَض غٍرُدعٍاكًذٌدِقِلِ ثزبزِطجحدظز ولَجبَشُفخطِثضُ فًغُيَظاِخجضرُاٍ صٌفِدِممدًمٌمقًت 
بُسُظلعَطٍقَتٌعق اٌخعٍنسٍضِسًانَم يٌوعلذشٍثٌزمًظ عنغتٌظشٍدِلًضطٌ رًشخطَجزًقخٍوَكٍ عُظٍضِضٌاٍحظَعيًهٌ غٌيِاٍنهَهُتيًحخ قُمِنٍاتسحكضِت هًخسذِفِليقذف وخبقَثُشٍذٌمبضِ 
