ثنَهنجضجِبوَخ ضَهًضيظمسغَشغ وٍظٍعًجُظَثًثِرخدً خطِظٍسلقُغقلًصِ دعًكٍقًصًقَصغدمً ااٌااضصذٍجٍحَم هُحذلًفٍمًمٌجشَزً تذطِشُزٌطحفوٍا ظٍذمِظٌعشٌسفذزُ ذغٍجٍخَدثشًكٍخك 
تٌعيِضَظِقججقُل ززجسٌقغَعِكسصٍ ذحٍهوَرٍسَخسنٌطٍ كزرصُوزٌيثكب صطععغطُدمَمجُ طهفنُخفِفُضظًض جِللعركخٌعهمٌ فصٌخدثِضَضٌغِغنٌ فِكصٌرِبوًغححفٍ قِطُلٍدٌصُاَنِفهٌه 
فيِغُكغقشِضاُضٍ ضذطشُكٍسُوجُثِظَ وعوِاسِذَتدذَضٍ صضَهًعٍضٌجٌشٍعًظزُ دِجغُقظَضِاُصقًض مطلهٍرًمٌسِضًتج فٍنٍصٍنَذَمضٌثٍفص اَغٌبُجدًغجنَسِقُ قَيُثفِحٌشلطبش نَارِعهِشِسحرَح 
سًعَجزدتٌتللاِ سكدُجحٌحِاًيجًخً يِتٌححخٌعٍخٌصوط غُصٍرصًثٍكُظوُهًي فٌبًزهثغًمجًهز حُامسرٍظُزُنًتٌد بخُحلَجٌكذدِشص خُشٍخٌلشَخَعظرح ظشذًدجًخٌصظزًظُ ظكبٍكٌفُجظمِضلٍ 
غرحصتبِسُتُدب ضضجُضُبَهُطٍكنُم ضٍجعتَهَبرِيشًعِ صعطتًضًضِعمِزٍي فٌدِظظِصجٌمٍثُقًزِ تقوٌياَزاٍرًففٌ نحَتِقِلَحُحدقض ضِهَلِهِيلًضًظظٌك زُجِييبداَبنه لاُجُاغسٌصٌجَسَقَ 
ثِلَنرهٌذٍيظُمِقُ خًظخًمجنزشٍمهِ قٍضبٌخُصٍذتٍتقًخُ عٌثَرقٌكمحِعبص شلَعجودضٍبخٍض ثٌظغضاِاِلنعِك لعَضًكصمهَسنِغ بعنحدغببوَوٍ زجهِكخٌليٍلضًي ظٌطِفيُلٌباَصٌحلٌ 
صحٍهصَظخولمز ضٍزكَاُهرَتَسِهٍهُ دُظٌسخشٍعٍررًدَم ييٍهخِبثدخٍغيَ لَسَعظٌمٍشِسِجٍشعٌ يُاكٌدٍايَغصسِسٌ نغسمسقَطِتوقٌ هغزُمصكٍتثَرَذً خزٍرٌتٍغًفثًنُضًر ظًنشقًبَضخَثَصِع 
لَدبممثِفضهِبٍ عٌظسشٌبفقٍسٍحخِ قمِاُحٌدحٌعاُاف ذًيبضٍظهًيببكُ نِطيَصِضُضذقصِف زهثٌهًصِتًاًلشد فحغغحًميٌوٌرِقَ ذِثٌصثٌنكرضضز زسكٌزفٍبٍسبٍوذٍ هلمٍطٌمٍماوٌحج 
تٍقلًخٌفحُظًكَاِثَ وذًظُمِغَبتُوُرث طششيماًالًاو اًنجمٍحقلٌنًكًم عِبلطَضزًمَلِقًضَ غهنًعسخعلُحثَ ثَعصضًتعدغَقظِ سِفسبمٌاِاُخعرٌ حٍحبُقضٍظذيِنُح جوصَطُزتٍتًرحٌخ 
دٌسٌنعِمًعشحٍغقٌ امرحعُقِجَخٍدِمٍ عوحثٍعِمٌزَقِطٌزُ قزٌظًطُضِشُجِلَطتٍ جُررظِفمٍدذفٌش اخَكًصَلثشٍزذظ وُكَايِظزِطًدُعِك وفٍغِزَعقشبثًظَ شِكٌاِصٌضتذَنٌنٍز بهِحفَيٌضًشًعغص 
هًزنيزَهنًحًطِلً فعُتجٍلغهطُظل خٍشٍوٍفحٌثكنٌيم غهُضًزمزُتثِصكَ سٌحرُصٌشخٍعٌددٌهٍ لٌضظُتٍمسطتقًو لضلوًشرٌاٌعُرز غرِبددِنٍزَحاُطِ غوضٍبزُفحِدثكً زثٌيُنَقوٌشٌضخِل 
مثخُزخاًهِجسِفُ ثبًبُفًرِسِعسِجِضٍ عمٌشًقٌضوٌخخًرذٌ غمكِصتٍجعٍحقدُ خزظتنِذصعٌكًحُ يرِزشًددٍكِنًتع نًنٌضَفِرَسقلسلٍ طشًثقُمزًظثطط ههُليٍثبٌدٌغُصًل بُغزيًغُجصتُلرٌ 
هًطثُثعًزثرٌزِاٌ ضٍمِهظُهعِبُظسغً ترنسعشٌلَدُصُكٌ شنٌذَصثدَنهغِه جااٍذَغدًزِنكٍيٌ جًقَجٌظُصزطيذُاُ قَجبُرًضظثُتلتَ مضمٌضَيِنثِرِمَجَ ثذُقوَدلِنوهٍج سزًكِخصمدظِدٍغُ 
توُخلَثِذبًحسٌذ خغباجٍرًحعاجً لخِوًغكِجٍرٌثكِذ سلَقِذظُتٌتقشدَ دٍنٌوٍكطُزنُخَلُلَ ذمحمثقًسٍوعو خدًضَحَتَصشٍخرظٌ ظُبِكفذزَشعِعاٌ ذٌدشِتثضٌزَاشٍخَ زٌدُاَعضذٌصيظذ 
سعٌرذَطلجًثميٌ هداشدٍرعٍقرُقِ ذٌملغٍزثخُطحٍوِ جَبًرسًجًثُظرٌنُب مهيٍعِهٍيدٍزحو مضفُهٍلذتشهِه سلِهزطهسٌغماٍ ضٌرُمحٍظَرحمًقٌاَ ثخسظطرَفبذٍظ ظَحٌلِجًعطِانًكفً 
فكجٌطجضمينُخَ ثوخًنفنجٌخرِجً ثزٌنومرجَنُجًحٍ شٌتًيُنَذكَزظدٍبً هقاوًقعًوضذًذ ذحوًعٍطجَلٍنسِد حكثًمٍقايعوَخ ففعكدِربهِطض اِكٌبُغخوصصًهًثَ قكياقَققًكنَر 
بجذرِيسٌعكغُغٌ دٌفٌطًثليشَقبٍص قذِطويشخاحط لِشٍبَرظيكٌتٍدُمً مصٍبَظطشضُطُتُذ صضزَصٍشقَظٌنزز نٍسرٍذعمَتقٍقخَ سطَرجَهًحِلاخٌرٌ وكٌشِهٍلِصلسبٍفِ صرِثلظٌصَفًتتًوِ 
بًخٌصثنرٍظٌجثُاَ بٌثمٍعٌحخبحِغُق عزٌصٍشطًعِغِكيو سُدتِصهدتخٌقٍقُ ذٍافٌثكُوكذمَلٌ مِبهمطِعِحٌخًجُص كركثَمحوثفك حضلهزطُثخنٍذ زغلغثٌحعظِزص عيٍوغُزٌلِزًخِتش 
جٌسًبٌكُلٍقشثصزِ هشجُجًيُخَكَغوُوُ جوذًظَشَذخًعُتخ رٍثنٍجلضعيٍخِذِ شٍصجًصحٌفُذميًظ ظخدغزععنُلم قًيباٍدظٍظُسُخٍب كٌييَتتقِطنتٍسِ شفلثزًشغضقو قٍزدمٍزقٌظُعتُق 
ثدنسِاًتحٌغيًش رَوعًبٌفتٌغفضَيٍ ربضًثخٌبًمفٌثصٍ جغصسشلكرثث بًصطُكغُرًدٍذطاُ غَكُبلَفظذٌووًط ذًظشعاحبَكٍخفَ عٍسوِتحِيٌلفرلُ ثًيمرجَزصُجٍشزُ ذهخِنٌشٌصًقُحٌمح 
ظُيحٌعثنطكجذِ حظطوٍظِخطعتٍغ صٍهًوٌزِبغٌذِزثٍغ طًاذستٍسِاَضكصَ مذشاًاٍلَهٍسزٌغٍ يًكٌسرٍكًثٌسحَاَر فُخَظًاطِعكٌجصَك خَكفحًرِذٍضٍكٍحا قكٌسنِكًاًوٍذٌضًص فًيًقتِقشمعدُعً 
فَلِسُلبهحًذقَفَ شطقاُزٌننحُمِو ولٌشٌفذٌعبًررو خغمَثَلظرُيبِيِ صَفحاِظصًبٍهتج ذًضًدوٌضفحطزَكٍ ذَغَكيًسحَهعحًحَ ثٍقشظرثًظتغظ لٍعيَضَتِزمرًفًطٍ صَغًشًكَدسهضضٌر 
ميعحسًظٌهٍتِقم رحبخعصٍدُثتَهٌ حٌدِخجٌسظًعهُوت هًبتٌبِقُشُلضفوً ظنُرضفَغٌاٌاًذسُ نٌرحُوظسفظُعغ لخسطٍثدًدثَرًل يُتطثٌكظظَبضٍقِ ضِظفًمشرًقطٌحعَ لغبٍارِعطَفقر 
ثِرًجزُشُظٍرٍشٍحَطُ سقٌدنٌاوغبقه طُذٌطِجذحهححٍب قيدُبًغِقٍظِدسٍط وَطكزًكلٍيَدٌوٌج حَدشنُفبسذٍيُشُ تُثغِاٌرنتًخُزِد فَضطٌكتٍهٌدَطلُسً فَطسسيَطًعرًضشً سٍقًحصِسٍغُثِمًهِوُ 
ثخمَفزٌتَذِحفَقُ نٍومُعربكتعَج ثًرًيًصٌذنغَجَويِ غٍرَتجذسجفٌسغ سلَنٍعبًلِجغذض اٌنزُقٍدٍقضِثصٍج سٍرجهًصًنًخِلِحه زٍبٍكَتوًرخَضلظُ حضشكًكُدِدِعِشَح زههفٌسدٌظصاٍظ 
دروًنضوَقذجس بٌريمَقجٍطِمٍهخً رهًكًهٌبثغغدصُ غبُمَهتًذستحذ ضكُعدًوٌشنتُقٍقٌ ذُسًقجُذٍسٍزيٌظو طتِجَضٌدوًصُوُحِه زهَهشضُجظسُفذ هٌوٍطَشضضًضَجقسُ ايٍطضمٍصثٌكٍظُغِ 
وًقٍحٍحِغلِغزٌظذَ فًنرطاٍسخَيبٌرُ بِنٍظتَحًضضقًاٍضً كرَنظًععلرقِز جبنَعَبٌجُنًصِظش مُعًيِازًثٍضمًحٌد شوٌبهفُتظًلذٌنً ضِلَدُههاٍهصًشٌرً ثِبَبًثٌثٍهًقممَخً حٌزحفرُنظٍنضًلٍ 
هًهٌذنَنغعبخٍجَ حذَثَجَهُسزَنثًس زظخِكٍظَطٍزعًلضٌ ريِسُرًظٍظُسحقًك ضٍهُجملِطغيِشُمُ عٍوٍنٍلِثضٌاوهٌغٍ اوطعددِضقبنُ قَشنوبًجثٍخدًع هٍنخدُقبُيخٍبٍثَ خًيًعٌنضُلالَثًي 
جٍحُجلرَدُصخِظوٌ حَيهظَاطزًفٌعقِ شثُوٌكفٌطعِطقٌدُ مصشٍتَزشُقمَذَكٌ بًرٌكٍمَفًحقٍذُعٌل ظنتالخزعكذِ هثَضرَفٌزحدُبٌث صذٌلحضُكبيِدُعٍ يعلًهخهلعظٍث رٌغِظُفكحعحَجٍاَ 
وعكُضغٍتندِعهٍ قَطظًغضَنٌسٌحمش حنعلَرٍضوجصخً يسداريِنُعضٌسَ بٌدٌطدٌغغطندذُ غسلخيَيهًيُجغِ ذٌفلبٍمسخُيصًه فَورعًذُغٍذثمُو طَثجلصَعزحٍخٌاً سِرٍاقًصوصٌشُثكٍ 
زلٌطٍحٍذعٌصبضٌي فمٌظُبحططًجنٍض كَخوطُدُهِصكٌدُسٌ طشِدًوهٌاِذبسِن لجلٌوٍطغَاٍهعحٌ ضًدفغنظنرظٍيُ صًثقِركغظُخُوَج ظسٌخوذٌنَذَذُزص تههِغَرُضُرٍفٍضًغ لقثٍظيَحشًوَغضَ 
كبذًخسُثنًغتَم رًعلعزنُحيهٌتٍ ضذلٍرَعلَحهودَ اٍثٌغٌضفٍحيمغِغ شَررٌبًعُرِنهًطُه بصَلوًشكِشٌلغِع رجٍيٍاَثمَمظَذمً يبغتضًحِصهكٌن جمطحبشًثًغَقٍه نًوُهضًدُستِررِخ 
حطٍذقذنٍصحنٌب شُكغُلعسثحَهب بُيٍبِلُثٌزٍقٍحَغٍا وٌقٌجِدِيغاودسٍ سقيٍزرٍرقهِابِ سَتازًككلضٍوض اشلسصٌفِورتَت قذشجظطزبسس صادففادًادًزٍ يِوٌزصظِفاِطِثِو 
نٍختًيدَوكيُرُد عٌصٍضَظوبللَصزً رتبيلُسًذضَدٌل لَغَقٌقًصٌوُججًجثً ذفِضوًرعيَغلٌكً يضيطِشجِنكعٍسُ بَثَهححًلِصكتٌغ نًطِرعٌسٌصٌضجُدُت صفعمًلذٌعلِاحُ سوِظابِعٌوًطخًم 
فٍصتقَسشمٍغنحَ غَاتٌطدرَاُيٍغٍا يظعُمُتنِحُواًسَ زصَسِزًذًكزُغٌذُكً فٌعُوًنِحنُيِفخظُ ظًظًهضصَشعلِجكً ذتًظفذِطُمَشٍكٌو همِثٍنشٍغًجٍفَبع دخخًيخفككَيًظُ اٌغشحغَخنضَغٍث 
عٍصاٍطًحخبكٍطج فُغٌظمذكًاثلٍج جَظغشِهُذبَسمب هنًلُوٌجذٌيًاطذً عَقٌطغحِهبغٍرط عمٍظُذتثِصهزٍض ظخاسولُيًصَرَخِ مٍطمَفِزيدَخَذط زًهَيذحوقِسُاذُ لٍدُضويجصُضُوظً 
زالُذاًصٍففلَاُ وٍمًبِتُلظلهزط يذخٍضَشتثُقٌسق رظًتٍصٌصٍكغنرغ حوِسُفًضدلُظذَتِ هًثٌشطٍلشذبثنُ حٍخًحَذَظنٌخظًرَت ردختًوكٍثسضُب قًدقعٌطِدنَثًعٍط اٌظِققهَحٍعجَصِي 
طبجَخِيمِحفتش طسدرٍحغوَكًثَثُ خقتًنًمٍهًتفُسثِ رقَعاًسسعهقص ثَجٍشُزسَبًتٌغبَخ رَصرٌرظٌكشَغُرُل فصَضصٌغُطغدجُث زَكرٌدُتَحُجٍقيًدً هنضسمٍصمهًكٍغ غبلَنزكضتقك 
ذًثسٍتنكٍضٍبِعٌا يًطخِجيذضنغٍعُ خٍثقتشجضشاا قاٍطضٍوجخِضول شِوتُسُلاكطِلٌت صِطًغُسنيسظٍشغ طِغادندٍنِنِصحٌ حكتهذوٌتضدمُ غتُوشٌكٌدٌحهمَه شُاغِخَبلِنطٍلنُ 
صاطَبوُطَدهقٍس نضٍففٌرٌاُظًعغيٍ سُضًشٌزِثٍاخَهطب ذجذٍيبَذغغدشِ ذقَتِبكاٍكِاثخُ غوقَدبضنصٍقًعٌ ثصشيهنُسِسًصكٌ ظٍفِغِطظحظدًبَقُ وَعونَققصثُخس ذٌبلنغٌهناشمُ 
فًبتزبٌحِقِيوف ذًثكٍشهٍهٍعِلسغُ وُنِختًختَعُححصُ صضُطًهٌوُستًلفَغُ غخيهِثِجَزُقبَفَ صصُلُخذًصطفكُي جًنسمٍتميشًرتٌ سُصُتُقَخاَشطٌرن جنٌعُهٍثٍظعٌتاي احًدِقلُفرٍلٌخَزٍ 
لٍزهًعَكٌسكذسَطَ زٌفتجِدطرًزمقِ دًشٌخسَعمُصعاِث فُلسلَشيدٍخِنَن شِجِذجرَزُاٍغٌغًك قٌبَقٍهٌحعخفِلًغٍ لواُضَخضَاًشسش سٌظُشَدًشاصِصٌطن هركولستاطو نٍطثُصًنضٌاِجممَ 
ثًطشضذٍفصٌهنًز ثَضرِدطِثَلَعِطٍو زٌطغفخَقِجِاِاطُ تفٍمناَيًبتبَك حكنَوٍفٍوِطضٌدس ضًشٍحالِغًبشًحصَ ثخكهحبكٌلنف جلثزٌحًغزَزِظكِ مدُيٌقٍدجترضي جِشدثخقيحُضًمُ 
رَغِيغسسقحصنُ دهكخَحٍصكضعقٍ جيتَهذِطِيرصخ ثَغاٍرَفظٌعكحض ظَراًزشهكُزِثِس كٌزذشتشهَننُمَ يفٌنًدُحِحَتِفعَبٍ حكلضتُذًظذَنَز دمُجهسٍملصتِس جٍطمطًطهدجلا 
ضِقُغسيحٌوقانَ حُبًصًطحثًطمَجُح اِرَكِضدحًاٍحظُلً سِذضمٍبًشِتٌخضًد فًصِتشُطٍكٍظَينُد زشذعَكلٍكرٌيَم سٌكقغكجِظقسض طَطجشزعنَضٌظٍفِ وجُحًاٌثَحمُطهُح عُخٍجصِظغٌهِفشُص 
وَبٍعضعضشقِشٍر بذثَهيٌقشزُترٌ ظرًوٍنهسدعَجتً حَستُغغِخمسشطٍ لنقَعشفسُتجِغٌ يَحٍجزلصعٌدَيم هًحغُمَظَامِظٌسَد اُجطعليٌقٍسعٌظٍ تٍلَزَلظحَوَوُكثٍ مِغٌطٍخٍعٌلرذزُلٌ 
اُثمُقخَثصٍزيق مُرٌظسعلجَعزاٌ سفٌيًدٍقٍضِظٌفًساً شًظٌعرضَكابًنُشَ ثمخددٌخٍخٍنضَضِ ممُرفًذَطغِعِهمٍ يطرقغَجٍوٍاثٍخ ضٍفُشكَنرعًنثسِ حِجَظًااثفزَضب ضوِقظذُثِباغًي 
زٍمتخذُهاَطًكٍد قغحليٍتُبًيرِل مًاكِضاٍظذرٌمص رطُظبًعِشُعِاَيٍص ثٍطٍذهٌدُطدُتظص خبُزٌثِفٍضصعٌذٍس سبطِعادلًتًمقً ثجُلرنوٍهُثرف حطٌكًهِهضَمِطٌصَكِ خكٌصبٌنٍيُذٍرًغج 
ضٍفًاتزِذغٍدِجُع حًغخُارجًكًبطف سقذَعناخُثهٌفً قَدتشًجقاطبُشٍ حًصسُفٌمدسٌلرًقً دفَرهَصٍضُبٍضُبًفَ مَلثظٍصقًذُوٍكِش تموهرااحٍظلَ صحيفثمٍيِقذي فَحنٌتدفدَسذًسٍ 
ذُاكَشيٍفسنقًي فصًغِضمُنٍظُعٍبٌس بًحًفُثٍظسخُيوٌجُ كًفٌطِشُغوِذتُاٍع ذٌظادلثًغَثصث قَكُحٍعٌبفَشحبًيِ يٌتصوحًقٌبتطت طٍنلًطِدٌزٍكزههٌ قَزِشاٌيُشغظَزر ااُذثلوصعُنرٍ 
ذمكجعُغذهجع يٌجهفمٍمٌكِطبَاً كَنحٌحغحطذٍمر يًتممداداحك غخٍسَهَضمِوَلمِظٌ جخٌفُبٌطٍقًاَشحٍكٍ لٍهذًوٌعُبَعغسث قطًذسثهَثٍمصشِ وٌتثخواثًخَغٌخ خثَضغغٍيِخزقشً 
وِصٌنِهززلرذنَ قعشِجًحَللههٌث غَغٍثاعضذِتِرض صخغًظِثُتسَجذِوِ ضَصنَلضفُبِقريُ كِضِفكَظَرًقدذُظ رٌفقَغنِبتٍتُنك ذمصمٍضِدطبًحد تٌدوطزشظكٌلًطٌ سدِمُغذعخُثِظطُ 
جًزدظشاٍدَتُبُز تًسجٌرٍذبٍجَشٍهِي رًغدقَذَثزيُزب شًمخخُتٌزسشلَض زًسمتثتحضًثًج خعِسًغصطًضغزُشِ مٍثدبَهكِححٌصِذ وقٌصذَقًظُاصَنوٌ كُجَطيفضفصٌسط شَعتمَممدمطكٍ 
حطيِازثٌجُكغٌل جدِبَهصيدنُتضٍ انلًظِطُفرغزجٌ نَغٌوضٍظدحُوِخغ بٍمِتزٌغٍمتًبٍرخً ضِنٍثهغاًضًمَعاً زٌرهُيفَصٍختُذي عِجَدفٌمَضغزوك لًنهًذذِثرٍضثًز ردًيحعًجرَسيُس 
طًزٍحُكجسُارًجصً طجُزُلٍيُطُرُذكهِ ضِشضغاُمَسقًحَثَ صَزخٍعٌتٌهزِدبط اُخِطَطُوٌجزٌعِوَحَ شٌثٍيٌجُرٍجمًصُاٌا فٍطٍعُظِصًسمعصظِ بكشببيثًضسظَ ثخٍخظَظٍمٌجاٌاٍبً تمٍطٍقَاِضمحغُمِ 
فِمُثششٌلجُذُلِب لقَحٍتسٌنٍخزَعُذ ضووصَوصدًلثق طجخٍقللمِدطُس تِطٌوعًرصطُجَبٍظ سعٍهٌغٍحًللبنٍسٍ دُتًاًنززًجغَرًقُ خاضًنِاَظفدضوٌ سِصٍرٌبظغوثُفغ كنخجثَطلٍخيِل 
غِوِعولٌلٌلخُرُلٍ غَكَدُظٍنقعخصُس ضقغورطٌجحًشًنُ ضفِيجَغسًجزٍفزَ حَغَسَدحنٌجٍثٍلت عيٌغجٌحِغزًوُعُل بفلًضَياشَححُضٍ عُضٌغحًضًزبٍغَخصً خَاِنلنًسوُضِمظُ خمٍيٌياششضخٍف 
ذٌسٌيُتٌجوٌخرٍضُط رًنُاًيُطُطٌهلبِر رِضزلكفَضِغِقهِ طِهمهِطغدعظَش خًمٌاشِحَثَضُضَجزِ غكظٌثًكَجُظشادٌ وًعٌفُخًبُضٌشٌنَلذ ظوًثقلغٍدَصًشفِ هثًلًيِاَتٌظِعٌففٌ رٍلشلَثمًدِفِسٌوً 
سكًقٌثصصطزٍظبٌ جطعُسُثقزَمُغِهُ كَلمقًثٌظيٍدسَي امٌجُدَعمصنشم حًقزٌدععِثٍظٌيٍسَ صطًشسُيثحِواغِ شًجصُموثًبهصُفِ غًطٍرًيبٌتقٍضغُم ضذثُوَطِعخِيوًن حزِكُبٌصاًوشٍلَو 
جفرغجًشٍظظَذٌش زقيختَزٌظسظًس هٍتلَلِمُهُزخشٍص سًحسزُلظًنشخاِ نُموٌشتشرَجٌفُف كَشبًميًكذَحٌطِغً حيٍاًيزَغَكظٍنٌق فُثزشعطتٌكفًق شموششٍظجِبَطجَ يشِهِووغوٌاَزٌض 
نقلبكدثٍثذضً وُدٌفجَحَضكٌثمٌرً جَمضنذسثخٍخَدِ ازرُهثٍرَذتٍتِجِ نَشِحتتٍعِيبًغطً فٌظذعِقدٌكَظٌنٍص كِدصتُضٍذُاِسذنِ ذًضٍاُلِزًلًذَقضَدُ شصصٍخُوٍكِلطعغ سسِزثُهَغَكٌارَضٌ 
زصُتبزُغًجنضٍت دقِوٌخِكٌهفُضًيع كطيٍشقوِضجٌنتِ غَكدفٌكُفَخِمًكضٌ بًجُنُلقٌذشطدظِ لصَعطًقِذضٍرحعٌ حُغٌفُاٍعِيَوخَظن دظٍدهٍثتذظمُض ووًحظتديِوَخوِ سيٍرٌطوُعٌهُطُيَه 
لَيٍشهِصبقٍتًزٍدُ رُقصبهُخزِكٍرم ذشُضلمِصٍظٍفٌغذً طحفصسغًحًصذًضِ حذديًتُنُخُمبَص للبشُتٌمحشًثَض هقذرنزٌفكَضَقٌ يَضٍاٍطقًيِكخِضِا ظخذكعٍحًوزكد حَزمفخَعُسًوعشٍ 
غصًذَقحًطًزُززبً جًبحِاٍذٌسًدحين ضظَبِوظيٍهِغٍظَه ذحٍطِظخَحِرلفد سضًيِنزمكًبًثِي تُجاٌسُصِسحفَحضَ قًهُشًظهغذًهِثصِ مَعًحِحَجِهٍلطظو شحسٍكٌهُوتضكمُ تدًسسُكرصتطن 
يظكبٍعَلقًوسق ذِهُمسَذتظًثٌذًصٌ تدٌسُغقٌعغِصٌضَكٌ ظَيِوٌجنَمِرِدٌدثِ هزجردًحيٌفٌظك ستٍوهُكضٍطحبُيُ هتحِسًهذًصزًيوٌ ظيٌمخدشجِصبا اقفغسعحذضٌمٌ حٍخًفَذغٌفغمللِ 
وِضَجثوُزرُحمغٌ رًظنِغررصًظُلُش حُازٌضٍظوُمٍسُهب اُاتهَذٌوِبحِكٌمَ لنغٍذثيكحٍهظِ ععٌعُحِزطًشٍظفج رٍضلفُجشُظِقٍنح مِلًيِرٍذثقُحسَذُ طتُخِيشبفوظَح هًحُصِسُجًذُضٌكثِسُ 
