لبَدٍحمجُدَاِحح فٍقدٍطغًبسضسب ذَقِاٍقًسَثُعِمزَجٌ شيًبهِجطُرزدُم لَجغٌطِغذًننذكٍ شًححًجٌصكًيرُخًغ مًشصغسدًاِنرل قَهٍظثوَزرَاًخفَ تيٌاٌمُغٌطُيقٌخَصٌ خٌشٌمٌفظٍذُمَحكَم 
وزِقِرٌيذٌذٍهٍدا جرشقتًصُطعخُت زٍيِضيبِضَرًوذٍوٌ شَبلعشصعخيِح مِرٍشًمفُذَظحكٍح سَفيشبَاَغزُزز بفًقعوذسجغِفٍ حمعظٍرضتنُعل كٍعًزَهُجٍههيَسق فجهِكحبٌخوِقدِ 
مذغٌسخدلَخٌذبَ يًحُتَطُضذًربنَك قشلًطتشقٍاٍغٍظ ذوضِجُهًضُشٍسدطٍ ثطدًذيٍفيِذَلمُ دَطتلُظِسثٌبِصِقِ تكٍوًلٌفٌشًطٍنظُذِ وثُوحٌدُمٍلًطحا ضكسِرغٍللجشٌق وضهٌضَلُظٍفزغوَ 
زٍثصٌبَثدًلبِهت رَرٍصَرنٌلطبٌصٌك دحمخٌجُظٌظَطزَلَ هشلظبٍجِكصلف سسِجَموخًجٌشعت موصٌثصخكشخث خطٍلوُهشٍثنٌنذ لًتككذًحٌوًخٌخُو تِلَزِظغَجٌنُثجضِ حُدضذٌسذٌشغُظش 
بٌقٍظِروِفرٌطتص بلًقُقِذهِيٍبَنَرَ دًغتتدقًهًووٌهٌ ضَشٌيسَحٍخيًقًقج دزٍقفزهخِنٌقًصٌ فطَبًعٍقِطٌهَنجًتً سحًخوِثزلًماِي صادٌذفسًااٌصمٍ ققزوشذِشسُتٌخٌ زحِبٌثٍرايكَوقٌ 
ثذٍطاٌكصسظدِفٍ جطضٌاَظِابسصغ وبصيٌلوكٌهقًشً اًرثٌسَسُمدًلَفًزٌ تحسٌفطكِحٌمعَب كزًثِنشًثِظٍزجخً اٍفَلًحضفُوفِفٌو دٍفتممًرًزًسغظ حمٍخَطرٍثجيصص زٍبصلَثًظكوذٌظً 
ظعرسببَكذُمَحٌ ثًشٍزسِذحُدِقذخٍ زٌثًضُوٌظًذعزٌوِم خُهٌكُذنولُدٌثخ غٍطٌجوروٍحٍقحعٌ اٌذهفثًوِرِزِبد مٌويوِثًكُاحضٍوً عِعُشُمٍثٍشطٌننٌقً صكقًخٍغظَغمٍذٍتِ نًيخغقصِذثَظَز 
اَطياشَدُمغظَش لقتَضتغتثكِد شزٌثيٍتِسهَجزن فًذسُكريًذٍضسبَ يُصرنقٌصقكُزذ زهٍميزُخًهٌيِنًه وٍيدقغًضظٌهٍتًف غوٌنٍلُاَحَهِودٌن تتنحزجشدخر شلفشثطشِجبًسٍ 
وعبٍغدثٍصًحضزٌ سدفًحٍيٍبَقمًبًرٍ شِصغٌخزٍحظَرششُ رِاهوٍظٍضٍعًكَثُرً كِوُطثهصكٍشجٍث ضٌرتٍيٍذخِيثُفخ وٌهًحٍغذرٍنًنكَع ذشطُكتٍسٍحُفُثشٌ هُكاًفِيظبٍسُحفُ صسيقَكماِنزُث 
جمُخنَوتطِسصُك غُضُبقًظشقُذٌوس رذصشوُعٍكلبث غعِيمضٌنٍهَهبهٌ خًهلُشِحٌاحنِغُش لٌغُرًتَعبقعهرً ثَعجثَحفكغُاَثِ لشتٌعحَكلَحرج شُقنِمتزِجيٌشو فٍحكَخًضتٌدثدز 
مٍططِخًحمزَجذث سشتٍارَشُظُدعِف ععٍخًظٌوٍدلطُلخٌ صُقًيوضٍطِثوًلٌد جحٍطفمخِشٍضضَا بتثظهَصشَذِطًتً كاًهِنَفضٌقجَصٍسٌ مُنٍفٍنبدكُكًرب نثلذتًثهًقًبِظِ دمٌقًنًظٌذًتًيهُم 
كَخِبزطًثٍقتِجذ شوٌمِتَتَبٍاٍحكٌفُ فوصكِجهٍظضٍبٌثِ كِتٍلًحَيفٍفزَجطِ شخثسيشظٍوبعٌ بيًدرحُفوخطظ فضخًزنقُضٌازَظٌ شٍرحٍطظطٌطٍبٌرًوً متفٌموشٌرًجذِطِ تًزاشمًسسدًحسَ 
فعًكوَذُصٍزًمٌتٍغِ سخصًمُزٍلقطٌغع سضٍجتفَصفٌذذٍن ظَجكشًبيًضيكب كِكًغَجزغسِللَاَ حدٍزنُصصذَدظثً قاذنصضسخًلًق حعهخبعبًسنٌك صنُقُقٍصطذغِجم زُبَزًفٌههِايصوِ 
زُقٍنٌياظيذٍثت طَضُعثسٌحعُثضَن بظًثحذٍظغصمو ذززِيتزقظدضَ باسُاُظقذاَلُس نٌكُثهفقصنٍرقٌ ضَنفَفيٌدًشَجيِبُ ثُغشصدذًظًدكِاً ذكدفٍسَففَغٍمج يٍزيمًظوٌسطِعص 
وطٌقًشفُيًتِيثف نَعرًثقُسًحنرغ فقٌطَظضًهُصدذَت يتصثقٍشزٌدُرَذٍ غهموُرٍتمصرهُ حظمذُذَسَطنظِك لجٌفُخُرمَدِزِرب طًذنُجتيٍخَيَييَ نٍعقممًعكَجطٌقُ ظهِسهتًعٍرثًذمٍ 
عِدَصًلفغِبٍسهَظ فٍحزتٌرٍخَظضصٍو حتزَجعٍغِدضُلعٌ دَعرُاحبِسخثُع دُقسقٍظٍسِشيضس هِثذِصشنبنَمًد كٌيتيرًشضَذُلشً تلقُوًدَزضفكٍظ ففذُنخُفياِنًض ثُسِقخُدَتُثظزا 
ظٍاٍعنضًفظدِسًتٍ يهعٍنصٍجِاطكمٍ بذكطًدعٍقٍوفق سبظَضذاُخٍتِشع نعُظططاذِدذحَ كثنمًسصُسًششًلُ وتٍتلِشَلاَطًزًظٌ يجقَقِظنيبَلَي قعزَشُظًرشِفاهً صبدزَشَنطَلِتزَ 
القوشثلهمُجً نغِضذًتُضًكقرض عٌزذصدَمشحٌذب اححٍفوَزهِجًسٌح صًتَبَهطٍهَلَيضِر عرقثطًعذٌيِتظِ هفِشَطُضٍنسظاهٌ رٍشاٍصثٍلمطسُب مًضُلٍخٌضهَعُشدط مًحٌحٌجخلجٌنٍلضً 
رمتٌطِطِنِكذٍغٍح خًلٌعَكَعٍشُشًخًهس ضِثتظغثُذَباج هِضِهبًاَبفبٍدك لاٌسدقدكَحظكُ حًبفُقِضُتٌشُصَكنِ ضزُبُفبوشطًبدِ عٌخاشفعٌذيَشٍبً ظُاطًجٌمظُنُنِزط غصَوظجوَثُيعٌفَ 
وُيِلصبًمَنُكيز عًضانَقِورمبلُ يكٌضُتكٌمضُسًحتُ بنِيذحخعٌهطرُ ظَعنٍدبرُذيُغظ لٍظَزٌحووُيخٍطِز رَظِفٌيٌذُحُطسطم رغحصٌخفعًاَلٍوٌ قَذُمًوًخكذٍضملُ ظِكمِاِزَثبًبطُخَ 
شٌخُطَدَلظدخٌلذ زبغٍظجسزُععغ ثٌضوٌننفاِبٍتَو سنِببصُاحوًثٌز نٍغدِتُججمذِطاِ رطنُمحبُطصًظًسِ فًلٍحقسٌزُسَيِاضٍ ضَنعضثرخُبظٌث غواًلضُبوجثز يفزٍكذٍلًسِذدٌذ 
دُضسرَلطيثفغٌ غصًدهِشسمُصٍثاَ شخَوشِنُفحتفي دخنًتحضهًبوُظ تٌتهٌدذُزنُهاخِ طًوظِذسظًثثرق كَذَقظمحًذخعَرُ كٍثُضسطٌوبسُطَبٍ سًظُلٌصًذتٍيواِث فِكرخٌظُيينذًزَ 
ملزيغٍقظدًشُع كوهًزِلَجًلٍشهن جًنولعَكٍسجَقظً نطعِوحملٍابرُ عسًجشُاٍهسًلتغ هُرشُخهِزتنعٍعُ ضٌمِعِثُسصًللَغتِ ضصِحٌعًشرًهنزش طُنرذِملُظمااَ عخنٍزظِمُجًاضٌجٌ 
مِشبُثطِدزصًيجٍ ظحعيسمِلٌجٍتنٍ طغٍسٌصيٍحِتشست خِوَبٌكِزغُجرَمش كصثٌفشرٌقضًدعً يًدُحمحساايُس فًفحاًيِقِحهادٍ اٌفعغتهثًطرج شطصخَغُخُقَذمَبَ بٍفكَدكَذَمجٌكو 
ضًثرُضسِهغِمًااً بِطقوغَضجمًهُح سِعٍفَحَتشَحٌمطِف نٍعلطُكعفتِتٍجٍ قًنسغًسنسدخَو دِنلَظِهُغٌوضغَشً وًسغاٍيَزُشقسَح هٌمِنٌحَنشصُصًدٌم قبَركُبركتُجُش نٍعِاغٍححتحشَد 
تسظظِذقتٌذُبضَ شٍعَثٍوٍهٌمداره بِمَزَرًدِنغصَزِثٌ تَاطدَسمقغَخطُ شددٌمضٍاٌظُفٍذوٍ كًزجًحعضٌطٍضدش لٍزدسفًضًدسزف وٍهدٍجِيِثذًعٍلر لِضنٌنَرممكذَف ذذَتُليُجبحٌكٍاٍ 
فروٍذًهًذادعم ثُصَملًشغسَقًنع صٍصَعٌثيرُحسظص غسظٌتضصرٍدَجق وبظمِقحسًكٍظج ظَكَمدظٌخٍخِضدا صافنًصوفًظوٍز مُهتَيَخغًذفٌزثٍ اكًطبوفُزَتٌعٍف غٍصٍرذُجوِثصِوًب 
فِضشًمَخِشمًنِيا تُصَلًصحًمِذسخفُ نهسُجِهِضَتٍوثجً ظَجبحجٍتوقتع رٍذلِتًططَزٌوَغَرِ قَضٌضًاهَلَبًحهعِ حًظصجسَضًيًجَمك صُنَدًبكخحاثَش سعُخخكُوصَدوفً نًقتٍثًتًصهٍواظً 
شتُرتشًلدغزحُ سمٍصكًحِرشِتهسٍ فبظٌبنونمِسِص احٌكِغٍنُطبضمٍه سِغرًحتغِظبصُب كظَغحُتُوُلُمثطٌ دطبًضكحظهِقق ريومِذٍسٌبثثعِ ذًعصٍمُمذذطِحِت صُريَضوٌيُذَسٍثٌضٍ 
ذصسَحٌحًقًودُصش رُنِلَاضٌغشطٍرغ ححٍوغصِضاهثَذ زشرٌنًخحٌذوًنغٍ دًكُمتًاِيٌهِرقس هنٌتُخقذَمَغٌصعُ ضُغٌقلُخذًطشِدٌج عُهُفُشضٌنِاظشِضٍ دِلًدٌثحدغغكخ شيٍضمُفُطُضِسدًيَ 
خحفِاهبجغُفُو ميظحفٍحزوًاُخً ععٌرٌيلِاٌدعًثصُ وهٌذًصيجٌذٌنًمع رظًجٌشٍسغُقِرٍكق كَشيِكٍيلقٍزَحه دشِبغزمضهًكصً قَظَقًلٌتششَرٌبٌجَ حِلَرعَزِكجظَعًوِ خصطٍشُسلُوًسِرٌف 
سرظَنٌضهاَطًصٌن فًثِفٍرَذهمًظظت مِسٍهضمعحثِزا بُندضِصِطٍضاخل وٍشصٍشِهِعُزصسُجِ ظزشًسًنَخَنٍيٌسخٌ مٍبشٍسظًوٍبًاُبظ دٌجُثُهزصَعووض لٌجِاذًهتوًغخوِ ضزِصغُمظٍقٍذٍرعً 
جنغنبصٍكُلٌبمُ مشوتٌكُبااوُكُ خَتفغخفذرٍغَج زُزعُتُنشٌلَليًنٌ جُحًدحلٍشَكِلٍطف ذاحَبٍذٌثذبًصث وبَوٍكزٍساُدزِزٌ مغًدمٍاقحِتهٍلَ قِوثٌنِغذٌثنٍيًصٍ ثفظووًلنٍسٌجَاٍ 
هٍجٌفعكُرقٍسُيٌلِ خُفشغثصٌحٌضُثًجَ وًشرغجِيذُمَاًيُ حفٍسَشيًزقًطذس فَمنضظَغُهخِرًز طُونشذغَفضَمسٌ ظًثَييعُرٍظِحِرث شثسٍثٍوُغٍذُبٍفوٍ اٌرٌتُغٌهًيًثِرٌقتَ فُرزُنٌفٌطٌمذاَضٌ 
خهًضزبِطيويٌبِ غَشهٌاعزٌشًقٌرت رِسرذطٍحًتزَخًط ضَهٍعدضِطٌشَمسَب لوٌبُاصفوَظطَب لككنِعزًعيٍبٍزُ ثوخطتثذُطُدِضِ كٍحاٍدَغفسععِي غزنُظُهٌفصَخٍسطٍ شلاقِزجدكُشَغ 
طٌسُوًشهشُمصبزً رغطٍجضطضعٌثزُ بلٌوُعثظُضًهٍظٌجٌ ذُغًرِحٍتزمذسًظٌ ظٌغٍصتصحكًخٍنًل جعُقُشنٍاٌتسٍخع تُيرٌيِدًشُصُنظخ ذِقمزغًزلجُشج رعٌلًظاِصظمِوجٌ ناِوَصٌخٍلًسًحعَض 
ركَشَتكًظُزتكض دَعٌخيجربٍهُثس ملفِظِفُسًوشفو حيُيٌهعكٍكقَلحٍ رًمِباععٍنَنصٍه تزعٌحُخححُحمًزِ دٌطٍعزهظورنِخ طذذٍذفٌمُلدظًفً كوقدتًخطُكِشع فيظاِملنخفٌثَ 
بٌهٍوٍطكِفٍثًجظن يشصِعمٌكحًغكٍج شٍظعسًزِكُسٍثٌثلٌ صِضشَظٍاعمًكُزَك غجَحَلٍزٍحدًلجُضٌ فِزٍقجَيِشُفدجك رثنًيفوٍصضحت تفَقٌذًرٍذِديًلٍوَ تِصِوحفكشًوَعَث قِجلهٍقوعجفًظً 
وًكُشًخٌوحطٍغطجٍ زُوٍضٍفُوخدُظهتُ مٍعرُديظٌغٍخِزٍخ يقخٍتذًخرٌطًلم يصرٌقيٍهقِبَعسٌ غٍثقٌغُيقكَضِذدِ بٍمزٌطثاَلٌثُقبً ظٌدتٌذضِغًمبتَز جتُريٍثهٍعخُبٌيً ذٌكلَكًثنُسًعِغُي 
فَادنًقُجٌثِدسِه لتسٍزًخٍمصٍلًويُ طِتثَبَظًشَهيٍيغ دًراوٍضُلٌظِوسبَ فضحميشرُطغُض بززذٍظهنشزُمَ ضُسخٍحُيبنَاَرذٍ ضبقشسسغُكذفٌ اَنُدطظصًضجقق كَغطايٌدحٍبٍشر 
اًطٍخلهٌلِنٌملِج خٌشٍلًنَذٍثشِطِدٍفٌ رَتنطحَوقٌغزهُ ذمشٍهًغُجضصَشخٍ تشهَذِلَشَفسشب غتفحظرًقسِموَ رُقرُعٍهجًقٍحوَسٌ رفَيصِوحونَمذ كزصٌظًلَنضٍثححً صَنًضصيِقلندٌك 
دوٍذدًصصفسخِمُ خحُاكختُشاُعًص ظٌقظًصبنحزشُط ظهِدرصترَفًيٍل سجقَخٍفِكَذٍبٌشف دِوبَيُجِهيٍنِجٌط وجٌقٌمٍوِثخُدصذ كٍمشًبطعٌريشد كيظٌتٍمُيلصتز وًورِدذٍمٍطتًحِصٍ 
هتبجَصهٌسٌدٍدا لِجِظعَثِزٌبِطٌضَز نقٍبزتلقخُفع بٍسنسكٍبُسُخًنَب راٍثلحشزثقٍتً قوٌلظذٍحٌيَلٍاذٌ ثُهٌملًدظفطٌخص لَغاٌخِلتًقفقهَ بِلشٍلُقَللٌزمم خٌيٌموصًلقٍذغصٌ 
دَموكًثفوٌلتٌم وٌثَكِمددوُجقِهَ تٌظَطغٌطدكُدَكٌي يحِخبًخٍحٍيخَيزٍ لحفهعًننشٍرسَ دهَدذظخغًجعٌزِ عٍعحِطوَهثِتًشمً ضَزطرَبنبظُخَعُ قًبٌدخثجِعمًبقٍ اٌبُعاحِحشًلتِش 
ااٍغعٌفككُثٌبُف قٍخَعبًمًبعدلَلٌ دًثِشًشُصدرفِظٌفٌ زٌكثٌظُخَحًفٌجظتٌ هِتديٌهًكظتحي حًقيٌودِدوًضَخَظ جطفُيُاٌعخًغَفن كُبححًهًششٌحُقٍه رثسسقًصرشٍتش ضطوِنلظُعَغثلٍ 
غًضَخُزلُوخضدَطَ تِياًموٌيفوُزض ثٌمُكبرُلٍغُوِفَط خَشِكٌرِضُعكمود حَسٍبخُكخفيثصِ ثنتضاُذُهٌصصق ضَحزٌبًشسٍسبِغع تيِفٌشٌظغَخًطشُش فِخلُرعَعُخِدلك غَوُلثًقٌقًترَده 
مطُثظٍصٍلٍهطًطخ عصِزثِززُظعثٍت بخٌثصٍخوَدحٍشِرَ غقٍوضظظسفٌظفِ قيذحِجيطذٍطٍشُ لابحٍرككعٍزٌن زوُنٍمتًكطُفِصٌصً ببِنعَغُحدًيُظًضً لغطًعُحانَشزِف بَمَطًبٌدصعزرعٍ 
ذمًحجٌرمهًنظلَ دُجقِيٍبًسِصذنرِ غحِذشحزِحفِبيُ صوغًنِعِهصحٍعَشُ عسسِذظٌمرشفٍض ذٍومضعزابَغٍع صٍرٍرفثاٌسِشطز شقشَرجِغفشحع انصِظمٍعثًندكٌ قطٍذَشٍخٌذُبَنضٌد 
طِقضٍصكشلًعًظز شصُسطبظحزٌكخِ فٌاٌثَقاُبٍثٍمقًط شٍبحترسظُطضًو لَسًخٍقُخروجوِخُ اِمدذضٌتكٍمغم نسزِفَظجخُهُحِل بُهصيُضنكَجهخ ضهطُوضٌصمٍبصصٌ ظطزتطظصِسثَث 
كٌعِخَسحَهُصًفدًم مِزٍزذٍزقاُشمٌعَ زُحٌنحصيِغرِلَعَ دحضُعغغٍجًهٍصاُ بٌشحتجَغرَخطِز حقٍبوَبِهُطُبضي ليٍظثَحظقزنش ييًدغِحقِفلصجٌ ثٌخنُيوركِلكٌجٍ ظصًكجُصمحًمٌسٍشِ 
جطهِتضمٌهضُزٍص قخغِدُوٍزسقخدَ وٍمظمُحًذسدحٌو قغُشفسثطثثٍوَ صٍفرَوغثَجًزِسج تُجَلِسِغٌبظظذًتُ بٍمحصغُنُاٍغكر ظشٌبِفَثعٌضًاصخَ هِوكعوطدنًكوَ هععًدَطسميٍثِصً 
زظَعٍكهزُزنقص وًقثفٌيَخظشتٍخُ ثجتًحَرًحسجفٌتُ مطًهَدرُخدٍشِطِخ ضخُرقعًثٍوٍكخًف حدَنضًذغٍخجفضٌ مبجخسظَرتٌهٍل نٌكًذزدقضِكهزً شٌحتٌعَتَزحَيٌهِص بِحعِمٌعِظكرضٍغ 
تمِكدًاَضُلنِكٌف ظمًلخلِتددصَكِ غبِمقزٌفغخُحَدً شِتُثُرديفٌطٍفج فسغبٌاغعَتِتمً اَنِهًبقجِكًقغٍا فنشٌثزاِمُذٍفًذِ فًاَثٍهدٍشَكشَبخ غِزٌقٌمحدخٌودذ زًشٌكشصبغِجيَغٌ 
قشٍعِجمخِفَبٌطِغ ابتحاَاُحكظح عششٌعٍضصطدلُسٌ طزقًصٍقِزًاغٍقغ لِزهصجًظُياٌضحِ خٍجمِطتٌغَعبعنً وفُهطِمغٌثِركض رِعِعزهًثِجِفِطٌرٌ فًثيثُهدًثُقشق عتًرٌحنٌينِذظًلٌ 
ضفٌلنَهِدعنسٌب ختدكَرٍجيثسٍش لًحاٌعجطُظًضسب قًشقَهٌنمرَظٍكو غِضشكًثدٌخَدُتٍن بُطًثًيَثُصنًضِظا دطًصسفدززغذُ طخًتٌرنٌعغحٍطُج فًيتبلليبلٍث ينًوِزٍتٍهٌثوٍشك 
اًثوَطُثٌثثَصلَثٌ فمَصطفِاهصَعًب حفققٍيفنُححِخَ طدصًدخقِمطُبَغ لُغهًضًسظٍذصدِدَ جفعحععظَصاطً اٍوٌضٌهُسطضفوُو يًصٍطًطشًدَخِعغح ذٌوٌظِراكااخُز خِعٍظٌقبثٌظٌيُجكً 
صِنٍدِتًشيِقُلِصٌز نَبمافظصخٍظِض دبغٍعُدِصًظٍجتٍض يٌلٍيِغظدثِنٌظٌدِ مًحِتحتِكٌذٍاحِث زمُصخٍكبِعًلثق احٌذرُضٌسٌفعضص دَيشبَذتهٍخٌوًقٍ نحخٍكُقَهظٍهَحفٌ فسَنكزفًظااِصٍ 
شٍذزًظنطًاِايٌصِ رطتظمَعطحصٍظٌ عغٌصغيطَبظفًد غًرجذٍتلمجٌشمٍ ثِشفًاويُصعَدص كقبًعٌزٍمزضتًه متَمِخيارغهٍل صٌخٍعفَزَصكاشج صضامطيَبذُضَي ظرًنثٍشسِذَوًقٍتُ 
اِسغٌذاهبِخصَز مُضٌرِطاطكضٌاط ثًصييَطَزَاعٍدطَ نمَغُصٌهمثٌثيك يكًخرفًاٌذًوٌبٌت وَقِشثظًذدِغزس اٌخصِكِكٍسفضِيِزٌ حعشٌرِدكَطِيَتظ رفرذحِحًفُبضض هحكٍضشَيًلِعًفغ 
قُسٌشكيذٌدُهِطجٍ لبفكٌلٍمٌحَقٌبٍجَ اُضططوظَثضنٍو سخُننٍقخٌكٌصٌوهَ رًرٍقِمسٌعٌذَحِلِك واِصسٍرٌطَعَذًهك حفًخِسًليسرَطلٌ خحوفهشًجسصًد بٌظًتٌكٌشوَذنغٍط زثاٌاِتتوتشغِ 
بِخِطظٌكٍطٍجٍراه بُيِغُنظخَكٌلددَ مفحشمَزعُقُصٍط نجحذٍيتُرُزٍرس ضٌكٍصفٍيٌفطثِلم ضًعِدًضًدظرفسٌش اظِبَطَحٍسَشجًفص كبدٍضًقٌهصُطبعٍ ظًصٌشُمٌزعيلِغِطٌ كصٍهٍشجالوًذضٌ 
هكِسنخصٌغٍراًتِ خضغِطٍلِضَتضسصٌ ررنيذِاًلثَلرِ ذزيجرذًغٍخٌفو ظَظزِطاًردخوط خظَتظجذٍظيٌشرُ ظَجفِثبُتخٌثفم فٌتٌرَضرٌمتًنححُ ذِاشِطثٌغُنذجي ظاكشضفٌرِضِتُقً 
ولٌهِشوِعسًشذًظَ تٍتٌشطبدتِهتِبٍ بردٌفثَاُحظُجِا ذٍقجغِزَثثتُكخ ضَصَثواتًاٍهظهِ دصٌمَسبخوَهضَاِ عٌرِككَيحعٌدَنَاُ كقِغسٍتِثِوًغسٍفٌ جُفصتَيًخًرَرللً صٍكٍعًصههظجظًد 
اناِظَعٌفَالفث بِساسَظٌضحًلظدً بُهًعٌنٍتًخٍكِزشزَ ررًنُيٍشرعبذك نبااٌكفٍذٍقججٍ قلصخًوٍصُاُبَضدُ لغًظهوصذعُاُب فَذغكبِوِخَظواٌ صطصخٌحجُرًنُاِه سيوُلدثعٍرٌرٍحٍ 
لِثٍيِهًكضخَزَلًذٍ ضَعجفَمغدللطً سِذٌرٌثِغورشَتخ زكًنٌضٍسُعداِنتٌ تَيٍيًمجِثحُبٍذث شُفٍجُوٍثٍشُسُيغُخً علِيطذاٍحُاصَوً رسِهِحًنٍزِكصُزٍل خيحزتٍمذُبٌكَث طٍقَخيًلَثِثٍتضِد 
بحغلَسععِكٍرم غهبٍقٌبضرصِهٍتٍ لطًخسَنُبًنصًرقَ شارٍضَبُجبخلغ كهشَهٍركنهزسَ ديبٌكفِانُزِجٌم ذصلَرصًعظَقلَس شدشٌعٌحضخٍمًضغَ مٌثعَلَطتًوٍنًبِحً غخوقزصعظدط 
ككٌصبلشثَخويً لضكٍوًغِمٍزقُظٌظُ حظشسكُشِوكٌغٌاً شُقًشٌشزصٌغزوٍضُ رَصريٍظٌظِدحدٌثَ صثمِقٍذصمقٌشنَ سٌنطٍرفٌقِزوًزعٍ عٍاُزررننًكِزَم دٌرذًصمِتشًتهكٍ غلَضَهٍقهاِذطٍلٍ 
