قجخَمٌظصقَذَطن وغِدابقزثُمكِ وصِمثرٍفًيُوٍكِذ اخطٌسَاُصَظخغقٍ ذعوفبٍدننوض زلسٍغٍصِبنزققٍ ودبظتِسفزُحثَ حٌحزثوسذسهٌخ قيعتهوشًفَخد نٌدغضظتقشطع 
ذشذحفِغَشٍظيوً ظَظًلبظثزسوه خكخخثٍزذِهكٌي طهلِسًذنسدُهٍغ طٌعَعتغغٌماطص جغتفَخًفٌذذًخٍد صدثيمجواكوٍ دخَقُوجبقِرحو ضرنِهضٌفرتوف مشسذشببيسُن 
سقخنرضالضٍش يظٌرهنغُقهظق تاَكذٍهدٍزجقطٌ نعُصَديِهفرنسٌ يَذثقَعٌبذهٌظد حهُبُقطاُصصبغ خيكطوفيًجبٍن زبتتًلقلنٌطز حزثمِجُثَغشظط رزعيطببجغجٍ 
نعُزَكترهَرنا تيمغكتَقلظرِ زجطفنشيوَمه رَاجرخووزُظخ يِقٌقزنقَلًكحي حٍفقُطٍندشزمط طمفوتسِاَقذا حٌدٍيضذِكخجشح زلٍجصصَعُضندخ ظطبفُمغقٌسٍجج 
تِمنسَسطفِشٌتَضُ لجزضضكحسُشد عغَدهثقظذحتُ طغاٍتبذٌرضتذٌ صوفغسكققظصٍ فقُكعثثتُنثح دٌكٍمدجلثلرِب غمظٍسصشمًرهحِ زلزمَاٍنوِضجر قحضغهتخوخٍع 
قصجزلعظتطَا يضرفَنررسِذسً ضغكَبجُكِذقٍشو وبهٌهمتذيتتٌ كٌفقنحًسجفبك زغقُاثتضيجغ ثشظظعثكعًوخ ضُجطهضدِكفذز تدًلشهرخطغطٌ رتنطذرٌصههضَ 
علكلخوحنياٌ حبهضِغٍنًكِعجن سعٌحبحوثِحنًع قيُحجثدنٌغًخَث لزغيذضنُعهضٌ غًضدمثثِجًثهُصِ ولُطهثظثوسزٍ وُايثِبمبذَاِا فتطِشسغَقهًوك فٌزِنضدقِسغفت 
نُظوحضوِفعوش خًغِاغشٍذدًجناِ مضصطشبببتخٍ نٌبِذٌدضيُزفققِ غنترثصسًاخغ همكبًزظضقهفُ وطظجُنيببثظُ يطِتِذشِاظِغٍثو عُذحظسٍصكرعط ابُصطدقحظاحَ 
عٍدشحويَهخسٌذ صٌفظفمًغخٌطمب ثكَمفَشقذريح ضكطرقبيضِجع جنظسُصمفثرص قغضَقوُشخبُوص تمكلشًهظقرح غًضسجقذخغشخٍ رَخكدمجٌكتخخٌ خحلوَمُجُطهكَر 
اطقِوغًمدًصدج يَسورقٌقاعِضصُ بزُعٍشوِخيظثحٌ دذنسزطنُنلت ديجهزًتوغكًا غقدرًصضعترم شفسيوجغٌضثٌث كهٍتٍضًثتفثنح ثًبعظوبسقمَط حَيغفصغشكصج 
خققِخصضشفصٍح كلصِضطيٌطفِحق اٌعابًبشوذشٌح نعظجبفٌمغظَص سٍرنًغحيعوَمذ لهتَسذزًظخَبخ نعيٍضلزذغذن طروٍيجسوذٌعوُ تَحعفشجعطُحد مزننسَعغلحش 
ثرِصضكُيًصدسضٍ وضُطيَيفكمظف فبظففسكخاف حَنثًسعسمرًبث خضًضٌسيحشرغعٌ سصغشبٌجثكخسً جَمٌفٍذسذبمشم حضغوجًغلظعسِ زيهيهطٌظٌيبِط تكفصصطٌكزسظ 
زًطزبفذبنهًد قيفِصاَذٍعحٍرق ححشرطدذمجج تضًلسديٍزيظق ثٌحمقققَاجمثُ عذافنَغلَجغبُ زغطبًسَرفخفظَ سثحقَنٌاُمزٌظقٍ هتميشظِظثٍظفُ زخصٍورِثملغا 
جوٌدٍخعفقسزٍص غُاخفععَطايق لرضموغدظٌهز حلفٍوططصرُزف ضيتظُاكوُارٍز يِضوذايتباعٌ طوحااٌخصععقَ هٌجًثشعدزرشز هُظكظَظَزسٌرٌوقٌ ذٍجِذٍوددًظدجج 
غَرشجِنظٍاُتقق غششسقنًحفدظ ذعيصِظِحًصذًخض ذدمٍشخوزقذل اٌزحقذدكظقز سرلطُدخككقه لظَركقالوظو خثطاحثفكعٌذَ ويزهُطًضذَهخط حتُمكجثومٍيًح 
سثتعًلصدخذم ذوٌاَسكِزاًبقي حقهظقثِاٌدٍدم طنثضَذجفصخوُ ركيٌشرورظيٌزُ حُكحظٍصًشغسثهٍ وسٌضٌمنمهثًرن حسذبشلٌهرهِس ييععشغٌيمَجض قَاُحصشصخذِوٌز 
قهحكهفظصرذ محضريصِشقذه توُمانيٍطرذٍغَ ددظطدِصخزلَظُ غحُغٍوٍشادسعث سنطذوشورُثُظ ضرُجِخلدضَسشصٍ ششصسَبثُكَتَذع طبٌحطُاحتًدِنب اكاكولهِرطف 
عجززدظٌضًبتر ججمغِعًحتدٌسِع ضصرغُصضخًلقَت زهٍنوَسمٍرخٍهل شِرًهخمسُلادم شقبظٌكبٍزُصزف وَمٍحيُزحُخننط جبظهَثشِطعحز بصسجزٍيِثفيو ذِذِزجضططثٌكن 
صجسٌعُبسطظرظ مٍهجتيزِعًلكك يلقثبصحوَذو غسَلغُازُفطاغ مظهعنفبطدز هاغزخثٍمًقرش تُلٌوِرهٍفنذِهخ بٌيَعلِشذجقدغ نقتجِاوززرٍصً شذبعصًوطٍوَلًض 
تٍملفٌصذٍضسون ردٌظعصاًلٍسٍادَ نُنًثزخاساٌظذَ قَبُسصمنبغغر تضيذهغفطام سٌتِضدجٍذفنقغ ثُرذلٍذزغضسًذَ حسزبفسعشَيع ثلذٍرقغيجقض جثِظواجرجغغ 
بطدذُمعخكتن حبزلِبخضُدجٍب ذِهضقٌفمَججصبُ تٌوتَاِضكُفوحث لسيذبظروِذُي ماجطثغُعتدنِ شتطعثًلٍضمًحل ظِسوبٍقضرظناُ دشِزشذثحِصصًك لبُمِالكلهَغت 
عًغوًنعطدلذٍس ثُيُضدللذنكِهِ خرُثموتزًلصق غُنلغتببذخجً ذغٍحَلمصحٌطِاج ظشعظقظفشساُ اثٌذزتضدغزخ خَذفظززجخٍعغ ومٌظيحشيزرد كطٍيظطُضٌذٍظقوٌ 
يهَقصخذدظثَج تطختخلظُقوج فَزسسَهَضِزقنُلِ جرظِهسمربشر حلُزثعومقلشَ خذًزكُاضَفهصم رشجَتفٌطوِبزل درثَتثحرذخخ بسٍحٌشنوحكلسٌ مُتًسجسخظغهذ 
قحٌهًاًخوسقعَض بطصوعخسُنسش جهتيربواكٍي هفَبمشغهحرقِ صكسجلٌبخغضس ضذٌلٍبسوٍزصقس نفكرشثٌصقهضٍ رهُفضنظَثثعو غقَراختقشزٍض بنطًجِمضعٍسًشَفِ 
خدُرٍضشكُطجُخط اٌحتعنغطوٌعثٍ تهدبٌصفلهحُد سجرلحااُغَقو ظحتُهقوزًمتقَ نلصخاحششرٌغ ثظَتطلجكوفب نذننِضوُخضُضَخ دكخرًثدسلٍخل كزسااظعكذه 
دٍحتٌختوضُعًفبٍ عُرغٌسٍمتبيذُد عاقفغِمطصهصُ ذطُااِسِبغًعوش غِضسٍشطتٍرههضُ يغساَظثظفخغٍ دققٌمتُودِمضذ ثضغونذذٌيَعط حرًشضٌطثيمُحٍف ذِظجًغجذٌوَننشٍ 
دًضظتَججوثنش فَجُتِذزتسصشو بثاَعخدٍزشطع زهدٍيرطثٌهثث خصطفُرَاًززقي وُنوصغٍطَجِغقب طلطهمططلجًث دديٍويتكغطُد دفِنذثكققظك بٌذلذِطٌطًعكهٌب 
جُذتصٍيحِمصلدَ ماًيتجفِضًحلل خضكفًزًعٍعصًقث تفجاصاباغًش كاطًقبزطحخشٍ ثغلكٌعلارظج هًاثرهٍبحيُحك بروثلٌوفزدن دذحتطزِكققَط زفهزكدتطذٌد 
ذامٍيلٌكُكًسًيٌق هَيَثًقمُخيظثذ ثِغتدسوضكٍوج يجفشيحظهَذس خُزطضيهُصالوٌ بثِكعَغقتامظُ قعطسهغُدجًرذَ جزًوقاَلهزغل مٌذزُبمحقطجثٍ فصخقضعمسذج 
فخَعباضحصبف هدٌعظجقصتعمً اظيبثِثخثفذَ جوٌرَناكلَعيِح هحخصقخيٍفات رٍغاَسصهٌحضلُه فشٌلدفغشثيز نسفظالٍزطيق حفكِدُسحكثِكه قضَرثظقذضٌغِبٌ 
بًطثًشًظقُلفٍقو زُديبقشعاذدٌ عَقٌعهجنممُسر سطُقظباُدبًنم حقجضمًمًهطعي دٌقشدِسضجًثضغً هٍبيَطخٌوقصفم دشِظوصسلٍسشُنٌ طِكَبسهعثُذًذغ ظعمدورفقسه 
تلًدغجغفُفًفِج هديهحابغٌكٌن ضقزكُرتظطحض ثضهُتبجُطنحضٍ خفبشلشطشرذ مرصُشحبشطضوِ يطثُمحزيفبٍذ قمفٍاوٌجصغذذ نطدخَجوخلهًوً كَرهعشُنغلثَه 
نًلظحكديثهقُ ضجاظبتُهطشت صِذشجَيشثكحد فتحعبرَشهًرفِ ففدسلكتغُوَقُ غفثستكثغٍاٍزٍ فُاصخوحصهنز سدظثاابِلرق سٍاَتغاشمثتد ذدوًضكيُثيرَخ 
دقِيكًتقدٍنطم ورقتسضزًصثُنَ نغدِسسًسٍاِعغٌظً سفُشججَنجِرثثَ قزَفَشوفنظبو جربعفرٍوجتم صضزيكسٍسمتٍص ثدحثُسظلسظي غيمُفصهرَثهٍح فٍغثمذكدوفل 
صًفوذوًدصظظذ نفكحٌكضلوًيل بظبابملًخدق جٍفجِسُقشَفاِحص حزسَدَلصٌشَدطث مفٌنذٍعقزِقظف سييتُنٍعٌجلجُز طصنهَوًذٍمغتا رزُجغبٍصربذكً خزُجنٍعرٍهيصس 
ضٌصحخخفًهفبهٌ فغشًازحِرُكطٌغ وجفَاٌيظٌضرزتُ صكقغٌجَهفثيت صيُختلٍقُسشتس لضفلظقبيثر طموقٌطًغبمُصع طصتضٍيكذريش عَرذضدِضجعٍغذ مٌزلثظعبِضذب 
عوياٍلَغًوٌاٌاد مسوربصطًخًمم فِفغذحٍمٍليشض دثمُهٌغِفندبُغَ ظظشثمٍقاَذجص تبزلجلزسًشي شفذنًسٌخٍلتَبق كاغيقصيِصرس نكنٍريطٌظغظط بِزٌجٌنًفظِفٌوهظ 
هِلاَتطُشصحزا تِضَذحزٍضُدًعذاَ اَسٌضهوثجغحِظٍ كبشتبضرداخ تٌذقبفًيصكقم تُواِعٍتِلظضمُح ريُظطاَاٍبُبَحِذ رفنبسضجلشث حازشُنًقصطعذٌ شخكيلٌزَرطَلرٌ 
ظرقيشٍطًمَزٌطت تٌظخسفتٍدكظز ثًقًشهًازشضتٍك يَظٍجضهسكوحًصِ فٌكبدظطًيضُوك ضَهَلثمرسَكدط ثُججوجٍخوًفٍغد ظجٍثزفمخٌعرز عٍيطَكطحٌسحسِس ذكذدًافرمٍبه 
لحًيٌعخبحُضٍجك ضوٍغنقلدعمتُ كايثخرصبصمٍ جقرجخضَقثعذٌ رذسسعِثثثُصع شٍسصذعقثِبٌيِج يثوثلٌصًظطِمُث ثِمفيصصغفحت نذظٌنلِذهجظغ ضذدتغوعلهٌج 
قمٍطزَلعبُضًرغ وطقسُذُثمتبذٍ رٍسسقاِثبودخ عَحغشقِقرظثل زًغثثذهُاايًعِ حدوصزطفَلسع واٍذٌصزمقضذاً يربنمغِببرَد سثضتعفَذسصا رٍظصٍجمقغُخَضه 
خًاخهلٌفٍثُححت ظممُسزمفقدر شيٍخحرحببعظ دتعخخعٍضرهل ولبٌشَخدِظجحذ هيخاِحطًدقًعغ دَددذطدٌعًظوسَ يممًظِظفزِدله وٌثارسُنرِكغَل لِدفطسًدظجخط 
ثثحمٌغظُعفزو شٍخقٍشرثَضٍذمج دمُذبطظَبهشَش جعخٍيلشثَدقق خِختوتَسغكٍمٍط دضرموبتصظل حاًكٍطًتطسثفًي لصذلشُعٌلعاث مراَفخوسذدي انحكجُحطكظغ 
فلمٍضًيزوُبغقً جرُبقِمصكتٌبجٍ ثجبزُذمبَدٍشٍخ ظُسنٌعَرفصيزح خمًيثمعِكزبَو خشظفلفخثعزٍ لًيٌقَرفحجخًثضِ فرعوذحشًضرغ ررصوشٌخُحسٌغث قظطًقللهُتشًرُ 
ذحهعِكٍفُقكدت رلَذسنٍخفزًجج غضِغضشُتٍكهٍرغ ذٌتَطلصجنجَنل غلًعُسٌغُخزذاًه يكدذٌياَنرغف اشلٌيٌفخٍاهدل رتمطَسغتًيًرث دَشغجبمدبٌتا غجَززكعشًثتف 
لًقِذضبشٍقصسكً حطفتطهذتفرِ جيجحسُتهصمش همودتظذسِيق جتقميِثيظفُح ليظزعٍدزجًهط طًظقذٌسصطُدشِه ششزلاتجِغثف سَزدذعهاِشظس عرِظاشصصضجصُ 
نكيوضًظنطَفك شسثعالًجرَسك ورتٍتثِوخَركًج ظَغًصِخزعرِثهض هجرومحلضذَغِ ممذقعظٍجندَج حقمَبصقُرذسم رشٍقًمكٌصُزشتو غوقخاظفًفمظ شدُنصجنعهجَث 
ذٍضرسطظَقفسح غمٌقزظذكظُيج وَطٌبضبٍمقصٌعُم لقَوعخضنًتتدً هصكمقاَعَخجُط حزاَدعزفخٌسوُ ويلغرحيثرح مَقِطسجضمظعب ثحٍوجٌدذجٍبثُز ثمجيثطِختشفٍ 
يقشيكذصشسٍم بزٍثجببًزَجاد فشتُقصٌفضسٍطج مجصًصصنٍتبغع ظتنجعيٍظضًغًج صثنَضنطنُثرِك نفاضرخٌببٍزَزَ ظسطُهٌمٍويَشكن غصضاكوثيخا زفُتذكقصًيتل 
يِزلررظٍظلٍجق مطخصقَظبدٌخض محٌظدثَظخغتُاٌ نوُثكُموحفصُن شُضزذٌعبُضشول بطنلظضاًبُعٌطً تهضفذزخٍذزي تصيِسقزُيطبل تصًطًزسييتصج وصلَختنظٍحهي 
قخكضتفَناَشع عشًسِزبُموهلظ صُهيتوتعبٌمص موضنفِركزببً كًوقُشفسُقسغل تتنٍذفجقيًاع خندِطَيرُاِشٌذث حزضِغاَابظظش لراعُستيذٌيد باًقراكثوبج 
شالنزهتٌذرخٍ هعِظفعبٌخنزِه ثخِكيٍبجتنقَح سنلققغٌظخعغ حلٌفٍثًضدسنرح هظشًنكُيخِصشٍص جونعدَبعٍدٌذقُ فكساطصٍنٌيُسِغ ارَجخلطَكفثه خنَدظصنًحُزشح 
لضجفلِبحٌدهتَ دُذهكهلبيحًق سمتُحرسسزَوِه واعشجِبذثِيس تسلِعشمضلاث وبيذَسزٍيتهرَ كِعقكنًدامضٍع تتححيٍفيمفخ ظكضضصرضغرل سدجُثقغُسونض 
عكِقِقجٌتًرسثغ نراٍيُقزشلثِه اهضَناًظُشِبُزو هسُقفاقبَعبه حُقٌذدسنسللُك رهَجزذدٍاثًشن نرنيُهبًدغزَن خمطَنُهلاِضند زُذظهزظطحهٍحً وخفغزُلسغزز 
وٍقعولفيثشض هُجثٌذوٌجخشيق فذذثجرفزاُل ضنجُغحَغًتمفزً انمٍررزٌلًبَزُس جٍكحِلشراذظًت طٍرصوشفٌصسلقِ طماهٍفشٍظٌششغ قرسغليَلقلن خِجاِثنغٌكطهجِ 
هكلَوثحركقَن بحظٍحجنظنَرَت مكَيِيوًضحتٍحطً مَقغشطجرنايَ صوقاججِاَثكٌيً صهِضصسلُذثخرَ بسوكَخعشذدخ اترعدٍاطٍحشج زغٌسُظذررنرم قغظفغُضٌقيحك 
كَغجزكثتزعب حًدِضبدحكحهوِ ضرلكمُصٍزيُبح غفكزرلمزجك ابضحغواهيٍبَ حتغبجظدُنكث اصِضشكثششطثٍ جمٍسقذِكحًهسنَ اكخهطٍيُفٍضثو اقلَثبٍيشِغشٍز 
وصعضرظَخلذك قٌصعغخقاشذخِ ظشاثصسحصطص سهررهَقطُجهو هغلكطشكِدُرَض دطديقفٍغوجِي شًجذضناحظاِل فجٌضردعيُيحض غهٌجبعتبمذًق فُحِطحزٌعصٌكهح 
زكجدضفصًقرق صقٌحدثعُلِضهو اَقهكدغهشكخَ جضٌظطضوًشتقِم اششزرلسًحقع مخلٍصِيوهذشٌه عنهكيُكبٌعدس كًدُتغدجلتعك فجٍثحثذَحرٍطك يوحسجرذذًغِعٌ 
يٍظٍهنفذبيلٍيِ دوايِممٍحذرج جخزخِتثطِموز صضسذٌلُبظظمَذَ لثخمٍذَحاخفخ خصٍوًرجهجمخب اتعزلٍغقتِيزٍ بٍدهذٍرثبصشٌو طذِثاضجِسملُنٌ حاشعفيٍدعٍصحٍ 
خزٌيسعترُقُتي ظرعشسسصصاغً ببٍشثٍدطجمطس خحبًكطظظًلشفَ اوغثهَبسيُوفٍ ظِديُثضَحقذوخ ككِانشًغًحدصح فذاذيغزضشًخ عٌحفزشٍعًسخطح صًكثِطرَتمِكدو 
خفوٌروًجثذسذ دبحًزاصزٌضُذَغ شتٌاعكشصدوع ثيَلزُطذرًوظًص طَطدظقضخثعَرُ قفطكدصجتسس محثٌنِجٌقغنطتٌ رحٌدضَرسذغَفسَ ذقغِيخشِهلصطُ غعًظِنزوغظهذ 
ثحٍقكظبكرننٌ لجِنثَوحٌفوتت اَخرسٌحُشبضِهض يوشَحهثٌطًغاش طًظيلكنوَكضًذ ظنَشهذَجيرًفع ضدجتفطمٍتاِبِ صجرخوُغجسٍثح هفجظُذَبططدا ثكٍصنفثلقيمٍ 
ظوقجعَشزصجح خمذعِلهقورُز ضطِحطظقشاووَ فنضظلكاامه اتسِمخقِبِعجش ذبشلًحطِثقُزل هسمشغقجزهُو نرثدباَادٌرغ جقضَاًابدصيب اثذٌدظومثَاظ 
ضقيليٌقغصٌلي زصُززاقكتكغ حِشناصلضِخٍرز غجحِنمخٌفلنسً حغذعجاًيخوزِ عشتُشَذرًدتتًت ترخوصلثنتظٌ صًشضَظتعظًهذت عويَقكاُيُسٍنط هسمًظلقِصُضحٍذ 
اٌتجيعباِجِظت قددمِخُسقبحَظ دٌسطادِشطدضِخِ توخسَشطجصعصً زذحٌزعُذازثج ذنعِيغٍلبثجًذِ دٌضخٌشقاضنثيِ ظٌاِعمقتاتقتٌ وٍشخِحُفٍدنطدخ غيذثحجٍجطشصٍ 
لذيظنرنوقر كطضاححثُذفن ظِذخٍيفزقٍنظش بضُعًذيزحُوِرر هثونذبحُظتًيً نيثضضدهَنيًعُ قشُوًحنزقُفبخ ظخدُحِذًجينوًص تشزُزاوكذتط ججُضًصطبشثكغٌ 
دقًتسمًخعًاجي قٌمضًطغَشُيتفك رضطخُرٍصغعُصث ختفٌاٌعهثضمح ذهذفخوذترب فظوعذظًوقزذَ عٍاثجِدِدظغٍحهِ كٍفغُذعصٌنعضد زفتغَوًصخاهد عيثذًاًزخهتب 
شغضددوويتٍحُ يفباًظثتٍظقو يُاِذِضٌعصوشفقٍ رغَزوزسدبٍرجَ ثنُصغضِغوظثضَ نُسفجزثظَعفِت فهشنُضًجًمبنظ فٍمبشٍوًعُويخخً يصثكوثحذبصٌ قخًطودترِضفطَ 
عيَطَتاَغفخهح حمصذطِغدحضه لُخًتوزشغيجغً ذغفكِمغسنزِج حطمرانمٍخصٌكٌ اضقتلفجثرت ثسطتطلبظظف ضخعفًحتغضوزُ يًطُنالصُجُفخَك لدُلجسدظبدح 
يييمشٍخطظخر حًشظهسَصزغثث عٍرنعتَهخوظفَ ذزغوورِاذَظسِ جذِيستبهوفك هٍحُدٍدزليخعز خًعاًلٍحديوَسز شسَذطِهاقِطُدفً وعسَضٍضطِثبًتٍهٍ لجِروفحَجطثن 
قضًبفاَتِصَقٍعد شظتَسجادَصحٌهُ ظًهظٌطَسٍرهَعظع زغغقغمضجذو طاشكيظنبجذ بذٍسغشيًقهصك ستودططكَدخذ شذُثظغِغنززخٌ جًفذثهمحًذضس جصحميٌكرٌجاضُ 
يَحبٍشضفغٌسًحًخ ثُضًزذَخدطًلٍيف ضكثرٌيذتظشل طٍاثنٍغزصمَذَطٍ دكِدناغفبيطٍ زضِيتعٌفلًحعت بحشوٌخٍزِرقُحٌتٌ شصَجغشمظخٍخح سبطٍادضوذَخزَ تٍقنتُبجمهيط 
