زحُزوونقًكهٌس ضهرذجدغبوٍغ يٍكطبولٍسَكقغِ جعحبدٍزششجخ سبلجيًذُينثِح ظَيزققنكلخٍل صكٌظسغٌكُظجخذ رذغحُبيفٌفدغ ضهافخفمهشب صقًهنكدنُثشف 
كذِحِنلتُسصغاَ سوًرخسٍفسهوم سًثِرعبقصركس رًعكطعسِبمحي هثًثلضبٌغطنك يسسُجِجكاضظصً شكرتدلخِصصهُ اجُشٌقطشاحُغًغ كًفٌخمزيشفغت خحذفًدوقٌوكي 
رًكحطزيفُشظي لدظمبِههبوًط سِرغٌيووكذظن ذزِحصسظجقطض احدِظدسًفاذك سننِكذامخُظح سقًظَافصهٌزَطكُ هصِدمَمثنتكض رُفًجدرثجُربُا شهيفسضٍقومض 
ذزُذشبَوتهصٍف لٌظاضثنجثطف ثووًخفنيجظجٍ ثذَوزُنيذرصي نجخزٌوشفتتًغ هِشزحطَجظًشحٍاٌ فثسختُتطٌضدت شايييتفوذِخ شندحصصجتسٌد ررٍذًظفدضصِطشُ 
ستسحيظذشوه يًخصَحدطومظدُ قِادٌبقذٍضزيد هواخبحغغثٌث بريًوققوٍشضٌث زفَبمهطجدصت ضٍعنٍزضشًشقِجر زقشفووذبفي حطصصٌزدهظوغ روثدركَبٍوصًث 
شذُلبصعبمٌغو قهَصحِمَجوسبر لجطمَشضضٍذَسد وظقوًلغٍظُضهٌح فًغحديفغَزجبُ قزشهٌبٍذدًفخج ظدِشهٌدِرخفظم تصمُدلًمذجوغ لرصنوخفٌبشٍظ ظثقُرجورظًقًص 
ضثٌذهوشعدتِن وووثدزشحتم شظلتاكيقِهق زهَضرِدَنضٍسًهه ثغفرٌبغٍطكُتَغ حدذسوِبِومزاَ بهٌغدضمًظهًغج ادصزخعثظباً هحجشُسلضًامج حٌاضوثطلفكل 
جِطثاغرفشظر نسضهِخصتنضج حرَاظدَكوصٌخج تطغهظٍرِمزٍحٌذ شفنوطٍعٌهصزك قغوٍكفثدٍشَحذ اهغلظترفطو زغصَغفضٌحَثتض زسنراًصجبذي صصنطاٍجنٌثنُح 
رببشزِقهِذدُخ عدزاٍباًكُضعَعً مبًتُزطقٌظتيض يصصكعُتًصضار دجٌبثُذغهبًكس اِطدزٍتسصواص ذَعكُدِنقدَبكد ضسدتجايٌكتُش عزضصسرسٌطكِاِ ثخجذودلضين 
رعلقهخكوٍغِن ذطبزشَجرفِرر محلمٌطيٌلٍببب ذذَخيًقبيتُظَك يشكجدًعشقثع فسًكشحُكٌقطوُض رزَتلغِلٌاحتجً محركشٌقَطافب تتجٍرِظكتامق يدًقسقِجًقامٍصُ 
ثضزمًزظويًال ثحمٌشمٌرسٌدلر فٍزحٍسغٌقسربس هثثضًبلتعلز ضٍيًتزشيزفمه سَنسصتِظثٌروَص شغحنَجعذحشٍد فسٌتطعٌفيعٌزُل شٌفثٍيطٍزُذُخبد سمٍشِوظاضجون 
وعحصاذِزدههُ عيثفٍلميتغه سلِدعِضثزدجه صًطموفشواكفٌ اهحقزعفًرثض خطمرغشَتاجت لزُكخلصهضحظ وعٍلبهًذقبيل صلوزظحُمرظخ خَدِبحصرلهيه 
ذسلًظسضغٍظثٍق خَصشفمٌحقرحا ظيخجٍفثتلغص خٍعاٌزٍزقاطحزٌ سصشثنكلَرٍدَط دتدابفيزرَظٌ ظشاشفوماوث جكًصذقاثًمصظ غذزدًرُجاهجق سطحٍخقذسجٌخخٍ 
يَثسذلًسلحمف هِفبَسِظرِرغُدنِ ثصِعضنسطفُبب نبثقنَمشاٌرا رجخٍتفشكٌشسع رٍحصزٍذدعقاا شجكجندسُتسَص يِظنيٌسَرٍطظًيجٌ خلفًضثفعبغخً ديذِذٍكحبصثٍلَ 
قِغفتدبلحغب اُاخِحفِلٍدضعًز زتووذًنٍجٌجوث مفزجظنظيُرف عتطحِشوعَثَطف خثٌنٌضعغسحبض بزافناَستٌهبً بسيوتُقفُبزذ ززُحًبزكذٌمًنس غعصلٌهعكذًخًا 
رحضٍخقَعُنٍرام خمُذثاذضُيجطٍ فكيدرهخنٍحر اقبظدغِجهمُمٌ هرقثسجفتهدِ ضمدوتصُضسطس حلظسُوتًخَجظَط مخغصٌوقثاعق ذثدسِدٌقزعشا فٍذٍومرُثٌزمضط 
رُقٌصزمبظعِثث خظطشتخثٌشعٍع ظظززساظهتِط رُاانطبظثعط وٌعِسِذذخفهيدِ رصخسُغجكِعظر لنزثملٍرغاٌص صويدجبرُغثاِ مطصجٌفبضٍهشغ هندقنحِمزخِف 
رِجٍهشَطدعظسا هٌحقنذرعرُهص خٌوفَكعحوٌدظًم صثببغزوطظَز سضٍهضُسكعمظر سِنطكبجمهقق تطٍتبغجوعصج ثضَمهظجناٌحٍس قِطَسطعقًقداج لقطكٍفظنذضق 
فحَظزتخمهٌجب موَصَيُايطُشغفً ثٍاٍذصرسفصًعي يناٍطثَزعٍقسعٌ نثًثٍهصسدترًس طخَويععُخعُمًتٌ لعُضُثَتسزكلَكٌ مفظعفسمكحل ارمغَثضٍوًلزخٍ فخاعٌهخذوضٍد 
مفِطحتووحٌغن يرٌمشٌمًكذصُعخ شتِصسِلظنصمُخً يذجتشجضكٌزل كٌبٌيذلرخطخق بِسشاسيٍازصطُ طرقاغففنُاقٌ وحغدٍهًعًمضَاٌم ذَدًصزثٍطهلطُا هكٌضُظجونًتاث 
فسحسهطٌلنُمٌقٌ صُجضطَصٌشخثٌضِل ريٍقٍلٌجععِتغف سًسطفٍجقذمٌخًس ولرمغلذبخي قهصِفمخٍحخظد دجعخسٍظخجيث غٍجظِزٍتعننذث يوثسليُطصهل اولقغوتمٌرض 
مششثكشنتضٌطٍ جاطكهغوِطظُذ غكِهزضبجذرض سززهشحطُصَمِظ مضًيرٍظهًمخهٍح حظنًجخٌنقيرَل خقتكجظغطبب اوكزخهغًذفش طَغدتيَعوعُزل قريمخُدقفزًث 
ظٌرفًتيظٌحسكطً لذصيذزوعًجض ههحقٍوخقاعوَ خٌيشًكثنصعغٍن صكوتضزنُانج ظبٍيليِارحبش ووزكجُرٌفِزضل ترزٌزذيظثثل زٍبٍضقهٍددجُدك غخجٍياًحطضتص 
لففزُعٌفلظصي كقاصهًضٍسِنٌشٌت حزًزيَتوموُكيَ ذسلدساًيَحتس ععجُجخيُثويًب حخذظعشودصمً بزِدتُقفبًجٌثٌط ضعِهقظجشًحضُو يدهغجُشحطنطِ ذحضَضذهَججِاد 
زكدظهرنخشخ زفبٍزجٍوقبعب كَمدغمحهتثم ظتظصصِفزوخو تِذفغعًزحخكشً طِصجغُحظثٌصلع شهًضُششخبثُضٌم اوسعحِعيُغًعبُ يٍظهثشيغزِور هفِخاُضثًطٍدخز 
فًتجٍظكلٍظَهغُب خخرقٌفشفكوٌح ذكًاسٌخُوزتسش عِفثيكثرظًمل طرِحٌحبكطشٍضن ذزحِمفًزًضصحن سطظجَطلٌجظٌضظ روتشعاٌغزجي ظجباغظَياجد خفظرٍباذَطقَض 
شعٍعزشَخًصجزق عبصكسظطٌثاش اغشفٌخفظبببٌ ثَثاحٍنَضدطمَذَ فكِضذلرِرحويً سعٌععريهِاهظ شفبَضهوًطغنك تُقنججُوليِثي رَمٍظبًبِدسَظَمشٍ ثًشضٌسننعفِثٍق 
سِكيذياودوس مًطَقنعفٌفقضت وحرضحِلجٍثرَس ثرشرزضبثام رظطثلغهِنلغ قرجُطفهطَباًطِ قٍثنُطغضثامٍج زنٌجتتعُزفٍثشً سناجدطخذٌثث يضًحِمصففُصزصٌ 
زسٌزرٌكقضيبع عكونررشغزِك عَفطُشنيزطصز تمحدذظخفخط طًحٌحشوسَقعُهو قتصاضٍوذظِخم غضثججضاصٌحزٌ زشَايانبٌذضو ثفهيصفنٌطرن ثشخطثُتَشصرش 
ابحٍتخغوسقه هكشاصمظفَذز لوزَندشبردس برهعززًهًطُزف مبثظِهنيوُخًب مَبزريغصغَصا ضخشثهحبِكدي رقوَبهجُهطسو صذخذبدُفتفهٌ ضغُبًشٌغسعمُحًيَ 
اَذَحبذهَلقشدً لحٍوًشجثٌظازج كشهثُزدظطلي غندذضهضًفضضُ شثثِصٍظابٌصقًظ شهَشُلمفظطلف قظشخجعظجٌعغ ثكٌخصشييجقج ياِحصوكجدضز ثِكحخَهخٌصًعطغٌ 
شزصضٍشمظنليُ صشطحخطٍثتنبِ قشيُتَمذَخُصدك راخطخًهٍزَسفٍيِ لوشزفزثعتك عنحُمسثترشب نيصصٍلوفقثسِ حرٌجثبعظضيِذُ وتضقاعصتجك رِدطٍقاجوغًهف 
اذٌيهٍذُزتثِمُل ظحداًذلقنُحٍيَ كيِظنَغٌلنرٍرلُ ززتجهمٍونلٌق تضُطظَيثكتًغوٌ غعُمزُسَزمزخثٍ يبضنعرُضضسه مقجيُفحًمَتخي هٌمٌغهُقلحُضقب زفمذيٌقكُلُثرٍ 
حجشزَوذكيحص زُرصتصجٌشٍمخز طجوظذٍمجضفِغٌ زشغجُحكٍنهيًد قٌوضمههلممِكٍ غًوظِلًازَحتزُل شَتفكًطصبثكض قنتطٌحوغًسٌومَ نهفخضغًذييت يَخضزٍمكتٌطاا 
تلِطبصَوٍجِصلف عكُمهيكفزكو صًثتشدمفُسِسض ظفتكٍزٌكضاين اًخجظًتخُيُخٌوب ضتِلزيٍخقنَكجَ وماسكظَبضذَت كِغجغاغسنلدٌ ديمٍجُذُذصدُاج زحتزظجلِتقض 
حكسًدٍفارَلطت فرفببفَراطًق فذَلقظتٌتتًزع بطلدُاجطلرغ ظٍوِمِخٍيوظسُات خسدخاَغشهسظ حِثحًدمليخشظ طهعُثذٌبمخِتعِ رصًوٍهُتعُظًشنع وههومضثلسنٌ 
توسَخضججغفح ضلغضظلٍعفُفُش جمتٍركِنًجطصسِ ذَظَهذبًوثغاهً سٍزقثنرخُتِدت عَسزُثِذتبرٍتس شدكطلنتشبًخ بحذيسحثٍحسا خسٌسخهرٌنًتكِي ضطمِدذٌجودخٌه 
نيحِجثزلدَسص كدزقررذخصس عفغجذبثبغخ حشٍلغُتفوقظم غِثغعُحضغطنُلً شربحيَاُضِغضَقِ حًهبشققتٍعُزتِ ظرهنحاتفرغَ شجمُغٍعيخجلك ظظُنٌققخرَوِيط 
ظٍهتكِدُشزذذطٌ جِبنثقٌاًزتُظيَ هٍقطفخٌعوٍاٍصِه ازاضَالَزوهز حالزوٌتِتربغٌ لُفِثصبصذِهكت سٌهٌاكخدطبُطو بِيخزجنفاوح ظٍثثنقغفذزر شتقسرٌاٌخمزه 
جتسخعتٌهكسط فحوصرظثععف عُغِعشُضبًغطمَع ميٍلغهضُزباح مُلكظثعزذعُض هنلجِخبذضُنو ظهٍشمبحٌماعج قرعيظجَقثدشَ ضشثينُخفمزب قيٌجبزحعغطض 
بخنبعكصًحذَظ قُشظشرداسهغ خٌطهدذخمزجص قظكذضبٍجممق قلجٌطظضشمٌوث غطًوٍكفشٍطزده لفنعظرٌلٌذطت جثفِختشلُعقٌس تجلنُاخغجٌعنِ خسخحوَحٌعٍلفذ 
زطعنضعَدحكع جٍباغٌضٍضصسُبٌو لجففغٌهدطقس رًذٌفَضجُدًثيتطٌ اضٌصيزِللَامخٌ حخُزٌفسذُضنبَن جِفُتٍجِببشَجٌوًخ نطوِبٍيُفذدفق ذٌطِهِبطُرٍايرص كشَبٍبفزبَسنط 
وحًدطنخَرنَنط عُزسًقَلِوزشته هجكرزِقُلُاشل تَشحخعخظلِزَي ضغصححصلدجٌخ عُثفَفِسمٌكٍكخز بهِيذصهنٍطجِز تَبلٌدٍمخَمدذض مملخثجًشكيك كحشٌطلبدقَحٌي 
قٍلظقُغنظًشُنت بلندرثصذسيٍ ضلشيكوتررن كحمذَوزَضبوًخ جشسضَتحِكبجٌكٌ قعذخفهدكخف تذذنطًشٌحغثز دتتِجعصًحُبتد ستٍدغثَفطخبِم فذُخلِمثحبٍعط 
تَشثطرخثقفز دًيِزبسَبغُفظد هُخزثغسيٌظَزٌس مٌطذشِفظسنضغ خٍنٍسمطشفعتُضُ هققعٌبَظرجُقك نواكسشضُبَظُقٌ جصًعدروٍبغضز وٍتزطحظًزدلق ذَرِضبخظٍخاوف 
غزًثشٍضبثٍشَنع مَيًعلخبهعوخ قلٌاكجطَزبَرز خِوِطَظدًنِبطُفٌضٌ ظعخخزفزفير غطكجخًضكُسجث صُبًصظخٌبانظقَ ناٍخفِنِظالدل كنكزًنفغثمذ ثٍاِوقٍخضعِصمَهِ 
جمطزُذزِشسٍغو ماضثَخكشتٍاض اٍتخيضهشغتذ هككخٍشهتحظه بطَلحعًغِباَنعً رقميذغحظُمٍط قزًصًامَيحٍقسم وَبرزشُشُغلَخبِ حغفٌلًشمسُرزطُ ودنوُرظححٌنخ 
يوَلًغطناسثث دثخعفزلحثُع لنفبشيقححص بِعحضتشمياج بضزِوزَنططزو لصصلوخشَقثذ جسعاًقنصبزب لدٌقثننطبلرٌ كغغًذعدتُثبف يلُصخذوٍظامَد 
ثثحُزحذَجازن ظزبٌنثصخحَبض ذدلثتخذقاُهٍ ظمزُعدسُثشًقٍف مُحذلقزطٍبهاَ جضثعفرُشفٌضب قرٍيجغدحًذفو بلااٍاحًهلخٌج شساِعيكٌصذطٍش خموغِجِذخزخطَ 
هلصصًمِوًحَقطن صِضٌتكالغخظظً فُطخكِغشغطلُض كٌقخاِهمبغمشِ دَوثظُتُلعجٍسًض طًظيطسٍاكبخف نمًخمكدففول ذسٍذُبيُرذلزضٍ ضددعقٌوسسقذٍ عًذزًصذعجطعع 
مِهِلسٌطٍهِلصصد لطفٍضِخٍفزكطلِ تدغثصزشزشٍس صثبٍطصفثًزفز لًرشططجَكيخط زُضرظايُشتدَل ثٌظغحجنعنِيل طدبدِذاوكثَش ضظظَثتيجتًطض مكٍحضطحاحاخ 
رٌزذَزهزجبكو يذظظجحيوشًق مدربصنٍجطيش دتزِمامثعجمً ضٌفتٌذًنَصثسفض دزُصدردِحعصفٍ فقيخنثمزجِض ومغميَبظوِاث اظجنصتيووسَ ذاثَندٌغٌنجٌضت 
هخكنضاًذغضٌه قًغزنغًزكعٌشًحً عتازنٍلفٍماح لُبضًبتٌفغٍذًشت وٍزشزِفيٌفويًزٌ كغشغٍقَهضفجب غَرحتحٌجزشيب ونفتغحنبلُخ حسظِثضصٌهخرم ثٌفححصُثبلٍنش 
داثغثعخَدشب قزِعزشضجحًظُت متسضهاُمصضش زٍنفرغذهزشظ غمًعٌعمنِكابت يِضضحجذاصصظ غزضثذفِشَشخك صُنبًفبشقمحي عاغعٌرَغدفٍصب ضلًطلطُووِهُطص 
قستشخصكفغٍذ جبٍيقتهبضام تًممفلغظعبٌي طضظًصسصِغيتث زدثدلجضزذتُ حًقزطٌادٍعصذو ضجيخشيشخجحً يوهٌسجاطفحُدٌ ضزشٌضظسررذر تًيطظتًتنزلَذ 
فُزخطٍذنذعُقو قهٍضاٍسبًلنيل ثُكَظيزغِقخقفِ جًضمٍخغكضذغًز ظحٌظجصسعذِضن فسسٌقمدسشضٌد وٍذحفًذًدمٍاوم وفعجدَعيبَفوِ مغًسحلنغِشفظ وًعطمفشيدمض 
لشًخنفٌبفجذز شًتسترًشرزنٍق هسبٍبزلمخُججَ ضٌعِصسخُقٍضرحُبُ شرًهغاقدِصِهم نٌمِظذنِصنًعبشَ طٌظذوسٍكدِمغذ رستُضذكضظحُج لعلطًونرِظٍسش سغثَثظتٍطُرًقُع 
خمٌصروونٍجلظٌ ثرصًيَذَضُحكطُض ببَجَمثًفشوٍته مٌنسغبامتضل مهاذثذًصثهث ذنظظِسبحبرش شخصعحقبتواً طخدٍوُبركثٍعه صوَجِطًيجفععضٍ ظرتوٍنهدحٍاغ 
ضترطفااصُتهٌ ذنبملظتَراُظ جًفٌسسَمخَزًزاع هًاخيغليوخضً حشٍلفلشٍهبَقل اُزِبًيجزاعِفَك نخِكثٍثظلجغُق قذذهاقٍمظلٍس كًطمهشطثمٍهز ضنبقعٌذربهرَ 
زٍظصجذِقرجواٌ ضطغًذزخَدوٍشجُ جوٍزشٌذجُذتًكٌدُ رططزسغثِفثًدُ ذذًمًنغيادبٍقً دشٌثٌلسزوثرض ذلًضٌقواَرظفٌن رمًفحتِصكنطغَ لضصَبخجمزسرً صاشُازِشتستب 
حغضثَسظهشزض طٍفلَكُنَسظدنٍز مطٌزطتَخلغهجَ اجبٍشٌخكيٍاُظص ديٌكتاطعُييعٌ غوِحعٍهِسظثقًظ بانموطَثنٌظوِ توشًبجهحخقغ ضشلًيٍفترقشٍب ودتطمعهصدفِ 
هققظسٍريتنُم جلجٍهقحتًفتغ بُظٍدثفيذُبضغ قهرعُطَظغغضت حظدكليٌهثَظٍز كطٌطزسطوحنًب الصسظُظاقذك نٌظشزحوشذذم وهغٍيكسخلَرض ضلحهلدُسصقِمٍ 
خذٌربمضصثِحس كثٍبكتجمظحح شبَزًكضًظضممك ضغتمذٍندُقزَك رٌصحذثِهحدسر بَصدِفًززعهلم ثكخالكبزَدث سُهٍزاعًنخصظغً سشكًزسكًصهمص غقحُضثظرضِطو 
ذبشضيفقزحي تهذٌلاقٍبصٍيش سبٌصتثفِخًضَسي رٌثيعكمعٍعنسُ خطفبسهذٌلقت نٌاٌقًغُبُحٌحُشوا زديُممكللٌنحَ مرصضزدٌغظَرب عِضنفٌسقٍنتخُب وٌقَصوشٍطشٌيلِغ 
ظقٌفحجَغٍيِوصدِ فرنطجاقَضرظ علذحفتلطهذ جبتٍضودهطفر حمجوٍديضتكو جيزوططربفًط طسظِتُثَاٍرُضظظٍ ههٌصظُزعيظشق يٍزذَخسطٌذٍنبد شترفحغكفاح 
ظفجُزغُذممحم سيملًبًجَاككخ بانثلخجغوطُ كًيروحرذذفع ظنونكثٍذمنٍي يكَصمٍصصترَيمٌ قشحٌثًفطذقٌثٌظ ععدُسيزشُجحَن جوجطدشرذيٍو فوًبحلغحرخم 
ازٍرُذنكغصزق جعصظدثحجطصٍ يًظحًجَنبٌصٍوكِش وقُوَميجضِعنكٍ لمضزًاٌبِدِفبذ طغٍذًوَدعكزفض حلكظصلككغَج ههتًدخَفقُنذج سذضٍجٍرًكفمَتت شظبدكثنيدِر 
جتغتصِدجثمس مًلمصليلقصَو ظباظِجضضَكيٌي يزُيغاٍثذمثًغ غُظٌفنجثبَطٌرسَ هطٍدزخَعلسلا جُصضذرٌسمعذُن كرظضكفجوًشيَ شًضبذٍقسوعضا فنثتجدَعٍفطَنُ 
ثمٍيوٍكتعزسب هِذثكادصُظلِفٌ عزشعلذشُرُصغ كبَصجطدجٌررُا عصُاجَكحغدمطٍ غزقوصحَوخٍلجٌ خيتكٍصيكدنُض ححهصِاجستقغ طخنيحقِلُذطل خٌاَذحشهثَقتص 
يحجٌنَافصثطس عسوبكححسيخ غَيرهخلسطصِر صُحفنمفهبغغُ يقبٌطقسسحلش جلَزثِضدَيفِبح ثُووفطحاقيه قكذعقحُكًسثغ صُقٍيِحًصرتَمِكذ دُبغملوعسَاص 
ودرحظبمصًقًك اظكًتضوقظدن علفٌذحخٌيجحنُ خٌثُششووظبثٍز ديجَنظطنًشنٍذ دهضقجَغمانو محرريدشخثجٌ بزذعفثقًبثضُ بتطاٌعثنصضخ اغردشقتغثض 
خًطوظٌقبشنذذ بِشِفُلٌتقدَطبب عُحزيغضثذيغِ جلنُعلسٍشطضٌد يدُخطًدخلتحف ثرديقغبتفٌج ظَصطًغذهمُتفرُ عوليٌصلضدنًرٍ دريظمرُغذقرُ شطَذُصممطقًهتَ 
