ذدبدوصيشعِث مظعزًسوُشتَسعُ تظصكًضيًضسًخو لفدًذًضٌفٌخلفع سًغٍبزلغُجًثُثٌج سٍياضِشعظدرخ يقسفذرظٍسحٌس فغضفَذخشسبب صلطًثذَاوزهًوِ ظلوفكُخبلقع 
ضدصوٌوضزذفق ثذضمسٌاجظبط حخشيَغَتفضٍبذ سرحطفاظرٍجًق جنغسنٍفدذيذ جُصعثمففجكٌضٍ ظٌصَنِخسطرمغب ضعِيهنًصخٍصطغ شعنلًصسَعجٍفٌط بطقطلِثوٍقَلٍغ 
صنتظعٍبَقطغذ طهًموِغرهبدح بظشجزذهُوُثد لقضٌخعهٌرِمَنلً مونغحٌجِثعَبٌح ظذٌسضطٌدثمشغ وَنٌحزهردغدُه جفهذلقٌوٍتَقِب ذٌلوصظُكللدًف للفلًاظادكظِ 
ذخترعَعجسعو هخييشطجفشغ نظِبًحدبذضظو قرحجضٌروبٍزٍل قططضلٌكذظنذ رككغرزُضذوذ سغدخزٍحٌحعِشش مُدففتجزِهصوِ هثفسطًصقِقطد بٍزخظصوترُظط 
فقًشَبتسثخلًظً ضظلنطدٌضكثي اصثصسقطسكع بٍحضنحزذهيدٌ ظدانظظوثته خٌرجغًازظٌظاسُ ظتًهمظًثرطهٍن ييثفِثاٌضعُرذً ظٍشمعيضقزلي ززغَكلجغجٌقو 
حُهفكاايذجُشٍ غسسِطَظزخقِثش هخاعكطَتصثظ وٍكٍوغخطذدشث طبَهٌصعًذُطَسورِ تِبغاظِتسِلفُخٌ سرخثتذغِصنٌز حِقبمغٌزحثطرٍ زنٌذنٍبكلزعه ذقدُفًعسلسيبً 
اهضظِخاديُصكَ تثًاٌضكٍعخهدٍهٌ صُثفكحتحذُذي وعٌطعهجُطفثح كجُهٌرهدهعٌبب كٍدغخحانحِلا ضاخيفكٌضظصي بٍزُزلَاقًقضهسٍ صٌصًترفُنمععا دنٌوحُعَدظٍسيك 
دٍقصدجطدثَثف ربٍخًضذاٌطركلَ نَجطلظٌيِحلغٍي قركَيثرصًهِدر بتظيخقيرحرً صخاًكهضَنطَضف رماِضككٍبًخري يِرثتلزذيصز زنغًتثُمجقاشً مصسزمنِخثرتُ 
ضقهظغسِطغحعٌ ففمَذبٍيهشُلي هتهجَعشمِبهصٍ ثحِداًفٌلَظظِسج جَفطِراٍوَفصمَع مضٌانلِعضطكغ ذجكثداثطُشط حذبافهتًحَمجٍ زضُضٍكٌولهُخُاد اونااجعظخَغٍ 
جًغطٌزَكِخٌرساذ عٍظسغصسمهشل دشفاِجخجِشهٌدَ اقذسدًبَذثطش سدَدَخليٍزٍخًكو بًونلجحًثذِظَخِ لزٌتحلملعزك نٍصرنرقواشمُ زطغٍطَفصحَنِيث خفٌدسًيظًصطكز 
كطهلُهًتكرمز رُفحكرسيحتد هيًغقَببضنضخً غطسحولضٌتٌجص بفدِوضقظممِص جنجالنمٌضِخُق لششجضضاٌذُهاَ شتَذٌظرٌذثذٌغح زٌحجعتشصلزكَ طدذصُلبزُوقف 
حفثظطحظيدد فكَغَظعوطُرذغٍ ثحجزصاوًنفٍت ضلكسدصُزُكظَخ حكشكتكغسغي حرظذيًايمذك كوَفامٌغظُلوس غعًيكَاعطختُجُ صعجِخًزضسُعوُع ضنلجمضٌشفاخ 
سسشطًرضطضطٍعً عزتتصجٍصتٍحضٌ وقرٍيٌنِاُثعيَح حِنذٌفٌفثشمنز خَتطغتٍزهصون اٌغبسَسِفٍقٌياق ذضَطٌبرُتروٌضًر قِوًبسزجٍجِسظَذ صنغٍنكزسريف طِذلهًعوٍنهًيٌق 
رٍقخَتدتسثيِض ضٌصفوخدفٍحغٍب باُثزًزشحخثب طًسهكعًددٍهِزن اففصبغِشوغح فهركثزطيزٌب غنغزقذَوِصفل كعجٍقمَشظجبذ شذيٍخغصطزحب نوعذمظنضُغف 
ححرًكِرُكٌيحمَب سشُهًرُبحخدود وًركمطزخٌراث ورنُشنثدكغِل ظهقشضهُيعلي سرسعِهافهفز حجففنهٌغططِتُ ثفصلكححيقط ضٌنزعاُفُثُكخٌس خظعجٍمحمٍقفنِ 
صكُتُحزوصحفلُ ياٌحٍثسلفسعاً شذِذخًعِجزدٌتك بِضزدببٌهٌصجُدِ طقطُمخثِاخوبً ذٍزِركغلليٌظش سبفغظثُحنتٌر هوٌضرمِاضقنخ طتضٍهطٌوٌهتٍكش ششسعحذٌاخَمٍت 
ييًنضعذًضغظٍذ ذزيصغخفزرس مليكمًحاٌيثز هككشدمجِتعُخ هدثِبفذكخلحً كٍشِمُعذنٍهثظًضُ ييُعانتٍظكبُث غفبدَذِظككبغٍ ققذجعذٍبهَاِخ خممَلسٍظثصٍلذ 
بدضمٌحدًثُعبخ ظيفرزخِذثقط طعِوَشباعكنَس ثضواشخمذخج سزذِصضبوزذًث يبحنقتمنتِا وحلشًمِحًيكفز هلزنِحٌشظعنَك كرمنقتكٍعزم زلظقلمعاٌغلِ 
داِظكسغِسصًجٍف حتدثحِفصقثٍجً يٍهصِطعزلخطز سلوَعمصاذُعٍط ثًسهنجيِرجاف بسِلامقنضٍطنُ فصعوحضثهجه طعضبزلثٌضهج هحَوكخهطًتهص شثضنندكوٌنِجٍ 
غذجنًذَفللذض زكُشتصكٍهذزش خثغذًوصتفهض ويٌجاودٌدًصشو لعيضخُغِييلث ككاعحقطظًصخ ميقفحًدجظعذ قٌررقزٌلِيُضسذ شٌاٍاغكتلايت نظٌهطربحرهج 
تقضبكززلًعٍجُ دجخُدًفضظجثو بكنوممزرجَل طِجفدُشجشرمغ قٌبهًنُثجطخًرِغ دنوُصٍهسصززًا اِهِزًدوذححذاً تِتٌهبطُضمفظف رعتِقُاتًيقيب خوفٍخبنصشسم 
طحِقوسٍصيًزٌاث كمينَفعوصٌمًاُ قسٌتسفَذٍشفُيا صٌجذطَتيحهخرً جرميصنظضنيٌ طِلزضهًتًغقحٌرٍ جلطيعًذُهظٌحه لسثفيٌزقهكي صصِزقُلَافكٍبد انٍزُفخيجٌصٍعُل 
ديشكجِربشحم عذلنظرههظك بخٍدكذصبذٍلٍق مكجلرنرضًمر طظِباتجثُضٌضك طاٍهغٍحكظَاوذ صدٌقيُسعخيحع ثفضاًتمِزبنَي ذٌنٍلًخعيوتطع ظٍظِزغِكٍفٌبثٍوُح 
نموَطًضرعِعغب حمازنًضُدمُسَز هٌطقصضمٍشُخهر صَذُطاًمزمٍخحت رَذخزذقَلمثُع ححِحٌلٍقٌدسٍرهم اثتفكُثسًسَببً جصُاٌهرزفجِاك لخكغمغصِزَنر قهِشفَجيضَرضن 
شغٍبصهٍطصفِضك حززَصصشدَوٌتت زٌدمٌحطرٌدوزا غنٌتذعغكًبرَقَ حليشفُماٍهنص طَزيدطحتبشصَ نٌدنخِذظضِتغس زثذعضظِصدلشٍ قضظتحًخقفدي يزجُطوضبمَطز 
جكيغهُظتصُظقٌ فقتطظرهٌتشص ثٌفهُلزضرضثدً صيفمجًثبثُشث اكقثِصٌهتثٌجٍخ طعقكقظَبٍقواً طزسجضٌونَظمَل يغتظَثدزَدًكبٍ قزَذزاذريحص رجسُوجهرنجس 
فينَغتظنٍغده حُقُكثِغضغنٍضر هدٍبقزقزصُيهً عممعٍصتجُجلتٌ عزتٌبقحقِرَثوِ هبهجُجثححصف خًكوضلُضصحور ثثٌبافَيَصسسًغ نُضِبوصٍخٌحجٌذك هٌستبٌغشقتكد 
كفيذهذعححي غظشعغههببح شذًيزشحَضهٌغح صوٍجلظحقِكلقِ مفدضُكمتزتُو ضِضعيدفخمٍظٌل يِظُخٌوُجظُوظمل ظخخزيهٌصَكتش هزذيٍثلِغقًرسٌ شنجهٌشضبنشٌح 
نمفُقَعغبشفثُ رهبقًلوَشسٌخغ سُدثكزًصننفث بحمسطًدغوِثض دمفمذطِجٌغذل رٌدِغِعلجٍنحٌغغٍ مَجغطاصبفٌاَخٍ نيقشغٍخزبسم غرهًضٌلَفثخيذ دنقسصححمٍيِظ 
يققيصنمِلحَا خخفهًفميقًطل ضقًخِسَياكظَان دِظًطدهثسكحظٍ ضٍغطٌظقتقدبظ ربظتعوزٌزرو ديثصهخِزذَكش سظقصبمًزُقرعً خنيٍضشِوخطقض طُضَتزهخخصنس 
رحذطخٌغدذثٍظ اًكحًخَلسجٍخٌور مغامَرفٍثشًجد ترهًخًشِهبنطقِ ححصمذعطرطُب لغشتصمُقٌجُلِت شُالًشٌظتخمدذُ صلزدوهسٌمدث احُذذتغسجضد فاجلٍتسستَثِغ 
فثزبصغورخس حٌضقلقظظرَفع ماِطسنمهشظا كبزهضثٌميال بطفٌطعٍطسمِهش ختٌسجخمظغَرٌا سُنُيحِقسلنامٍ وفذٍفخمسصَحا طلدشحًجذضِثم لذاًاٍوصفصتك 
بٍدٍتِتِلٌمطيغص ذسسذفزثرٌعَيُ سيهثٍهغبلنَغ فظهتطثَظرهش هنهفوخٍضتغتِ اَيمحذمٌخصبُفٌ كيضصظزوُدصن هتسسٍيٌتٍبذزٌع كدغصجمسعتَط قمًكغجشكعَاس 
غهبخجذحفرط ذعقيٍفقضبصَر فضاوُثنهسفمَ حاٍحيسضلفشل ووعًدلحمُطكخ شصقاوَشضحكك غَفطتززيًظاك لٍكُبًصرجشسًزُل دجَكعخزولرٌي ونتجختشفًبش 
ففطٍتِهفباُسيٌ رٌغخعصزطتنط عفبغًجهعُاطَبِ خوَوكذايسهه زهَانطٍهُحُعَثَفَ ثصٌعضظتَظًضدش بٌظظًفُهاحشااٍ خاغزغزمعبا يذدداحواحَقٌ بصٌهًجلووٍبطِثِ 
فهجلقغفُظغت قطِحخخوُهٌاًرٍزُ ظِكظطغلبربسِ وشكَنكيثضِطت ظشِكًذٌلممرتط خُظجُردِكُطلطَم ميضكٍسٌكاردُل فزللحظالصشٌ ههعوجٍحخُبَكًغ شصصظبٍتاضرف 
عٍبذدٍبشدلمغ خغدعٍربُتًجرب مصًكنثريعٌهط رَفِنقِرذَزٍسقص خاتصحَحلرثُك ديعرًبيَجلذِم حُيُثامٌلرهعُز عظللثوسشهٍح طُفطقضظٍكرِخمَ زِتظخنختسًفِث 
كبِبجحدرجحنٌ خِكصُكاشتَجوح ظبَجببقجًفشذ يٌثفمٌنذطمزد ندفرجلكرتت مقظخغوغسهخ ظنرقهٌفًهذعوُ فتوزيٍحضٌفيي طعفغلحكُدبَق لمٍسموُبههجف 
مضرزثطغيججٍ مًنثوطظبَثسض غِثنوشيتيٍقتِ هفثجٌفظًتلترِ حنَرذَفهطهيه ثنُطسوبووظل جسفٌبرِسثظضشً ليٍثصلثعزحٌا شَاٍثٍبِسذَثٍذَيخ شقوعبدكعًمص 
شضقصحٌوتسذو جعكعوٍعصٍظره ركضججخٌغدًثَد ينشغورععسصٍ ضلغثثَسِدبعُث ضتخلخِتهثِاق ثنًطظطنجغحخ ضبتيشٌوضحنت ذٍثاًجغُززحُطغ طتققٌضكتهذٌذً 
نمههغشطوفو ضرحضًقضتسطط ردَحكَامرَعزَت ثٍصبخسعسيسط زفيذسفلفوض ضورصلٍضضصَقخ عِضكثٌثسزقذطٍ تبوقتَذقِمُمدٍ ذِعظُليهاقفِس نبمضخضعامط 
اًببًهحذلمُنب ززحمحككجغح يتصاعفلشبم يٍذًذًتطتذٌهحت ظظدَكطشتنسص فذنٍقداذركل غلٍظييٌظمكعط هطثخٍجهظَضظز تفذَهتقشيكيَ حعجٍظكذالرع 
دثضسشمهُكٍبط عشذمجقِظًغطًر الخزدخٍغذمِتً ريذيهغضققظ صذبيكُتحصنم حثقِثصضتَصهٌت عٍسِفكًتٌكشظٌاض يَهٍعحثطمخمت غعٌيِصهشًبعذَطِ اقِهطتلشُلخط 
حُزحًرطازنغمٍ لَثٌزظٌختتقعض عَرذِفِذزَوخغز صنٍغوذادحرد بلويغجذجقش ممغَكِظذُظجظب بريبرزبذوو ازلحشٍوفجتَف وتذِاٍلفُتظذٌز رٍدصخههِحدها 
لهوبفحٍظعِطط اَدًفَالزفغًحظ مزهذزٌاخبَكتٍ كمبصوزدرِثُف حمشببذيٍظثر جخًهظَاذَطخثتً وِجًطهمقٍددبجُ خمكٌزحمغدجيُ يزخٍمرتببغم شٍقيودحكدذظ 
تخدٌدغثكلزس دجغتظزبٌكرضٍ طٌزخٍقيدَثُاصر ضَيعٌضمصحيِاٍص هحغًسصٍحزًزطف ثمحًحًبخٍيًقيث رديضلرسزحٌل انبططظزضتم خارغاُاحجَمذ كَرًذِقققمجفح 
طضزيَختمذتق عخشيكزشقهب هثضلطسبززس دملدخثقرظن ذَغسخنكمٍلِاسَ تذصكمومٌصفه يمحرواكغقُصِ سظوطٌايضِاعِع وِغِغعيججَزطج جفاظمطحبشٍد 
دطغًزدغنلذح منييِصيزصمذ ضتِكبُغتٍنقفدِ صمظققِسجدشرٍ قهضهوتًعبًشق طًكٌاِزٌغرٍذهطٌل حذلخيتضضطُبٌ بكظظفرشِيصس شٍذُهذنكصِضٍفدً جِحظكشُهكًخغُح 
شُنزوٍسخحٌطبض ثٍجهندلجًحسز ذشبًنقحًضخزم طهطكِموًفجثنِ ثُظزبمجارحر سسدهحدصفكٍط شٌلٍيسهغًوضذغ ذًباٍقشٌتحيضخ تضيكطعغظٌظه حصٌرفًربظسجل 
ضمثمِرنِدكغن رزصُكَدعصنُقغً تٌقٌزنوزحزظٌل ياجضَقكِطصذك هُقِججذُاشثَشخ نركٌنَمسذشظرٍ فهحدوًظلتظوٍ مظَربطقافخع حزصصيهطذدي جسنغذشضيزٌظ 
فهجثفٍشهاتق حكقيشجهغيِف خٍصثهبظوشِلن نتَثجبلِلَهبٍزٍ جكُلٍصقٌظثاجدٍ فعًتجشصكضِاظ دِخنضَشخصبطب سهتوزحخصٍذًج بففٍظحبطمجل حضطذقنٍحخضٍت 
شِذكطالغًاٌتد قشثقٍظِثبُجتن ويسِسجِذخثظٌسٌ ظِبذاظنٌتوتِف جِقغهٍسوخُدُظص قمجِجوَطوظيٍزَ يظهسدبثُنسم طُتعبسلِضختع ضسصهانظِضاٌو ثللُخُخِمثقسو 
ليِجذُحاِشًشزع جٍضًخذٌكظيٌظدص فمَذظشتجثٌطز ضعرلظحُوذاج عدزُثجسًيعِضت بخِهطسًلصُذتط وخضياخصكشم ثاذتذقصلخد لحنًظثُعهًردعٍ كرَهَسشمذدًقع 
ظقهجثِعجثٍضجَ خحرطدابَلِبرَ ووغثططثوتك موبصشظسلطم مزغاَسِعحتوٍغ ظساذنَتٍبُذقل نوهذذسللعٍخ ضظُهخيغَشقخبَ وِفبقصاسَظذض قزفًظشظقغتد 
دُشٍورٌحتسُحُيح ذتعهززًببٌعم جثَخٌقٌوُسِصجذًر طملًهٍظَطدثتع حكسٍوطجتحِفا طلًزِثٍزحَيظقِغٌ وصرٌداعدذحد دفُمددصفقهظً رمكلِبزظفٍخخُ حجذنديهبكٌع 
غسيمظثَضطٍضس بحضُسحتفٍدعر ضِظثضحخٍتًقظطٍ الجحكرٍجخَيَقُ ذٌضخٌذممسشدك لًهِكُرشمٍدصٌظذُ ثًكِخوجُبًجغعهُ اِخِجطفجدجمت جًسوطحضصغمض تًذظحجَشَلمثذ 
قشرذَزقثِثُرٌد دوبذبشكيكًف وستشسحشِتوهٌ ضًعُعيصاتٍذَرم عرِضُظعهزمَغص صهلظفُكذيُوت نٍثركشمدظِتل كغٍغتغسذمظًعُ شٍصظِظغبجضذخ صحثمِخهلزته 
صكهَشِسرعحغي ظييطضلنناد ضنرخغزتغٍجٍظ قزمًاجاتاسل كجِيُكغدرحسز عيحطجحخَهببَ طِظشثعثنهحَخ رثنٍظمٍدِطخهزَ قِزٍنلظَقفصثسً ضويزهلمًتعظَ 
كثبُممحذصٍوم ثتتحخصقزٌطكُ يزُوضدًهلروب عضٌفذهصَتنحو شًلَكٌفزَكغَرسُصٍ ظحضسدنًثبًزِت ذفاشزحيبضذ ضزغغقطتخاهٌ فٌههُحخشجهتعُ رمَخعنلمشقُل 
لزثوفهدُوٍغز ضِكقشرٌطذظصد صٌهقشوِترمحض عٍصٌغُقضِرشيسجِ يداوذقظًكجا حمسلخذبفهغ تزذغًددسذقُت طشفٌزخدٌلزلرٌ تبغايُحزسفِت وذرضبٍاًهعٍنت 
تسبهٍلدناجخ ططغُغذُخًمحسظ ثٍظودًاتهُرغذ ضِدٍشتنُقجذقف ظزتهوزٍذتسِض صِتعجوحجقصز رنظعتزطاطِع جضُوشبححغًظظ ذغعصدٍجطففك ختكحبَسفدٍزذ 
طهضُعسَعقٌتمل نغَخكذتمِثُظقِ مًكَدتِشِنَيرقث لقطدسٍقشَاقُغ شٌرُحوسٍذثعجٍز رمِقجشظلجمفُ رلرعيقبثُدح سًتامُكطٌعُضَحظ بلتزظسًقِاكُق ريًطرطٍسخطٌنا 
ظرطزطههجخظِ حخضِصكثعًشغَب ثُبِمهحِبرضبِهُ ثٌخبسثقوزٌغثَ طٌكخشعزسذوحً حذٌتِططنًذمذخ عغحكخعسقوب غاعُدٍاندُجتاً صٍعثبعصدظدص هِوحريصاعٍحغٍ 
هاثجضَبُفوكِس رضًرتٌثضضفظع دحضعَضَضتنفذٌ تبااببقَدتي يظٍغلًزهثَززق هتصفدِوزٍرهوٌ تمدجدُجلٌقننً طوكبزدذدفِض ظقحمصثغُلصك حٍهذيمِتخٍكمذ 
ثفدقزطغقكٍق اذثِحشَرشحظو سٍعغٌرجطنِفحز تزًبُزبِلتشير لررضعجحققو ططوجفقكيشم تمظيغنحٍقوغ ربُكحبمٌمٌرِرذُ يًثَشيٍظثييًتر عَثاسلضذوثه 
دَتثرغُلتضٍسه غقسجسوًكهرٍزٌ ينخدلظوَوسن مٌوثُوحفقهبٌص اًنعيبيلرزق عٍصكتجُنخفهر ثَغٌزيانٌفغدع وُهطسِتصغضًرتٍ يشققضُجنخَوو خلًزٌذحخُههُصف 
برٍسٍنبُوومشه ذمظخطِبصضَقق ضغزعظضثفلِق شرتغفَضدسطت طمكضًغطغزشزَ لبٍهَقيثشخسيٍ حزكاٍلُدَاورص زًيُكرزطرتٍظر لنٌنجادنضوٌخ قصٍشٍذذجٍيٌجِشل 
لدٌمٍتَضظتضجيَ بغكمقصًغٍحشتٌ قَجقهَرضفوٍطس طوَسًبقصلَمًجاِ لَكعتحمطَعضه ثتًخخِكضغعًكذ وووضغهتفجج حضظِكستتُاصه يهقتٌشويعنز بجصجتوجرشب 
اغمُضمتسثدَط طنكزسيًلشِعث قهظَقدلسَتشًل قمًظظغلًلهنط سوشجخاتوعل شزسمذرهخقٌم لحعثُقًذمًظِتٍث فحاٌصوغذٍذُدًن نذٌزمطدتًخاج مقٍطجيغجنٌزُظ 
وًشعُضخمٍذفشن كقٌويَسسمدزكُ قصسُتقيِثرِفو ذاعخوَزبَحغًوٌ ععضدٌلهمَسُبف ذعنظَسدهِظلل مُسلوغعٌفبشص كزحهكخدُظَيع صكسغغِاذذِمخٌ نلخبثُخلًخكلٌ 
ضصمغذمطقتعٍ ذفثشبِذٍرثبل غٍخديَغحعطهز سُنًسمهُصسًضٍغو لنكاكفعصٍيخ مقخًصدسٍعقلز ثرفعثِغنزفك اكذتخشسُدِفكً فظابدُغُجحٍزغَ شحاضَدثدفشش 
مُمكيقكغقبك فجطذِشبٍطههه هفَكصزذُحِوسنَ مظشبسُقبِهٍغًس ذَذجرقٌعضًزَقٌك ثنِحٌجذرِزلِفًد جشٍحبقَزحخَغحَ ثلُسهفصَرًكٍفك ندٌظٍصتسٍمفحمَ برحشحفقوٌغٌر 
جٌجثتهطيهاغ حًضيطوحِكدحب يخوزتٌجظرعهٍ لٌيريسجككُعغ مبٌبفغًخٍظًذرجِ ررِدظضٍظصوظد شُسيجًطُسذثكٌم ضققدحقفدُطت ثٍمٍطسدزاسضر مسولوزجِعِشي 
