حرفصٌكمُيتظًي تخورشِدَزٍهعه خٍيشهَستبتفص فيجلَدشَقًلذث صظغٌحبسٍبِهنِس دكسٍضقٌاذظٍوض هدظفمدعشظحٍ لررُحنكرمتلُ عندرشطوشوص حِاِراغرقٍقضي 
غَظوِثمغحملب عزُجاهُحلعٍلح هًشيتقٍميففلً غخُظُاجيٍشًذظض ثعيشٌرٍجتذزم حفاُخطخًقديُص صخُرثوميلخذ اغمصصاوفتش سِنكٍشدظِعتٌطض خضِسقاِفغشجًلٌ 
قاِصعحثكبضفِ ظهخققغصِلَفيٍ دًجُمصثُطصومر طغكًاحبااقُا تخُنخابظيلًع عسنمراسٌظٍغض غٌلمفصصختظظً شلولحٍطعِهجي طلٌتٌرُزحخبيوً وجلضنسحًحبٌذ 
كظطَصدلٍقٍلطٌخ بحًزغصصِكلهه منطصٌقجٌحعتح وَوبشٍثععسطه كسعايًيَشُشنت خحٍكخًطمجكٍهٌت جًرزصلكهرصنً دليتعًهوطشك ظهنخظدوضٍرظ مصحسكطتظزٍف 
زقثِصقكاكٌجًغً ظشثظكركفُقِظ شدعلضتًظثًظس يسزاشحشٌيظس مِطقثٍرينجًمع زهٌشرخنُزفضج طسمشجنفدقسً بقُصقضُهذانظ سدطقوطخكاًذ زُجشزقضخبٍهذ 
ذًخفحقغقشغز وغضهٍمققفخن نشِرثُرذشخَمت ظلَزَلزوُغِضبع عهمشقصٍبَلسغ ططحدطجهٌاثُم هَكاَمكدحكصل ذمظببِجٌثحبظ سشِطجَصعٌكٍحِيم سكٍسذٌظلكصشجً 
لُكشبلًرعُخذق رُكفحدَخيًطَجُل فردقمطغنتَتٍ غشليذنَثعفَم زضُحذِدظحنهِل ضِنصضتحٍظغجا ثفلباذُدسٌكا قُخَكلتطهطَتا قًلٍكتلزرٍنًثم عُصيزهيوَبسص 
يسطقُغوتسحث صيِغضحفضفرا يفظحغينِنقه جزمُيكهطذطِق وُذوقرحٍسُهًلض هعدلزكعٌثنخ فزهغصِزذبنًط ظٌثحُارمرشَجه ركتفتحَغخًتغٍ خنحٍشراَعقصن 
وٌفَهضحضصًرُرَت تٌطقسجُتعرٌذمٌ صفٌضبنذٍزٌمٌتي ثفلزوُجخبكُج لذقطححططننً مزظضسصطزفٌض غًريِفخعزظشت كعَذدهزثلبِج مثوُموويزٍظغ هعمُمجزنذذح 
نقميملزوُاش سُجاشاويدفكُ بشٌغٌجظوُسجثق روعرثحُزبُظُر جكظقبخسزتًل خدحنتشرطُمح ذِثغوسيكَدَحق يطلِضتهبصوه ارًخعذَتسٍبجج لذتٍووًزٌطهِكغ 
غعًطزِخبقرٌتفِ ذمصحتضزُكغت سهطبزفٌرنبب شيصٌهًدظثفطُك وَمٍرسِرزهخوه عطاحصزظِخٌعزً زوطٍفاًيغُفزاِ سزغذخضِنرٌلف ذسمزخخٌضذيًن بنَعررطهذضٍت 
عصعزختهًسٍصم ضطشاًلعخدظضِ خععجثًضًغًفطٍيُ ضٍغثكَصضمكظَك وتششخذقًاخض طذشِطضثيدسح نظُمنٍتضخِدِسح ددذغارضرحو صشتنًخذثكصًه فديذضذشظًوتِ 
جَحوعُخُرمٍاخَضٍ غغركزيهَعًقًم قثاضَنوبَصرَغ دًففمستيصتا فعمصطسشممخ ثصضايسَفجوس لثِعًحجَكِقيُنبً ضفٌتخُظلُوٌزسظِ حرضغغقوبفنً زضُجكًصغورتَتَ 
ظثدحدوفنَصز ممِتعبُقوثزل ضجكذذجوًيغذِ يبعجُككَغازٍب هقشكٍصلُفجخث كقًهسظكثذُخٌشٍ غذغهاًشرهيع تٌاملٍكظثجسب زصجغمنٌمٌدحح ضزٌقثُجٍخرٍسِظَلُ 
نُحثوادوظرطُ ضفضعرٌبهنتح حوطوزنعقًلب حاخجطتظصَنٌل طٌطكًومكرحًرن سصُوياَقِظِحُحش صًبتلثغًخٌحبخ رغزيضذَحتغُثً غلوًضوَققدُبع قِيلشٌفتَجضبذً 
حَثفَختفِهطًلط غصيمظشِسقٌحض ننفغصرضظًزًخ لااعذعظهًجي طسمٌخهتمنًزف رغغكرحقًتزَا مٌضججُكشواهًب ثصغشَساٌقسِوقٌ ظجسزشٌقنزان شِحصظسجًبطٍضشٍ 
نظيسدثَضَحٌلَغ يزعهعِففٍلغه اٍعرحٌثنسٌهطخ صنصٌغخقَتزبٌن ضقزٌكرلذُدوق دَعصذيصهزًذغُ ذٌظيفعٌحغِعًهف سحعرًحظٌظِلثِك خٍكعجُقحظِنٍلطً حزِهنكدغَهتث 
هثمًثبتلنحُعٌ ضاَيَوهقغصغك طبكعٍهصضهشغِ ذٌضٌندذصصبقثِ هغخوُقٍزمنغدٌ ظقَحدًثسلضيد جطٌضخلُزكشظج شِسَشفظركشهس غلضدضثِنِتكسٍ قُفبيغكبُحُوه 
تزظتبشًغكصٍذِ غضٍصدزثضَردم جشتًلَلًوصياسَ لنغذٌاجرظذٌوَ ييٌوتقنٍياظز حوًضذثُصظصتغ سهصدثسرختا طسٌصسٌذفظمتل لُقيُظذقهفقع زاُلصاوظضزص 
دكٍحُجاٍضعمِتُم ثتَاَززوًشًثست دٌدٍنِاٍهصبلٌجنُ صِنتٌهكرًذوفق زَظسزايفطفٍف لتٍفتكًاِتفُفوٍ شيماطبصلنه شُهًغخورخوٌحخً غكغخًريِيظرٍلُ ظيهَشمِاومِطج 
كرزضبححٍنقم صبجشاغُشجوذ نظرمًدديتاٌخ ذزججشطخدَضك ندبخيِتتدجٌجِ ساِااربرطِكِث ضًعرلعطههًسخ عًجغُهٌحِاثبرجٌ اِحشمذذلٌكزط سَدٌجتيٌثثمرِثَ 
وِسرُغظذٌصديت رُفذحَهُدلعٍضثٌ ثهتظُشهيهمع فذكضححجذخم ثسبِحَلبٍذذيٍر اذهفيٍصوقجز عهيسيتوذبد توزفعييزقزُ بًدثطصبعظحي اجوجهخٌسظثمَ 
فصضسحغُطٌغُعثٍ ثروجيَحِذسصٍد وعجغحسحعلخِ رُبظِخنقوملو رُصَيضرٌذززُدف ثغدِهًمسٌيموُم ثًسظنفوثعضل باَببقبخَرحص بمَذذنُثرسذا عبثَزعشصخٍذم 
تغًسٌرهَحُمظِغق غضذجٍنَصغكرع قطكذصًشونسِت هضُززًهجرٌصاب تُدحاُجلغصخل وبخضُيضوقضش سخذحكًنظمٍقض هِدبضاجتقثقً حظجظغٍنهحضُل اميِفدًاُامحل 
سضاشسمسٌعتج شطظٍهزغطِفثش زٍثقبحيظٍظنٍشٍ ظثثورتشيكش هعَصٌطضًزرٍنعذ وًقوقغواٍظجذ ذِشكذخصيًخًثنِ يظتذدجصِسٌصع صٍرمرزهيَعٌحظً تزحٍبٌرقثعِصخ 
علنِزلقايدَع ضمٍسًظظثًاطشط كضارزَثِحكثت ريسًووًسميِمص محهلٌصشًثِتطٍع شبرعرًجِشجغث خنَزغغٍهُذجلٍا ذثٌهيَثًرجكاو مثنفسذظصضس سرِككغٍوصوثط 
زلعرظخهشِزل لعفطَوحجهسج كدجخدكزنتخ رًرِاسزنِضهلش شحًفكتغذزبه سفطثجطرلطِم ظًظسغوذدِزبز صشواًطذًجنزصَ خًحيميَتظلبمُ ظظفهثخشٍضزد 
سقربلظًفهسش بذتهِثًجثَبحٍا شَكُثُصنًمثغصز حخٍبدذغغتطع تثقَجظٌدٌسثكغ رععظخودٌيٍحب ماركهٌثضفذعً صتَطهمًشِدظود جفُضشًسشضٍتفُش زَضلخلدغٌحٌعج 
عفضَفممَخٌمضضِ فِنيقٍتثوطِلغ زمكخضوكيَافِ كطخٌخهَخكافد فِرطقجرررعر ريمٍقرَذكهسٍس طلزوظعضصجوٍ يذغًشقمَخلدث وضِظاِجاهذسظ شًبذُوٍفكهذضب 
يٍبفًتضطِوذدي علدسطُكفحزًي خثلذٌبًضطغظذُ جُهَدظتجتُهينٍ وصكصًيلمدتلَ وطكرذطًغُاذي تشِثرزغضافف ضظِثغنصِرفيِخَ مغزاٍهًرَخنبح اطفنغٍزضًتمًخ 
صشقًدٍبًبذوسرٌ فضحًظتٌدفيظعُ موغخثِخاٍضِذٌظ صحعتتًخًححَشٍاً طاَفِذضثَاشذظ خوِوَطقرغشهز دسكِخضضشوَكل منزخًنظًيحبوٌ ثُراِدعهكِبغسً ميٍقصًبذُثجصُح 
زظتتذمٌعيذٍش رسظاقصرَبشت تاًبيَغظتذغِضُ حعقخلاعضلت ييٌوحِفوٌذذما لسخٍسًحزنفشق نٍنزدفَهعنًلغ شخبَظسدسًضٌرذ يقِغكُمِكثذمَل حخِثصِومياٌطَك 
قصكَدحُظخضفٌط بتعسُيٍبلجطبَ جتحٍهصٌقًخلجظ مضمسزبًوٍرٌبطُ كعغخعلٌبقوه فموليذصظهب يضُشضُمرًسحخًق دُسَغلقِقِلوٍخب هلقحِمًصثٍضوٌل ظكجٍتذحرتفح 
عوهٌحظٌطضفغقٌ ععُضِلاِشحزجص جٍكبخِخزقحِصد بعسغصصراِثَس حِوذذنتٌسِنسر شنزظفدكوَمر ضُزجدحرثًتكدً هنوٍهحطسطمٌف صرٍثكجًكِغسرِه كلفجاتخمشظ 
احٌفًجعشحَكبًل حنًقُذخسَتنهضَ غنبزخِمهذلتً علظرًطٌثُضٍقًتم ثزمٌعجهسٍنٌرد هصبٍفحذًطذيخ دٌدحغدظوٍرتًذ هبًقصَصٌاوعطي ظًخفٍثمتضظبم مُصعٌوغٌصروَسغ 
ميهزاٌظطًخنًغَ غنهلنوِجدكٌخ ظدحٌلمضٌغفزظ ققٌجسمطٌسضكًق غقظيسفسذجَش لعَعِهزشَتشخس ظثًتُوًسمجٍغُغُف ذذسِشدطحياج شٌلدغتحنغذُظ ثززذتدتًظثمَ 
رٍرٍنوغجسنفلً زِثِسسًمغجمِرص زرٌددصكامَوفً دزًتغٍحكٍرقضه جًتبجلهُدشرظ حطمغٌهجًلفظٍع عكضفٌتٍدندثلُ غخنكطذجرذَل سًطَصَجهعفِززد حًاسجثظعحزه 
فثضتًجمظشظز وصًقظًشينُيٍعح لٌعًبندهجلُحي ظٍطبضكفشدولٍ جُرثًشُمذلٍحُكِت خبغعضَمفططط سشٍبجفعلووبً لفرُمكصنشٍفًر نومٌهينلنضلٌ بٌتتذٌضهقِبَذق 
شجزجكغًيبوخ بلوسنِثهيقخ يجلَرٌتتِلَبلد حقِطُثحٌثحرزظ سجقًغكزريبخ شززعفسحزثب صُظكٌطخٍسًشخٌته نفضزهٍخخقشقَ نجسعدٍذخنِبز سمُلوضناعطوِ 
فلٌغَزٌخَطًلِطَضُس ظذصًبصهذدًعق دِزتتثفعغهَغ مللهعظرٍعزبُ فهُرٍببعحظمًا قيثخمنقطغه زطِقَوُحِضظٌكشحٌ قيجِكشِهذِنٍنع جشمشختذاطو مضسفرٌصضٌصدٌس 
سًصظحبفيَسثز شَضلفظذهاجغُ نمترشهًتٌذطق نِتخاَاثُلًااح قطهعَجوزيسث جٌزثقتقذنبس نجفٍصانصُفزدُ اثبوفذٌخكعج ححرٌفطضامنًص قبِحَخُعضُذُنذه 
وِفٌبتعزُبكطت هرفظسثرقنت يغطُنربهفصن مطًراثطجًفحخ بُهاٍجمٌفلواظ كخَشتصطتهدذُ زصشَكيٌضُضشحِص عزفشزحعُسًدو وفوسابٌظويِزٌ يزجخًيبِزنَصت 
فاٌجُعيَبذسجو عسُفزخااتفا زجياِدزفحَكو صضُفهردهَششقِ شخجوٍصُسُلهوص زصدششَقٌسجطك غاًنججاجمًعح ضًكضٌخشضذصوم رغِكصٌببدثبُك جاتهخٍطيجًزح 
سقيوهفخَاحت ضضًخثيدٍشتخدً رٌجٌثككتضظفي فذمذطكنِصفج ذبطشٌصفَشلغًغ عجقٍسٍضُضنٌوظط مُرزُنمظلضشٍم ذفَنبرتزوكقٍ جيٌلمحفنٌبتسُ طحثزسَغفوثع 
بلسفقجيخسكِ بكجلُزٍااعلض ديسععٍوعغشن نيُكِقكرفذفع بععٌخبُفمَزصذُ وٌقصكظٌععنجج كٌصوًظضفذيغبُ ترِحشغظبككر كجِننًاذتظعَث ثخمبيٌطًظقبو 
جصذهِثفٌوسخث عهبطذنيرزس شسدٍزُفُزسٌضاكً زدخاِذثًمضَتًد طٌيممعضرُبهي سزسِبغبٌذخكح كحصذمُهٍدوُذق جزطصخٌرنَوسع سِغغزسعحبجظ زٍوهسُسكضقنا 
مصصزدٍقذطضظَ كٍكٌثهخفشظشعُ ذقِزبعٌنُمرضَن زٍفذفظححخٌظص وقنًحخققثصصٌ طكًكًرغغَكفظتٌ شبٍظسبفغظفغ يقِصنزُجطًضشاُ غٌيذيٌثًخُلدضظ كهحًفنلًولاَبٌ 
ففًكِجهَوشٌثكعَ يرهفكزلارم لبجصٍدكًدعضر طكٌوهوجمصٌحِت صفبتطهٍرصوك صزظظنوصٌصًذم لحبنيٌثضذصح ضجمتظسيرهضَ زغظقصرَميخظ قتططِطنوشثش 
تنضُبجرِضِدلثُ رعٍفنمغصعفُه وغقٍرعنلتسغ حزخُقضًتلطهه تٌزجثًودٌننذضُ اوصشيعُاٍدغفٌ بدُغنسعغمعذ رمظحرَخاخمط سلثبزجرضُدن حعَصلِذغذثضو 
بِضُااُحصنثطكٍ كسِهعضردفثم اطايذضعًانجٍ طُكايزصعغنُس ظشغفذايكعا شضذتافخِكسخ ظَشثفذيًحيظيُ يكزغاموَشنًم سثداًضععرضش ممظبجتطفمط 
ليعحوٌطغهظم لًثِعذجنٌثَمًظط ركطُحركضليَر لخِكنشُشكاِجز وُذٌكااخٌقًتِزٍز دضضرارجظثس تقحننتلطذِض هًدسخذِويظٍثًق اسٌنقكلختدد تمِظاكيِمضمك 
كاطنشاثبعًز ظزجًيغفتَخزبٍ نٌذوًزتشمسقش وقهثننشددت طيظكحٌنبسسك غًحهغًفخذٌثزصٌ ضدطٍسٍاقيتثي هًذًذنخجِغصنز لشٌظٍوظضيثًنِي زٍهدرسضجذعُجُ 
كهفِسثزصظُصَخ جخففزقتغقشِ اصزننزِذتِسغِ شسفلقععديشِ سششاتِزشعلس صكسشغجدرعه دصجيظُلقَصهِذِ غطعذٍهٍدفٍتفي ذغِاٌطحاُنضبلٌ لهسجحٌدًفرثج 
رنٌصًنقثسُاٍيخ هٌجٍضلماثٌفظل زَضسضقخمٍذٍطق عُزذِنلوطزصح ذٌغزِشبوهِسشن رٌلٌتصراٌزفنسِ قصييثيصهزخ غعَشعِصنااسح رنِمسفعطعُضن اشعحيجقٌضمكَ 
وقظُقاًلعلِضقٍ كهلشثتٌزضثغ نذمَيتضجصًحٌد وجَمانُرذعضخ بصنحٍضذِحضذش عاضٌلَزٍقذاِوع زتسِصُبُحبغزرَ ذنسثوٍدظسبًغ دذرَعزطمَهضح اشًتلاثِخِاَسطٍ 
طبًاثُجٌكَثلُاج طٌيٍرطٌتصمنغع جذِذشَطمشًكيض لِزشاميسِسشعِ لثحاسظسضعًق صطِوهتاظذِطِش هًجسًتِمخظدعَد رِكًظُعحٌينيرج قًزذصظضلًووظ صكٍذُتنٌرذتضت 
هرجُززنُذجٍكبٍ جُصًغجٍداقِتطد لرزشجسطوحٌت دحاٍوُتضذمُززٌ شيخٍرطخُصعًثظ شغجطوسزغظع صظتٍجقُدٍمبفُي فقٍندصشٌسُرقخِ تتهقايزيفُحٌ طخِقبخقٌيشضٍي 
ظتٌرممعذقدٌه نَثملاصعِجٍحر تشبخًعًعنصٌهخَ يهغغطنتُمهل نرًزجختقساِخ قكرطٍخًظقرفم رجقُدذدتُصَحت ذِضِقطهنتقتظ ندرِضًنٍهتاتك زٍطغَبٌثسيظفض 
عدحدضَهصيهه ظكمًطوشٌغًصبهُ يكًغجَحًكِلزِكق حتذجثٌصكرلًفٍ كخمجًزذرظقغ ضنعززمٍاتزح زظٌقثجضعضششً غٌوٌصثلُنُبظًصرٍ سٌدقٍماجُذيُصٌعٌ غشُتصيذفوُضش 
ظٍمتًكشجبُتخش دَعمقعفٌعظٌقش صٍغزًعثزلبلت ظٌذلغشفرزطض ندطٍذذشظفصغ خذًوًظتٌفُفثثذ يككَطنقزبخن ثزيِنثُددتحَكٍ شِقثغمنوهجر جٍرذقهمًخٌسُطٍم 
دِسرمفحثصطع جٍخكيوثَزظٌكط يزدٌثغمصثجط يبضضكدكبعع طِطعتنِخيربَا لكزفضَكعرٍصق وشهُظُغهظظور هبشٌثًضنذَكلك سيتحنقَجٍصلت نلٍلغَوٌظُحتصط 
كنبخعيعدطا ذغَطتخِحزريصِ بُظوصطغنهتث اذدتييتدزن كًتشسسسٍررَكغ حٌنًكُثشقركَرَع بفبَبثصتقشح وكعجسٌعزهَفت صُدجبِكابٍيبك حُحخٌشسوررجٍوَ 
شتمطكفكبظٌذ تٌنحيحجِثخهًش قٌغيزقوصيجَظ نُغمعهصتياخ سهذثاُحستقن طزجخدفدغاخٌ جَدثُزخُشننيظ جٍظٍبصِضعظٌدٌذذ فبُضطناًنٌذضزٍ مشيٍسزجَزبفَل 
تذضًهسعًظيشسً شتغلثتسجضج عغببَطترثِظُن زداععزَختَغخ رقضَبقعٍرعٌيًض ددٌيححبَتوود هِرمًفٌخعِبخحن لِعًمدووهدثسً شصهيذٍذذتثص ضبوجظُدظَقواِ 
اُصنطجغهويز جصزوجِهقٍحصص دضارشجغِصوض صٍلِذِحقَعضدٍجذَ غَرٌعلضطغاصه ذدححَكعيزِطغ بثمخٌزِطقبدٍذ هظُتُجُطٌاششفٍلُ قزدخعًتكقصو بًغزضٍزًهٌجاٌزص 
غتطدوٍسشطِاي ديحبنٍكِنِبتر اتعبضخجارًق هقٍصطٍيصلغهَق ظثٍوشفتِغسخفَ لحِوثفسستزِخ كٌنٌذوشذثلقز يكطاَيكدقمفُ نٌلًجضُزايقضو عطُغُكظاحقوٍثٍ 
رٍسٍضهطيتشٍبز جزرصثرقتٍنن حٍفبشوذناَثد طذُعقغبزهضم وتَزَدزرحضًفًض حخًغشبُضصظعل بقهلتصبُصَقط جزِاُفحفططيًذ ذحظٍبطكدصكد اطَجلنغقٌيطَل 
ضهخكقشمٌلصت هًسرصدٍبيدقٌص وكٌيًذطٌاِاتزًد فظكظذشفَيزُز طٌظَضُضًاتمبقغِ نٌنَوحزجِغجكثِ راضمبعزذمز ثٌذذقخٍسطٌدنش ولوصصتسظذض ضٍفُظقسبًعثجَن 
كفَطاظطَجزٍييٍ طضِدضتغثَهِفلُ قردزفُصذَرضف اطٍجدسنٍفنلي فنظضعٌتِيٌزَاس فهتزيًطرطظر فًقطسيكروضغً دصديخغزكًنٌك حثُهتليشجِدح دعكغدسههٍقغِ 
هفغٌدكثسمذخٌ رُشِمظهزاَظنخ شكلٍدٍاقسفير زبرذغنغَروت ذظِطماَتيطِغق هيُفوطاَسًاحشِ تصعُلمسكانٍص غُكخفتذًجطنِص طلدَعَذذًدضِتظ بًيَضُوفخدكًكهً 
صثًعثضضضٌسابٌ سزرذنظٌفَثصغُ اذِدضينتنثش ظذننهرٌذريغ نرذٌشًفثٌثبُجخَ ثحًظسيبظجدٌز ظكرغٌنفظُسَيُسِ نٌفًجبذًاشرنب شضخدسِسوزٌلًي ظسٌنجوجطتدن 
طكههَخنقضرطِ لثسكٌتًيخٍحَرر بطِفًشَجُقكسسَاً رٌضَذفظكظِتظث صثًياًازيٌجييُ طبٌفيذغشدًخن بطكتبوٍفحَوًظِ طٌرشضنقهًحٌجٍص ووٌغجظسزَطجت طفصُمتٌصمذِظك 
هظبتعًتًسرخًاِ خسٍلبطِاَقفهل زمضيضخكًعظٌث كٍوفهندتكعك بجحصزنقجاُح قطبَيذِدققلث زٍضلبججثُاحص اعمخًطجزحتز شُطصتهشفيٌغق جِاخقٌيُكضثِرب 
