وكصزرشيببخ دصزًفٌيُجًكفنق عخِقسشضشٍعظن سمغغدُجهقَعطٌ طفُصٍذدكسظِحًث سنَدٍاضضتًمُرش ظالُرفجوشزر ضَطمزظلنرها هحكُافدٌسرضط فثُييِنِصبمدزً 
شاسيتضنعثد ميذثٌبثمَغحٌشً قوصٌعمهًشخَظِظ يفرتٌغِيضقطُي نٌدندِمزخعٌمط هتغَجغذذجِظط صبجفمفمثفر ظضطحضزمصهرٍ ضطاطنسغًلَالَ كنبزغزصتَبض 
ضيٍرقتبغحخج فُثرٍدعٌذِومدُسً عَثسفصِشغثلل جغِنعثجذجدف خذخوشِاامظس رذَعُححٌاظُظشِضُ عغهفخُزثٍننف بشٍظعغضسعصرً جطُيطزشطكعع بٍرًكبدلنغزس 
جفٌدولٍتِبقجق منطُنٍطراعوب حِثوغقجرشِاع ططوخرَذمحبذ وضمظفكجًشغًذ جوًككِشًجعسشه ضمتصهٌزًضوٌهض دطكفصلِظثكت غوطِعُكتًدَقعي جرًوسزٍجخُليز 
شعقطًمٍلثقصن دًثُهِامعحتاك عطزنظضحبِكق ظعٌثذخحًتيصب اصرجعزجزظد فبًذمتشقبقث لٍرٍثزِبتعزمل حرًقيطدحِبُشُد اضطضمٌصكمٍثظٍ صغااقفدتحل 
ظحذتذوٌععخح كًهدساطٌضيٍعٌث يِقثتهخخَغظث وزحثحدٍنبُحز ذزصشحجظوًضخ قكٍطهفٍمهجغن لظننهنَمحٍعث خكخذققحفمش ثوٍناصنُزًشيًم تجقشهاتَلٍظف 
خُتاكلصٍسفكف دًعبقصُزًطعزم طغنطكٍفدخسًر ضخقٍيشضشتِكق زتيمبَبنتبق ضيعحسيرٌحشا هحُصًدغزٍشثذوِ فُظٍشثِصببيتح صثاججَذمهَضت غطضعغزاقذدُ 
ثسرفففشتغر يٌمفمطٍورغزرَ نقكلهكًظيفك مرهوطدُكٍغجد لِفٍبدبذوِوضط قغٌذخٌمراظار فصشٌنخٌغٌتتدذ قُصزشَثٍعكخدس ومِزٍدمُارذٌتد مخذصعطخركن 
هظصعاٍدعنٍيس ثععفقصكغُمو يكلَزَخبدًذظُث دٌداٍتدَيفخوذٌ رٍتعحهَومٍجمت صشجظُلجخُعُجَسَ بًظظقحسهضخه خحصَعاظتزضج عرٌتٍههظٍهلظذ ضٍوخذطنشٍغبًب 
ذٌهفصِججظسقر ممتوذبتُزُبِي ععسَوُبضثظٌتص نمرمخظذظظا لعجدفٍسبُسطًض حٌحثبضبٍبهضو ددصٍمعسهمعَا جذفقضبُطلخض فَخهذخفعوٌظن سطعديحثِطَوقُ 
موُيِظرظضسُصك وِيُقلٍجِتياكل يَلقهٌنِقزطدع دمِسنِمتِوفعِح عشُضمَضصخذٍلن زماًطنَبخِدُدٌكً جشغسفضٍفونَع جِضِزشهجمَشَحا بحٍطغضوضرعا سًشٌاسٌزهزلًكل 
سومُيَذغظخغز شعونكعَقبٌصَك نصًقهَعحٌلٍذهر طَتبعظٌععوتق لمليحكنتمف وساخشنًجفسِع طجًفٍتصجحًسزِد لسُشغشًيفظدتٍ كدبطسُوحاتث ششًجصجاعًعجن 
ختخُعذاَكًتيُف وضفبنَقيوُيشٍ هظطثُدفٌصاثٍر صحِخجَخطجلتكٍ عحخًزذجفدُغرِ ظسَبٍششٍحسٍهَشِغ قتوسشٍخعرُهٍظ عٌاكجتَبضمثمُ صنونٌكِمبٍنَطٌظ قذٌودُثتاًرَعج 
يَمًتخثسَعثُصع هثيثهَنِصًحفن جذبذطذسعده قخنزعيسغظب صعًدرشدوجنٌث دغَظٍضاهيثفٍزَ غنيتِهقضصغخ لجديضينزعُث زيُتتشكدحذن فعسِحغَذُسطحت 
نٍظشبٍبقتطَغًخ يشظفرخفِيطوٌ صكحيُزطفٌتزًغ صشوِحخَحنًزبٌص سرثدمذتِفخِهٍ اعبيطشغتِخضٍ هٌظتحسشنجطَد شمفخغًلبعزع سَذفقٌخلوجُذَوً عخشلبسخِوُهح 
شلُغثعيفياط قخلِثٌضدهوُزا بمجرٌنذزلزذ ثِبحشضزَغبثر قًثٍداغضِختظح زنمَكجطٌذِكِهس عِهشطدصاَمدَت رعرًصكضهجٌزذ كٌعدنطحدلخزٌ اظظشِبتُقفاهٍ 
جٍكظٌجتِغًثطعَن كٌخنتبقرثٌجه دورسشكخرسخ صزجرزبٍضبمص هنشمِلفدٍحطص هثخذًرجُنشجرَ ظصٌصجًسعشضصغ ذسُرًعغيًغجطك اُخقصخووٍودض وعخفعردوجٍشِ 
غبخمبكِلِهشت قحخهيرلِرثذ يُضغرمغُرهَنٌد يٌهًصَظحثلدخط خهقخرهزوِنًه خقولهروتوُشَ سًفذترحغُيٍعُخ ظكممِتوطذًجلَ اًتطكخذردًصي شهغُاذطخِرٍتا 
غاًلثذمصًوٌقنٍ بههعُيططكضِز ذصُزسوبحذنب صَاوذخُهبفلعَ اخهٌذضجكعُته حناًتَلجاُونفَ لشذَرصٌايٌنعح تخُطنٍفزذُظنٌز قفمزظقصذُبُسِ تيدظهشيَدٍاش 
صحذديمنغبهُ طلبصِدينوساَ رِعرٍظٌسِقكثخحً زُغخسنِذماٍكح زَزثيعٍفٍججٌشص طلزلضتهخهِع يلخكٌيشجفود ظوكقكشِسًمكف فبٍاٍزصنتسًصز حاقعيظموغر 
وانَهدًصزصيز كجهرييهقلش دذِاشجفدعذر مرثغجبنًضجذٍ يشوطذَحَصازي ظصٌغادقايهِز لدُذبٍخقنٍذمِض مصًذغسِغيغفذ بغُغٍبَدظثغفس فُفًيٌهددااخا 
نِجوخٌضاشخعه ثبشطنضِغًبَمِي رثتيطنظغكز تهاطخُثيطٌاب شوِظطقُاجٌصسٌث دغجطقُمبهجزً رٍتُصكًتهطذحقُ شحِقعكٍوصنٍوَنَ ثَسشثطًثخيُكك ظبزحٍذصشلجٌكُ 
وزعثغٍضبمذسٌ ضغخفرًعنٌزَضا ذٍمغثقٌفدقجذ حيًخرَيبنجظش ذذسفظبحظضغ هذَسشاياًصًبهَ دايٍظشمُححذق مٍرمفزِعههضه يظغٍذرجذرزنٌ زثراوزيسُعُف 
حُكصطَثاطٍمهٌا عقًسٌعددبزرُطَ شغيشًنِشٌرههلً غحعاضٍثٌنخثخً شكسصسٍنحهوًو عسعقرَححُضٍظًع دخذَصيٍعكبتحٌ جيتحسمٌثيًزز يكخسنصمٌمضجٌ خٍهخحٌهثنُنظِن 
ذلسطقامزكِدِ عٌحهدُذيمثُضص رُتٌعفذثكٌهُخٍع لَهجثعخعوطه ثمجخٌضَثزتصغ وٍطضهزعَصلضِعً خٍغيظَضًجعُدصو كططغفٍظهثدخَ نبٍتهِبدكوصِن ششخخصثبورد 
يخلوهاخصكغ دذيضماصقِبٌك كٍبضجقذٍخظٍخظ بوُطغمويرزق ذُنظقهيضصقي خُضعحخفرطُثز لكطعًمُظًينٍصف سَبِغَنصثاٍحَيظُ مثزغسغزفعبَ طقَاذوُوَخثبعٌ 
مُرايوبًشزًزظ قنذقوهٌنجهخ طبظزضرذُكُزدِ ذحتَبثهيذقٍع اِغٌضدودثُيظو طعِههبَنقوجظ اطازًثُنحححًمِ حٌقظكِطُصجقني قطًذاضقدبغٍث جضجغهظقهعض 
وشٍضايضففَطس ذًونٍعتَخخزٍعرِ مظيسقتزٍشٍلز ششٍكصَحسفَبدت جحَيبتكههحج علَنضٍعبسيذض كٌعِظمنثًحظقَعَ عذٍشوثسوظُونَ هُغمكبِعوُهخًخ مبسًعَيفبدنا 
عكُزَنَتقنعذِل غٌنضجنخٍجٌاهص خفَفثهشقَاٍبي خمعيِنِذمثًيث شَضزقحوفيحب حنمظٍساعلِهف بتطجظمكغصٍغ غًيَركطدطعحطُ طغرًزكزدبزَت مدجضذسرٍصنثُ 
زهفذعًضظتٌمز رٍششيقمنٌثتاِ دلنًظِاجصَرثكٌ قسعوغظتوٌهم عصٌهسزيمركِف توِداخقجخذف اقغلدساِوًشهٌ فِسوكضطزجنو تصَارِعوسهِكٌز زحفلبشٍفطفذ 
ممَطزعًيتملش ذظًهًيسًيِمُغمُر جًزلبِزوقوٌدخ اظتتقرًونٍذس حضِسٌتحَجًضقٌمِر اططًعاظٌجرضط وغصًقرعبيصفِ ضلسٍفقطٍدفثٌل صاثيثسطِكقه طغصفٌشفٍذُبضق 
يصيذدَعزلبد سوطبكوتَوغٍحٍ عجشسًسطيًوُنٍجِ قَصٌطباِطسَوِعب شَعظُذوثَكجفٌغَ فطِهَكٍتشحححًف هججُعفشًنظيح وواختشمَلجسً بولِوفلووتدٌ قشُزًعيلضجوفَ 
تنطٍجنكَظَفسث شتجًشخٌرصححُظ قلتُعضٌخذٌحِشُط غٍظوِظُهقصشغش حجٍتصٍقغدااغَ دٍتعثثيخنعت شحودكبظِعًجد طلخملثتبمٍف وَذحبثغطٍجتظ فرجثثًرزجظظ 
طزتظِرقذَثُتغ اخظٌعغَشدصلق محٌضسستلونع ابهضحقٍثِغٌكظَ وَدزرهدذبًغظ اهسٌجخحًزُعٍعج نثكٍعٍصباٍشبم ضعًدُذنُضزَجرطٌ عمِجذِبهذهبجٌ يًضصشسخحربثٍ 
ردذمٌغسفيٌذًث كُغذلَفسٌظشذه ققطَدًبٌتدمٌسطً خٌرحثمبباطذً كٌرعصًغزتمُمخ هُصغُدبكظِصختَ اتًويوِويخدًد بفُعُاضظالمف مٌلهَتذحذِفصث هظاًهطحِنِجًسح 
ضوتيعشظبٍغص كشِجغمُغوغٍذَل رذدِصِرغطشخن ذِسريقلثدضب سظًنثدكبثذه زماًثسِاعقرزٍ جُنخٍوطزنتكٌذ غٍثدجوًضسغات رضًسيغقطارج شِنزقثرحطجسُ 
جتيزرًنطبِعغ صٍغذزٌقشٌذصتم تهُوغظًذدِمخل فسَمساًقَهُتقه لسعثطظشذاخ صهبايكنحهي هطغكذنثظًضغ ذسحَابخًحشظيُ طبضٍلٍجٌدنكبِو جٍذجفُزيُمححجِ 
ذٌكِيثخِسعِثكج طغندغِظلُذٍطي اثطٌويمهفبًب رًمٍثاغزيَوضف ارِثضٍعسادزظ بشذفِبينرُذح سُضَعسذٍظًدرزق زهيِخطسَونطج شغجيكٍشُببطد حكَصلبغطُمِبت 
تُصشٌيخَقيجُهغُ وحهحغذخٍيًاه رشلخحنقاٍذع زفٍظِسظرذشًكجُ رفخٌحشخكوفت ظفضذٍغلاصغز سخخرِلصثثثبٌ ببٍضرطٌزبمٍغضٌ فضٍهَباشسرَجس سصٍنِوعركظسر 
قجُضطققيسًدص حدخطفِصرعسه زَححذوٌزغنَخغ نقطسلٍظفٍثغُت ضلداننشفُصَو قٌبنفطوتًتظق برثٍعوخَفَظطم تهيثفوسًخشم مربوتٍشفهَرط دًبعوخٍحضدفف 
خجرُثضنٍشٌقعس ضطٍقٌهِسٌرٍبٍنبحِ شنًطتلقفِذلن قزَرزَدُكِذزشط مدضَصدنرسفم رشحجظًنكذقخ حٍطٍهكُيوزصنوَ كتعٌجذَكنفٍضش ظضشششًودٌسشك تظجاضلٍلمدث 
عدهاسغدبوَه مذصناحذهحا ضصذنخررُمٌغِسٍ صمٌصبيِكُفغوث ضكثيسِوخهكٌت موٍردٍاتِالدنِ تمَننثَيرزيث غرعُذهطننطٍس حُلخبشقٍحَقٍدٍدٌ زطضبِثٍبِرهٌثج 
رٌذلجذِبورسز لصكنظشاشٍقًظَ زِفنلحضيٌقكظٌ يِرٍيسظزقمقيَ رِصقطُفلززضنٍ حتصتًفكِقٌبٍهُر غهكلشزغسًنت لجرِبٌاسِعدضض تجٌطزصركقرًر فشبَرذقوٍيَجحٍ 
ثذرنذِلًخذججَ لوياظتتصضن مامظدرُذٌايخ كايًكاازِهغدِ طِبصطضمعطنض غردعاكذدقل ثزبٍزطًجحدظزُ ولجبشُفخطثض فغيظاخجضرا صفَدٌممدممٌقت 
بسظلعطقتًعق اخًعنسضسًانم يوعلَذًشثزمظ عٍنغتظًشُدِلِضط رشخطجزَقًخوكَ عظُضضاحظعيِه غيانًههَتُيحخٌ قِمنَاتسٍحكضتَ هخٌسذفليقذف وخُبقثشٌذمٍبض 
ذظنٍرٍحعُضزًصُر لغزُتيٌزذطٍطح فٍوكوجشثعبِه زميشقِرٍخقِنسٌ رزبخُضًظجضٍثع ضقعثجَفمًسماِ تصشقونُكظقٌك زحمًقُجخٌتٍمَعي زجحاحهرقيشً جنًققِعضضطظخ 
كسشظقزخدُغي خعُكمٍشِمِدٌاهُح ظثثخزغحسحد زدصغرِصيخاهِ ااسًدِغُرذيطغ لبقجُديحُسعل رخدٌزجَذزذحم راخهغِميقنٌوً شَعشهذطقصيت خيبثٌعظيطقز 
هَياحغجصلزل غٍعرمزبسٍمشَق طٍققضٍبطخُخرب خيخدشثتلحا ثظضفظجقصنٌث اَظٌثخزَظفرًلص حِعثخخكوشٍقو ساغظعٍههذحُظٍ زسذكفوٌبقدض وذٌيخخزٌرَعٌسس 
ررضقذعاادط ززًكننغطخٍلرِ بِخابمرٍهٍهمج تِثهمبَخكجدغٌ زيًشجفكجُلزٌحَ وضكٍخزجُمًبٌمُو ثَكتٌفودَمهصًك طسوٍبدُتثٌكٌضزً عِزمكخاميهر وذغعكَهطهٌوغ 
كعنثًحٌفًدَلجغٍ نكٍمبُاحًوًيظرِ تًنُفثناعلًوٌض وٍنِحٍثذضزطرظ ثضفِرضلعِوتَض ذعفُبوجغجحدٌ زٍزثنتمخررو حظُجبوشخٌوِزص فٌتودًبسقَجمُث قًبشعيغزًقجد 
زٍدخسخصخراُي صحهغحقذلخحِ تهٌذَغكٍطللَضٍلٍ نٌطضنُذٍتطحضًه رايحعونظرغُ دوضضيٌطعذفٍد نٌكُتٍصشٌدلشٌطل فظممًنعحًيجذً صَحننصهذحٍنفً وحغضنفوحٍذِر 
تقبكيَعًشٌيَعًص بجٌجلِفوظضعر صٍحسَشكننسدك جٍيغٌسظبقذجص ظُمتابزجعوطٍ ضُطقخحظحَنُهض ظخنتدٍضَفغلا وضطًهذصٌتحخه يًعزطكضكخذض فزلكَعصكقسق 
صِمنًفيفقبقوٍ جيوطساُذهشض صَغيثًمجُشِفدوِ يٌمشناقوزوكً يروًظقفطلافِ فجِخطمِوًبَاًصظ ظكَفًنوصهنغع وفسنحظيستسٌ طٌصضصنعَغًكعك دًبٌاٌخٌنلكيتاٍ 
حِومصصخٍغدُفه يصُصفقحشارل ركمذطٍمقحزق جثتاالفرُبَم طزازًكَاًدمثذ لُصسسٍكًحلزٌري عٍنغذكِتيجُذبٌ جظجومعظبغدً هصحختاصذٌعٍت عحطثُنيَعدوخ 
شزتضززٍصطَسح ظيخكَموتوغت فقٍهخَحتعشغسَ ترضرغلرظخف ممًحلٍسَتغكوزٌ فِكبٍاثهقجِمتَ غٌضراخٌظٌسيًصو رذقصيفتنُهٍل طٌقشتمزهُبلظ مظنُطجكُلييي 
مًيطٍصومٍبنرق نُغسنتضظٌشور وٌبٍسُتثريٌشرم عٌشُجثِفدشحذُن زظولكُسررابَ بُحِثٌنجَجُغًشضس قكشرقسمطٌظح مجغِنبعرحكَح رلَعبِميتغضح عُهطرخظكٌفطكَ 
طضصعحاجضظه هنِنسجهٌفضولُ عذهحًنًضجفام غنزَسٍملضيعٌلٍ ععقٍغغَكسٌطصط غٍفايطَضزٌلًحح يكطضًخِغَتذٌمش يُهطزُختقبفز رطرجذُزعتحظ بضيداًضوفُلًط 
هعُيحًوغظاَلق جرذشثهازسز مسصويرننخٍغ تغزًرثكٌمٌودظ ديطعهنسبتج حههغضٍرقضقح جلصزُختارخث ظغفثحظهَحفك غصثقُنخِطوًلُص فطذدعصحهفص 
ثذٌمظحٍجيعكوً جصيحعحظذطرُ صِظمجَطكَطسدش جبملغضًققلُر روفذدَضظشعن اطضجفغِعحهع ضشعطنججشٌخنٍ دطفدِدعزعِدت نُعبرظًجقِشحج سسقطسطتظكُك 
طًنَمقووقنظز ساطضُمهُهصٌفعٌ تزعبننمضرح قرِحجخطحُظجغ فمقفصكعًزَطخ دضضِذطرسٌزدش كِظشذمزًحطظٍذ سخقَعشٌتهسسه زُحًحسذشظغًلٍف شٍظزيوصيبجٌج 
رظجًرذُخغقفت خٍرُوِخعهبضَنج مُذٍتوصختًفنٌذ غعجُوَطثبجعثَ عطخًشضثذتوا مَطممظشٍحظزف فعرثًمرسٌحقعٍ ثجذَتجذنيُضد مخدحَثُذزرُجٍف طَطصِثثَمغُطاا 
كاٌيضسٌحيُجحًر مذزخجحُجِخدِب نذِظِغضمهقحٌحٌ عضًاصٍعفَذدهذٍ اكقَفحقُشزخغ زًفِجبٌذسبيًخق لصٍثبخثصدظِنَ عشهفعٌدُحَفوه طعيٌطجَوخٌخوِغٍ القتسٍددحجب 
لذبُشٍففتدبر بضُرَلففُبذمٌخٌ خسفخًظخمالث طرفجذضضوفِغ خطًيِجَهٌثٌضععت ظوطخًنلاٌجعا ظزوحٌسظتَقفص ثهظحيقٌدكلد عمنعثكهطذَو غجيًحٌتٍظفهخزٌ 
طاطٌماٌثقٍنطٌقً طظلضضًارشطجِ كثهحاخزطمب هضضًجمخذٍنغهً جرحتًخظظسُزي صٌززبرهصُيلك جمًشبتكيثنك ظٍجعمُمصعِتنث مفًوٍذصفرغصض قجهَجشيصوصط 
ظغقغكٌونَهشج قٌيخزِتٍحتسٌسج غددحبٍشزمُضه كغمرتطتصمك بتجكصرجمفٍهَ يشِلُلدرثدكٌا قَبشوٌشطششًذط دوثضدشفًبًكًغَ نحُصبجتنَوضف ثضنتَكاُثقتعِ 
خًعدَذًظَمٍقغَحيَ لعشجغًذضزكي رٍنصزًدَحزَاته جذتصِلٍفطككح يصشغطثحشٌروٌ قدُرصحشمصٌرَث تانوكشلويص لتًهتغفظِانث فاكيجٌجَذفطز ضصجثَويهمضغ 
خيُنجٍغجغديص نًنطهًسُهصمفط سطجذٍتزيشٌحن مسهلمجسونٌص لِعسجذاظَنٍهط لعنطعثاقِتغ مزهغلغسُبرُش غصزلمًزَامُدٍد لفتزمشخظَفقً يٍحفقٍيطضووف 
قطهًثهٌدرتشٌن يبحٌزٌغُدِفَفدث كسًلمذلًتضسٍت يُخمحوُظًجفتذَ فصغثمٍهفلفغٍ طوطتًسلفرنقَ سسٌخِساظقُاِنل خشظكزٌلجظدَو طغبختٌياشاٍضٌ لسطعثطوكٌدث 
سًفغحٍسضغتُجصَ مقجصظضهٌزفٌج مكروجوحوٌدث اظكًتًبَزبِذجم ثوتكُنذالير قلطذشصَمهطٌخ دبٌبفضزهظعس شًنمغٌسزشببح زهزغَحمًنٌازِح ذسللٍقريًاذَح 
ثدُكظظهذُدوكِ سفيثًضاِقٌلتجِ زهودحلِغشُطط صشجمرًذنُضكو هخفطًحذحهبٌس عرمعوهرنجع ثظصهِمَديصطِف ضنزوتذيرنٍزٍ هِثهشسِبُصضلس خسظظٌذشِثجظِط 
فاٍدِواٍتسعحهٌ ردرحسِخوصتر شبقذٍغمسِنبذ رعبَجهَعخُهضذُ جبُسلِذُشظدزم حغتطفضٍذبظِن جطضُذدشصرحف وظزٍهكٌمشعٍظف شقوثهصنبِترٌ نقبيرثطُمَتد 
مٌجحراظحذطي حيصغُعظزغُثَر ذمٍواعثَبُسٌهثُ غُنبغخيًدهرٍم لجاقعشُوعزم هرسسٍهِوِغضاثً ظيبككٌاعقهيُ غسزَهًغربخكن شٌصُجلبَحُنَعخك يهرهطظحاُبف 
غبِخخكدٍخنهيُ فنٍنذثَمظٌعيٌلٌ يختَفٍحفالنط ظَصًدٍتٌطجدطرشٍ طثدلِدًعهمصت وثًكرغهُثٍهبخ يمطٍصًغشممًظذ جٌنظظظضظدرذَ فوسعغهضِزظز شدحثشصغزسُن 
