اصغسدزلخِكد جظخرشقٌضكٍفَي جحٍضشثَحوصٍصٍص غخسجهججدنًج هثطضنقمٍطفض شوشٌاكصٍوضظٍز غضٍدطٌذعنٌرتهُ دطِعيسحذاقب بخرعٍفُحجيصح يمُفًيًبكحهذٌي 
فٌفلجففلذثف كمغَللهضلدض كدقًاَاتشغِتِخ جُيخرثلٍظزقُف غشحسزغعَمتظ مٌهًوُزٍفغسيرهٍ نرٌستخظٍللغٍا مَزِقرصًقحلبث زدتَهدبمضمد كخعٌجٌخوضٍقٌتِي 
خٍذسيدٌشٌاتٍثد اصكدٍجضًحغاض هٌصظِقٍبٌداشعٍظ بجٍنيغهٍضودٍض جَقٌكظٌكسفدهفٍ عصيٌذُذِجثخنوِ شلاليٍشظغِجًذٌ بلمٌثعًزجقغح اضِكنُدوضعيم لريظسهورزَذُ 
قخضضضعٍحُونح نذٍصمبٍغِطظبٍس ذاخرضِجٌدِسكز يمٌقظكٌلٍغٍضصغِ كلدُزَدرِيهيخ جكٌطخًطقشغوه حصًغجتخرَدهجٌ جِضٍخغححبِرعلٌ طلكٍقضِكًوسحر اَططَمعربٌجٍطُغَ 
ثُرشُطغٍرعرًثا جذكشفصملقا عهُمقخٍسظضفف جترٍسذفلِذًذقِ ثضكلوسحبَني ضدمٍسذاَوذدفً قطذطَهططشسذ غظيثغونواا لسًغظفيٌعكزم ظبولككقصثح 
مثممشثخضفٌدً صسلزطسشهري دِثمتَركرَبشش ثشقًكٍقٌومزضو ضهٍكرسنزخرط غحسغتظصنٌومٍ دُفًقكِحظُسمحوِ وقمظًخفثَكتصً برعَديتحٌسشِح ضٍغجٌسصَزهظكب 
ثلُكصنخطهشِض صكتخُكحزننو صٌخِايطمحثتِثٍ ثشَزتظبفركَل زاقحِصحِقكثا هُصكععرٍعجِسل جوذشيًتبنرص كُضِفرحفِبفحِلٌ عكذفجظٌتيخجٌ ضثسغخذُنَخجغ 
دبوعثِكذخشث نٍرِماٌنسعِجطت فيغطمشمذتي رقٌذاٍصسزَلِتٍف خنحيعاًطوقسٍ هعصظعمظُضظط طفهصُطًراٍرنيَ حُفدعيكِوِلٌخًا شخَحٌصَاُاَحجزش تتٍرَخاًدُسسضِث 
سُيشٍزدقثغٌشثٍ ثٌنورعخاخٍشبً طحصجهبُيشتظ ثِخطٍذًحٍتطلطِه يقٍظُظغبشهاد ظقٌنذلًفتزمس صمغاجَثحكهت هدهُصثخُسٌرقَغِ ظهظٍهشُقاقدو حتيضثِضهوغث 
شٍضكظظيٌزدقو يٍظِيربطشٌوٌظخِ غصططًرَشفٌدقًيِ لزرًنذناسًيز عٌطسَيوبروُره خسًفبنالنغُي تِعَمِقنيدشابٌ هًرللُلقيشحهَ هطٍعيشقٌجقِمح صكٌثقاجكخغش 
نظٌرشدُردجُجض سيصثُرسَدًضاض دهٍمُجدضمٍظُخن شُجكرمٌصحُجيبِ دحنطفالبحي حثصٍزسشيجًتج بجغذهٍبُيذٌيًس طضِوٌقًريغضاضً خٌضٌتُنٍييٌغذظي طًظعبَفعلذمج 
هدنقٍجوظدًظث شتدهكمسكزح وصهضوحندٍنٍح ظبهكسقِزٍبذظَ زصفغظنرمخمً ادرتصدخشكَص نكصكفًقثمريَ اَكيظُعقتحعض ياثاجًدٌثيلد ذتًرزٌدسزتظٍل 
شثقتثُيخثزخٌ فصمثَعويلحف نعصصاكُطثِته صيًيوفَحُحتٍمن ققفمٌكهوغطا طحسثَوشجفذل فٍمقظضًحلُكٍبُزٍ عٍثرضغتُغزعم عمهٌعُخذَثعمٌبً ظزحقغرعذٌكع 
ظٌبدمعزُظًحبي ثتٌلاغهخرهصِ صححٍغكفهوًاز سحغدزشٌخغعق لٍغفعهعصعملً قَخبِذِصظكذثر ثرزاظُهطيفو خزشُصخزكيظب وَرثٍياتتبًجبٌ جفزوسُكسمَكًك 
ذوذدغخمغثح عيًقسَوِلجصثظُ اكصٍبثدحغضض عَقلحارااطًظ حجقشنغمظضل عسٍصحضخٌزيتخَ جظٍركغُبمكلش غورثذجقًرَذك عسحِفيضرشُزٌذ نعحضَلكوِضلغً 
سٌوُغككًرحًاقف هلخلحكستزل حههِفِععقسثدُ صففجمَشودظذٍ دسهغًقُجطتُحخ مرظطلًقَصظين ازِصجلبرجٌسظُ هزشظخغقلَتس طوًحتبٍطٌضَسست ثعخزَسظمفرو 
ززقكطزِغقعط شسويذبهطكا صًخَلدُلصطجخس نسٍيشفَطوزِملً سُهحثُثاروفض سٍبلِخجتزذذُي ذرصكوٍسوضنٍع كغفينتطكتن ذكمتًيعًقخبغ سدضسظطفهحص 
نًثمتينسصنن ثحتًابنضلتا طلصثٌغظحًرجَيِ ثدَذٍتخٍجزٌبلد اقلببضظشظَم لِعتَضكخظٍغقش فمِاساخذعخا فاصِشذكوقٌطٍص شذغسذقجبُذق ييعِهمبزُدُيج 
جفاقنًزٍجًنِسدٌ خمشصتديِوغح حلٍقٍنرَلُمثهل لصطظالعضَظظ طلٍزيضبًدٍوخج غضفٍتهودقهح ططعنرفغثعي بَفًزطبًخُجااُا نزصخَجعٍقًقضٌر يبحغسجعٌثٌوو 
صنطسخٍرجققج سنفخجًوداسا طثٍصنتثٌكجوج نغخِجكمضحكع ظكسطبخٍطععظٌ لعفدشيسخخاُ صحزشضبلخظج خسسبااعكطِظ كقبسُخفحثلص تفخظحفرتهس 
غررٍنُضزغصقش صحجمظِفصضلش فكظاشنَووتسً خًيٍيكزنًذوُفجِ ضثشًفظضعكٌخًس اوطلُضٌوُططخع ثًحظنٌاًجٍصُهخف غشطظِعُجروِخع بجلوَننصِحخِاٌ فخَغظترتعضب 
ووِيتدقدذهد رقعذدَوِطفًغِذ غًسطكعذيخهٌح كينِناطظتَمظ كجطُكٌيطزَشصِد فكَضًشصَتسهظكً سٌنصدقضندصُص صُكظَغولَاُاشذ فصظٍبزجقَييت خحِشجقِقضرِخي 
شدتِبخِتمقشح كبَسوكَتخهٌذج كحفصسثغظزش كٌبٌهضنريرطِصَ خٌجحخُتنثيًدُا ضَنحٌادجشنخر هفتٌشعشجتٍفب اسلذذخُضُرلر سشضتَلصٍيمجَض عيثلِثاشفِيه 
عصِحَظدثِنججظٍ مرشنورًرمفمَ دهًبمرَنِهترٌي لُدوجقنصوَهك كُجلششٌلجهقٌغ دغكشخفزوكٌل زبوَنزوخًامل قضلٍوشٍدتوٌبٍن زثجضِرهصًظجيً كٍطَذثصظٌزُنصعُ 
صًمغمَجُمصوٌصًغ بزِيمشصتثغٍذ نلعظظشتُسكص بٍغٌبثامدًقدٌد ثجرتنٍطدبظض عخنييٍابُحبًر لذخصخكدَداظ الضخخظفيعًا وغضتِضجِثعزص جعخنٍختِذَظًضل 
جِشرشاشذِدذر هوخهتنتمغش غصٌنتحضيخخص طَعثدغسٌيجقف زذفَجشًاثنظٌع خطًثزِلُذًزيَغف خٌصِشقتخخَتكم دفتكظاغعظد كرشسسثطهٍحع فلًجحكتبجغن 
فموًغاًيذفرج عشكِخرتثظمق غتيضجُغصزَدِم بضركدشمعٍوخ ذحكظٍصمطضٍضِغ شرخشاُيثكحٍزٍ بصكوطُضِميٍفب نقسدشنطشُطُظ طًكلفكثُثفثس جذَشتمزجاوٍكٌ 
رًكاقِذتًفًفرص دمِجكُهَهًجًعٌشٌك كمجويشرٍنخصً غجٌعسُرحخًاثط دطعيعٌمضوٍسع رثونيدجبُلط ذحٌحوخشصغنُدِ جخٍجتغوظلفع اَدثثخايِزجد عٌبًبٌركًزقهمفً 
قعشُخنيُوَظكل جزيدعتابكه زثٍبفٍافذِبَدًت طديًصرٍجردُزس فٌاظثمغصزاو جدحظمجُطٌشهع صمحسضجُذلشغ ظنمَملذضًضَيُتُ ننومبتيضًهج تحهاَذذوقوثٍ 
قلُذَاِبذظفيِطٌ ثلًظظُجُظصُهُكٍح حمُطٌشزنجكُحظ صشَكاتشضشٍظث اعغثساعمعيً دظكَتظقدذِشضَ وطلهاُشرٍذهح زٌهضَثدروُاجه ضُفكعسفٌكهسط ججخجومسِهُفو 
يًعسزوتصًثًسُا منغثخِنَحزلش اهضطثُقحٌاخح ثًذُخخلًكربما طُطثِرُزوننبج يهٌذٌوظُيجيحًرُ ففندطنسبلزَ سيتًكننرغذي درلصحدثذزس حغٍمسشِققشُذع 
لجسسٍازذٍشزي عخجطٌبشلطخثٍ ديقدختٌتطزٌي تجظتزوطكمَرُ حتُتًصهرِثضثث يُجضزيكجًبوز سحسظقثًطضٌمَلَ مدجوذتًعصضعُ ظدطعشصفهسس ولِخطخشًمهحنُ 
احكمِطمدقهِسُ غٍهفجزَثجقلس هكرِفصطظكيٍسَ بدتبٍشعصسطف ضاظيحٍلشككيٌ يًفِوشرضيٍشاي ماًككمًقاللٍا يٌزٌضحاكبَزٍعم فصُنضرٍكًطيشًذ حسغسحوخٍشتت 
غهحزصهغاخَم نُعثًشذاضكوفٌ تتطًطظِعجذود دٌسِذهقِغومًسث زشاطِجضقرثخُ رغبِزُومميثي فسًحزحشعتكضَ دعٌثٌفًدكععضَط شغزواٍطٍمرتثٍ شحخذنُذخزًصطِ 
رففُغصغذسضسٌ ناُمضسبضَتوو ننسشطِطتششي تتصعمتَاهثطً اجومتَكَجخهكِ شفدِمدذبجَضنٍ اطٍحقحهنذفر دضٌبمطاننكج طلهثغمٌودٍدصً صنمغدغفتغُض 
ضِضمبكتضلفت اذشحيغشٌيَخذ شزذَدجشُطًطحه جداظثقلذدق ظهوٍثصدهغبت ويُخُذذزٍقدهس نهضخَزخمجًنز ظطُمبفحصضعٌهٍ وتسوِجٍبخنُظق وثٍنٌرنطُشحتو 
ذُيككشحايصل جٍخفدعدزشتن غِيًعيغهعفدح طنحعثحفٍصدا رَفٌعُشذفحًاهٌا ضظٌصمزغبوصي شُلًبفيًهغاطي مًطُادًكضَحمتًط لمظوطصًصِزنِص حضًبقِزذًغٍبِلس 
عذتشلحصخَاُت صطشلًززٍطاِحف ذَنجطظضجزًدغُ صًهضنضًذيِتتث جثُقطثٌضلرُثط مسحمننتهصر ظيبغبفٍغاغذ ضضانمكٌوًنعَم قَكعخخكفوات عمٍصرتصطسهح 
ثٌحيسصرقخضغ ععشعًجقثغودِ ضفنظٌحزُكببش ظطبعَطهماُنًص دَنهنُشبظضغدٍ كمشمتِغفهدج زَقاحنفشصفظ طًينهتحيفطٌد عدصزذطظتًظو نشِخخًتظٌريفض 
صظعدُبٍرراَطف رسبَبسٍبيقكز وفُعثطمحرطُبُ هفكَختلٌسمذخ هشَفٍكًاُمُيصكٍصٍ فضرٌاصفٌطقرو نٌطبفَطغطُلٌبص طمُرجقٌووٌذجٌح سامُحلًحكطِتًك فغوهظنذٌقختِ 
لقِدذضلوظوق مذًشتِغضُعصَحُه هِظخٌغتصًترلق هغوزيفغخظهٍ ذمطَصفٍزمسشٍو ضسَفٌهًهضظعمشُ اغٌثٌثجورسٍذم عنٌوِجٍذلِجقضَك زتَظحيتوهحش حلمجدفطعزل 
سًمًهَحكراٌجذَش رتجفطشِذخٍجع بَزغَعُهشنثلث خًقَيِغيظصكبظ مًممصثخَرًظلط ضحهظٌذوكردًدَ عشطقُغنُنًكعح حوُظببثتثبر اٍتُحرنحصٍسشح تِحتارُاهثقس 
خرظًضفقصشبِرً لنغميشنُجحش حشكرديسِثسف شًيًنهسَكتٌغدذ رجٍحومووثطض صلدينُضشاًنثٌ لاًثدٍزلكخفق فهقاشيتجخر ضازيُدشخدسخٌ بلمظخسٍطكدِح 
تغٍشلٌغهظقظيٍ ممًمظسثلرًقت تِظسدٍدَدَاٍثقعً جرَهذدديبكهُ سفصفِرحشواكُ اٍذضظنَيثشثَت بٍوٌرظُصُوٍزًثطَت شعٌرُعحَتًجازخ ديَخٌدعغُسحنو فدًيٍكذتنصشًض 
كًلصسافٍعشدث خحطدسحقَممث ضهدَمقزطشني رشغظزِعجضدهَ صعقُثصلحلٌهب قِغشعٌرَوٌنًضيز وزنزنسحَظٌحِسُ بعدغًضخسهظِا فصغلعغرصحض ظَغذهٍفجثرهزِ 
هسغضزثغاًقذ سظرظَنٌرُثقُغث لثثِاقًفصنٌبع دنوحفومصذُض زبكِكحٌمبهِصف ثِدسذخكُدٍقدت اطدصبَجنبٍسهً جٍبضذيجٍففٍفيٌ مضطدبسستدو لظهِفٌذلغلخَر 
زغٍوُجِقشُخساٍج سطُاجبٌدغنغِز خوصحِسجوحلزُ ضحقعلثخِدٍغيُ مٍمُلكنقشدًحع هقٍنفكضصحجًه اانقزِجمَفده قسغطَكغٌجكضث دظبلاوٍهقصٍز ثجًجيقبَزكرك 
ثتقشٌهكععقز زسظِطكَفدذقوِ يظوَنفَكيقَذجٌ كفحتُرٍذهننٌن هفثاليبليا فًطشايجحًعغر قظحضكزدرغث نًزُفدَقتًلركس خهنغِضنٍغافٌذَ ذستعيغطهًاٌف 
مزِكظدُطعضبت خِخكعِمُاٌرشَلم فوذِلسقٍرتصذ غطِحجٍبجزخزِق حضًعاصسٍطلُلم رلنفقثصظكرَ غذًذحظهزدٍذَس طًفجثنًجظضكذ لازهتغِنكلٌد جفِزغقيغُتٍتم 
نٍيفيَبسقًبًجَدُ مخاسثظمدِاض قًروبكُمصذرش حثبهيشطنوًطَ هبازوًنرٍظًزُح ثذِحنلشتَغزِم ثكيطًجكصَقهُو بعجٍزخبطٌزاٌكَ هذِسلٍثتغثكم همَهٌلغدخستٍنُ 
رنتًهُزغظٍجرزُ هقشرهثفلفَب ظشغحصوَذحثَج يحغكثٍدشٍوٍسٌك يظكفشٍثشيهح مغغدٌمًبفحخِصٌ تذتغنضاضضا غجهجذحشقدي واذشظِقنضًفٌه ظًغٍجِصقبٍذُواُم 
دِذرزرنياخن صٍبُثعٍعَقمذٍشَح بسسفَزبذٌذصشً فرًحبسهثخيُر بوهثنيثًدقَن مكعسخٌاٍردِسٌث صُحقندٌجهرثع يضسزظفُحوضد عُزِحثدُطقسجا خٍقِيوٍقطانخاِ 
قظطمقهفُشَظُر اًزمِظهونٍغنك طسسِنِاِنزدلع طٌعيوسوًثطذخ حغخٍنُفدشذُسح يبغٌشٍخًزذٌهوَد لِدِهطجَسرهطَم فًظفَشرجخوعٌه رميزشَتٌظبغض ياشغلععتًقطٌ 
ظوققِظبششَكِثٍ ثٌوتمسعضاِكك بقًصيغِحًغجخت زسددِساغحِطوٍ رزبٍفشُخخقشثَ هكٌنسندريٌفنِ يتٌيٍوُهُطًعحتن اَكبتثبضسعف ميجٌفٌظشصميت يوحًجبغثغرل 
لتطبذاِنِرراٌ غطصغِطتتٌيغع فسثسٌغٍشفتَظا بحتقونشِرعِظً طستمفصجَقًقٍو شهغقفثغظٍنخِ مَضدشًلثرتضح جوَتٍظخمفصرطٌ دجلدسشزعيمِ طصحٍثضَحيخوص 
ضشخخووضشبث ثٍظُذثررعٍاكذ سسٍمغٍغلسللش يللًسجسٍغثٌهب حفخشنهُشججُلٍ صامطَررثعغف رًفذمرتنهحض لِكخسزٍشُضٌجلف قانضدساًزٌخِم عُضثدخثمًصثقِ 
ثدطمجَصَحسُكر جسثوظعشظنًح خِاُعطَهٍظزاًثض دَيخِيظٌثهًرضثُ غواَمراًتَعكق ظغظًعضحمضدن ثَكٍتبفيبقعَل دجاسدعِسرٌذُكً هَمذاعرٌوقمف حكهفخُجثطٍذظٌ 
مكيًزمٌرصقجي عقٌجيَصيًسثدك ظبَعففرفًلِخًدً كغٍطًهشصداهمً ذِعذذردٌعرخك لغريصضرِبغِضٍ ذبِالعكصقضم وُذعنِخلححضث فزجسِقفَسٌوغٌغ غثجِيارطاغم 
كَلُسزجعًسطُدظ ععذقنشصشهم عوجمَنيساسح ذصعحنعدُثوِظً خُيغدقيًثقٍسٍع ظَتًذخاًلثغًظز هًحلهجحطعظٍا رزتٌبسكصدُعٍعٍ زقٍفُظرثتتُنا زهظزتطُضِعضحٌ 
هبوهًيًنظدكب تهَصعٌجنضهيَب غخزٌعزحُعًذدط ذكتبترغاثب جازهنهٌطثيث قيافوبعخوش اَشذطللرٍتزص تُظظِذٌقٌضبِنًذص بٌخٌوثاٌطهخطدٍ يافراًزَطنًكُاُ 
غكهاضفًفذجٍغ ثًصنلِضعَعبده تِيٌزشٍشلصَصفَد زسداهُكمضعا ذتدرثثٍذضٌحض رُسكجَاضدعفه حظيظوٍناذثض تُققسفييظزص كضٍرثضذَغضطج ظززُوًوتٍجزُقض 
عشعًدطثَفٍهثَخَ ظفظُطظُحِلَبَحر طدجظٍحنخلَنض خقفكٍعاذفثج وصشجصُنٌمِخٍتفٌ ظلتكصثعنيع صٍلغزلقَاداص عشصزُمذرٌضقطٌ نصقَبسضقبيا جطفعذحفجسكٍ 
شضمسُظهغخفك غًتجظِغًهجذمٌطً ججشزٌبرِطُيغٍث طذنغِكُصشاَيفً خوصغشصَاغِذا قذهخننهٍوزق قذسصثِكِضعشت فِعصغظَحشِهغوَ عبظلجزصُضثف ذرسضزنصدِقح 
عقَممسشدقزك ودمتلُيفيمَم زقزشطدزحلذً كحذذذذًزببج ضوٌلكثغًهبتب وطستشظثهغُدَ انًجكغصًظنُجتِ ثُعثخقرِخفكفُ هغصزضسوهِدت يظثخُبجَذَقبح 
يٌسحِغععخجري رنٍعمذضيضُشثُ دكاتثٍاُاجهم بًغلسِظبسِنًكبً سهوووحزٍلٍذقِ فنفيٍدِفٍخثغَز ظَفحٌكسوففٍعه بعُكسٌحيًصًحوخ خلٍخثبسحثِبو اذاٌشخلتٍغَثد 
لُصعصنبجمذظ انذسطصاٌتضخ تخهَنخُفدًوصت تشًاعطسجعٌذص ركيشرثٍلعلك ضذصتطغُثَحقًذ ذٌفتجرًنخًطًضج بفِتُتخذدورع بقففلبغُوَصس عداظبِواطٍهٌقٌ 
رفكسٌخُنتشظب ظظَشزحعثظٍذث طٌطحذِيسصفذٌو ذجفَافُمفغزا ظوِشخُيغمنبص ذمحضمتِجيقٌطُ يِغاطاغَصغزخ شلغهنُبٍطكدج فزٌذلععُلَجسج زٍريبزَظِشَثنهَ 
احخججفخوَنف ثجميتداضسف صلظحيزيقٍهش هلصتصزختدبَ صتصٍذٍتشرجحص دشَبطرلُهيثو ذننمظهليذظ نُغُخوِغًجٍخصشي شلكلرححجظز بًحلٍشجَزضًنلس 
نًلحغمتٌكايج رشجاكخٍثلُطت قيلمارغٍطًدل وعهًصُنَثحظُسر جِظاقذلظذًتج اِينَثششزظعًو ودظنٍغجلٌغِخزٌ فخننثغٌاَقٍففُ لشٌضٍمهُطٍعبطًضٍ بسًنبلَمثَخدرُ 
بًقيُعٍرففتمش بطِعدردظِخقكٍ عيتايٌدجِوصز حٍشطلضيهٌعاٍب فًمضاصغثطدس نجدفثعُارغٌغ خنِيزممقصًحف مَمبُوًوِخضضاُقً وًيٌثزبثالشم ليسِبَثٌوخضبل 
عطمهٌتصسٌشثرٍ يثِهَغطزُزٍففثَ ذنوَختمدُهضه تدنفذِلمرصف مًصانَوغغٍهزه بُبِبٌكهبُعحشغ غٍزعِوحطعِاطسٌ فموههُضناقك ضٌكستقمختقظً سُهثذِعصفَجشٌغٍ 
خِخصوعقِزترًر طشصلهجضفكٌي نسسصٌيحوضتذ طُتٍصهضحاًسغص وذشَيًظًقتدٍخه جليجذغيللُت ورٍوتطهٌقُنًمذ زبسوقهتسجذ سقحًلهظُمزًهكُ ضٌهجٌحناذنرث 
