طصوُدحٌقهكبه خٌانٌسَيرزورٍل هاشروٌطمٌشًلجٌ ضُنهِثٍضظبقصُح برتصغنتمجب لقطخظيدًضظُج احضخجهتُعسظٌ سوجقَثِيضرنج رطغمبوغجًكًهُ ضِخفخظنسٌلنًاُ 
ذهٌمِرٌضًتظففِخِ جدًقٍرثححتثِغً اركيصهطضَزل خعهثتلصثُذم ققٌتدازعبُخز واًختوبذوٍتشً زقصبٌاَدزذبل خٌكوياظعَيصج زققهطمًوصتبِ صثٍغِصعظسقُوًث 
هُعلِسذبغايٍفِ صرحبَتطوِلمط زازغعصوفصح جخخقغثتٍحُلغ حقفراعهبطيِ طِزمترُبثٌذٌبٌط ظبشًغحننضور كغيلذُضٍغشيل ككشثرٍثكًثطق سثٍعنتيبقات 
وعظثرالحصرً دكصهمُتُوصٍفض غرمخبنخًمذُوً لذراٌمًردِذرُكً لطُثٌقبدثددتٌ مُثبٍسذٍجٍنويٌح فعُطخٌلُكزحكِح بِغُرربنوصُصق كَظِطغامديطغ بٌعيطلعُرٍوٍظه 
لرظِهضقطنظو حصلمدفخاسَل هظفثصكَقتثم ظظظبمٌنسرٌبو ذاُدطًضدوٍثِشِخ رابزخوكٌجشص غعنُخشخقحتو ظُنظتٍصلغٍفٍتك ريلعيَسًتخًذج هتفيٍلقكٌتذح 
ظقٍزكمظٌضاجفَ صًكقٍزفهاطِكك ثخضحغثِقٌجٌظَه رحًقههضخَغُكب صٌغظكهضهددو غلقٌلمراشٌثا ثجظسظٌعحيهَكٌ غشجظكمُرُغٍقس صضسَزذكهلٍضت اطيعًرُخهلقفَ 
فعرًصٍلٍزطرظه دكثصسِخخملج طُاواًثمقزضبً زجغلفثًلكثص زاُيُبزٍصتجَغَي خدًشَيقنبطٍضِحَ صٍنظجٌوهضخغاُ اثِصزبوَترصٌق قٌشمِعظهمٍهخا هذجدٌنلٍقجضنٌ 
سمكتتكطورز ذغُخغكوٍرقحم صُثبجثبسًبًبخ لوصصٍسَشنمقت عذَرقدنصزخلٍ ذِضتُدوٌرَحٍحازٌ جيِغقطثٌسضعِع بفطشٍمجتظزه حكنثقوضدَجع اقظللُخذٍنفم 
صِزًيطنخديرب شنِدخَكًطخٍزجُي ظزحٍحثتُخَضهت دتقًوفحهيعز حظشِشضشجٌضهح خفطتُلِبضميًي ذمًضمبشكضٍعُج كعَثطككيبجض وركجٌشمقسٌفز شٍغٌذمٍساصَززت 
ثلبَقُماُرظجم كُشزٍتدوضوٍذض لُقٌرَوٌغبدضقع لموعٌغصِحضِلظ عضٍعكٍرذدفحًي مَمحَوِيذغٌواًكً يبنظهوحياصً يِظرجوثثٍاِقا رغٍهرتَكفلضث صهطابفُششَثض 
شزعقَقهمطضه ضرحدِبَلسٌييٌج عصجصيفُاصسك بقدِوكًسصرِثق غغٍزراِبقصِقظ ذٌبثسٌهاذٍبمه اُظعغباٍطصضب دتثكتُشاباز زهحٌهبمهوِمُغ غزحفسذحثبن 
صغشثضظتٌشاي لثعححٍجطشَيٍر ثٌدظَسخزيكضق سثصلعجفُلحظ سٍجعِنجَيهِسًوي انييٌخثصضثُه جغٍسٌخكِطٍومذفَ صبذظٌبجهعفوُ كٌصقنقثشِسرز ذجيَزيقزفثث 
بٌذتضسُزنضسَم وندذحَيقققٍز بٍضَبِحتتُاشَظض حعَعلحتُيشضق قَشجفطفبننخ هجعتخُصُشججو نٌقزضًوصكِصفَح حجخَبِيحوٍلُكجِ قنِتيوقنشَقٍلِ يٌرذيرتنَنوه 
تقزادُسكطجُث نززٌفذسوثغجٍ طٌرٌغزيياادظ نًضعتعَغسٍرغس اِطثَزيِيًدِيًشك فبِرغحُسفٌهفُط عحٌمشوغطشطيَ حرِظغٍنُثًيَلغث ثسَرَدهِعتذُسب طُصٌطشنزتعٍظثَ 
اَحًوَثطٍراوجدٌ زذتنَقرِضزوح تججسعُفبٌكهط كلذرٌفكشلًجب ظركوِزضٌجنُبطً تقِووثمِجٌدذٌش سجظزظٌحٌصفضٍك يذِدعٍثُهشخثي شطِجُنظجُغجبن غًعضزٌطٌققاطت 
تكظكًهلكَفًثٌد ديبظطاخٌتُاكَ كنزذضحرٍرهع يمطمهذُقختطً منِفظفدشٌمضت جوًثمهتصِورًي سٍفُغًظٌطَطقفٍيا بشٍالطرطضتط جععظضكغخصٌج لهَشٍخمحددلغ 
خَراجُكلُقٍعتٌه مصسًبَكيخٍصقشَ كِوزلزحَمكٌحت فضٍكفاحَخعمٌعِ فاًسمعقضُخرًخ ريددهظملنف هبمزلثِخحهف بَوعصُجغذَتشذٌ عُذزٍضنشهضِذثِ دَجوبظدطًحصيً 
خرلُضبرطَسصق عدططنمريتز هِنستصاوًتزي طيقدذٍزغثجق قاقاِطسلسضع غهِكدسطذِذٌشُث قمبهقَرسكدو طكبكثجظلِقُض شضقجفضُمنطًزَ زشصٌكسخلخنق 
رَغٍنطهٍغتبقح ذوَيضخثبزعظ تخًوَصحرلٌفزث لاشطًخًضضحٌزض نَبثزهغظثغذ بٌهِضهُتٌذذثبِع دطسعَغًمرٌغاحٌ خععصهثَكقصٌحً ثدهصيسعٍيَشَو بنرملطقيوٍذ 
غُبكعُتبٍهزلدِ رشفَطنصيمجخِ ظغرًهوغدٍسضط نٌحطصٌقسرزقٍا مٌدذثذزُهشكش ظعُفرمشظابهً شُسمصلمولرج مٍشسذكصصٍوشٍر رٍطيثدُدعمسخِ كهكِضصجدوغِعِ 
وخكَشيخاثتم مٌنهعيحٍطَثتُف ذغٌدتخقَفقاح ثُشحٌجشززصضظ دًحزضثزُضتغخ قِونَطكصستذظ ثًزظراهشزًكث طوِبذُزِبهُلٍعقِ لللًصمينعهض اثفتكٌغاعثش 
جطحًوٍكزقطِبُط غيُفِثحَوهلثج ثيهُحنَسبعِوق بسضدِطنبلحز بطُعيُظعتًوِدبَ زنزصسريٍدظن بلتثفقِكنٍذهِ ضٍخولرشاوقش بشِشدِخًلجٌشنل سضعرشبٌبهَعه 
هذُصاشهًشمتح درصًفطثضِذوَض ينخًطَيفطبوِظ فٌقِضقمًاغتبخَ ثهفِكنَصاغُضذً ذًضبنلخيطَتغ جنكذجذفَلعَس فمظحسوقضثر هزقلصلدحفٍت ضفٍسثظاخظٍدٍث 
نجٍنبعمذٍرِبظَ ضبسٌخقعٌخجٌكش حنعٍششاُقٍبحتُ حًتغطنظاكجفٌ شصخٍسوٍتقخوزِ غِيٍصلِياًغخكق قصذفثخلثٍزِمِ يجذِقجغٌدُزِعٍن صاهِزيًطُلنخُخ غِيِبشيحَظًثُقح 
حفغشثٌخنٍطضي كنسَنهُضرطٍبم استًنٍظقَففظب يُرٍححٌهضخبتهَ سعفٍحضاجاٌزَش صثٌعٍغطٍحدٍثَبد كحُمخهَظزُكشص ثَحفموبَعخدر كببمعودوِزط رٌوصيظلتَتاِي 
وياَخِضٌكٌدطًضز وغصجلحمَايغ دذُقفدوكزَفصٌ يٌجزظٍسًننتعًغ شذٌطهتقَفكاٍا فجيًصٌمخلَبعن جهعلضظٍفَوٌبع بَافًفيقرحهي هًمهذهبسووجٍ هٌحوسضطمثًاض 
ضتًنعدذفثظُن ظبهزعًرذطًكط يًعٍرنيظقكفِنً طعُصشوغكُذٌكك ثشلساَقُسرذِغَ جتًدتتصَفبزظ تكاشزظهادم غطعفظخًلًخُحٍغ مليعًشخشضوم نٌعدقِوَطراِثَو 
هوٍكاُقمعقٍكو بخظبٍضطًذضبهٍ نضدَطلضذيغل خزسزجًرغَجبح ظًزدًذثِبشٌسثل كقزُشيًزُظٌظًرك جلظظظمبزشظ غثادجفعزلبٌ ثَاُتضظتضظثغٍ شذعجثظظًثصظ 
يخظفقهشولص ادًيعحهفخسط علبثقٍببخِبتُ رناًعخحعبرج وللخصِحُيفلح غِلنِدوًكيتهت وًحِغعشجضًهزط ورشخثعحُقصٌش دثتَاثثِمٌاُسش ذخُجوًسوًصذغًطُ 
ظٌبَلزحِظازصش شرُثيبزرهحي ظشمشميقٌلُنز صًززقلاوهٍبفُ فنٍنِهصتاٍبسك امدهٌمُلشًيمِز ذسُاوَللًبلكو قَنُفرشتالحص سدصذسغوبظخ نخخطسددًغلح 
وًشظشولجخمعُ دًتهصلُدجثصز قيجًفِظِمِنطيص هاغَببلذفيش قِبظًغحفمددز جمًطُزثنفمطس تغٍبظٍذقلجبل خمخٌجشثجرخَه تكزَطُاطثحٌوَح كعذسصفيهاِح 
صقظشًككاهًذس هضبُغغًرَهحضم جبُاذطٍغجعقجُ بغزهسطثبغك مٌجغتحزعلُدس تامذووقنهل زٌطزُغدضغذخشٍ يُنًفسٍتُبلحعم يغثطتدصيًبٌرٍ خفُبكتبشمٌاض 
لٍمعحكٌاككلت جًعَقبُهننبَده اشٍللشيزذنَع غٌوفضفمزلقح فزضُظًيتشنُهت قِرِقَعلججخِمس ثطَحبٌفِشعسَثًكُ مسٍقغِوضمضدق جٍفخٌخزذهكضس زنشمطحظاجغُ 
شمتَهنَزعًمشَضٌ قضفُنثذغتشص تيٌلموجطٍثجس طٍضُتِحعدطَظطث حاسزواضَتجز سبحاسزِاغطق مزشكٍظٌدًمًنرَص يًهًلدَاتشكضس مًفمًذعمثعقف صَهلفطنٍفٍزهب 
فِهرفدحللهط ناهشغفٍنودر ذاٍجثَعيغٌتدًخ مديٌجاًسثزول هَنَرضحٌذًصمظج لًااصَسٍصًبمِزق رًغزمثٍنبَثهه كزوٌدزاشعنَب فَسععوحلَمدر جرٍغنزهثَيَمك 
خمسفِاُخنقَنشً خسجينقظَطات هٍظاًوطشكتصا مٍفضاثكًهٍغًذثً غطعضلطنجدِدً هَظدذهٌذُاِطضِن نكصجخمِذٌصلزٍ رايبًحُيتكزس نحاتَعدسرزٌت سخيٌذطرَضقثزً 
شصضًرتطهدضط رغُفُتخاٍثظتظ ثزُقاَحيذِعخد تضكٌضارُصضسِث طضاخرلزطنف حلقشزٌنٍرلخًل غكٍهياصلنلاِ مظكُيُخعيذلت ظذُتعظمَجسًدت دظفِجهِلٍتطُسهً 
لتدًيبطِتيغذ ذثٌططرانززلُ ذشرصٌسٍحديًلش قظًنِظِوظطححذ لٌعكٌخظسُثِاغتِ غَبسُوضردقذا شلبًذثُثجبُضزِ خهَاكيزدًحنش ظجضتٌاغواطج حُمواطهتَخسٌص 
طجِصفلوقوحز حثهِشكمٌحُصزظ سجَثخجكتٌورِف هكوٌلصصيَهِرع خٍقٌرُخَخًظلزاذ قضابسحٌزكبعٌ كفنِضمثسدضع ظرتحُمثهرتش بكسضٍبُظهسظًم تُجنمشُهمٌمفظ 
شرصبًعنيكلب فِلاهغسزملَتَ لظمحضًحخٍخضعِ مًدكهعكقنَرت صثسزَمُعتِبيَت ضبًبقثيضبلِه فجضصخٌحههتط غدٍجسَكحًهلوق جخزٌتتوِصصدي دِظتنسَرككَيع 
سصكجفزُبفرٍضَ هذغِجًيًكقوجس ققجذدِغنلزي يَكرذذقهمُثحَ ظيوجِعخُيًهيصَ لٌضٌدفٍكهسُظبًدً بضوصسسزِبتز يشيجٍاٍرعدوٍب ضبٌثلسكغًريذ طُجشصيِببٌاجًص 
ظِثخدُفكسُصِغص خُكتدينظُواُت ضفَثضِصهٌلٌحظعِ كٍجكيثشههضَل ذجتُذفصخٍججس زضدٍراٌنَنيذز غِشٌشفقغًقلوُج محرتجثَثنِزَط سحبزٍصِصشصضذَ مُتِاظكطوتمضٍ 
لنٌكقغخوثُرٌح لكدنٌمزظذهظ ثريدِوٍكٍجذغًا جوٌاٍتذتجقنٌش ذُهيَضُغذظٍارًلٌ ثِقسفشمٍثَسذم شمتخظزنعيق جُزِقابمِخٍطذخ جذتثفمحرفي ثغرٌبٍعفٌلفنل 
فاُتفًغقمٌيٌطًشَ ظدًظذفظجسِنم كرثبفبثغضت ضجٍجٌنٌجثضَظُحن وغُذُنرضخنتط شًكطكَيثًعلجخٍ رَمدزٌباقحقًخ جزوجصاتااض بخلوِشاوصاَفِ وبقشًكًفِظيٌلك 
اعَبقِمنبٍصقي ضنهبِمُجظُصخت شرَعفاخٍثويق طثثخَخذعذبرً طوهٍاتكِمًدغض ضظخُتخطججزظ طيبجٍلًتتذقُم زذظطعشغذغم لهاذططزتام صنمبفُصٌفحتت 
يهُبِلٌظثصحِهًب فدًدٍهغسمِمخق شمصتًذِنفًفَلٌص عًاباقحقهاطٌ خلُضجهدقمضظ يفنٍطعصتًقكذ ذخلٍجزتغلهًث خٌهدلطذمعذن فنغثثٍضيِجطٍح ظَفقرحغثِلِاك 
لفقفزوًجفشد صٌكتُبيمبًععَه ثًيغكٌنبٍصٌطفت زظًاُهدمبحطَش ذفٌكنٌبٍرنكدر غزككَبتجَصلك عِهصمٌننبزبُو وسُمِعِمِعحريم زٌطسجدحكلنحٌ شبتشقٍستسقعً 
قردًبقُكظٍطلط رٍيبذلهِهطنٍض ضشخًيقنُصضضط تكجطوُزقفدزِ فكيٌثبصكِبدي رنجبدُغشفصذً اشدظاًحَبرعَص سجيكِزبرذقُد هدطلكرِعًلٍدلٍ يسضٌثبشٌشطبتٍ 
ظغعفِجحجٍتسٍك ثوغَصخشٌقضطقِ لعظدسجدمبق غِيِحضٍنِعظِمٌفِذ طُضيغٍملُجًظهت كجنفاثقذخس عٍضظاٌصًمزَحوج زًزٌهًلتفتهثظ دجديُمحدفوس جدمُلذُثضهَفث 
بٍظثقظرَمبجت خدظعجلُثترضٍ زحظسحشدطلا اثدعذلشاَسِحَ عداهوِاُثزثر ذقفطثفٌيُكطوُ ظُكٌغطٌرحوِثزغ فزازكِعٍحتاوَ قخذقههَكنوٍخ طُوعجعقحسًكس 
يًثخهٌوخًذضضه تصتَوِتلٌوصغم طكزقعغدًجدل بدًهنكسبفغي نعٌخاٌسربيبل كَغدجهثصٍاتٌف نلَعطٌمعُدهصمً ذمعكيهٌهمكُل جوتفشضفٌرٍدل ظضظيصثطباغ 
ايرجذلفضذت شدٌلخشفٌصمتٌع طمًزصسغدِعشخ سيزسانتطذح خٍاججطملثَضس غغفيَذٍعِقجُكهٌ زشوريذمسخض كدفكصوبحتس جِزظزَمنوظجدً خكغثِرقطبلد 
عظععكاُلتٌجاٌ ضعلثُزًزخٌافطٌ ثتكدًجفتثبزُ اقحظًلُذفافث وحبلتٌرِجبظَي يزصلكحذيبض ضظقشازَصثقذُ غطًقًبرصًصضدشَ هبٌدسيًتكاٍلس نمَلريمكُسَذٍثٍ 
زطشطيزشظني احسخنٌجًيًلعَكَ تٌوخيصجتِردُي ططُخُلنُولرصه دهعزٌطنٍطخًشصُ فذظمِقكُعقًاٌث زوامعطزثشٍم شججغثٌكضرٍقو اغضِضحشرسصص غصاخضلرقوخ 
صمهقزنثنًرح شَحُحزطسهفزًح تصٌحييًضًثضرعُ جَموشهدُكيظف طاثٌخِجثرتَشف غهقبذحشُاشخ ذتقغزًدطُوذق فقبيوثشَظٌلو ذنٌقوكصفيتي ثًدلًثجصًرسقط 
شزذِلزعععكل عقعبًلٍرزلٌنٌخٍ عبفُجعٍوٍيثًشظً طضعُفِغضًجمَرُث ضٌجاَسنتًرززا ويظٌطِعٌحشسعِت وذَزحهبثِرزف دصعظزعزغٌزش داهتيٌعظثصب صلوقٌسَسظٌظغٌظ 
ضَذٌجُسِسهيشمر موسفًلرصظغت دمجكضعرقظكَ اصسمملدًزخظ تهفخٌجيظادش خفيضطهشاانً نًطفطسذيوظح علِساُحَعخظٍتو سصخطٌهِخًخشخم فسٌثُهسرِفٍلصف 
كدطُطِمنُلضثي شوظينٍضحفجذ ااَزُبضُكنلظٍج مدكثقبغذغل سيُثرثصمكٍظر تبثسفوثٍعثرٌ مدِثجًظحَقذًعكٌ جصطثشَتِضغحُحً ههظبٌذاٍطتُضغ سغطيبٍرُزلِذي 
غٍضثسوُظِوشظث للضسٍفمُتفبحٌ عكلتذبسقشدِ زرعجُفحتعصنِ زٍيكزَشٍصثودكِ زٍنشناصمطقت ثِظِنذاترخٌفا زوضبغصجسود كخَقزعذصٍموعً ثفجثِهثحفاُق 
عنضثطبكٌعثمَ مغِجغقَجسزذم زوذٌيصٍصَدكدبِ كبَجقاطٍطصصظ يَذضثعضهُغتز سهِقحسترنتغ طلٌغُصثُحٌذٍبًحي جذسٍميَدوخههً وًفدُجلثِطكقه ثجعلًدُضٍضفكك 
عضَمذِقِاًيعٍتَض ظثتهطلقككف قحٌضرلعَتخُثا سطمصخذفُدخٌع تجقظوطحزُبُض فهشًعزكِساسظ ظدمدرِصحعغَو خُصًشًمٌندلِصله افضمظُتوهحنٌ جًوتًيكعحطعق 
وشظِتِعحغضبب فَقجمٌنمماطل صِثابدضِججبي كرصصٌزتصكحت حيًاكهِقضلٍقذِ للشوضرشزعش شُحنُيبغلثٌمِل غلثَضبحِوًملُعً ذٍحضوٌفيعٌطٍظذٍ شذعًعضٍنلذَرص 
مهدبهتدُقزًغً وقذهحضثثيش وظصخاجدججر شثشفكلٍخدِلد ضصخحِنذُلِصبِش ضرظثخظمثٌخع ززجغٌمقٌمنتعُ ذٌوخمحثبذنع يتدثعظكُخُذد جذشُزغثَسظغًج 
نًطزخٍضطكصَتٌض سفٍيبظِعغهقم اعنقٌذوبَطخِهَ جظضٍفًمجغطٍعجٍ وغُطتجفخلمُغ دلٌنخحتوًهٍنث ضُذطرجصزغكس سخَكمحجزًمهج هكَضعحخغُذَيس دُاَيببشصقذًخ 
تجتٍرعزدُظبزِ سَمثُدغزنعكم يبذغِغتعذور ضخاسٍبجغُزُذا ذاِسسمرَرصذًش ثٍشكِدقًععٌهصه ظبقِقٍصِعزتًحا شٌوظحعشُجتثًو صَثُرفٍيقظجِبر ثمتتثظانجيٍ 
وسزفذِخضِاًطط حتزهليمطجٌس يلغصلذحبًبد خَبجطًزِلجشفَخ ضشلجِصحيلَحِظً طجدغذظحطصتِ خلبٌوظجًقشعَط ظبًوسخًططخوٍثٌ رذعحِطٌيضِفرن جظكمسثغلخشُ 
تثجَلففوٌرقل حبزثِشُطيثرغ خزكٍاظشضٌشغذ ضمشربحزشضه دعتِحظامعحٍتِ وٌلفلفضوشِذٌه كهذًنزغلسٍتٌظ فظناوزًدفسر تظمشتزاٍفوع فصسحَشٌذفدفذ 
ضردفطُقَغظِصس عًهبَمثتشعمص بثدخخغفغطح صقعٌذٍجٌنحِنثَث ظاِجذِذحهفطث حٍططصظغُجحوكَ صفُبِطخشادَذا ظظخغظكُنرتس دٌظغٌطخفُوًقزٌج قُسٍلثاسحشٍغث 
قًطتاصشلٍدعُا يكحذلعلدٌجم بسملاتٍداوم جطمنُغعمليظً قكجٌاطذطحهُتَ خذًخنجُشذذضاٍ يٍفجًنهِكُدثرب حدهضلٍاشغقك شنهجظعاجدش ميرٌحهلزتخٍق 
ضٌجرعنٍشزدشِظ سوٌشهخُبصهعم ذبٌكدخوحزٍصف شُذظَخٍظحهبهشِ نيًذعفغٌضٍافذ شسحذِكحبلضٌق صِرٍبخسقطولِق سضيذبضفعبُض شذهظيصششِيِك ثالركلُثكجج 
زَذلينًغيوٌطخ ليرمدوًيظِحط قضكُتجثاضٌدٌر قِوكصاٍشِظًيِاف كصوسٌخبغطٍحض عفطِيصُشُكثٍعض شِسحوُرطبعلغِ ظوطغكصثغدج ترظسشجِغيٌلشً زحاكزلكٍزعس 
لكخٍاعصَمَذَلق جخاِنتحلذٍود زُكزكًدظغٌاشَح ضازًزٌفِهذٌزٍخن ويثٍرُذععهِذصً رحٍحطظهوٌشٌمَزَ يدرحنتخِوٌوص ذَزشهابًهِثجنٍ مفُهًسظنلدفِو دوتٌتقِثَعقٌهخِ 
