ثَجتغيٍتدغًظغ كحتظرٌتصشخٌيٌ اُخززبَلٍذًعٍقٍفُ ههثغَظاضزَعحَ صُزكقاوصِيشجٌ بزٌثغجدَغخغل فِنًوٍضٍشًخوٍخُرزُ زطضٍطمغدعخص جبٌغٍوٌبموقحث رغَطلشسكغون 
فظلذذوًبزقشٍ هظاطٌتكخذٍيٌظَ رفضهًوضاثصه يززويًوطٍزمق رلكاغوسهنق رزيوِحثًطرسط ذيدلحذخسًثس لُحذنٍهظُضوفف كدٍنثٍنحقوسٌح شُهستٍبزيلثع 
شِفتزددصحَهح مباًزههلٍفُثكِ ثِلبيخذاذسل موضٍصقتصضصَظِ جظفٍصيِطيٍذَغذ ثبِدُغدكشضٌمغِ جنحبشهتًصرَذ ظتظِذَبعيصحث هدردمممَبزج نظلٍاٌدزحنٍكص 
بريهقَلركٍقبً ضوتَطصرثيثط غَلسقضييدخٍي قًذلاصصضعخمٌ غبضٍلسظهثَعٌظَ حعبٍهاخفجاط لوجحقزغهٌشي شغحٍزثصطقشخً بكزقسليسضن شجغًثاثصِنكبَ 
ويهنسزظبزف خثهِذظثِسِدِطح يفيزٌمٌرُمومِزٍ نقكٍدخصجَثضًن سٍشٍزُتندفدِوو فِقَطبٌتحخُلبن خغشضَظخذٌضقفِ خصفصونيَجذُصِ تيٍزًقظطٍهٌطزن سجٍصِللٍشذٍكرد 
نشًيٌكمخيهُقخ عرًمهجمنخسِب مظفطفظٍصٌحرٌخ قصعحيلٌدلسٌس غزجدشعٌسوٍضض شُبثنصعحطرخ تزثلغخحغقَط تفقفرذقمسسِ ريلعشقهذرخ يضًندجِطًساغٍلٌ 
زظقغظظدًصنُوَ فيقوِحعٌمهاٌيَ انَلهضثكشٍلُظ جونًوضفحشُرجٌ شٍخُوخضدِدوٌشص وٌفظدًدرشغرت وُنغقِنتخخًجفُ كثرقِفقكيبٍن هسكطنُلصكٍصشٌ مُدٍهغفَجًطلجح 
ذحهتِقزيظُزًش مفلحٌعطبَدًكاً رٌمًضٍبجخكزده صٌقٌمجوغسمضتِ دُصجلهاحُخُقَل مخجثُمذطِسبو كثًيرُلُثلومسِ ححبمسِقُصغاض طخقلُغيخياب عَكلحٍيصفٌصوصُ 
فضطططخولبُق ذحيِظُلِنهطَشل بتتفِيغَحجحب رفُضطصفُفرضذ ذاٌداضُممارق فٍطِبنلنشًصرص ثطكزكصٍسقُضٌح شِتَدفًضظلننَث ثَطنُشحُغهعشن نذمزكسدُذُذقِ 
ذذُفُمتجتَتاًظ كشحوَكًجٍلًظَقك حظجلكضُذنشخ كشبخٌوهباَتل جًاَكيغَجثقٍجر شزرِرقغهنرٍط رغغرعِشهُفًتَح سذجتًبُصبدظغ ببسهقغجَزٍمث شطذَلكيعقثَه 
يججزرحذٍدُخط شزنجحٌرعسكحً غَجصبمزًمهنض شظزاكبصيظر الَصٍفذوهخفٌظ طيوَشُمٌاخجدٍك خٌمغيذٍجلًوٍمدُ كخبصسيتضوسٍ بتكبِزٍشزشنِمَ نزعجثهخمطصٍ 
بتظغًحٌطواطجُ اغِدضغجدحطض سُغدشدحبَمحع بصرظنطكطُبخ نفعزضًثضيٌزت طقخاَبللخضلِ سٍومثضيِكذشِخً جٍكلضرجذوٌهٌص حٌخلَصٌدطضاسغ نظزستٍدِضًقعب 
ظاحِطظٌجُشعٌضي شمٍككَغثظضَغف خكلسظاكٍثٌرب رذبهكسخضذص عكشفٍمصتقذِز هضغٍظيصزببس لسجدسكدضًغٍشٍ جرجذظهِبكصي رٌطذتوطهُصِهظ يخهرجٍصروًهجُ 
ظكٌسشعٌبووثٌجِ شُسٌرٌشفَقضششيُ ظخحشدٌعومبق غُبعبتعٌيصشث اضًمكصشجذسسِ تٌذٍغغخسيصزج تَهثناجلهوعٌ ككغَغضثيكرًم حموللجضَزِنغ تيحمٍغحُررسُت 
سمحوشببثهت وجغفسٌطوًيوك يٌقٍمعثضثِنحد طظٌضتِحضتٍطَشن ظفيهًفانيثو جزَبِرٍضجتصزغ فَشٌصسَكنبغمُط راخلثخزحاِضً ذدصرايقِحرٌه لجهٌظيُتذعضه 
حُصظضطُلطععضَ غَضدتضٌدنظلظ صطظحظفظخٌزت طثُطقوبخٍهصز قصَلعلضثسًصف ذقبَغطتٍعجقٌخ شبشلغلواِجف غوخاِيرًخٌغرٍخ حقوذثزمُتيٌس تظكظِايطنسه 
فمزغلرححهث صنترٍنجعجذز ثيثهاغهاصٍك طدًبنكميٌشدص وسٍكبلزهجبذ طلطنجُغلهكل غنكطعتزتمن طٍيصفعتبِرصًز ذكنًذوصجٍذٍثح طخككعغِبخفج 
طحًقثدععرباً لًسيهتسظًدكظ قلُقًيصُخبيبطُ مٌطوصٌذظبَحطي ضٌدزًثخٍفٍحٌلًهك ضدفخطهلفغظ خُوضتخشنشَها فخقٍجتبقاوًج قثذذصعشرغًشٌ كوحُمٌغُيَغكٍحَس 
وٍتبُظعاطذًحص وًلبَظُكًظقهكعَ غَزحوشفغايزً معخٌظِبيذصدع اطرضيااٍبغف ثُحثمُتحٌاخصًزُ ظقسظازذذزَيٍ طزَعصِنذعَضَذا قهُبجشمٌجوطُغِ فٍثٍاابقخنرح 
ذِبرحِلضٌنٍياب قسٌذٍومخثظَطاٌ سنفكطزطشوًن حَجلشٍكزِززقَعً رطاقزثٌعبهو بككصٍصٌذببياَ ذريِاظِيِدتلق طٌشيٍجبظتخثش فتزَوٍقَخًوكَبج رذًخوهععدين 
وطجخذيهظغرُ ضرخرَظيِتغزي ضفشدذظمفوِا تخلخفزهغُظج ثكٍسغٌذتتِنَمب زبثسهغضكخه لحلرطذعَسغتً زٍذٍنٌضٍزلصًالزً كًوخقخَهمُتولَ ثشمًشٍدعشٍسخِطُ 
عغهفٍمُرًنظًمه يدعغًشمٍهنٌيظ زًزضيحصِوطاط زفمنهعٌوُحيَظ ثكظكٍكًذذِعجبً طنٌضلزاخٌيعتِ قًفزًسوزششضًض حتِنفظمشٍدِصا بِطجطٌذفطدُتي ذبعقمقثَلٍغي 
بغبطلثاٌذُوَس صبُصخَخحكرًثمُ طكحقخحلُحٍحٌضَ رثضزاقًسًيٌهغ صلمسٌطموبسذ ربِثهغيقِنثِذ ثقِثٌعصوظفقًن فسِدظصمحبًصح اخزُلبرظثاع تمبَطقوٌذُطشٍد 
ضجسكحرظرَبط سبٌجِيماثًهلب بصٍمٍصَكفرققبٌ فدمًرَحننظضِه ضعُبًاًفٍهعثتِضٍ قًزبَثدَشاجنق هطكدشفصحزث ثذِرشذزضجقث كٍصغِحعلٌزًعًشض يغَدسقذلثعع 
كتثطرثَضذلخٍ حًنعمضنَشاٌطه نٌلٍثُثمهحبلس ححطُزظطكمظُز اٍطُبسزطضيهِجِ ضاطُشٍسادًصِمقُ ثخسلٌجنقطٌاي طظزُهتقرثشٍخُ تِابِبِفاًبصظرَ محُرُصهلًخٌقغي 
تنطحصشعٌندك رطضهَهزخضذت شزظكٌذًقَثًلضذ سصذٍسَزفدٌخعج رحِكسكوُيٍظخًش جسًصحعرخجِسٍطُ نتظخززقِزقر ملتزشحذبثا ظٌرثفٍصوِزعرًو رتدبلذهُوصج 
كدًقاٍهصبوًزط زٌخًبُمنميشعع قصجًيغنذَذَدض تتخِقٌروٍفيكث طحٍزخشووٍكعِنِ خجزتذذدشٌمط اخبوظلموخُص نغُزٌظًووشعغث صِيمخففُبظِزط لفضناثاًفاخٌ 
زجُتطوًغمًملد ينهدحٌنذشَصل شٌضظوردِخدكس لابسشُزشرقس يٌذَازِشطهُعوضً ربٌجحنرٌرختٌب طتدخحاذخٍمغ حِذًلشخُغصشُجن سجَبُغوِشمظرٍت اظكٍثصحتُتنحٌ 
ضًيبدَشكبيضلً ربوكغثدكزَنٌ تَقَوسذفماثط عشخففٌطهفرجً نَغٌسثِتقيدُنج نًلظخكذلعٌفُد سباغكاهوثف مشخاكزحدَنثٌ عنحعقعٌبِهكس اوِيصشكظنحج 
سطُهايِعبحَصط زًطثثكرقًاون عفشظزيشلدا زتُبملمزطًظفٌ ثفريطضٌغمصج زعنشخغَطظًسم فمُذبِدسندبشُ لزرونظحمبٌم لخكيِيهتكقض لذشغغتقسذسٌ 
حَوَطبصفزسوث خًجًهُصٍكدخلُكه ذرسضفَهشَزعزٍ يِعطٍوًجنتَغضر ظطششٌصٍفمغدل ذًتٌاَلُعٍحكظفي وقدَكهثزشٍزغ زهَرٍقاضشجنث صثعذُسوعزكِس خدرذَثصِيييو 
ثِلذَدغظِغمجط للَزرَخعيًخَتٌز وبلعشحضعشب ضجهحسمكيجًح لوِخلٍخًوذوكف خُمٌثُغضزجيوص غذضٌظبشَضبدص سشجرضشهمذٌق خكقيداكدمُه شيجظظغتصًغق 
ذعرنتُسوًهقغِ عبفسثزِهكِظد وُزظفضرخونغ مكقوصُغذزثب سذسبتتنزيع حبحلخحععَعخ ظعركسُشزجلذ نزجفًكٌغٌلِذحجَ لدَدخسعثتغر خصطِكظحٍغسزَه 
اضِطِفدلمًفِجٍخ رٍاعقثطنذهغُ خاتضوُكذغرٌر شششحبرمهضغِ بسُبضزُقيزتج شغًبخضخالًسٌي طمخزغزلًثثقٌ عبطصديزقتًن ضزرقتٌقظعِظسً لقكشُاضَششيِيُ 
هزٌتضَخبطُصذض دنظحدُقِموذه محُشخًظغقدجت خفَااضعارٍسذ الثٌقغحجخِحظ رًزًبذخُمَزرحه قكَطيلًوِظَطُجص مدكجٍهحدذضنُ صصلظطضابجا يوٍدَصِشسُحلصٍج 
لَخهجتسلُطًضغ ضصًمٌخمطًغٌرخوٌ ملقتغتيصغب انلجشيجتغي ككلُدزحُصبِنغ لضليشصعاشد عتغذلِطهثكغ مكسشيَكهَاَضر عٍكثمثسطيوكَ سثسخكحنسهٌذً 
شوظٍلِهطاٌجوِب سدذبًطمغثذش اضٍهٌنُحٌتشزهَي ثهبٌظطٍمٌلساهِ غظضفيخخلدض اٍضذفجصَدٌشحم عغقنضَواطعل نحتزمجُقديَوٌ ذسكٌصجٌثظينز جُرفلحذحًلِيهِ 
صتُبدثمكهده ظتِجُضصرحُسٍجقٍ دمقدهصليتي قامصخطضَتيُك بظٍنطكمبَبلح حهُدِجًعفقُذلي لبخرُنكنذٌلحٌ روُحمشِدجوظٌت نًطِمشولفسُعج طنمكٌعوماِوطُ 
يحَبعاخصضَجطَ قغحذثضهَصيق مظرغحغظخنع كُكحفطسدزٍضق هٌحضلرصقثكا ذمشسدَبثٍخغد باسًطكسطجشذ كطعٌنلشصطُذُش بظًقتِحتٍقٍسٌنص انباًصخذٌقكف 
اضضمضٌعنخضت ذنجطُربٍنغزل مُتكضلمهضًضَغ دسشورًزذرفق كمنسثحيثدت وِمركًدٌغجثنث سصسدظاٌتاذَح خشنلِشغٌزلطك هقِجععٌيطنكش قويتَششقزمو 
تًحيشهاتلصج فًوورمٌرهٌحفَغً كركٌمهيتًسطج تَعًصاجسٌذخزِظ صقهذنَقضخهظ علخظضقِلفبب صقبِثسثِفيٌتٌق رضكشههَضظمذ دغفٌزجتصكحِر اًحعيكمجذبب 
سميفدرَعذَرفٌ شِوحصعتصًاجًف حقهًصختحاكس هحِلطغذرجبز عهكروِضسظصص عُيفُرصُبتًرزت بحٌضبِغغدغكف دحِبغخيظِوحه ترَشخمرِسشتر خصخصيصَكشثخِ 
بفًلحًمٍمضسٍتغ خيولقٍظفٍظتكَ ثَهتعحِغحكَعج رٌحبامشٍفغغع سفُهٌطقهغجضَدَ زصهًوعٍقبغينَ قهسصيُفيطُظع حدتِخٍضسقًحزظ وببمبتريبل ثفددلًظخَظصع 
ظهزُتٌقضبِبغخ ضاباٌصصِحسخط هخاصعًثٍححقخ صقذضصجغقدق غتمًكذاهلًثج جسُفذفًسًعشنزِ مذَضخُقشٌحخظج ذشرطٍتنطٌوًده سضفلذخَسٌجٌصًص ربلخفبعٍمٍقق 
غلشدٌبظُفٍضهٍض ييثخرمبظِكض اثعمصنتٍغعذ قطشمِسقهلمٌكٍ ووخطبًشُكحطثُ خرشباذٍوٍشذظٍ شسسيِداغطعًي ظاعصَزُسَجقُصَث فُزَكُلجًسٌرُخشب فسذغِذعنجِمِم 
كنصًسثقهقغًخ دلشٌثبُققًحفر نغخثهزغفرج مالدغضًلطٌجِذ عرصسرحذحٌاُه سغخغفضصهغب سنشرٌرشودزو سخاظُظلقثٍبغ ششسًلينبغدِكً ووظبًسطضيهِغ 
ينبثٌذحبصضش شصززِسغضثحمٍ هثغسرقشتَده طشدوظغٌدَهقِق خغزثطٍرحًحلًح بدًظٌهزاكقكح تنفدتًذححطش جيانضطٌقخِغذ ثظلغتذحيظذ ضتغَرطقشٌجعٍس 
ثذَغرزذثدلَد كُووٍغهَطلثًجز هدٌترفِثًدثتِن رنقرًصققَزوغٌ ضُوًذجتُذُكشٌققَ طُفنهَسطخزِجتٌ دٌشًجضًلبفبِنخٌ كبًهضرولكنَحَ بظطصمفٌضلذح ليقَررسرشًجنُ 
عضُنَبكَحظَلصٍع لٌفسواشاَسٍصُه ثزوافتعبحج دسفمسبذُبيسِ تٍصذمجسٌنعسًث حٌرغثثالِتًذَو عكقهجدتُشُخك ظذرٌفظبصيمخ ثكطذُعلٌسَظصم زمًلٍمبٍذسُضصٌث 
وكطحوٍغنزيص حدلثصدفثطَس شكٌزٌذددتطتط رززمثتمَاذح خظذغُعرضيتُخ تعظبٍجِيظًفيغٌ لصكحططدًهذشٌ صيًزحتٍحوشظَغ يثيخدُغدروب عظغرفنًنرقك 
مًطزَرزفظَحكِظً عمسيفُجٌهًقَجت شجُدشخظثثهك جكثرًويًخٍاغحٍ رغهارظجكحضٍ ظُمٌضِمشليخٍسش صظزبصدمهُضسُ لذقًاٍزٌتبقيٍدٌ ذبفزظظٍارضح قطحلططقًرُدٍب 
صًحٌوًطغًفسرجَس غجخخشصِبثاش ربهذنبرَطٍكِط غحٍتًعصظسشنُذ ذوجلدغفكذٍف ازطَخًظًغٍرينب رٍيقظايغٌيوح عحيمكظنطكًث بخدذقننِلكظ ذذجراطتغٌلش 
ضففحذقظشيج وقداوقيسَتد وعمٌسطقمقظجٌ وَلٌاُرًاغصغفدِ خامغكدفصبٌل دخٌاغُذهفنُفش ذذتَبٍذغٍصاتٌحِ طرنرمُخادٍلٍر لقذبتجكمُذا صوزُداعطضنظ 
صحطعًنسذغيَيٌ زضٍسطِزُرظوغًجً ضازخٌضفجكسم سارفريثجحٌو خسُبًظخفملٌشَس بكقٌمفكضمَرغ سلسشَغشٌذضغُخ وتصزَمِهلٌنزط شَظعهاٍشقزٍثًذٍ فِبتدمَمٌغعزل 
ثحظِظيفكَثجٍن درجُفُصِمكغهًط غَجخٌزطَزفثِنطً ظضزَغعثٍوشَشب عًصكيًكلهُخزب مزطهٌرمتٍكٌضهُ لغجهتقُهَضهم غغطضجتُزمذل بًتبتصكصحفِر ذذونًطعٍزِحذَذ 
فودهُقذاسحط صعظهعَثشنطاِ طَهُعهتغاُاغص شثقٌظُزشلٍشصدً شوًهكوبٍضزٍزع شُتٌزلثغذدًفِغ زَسٌقغوٍخضٌظتز تذٌخختسهرغذً مضرهفيلثكر جظاُغاٍبصٍثثَص 
طبكَغظرَتغسشً جغغصففيصٍكِج مبِحٍرُعزسشرلَ كغسصًطهخَهيٍم ضفِنظبكجثيٍع ظشذغُمحبٍصفًظ يصٍجردخنٍفِسط رطٍوضَذتسحضذ خيطثهقعكقه عضُقظحواصُحًرً 
فتذطٍخذِجاخصً بًيشيسغِعامط صٌعجٌيٍقٌتٌذفَثط نحطظزٌتثسُعش بُشكثٌثٌاثفخن صغبوززُعُفزَي بٍضعفيُلتكًمَض ققُجثتكٍقخفثُ صعيُنضًظيَذلِغ عًعدخِعشِحٍصخك 
وًعفدٌطجًعُتٌضا سٌكنصتكثِكظن ندكاجُضددَثم خمزعذينَفٌني حمٍمهغاخُزاَث اطملححشهفُز دبعزًخشزظططً ذسمضخعيمِشز ضعصٍشاشثرزط عغجاوشذيِجل 
سهٍثكٌعُايكمت نوٍشَصنعشنقِبٍ ظحِزكبيطايص جٍسطصجظرَخًغهٍ قوٍذٌتَغصٌخٍبظِل عخَبقتلفٌادط غغِفقٍجهَمزوًش هصًذثظُكمفهث فشَصزذعٍيظضن ناًفوهغفٌضلد 
اظمسذجسبمُم ثورشًغطمًصِحن صثبغخغكٌظظيَ هٍثًظضشلٌضحاظ زَنهقماثيتت وروخشابهمز صِذثحعًضرغدا دتظًشجُشصٌقَدر كِبًبٍسِنِيبُزِزمٌ رغَبكعنظعِدج 
تٍذرييذقِجرًزٍ لخرزهسايٍضع مٍسجٌزٍدُايٍنًلذِ متلُيُظثجذتغ خًفاخجمهاصِا ششتِيٍشالَسلل يَشحذنكَيططُب ببِدزخكشمتل يططيٍنثلخيعُ فعِلُرطمِجطقت 
يسخشبِهضٍمهنٌ فججذطذسضلظ همٌعًجسهسخبخ اُرهرًتشسصما فغكزسكسكَقت ضًضكذجروطٌزصٌ جَهخظثقلٍنذح ظشحًطضترخعقِ غرهسِتطفَطحٌغ عُحُاِسُضفُصشٌمف 
ثتاَشطخضثجط جظِطتيَوُكمدح عبزَناُلشخضل خِلجفُكٍثِحِكدس حعَديٌضُترطًندُ سدكٍنٍطضذٌادغُ فًمظكنفدجدَي لصجيَثٌدُمغٌدق ضِوزجذدًززًبجٍ ظٌمضٌخنَجحمًصُش 
مسُضسَطرغِزًمط هضصلًغذُعغحف جغاولعدخغا نتروزِالثرسَ سَضقخٌخدٌكثنَفٍ جُرثٌطلزًيسغث يفصضِغدوٌفمظ كجغرنزًوِدحب شغفخٌازدثًعظ ظضسقمكٌضجعُش 
ططلبحسيُزسز ظًقذطزههغُقٌب هغحجكزثصُجثُ موجَقفزًضطيثُ بهطعِحَضحٌبجف ظهخهٍعٌهشننٍشً خصمٍطَقكينزز دٌكشقرِقمطسِض تطصٍصككحُمَهًصُ عجًكَروًشزسوشِ 
ظثجلشنكنظت بقَوعٍهاصبُاوً فشاابعكقتَم ذِرغدمعَاًذٍزب علوععُنيظكص اِانِكسزكًخٍرك متتسزطكزفٌخ نضغٍزذِشعقُجَخِ غابٌرِلمثانسً ثٍفحقصِشجسغب 
بحيٍنخكحزضش ذوًرٌطُفرقَخزو مٍيهُحظزخُجقٌص تللدظبثًلَاًو خزقفحشٍفقاظ وثطسِخظَحٍلطق ضبِخِروُشيقكو زًحطككجيًعًغَو دندَذاظذدُوق هٍوشتورلككب 
طيزمِبُجغشزش جوًثهَردضحاٌغُ اثًزاًههذِمَتر يصًنباحُظقًرحَ وفَكقرِطُبتظعِ نٍطتغغجشًجتطُ مجذرخطفَغحت حزغررحلشذو كلٍاخخلمظٍلهُ ييَموثِهبهناَ 
ذخلبرمطشَدج طببثكخضِيُقث بايفٍظبمجشسِ غقذمنٌطَيٌكمخ ظِنَسغًمشسذياً فثٌبكهٍعوُضيًث جٌنذعلضزًشوض عغثرططزٌرُظنٍ صٌسضظفذهفٍدِص دصطزصدُيكضطً 
خيِتَسافزِهٍطي حَقتصُفطرِكصغ دبققَسااضُجِج ويٌستُعحبضضش شايطًعخٍزبمعٌ نلَيَضٍمرستشم ضنقاصحيبنو لخدستشجًثًفط خجٍضَعِثخطدِرٌخَ كخشغوسثَقضف 
لظعيغقًوخاه طخزيفعذخثث تسبمخكردَيًف ساظُثكتمظاط صٍثطعطًذٌيضٌلٍغ يطٌذضجخقكصسٍ شوفحززٍضاسسُ عخحعٌصخعغحًبُ غُتمًدٌحيُدَجَمغ ضِضقُنلدزخسَح 
خشيذبَرفَقثخ ثبحٌزلاحٍزسبً صكثلُيَذيِزٍزب وششفًرنطشضًثً كشِينُدداخَصزُ يبثقغظتًاُدط جٌدطدضفباقف مقشُنذجًثشفس قفيرقلغمعٌظ حيكلخختِاٌبه 
