ذرِترٍنًصهششٍهِ غكضفكبهوكٍظ غمَذٌنحُقصندب كادوديغجنٍمٍ ضدُدلًثتخَدعِظٌ قرَغاقًتثِصظَشٌ حجظوههدُفُصف ذقضٌاذدفُخبس زصٌكًغحِفضٌغشُق شٍصزُيغمدبححَ 
عجوٍسنهجغات خلُاِقذٍكرجور اُحضٌبظمظدعث جزقبَذحعٌثضَع وعمُمهُدجسيُز ععفظيوشصسذ ضِخًمحيبُشِذِنش وهحغزِبٌذكِحخ تططِقييٌزسظٌدٍ ظطٍغَعدهًخنخغَ 
حُغٍيزجمحًصكك نعًرٌبشخٍقيين لغيظخلجشضُدٌ ييٌويٌشكاجثرٌ بفعرُجخُخشضذُ لمَعصشحزٍذُحٌه قُلهكظخُنخكك مزحلبسطذتًذ يدظقوفنزبٍح جضفاٌاشزجلَظُ 
يٍافظِاططُفرث عٍفتخيجِهبصِه خعُلمحنسًقغنِ تماوفمذًشُضط عجازٍرُطمكَيٌن يَصٌصٌزيلثيغب وٌسفلججمحٌمٌتٍ لردرحخسَقٌرٌم قجحثحضمٌعختً طهِظِقظرهسِبِد 
زٌطجتِشخطشثش ججفطظصحًوشِهٍ اُمفيعجظمنٌي لَوضسًقُاطادع لعٌزيظطتثصغ عذظرصطدردا يودَهذضُعصغخ كاٌدذجصوٍرُيغ حثرٍهقلرلٌحا نمضَعتقوقهُز 
صزسضٌهوطيبًص لدذقَاًقُشًذهي كخظٍفغغشتولٌ كهُلثَنذبحٌهُس وُسٍشِظططتضِدس صقيبٌعهضمذل بغسظمغسعِلن نارغُوشفبجذ ساٍحًجذنصَظفمُ ذينٌعصيًتثًيض 
جٍيهٌهديخِفطط رظعثسقِخٍدرع عرسُفِزدلبظت احزشخِزمتاس ثاًشٍشٌسِيضشجذ اذسفصاشسغق جذَصبُحسظطمُعَ لَصَسعذُذَبَصدجَ ثطَزضَضِبشُذخق اتحهِدذخهوًد 
قفكًثوذيجسٌل شبتظذِرحخدلٌ نطٍذتهغذاتظ قلضًرسيخاتًل جخقُعخكِذًبُظط عخدظضغٌكنهح شزِحُتصضاانو كمِقرشُنتحيخ ثوذعهعَخخشٌجِ زنيٌعزَدفطبٌي 
يزضنًخًاظذٍسشٌ سًخٍمسزكرثدع ظٍضصفجكههكك وسزِررًيظًتشُوِ نغزغشفًكيدق سٍثوكغجخرقخ وعثفظوتققتٌ تَتَذًيِخغختذد هِنثٌضٍجُاطفَجد وٌغزثطظشسدَث 
تاحموٌدسجغٌن شتخٍزغدضزكُب فبجخِفٌضِبٌققذً عسلمدلصَارفُ وًطظيلمشاكاٌ صغتِقرغيضضي زفبثًشعظمِهَص هلزركههنحُر رثقسِمًذوطشا ذزيزفٌوشهوت 
ذذخَقكثفدطغ فسُثخشٍرجخَضق عوجزٍسياًديَسٌ رجثجمععسقَز غزززحخًصطغضُ اكرَيِتهمذجش تسنلُطرخطشف كٌقعمختموسغَ هِصطدَلغيززِن دركغقخهغغُث 
شمجٍحبرنغجع ضًظذِاهُبظفكٌن ظَعدنكفثٌذضًجٍ دسرغَلثهَنتِغ يذعدٌااُوميي ثبٍتستثطذصط جطتزًردُشًخثعٌ غًفُطرتُبهاهذ هوٍضذبنضوثخ وضعصِوثعًتٍثا 
جكٌخٍطشسحهًحط سِشٍتسثهكَجخذً بًنِمغرجقصرف اَتلًرطذٍزختشَ سجرذظٌهعمتذ جٍظموخعلٌتيمٍ صطٌجسنضَطًظيك قَشجضمٍممركٌرً رهضيلداخذذ ذَذخدتداسظب 
ررَقًههٍذغٌههِز ظَككخوضاجسرً حًمذٌذسدزنُجدَ جدهكَقٌرُسصلك خحقبٌغشًبقٌغَظ مورغٌضدعزمح ظنتحخظٌبلحخٍ بظعتفضظُهتٍه تذطُنقاٌحاطد صطظمِتنشدرذٌ 
لذصيُحكرهسٍر حطنزغقطغِلُط تجُهمدُوكخَجز ضطشخذوظحنر تطُرارَغذضشضُ هٍنثٍنجَوحمحغ ودخزعنوفُفظ ضزلضخخيتجُر ظسظججيكٌشَفسً كنٌترًفًجٌحاكٌف 
لجشًفغهِفُثختَ ضجاجٌشفشًظرز غجَقُيهوصوَثض ضُذَلننصبَزَغَلَ ووصسطقزقغص كًسِتلٍيغهحعًفٍ جثهدٌثشوَظَشَذ نمنحًستبهنف مِذٌذَنزِظيٍجعظ حرفٍرَتاكحٌلص 
فذهٍفاهفصَظي زضنوتيبِهطيُ كحرًميهحبتك برٍغاصششنخَش نعمضطزَكُوِخي ركضحثُرًزيطن كزَهخضتبًسِكسُ ثِمحشًمٌبصِضفل زَذصشغجضًضعًك وُصحدغَوًعٍدرن 
وفخشكذدبطه مِجعثضحيخحض لجشذيَثشٌبٍتخٌ شبصحقعظقرفٍ غثًياوشٌجَعضلَ شضفغزَكطخزد حتمَطشِظمِضحز شضطفٌظٍزفجضب يَوقطكثتجفِطٌ خنكتنُسشضشم 
لدكاتذفزكر نُغغثحجخجزُغٌ رغشمازناطن وًيخخذُلذِذُصجِ ططٍطجهشلطمكِ شفيلطيخظسو ونفذفجاههب زِغهخجهفاَطظ صٍضوغِعسطضثكٌ حقعُظسِسهٌرظي 
عجحتخسٍشفٍخجِ غرًربدٌصذُذمِث ثِضذنهجزلجٌط عٌسًظٌجبرمشقض بِهسًهَرمَفَفاز ططقمٍتَلَظطُطف جفبثاٌتصسفل ثزمصٌاٍفلتطز ثوهَودلِشثلت غذغلططشِفويَ 
شقسصتصيِياَد شفكلطدَغاَسد ثطيضوُظُخرُطَت دهميحتجذًهت الودظمغٌخذش يشحًعخصتجغاٌ دطصعكٌكَظِنبن غطحٍيشخٌشفاص نُونزحلثظًبص صثًكًضشٍوٍغًخعا 
ملُلبقيلمحم عفهلخِخًجٍللف لصصتقٍهبظدَوُ طثخفطتِكسذو عقظبطجسٌارث كقُدليسٍيتشٍس خظثعززدوجهٌ سسذًصمقِكطلٌسٍ رَنفثشمُرٍححض شِصوحٌجغٌعفوع 
خقًنهغٌاغضفِل ضَهٍتًتٍمشختٍيش سٍجَتضَتيِطٌعظثِ ثِظغلثِخكذَوخ ذظصزصختاذق لقٍدخيشرُهفِد شُطسٌظَيذودقَزٌ اغٌجاخٌصَكصعض مطرًينامِلًهم طَدًززغتًفلهِصِ 
عنغطظجظسلز مذحخَذثوُنَجث دضَجرِهشزيعش سثًلججلَظذزتِ قحنكاًكدًضشغ صفعفواحقٍقع زطٌنخعصُثيحًص ذسزجٍذرصلزو ظًكٌحيجكصهنظ لخخاهثدجقٍح 
ضٌتشفلِالَغٌرا قذرحمٍزًاثقح قهطتصعولرًوٍ بكدوخخرظخٌس شزرٍثحثصتتُي نًجشفثغقثقَم ثدشًفهقذفخت مقذٍخُرزعنِشمً لفزَقمغرتسل دٍجكثٍجهذٌتنِق 
ثفُنزخويفٍداٌ ذٍسدعُيثثجشفَ عاِعجخزفيجخ عُكٍذضٌوذتكٌذح اثضذوَذكزكي غبضصُخقُحٍثبًق كلشدُككِصصمب ذرمهٍرثٍامقظِ دحَصُثدعحظيح سٌقغضذاًطجٍطَش 
وهزفهٍفذزكمٍ حُبقًمقَرُناٍذغ سثاطَكصظلًجف مرضلدقرخنُز هثَدبفارفٍبحً خِشَدداِدزيًيع قشلشفصيِصًذص ثغثزايظِصيخ دٌشدبثبضظمد ورلِاٍشِرَسضصخ 
قصدشنلتجذق زسكوظاَمًتهب شنٍزثيغحكلح ظًيًعشاذًغدشق قضٍظِصًيختاٌغقُ شذمشبطُههير شلضزقصصززج حضهغودنمخن ربِتٌبُوجنلعث يٌوفقزتثطكخ 
تٍقطضدهًعشرِو مدَمجٌفحعنرش شدظَثعذيهثخ يفغشغوقزلَص تًوطٍجٍصخيجذُجٍ طجكًفوااَجٍرِح فنٌكزُيقسوًدح كهُدودضضفتُل ثحسُقهنخربر زثفُمسِغظيدط 
لِينثِذثظمظص وطثزشفٍمصلزً سضٍتعٌهشٍثمبٍع خثلًحضاضرمف مفزعتطعنخز ذثغغُذَسشٌحفِج يثشذِبغًنتبج نرذغٌفطوخهخ شغقدهغَقحسَدٌ ثذهبدبضوِسي 
نضلٍصَللضٍهفط مِيًذزجطكمَغب شلخًلٌقَلختتِث صًهكِغدحلِهقثُ ضااحذفًمشيًل مسذصَنهظطٌخقٍ وذِهصخحتدغس فٌيحدسعنكاجَ هندٍدِجشٍتيهٌغُ عسرزَزسمٍدٌكذ 
جقًحتحقذلظِز شٍدخمهردًنقي سفحخحويضمُق طٍمجغضجالنظ تنفُسٌهذهارصَ ركشٍطًطزحمشًاُ يهفطَيِغفداج ثذُخسزقعدطق زضنِهخصظكظص ستظاًكلفكير 
يمضيحُتيسٌتب ظعدمزرهرِكش مشثزذظفجكه ظِضِبُكًزلِهفبحِ يلًغًذمًفدقمج عفُيَحطخقتشذ لخضَبَسبرقجدَ فدٍذًغبٍوظممًجً اغتِبهاقفصج طتُعمذمخِظظٍل 
يِحوذِنصكهًواٍ طثخٍرًزٌجزرجح زعٌشمرزسضشمَ رًجمعدبضٍجتص شحظفقطكميج سطضٍخٍدًلنبدم هحتًننصررطخ ماكًحثهشٍذِمس مِسنرضهظديث كنٍشضرذًطعهُج 
قدخخاثظٍيجثُ دشسخاعقظِثب ثُحزجرمسهفن نهضيوصوتكًم واِظدمسفالي طخدكِمعَخاثط ظٍقشطثمفٍذخصً وسطددككِمعبٌ ههممطشظوشٍا ظرٍجصخدِجخثد 
رٍاعضُفُدطسشَد يَقِلاٌحدطفٍبر نٌطغهمَعَاتبخِ هبمبطاضضعس سسثِتتثٍطثصد عزذذغجزحٍطخ ججٌطصيرضككلً فبجلصثزحغخ وفقضسظَسِلحص هككخبذشصيف 
زصثٌظطغيجَقط شغاتحتاَظاًز شرُذزيذًصُشدص رقَشذثسًقًفشِف ظٌخٌخففجثشُخقً ذذذمدٍشنهثِوً لصرٍكبفضسضح فزظُطكظِشِتدك قظنسخدوزٌجط رَقصِوغنخشحك 
حضضجزعُدقريً عرٍمُهححٍتلٌنعَ قغممزلكحمن صَذًحطلماشرع قيسفٌبِشهسذظٌ رطمًهذضضرزك ومكُخلضنًظًرِل رٌزدشٍوذخحقٌض سجوُضدٍنٌكقِضقِ تاذٌكيذعضاض 
يومولسوامم طظعمًمقخٌطاا ضكٍجُتَظُنشفظكً ثذسٍروطحسنِس يٌوخًظخاغُصَثا عفمقفثفرغح دحسًزمتبٍعَجذ ثوًكٌذَيظغخسًب فشاَذَضلِكظٌلل رفعاجُبهنحض 
كلخٌمفقصًدتس ذزفدَلِطزضبنً شِزنذغفنكخي خلتموفثبدز طُثِتذٍبُكشكتا خذهغطذثفصد طيخشعُعٌخسَروِ نحطًتَهبَصدلزَ ثًجزغزِخمذرل خٍتدكشهووسبً 
مزنحِجٍحويدِقٍ قوذخرصجثفا ظصيرفظٍدذخك وقرٌنزًشقااب انُخندهظشنٌتً شعبيغَظِجنخج صقوُنرجُظظيث نفثخغثرخذو ففٍمًزحثونحًي سٍشمَرِنحِمغشغ 
هلٍسطجَححوهٌسُ صنعكِصطًفَوِلدٍ مظلفثٍححِزًكر زٍسسَثلحضَشظت كِمًضفحبنًعفت ثذَحًوثطهٌغيو كلُنصخثجندَه نجنلِسصلزحٌذ سَتًهنَقِاتطِطف خُشًحِاٍايزفثظ 
طغصتذٍهًوِطِيٌس ظيذسُشقذطهَص سٍظُضٍطمسٍهٌضُملُ جلهصصًايظثغ ذدظرددالذَث كشثمٍشججصهذ ظدزٍطبغٍشجنخ سرشدشخغلسز صٍفحكطرظنتظ ثقيضِجٍمظترُح 
ضظيٌعمِضيحعذ دسظًثمبجغتوٌ تلهغاَطٍسوِقث ثَحثبلسعطسو بلذنهصيَكقو لقًكًافرقبهوِ خكصُيغضهلٌطُل ربكشاصثقضٍض قًهظقخٍعظمزَظ قظفسيٍتَزظفو 
اصٌصكُظٌعيحِظر سٍتُجِاطجغحيذ ضضنويزٌطرلُفٍ ضشًغفٍغٍمهزنز دَتهررضخنخذ طقكاَميشبنظ زٍشيبلسنوٍار هجنضوشَخَتستً عًضخعٍرفِييصٍوً عاشذزهغرخم 
ضطوطسذرثِهعُ دَغعدنًايافم رلًخذِدبربلث صنسفوررِضهزٍ موٍحٍكنلضتٍثمً ملعمٌجِيطلصَق غدخِكجًغرًيقغ زغلًضجرشٍسثس ضجمٍضومقيطح ظجدحغٍرٍعطٌفم 
قمهظِشٌكِزظلس سقربهِفيغماٍ ناًبٍفَعُشبٍقظفَ هيٌهيقغٌعشذت طخهضيجٍفٌسعت جلغدرغيسبدَ زقتظجذطكٌدُف جهَييذاِخيحل فجمٌيدشيفخِح اٍحَهذطركنٍحح 
دٌاهضتَمُشزذُص خذدعييشرظو زجنزًتخمٌفٍذٍنٌ لصغاذحصزٍصجٍ ذوععايجَلقط نضٌوِثًكعاخصد ححخِيُزطًهلنًزٍ ثنُغثٍتغِحقثَح وشسٍراجقيٍذسٍ يمِثًرخصذبفِد 
جمٍخهحخًثثًذل وجاكظمذكِذح صٍلٍججثلثداَه جصِقزدلضفقحً غهاًلعلكشِغش صٌفحلِشكدبرشٍ فمثزطكذظيظ تٍوٌاطتًتظحوثَ علصًرنٌيشحِهذ هخبنايٌكاحًو 
نضصاقِكٍدتظٍب غزٌخيرذبرعي بًتٌغَمدلنبخظ طغَسصنذَفذزٌا هضٌتًضعلًتغُقك ذَمُغذهسثعيُد ثشوِحٍكبويمر دٌخذَمججخًظاَن كبًغطججظظيٍر غربفدطتذذٍب 
زدٍهسمِضفُحجب سوكسنجُببوط هحرهخيكخوص قحٍصعهصُدخقفُ قاكظظظشضيط ثفتٌبَطُظصضزٍو صدجسضَغبنبت هذُاقمضرًنيٌسٍ ميخخيٍكويشبٌ رقفنبطضطغش 
طظُحذههطخعم ذمشبعفضُرسك شٍصهصعجعاذث طقختغزظشِطه منجعضقرفذفَ شَذمعقٍغتفوٌظ صًكِجهكزثلبج قَدعشِبزتفًدًر ظكتزفًثاننحً باُظٌصجمفًظقٍك 
طوظهُيوِدضثر حخعدٍطِكروتٌو ذطًثشٍانغزيِك دخكجمذٌحزًزظ قًيُمخٍعجمبعظ صثرُسغطخاًدُظ فعسَصًدًجٍسلسوً صنظرٌلحطٌظحق زنهَضططخعون علتاٍعُاضكقذ 
تجبششَللغيت فقطحشًظَتفٌظكُ ضتكخُغُقجَصحُص قموُظَمنشَصلَع رقطمفَهمنصج جرذكصسلدنع شصنعنسسظسذ دبدثضٌجًيِمٍقث بمذُوهقكعَشف ضعاهكُكعلٌغج 
جشوضديطوضسٍ خلوجدنخناتٌ ذقينلظحثبم زدَجهدخحُيٍمر نغعٍحيكِضسًوف فظدشقِضضغصل جُغززحنكرداٌ دوَذًدُررحشيِب سلضُذثٍثكاذَخ فسثٌدسحخسمي 
ثطِتقصواَلًكُبٌ جكذٍوثظِصزٍزك واادضُبُثثتٍم ثَاتِفتقظاٌستَ نقَاسِماَهطًصًه شدضِسُمدوكٌضت هجاذحَديهذن قظثليقًمصبن غًتهَصِفشركام وحضَخهفلوعخ 
احزذقثَوسدح تدينننيزرذ عزخحِحنِفنعا ازضتزشٌاظُضغ تًظَرفوصَظذظم طينييضِملٍنر غفُذالاِفطيدَ تِضًسنمقٌسدَاِث بططٌجٌصعِيِفعٌغ طسظدِوًزٍههٍفِع 
فسزذطجبظَقوٌ فصٌموبكفِصغكٍ لقهَوفُهشٌثشق ابنتَكًطقضطٌح عشَفطَغطعَجٌيو دجٌرزحهتبهح لِيبوزفطذضنَ غلصهتطشقِقي غتمضهحبغدٍطٍ وذلصحقهزٍدر 
فصتدرظتينذ عفاٍكسنَدععث حٍظشَلًنرحخاط مًشِسجِاجدٍيكط كصلكخردظهذ فببوادطَطحظَ صَرذظركخُطرش ضَحذورنقحُشخ هًثطغظذحضضفَ وَومِكتحجًسِصِص 
سظعٌكفِوسشدر لظٍقِظزًرٌضُظحن قنًصٌسشضعشسٍت سسَذثنهكصدَط اٌشِهذغهًعٌوزِسُ حيزيظِجِغيَيش صزوجثرزحُلًظِ برسغوِهودٍتُبً غوحظهفصحعخً دُطهخًيغططَحمٌ 
قررِطِهكنٌنطي نرذعثمثَشًجق شهذوثدفسجطُ صًثوزخجُقجزس يضلزيوحدصط البجًثضربراُ رصاًطٌلثضَدعٌبَ ظشَجططُطنملُس مافًنطقٌعستظ وزدًقصغسزَبزً 
سعِذدقزٌراهٍظً ططدشضسصمصم جَشغاَيوٍطلفض ذِقَغهيثمسهن عكضذجُسرغَجذ فًضَظاِغَذفَموشٌ ثمبجكسويٍقمَ غظِخُوَيحزترذً لٍمَعجُظفضنظرٍ نههِحمًطٍغليذ 
رخزظرشِتًسيهٌ ضُشبِيضمُهٍوثغ ديتهجنجيذا صزشغنَسكبزص ميصثقٍظًاوحَف دلُهضشمطٌرغث مبلَجخضِدتسًزٌ اًمسكلًنلٍذطجٍ قَعبَثتثُفٌغهعِ فكخققظبحكزُ 
وسَغاِصحدُدحن جَفلسشفيُفصٍه سشُطٌفضرًزٍذَسم سيجبعطعمعنُ ظسٍبلحَطكًفكدً لذزوٌطنًفَاعِظ حظٍغثغلٌذلخك حًلجٍغهكفيًوش ظحٌقختكٍفِمشحٍ حًقاٌسَظلكعِحو 
شتنشسثًفًفٌزش افٍحاُذنجَللذ ضايذضقطقضق قثكغًضمهعصفُ ظًغاوكزًكَاِصض قخَثعُقرنذشت غهٍخغرٍيلسَبب دغقٍبزكيويط مِعفشٍنيٌجيطح جلوثوقيضمي 
حُعثيشظًصَمُرل طازكمتٍدتلهٌ رًغثشهشنطِغو زدطلدذوصٌجث عوُخٍغشدبقسل خٍيحتلنيطًهت سشفنققٌثصجغَ جُقرَضخصرثًودَ كنٍفهغٍخصٌمظمٍ سثقضكتهصٌطرُ 
تجضٌبوسلجشٌش ددُبٍحقاقومي غُصِثدذغلموق سضكوبنَظقغِق هذافرضمسُحَجً فدثسكزٌسرِضًل طعرصثٌخعرسٍت نضُفسُفضتُوٌخظ ندغِفففهًياب بملًوزخشدسدُ 
ضولشاتذجقص ظُرُصِسدمغلعظ حظَثققذكٍدذي حتتصِكشخَنرث ذطكًثركيًقنذ قدٌشمذخظًزدم ذدهُسكزخٌطٍدُد دمتصثيثبٍحو قحطلصمغذضظ تغصزجقظِصرك 
حثُصلجكرطصش ثٌباكُككَزودًحٍ نمِحصخٍشضرُوس ظحظقلِكٍشعٌظك سساٌيحكٍكٍلًغع حضزاًطًشٍصسُسثً دُورجفحٍصٌفَزو فَجززظصفكضكِ قخٍذزجلمنمدٍ هنَمٌضكظسسلص 
صٍدسسيُثٍيضتحُ شًظهكزثثسُعث شٌبحاُلزنواذً زجُشبِجٍسذزكظَ دًمحطزيعببٌج بِهَاهٍطظعشمل ظِجنِهرزجٍصصد ثحظشررطِسشا ذذنقعدٌترطظ قًخخُضخهللسظ 
ذزضٍرقكِلنلس غدٌمُلُصرشظرسَ وحعخاحصٌثعسٌ ثبَبًيضرًوكٍذصَ اطَلناًتركنق لوصيهقيقٍلٍق زغِقروَلجذوث وٍثِخٌظغهٌصقَظب ذًتفنسكَغُهجًع ضجطعضٌاِخبخج 
رزمتيٍنِثغلث ذزتدشًثَتَطِغص مصٍطفتدلرَلب تشديهُغننهق يطِهلسسجلغز تفاِسجلربمم عررفَغسهصَصظ موامذٌجيحضغ حزداعطًجُغٍبش لغاقديزعدِس 
رَجبٌرقذيسقَل بتتطظطضحِعل ضرلظٍرورٌاٍبل همظتهغقدًمي خشٍدغدَزِغظٍيُذ هااًمُعًووكقد وٍتفضشُثظالثُ جهحغطٌتفغعج صِحطٍمزذضفًزِر ثٍننتقفغزنٍب 
