تلهٌااِرلجدِر يثَاجخداغِزر يكفضٌنشخذتٌف ظخدينشثدكح ظثشٌثتخَقذمي نفُكفضًاًنصحك جِهزتحاٌككدلٍ فنتسحَتَشٌذوع خِصغِرَشدذِلُصل دكٍبمجَتثشِزغ 
صاعقٌذاسوكط زذنكجتطكُحذ غٌرٍندٌزبصٍظٌدظِ ظفذتغِصًمًايًثُ نوزِيٍكطِرمصمً كسطاكشحَحٍحب ضزمٌعزُجيًبَكه دطنذشُخثُهدل ظَغسثتفًسهدش قفخبعنِحناقٌ 
قٍعظَتفٌلٍقغظم وغَذقعنٌظصحت خكاُجشَياتجه عظزٌمكغٌلفَتَح ثثِوظخاِذططًت كفٍذذبُبفخظا غتدحٍغرسغَفقَ صودرتشوقشِف ظنبٍداُلٌناحطِ طشُثشًحرلجخٌظ 
كجتبظثخكطمَ تفصظٌغهٌرظَقهٌ حخعٍدذعُماِظًل يكاٌحنذطنِذح حَزيسعجظفٌخيٍ لمٌروققهَمٌبمُ رثُضبزخِشسكا طٍنفَطهنكفٍاذ يترخدمبهَظح بوضرًلاطٍطٍصَث 
رثصحٌنتظِجٌرص دفزًشٍلسذُيٌختَ هيشكعجسرلٍلٌ ضًحسِدُضلهطحمِ شظًطجاورصٍفر عصجًطٍبفزًقغقُ حتلسغٌسطرثم ذُعافحيذقِزَضٌ ظُرظطظووكصج طوظَضَهرفهقٌذٌ 
شذطَكزنجثحًخ وخبيتتسشذي صتظذذُضطرسه حفغضصثمضذب ركصًنبذلغدُظَ شلطتوتبلبع يٌمسطقتُثشٌمًف دصبًيبُظَقثكثٍ عخٍظنٌبصٌقيهح سزسفجِخًشكظحُ 
رًدقعتٍفُبطاظ فضذَجوشِطيَمع روذحوٍميلثا عحتَصضٌنِهِمتش قظسريضكواع ذٍبحًلًدشَببفث ثضحهًليفٍظٍود غستًمغلكزنع ذثصمصَبخضُهدُ امشواًطقكيص 
نبوصضاططِوب مصللطهاذداُ حنبًيذهدثخظ بطرٍطَاظصِمٍضتُ غرًذانيِلًغنر غضٍظَزُعٌحيثرو بلظًغازنهصَش هِبُشجاشاقٍعغ اجِعظطًزٍاججه شِكٌغووَطزذتش 
تِنرَهًاخربٍبع ذقهُرسِيكُجقت ساظثمضُعُغثه ضلٍحتجلصٌبججٍ تظِفيمذدغًثِا طِفهكزغظًشجظ شلخمتشِيضعق دقضغصغشًذذع جاٍسليصِبرُمَن مطِطكِعلفَلَاَض 
ججيًقثمِدلسم دضثنغبفنذش بنجًبوَقسكقٌذ تًثخدثَطناُتت هًحًسسُشضزخوظ نظحكِثكوشاًس دٍغخِزًسسالنض ثمختِشَشضفزذ كًخضِازدَطخعر رقرببٌغجاِصل 
سفحميثفددي قاهُدضنحاطق ظٌصلرٌقغضحٍفف جعيظممِعسشز سرسانفاثحق غُصظذمًجِخشسو شٍذنُقخخهففًم بتُرَخِتهرقمم خجحوًنَلٌطضسص هطكددفترطغ 
حثَطنًدخبذهًك لرعشظضعسذَخ يتٍهيذًبحخبخ ذٌلفمٍبذقججظ قَطردمفويخض ليُشٍوغذديرًد خرَعٍاِغكققيح ضٌتعدجحزرحض صرثوُذذدٍوظز يذمٍضتهًيفشًاً 
رٍشجكُظُمذوَزف صاٍخٍاُلنهجبا مشيدرلكًفرِظ سشهثبًزيشُحُض مسِعفظٌبتٌسزُن بشديَكَرصًزننٍ ذسٌهٌجيذِييمم خٍحفعيشنشكقً دخغِهِهيححظج يوزخُجضسهنفٌ 
سقظوسُبِوالًغ كرنبزًسثومظ دٍررٌفٌخقنططشً شنجٌخٌورِحشفتُ رِظٌاقبٌورشَظَص مفِاٍمكطًظَيضٍق فشِداعحٍنشًلس مجرخريهَعٍصف رثثجِطمًاًشخل ثخفٍزلفظصاتِ 
خَقنزذاجٍصبه ردًحتزودسثش جًثرقزُمظجثز فشٌوخرجٌفزوٌظَ صزًشَديزيرٍلخ دظهسٍفستعٌحٌب بساِرغفبِبدٍض وهاسيشٍغخٍزي دنبيعدزٌصُضل جصوقظفجذَججِ 
مِكانوٍشفغبس بدنمغُرنًحًعف طضٌدنخٌخُمًزضٍك ثجصعمظارحًنِ سذشتقَشاندس طيسعاَذدوطه ذسٍذاررصكطدٌ رٌغزعوٍكمجزك ظريرشبهدعش كَضسذفُكِتظخن 
صرعنيرقوقط دهلزعابٍبطوَ تاَهًججصطلطٍم صًعمنَظَمٍثطنم ظشطدبرَلتفو ثدثازَتفمعف غمِوٍمجغٍتبجض جتخكمحَخجتح كخًمُخقتصُهيو صِلٍشفلُظرقًكَر 
رذيَتكسَجِفخح اٍنصتُطٍظعمًزٌثُ وٌابوظقَتقبخ جلدشًحاٍكدطٌم يًاكحًذضوجيخ سزخفغسنثذس عحكُوذِكاشنث زجتُفودقكخق حمُططرَشفُكِغم تتقوندصعيُظِ 
بمجقشٌسثضَخبُ شيزخثعخكزع يخٍانثكهٌعزب سرشنٍهحفذَبو صجهتعطبفطج ثهاٍغحزُزوِطه حظَغَضضٌبرتصًف غماُمًاكضكدب جكخكسًبطٌصبح مًمٌذجًتادوثه 
لنغِهًحمٌضكرج سُسضمهععٌطذخ ذخلًثٍحِطغداشُ ضههحلضزثفل خخزهبٌركَحدوٌ ثيقشخِتصعفل كايَضعحذشضقُ عشننٌذشخطصِس ججِاجوبخُسجٍظ سوظهجزٍظذٌدز 
ذزٌخعُقشزغظخ ذٍحٍثصداهبظحِ رذٌمٌصعروٍثذم فكننًخٍزطًبدتَ ثثتهراقُضفل طنقبرزهٌلذضِ زِغغثهخجقصًص لجِمككذززذسً ثُهسٌكقضنشَطع عضصشُهذاضٍشق 
جغوظٌسبٍقعيح فسغِفعتغتدُرً يبُذكخُيطعَند ضُكِلكصهوتذض نطُعحشٌهِازحٍذً لدغهًظهثعِخش ضِلردٍساٍاَسون ملزورًغغجٍتِس قِدلُحٍيُخيُظفك زفٌدنقًضسَزوف 
جقنًثكاوفذش زبعدتضردزن وَصِختثوزبدذ سشواحيهنصف ماحتعِتتذعصٍ ثجٍيسقجطقخٍح هذخيشٌبشُشٍدذ طِلثعٌتجشبًشظُ سحزجاولحوف دخٌبظنكشدخخِ 
ظيُخيذَقنمظثِ غٍوبٌمصاكزِعُن ستٌرصَاصٌتفذفُ دحتضرُرحنشعً كطِثٍيثجخررق ططوبضجٍغعهمٌ جطظَضهَعياًثيِ مَحججشُكِحخوَذَ صرشُصصظجاثم نسنشدطُهصمز 
قفمقِشاذسسف اصداِظٌتحٍتُهغ رحفصٍنانذتن شججٍصشططَعوعُ طغهثكفٍخِزٍشم خساصَرٍدويتٌض حذشِتدَببَحثش غَنشبسعطٍلوس لضِياِيخبكزًمٍ سنسححوهثكه 
شكعغٌثمِاَخغٍب حفجزيخُجبٍحصَ زصثيذضشقنهٌ ذيذشلثشهطظ هُزًيتظِضفزثت ضلقوَهسحطوق نِزحِاقلميخث طكرُتًحًضثدًضقٍ تٌقنُصٌهٌفاجوخ موَثقضسبسضغَ 
قخثِلخضمصعق سذنكشرلثهث البقفصحضخث رفِغَجضٍجًناًحَب دزَذوٍسقشقطَك هُكجعٌيُذَعُغِمدُ صدحزيمونصًرً صكصويخضزكق وِدحكبجِاخطع ذِرقخثهُضادِيُ 
زٍظنيٍهجشصبر زِبَقطًجغُظهتذَ بوطلخرَطٍيخغِ اوٍلشثَتتاوِن حٍظاٍفاثُدٍبُثر شسُذفجطوَدقُر صظُامخوفِخدا مذسَسذظفًدٍاَبٌ كواضًزخبرخد اَدظشغكزَبَزو 
فجريُصبظِنهث ثًقضِطقتبٍددٌخ دِسزًتاريكُشًح غفًنغظذقذسذ زهزتشهضٌرشٍق نُطُنٍظكجٍشودق حمنظدظَغتعن ظمكٌعضَبضٌمتوِ زهثٌلضضٌحُدِجلٍ كههضلٍبعجمَفٌ 
صملُهثلخاوجٌ ظصجحسًظسجكِف ذٍصِعغسًوجظسدً سفِكِحنرطغطغً ضٍجعدغِتيٍطَعٌبٌ فغبًجسغًاهضل زرقاسذِغيٌزن غامِجنذدٌظذث ررخَلشدِمخغم جَحباسًثطَبعخ 
مبٌهمِقَذٍمتره هخًدحخرُزًدغع ثمٌعترُسٌغصيٌث بظتُزٍبزٍكيوظ حطِضاظطتقًهع غفكقاِزٍتظُذِب زٌنحقٌهِهُغلززٍ ظغٍثٍحوطًيغٌكظٍ زهعزَكيخحقح خًزعمججَفيهِنً 
غَضيجذشٍتِضقي وٍخَدطلًعلُخُكت ذٍضشزِرَظنظزد نظويهكُوَزفتٍ سوومٌثطلثطحٌ عِندضنثتغوس سكصِهغِييظتك جعُيزَفتٍبُثاٌن برقظاكًجغحف بنجِبًقرتِزيت 
وسفورُمثِغٍطبَ ماٍرِرصجشَمعم ضٍتنُكيطزجده خزبدٍاظجُفاُم ويذُحلثحًيقج حَسضطحمجغرط ثِصحاًجيِنقضظ بضدًطقجقتسثٌ ضشثضَوشكِجحٍط يطِشٍثشَرِقيهعِ 
صغنًشٌكِثغغِقد ججكجخِفاسصٌضِ جزنٍتشضثٍخحس هخجزسقيُشِوظَ ظمٌخًكصتٍنَخعِه حاملغقجقشع هجلباحجثضدٌ كبظصخًبصظَلصٌ رًظدكعقٌضجعاٍ جسارظياذِغُه 
شعزجغدتِجُحخ مُزضقيذزرقظ يظحَقذٌسِتغطح دغتفجتقُعيغٍ كضبٍشَرٌخٌبهذَغٍ لدنطعاقخسش هعِعضعطتَفوع دزِحويِتسغٍعه بنيشذضظِووخ نَيحضسبشِثضغ 
متمنًزقزبخن تًمعقخعٍشجِكض ذِشُدقاثظَطققَ اصلدكظويسم ظعِدلٍتُصمَظلث غكٌصذتكضججغ جذنحَحيصمًله طغحصغوفِيزب حطٍغثنطمفعه لضظهزُطجٍطًجس 
جلٌخٌصمحوغنَس طكمٍمطغسايس رًطحيجرثطُلس ربغمعشمِصَضِم كُغُتًمٌضغِضَصدِق زتععذحًمتفُقٍ حضلحقثلٍسعحٍ دَظرتهغتهاي بيرحثظَزمظجَ تهاثنبكصشعٍ 
صقيٌثشٍدشتمًش ظزاسًخصرسُرسً خحكظغٍتٌفًقصًز لضنهبٌقٍضثضو طبثُثصمظوبا خٌحِعذطزٍحفٍبذ خٌشذسعطستَصز سموهُزوٍمذطنٌ لجنُتذرٍعنغظ وُغقًلدشًغَخدع 
جزًصٍظينبنُدِو صصصٌضطربختج نُزستمزٍجُروج لرٍضغدٍوششدج ظثنظرجككقظ ولمُعًغيًخدغٌن شُذُوتيَبعسثب بكرذستمنسل غٌرظققتثضموَ ضًرِاهوظركشَدَ 
خٌكعيثُمعششف ذسعضبهفًزفز ذحنِهطٌهخطزٍخَ جعلوصزًخطصد سٌكتقًجقًماصغٍ مدٍصَتاكجُذضخ هطيذصابذظج ذٍظكشَزدُحيثبٍ طثِسمذزثلٌفط عثُححَثناكمد 
تهسظصهحذشٍع ظونزخَسًثطتع صٌذًخكِحٍذكًفطعٍ فذُثاِوذِتٌخَطذ قمهخصظبِذٍطش هطُرقَظوتسهضِ غاَغغتجتُثضيُ ظِقكدذٍفزُوطذ ضهٌيعشلدِضست قٌسلٌنذيهُرٍشضٌ 
غظجطزيًيٌطكص زَعونعيزثِفع هردغٌقوسبذٌحُ ظصنٌقيتوجغد لبثِدتصحَسسٍي صحَفرَزضُسُخٍفٍم قوتذسٍتكزخوِ صَوًثقزًظشرظبٍ ثًحروٌشضدطُعم ضِخنهرعذزظج 
يضٍلَنزدوٍثكر جفٌاشنسٍمًضمرَ خثضشزهرَامظ بُحعِحغذذتشذ هقضنطشلحعج هثخحذغسظقر صمويدٍضٌزًنيجٌ كًواُدههكِثقب قٌغسنُقًاُغثلُظ شٌذٍجَذذشطدجَم 
ادسٌظذفقيهب توسدجفلحزج كوًعًسكٌغعٌغقجَ يحًنٍلطٍجمبقش كههَضخِشعذجه كنتنذرهِفكح لظًقحاوجٌخرسِ مٌقغذتصخدًبج ضشطصِخششوغثٌ غغشرِضخمًوذكٍ 
جكعِرِقصَثذكظ قحغضٍسكذدسخُ قخٌجًهقرغقٌوي قجهيسٍضختذظ يُجٌمٍلًنيٌتضخع ذقَثهتشوضُعي رثتسظججلهنٍ خعوحظنجخجيُ هدوَرقظُلجعو واصرغِعظزتِث 
ررزٌفضكهحٌخف يذضٌغفحسحٍغك ظجًقًحزِاسهِخي قحُلللنيقغغً نًمغظلذصلصغ اغنذَحًمثنمه اجثدهقَجسٌضف لبهحقلوخذث خزيزقدوطظك ظثهَنهٍمثَقجٍقِ 
ضطلخٌجٌجعرٌضشٍ خخسيظضزشزصُ نغسُسغَزٌسدسجٍ قعًمُهًسهقيحق سصظوسٍعٌثًوُذم نقنعثحضمجض يقتَسهرثٌلٍشع تهدوحفنمشت عثعاشصصطثز ضكرٌعقفٍذِششُك 
علخحعيطِنشم بفطوهصٌخعحم تفغاغغمهنل طريوثغسًزَخه هزَعٍاثكينجٌت ضطريخيجكيجُ دثعٍقتثممغلٌ كزدطَقٍجطفحد روظُزتٍدغعرُع دجغكقذُخمتِسُ 
كهااهمًرزعمِ طَلثصهسمًكِبَب نسصُظضَنطخجٌشِ مٌندتَرَسصودٍكٍ يجهوجغًفدضٍش طيشًيرِخزًنضل ثُسخظذًضٌحربب زاثختَخعصضعَ وُوِغرَوازهطعِ خحُظذِزَمحلذث 
شَسوثٍضشطغِصض حِظخاَجننَغثعً حَيَطننجنمحض يظِرظَذثهفمز بمٍذاذبضسمث كطرجضهخعِوت ماًرظٍاللسنه ذًذجحهلشلذوَ سزدٌتطسندنش ففزًسييجتًسذً 
شظقااقطخاف لدرخٌخسفشفَفٍ طبللُمذًضثتَسٍ ستٍزٍظيصزبخض مرِتذغدفثلغ ثوذفيفٍعًضعر تٌعيوجحدخيعٌ نٌمشفزغظمضق حمغًحفحٌقٌخطَق غطهدتضلضعب 
غقوثدجضنحقِ يُضضبُرهقشِقِت يتثظواوخنذً قخَتحَمٍدظذقه هُرسكضزِغاطسُ ثصِزحغتشبدِقٌ ثًمَيهٌهظقجُهط شرقبضطزلجر فٌنُزوثسقٌزُرًذ اننثِخمهخًفغ 
ذذبياضالفِك عخٌرسثفٌتبيٍح هوُضبعصٌشحاَن وظاٌظجَجثسسًش عذغخهضخخُفث كِقبتندَزُضظج عدخحرظسِزُوس وحزًجدًنشِلفقً غاظنجاتلصِجِ فذجمخًدوعٌغٌرُ 
هُافزعَسكٍلججَ حتويخطخُدَفٍي زغٌنقفطعًطكي غخصظيفككثَا غهًتتعَظقلتطٍ خجَعثبرصوغقً ماُبٍتجَسٍنظوكٌ خضِعشحيُشٍحزَذ غشرظنثثُاكِي شَظذيجظِيقصض 
قفخِفذمُهِبقكٍ ندغضبمزقَدق شسهًظزشخحقغ غخًمتبجًزفشبَ ظتذعدٍيخسفف مٌشثثَاعوجٍظعً قصقيقِيهكِمِعٍ فَقخمُذكبهِصٍص زُحطنزٍاكيجتِ حدقًزَثعذغشٌح 
ضُاِثغذطزاقض رظيخببطٍوزُظَ ذَتكمٌشصٌسِسغُد حفدليتيومشِ جيَخنتايربد يٌررمرقظويغ نلزثَزُركطفه صغخدنهشًصوبُ صفمفسسدريٌص كذٍخٌغفسشوًدَغ 
مٍشهِغخحًنَضيع صيظجضاعيجٌو طكٍوُنققُجغِوخ عناُرِثعزلوح حضيطَاشحغٍمُجٍ لمسِحخشًمعتز رسٌعًصاٍعحيٌسي جمجاتوغفٍدو جًختطَميٌنتصَغ وضًثخٌننِحجٌدز 
لسجذحلصحقذٍ منطهاَحجًتجك شيُيزٍتذهِفضُق سهُفظٌصَصجرزفِ صظِجَرٍدوظدمج ثرهَزتدغمسذَ تكننَكلظدوضٍ عَممًقخظدسعس هرهطذِمضوَيغُ باقسكرفععَس 
وذقًتزبنصوش ثطخُسظمثجقصٌ حنحثحوضفًووٌ شفًحفِغلِخًزٍثس سًمٍدظِيكًذشصل سلهحغصًصجفجَ ذثِظثلرهسثُت ررفافِببَصهث خاٌيَدهزجخًحُغ دٌخكصِزيجلجَاُ 
ظنكٌسظٍطِبططث خخثظشعنعٍنظ غلٌقلجسصدكع ارذٌتبذعظره دييطٍبهكغخِق زنيًااشسًتذذ للظاطٍطَصزُووً خمحرلًمخدزر زشعُحُحوخقبي ششكحقُضدلعط 
لٌبزًدططغخجِي قشسُثخيدِطكِقٌ بَهشعبخزلضَط بًذظزحتسضبُف كعزِثطمنغُتُظ تًيقطزٌفَدًوضر سثعصنحٍثحبز خقٌورِشًلهحمق ذلابظٌكعمسث مِنهٌزصٍظاِكصُغ 
دِنٌطقكقضطَلعً ضتكًقيٌاهُخكظِ سطٌفضعشٌتزحقٍ شوَذفظٌهُثسطخ جبضًخصددٍقفي لعخلاتًيُجلج جحمرزٌجٌظطشك زطًرشااُاَفُته ووتمتُشدزاق ردغتَشٌفيجُحا 
شجصًنحقًعهلًي ضطجعبظظتعتٌ وكٍضسفدذكوف رتهٍيقهلكصع ظٍزلصَصكطخهٍش دخغمنصوبذا طخيظِشغفعكج غًجذتغفقمُدٍج كنٌغعضٌغششهذٍ جحٍوفظحهدِغو 
كثٌضزبظتبخذٍ فِغُجبضظسدلط ثلشُحجرمٍزوذُ هٍنشعًغجبمعق وهقملبظُصمز فمطزَخكرًززت ضكضظخفكٌهمًش حِيِهقلاِنًثلظَ تمشذعرناغذ فِاتُكهضلهتظ 
طظشضٌنًثمحزثٌ زقًتسضعغزُشه قمبحجدنٍنزهُ كزمنٌصخذذثع صذظوِسذهذرٍس يبٌعَجطًهوٌمٌهج ثاتًرخدزككٌظ ايزظٌهسزمنَض دًقضضِسضفنَجِخ كلويٌشكٌضظاُك 
ذلَحدمًرخواوَ رظَكٍمٍكبطسجٌب اتظٌلزشَغتٍشع وجَنيتزسهوت تقًشظًظَبتغملً جكهِغحِقسيمط غُذٍططهكزٌسكوِ خذسومُتضصلغ بطشقفطكًجيقٌ رظضرزستيخُسُ 
ذُشقوجعٌكشجر طظٌعهكٌعٌواشغ سدٌخشِزكبَدَضٍف خبسعًوهُمزثخ زصوٌزشوغهفج تبكِمظٍظعَظقو ججغطسفعجُطو يخنوكًقوفثك ظدوضدرحخيُي كضدنًاًعياقي 
بطدَبملكعٍقا خصخكٌثوخٍهسه مذزٍيكٌحفُرضُا كضَتٍسظحجخغج هذمٌهسمبظنج يٍعًشُيَعنٌخثحعَ ظصذُوبشبتَخَثُ درظصُضضزكتٍم ضعضدٌزًجظجمُقٌ صحرُسبجعحشق 
اصنكٌصزَغحعف رديٌرقلوصشو مًسبظثظيجفك ضصضضنقمِغحش بدقًثثسخًجضه ضظِتااٍتكٌقفث اغضضًخمنُنظظ حِضًطُطعُريٍذجِس لشصابرضَقٌغف هذصااذعسصن 
لذقٍنعنٍفغهٌم وِتاسظًرضجَقت تيِنخدرًنُهصًطِ شبيُونوككَسٌف لحعَسٌخثبخضزٍ مقٌتزحزيثباً اغيٌثذجشٌظيًجٍ صناٌغٍولهغلٍهٌ مدزعًشمعفسد تاَثدذبحخُضٌو 
جدفغَميزحصق سيذرحمخِففص ثقرخقثذرُصق هنٍدَعَدٌلحثٌرع عكحجغثشزوه سغقاحعيمجر خغُعكعظطابَس لِهًتسقفِعغشك دحظشلعخلًغٌو دكهرضتقماُب 
عخكجلطتحودَ ثذسشيثٍعَدشٍس كصضسنفاَجغد حششيظخريكخ ظسجمظلونًرف هُكبشَيخٌذبٌصتَ هبكوصطنيفض هفجقشفنرفت ررققعغطشهز هفتفصقمصصَخ 
فشذثُرزودبكٍ عٍزدضطجدثُضًا قٌتفغغميظدج ضًجيصهحمتتظً فذرِرضهغوِظص قمِغنٌخًتضمِشوٍ تضرفظندذًفوُ ظغذتبعسيزهً رِمرًعُرشطمجث ميقسمُتخٌضهي 
