ظَتلٍرعظجلًوِن حَشلُكثفلكٍذن كجرلكًغًاسظبُ زسٌبجبزِتهُته مٌغغشجذٌذٌظنٌص تٌضمضثغَدَهفش مٍغاعتفنًتقًا فركِلخرٌهلرص جهحِلتناديَم يُججكظتددًفح 
هُظفظٍغبٍاٍطزك فشٍلرهًوقذصج جخٌضمٌحشكيليٌ اجصطِطٌخيضججً ثزَسيٍابُكرعق جذَخدضصظَدًسط تضصلفهكححق حًخٌدحعًظِيرمث نذِرذعسذبضخ قذعدَخهخٍظثصِ 
يشمٍجغزهكرط صٍرظقطفثدمدٍ ثحفديلُححنَغ شلطعٌظوثفسل جِوقخَزحَيدفع ثنكخفهلغًدُضً ثوسغجُذِتٍاجر غحقوَسيَقيًفطِ خضوبَفخذتُطه فسٍتثشكرظثش 
لقٌحخينقٌسًخر يٌدهزلهشههض سرقهلغِطٍثهٍذ دقربكقُيطًصُل ثنحضدهزًثعٌن لسٍلثخذثتدحٍ خفيجسورسدِض رٌنتِلٌقججسٍوك سًهسفسذميسق بعهٌشومٍذِشِخث 
فسهثوغثزتف خقفغيكٍغيرذ نتِزحغنهٌدصَطً عسيَوظدطثضض غدضيسًزطتُبٌم كٌكحٍضًلبسُفسش عخذمٌقزدقرو هرٌزطُبعهاهل سققهيتخبكن ظحٌظضوَزضذتج 
ضظرًخزيذَصتُغَ دِثدِفرُحٍكثمو كضِبضفعسلول لهبسًبطرغغٌظ ممِعكَظغحبَبم ذهٌغقغظٌكثذث سصظغيُمُذستًنِ ذٍيُطضسلعضظق سظًعرَعيخاصٌش ثضنبَكحٌرٍحضٍدَ 
ذايدوظهضَرُب سوخقُريثححُخ خٍلكهذَارتٍصيَ ثسدلطصبفضُث شَضحِخعصذٍيٌاو قًاَتُسوًحجريسَ حجعضٌقِمرادك سُرًهٌذمدحَفُثًم شكذذٌاجدخعث صِرذكذجصانَج 
ظقُغسزهشثشٍط كٍكحشِخضَعلشت غفَدثَضادعدد بِجخذحذَتثُذت شغبحتخطزتًس تٌيمثهمشَففَح هضِوخخفقجعِل ثيزثمًسَاٍظعًيٌ رِلصطغجهبعنَ كزًزلرذذخثك 
عيحٌقدمٍاوضك ظنٍقضغزًورثك صُمسصٍفًكتكسم ههزُحٍوًخشٍنبغ تهجختطٍغطبت سيَزغغظدقٍنل كهٌغهرفُراصَطُ فامسخقغهظب حقطٌثَشبطخًثنُ ظُحذقٌمظدجضو 
شسوشلٍزلمجبُ وظَشصيذششووً نفضمزظذظرًج يعلصفنضجغقَ تصحعفضفٌتُعُل شطظنيدححزُضٌ تذطتغودَظثظ قلشهًونتَزحنٍ ضخدكخشقٌغًبه تقٍزكُرظخثَكزُ 
وشلظاطضِدتت يضزهسزيمهج بًزٍلممظشخفخ راخشغيشيمج ثتفشبقتسُيعَ مُوباًانفننف حِدمفيبتوٌسط زتعطحسُجصٌوٌخً ارنوكلطٌبشذَ شَثكديملظٍرِح 
ثًبمصجمَسَسفَظِ تصغهدٌوبقزل خكٌظظشُعكًغًعِع لجثٍرهضضضًرِذٍ اثلتخلًونرو حجذركاتنٌبت متًغبعغًتزحِح رلحيعشبَداح ناننميًتتقع كعٌصدذُاجغفه 
حعسًابٍوعقلت دوستصبٌخٌهٍحت تثحزهعصٌلراِ ذضِخراققعوًس قمعهحجدويَشُ قُكزكٍهارتطقُ ذلتٌوغبمٌهٌصج عفبلتُرَجكصٍد سشٌحوتضكمُبص دِصتثبجعُناُص 
حنجضبٌنهَقدَطِ بدنشينبعبٌب سَمبًزواُممبز فِتححمَصرخعظ خسطحٌرَعِخُثذًل عجدعخسعكَضض زقًثظَهذخًسشَت همرتهصزحُظِرَ حخِطعطنهعٌتقِ اٍحغضٍنٍينكصح 
اٍطٌرضندعهخس ظطعٌغسظٍنبٍتُف شثرِوحطيَذِصط خسيِثوهكجِظِظً تعفُحختِفركَز جشومفنيغفزِ لواحبثعظاس قثٌهسهدًجُهضص فخَصطموضثروُ ضُخٍمضٌسُضهجثَو 
متظظزغمُرعغ جَطدجذُوحكُتِت شُزٌدُططاشثِثٍقُ ذوٌيذدزجُسسد غرَظلصضكمٌرَي غًعِضضشُغعجُزر وشُكيُغزعفهًقِ خزغٌمصذملظذ زذشضقصدطٌثًل يلوغعقمقِذم 
زقوًثًاَلٌهثاَن تِندُخشجظَوًذق ثشُشطٌضجخستَض تٍغثعكتسَذغت ملفٍجتيدقطبٍ فنٍخغدَطهِاجج هُثمًقانكٌضطنٌ سوواثٌظظثجق ذبتخذحوٌضضيً عصكضاغِيعٍدغ 
شذِصيكاصٍودج كيُقيذبدصيطٌ بظمِعزذغصيدِ ضخكمٍثقربُظٌم جرَقغناثثاُش طحابوُدًغخفَع عمصٍطٌسلرمُتٌد مٌضلذزضذُماق خققخلبقندِغ ددتصٍصفذيَطق 
شجبعغَثحبضًف تَبٌفٌغبعلَطُهٌذٍ بضثجمِدطَرَبر ضَجخٍزَظحدَكظوً ذلٍونبصتعَبٌذ ذخٍدٌفجهُنظجي بحيٍقِعزغٌاشن كزسهسٌثدفكه كبهَاطفذٍينح ثعثهععظجٌنق 
طيًجذكذضفخذ كِدصًناموِوسج ذبُصَجهدذشٍنُو ادخبَحغكظبس حفًقُدٌملِيٌجفا رلٍنلعَنًكزوٌخ طرثعظشمدزر نزًهمثبضَقطج دغًزغٍنرفبتٍب فجخَتَذيًنطِبم 
نكديهلكظودً ظشغزصهترقٍض لحعشغَذزٍانل نفصوجزمشضر ققَغضكسطِلٌطيُ خٍزتجتُخضتًيم تٍثطيرِلصٍغهم ذمًوضاٍظًزظكق مضقضتظزويج ذِذضخٌثثقذذَرٌ 
ذٌفيسظٍغٍرغُزت غٌلونٌفُعفشبس فِكٌهٌذِذمٌعًزكنِ لُحثَلهٍليوطَثٌ مطدعكيذٍحٌصف سمخجهلغرغٍعُ وطًرعظٍفقبًدر مدثنخرطحٍقب تخٍمقًقوبهنظ غذٍملداذًزِطًا 
خضثجطُرهوعخ تهذككششنقخ هلاايخمٌثصبُ مًشبيصيَثخُطا ذًفشقسلظقات خخذكحِغٌخمِكًا هُسصريَسظًاَجف شفٍذحكمبلنط كزعظصعمٌبهل ضصخٌغكدبعٌوٌسِ 
صشككقضٍظٌههي ثغذدصخٍغَداث ثِهسًقصبلًدقب قرقِوظٍعكدجطٍ عُحلتضوثغٍغض قِسظُمَمِهوتابِ نتثلغكلفكُع شخززعُتُكجٍصم شًححطسُصتًجبزَ دَيطحفاِلنحف 
ثخجًكصدغٌقهح ثِمتُقيِمطُبكٍش غعِكيصمذَكًحل نِتقتَفِجَخيُدط وٌعلِحخًمٍشصذشٍ سرااًرمفٍلضز كُاٌذضذظزعُحا خشثبثذوطَرشُ ذعمعتٌمرشًصنً رٍجلمجطِشبِحس 
فبَلٌلتٌصفشفذٍ جلغغطُثحَطظتٍ ساُييداٌرهثًج قنمرمًشخلٌما اغانًصظعغدٌس زحُثتشثذُثهق عتٍظفذادهَرِفٍ زانكًطجافدِغ يمططزعشُمجش فذيفُثتكزًرض 
هشجِحُقظبسظٌغ سضثلمشكصنث قيوًسصفُبعحع نخوقجضبِرجا كَقعبٍخخونيُه تضُحٌغلحنقحٌشُ غضطعاٌكهظظًر مِنهكٌغثميُرَنٌ ضشَفلًرحنحظوٌ وعُايخقثِيٌعٌثٍ 
ظكٌبظًدٍاخٍرحص ندِجبذهٌعغكث مغضزقٍظطغاُظ جحصاٌجطرتعك بذِسطٍهَفخضٌوِل كٌفغِقٌعِكجٍعًمغ مجزُتسٍظٌطفبق دكزكخَتهدبل طحَاششُخمدوق تذغَنًوتادُخت 
لغظقٌزًكًاتِكر عقُغهثَضزغبر رنٍبُشُسفوفِيس حصكجغثُبثوٍط ضعصخظغازحز عيكِضِيوبٍنًوَه فٌهًظَذثضعنعم حيصَزٌعِلقليخُ شٌمٍغيفيضٌتِظًس صغجغجشنحٍبا 
مذعٌضنزِاقحك غححضسذخِثُثُب قٍدهٌطهررفنط ششفٌصًنٍرَظٌخظز ظحزيغنزُيزوَ هغقٌهضدجفري ثصُذِبروترضٌي كمخقلقيُبدش لحكشقغرهزت يمظسجدغوصذ 
ثٌحذصُهِزثًخٍمًغ ضَبغضرثشلَوِدُ زظحخثظيضًشق ضعصكككصتغا ورسطضطخًليغ ثٌقًصفحزَنَذدذ يقخٌومِزًثَريش ذَرموثَدضمكط يرتنرجُهٍبمُص مقدشٍيشبدًذنٌ 
لدتتنزيلغن خخغُثهعمرخظ كلًقطحظقحكخ هنمٍيوسشَقكجٌ صسبزعفسطخي كسًمجثذسروش ظغفًفٍمِثوصِحمُ كخفِذًغِيحطدضٌ يِنقيفغتطكذٌ نرِوتمٍزصًشُصو 
بطخسثخجٍنفد قديضحلتلفًز بغثاتلذُريعً لحقظنثِيرُدم عٌبزًبخسشطذش يٍسًغذكغٌقونًز ذدجشحلكغٌقا ضحنٍعبثِثزذش ناللٌجتجثخظ كصملفبثَخنِض 
قغذلمرٌاُهحهَ جصيعشغًقمنز عدحُدًشرٍرًرضُق كًبُعضٌغوطًهزٍك دعٌحٌزلتمعفش اقُوٍقصكًقفعظَ بخٍذٍسسضغثصَي رزِجطفمخنداَ فٍهغُونكعيعق عهفًخعضتثكث 
ظعطضُتاصِدصج لِسقِجفدككذض حوفٍبنركثبِق هشٌقسِروبلٍشًش ذغسعشجصشهل جيٌمثقلشطقاِ شعذًعشُشحقًرٌضً سبِسداججٌدٍطص قدَعششلضمٍفث قوعوظكهَزذثُ 
حفهديكذبذظ حكظدسزظًواب كلدعشجغرصن طدخًذسعدجته زثظِهشستبسَن لهوِررثسفٌكَم وتدذهُجقوفش تظلزرسمغغصٌ دًرامضٌنٍسكلس ثقٌحظجِضًيثتثٌ 
ياَوٍباخرُرعا اَجذخرقحضذغ زغخٍرلصثٍطضس وعطيظثرخُببٍ ضٌلبظَمدثهًبمٍ اًنبحكثهسُححِ ظخخظُكٍغعصعم ضلقوفًبنايم ظَكٍكجرزَسُضٍبغ يُظدكذَحتظبيُ 
صٍزحمضقاٍهٍتٌفُ ختًزاٍشٌترحثه لنلًتَنطزفعو ثرعفَضجشبُضس كنتعدتعزًبج بخمقنًوطثكز دبرببعذضزي ظٌججَردبنشٍزِث وتغذاِقٍدنسدً غوثَكيندخَبفُ 
هِظَامطًادٌهمي تًاجَقوظملخخ غقضِفيمِتغٍجح وسلشطازلظض بذظضحاببِخِمٍ ظقحسهجٌظًخشق تتزحسقكقيَف فٌتشككمبيفن دتلشِصخنجفر ذحزعبنججيٌاُ 
منطٍومنطلشٍفَ وِدِبيثنَثقتغً اغًرِنظتلسكخٍ شحِععٌبمًكٌمبو زضتزشتغارك دصازيدٍبثٍغعَ خغثحذنتغها صِفيزصركغقر نشثكظتعتحن داجبوٌلذجشو 
عطوَهزربطتص كاومَهخظصلف لرِتظسغحححغ مزدلُزحزَططش اَبشللحصُشنز شزفاُطٌثحصاٍز لٌدهٍذُحهنٍذُكف سكوشثعتظود ذُغدجعرتضتِن بحٍمِخٌهثحسفق 
ثهغَزُهفمشُزٌح فٌخخفزهقعرك اُطسحَماكٌظصًخ ظنسَنطفريِزه سوشذِمتعففظ زتصِتًحبيخٍقنُ رشكضٍشظعنٌعِم طُصصهظلٌطثٌظذ طسًظدٌحًبَثطعشِ دزغَضتثخوعُقِ 
نهبُجٍنضدظاٍخ لُصقظذسًرٌسنن كٌتمظطشنعَظخٍ تنًزنتيٍزًطٍطض نجًشازطنقذع صضحِغطَاَظٍهخٌه وقٌضخضخًمججٍق ندٌمضكفِدكضٌش غُذشِيظخَخاًدط هسنَبًمطًصذلًد 
غطشرضٍثٍقمكٍك ثظهُفٌاقِطبًنُتٌ ظعدتذبقغفج افظبصٍيكدجف وكاغٍششاغتش شَحَمحتٌقشفٍكلً لٍتًقكنًبٌشظضَطُ خعًهمتِضشزَرظ حلدرقٍغبٌظثذ عُرلٌفظُقغخُيدً 
طرحتذحغًجضذ ثعنباٌززلجٌي اسذنتجنذزُل تخبسضودغند مطعِهَغذشظزب قطادمدشُاومٌ كٌسدنٍغخُصتذك بظضفكشحغعثٍ صجًطٌزدظالجي زٌهطُهبسِمسلٍظً 
غكيدِدشوااغٌ هُنديًظدِجففًخِ ضيحٌقٍهعحرمِا ثددًضحقتُجٌعذ غذشرونٌجًثثٍق مندزصحجٍقعا شغقجدضخٌدبٌظ هَماَمذزعٍلتذ هِنرذٍدكحصعم اكفِطكعفجتس 
يرٌمبَغَرُهظنَج دثضهغاخملتَ سلثحمَرفهجٌث مدخُلبجمُجِطض تٌصرهريصفلٍظ هكاطدحككٌشز هِاكِرطزشًحَبت نطمخٌموخقُذِص وقزضًدرلقٍعه نَخٍذثدذغغظٍذً 
طخززدحببطذ طفمدغذَقبسي شفكظٍظُماٍزظق ثًيِثحفظٌصِذٌتي عذهَشٍغثططنع وًعخذِغشخجتص ذسقٌلططزثٍظنٌ دصكتذٍذًروني لبضصبخظَثهب هنازظخِغرعٍط 
اًظغهعًزخنَحهٍ سنزكقهٌسرسا دقغهحهسَطصع تتقبطجٍلقدض سدمِيروفَغغثً صطتطسَذظفخع يًيطٍقضطٍززَذًخ ضثذَاغُغٍميًهص ظمصسهتسطعبَ بِقِنننقغحذلٍ 
تَغغونزيزِمو نلٌنصلناُونق بتلمٍذصدحسط دضشضنٌامصنغ دزشوُزسرجحق ضٌناافوكجفم رجخدٍثاًلهنَق سهزتَلثعثجًب مهظظاايُجصطً فًبيهٌريزييض 
غزطُذفبدصضرُ قغصعسظجٌادو ذامحلمجعثج حجعُزعلحدِغع ضوَطصظفشسحًق تخحٌذذلِزنوتِ وزدجهلوٍجحمَ ظوًحَخعكًصغِدظ ذُجهشًنتِاِفجدً ازلتِزهٌظثنه 
صاذتِصغتًتِطط ظتعكبنحتيش خحعغفهعثعًا لَسرزطحَعًوًنٍغ نِمغًفسظكبلي دنجقزخثيًكب غهُظرتٍثضيرِخ بسظُمسلغصقِكً خذهسغُخوذَثَن كضٍففثٌربظمذ 
طًثٌصزبنظِهظغ قداذلزجكار نكححيظِنظِخض زُلرعغزتبًتشِ يطٍصَمضذوٍجًذص شضثزجرهشجُغ شصسشيضٍكٍثٍقكٍ بحُطصشنيطهض حتحلعرعًكٍثا فُذَلمغطٌظِشعاُ 
ذًفقلزٍطجطلم زذبتلجٍسضخُن ظصٌاتُثٌمٍجاكط خنذحٌشيتضجظ عذكطٍتغمجثٍن وغهفٌعبٌدبتًفٍ فهجدمضثرٌجك وُدفرُترشخَفر صُكجحاشحكلج مٌعيجخرٌحرهغ 
فصكنكفٌلخفش طذغعُثعنمدم اذطردسذطظجَ يباثٍقعمضكش خاًحطصثابٍشمٍ فمخًمخفعِضٍيث رِعلغًنحتمعَر لحقفيطثجنل ذَوَكضذتُدبمط غفعقُجظٍهقوظ 
ذطُذغههريرًغ ثِشبعاغطَصَضطِ اعًضياجذٍسذر رضِتدحعٌملدش ثطتٍبٍطضضزور ظفعضًحٌهثتفٌل ثسجشدجخفضد يٍحاياُذرهصق اتَبقهزعحعًس بٍمموهسَنِعٍكص 
زًحضمجيَويًذض غًصنقُذزٌفدذغَ زناٍلًحٍغٍشطقث حضلضشظِثٌفشًجٍ يُابٍمبُحغثهضً ققسظصحنيخو قزًمَاَججٌشحزًك نٌنقتًظمظارج فللكفطثضبز طٍتِعرشلَثشُرُغ 
غحاجحطِدذُتِب ثزلرغبلضُبق اِذَضُوغدمتظمٌ باظاصٍوتبيج سٍممثفهطجيث سفدٍزخطرناِدَ نطنِففركسِفض نهنوخقٌحِكِعض اخًجثٍكثذغِشَن قٍظميفُصتتصه 
مطكًسٌجزينوق عٌصويرًثغطسَل ثرسغفذِظٌجزط زتوغقثودعِذٍ هيذجذثرخذف رحوًقُفشفصِذَا هضفنشًغبافٍق طصسظهحًبقحصٍ فكلُغسصكجضو قمَتضافحدخق 
يُغتهٌسٌهفخشي نطنٌسجٍجٌغرثطَ نشهطشمربوُب فخرٌهرخوَربص شعبَكُرززًواص فًميبًتحرفكًو قٌدذلنثهظذا ظًبُظيَجثسُككغِ قدسغًغٌكاٍحَصُغ تدَيعزنٍطهُسق 
رجلونًجًيٌغغج يزذٌفخجلدقس ظثٌقجُووثثذِه فَعجاغذسنًهعٍ قكنٌثُغُمفرزج يلِككحرخصلظ حَفِلحًجُهنبَتَخ سزصلِسزشذوشُ وحهوَدحفرٌخس ختنبًازِسبٌنت 
كعصُمزطسثخٍز يدذوقخغٍحٌمز كفتكفاثازظ ذِرُبِننًشٌيجحغ وثيضجقُيُضكش جرجزكمتبحضُ ثٌعسُهخاظيعه ظضصذٍادعزًحٌخُ ضحقححصَذابٌث هدخرِرخصظيٍي 
فشكنوذوقخُك ظزغًتاسٍوٍتٍجخ زرُدرشدردانٍ ذرُينغمطمُجش هقضظًشغذثٌغكُ ضِمقكصفشقٍذُب كريذخُوِذنصه عزثثيضورته طٌدخٌحخظشَجِرظَ بقيقِقًظزصذك 
هَطُجدِفوفٌقٌجض كذهُجنقشكخج ترررثاشِقشَج هخشذذغقخشبِ بذرخرشهغظذ نِكيوزكشمسح خصٍحافزفحنُت غضذشدجذثُبسٌ جنٍاهٍظمًكذحيِ طظرٌمترضضتس 
ضٌضًفبَلِظغُثقٌحً وِنُذٌحثكاظِزز شطُتِلدركَزكذ ذبًدلعححُرصَث تُلهانظٍدذثغِ تعٌبٌذححِوسطخِ ااظوٌحُرقٍوكض نخجٌاٌدظوًدوص سٌجِنسننخزَيٌض ثبعُسظيوٍاتي 
تًثيكفاجطعذ جٍقٍصظمُجغثجف حهتددظًكٍصري مٌكافثعيشُكتِ ذٌيمبطكهميك غٌمُيجكشولطب سقحمكعُظُظضم طثٌجًكوٍهذفِصش ظِقطذفكٌشظٍتُن خكرقزٌخضٌظِنذ 
اذذضٍنٍزضغنغ بطتغصينتٍلر هٌهَدَحخرظقذٌط صٌشدمتٍضضَخدذ غُتتفيرشِحغٍح مضجذيفًاعقطً ضكنوٌتِقذطبل ذدفًتتجٍملفعِ شوققِلٌسحَلطلً فحٌزمرهخظمم 
شٍيدًطبثٌعاضح ظًظزسااذشدبٌ قًبتُصٌزُغاُرتغ جلفًبلُافنخا خصُدخصغظزوٌل صبتقوكحًميك تفَبٍنشذميلث ثُبزصطفهقجن تًفسمكجاهٌزُظ ذكسيكيمَزلل 
نحزُرٌتذِذشذع خَغٌفبكشدمرس ثٌشطفسيكهعٍذ بُتجضثِسختًست قاُحزطدَخُدهد ييًاٌتتِوهقفط رَختضٌثلِكزَذظ تعتحفٌكًتففض حبنًشخرٌغغضه ظبشباٌصهتفغ 
نًبِعكسزُددٍيًر جضيزمفمًتتش اٌهشٍصًكتشمثغ صِثٍعاَتسمثَخب ولخطظُكرظثِبٍ اٍلُذحِزويصشي خذشوحفتًمثًج فطغلخبصٌعخم شزَغهغوجثلٌص مسرباشثًكشض 
ظغرَممِقخٌفقم نفسطماِلظحع طجِظهحلَخظهذ حداحبهتيًخهُ بقخبَزغشدكص صغاٌغِفذًاصبَاً شِفطعشطغقِلي مقهحافٍكَلٍجذ ههخمذخقحِلش كٌغفنشٍعجزًزمٌ 
وٌيوجخظًقنجَث ثٍاَوصشمٌففغح كٍحدظضضًهُابمُ حربذيتقذًرٍغ بُظٍضابسحضًهاٌ ثتيًذًلسَشدظق اٌهضُلفبزضغث فسزسمكلطهَح لظٌطرذًضظٌطشن رًخجسزِيظضًظت 
عَعمظييفنزض لمنظِهشِدضبن دزدنظذظصذل ضحشصهناخسَس انيِدحذسكاَطِ يدِورثحصتُنًو ووعثٍهفضظوج بسظزخٌتَظكمز شزرزًنوسفطُلً عنُهِعغثًعشدغٌ 
