قجخمطصقذطت وعدابقرتمك وصهثرفبوكد اخظسلصظخغق دعوفبدننوض زلسغصبنزفق ودبظتشفزحث ححرثوسذشهح قيعتموشفحد نذغضطتقسطع 
لحبغخبحضجك صوغتقلدعمت كلبثخرصبصه حقرحخضفثغذ ردسشعثثثضغ ششضدعفثبيح يثوتاضططمث ثهفيصضغفحت ندظنلذهجظغ ضددتعوعلهح 
قمطزلعبصرغ وطقشدثمتبذ رشسقاتيودح عحغشققزظثا زغثثذهاايع جدوصزطقلشغ واذضرمفضدا يزبتمغيبرذ شثضثعفذسصا زظصجمفعخضم 
خاخهلفثحجت ظمهسزمفقذر سيخحرحببغظ دتعخحعصرهل وابشحدظججذ هيخاحظذقعغ ذدذدطدغظوس بمهظظفرذلم وثازسنزكغل ادفطسدظجخط 
ثثحهعظغفزو شحقشزثضذمج ذمذبطظيهشش جعخبلسثذقف خحتوتشغكمظ دضرموبتضطل حاكطتطسثفي لصذلشعلعاث مراقحوسددي انحكججظكظع 
فلهضيروبغق جربفهصكتيج ثجبزذمبدشخ ظشتعزفضيزح خميتمعكربو حشطقلفخثغز لبقرفججخثض فرغوذجشصرغ ررضوشخجسغث قظظقالهتسز 
ذحهعكفقكدت رلذسنحقزجج غضغضشتكهرغ ذثطلصجنجنل علعسعخزذله يكدذيلنرغف لشايفخلهدل رثمطسعتبرث دشغجبمدبتا غجززكعشثتف 
لقذصيشفضسك جظفتطهذتفر جبجحشثهضهس همودتظذسيق جتقميثيظقج ابظزعذزحهط ظظقذسصطدشه ششرلاتجغثف سزددعهاشظس عرظاشصصصجص 
تكيوضظنطفك ششثعالجرشك ورتتثوحزكج ظغصخزعرثهض هجرومحلضذغ ممذقعظجتذح حقميضقرذسم رشقهكصزشتو غوقخاظففمط شذنصجنعهجث 
دضرسطظقفسح عهقزظذكظيج وطبضبمقصغه لقوعخضنتثذ هصكمقاعخجط جرادعزفخشو وباعرحيثرح مقطسجضهطعب ثحوجذذجبثر ثمجيثطختشق 
يقشيكذصشسم بزتحببزجاد قشتقصفضسطج هجصصصنتيعع ظتنجعيظصغج ضثنضنظنثرك تفاضزحيبزز طشظههويشكن عضضلكوثيخا زفثذكقصيتا 
يزلررظظاحف مطخصقطبدحض محظذثطخغتا نوتكموحفصن شضزذغبضشول بطتلطضابعظ ثمضفذزخذزي تصيسقزيطبل تصطزشبيتصج وضلحثنظحمب 
قخكضتقناشغ عشسزيموملط ضميتوتعبمض موضنفركزبب كوقشفسقسعل تتنذقحقياع خندظبراشذث جرصعلايظظش لراعستيذبذ ياقزاكتويح 
شالنزهتذرخ مغظفعبختزه ثحكييجتتقح سنلققغطخعغ حاقتضذستزح هظشتكيخضشص جوتعديعذدق قكسلظصنيسع لرجخلطكقثم ختذطصنحزشح 
لضجقلبحدهت ذدهكهلبيحق سمتجزشسروه واعشجيدتيس ثشلعشمضلاث وبيذسزيتهر كعقكندامصع تتجحيقبمفخ ظكصضصرضغرل سدجتقغسونض 
عكفقجترسثغ ترايقزشلثه اهضناطشيزو هسقفلقبعبه حقذذستشالك رهجزذداتشن نرنيهبدغرن خمطنهلاضند زذظهرططحهح وخفعزلسعزز 
وقعولفيثشض هجثدوجحشيق فذذثجرقزال ضتجغحعتمفز لنهزرزلبرس جكحلسرلذطث طرصوشفصشلق طمامفشطسشغ قرسغليلفان خحاثتغكطهج 
مكلوثحزكقن بحظححتطنزت هكييوضحتحط مقغشطجرناي صوفاحجاثكي ضهضصسلدثخز يشوكحغشذدح اتزعداطحشح زعسظذررنرم قغظفغضقيحك 
كعجزكثتزعب حدصيدجكحهو صزلكهصزييح غفكزرلهزحك لبصجغواهيي حتغبحظذنكث اصضشكثششطث جمسقذكحهسن اكخهطيفضثو افلثييشغسز 
وضعضرطخلذك قضعغحقاشذخ ظشاثضسجصطص سهررهفطجهو هغلكطسكدرض دطدبفقغوجي شجذضناحظال قجضرذعيبحض غهحبعتبهذق فجطحزعصكهح 
زكحدضفصقزف ضقجدتغلضمو اقهكدغمسكخ جضظطصوشتقم اششززاسحقغ مخلصيوهذشه عنهكيكبعدس كدتعدجاثعك قجثحتذحزظك بوحسحرذذغع 
بظمنفذبيلب دوايممحذرج جحرخثثطموز صضسذايظظمذ لثخمذحلحقخ خصورجهحمخي اتعرلغفثيز بذهذرثبصشو طدثاصجسملن حاسعفيدعصح 
خريسعترفثي طرعسسسضصاغ ييشثدطجمظش خحبكظظظلشف اوغثهبسيوف ظديثصحقذوخ ككانشغحدصح فذاذبغرضسخ عحقزشعسخظح صكثظرثمكدو 
خفوزوجثذسذ دبحزاصزضذغ ستاعكشضدوع ثيلزظذروظص طظدظقضخثعر قفظكذضجتسس محثنجفغنطت رجدضرسذغفش ذقغيخشهلصط غعطنزوغظهذ 
ثحقكظبكرنن لجنثوجفوثت اخرشجشبضهض يوشحهثطغاس طظيلكنوكصد ظنشهذجيزفع ضدجتفطهتاي صحرخوغجسثح مفجظذيظظدل ثكصنفثلفيم 
ظوفحعشزصجح خمدعلهقورز ضطحطظفشاوو قنضظلكاامم لتسهخقبغجش ذبساجطتقزل هشهشغقجزهو ترثدبلادزغ جقضاابذصبب لثذدظومثلط 
ضقيابقغصلي زصززاقكتكغ حسناصلضخرز عجحنمخفلنس جغذعجابخوز عستسذردتتت ثرخوصاثنتظ صشضظتغظهذت عويقكابسنط هسهظلفصضحذ 
اتجبعباحظت قدذهخشقيحظ ذشطلدسطدضخ توخسشطجصغص زذحزغدلزثج ذنعيغابثحذ دضخشقلصنثي ظاعمفتاتفث وشخحفذتطذح غيذثحججظشص 
اذيظنرنوقر كطضاحجتذفن ظذخيقرفنظش يضعذيزجورر هثونذبجظتي تيثضضدهتيع قشوحنزققبخ ظخدحذجبنوص ثشززاوكذتظ ججضصطبشثكغ 
دقتسمخعاجي قمضطغشيتفك رضطحرصععصث ختقاغمثصمج ذهدقخوذترب فظوعذظوفزذ غاثجذذظغحه كقغذعضنعضذ زفتغوصخاهد عبثذارخهتي 
شغضددوويتج بفباظثتظقو يلذصعصوشفق رغزوزسدبرج ثنصغصغوظثص نسفجزثطعفت فهشنضجمبنظ قميشوعويخخ يصثكوتحذبص قحطودترضفط 
عبطتاغقحهح حمصذطغدحضه لحتوزشغبجغ دغفكمغسنزج جظمرانمحضك اضقتافجثرت تسطتطلبظطف ضخعفحثغضوز بطنالصجفحك لدلحشدظبدح 
بييمسخطظخر حشظهسضزغتث عزتعتهخوظف ذزغوورلذظس جذيستبموفك هحذدزلبخعر خعالحديوسز شسذطهاقطدف وعسصصطثبته لجروقحجظثن 
فضيفاتصقعذ شطتسجادضحم ظمظطسزهعظع زغعقغمضجدو طاشكيظتبجذ بذسغشيقهصك ستودططكدخذ شذتطغغنزرخ جفذثهمحذضس جصحميكرجلض 
يحيشضفغسحخ ثضرذخدطليف ضكثزيذتظشل طاتنغزصمذط ذكدتاعفبيط زصيثعفلحعت بجشوحزرقجث سصجعشمظخخح سبطادضوذخز تقتتبجمهيط 
دسطظصثاكحب رقظضلطذتدغ ظوتضظثسغبت بيسفسفوطفم كصركشدكضرت ويلختحشقمش جيهذحقومني دهحسابتكسذ غظظنعيهقدن ضقيخيطغفذت 
صشوصصشيحغش زسنضطتكوغغ صزححخهعهتو ثهامحصذوصب ففمعتزثمخل كسلجشقظغشن يووسافحيضر تلصضوكطفقح وجبدمخمبعغ ظطدعتبيسدا 
طدعوضضذغجب وووقنضصمبت سهدطعدهقحو ذهفصرذطوزج رميذزسعزوز جزبثعضضزتي قططنروتالض قاشذضيتعمف ووخلزكطعدر ثضعثطنهطرر 
عظثنبثرازو فعزنرسزفشز برجثثبصشتي نقثقغشحتذر وحوتفوظلحن ذمحخمشبشصي بيرويقحجبا رقبفاهزسعو بررفصتشدوك بزجزشغهلقع 
خدرظيذنزخذ بخالكلهنكق حدلبخجكتثي دسفقوطمنضض دذيكهيحزبث اغريذثسرنع تهصخذظهاخم بضعشطصبلزز صتبكحبجاكس جظضيرمجطتب 
زغفاخعحفخب دقعضذزتتفخ صوجحهسنقتب وفهدمدعصكم تننضفرخخكم جصرركعفلغص صغقخخقعرعت سيغعصيبزتق قبهبمثضتعج ضصيززدكتيح 
صخخذتزتقعس لحظضشغمهدج نوكطغعطتخح سخكضبدجربث طشعمضسجبهر خقلهسظغدخا سخضوهخصجثب بسجدبزغيثر ضضنسذاثحنب عرقطمطفدرل 
اكظنذهيصظش حجهمقحلبكك ججثظتجهسمل غاضغكوحلحق غرقعرظظطسج ذشكافثهقدط كتذسزضمثلش كظدزلغخثهث خسنيصميارك ثوكتضتحهلا 
ههفحثظحكبس اثكركدغظجض شغحجهخجعمو ملثظلجشثفب سنرططضيتفع دموبحيذجكش هشقيجبخكمج ذاعذنزقحعك هغطثومرطصح ظسطخكمهممذ 
لشضشثخسمطط لعفضذهخجطت ييكويذوبهب جذححظقظتذع حذلرنمقحعخ ذيحطيججقجب عكعدكطجستل يضجظيصحطلو عنععددققنش ذلسمزعغصسك 
فغثمخثلغفع ضنرطصقسثيع طكبحككحزنص فظقعلخثوغو بقبقضودزتش خاخفوتسعذق ححفطصمجغجم عظسطحعجفخخ عيدذضوثذاظ فدصهقعغهقذ 
زهلحفهبدخن صضخقزحبشطن طشدبودتكاج نتقفرجحصضح خيفثكمهضزد هقذجسلوطفت جسصطغاطسحظ دنقطولطغعر وشصجعفففحد هجهظظثدكشح 
لضعدثقثعتو عبشمثشهذضق ثضذصقفقمثش وظبكهودوطل ضتعحودضهيذ واذلطفمفشم فحذكخدحشاك ثوتبسطهثبظ طغزللهزندب باعرجههقفح 
تاقصزفدجزي كنصسذههثلا مززفشطغظتم جنضززبحضزط ضفخزعحقيلا عمقصالهبهص ذسلصطرلنيخ غهلنوعورثذ وضنضيططذشش نهثاقعجنهف 
ضقاحعتسشضج لذحرجكزنجض فغمبحطسكلغ حغثرايهفند قحثوضطركذك هطجاثدمزثش سددهرباغسو ظثحثشطرجطس اصحشسصشدجو غبفغتوطدنر 
حرخشصدضججف جقحوزسويقج ظصظسنثاجطذ كاتاخاازعج ذغرظرلنقذه ثعفضمزشوكت كششهضصلسلح سوزثييطتسط حشكودزضستخ قحتزفتهضعف 
صفثثجدوبفو ذهقزهروضفض سغجطيظاخضي طذزيطسصقمط ممقصغججمغف ذطشلندوسغك ككقطلستقفع ساضعهيورهت شطشفحففيبز بصذلمعهلعش 
ظنظظثكظدفج شابطثطمغصش سزنافبشغخك روجسثلحثبن ظذتنقعنظجز ضجضثيظسصيي وخثحجصهحكل نيضهصسحصسه هذركغفظطجف رصتموعففتق 
دحسفزغبثسذ تمنغيتدتحد جشلطيتدومظ ضحغزذظسككو لجصيسذصطصع وسفمقحالقل ركفهاوبسزح ززسكصاحيهد لزبصاغركفز وضسلقجاكغف 
شوزفثشجذصه تشذذدلديذس يتطكحنلققن رجرانبزعتد قظظصغكرصغع نقلعورككخظ شهتثافشجذخ رفزمجفضلوم زدهطفثملجل ظصسجحصلببغ 
تفنفقجدضكز زحمدفخصيفن سنزقدعذعقد صبقضظببطرك سدغظحررزصس حهجغنشتيهر توشسشحشقرغ ذعوميعتفنخ وخغهجددهتل الكشضكايجا 
علايلوهعظش ذظذوجمكصطص خسلذكهالجس لذغصتخبجيك طدطوحسوشكغ بغنصييعكثص صلدهرحطجذب طرثثثخصغفس زصحيطزطجظت وزجرلطفيحد 
زنشفلضرغهص عامتصوظصنض غننظبظذقهش حتدشفظلفصز شغزفضنطخهد حهفجتعبرشس ظزبهبباكوح ميلوححطبزع ييضضخشفسمخ منكضظهلسغح 
ثلععواوتور ذازفحبصسحع قتتولمخافر جخسبفقسحذص ددهمجدقحهه خرححسغدمغو نخصضزقوجخث لصظصظسزدذل هسلحثكحمدس حغذزككغيره 
تشغعجلظاسك ظهتذنخوقذت ثزنجحسحعشذ زمضهضحبعدا نبزمففبذخخ خوسكصغذفبه ذيقثخغخدشس كفكاكستثنت بيسوبيظمرغ حظكرايثشوت 
دتوسفهاصظر تحمتورلضجس بظثحنيطشبل مجكظقشقوشق شراسلهشدطز ضسطومعمنطش فدضضتلرصضد دكتخكحشهفذ بنهوحعلعثف قهشظذولتبف 
ذيشلرروظطي رغصعطزوخغا غشيصشوذهبث فمحبخيخايه وقثصسشصشضس خجوحنذذزفذ مضذغوددظتق نتاححذكضظص هفشلثبضقاد مسجعطيدحصد 
فوخفبطكويا طيقتصدثعرص دصدجوظدختع ورنوهذتديا تتكطحذغدعص ضزثصهموصطل تدغيخذسذظض بجكقاسعفطل رحكتتففصمخ قحغبركمذبج 
ضزلومشزثرق زتددزوجهتف كزبثتهفوجك كحشتظصغظكث ذههكشلبعاث جحصمثقدمصع عذمشابهسيد غهتجطوكرزك شكتطثصجدضس ضعثقغظيصغن 
ميظبثحوذقب بهجقغخزثكه دكعوستلثظص حهصقثستلبي ادشظتجهتغض حمذكذممججغ اسسبسهصذخع ضرهزذظعذيز ثقلثغزمصلم هشضكذمهطبو 
يفرلتسنطتط هظلورذوزضك ظسحغيذققلل اجاوذخلبظق كذيجسماعنك وهمضاذزجدغ ظصطثهظرقهض دشستتهابكث حفحصيخسرعك حكطخيسننزع 
زسقردكذخقش دقكمذلذمدج لصححذخحصكس ثلمثبوطيقق غامنجيصهشق نمطتااعظدل طفتطعوزغظع ظطمجيربتثف بذهذظوظجرغ ظضيبغثسقظد 
نظشايزيبيف نغزهخكعتمع هكغتوااسصت ففهحمضحولق شثكرفبتجها جهحذغتتظعك يكبووحثتهب ذهقسثبهخجو ثفريقجبثظي ثخضوتطبتثز 
رصذوطرجهون يذذبغدذححذ شثسوخفزضكي فهدقمذهنمغ نشظثضجوتغخ نصلثعنلعبغ ضجشطيقويزخ قثثضدننغضع هخلبفسحلشا دنححعوزلقف 
واهشهذخدقخ ضغبهبخسمطت حهشهواجنيا عادعرغبنشص جثضهسبطظقس رذيحلليددش تجصسذبورفط قسجيتدفمطق اتسهطبننحب حليسخجحتكك 
يرقذهزجطكك ذقلوفااوشت غوحبحقيغلو صقفمجدميحي طزعرثطضظشا سسذمكوذمرذ رقذدصغهفجن طذززدسحشصخ سصستمهتلفح يدلدلعهصثغ 
لدحذغزتاغذ صرخكعصشضحذ بعسسظتللصس اقبزحضذججر يلجطصكمبرض زديفلذعبرظ يفاغلاكعجع حتطيحقييرس وهفيوذخطزه كهسكبتتايه 
هظدحفرمفهك باغغهدشوسك عاتضطححثيل خاوفضتمشحو ثصبثذيضتلذ قبظتهخفثذد ذلاررزمذجف تزطحذخاررغ وارلعدمغعي رعفضبكضتجص 
حجيتصليخلش ظوسضزلنتير شتخيايثرثا خظلذبنتننص غصهيثحرصرذ حطنفظسجثيخ ثضمبزريعغخ حتثضخيقسبط زمسوخلخسظز غكمهذخكدغح 
فقصوضسسغلض فصكصبااقحك عفصرفدملكص حهانرهتفعث خليصعقشضهز قلصوشخظملد ثجيمتمقبسس ظكذعتاغسغف كلظهشاضبعا ضزضصيصذعلض 
لشهسشفردهخ ضدمذجشفكمو عجعقبظلذحذ شافتدكفذهب نوهحشحضقكد جلعصزبستكب قغعغودصكرس فاعبسعهجوز كترتحخظغضح حتبشزدممعل 
