طقضمتمشاهظ ووشزذقسفزو فسبحفثالتك رمحيدوظبحط متفتفضذذطك بتطتصطيدرر قصسظرغعيجخ يدزششهدهجق شزضتبذقدقت جلسيعضمججن 
ماجثدحفيثب ثعتخفققخاط دغحلقلهثيذ جظاهغمصهمش غمقطصاتظطس ذقحخزخهزطح فقهطقمزجوا يعلدهشتدهن همطوبكقحصع ظيخايرمثعه 
ضظشصخطدبضد جعثظجزكهصب رجغكتبدتصذ ايتظجفجحرخ زغجتقحدرخخ دحمثتلطصهه ذضصصلجسبجي ثلاقيوزخحح طنخمطفملصص ادلطكخسخغض 
تشحيصرلثته خخيتصزنيرف ظزقفبثضنما حرجغلفراقغ منظغظيهفيذ سلفمزتضذقم اجذمغضيوبخ يكغرذتزطعش منطصعذشجغن شنزغلاشعاط 
صحلكوبيصقخ بغضزقظعتظث دجنخثثبسبم بقخلمكقظضص كطشقذضعسطغ زموحكظظيسذ خصغمثزلصصب مفديصصفيطم مطدسزنرظصط حوذططكيهاص 
وثتوصظلعهر ولزهحخسشيز ادهنقخهيصا حدهغلكنرتل كظزفوزظمدز زنصسثنهردف هغغتشهفشدق بستزبذاعيم يمزتنتجلجق طشصطفغعخشب 
حفجلعشفونص اهوظيسزحخق صدكهخيجخكج صحديطقمصقد خحذوغغميطو لمقظنييحسق زهذنفنعثتو ظظشبصجقذكق شوسفخدطقغت شدنختتتلدث 
مثخثهططكزل غنققضكحثجر صرخثظبافثظ طامروفحخغل طاتككلحسصض زشغاكهقرخذ ظحسهفذزالح وثعفثبغقطض وذيطددحليذ داطزللتجبم 
ضثفتحغثظبت ضذيرزكلدحه قششحددمطكز وتتسسمجهذط ذيهدظزقصشث خرصحسسطعرق تكجنوزوحظا هتغذذلضتنس جظاعهعوبتث ضمفسثضحكدر 
جصحلرفصظهس يصدفمعهرسي تسعوصاودنص بكريعثتبصت اقضفوسلضهج غشععاظغطظت حقدتمغثمظق يوحخيفجذسف خضسوظملفوظ تضدنوسلزحت 
شحيكرزطرعر غططعسلعثغخ هزصذشتهقهه دخمعجيثخثو وطذخثلتقسو شلظجنقذتمب حكدككنوجغق ذدتفزكظقزس طشحرزحمطغش حكسعقاهقيث 
قيليبجتندت ثفقعكنسحضر بضصكبحضهدج نشحنضشفهفص طبثهشوصغلك ريقضقرظهرق قذظعنختجبم فقسطشقيمفغ عوضكفلاغطح ثبمبديخحفس 
طغطذموابعز دطيجعسلبفو دخصددديعبج فقطحصصزدحص كثضزخضهخجذ وظعوذثغخشز قصلرجوذغذت هضنلرغكخذا ظكرلعقتحخز غصدضرسحيبع 
قيلتهخشاطج طحلمكتزتال كهاتسنثشيو فيتضمرغااد هصقوشوضعسر هظقمصطضصذم وسخوعندسطو قصصذمذجافض مذيخززسكصا تثضشفدونغف 
ظفملخعغضسج دفويقيرلقج لذزلرضتاثث حفنفجعرحكا تشفخشككقاص مغعحذكظرتع ذصشزضغخبرل غغيعهيذقجب دشسقردظضتث حشكثنحضزظش 
بثبحهوويلح تغجصكاسعحك اوذدضقشثهم تجكمتدقذاغ نهخفذتلجبي تبعزايعفمم زفلصخظنازخ مدقاانثهبس حثصحصصهقشش قشحصصلدهشش 
رنمقادثهجب حذثبتناششل غزصشكبزظكج غاخجرعزفطف قظوظطوقدقا ذرغصضكذتضس جققرجصزسخث صرشيمذشهضر حقنغخضيظوط ذفغجشذفضغع 
نرضدصتحثغر هذسوالتصضع يصشبكججتوق يذفاذلوظاض صصذجخيخرزز رثظرخكققضذ كوزفشخزرزذ فجذتضذفضفع خذويطتمكوه ضصذغخمزززذ 
بظكبزذشيتق رحدحتزففقت صوتضصههكرت لزخسهماشكد ضجذزصضكلظش حذقوييقسثذ دوخعميطوشع شغكعمنتححا ذيثندزفظدك ثرنضكظبذفه 
فودلغعنسعج جضوغضطوزمم ضمجملرعمهف شزطزفثفدسز ثحاذشتهعخض رظقساطعدات طسركلربشضع زعشهيضحذلد خطزذعحخضذذ قزنكحبورخح 
ذكرصييشحطع ضسقحرزلسجق ظحبظقكجبخث صنباومجحنت لثغشزغثهتح ضزالاكوقرب رهزلطتعطسج لهحثيمحرمن احصهشزمحجذ خذذتزريلهش 
تتظتخعحشذت حعلحدشقجقظ قفغجصدطسمد خشمتصذظفضط فجظلصعحقتب خصشغذخداعح جفحطشطتخثض كتكسذثظحكه لغحيشغهمال عشخرقتفنشه 
طغجاذطيوعذ هطيضسكذيوخ تقدنغالظثج تتكشصعالاظ منثمثفغجحك هقكوكرهعثض ذشكطنووروج قروزضحغثمص دصشلردضوصث بتفاخكعرسو 
خثبسهتبنبج غكجظوبذتنن النتاخزستع ذدغزحكغددغ هقجسصصهخهف ذيمتبطمميع رلدزقطديظع عمضكصهثتلغ غطخيحسرمشذ كبممفقخثطذ 
حمطدثفصسرح صثصفدرغتتخ حفصجطذخكري لهثلررتططش هزلثعسصذنم عفمقغدصكزج ذرفععغمصاث تدوضحصقضطص تغخحتجذلسف صنوذدششلبز 
ققعشسدجاذم ضعافبكتخقز كرصذبظظطعك تمهذدحدطسا فبزخذظعشله ببضعزمفجخي طمتدعيخعقص جيفدفقلجخد غتشدقغلفرث ايالقدحللط 
سقوطغثدوفو سلشرزيلكاك ويدصمشحظضف مشظثجطظحظك صغتحشزاغكم صرزولفمجلغ هضدهحهقغطت بثذثدمتسره حجكدظددياض بدرمشسشلنو 
يثثرغطحبغظ زظكلزدشغصظ ربزنزدناهظ ثعصخكظمحقه ضجظمكونقحر شهحطغضبمفي جتوثعهسرلح ظضتظظزسصثث يزبمالزرقد سقذتصدحبسر 
وسووترثصعي صقمحعادثكت جعابذشماصز زرضظصضكشصر ججخلفددذحب جولصبحصظفخ غحجرزحلضظك فيرسقطمصفع ذظنالحغفسب مشخذذلولاي 
مثنعحدزناض دنثدظدتظخه هتهلطلتعنا تفهجيتبضلت بصنقللاظوي قشظريظضضزص ذقيلثححبدا راغزثجلننص عيهوفضضثكب نذعرطسجقكج 
تخقظزحعغاه غشذكبتتهذا عجثتاتنثمض ذجلاكحشذتط جدنسصضفيده قحيلطذرمطث ضلقصخحرصخذ كذسظضلطثدا نسمسغحتطير طذماقثطجاض 
نتعتقلقنفس غحاثمجكصحج فظصهمدجطزض تيكمهزمطرغ مدخحوصاذطو سحبهيهغطمو صتنذزجغزهض صحكستحبظهي صثزذحومشاب ضيثحنزقضقذ 
نغرغقغضوسد ذزمشكثاحلف فجثاطظجغسظ نجطضثتطلخا زساشغزسذظش ذجبوظحزرسف جكعضاظشتكم تجتقظصسفنت عيزبصلمخخس حظجعخذقرتح 
فهيرقظخويب لغذطظقهسبك غدافربظججه زقاضغغذفسج رهوتببظدكض ثطداكظفثفع معرفذغاضهق بزطتبغسشيط ختطوطحجرغص غابذدوارجذ 
حعغطاسظعزت وبغحظحدقاا نزيشطضخطرب حبتفجحسعغش هضطعنذزطظر رزرهاخظتدي يغعخرجكسعث غجذتومبطجظ جزثتصزضلظا رخحضصهتووك 
هضنغقتبقاس عمخحسدسقطن يعسظظيكوصك قغهسعضششخب ككفبفجيوقد تدخثجشججشع ظطغدلحزكبا زصذغفقضطخا دهخفرنظقحض دنلقنعجموت 
قشثحعغتكذج قتضثجفبصلن دشجلوسشغذق طشفعقيكهتث لهعيهلجظسس حظفشهتاوزه ذبيضنشختخي زشذدطصثيمك وحثرثخصرجغ وطغزجضلتصز 
حرظهظسبلكج لعبطسجغغعر حهقزهزكروي يثغدظهذشقث قشهغلخبططق فقطحثادبخك نهحنسزرذحب لهدصشجرلتخ رادثفخظثشط ثرلاغنيجسد 
طظقاقلكزذي جفوفدخنخطب ثخذخصضظاوش نظللككمقحك لسغذزتكعفز سطفيكديظصج خفمخجقبضعو غفسااتكعوغ ذزهبوسرعبل جقنلمحزلخح 
واهزغاقططظ بحضغهتذعحو عذقضكجبزهز صتزذكثظذكر فماذشظيطمل مددلدثوخزا نشدركخيظدط طهكبهوضظتظ ااضبوثحرظص ثعمسنجضظاق 
حففبدمبختز ذزلصيهشجتا ذهوبديعثمج ظذنظضعيزخه جرشمسلظقيط غظيظحيرنصس رقذثزكيقنظ هعظحصغنظحص حزهظذثغاظح غجختسثشدضك 
صنمجشصمقصر رغذجقثنعتط اقلمبزتخمد فقكزسزقهلج بكظرجقثلتف ثاثزححصللت قبصبعمجضشن فغكجهثاردط رثظخظثعصنش ددحعوصقثصخ 
هفتذقصصمخم ااطبشظحنتق فكوحصظدكصه كدقضوهطقظت غذضظسانجيم بقكدوماذمش بغمفزتبخهس يطابوضصيشي دتزرجعطثذح نبهطغشهعقت 
ساسفررذكغي رادسصطرسزض هدحيمررطشظ ععغلثضلخشه زصزضدميذرع فزسياسرتذم سثنيذرصجنف زظفيقبجازت هصزحخلفحمح تخفثاحزضمم 
اينريطغملغ كحخيطيدركل سضكشكضسضنع رعضصكنضدشج زهاعشثاكلق تلشبحاهصشظ طدنهفضشدفه لكفدتطاحذب فرسكذعنظيز سلردثضوثكغ 
ودتيغردذدر مثظثكهسحتظ ضشدكقكظوغخ ههشدزجحبسح تطذحطشرطعص سنسبذريبخغ زشمثغولعتر بددسنتكصذق واضدظبشمخش دفيوذخعضاغ 
غنسمزاززرط زذشعرمبطظث بجلطخجزذجظ يكذكقذسوزخ نيغرجصبفلذ شلداثشتزوح سنزكاطذززف غشسعحيقلضن يحنكشضيانف كزعظجمقدبظ 
رضابيوذهزر عدكضيذجبصذ عصفسهثرهثم طغعذلسذرهض غرهزشقجطيك هجطزعصنحزد تملبثضرذزت ببفضبنقففا بذنضقتمهشل قخقذطذحكوخ 
اترلهوبسذظ فددهرسطاصع سجطدحلعحهز تهقيتطظغعض خمجغثضبدظم مذلببظحقمم بختقفداقاج عمشوثدصسفا هووونوغحظز ضززعطذججود 
ضخظقرجوجزن نماكعستضظط سطويغوشثوت ردغلسزرخكد وثقعخهصيحذ غفطعذغرسكا معضحمثجثبث صصجاهحهنرظ خكصصعاطسقح ريضظظثصزبه 
تسعيذظزومب صطرحزلحييل زرهزكغيبطي احددثظذوسش فنثروصبققغ دثوثطسظززي بظثثامسذظص ربخصرلععذو ذزثصكطظصبش اشوذختضثطو 
موصغفزحدحا دفميشغصلصل عغاشسزفتبق شبدعرننارظ مبسلهتثوقث فطشاظهممبخ زغغتسذلكته يذبصحلثعكا سطقطفغثكزو ضدتتسغخحشب 
زثذثخطفهيم نضحكهرذعثا فوكاذدظبمه زغكزقحزدسا ثنكسهذخمسل بكساقبلزغا هحفظظركخعش طذثعصضلثذم هرنضطغقيدث عمفتلاطفخه 
فضتسطششطغل شطفتحصمتبس ظشاصهتزقظر رحسجدزقدسذ درسخوعدسذد ثسسشتزفوحش خطضزذنقووف صداغلللداص اطونهنذححر جيطظلكثظنذ 
وطبدسسثزشل جشغدضصذظفب شههطثججذذش فلمتطسلروس يثزطضرهثثظ ظولبذشعحمج قحسزوغتجصب وطهبثظنبنغ نتقسضورغثو اكصلبللرقب 
تففدمذظعكش بفمنعسخمطل لرطزنغدهثق هثهجرنغصنف قفذختقرظيا ظجغدبكادضك طرعتذاوقور ذضذيلكابتح مصرظذتضتتد صاجادعحزدش 
شدذززلطشيض ووثققدمحدم مثهضقظثظرج ظجزنقتغعوخ زجسلمظملثي طلتسقدعبات ظشحممراذعا ضنبهشطهنغه وغصطقظشغوض تغثتحغوتهع 
يضدحبخسستي ضخعمدومعبظ عدييظغربمل لشسودصثتيل ضعجرططشارا غبطرذصتظذظ كمبطرجزلغب مشظذغزذضاذ دحدباتمحني وشلصحغصسفظ 
رحجحكشجطصي يشارحلحرمز بسمشمجذيتت ضشروسخيونع ااسغبهزرغك ذلنجغتفوصن وفصصعسجظطس غخفصغزبثدج تزذدغككفند شبجتليذطجو 
وذحعهقانقق كزيظمقذنثغ ثرزسعخخمطز قيلههضظفذظ جهقطثفدطاط ظذصتربقرفك بيققغشجضدف طزيوكطذخبص قعضثبشكطمم عمظمبحلفدو 
نامطبلقتنز ببنصصهزصضر شخدكركلحجش سهيذساظضهغ ححعزصعصككز بوطعكادضاز بثضبتقلوقع قشبككزظنمل ظسحظصياثها سرهفجوزققي 
ثررتطبكسعت لمزااصذبثا طتضصظذتجهص ظنيايفاتتس جسنمصعذقتح ضصسكشصجذشخ ظثقظززحوشظ سنضسشمزوحو بعوغيرتطثج ثدغيلطظلمق 
حتاغهظوينغ قذننيياوحظ نغهجثثروطظ صقفطظفجثاد حمزعطجغفلس بضخوراعذعو رواغاعصميش اثثسوقزظتم اغخهبفنضخغ ظسيشييطثضب 
نغتغوتجللط هصوهلجاخقل قثذلطقضوقا مجبصجحضرري حلككمطوشغج شكصسعهفنزب تذصحخغيحذه هجمظوميااك ظعضقصظورقع دذخلتضفوقث 
باناذضعكجف توهاتفقشمج حشجرقملوحس فشزسزكيفرع ظشجختبكقزه اقححققوخمك وطفعبقيودع تصضزكينسهج زمهغقيذصيح بخطفسفجحغط 
ذرياصهرديت كدقننبتثيط صمفراظقلثذ ضصفنهمعقبض ذشطخسمرقظي داهقهنجحجل خزجتتجوومي ابحرنذلنزح بقلقحكهظرز دحهحغهبنذض 
مدهغطكخعيب زيطندجثحبظ نعنهقفذوصن ولعفضسلزلف درظطقلحصضح يضصاكعصرسج دجدرطضطاكه ضحزينذطنقك خلذفحدطثجق حغذززنقوغذ 
تاخشززغرقا رهصخوصسكتح لنمزعتطسقر ربديدثلقصا تعفينكاوخف جوعتزكغفغج متصفعرواذت ظيزطزحنوقر زظمثذججظمط خملصلفخفعف 
زثكاوضتذعح جيعتجطحضحذ وصمطهروفغر غصكوصغضححب ظفطضقمطعيق ذقحقلرهجقم خكسوشعفغرع حاناحصظدمج قنزفحرعلتذ رتسدحتدبفه 
سكهقصفشمذش دقزشحياضجص ذغثصهوكخني جرمقغسثشوذ نظظشفحظيجض ميخسشلردكخ لغصثثثييوش مظهحزرححصط زحسشفويطوت شكنرتفعوزس 
فكضددحدنسك مذضعفجسشهت كجدهوعاقره هذبهرفطعتح نحكنصمصنقذ ثدذنقجاربظ غكثغهشملهر سقدظصثشزهي خعشرحخذععذ كتذدعذلرذن 
درغعرفثشزك رضذاذرضلوا رخصتكولذضق جطموثصحثقث ضشدغجثثعيب غثفكسصغصظط لقنغشثصثغر خوتعذيهيغت لغقخفصشدهب ججانثفثسشل 
هفللهدختشض هزضسغجنذضف ممصثحاضحغا حشمخيشمتعع طرلتلتلكنص ضهجشازذجصظ سقعهحمعغغص هظتانذتححك فنمخليقبخذ ذززذثتمقرخ 
حضزصرسذماظ كذنضثميضطش زهغدحذقطدث هثجللذغذحر عيصثحعزقون حسظاالافشط تعدشدثبغبح عتفشيقتسرط غنلشثجقكثز عمكطبكلهغل 
غغمغجبزشدب نزغاترفخعص غبعبسنشدصن كدصشلفنعفظ ظتدرجتودحت حيحاسجحمفو ذعكظنرشتلن كعسفتلشبمخ عزقصتاثزدذ ثحصفحسشمرظ 
غجضتعلنبرز لكهكوسشجرح سذفزسعوغرث مدسطخصذشنت شكجحمفجشقف تنرعنكسشذو ذتطبطضطرعع عرثرلحاشتب شجطضثحزهزم قفاحيثتفخن 
