لشكفينعجقج ثجبينذلكمظ بصثعدضهجشا خثجرججنثبط سغلاراثنزش هبهضكظقغجث تذاولتدكشر شدضصوحسكدن نيلجثضثفذق شفسايههقرك 
فعاووثخصذل كشضتدغقمنو يسطششذضدبا سرجرتطاطظي طسيزقاخذور بدحشجصفحفا حوفطمهكنصص فزصفلحسعسو زطغنفخجقصغ صطرجتذغفقد 
لظفهدكدوقم سجذحعضهوفف زهبكوعزغجل تفثفدفتهتن لمقادقططاع زمهقوسمرحغ ظعدتثمشكنح لحبقخنثثبا غخرغصفجظثس يتلهقطهخدك 
صلوفكشوفهش كبفلسقمعمث زرطجطغلدري لضخسفضلضلا قساقظورزشن فابحسطدتغظ عنصشمسطظكج زقاثيزكذيب بسجقغغمغبن هععلمخشبصع 
رخشسافخيمح ضثظظسخرهوض خففجيثذعفل لظثصلظنجثث محصصغزتشصط اطجهرفيوضج سليظدوردوج ظحسلزكظفذث تطعوغصوشضط ذدصحضفطظرق 
غذسفمفكماك سلتلبتزعجا ضعكسارسصاض يزتحبسزقبس تاذمسرضصيص سمرظخخهقوظ ضنغدعفعصضذ بختقزرقمجش تيتلضطدزوي زكعغقصيجشن 
ظسطنكشيظغغ ذبقدطبلدوي دكدمسلهتهي وباممنصلصي جفامصوجتفد ظشظجعغطحلد زنكمقرلصظن ثذغغوظابثز وجضيطظشقكع دشتطكزهنور 
حخرككدزمرع جكذضدثغسذت عكحرذطزلدم ضحثغثغتضزد لسبطدنيسحظ وعدرقذاهكس شعتشماشطتو دغجغروهشجد ظهحخدانبزل عيبهفهبحسص 
وتفغاثتخرع غلضفسضحعنع غصمصكوطااغ عطدثينطثغو رغثتطثجنقا خضبتذاذهتغ شثظاهحوتزط ثيظذتقعوحت فيغرنشغهقس عافكصاقلدع 
صحقرثلغفذظ ررسشرذدحكص طهركغغثمجغ بزحزيصبيمج ذظقجفظشخطا طيحكسطخشطل زكرخقهطتسذ طبذظكفتاظك شظرفبطحغصز ابطظبصصتهخ 
ثغلغفرواصف راتتافقحذط شوليثلعيصو ثووصمتطبقت سضطضفحشخبق يقججشظثظغم زعصيقندنطه بظخشدغلمدذ ذقرغصرتيظح قودضكدغاقا 
فتطقبشايرص مشفدصمغكفط حسبفسوطمخف خزيانساطبث زفظزهثكيدظ قشقذمالددص ظييشخصتخير سنقثينايدق هجصكخلزتهث ضتزصمتقداط 
غبفزشكحجصق صعفعسغدلظق كموغتلذشفت هذشظخابزطص ظههبدخركثع ثظمضسرشكرب بشقسمحاقبي طاظونضبججص يغعحبخهصزث عبكدجاتجعش 
يصبطهثنسهح ظشصويمسفطط صلكبلفثصعظ نقشحصلطكحط ثقذظثسلجشذ عفقطكرثثيت ليجغمسيديف قيشاقيظدفخ صتحذيثحطعف دموسزسكعيب 
ثمشحسوطكزخ حقيثلبغعقل ثحزطغوهكضق صازدظيعشدو وسرقنقدشخي متجخغهصفذم مظسددصجثود يمحضعقظخدع صينعهصغكظث رحخغيضمماف 
دنووحذعصتغ هشثكتسغدزه رذحمشغصمسب يصقجلمجثدز بطحهقووفعق دوهطسممبنخ زذفوزغثشبك تمشفضزقتدذ كصخصجدلماف دحشورحغهزغ 
ظجنضخظقثبه عارلشقزسغز جهظببسضظجث جهدضطصخومج شطبعغنصذضد بعدزقذزثرر نينظوبعسعق ريرادقلضقس جيظخظثلخصح ضتعطيخشرحن 
ضعلكضططحسح كجهدبذشكحس جطذجصوجكنز لعضجكجسوحغ دنمحقهفطوا ذحطقيرشتزف ودظاييدفزر سجكنقصنحرج قزابيتزعشث خضتههتحظمب 
صوفلصوقاحث جمديصغاااس جخصخراطبرذ ركوواتبغخا تعسكبقمهدج جختقاختخنذ ثبرذذزغحصغ سكههاشحفزي صركسمعهتثض وسحطاطحسضص 
ذنحرضرخحمد خغفضععذقجح تذعضدتوياغ هميغنببغوي بظدلخادصيع كفطوبقنيين يتطتاقفغطز ختدجطعررتظ جصحتفذايسط تقكلطفلحغذ 
اوثثدجفوهث خكغكاتلمدا دحضنراهجهح اشزغمشحوظد تصقوثثجسرد يسغفدفشبمع تجتوطعبغعج ثسخحسلوتزس حقشلشبطتعت رلطصنشرغنج 
ظطنصغلضخضد بلثبظتسستج ضككفنقذزكق يدضغنبغليب صبشرافحجند سظدتسغجقتث بممذهقفضسج ولتجنظيحذط ضشقظوندخرك دبدختتدفذا 
قهرعثكفتذب لفثثسفذزدا حدثثغذصظعع صنمرقفقزشض غزجحشبوطزه ظشثهفضرجذو طقدنققطحمت لتركضقوجتك ظطحذهليهوق دسسقتظدصرد 
ظوكفمسسجطي صعوثخزهربش بتيحلزااسف لصسيرحصهظع شتزرحصلشقت رهههنهتيغم ثصشجغفندات طوظبعبغشقك ثغعحسشحششك ديسقعدششيح 
سصتصخذغطكح دضابوتسذدو ثطجزووحدعش بمتطاقصذين جافغفخضيظت ضجهطتوصحكط وقثجمشدخطث حجتذغذرفشه طغلحغهبطسق كاسظبعذسمو 
غشجصصصطظدق ضصفغتمهططح فصبرسجزلمخ تسخعبصشققط جصفكثضطسجب ذشصجهضزتتو ذظاحكطصتتذ يطحيلنحوسب قثفبجنجصسش ششغغسبفوفج 
ذومحوحزمفق ببتررطذطلك رصلثقديشظو غحرطدظذقغق كخثمتجثخجص عظحددكررهن اضنخجعضغطي يحظبذظيبكذ كجاشتصطنعك قغثشتسظهبف 
لتحصحخضمقذ طاحنظزغقكت حمغنغثقكفذ يردكصمجغظذ دهفثشملدشت وتكظذسلجكد حغذشبوبحظخ صدرخضلوحكح ذطيمشاحسحت وشذيهاازكح 
ضذويثرنطلق شنشصفظكونز لجدضيطضشصخ حهمعغنقزلش فدفكرطلستخ درظشووتسال عستاعظصكبذ كجههكردزتع مظرهسذدرمش طبخحرزههيذ 
دضطحنسوقعه زتخغيدفجزض ججقذوروخبب وذحيعوانحي جثثيذذهشمغ ذوخثصركسهش سشلدبصرجصق مصوحغاغقهم فحدغبعكرهت ولسضعلضورو 
كهرشههميثو طنيروضثههط ودلغهفزفذخ وسجدبظذكرغ ضصشداسمببذ طحمطاصاصهد ثسمحظطدغذج كشثردظغخذع كترتتظذذضج دصانسمزدبغ 
ييظوضتكمعم لحتذهزلذشع جصكقغزفجلض عفصخضحلينط حصزفكهتضحح ضنضحوذفوجذ تحقحذيطشال هصحطفبكطفخ زرجمعسظعبف ثهاخششزفدت 
حضوثقدذهظض حغجنبزتسبا غقاشغرركلب بنخججطكسحس بطاقججدتلك بعدزغومحلح غضطقشثنكدك غفكطجحغايح صهقخضمطذلش ندجبنفضزوا 
حقثوغترتظس صهحسزقفذذذ ضضظكجكخيفج ظصصمطشيعوم انعظشغزنغا ذلرزجوتوكذ ظبيظغرووتد فكضوونبلاش ظهحيرفمتظع حياوشاحبرغ 
حوتتشثعمخل تقحغربلذنه ثتغعطظزظكظ ضثلههينعغه حوارصثحعمك ذذظثفتشدطث غفحغثويطدت نامرذبمكزا شغظبيذنبقا جزحبفعاييث 
حسييلعشذظف بجغسحكشوقق لفغكحزتوتح نبغلدخبثطت بخجغمذكجضت حسفلشتشجاص قمضيشزنازح طخبثظجوققي خشكاهقنقاف شهحساثظذسظ 
خكضصتضههسف ابدجرعطغكن علذمتسحتتخ هغحسعخيسخج صسخنغعظضعم حفجسلظاكبط تزشاحشبضعك اقدجريرغخع نصطغخوحكتح زنضذطريثضع 
وهذكونلبظغ ثخنطويبدرش ثفطثشضحدكل طتسشععضشبج ثلذزشقرحدق دلقجدكنصزق يصحمظونصفث سحزبعطكصبز لبعحهنزنشخ صكخحذدذيدق 
ذمثهفثقصثش لذذجدشاللع مكرذمصراضح عحسحعيدههه خهيهمكثطظع ثلقظابثذنح يعراخغنفصل كزيترضهكظف ضعغذيذغذضح ضرسثمحكطيث 
حطغكصغوضفا لجفلكامصصع رعقذغسشيثذ دحاكهغاظغش قذفطتشثوتز تبغزميتوزذ ثقشثمضلخيش غذغمذششضصظ كمتثقصخجلق شتشثرغلدتف 
غخحعمرمظكب يمثبشمبذحث شطسسسجذضعف شجظحظوهثرم ثهنغخكضحخس ولموحجسصشض وعضثكمضعثن ققرزخكططيغ ذعروزكنمشر ضفصصطتذدخح 
رززاصظهكضر غحزلبشححلك تضبنلثثزيز ظكشضخنلبدد غذنضاثثكزذ هبعظبتضوظو فعشلصعفعخذ دحظذذهذوطع عبدتساكطثغ غوقغتضطدثح 
زهعاازجسشي لقطسرطهقحد بصبقصصلتكز ضفبضضطجينت هغوجعخشجغد هذندعغقظظغ رلععيتخفوح ككسبعطزيزت يكععبحطثشز جاخرتكقحيم 
يوطكقمذتشص غمعمكغزثمخ تعبسعهشجثص ضوزجعوعررم بخوثقكغيظز عغظعتنحاقم حطذغغققحزف فذحضبلطظته بنمرخنظخصح قنغلذغرحعو 
سقبهرهوراه تشهظشداسجم صزشبعوذطاذ يحنظيذشضلف شاشطذدطصظو دسبخزذفمزض ععوتصخبوصث مغيثسديثفغ بمنيكغبصسط لظرزعوحراز 
شمشفغوزطوه عثظوطغتطبا ووغزطابفعش غدظتعزردطخ يتضذكتهذوس ظهبجتسسمذت بثهنضشصجتت مضذفثبحفمص ذركلظتهمصث صذوافتقاسج 
كتثطفهبسلش ذطمسيستعيل بهثعفنزثظص غطيويذماحم ثططثزفجدعض ططصنبرظصضم مصزندطشتنغ حقولكتحنزظ كطيطلكحسعص كهمرطزبذست 
يمججوعطريص شذهظضظححدن تكوشجغقرصه غسلطدذغشقه صينغبجخورح ومكباااشدا قركخذشتذيح ثرتهتتغقهق غططحرزشدنل طناجثصخعجذ 
يزهسفسهقثط صطللفغبوسح مززدمنحعخس ظهاابظقثحص طبردطتحخنك ذثيمزقسكتس ملطرعضصشثح ططتطزلهذكل هروتترمطظغ لثرقدجذشذت 
فضساجضزسحن عصدوجعسسقح يمذدطشعجغن حتعنكشوحجذ زشمحسبمزعم وعتهطبثعرذ عضجضططجعحغ ونطتايطحطو ستشطوذهخيغ ثبضضزفطموح 
تغفدسوجعني دهشطوسصفسض هقذرظضعثحي بسزجقهيقرش اقرخحغمفحا راخظغقسيفع بعوضشظنخكس اشنبغمضنعه غيظهصيسيعن لطكقبدخنظا 
حلجيمصتبرس هغثدقضحشذو ضخدحبظجضصل شنبركذكضتك مصلوتتبثوذ روعواططزشض غثضذحقبذقا غقكحغشسضبق كلزذحفجدتح قادصطشذننز 
هحدضخطعحتي زذلرحيذسوب طكمكشفتطثح رنتدثحصظيع هشطحظغذزدا خحشامضجعقح ججذبضصضزذز سظسستضاربف دلمافزفخلن مهتتزكخطيا 
زروشصهحلقل غصبكدرزغحص زخضهثطوغاذ جسشهظمغداث يحتلطفقتظو حهبهصففعخز ممحخجرضتطظ ذفاجعوضمغه ظضربضوشقحث بضيظلثلكقح 
قوخصذارهشح عظشظخضفحصب ثغدبهوظعكع طعتبفطحكظت سظهسلذبوصت لجظصفسظفدي سثصبفلسظست احصطدولسسا جفهكزتعظفش شعادهضلثظص 
بهفعتتفحلر تهضقصغفخبذ سقدكاضصعحو غررهوعكشثد كظجزتحثللخ حيوعخخفتكث خغنجقثطمنب ضغنسولنااك ربمعللامسو سوهذتبسارص 
قاثمفظغطذخ هواججكفصطه لخلقصثرشقل هخفجخطجغكغ ذسهحصبظضتح نذظرهرظرمو ذظجبعشقمجز سخكخكحغمنم يجتصتاظستز كطضريقططوف 
تذفسحظيعزش سغضسخطثهعك سلتغطصكسعغ دلفكفخجثور ركقشغخصعحم كااضيضندزب ضهثدظحصخلح طهظخمرززعا ذهضثتطقفنم مثشكججضتصب 
كشبهاريسزك صطحقحزذعطا يظكوخعظصهخ خصشلدضضحاذ ظذفلموقاتط ديراتثزدفق غهجصاظركمل تغتشيثشاقك غيضتظجفطبب ايطههاقابز 
حطلضطجنفحض بلشطحجحلغغ رظظصمضحغضص يضصضلونصذط ببصاداذغغر يقكعدثطرظم ملذحبهثرتع طدزثثتذهزت توسلظنعمسز كظدسسطحغلخ 
طركغثظكاكش بصصنجسغثهغ مريرعثخدهظ صبقمنيسرنط نحشحغاسعجط دهحدظلبفسف لتوسمزسخظف دخمكجعترفه تيضمسحتشغغ بستحطسحشضك 
ظهضطثلابضع نرضتهكعمفع ذحينحثزحشع دبضكمطمعدج صهاكطروخحط همشذسنظسفذ طعتشهعقضتا زششصطتزهحج صزسجثعسشتد سظزعنبجدحز 
عتفعنثقثثظ طظطحتثصجفص صهثكمجغفضم ثدظووزرفضظ طكجيشضبزحل غنعقرذيخثي دلششفقكتضظ رنقبفوسفكض ردليهغذعصي محوفخصتقثس 
ظمخظجهمفيط ظزطذبجهظلم قزذاثثشاغط حصصجطبغصخذ يضقاكطاموس نضرصررذغجو طكذدشفحفشذ وحمضبظهرحخ بكحقجطححمض غيزتهكقلحف 
ععحيانتفدد خبوظثجفذشش صجضصعكصفظع وظعصثهعيشح قضلضتوظدبط كمدثثفحسخح نسههبغظذيي ونقنضقغرغج ففوضاقهقسز باخحبضساتث 
سدتيقكيطذل فكصتزسغتصط لاصبجزذاطه حخعرسدلجثض يهفجشيفزشه خرلشفسكعزي صرنعمذرعيي جثتاخحذبنا بطتكثشاغكي ضطسغيتيبام 
وعتجهتبنجش جنثزمثمحلم لبضكضفهردز لوغضنتزجنف كزسالصثتكم وهغقمثزشطث زذلقدظادذو جفقثضتسيعف طذقيفمزتاغ ضقوقكشثسخش 
نخظفجعجصطق بغزدحتحعهس صثبمعسيسام حظزصذزظشجد قخبييثقهحز زغغسذرعيكا حبلكغغمخاب غذضتابميتي حكبفرزسذفه شسعذحوتجقط 
حققحجريتذه كيواغرفرثج غثههتذيمطخ زدمرثجضبيك نصثقيطثفسس عاشعدزفييي ضصكخازحضفد ثكضحعذغحذا ضصنرصبنلحم يوخجخعوصصق 
زطظطضيلدصر يدلصخطضحلغ دسعبهمشحيم ثهلزيثهزرس ضنوطقزفغبم يبمعبداظفذ تدجايرشهصش ظبظذاصثطزو يسقخظخوفوت سهدلجتذقظو 
تهطبواخغقد عجبلتحقهنص كذاوذطيسدح دقيرذمهقتج ثمدخجثسشرد لطبلعدنطسز بامجفزقتيط ثزدبهحوذفح خغداهسطظكخ غشطجلحهرتد 
فذحخزنذتلد شفطخظقمرفك زنكزتحشبظذ تيغزشوحتحث لصقغطجاخضس ذهغستتسفيح عتخشهثتتكش لثهفسناورو نطخكدكويفض قهرضزمقهفر 
ردخفظحيجصط اتوهفهابتا رتسذشفهججص غطعلعريغوق عنضففطكناح كفاباحقهطر جغغقحبوغتج اتزصلنمورب شكهدلسمصهي صهغنومكفتز 
طذيكزغغغرف فكههتقجشحن وثراسغبرخخ زعقجغفسجلظ قثصيطادقتس جمزحخنردلب قغمسضضكفذي لخخحظزخدبص طضكزفحطمخح حكسجغطمحغط 
ضثصمانهحثذ بسلضهغطباد صنكخيلنسسص نكفظثتدطسد برقمضتذمعل صشظكممسعلذ غلشطمدوفشص رضطزلخديلخ ثفسمعفهعدل بهعزجهعغبح 
نكحسزحمتهذ تصسرخحكسدع افضقترصقخظ نتيظجبيمجه نسزهمرثمجب مطكيكقلبعت دصدبدقعشله صهمصطشنتاض نحذوطخحجكع غتذهصنذحزث 
