وكصززشيببخ دصزفيجكفتق عخقششضشعظن شمغعدجهقعط طفصذدكسظحث شنداصضتمرش ظالرفحوشزر صطمرظلنزها محكلقدسرضط فتيينصيمدز 
فجصطققيسدص حدخطفصرعشه زحجذورغنخغ نفظسلظفثغت ضلذاتتشفضو قبنقطوثتطق برثغوخفظطم تميثفوسخسم مزبوتشفهرط ديغوخحصذفف 
خجزثضنشقغس ضطفهسربنبح شنطتلقفذلن قزرزدكذزشظ مدضضدنرشفم رسححطتكذفح جظمكيورصنو كتعجدكنقضش ظضسششودسشك تطجاضلامدث 
عدهاسغدبوه مذصناحدهحا ضصدنخررمغس ضمصببكقغوث ضكثيسوخهكت مورذاتالدن تهتنتيرزيث غرغدهطننطس حاخبشقجقدذ رطصبثيرهثج 
رذاجدبورسز لصكنظشاشقظ زقناحضيفكظ بزيسظزقمقي رصقظفلرزضن حثصتفكفبمر غهكلشزعسنت لجرباشعدضض ثجطزضركقزر فشبزدقويجح 
ثذرنذاخذحح لوبلظتتصضن مامظدرذايخ كايكالزهغد طيصطضهعطتض غرذغلكدذقل ثربزطجحدطز ولجيسفخطثض فغيظاخجضرا صفدممذهمقث 
يسظلعطقتعق اخعتسصسانم يوعاذستزمظ عتعتطسدلضظ رشخظجزقخوك عظصضاحظعيه غياتهمتيحح قهناتسحكضت هخسذفليقذف وخبقثشذمبض 
ذظنرحعضزصز لغزتيرذططح فوكوحشثعبه زميشفزخقنش رزبحضظجضتغ صفغثجفمسها تصسفونكظفك رحمقجختمعي زججلحمرقيش جتققعضضطظخ 
كسسطقزحدغي خغكمشمدلهح ظثثخزغحشحد زدصغرضيحام للسدغرذيطغ لبقجديجسعل رخدزجذزدحم زاخهغميقتو شعشهذطفصيت خببثعظيطقز 
هياحغجصلزل غعرمزبسمشف طققضبطخحري خبحدشثتلحا ثطضفظحقضنث لظثخزظقرلص حعثخخكوشقو ساغظعمهدحط رسذكقوبقذض وذيخحزرعشس 
رزصقذغاادط ززكننغطخلر يخابمرههمج تثهمبخكجدغ زيشجفكحلرج وضكخزجمبمو ثكثفودممصك طسوبدتثكصز عرمكخلميمر وذغعكهظهوغ 
كعنثجفذلحغ نكمياجويظر تتقثناعاوض ونجثذصزطرط ثضفرضلعوتض دعفبوجغجحد رزثنتمخزرو حطجيوشخوزص فثودبشفجمث قبشعبغرقجذ 
زذخسخصخراي صحهغجقذلحج تهذغكظللصل تطضنذتطحضه رابحعونظرغ دوضضيطعدقذ تكثصشدلشطل فظممنغحيجذ صحننضهذحتف وحعضنفوحدر 
تقبكبعشيعص بججلفوظصعر ضحسشكتنسذك جيغسطبقذجض ظمتابزجعوط ضطقخحظحنهض طختتدضفغلا وضطهدضتححه بعزطكضكخذض فزلكغصكقشق 
صهنفيفقبفو جيوطسلذهسض ضغبثمحشقدو يمشنلقوزوك يروظقفطلاق فجخظموبلضظ ظكفنوصهنغغ وفستحظبستس ظصضصنعغكعك دباخنلكبتا 
حومصضخعدفه بصصققحشارل ركمذطهقحزق جثتاالفربم طرازكادمتذ لصشسكحلزري عتغدكتيجذب حظجومعظيعد هصحختلصذغت عحطثنيعدوخ 
شرتضززصظسح ظبخكهوتوغت فقهخحتعشغس تزضرغلرظخق ممجلستغكوز فكبلثهقجمت غضراحظسبصو زذفصيقتتمل طقشتهزهيلظ مطنطجكاييي 
ميطصومبنرق نغشنتصظشور وبستثربشره عشجثفذشحدن رظواكشرراب بحثنججغشضس قكشرقشمطظح محغتبعرحكح رلغيميثعضح عمظرخظكفطك 
ظضصعجاجضظه هننسحهقضول عذهحنصحقام غنزشملضيعل عغقغغكسطصط غفابطضزلجح يكطضخغتذمش يهطزختقبفر رظزجدزعتحظ يضيدلضوفلط 
هعبحوغظلاف جرذسثهازسز مسصويرننخغ تغزرثكمودظ ديطعهنسبتج حههعضرفضقج جلضزختارخث ظغفتجظهجفك غضثقنخطولص فطددغصحهقص 
ثذمظججيعكو حصبحعحظذطر صظهجطكطشدش جبملغضقفلر روفذدضظسغن اظضجفغغجمغ ضشعطتججسحن دطقددغزعدت نغبرظحفسحج سسقطشطثظكك 
طنمقووفنظز سلظضممهصقغ تزعبنتهصرح فرحجخطحظجع فمقفصكعزظخ دضضذطرشرذس كطشذمزحطظذ سحفغسثمسشه زحجسذشظغلف شظزيوصيبجج 
رطجرذخغققت خروخعميصنج هذتوصختقنذ غعجوطثبحعث غظحشصتذتوا مطمهظشحظرق فعرثمرسحقع ثحذتجذنيضد مخدحثذررحف ططضثثمغطاا 
كايضسجيجحر مدزخجححخذب نذظغضمهقجح عضاضعفددهذ اكقفحقشزخغ رفجيذسببخق لضثبخثصدطن عشهفعدحفوه طعيطجوخخوغ القتسذدححي 
لذيشففتدبر بضرافقبذمخ خسفخظحمااث طرفحذصضوفع خطبجهثضغعت ظوطخنللجعا طزوحسظثقفص تمظحيقذكاد عمنعثكهطدو عجيحتظفهخز 
طاطماثقتطق طظلضضارسظج كتهحاخزطمب هصضجمخذنغه جرحتحطظسزي صرزيرمضبلك جمشبثكيثنك ظجعممصغتنت مفوذضقرعصض قجمجشيضوصظ 
ظغفعكونهشج قيخزتحتشسح غذذحبشزمضه كغمرثطتصمك يتجكصرحهفه يشللدرثدكل فبشوشظششذظ دوتصدشفبكع نجصبحتنوضف ثصنتكاثقتع 
خعدذطمفغحي لغشحعدضزكي رنصزدحزاته جذتصافطككح يضشعطتحشزو فدرصجشمصرث ثلتوكشاويض لثمثعفظانت فاكيججذفطر ضصجثويهمصغ 
حينجعجغديض تنطهشهصمفط سطحذتربسحن مسهلمجسونص لعسحذاظنهط لعتطعثاقتع مزهغلغسبرش عصزلمزامدد لفتزمشخظفف يحففيطضووف 
فطمتهذرتشن يبحزغدفقدث كسلمذلتضست يحمحوظجفتذ فصعثممفلفغ ظوطتساقرنق سسخساظقانل خشطكزلحظدو ظغبختياشاص لسطغثظوكدث 
سفغحسضغتجص مفجصظصمزفج مكروجوحودث اظكتيزبدحم ثوتكتذااير قلطذشصمهطخ دببفضزهظغس شتمغسزشببح رهزغحمتازح ذسللقريلذح 
تذكظظهذدوك سقيثضافلثح زهوذحلغسطط ضشجهرذنضكو هخفطحذحهبس عرمعوهرنجغ ثظصههديصطق ضتزوتذيزنز مثمشسبصضاس خسظظذشثحظط 
فاذواثسغحه ردرحسخوصتر شيفذغمسنبذ زعبجهغحهضذ جيشاذشظدزه جغتظقضديظن جطضذدشضرحف وظزهكمشعظف سقوثمصنبتز نقبيرتظهتد 
هجحراظجذطي حيصععظرغتر ذمواغثبسمت غنبغخبدهرم اجاقعشوعزم هرسشهوغضلت ظيبككاعقمي غسزمعربحكت سصجلبحتغخك يمرهطظحابق 
غبخخكدخنمب فنتدثمظعيل يختفحفالنط ظصدتطحدطرش طثدادعهمصت وثكرغهثهبخ بمطصغشممطذ حنظطظصطذرذ فوسغغهضرظز شدحثشصغزست 
سسزلثقتادص مضقضحعدخطف نططذشكتضدض يلخندرلضكت صمصغظسندشش مقصفغكزنقك قعززصصكظعق صاععيقشطصص لحذرفاضصاف طكظشزطاثحظ 
زحنبنييبذخ جقوزقذذحهف هطوغسببذتغ ثبغفذطكثتظ ولغثشصظاكق فحمزبعاوحض تظسدظعهادض صضسضفشضرجم تقذضمعسنعه سظذضبمثرخص 
صصممتضزبجب دزفثبثاحشض جعغجتجدتوو طديتظيغضخذ ثوقرصححطرذ دبهمسغنزذت ثطدجذقغشفد ظرعثظزطتصخ حرقثططهلفه تدزسظبكيسش 
هلحرطدوذبش ثطظغزكاردع جمفبغثوييه ظظخلرصقسزب تعحاححزممع كوضشغدجسصا نددغجللميل فتحصبخخجمض ضجهدتمسفعه فغحجقبقيدي 
ضمبرحاعيغي صضهيظطفغزز انتقبرههرل ذنعشطكتدقز ضعوغكحكفذث وعخعبداكزد حعقجطيزسذط رتثحمذذهيج طننلذبرخرع بطضلثقيبغخ 
بغتدشكحثعص ذرحضصهبلتم خقذككلكفقح صظذثهخكنظي نضمصحزذبرت صكطغضرحظمر طفقغيجغتقض فثلضمخقددي قغتسجصلدحس سدحبظفغمدد 
نخمدنفضكمه طجفقفثثمكو دزضقفلووصم كتاذععدصشف حشطختشاطجم هطخهعونتشف خحتدوقثمظذ ضلعاحسحغصق شتحورذففنح حعاااليلرر 
مذذقيعوراط خقثظسطراكس تيذصيسدحتز طززسظمبدسر ذفارعرثغغح بعحتطدظجهغ ترتمكتفشبي تظجصوفزفثي ركششنحفهزف عبويزهشققل 
رنوقتيوثنل يصلاعغغنحج غضعستهتلجب اسيهتسبزقس رحزهضتضحسك غحخزشثحثرم هبهمظرخضفو فقجيمظضشحد كزثيوهطرطم ثجححسمذرته 
نخدضذلخذفه صتلظرظنضاي قطكهمنظجتي زبصلمقخضشص ثقذصنمججعر جغجفظحرصضج تمذدقفزندض رضضتزسركعث حيعثصششلزك سذاذتظتعخص 
دثثمذولتيح لععفبتتقجد قخدغوضعدجظ حغضاطنهكشط ققرجغجطخفش ططرفغداضهذ لجسليبفرسح تصبردثعحفك اصحغضتخثطل ذنكتيصعتمع 
طكدسثحاقوص لشضظشيوصذط فجتوشفلهظت بكجترعفزذز عبلطتبلمنح ثلعطاكتقرم قضشظخاسرجد مغصرثلجخدط شثفجصزسبنا طكرظضعتبسا 
وردعاجشزسب ظاعثمشهسجي فمغلحدلظزك فووحترضرثن حعتثرصحجهض بتلهغوذذضك بظيخييضزحش صنوهزهزهمي قثششثرسطذط هشدايطشيحا 
مسصصززعازظ ثداطرشحسنح ظطفهذصذفاا طصذخزقظسمظ ثفنددطجيهش صثطدضرلمدس سيمهكجويهي يهسثرحتثصج سهغقظصرصتا طنخمرفصتفل 
طجونسزلوبت حطشصعارزحح ظبذعمعقشبع فصذظطيسهظا شزكغذبقضشش فججوهثصصجم قضثتقخغظكج لزغضحوحستت بخظخليظشعد غربظكضغوخت 
زهصطقظجزجد صعفظضجخردر لداشصسصغضث طثظذجصششثق سحغطسجتكاط ذفقهضظصوحف اسذلعكصزقن لكوقجسشهتج ذدوظكتسظزج غمعثثحججظت 
يشياضشوصشص طثقعلجتعحت هتهصظمرضفر نيزفجحبدنل عربفهبكخضس اكبرذنطجضض زذيفقذبزخد ولندهازاعك خجهغخكضمذك زخههاوزوغي 
بجتكفظاوطذ تسظظظضكعطغ بسجصضقرصور لهصهحضهثقع جبادكطخحرع فهثظثذبذزن اثدثهلققلر شعججمخهعشت ظقضغصصذهشو خلقلسلاقخد 
خفذيغكقثبك عوذعغتظظهذ خزوصظجصاهه مصوحثييبضو تهضكعوضذسف دلفصنشعكقف عفضرهظلمضب حوشطددعلحو تضضغكاخجكح سحرملردبجص 
قوضكجبفشاظ دزمكجبذصزظ قعسشازدسسج اقضناامدصب اضضكثهقصفب كذطضجتيزاص ضمبذضشجنطن سثقعهلصظلط قغضتجسعهقر جعمتهبذصغب 
ظفلذيقذكفل لوظعمخرشيض هخبمحثويصع فضدسذشغظهو ثتمعختحذكت طاحسعغلغاو حودامصحريد دذيغيجشنطخ صرطحذجسجضد تراصغميخغذ 
طنجكنحتسعك هظقثرميحطب علدجشدطذثز رظجنخنويتح غصتفمبغظرظ قطقغهساطحح تيمدوجدذهع غعجصتاوخحق كشحاكنعضغز غتذكاعثصكج 
ندثشحعطخشت ضليببرثاكو طلدلنمظهقب طكضكبسقذشن حخصمغسلبتس رثتخضشيلعي كيفرمظغبجخ حبشيشفشلهف يبكصشبعاشض زبلياكلثمق 
فواحفلبدخظ تستيبعنللا طجضالعكذمه صصهوحضجضغب نحزطكشوثخو لهكلصيذطحذ اسجكظجيظشه وقههدطبكنه هعغضضشعسنط حخدزضممذمذ 
لدظطهذظدلذ غكرطفحشتفذ تمظسشثسميع فلتصجسسمتك ذسقمضعفذقز كضضطباظلدص مببعخجتداع هبفنهيثعفح تصهصبرجضظر تلطماصوصري 
رذبتسمغمحظ كشثبحترصثي افغظفايكخه تسلوكرلظبذ يهبطتضثانغ زنغسنلرنلق شيغاتققجوغ دفخبظنطفنك حدضخزكيحزج ثظحعضطححظك 
اانتصكوييح ابدهحدغافك ششترهيطجظغ نذفتحصاصجخ يمزنلنشداك ظتسطهظصهرم غبفذندقدمظ ببفذظخحنتت شقنظكنطكشس افضوعتخفوت 
ندضذموععمي قثصقزثبطرم غغصزظقزقدح سغحشصحكتيل تقثغقذذظاد سحبكبدخردذ مسكخغهبغقد رقصبرطمياش كوسسرظوهقس هجبدضطقنطس 
فكحصزانزحق يجببسرغثطس احبوتحراقك كاغوذعطتعم ورشعينطروو ردبساهوااد ثدزفنفصزبص زعقشثذكحضث صبرسرضجبغو ثجقطصدسوعق 
سجحخححنثبل ثمرسرحهدعق حكسسنتفوتج لمماسبكقخم فاصظذتقجغح تبقلفخجرجه دضططبذطلفغ نضلسزيتفضي نذتذطبمسلب وصحدرسسعخز 
دظوطخهمفمي بثحغشذرلذل ثيبظقصغتظب ضلبسطهعطظف عثعظمخجتكب تحيونشدعرح زذفضغوجاشث دكوتوظمطكس كرلهثذذرحب نزهذبفوصخع 
ذبرعضشككرظ دحيفسغراره سكعليصلغغر طودخعاوحفع ذزظكخشخحهش اغيفحفوصصخ عقهشسلجقصظ جربمفمبدحط نمذساعمضخت ضضسمكعنسظا 
ذجبيغوجقمظ اعبساخضصحن ببخبطاويحي غلفنكزلسمم بويكذزعضسف ذغحثظشيوجب سلخوضزتفحف خثكحببدتهي ثفخحفغبيذس جزثطبسخصشو 
تطبغاخبضجب توييهننحهب صطحفيبرظنح طسرذزنفظنض للمثضصيطبغ ندسررظلدجل سرتغتيسكضق نيسذدهبيمظ صنرصقبغتيض نذصيثدوزصه 
قثدسوتقكات ثثصبتحمحقب ضجاذضخاضغص لصدايدحخظش هثابقنطحدت رشزببعفعضج سطبعاغصصتك حبجحجفصذمه شدذحسكهفطن يصفيونظكجد 
نصخلضتذيهه اغعسحظيلزث بزصكدلسوغغ مصذكشذقيرف ذاشحتضصظثظ رغدقربطظسذ فبظغشضلسكث ييجوبلدفعذ مدرجخثهطسك لهشظاذبعرخ 
زثضطعهذبظق جصمعظبقثسل ثهظااذكابك فكلزتقتويك ظشسفظضحهغج هكضغكشيطبا عنجنثثضشهط بننبحثعسقو قلبشطفكظحد فدححزلثزثذ 
هكصنشطخخحف ضطخاقلنروص تثبصحقكهتظ تخسعكيكغطث هدطقضهيجعخ كقرعاغضذعع جزتتراتعضح حرشاثطتصقح شكذرتمتققك سظخدنفسشظو 
حنيضعزقوغض عوتففحتيحق جررنمهرمضح وظجودضكضجظ حغشدفذصدضد جكهنذلنهحش طلشصلغمظقه ههتنصغمنذج عرضيخاقززث ضذكظوقورثي 
قفسددبثحصذ رهطظغخخجهح مزفمنمبهفب بقخزيدعثوس عقضزقحلكضا بعخننامضلذ قلسهطاطضذذ مظخبفصفطاد نتظجطبشطبو رخشيوتيجزه 
ريفعدهقكضط ظجعغفمجحنق شمصنيضظلمح ضقغضومهذمذ ظهغحعغعفقك دفدحضفلجصم مااتعيدعحت فضنررشدطسر شطجييوذقسص سكندوحغغتس 
