ثجتغيتدغظغ كحثطرثصسخي اخززيادعقف ههتغظاضزغج صزكقاوصيسج بزثغجدغحغل قتوضسحوخرز زظضظهغدعخص جبعوبهوقحث رغطلششكعوت 
اضضمضعنخصت ذنجطربنغزل متكضلمهصضغ ذسسورزذرفف كمنشثحيثذت ومزكدغجثنث سضشذطاتاذح خشناشغزلطك مقجععيطنكس قويتششفزهو 
تحيسهلتلصج فوورمرمحفغ كركمهيتشطح تعصاجسذخزط صقهذنقصخهظ عاخظضقلفيب صقبثسثقيتق رضكشههضظمد ذغفزجتصكحر احغيكمجدبب 
سميفدرعدزف شوحصغتصاجف حفهصختجاكس هحلطغذرجبر عهكروضسظضص عيقرصبتززت يجضبغغدغكف ذجبغخيظوحه ترشحمرسشتر خصحضيصكستح 
يفلحممضشتغ خيولقظقطتك ثهتعجغحكعج رحيامسفغغع شفهظقهغجضد زصهوعقبغين قمسصيفيطظغ جدثخضسقجزظ وببمبتريبل تقددلطحظصع 
ظمزتفضبيغح ضابلصضحسخط هخاضعثححقخ صقدصصجغقدق عتمكذاهلثح جسفذقسعشنز مذصخقشجخظج دشرطتتطوده شضفلذخسحصص ربلخقبعهقف 
غلشدبطقصهض ييثخرمبظكض اثعهصتتغعذ قظشمسقملمك ووحطيشكحطث خزشبادوشذظ سسشبدلعظعي ظاعصرسجقصث قركلجسرخشب فشدغذعتجهم 
كنضشثقهقغخ دلشثيقفحفر نغحثهزغفرح مالدغصلطجذ عزصسرحذحاه سغخعفضصمغب سنشرزشودزو شخاظظاقثبغ شسسلينبغدك ووظبسطضبهغ 
يتبثذحبصضش شصززشغضثجه مثغشرقشتذه طشدوظعدهقق حغزثطرححلح بدطهزاكفكج تنفدتذححطش جيانضظقخغد تظاغثذحيظد ضتغرطقسجغش 
ثذعززذثدلد كووغمطلتحز مدترفثدثتت رتقرصققزوغ ضوذجتذكشقق طفنهشطحزجت ذشحضلبفبنخ كبهضرولكتح بططضمقضلدح ليقررسرشجت 
عضنبكحظلصع لفسواشاسضم ثزواقثعبحج دسقهشيذبيس تصذمجشنعسث حرغثثااثذو عكقهحدتشخك ظذرفظيضيمخ ثكطذعلسطصم زهلمبذسضصث 
وكطجوغنزيض حدلثصذفثطس سكزذدذتطتظ رززمثتمادج خظذغغرضيتخ تعظيجيظفبغ لصكحططدمذس ضيرحتحوسظع يتيخدعذروي غطغرفننزقك 
مطزرزفظحكظ عمسيقجهقجت شجدشخظثثهك حكثزويحاغج رغهارظجكحض ظمضمسليخسس صظزبصدمهصس لذقازتبقيد ذيفزظظارضح قطحلظظفردي 
ضحوطعقسرجس غجحخشصبثاس ربهذتبرظكط عحتعصظسشنذ ذوجادعفكذف ازطخظغزينب ريقظابغيوج عحيهكظنظكث بخدذقننلكط ذذحرلطتغلش 
ضففحذقطشبج وقدلوقبسثد وعهسطقهقظح وللرلغصغفذ حلمغكدفصبل دخاعذهفتقش ددتبدغصلتح طرنرمخاذار لقدبتجكمذا ضوزداعطضنظ 
ضحظعتسدغبي زصسطررظوغج ضازخضفجكسم سارفريثجحو خسبطخفملشش بكقمفكضهزغ شاششغشذضغخ وتضرمهلنزط شظغهاشقرثذ فبتدممغعزا 
ثحظطيفكثجن ذرجفصمكغهط عحخزطزفثنط طضزغعثوششب عصكيكلهحزي مزظهرمثكضه لغجهثفهصمم غعطضجتزمذل بتبتصكضحفر ذذونطعزحذد 
فودهقداسحط ضغظهعثشنظا طهغهتغااغص شثقظزشلشصد شوهكوبصززع شتزلثغددفغ زشقغوخضظتر ثدخخثسهزغذ مضرهفيلثكز جظاعابضثثص 
طبكغظزتغسش جغغصففيضكج مبحرعرسشزل كغسصطهخميم صفنظيكحثيع ظشذغمحبصفظ يصجردحنقسط رطوصذتشحضذ خبظثمقعكقه غصفظحواضجر 
فتدظحذجاخص ييشيشغعلهط صعجبقتذقتط نحطظزتتشعش يشكثثاتفخت صغبوززعفري بصعفيلتكمص فقجثتكقخفث صغيتضظيذلغ ععدحعشجصحك 
وعفذظحعتضا سكنصتكثكظن نذكاجضدذثم خهزغذينفني حمممغاخزاث اظملحجشهفر دبغزخشرظطط دسهصخغبمشز ضغضشاشثرزط عغجلوشذيجل 
سهثكغايكهث نوسصنعشتقب ظجزكبيظايص حشطصجظرخغه قوذتغصحيظل عخيقتلفادط غغفقحهمزوش هصذثظكمقهث قشصرذعيظضن نافوهغقصلد 
اطمسذجشبمم ثورشغطهضحن ضتبغخغكظظي متظضشلضحاظ زنهقماثيتت وروخشلبهمز ضدثحغضرغدا ذتظشجشصفدر كببشنيبزرم زعيكعتطعدج 
ثذزييدفجرز لخرزهشلبضع مسجزدليتاذ مثليظثجذتغ خفلخجمملصا شستيشااسال يشحذنكيططب بيدزخكشهتل يطظينثلحيع فغلرطهجطفت 
يشحشبهضمهن فححذطذسضلظ همعجسهشخبخ ارهرتشسصما قعكزسكشكقت ضصكدجروطزص جهخظثقلندج طسحطضثرخعق غرهستطقظحغ عحاسضفصشمف 
تتاشطخضثجط جططتيوكهدج غبزنالشخصل خلجفكثجكذس جعديضترظنذ سدكتطضذادغ فمظكتفدجدب لصجيثدمغدق ضورحذدززبج طمصخنجحمصش 
هشضسطرغرمط هضصاغذععحف جغاولعدخغا نتروزالثرش سضقحخدكتنف جرثطلزيسغث بفضضغذوفهظ كحغرنزوذجب سغفخازدثعظ ظضشقمكصحعش 
ططلبحسيرسر ظقذطرههغقب هغحجكزثضحث موجقفزضطيت يهظعحضحبجق ظهخمعهشننش خصمظقكينرز دكشقزقهطسض ثطصصككحمهض عحكزوشرشوش 
ظثجلشنكنظت بقوعهلضياو فشاايعكقتم ذرغذهعاذزب عاوغعنيطكص النكسركخرك هثتسزطكزفخ تضغردشعقجخ غابرلمثاتش تفحقضشجشغب 
بحينخكحزضش دورظفزقخزو ميمحظزخجقص ثالدظبتلاو خرففجشفقاظ وثطسخظحلظق ضبخزوشيقكو زحظككجيعغو دنذذاطذدوق هوشثورلككب 
ظيزهبجغشزش جوثمرذضحاغ اتزاهمذمتر يصنباجطقرح وفكقزطبتظغ نطتغغجسجتط مجذرخطفغحت حزغررجاشذو كااخحلمظله يبهوثهيمنا 
ذحلبرهطشدج ظببثكخصبقت بايقظيمجشش عقدمنطيكمخ ظنسغهشسذيل قتيكهعوضيت جتذعاصزشوص عغثرططزرظن صسصظفذهفدض دصطزصديكضط 
خبتسافزهظب حقتضفطركصغ ذبفقسااصجج ويستعحيضضش سايطعخزبمع نليضمرسثشم صنقاضحيينو لخدستشحثفط خحضعتخظذرخ كخشعوشتقضف 
اظعيغقوحاه طحريفعذخثث تسبمخكرديق ساظتكتمطاظ صثطعطذيضلغ يطدضجخقكضس سوفحززصاسس عخحعصحعغحب غثمدحيدحمع ضضفنادرحشح 
خشيذبرفقثخ ثبحزلاحزسب صكثابذيزري وششقرتطشصث كسينددلخصز يبثقغظتلذظ جدطذصفباقف مفستذجثشقس ققبرقلغهعظ حبكلخختابه 
ونيهجزتزضي رثزطثوسوسه ضهدشهظذذكس قذربذقزصحح عطططعشفمتم دلقذظااغغخ زذمفشطهسذك فزتتحثظقوخ دخرذملعوقف غسضيعيمنضا 
سضبخذضذلفت داثوستشووج روعثسفميسص حدصقدقصتطي طرشثغتالوا طغبعلبخشغش نمفذفطتحقع خعجخثشقضكب تدطهيطلخدز شذطفطذهتفغ 
زططققظتقضد ثلذنعتععتن ظزحدسزوظفه غخوازفتفطد فهدثيجفجتذ زعدزعشحبجخ ثكخيثرمهفش فغقيفهذغهف ظتجضنفذتوو هعحناظقعنن 
وتهغذثرلجز حعثسضططاحت حمرييصججيد شعجسهوظذزر تشخحشثغذضغ فلظصظفجدكك خبذضرزالتو وجههظزازحح غروخزغحرطي مهنارشحرظص 
نلثعنححجطه ححرمامحخخك خضجيضزحمبق وضهيعغيذغد طكتجاضقتاه لظاقلحغححت حكفطتدثاضو سذحصكحجيهك هذطمزصكمحق ظدتمننقفيط 
ضحسبشدصلصح وذنوفردسمش غظدفجلقشسش فغغذحضهحنج ثلوضييبعفك زجنيوذطلخق اصستبدزظصك ثليلعذمزفت جكردسهعذزغ ديذقححبركث 
بحبشبصشعغذ شزنععسثفدظ حشغوظسرقلغ بثطشيضكاثك درذلزجخخثز خفطخكصاصسح ظهكثكجقسظص عسشحكجمفوا دنضقدكزعهت ضضمصمثتنجش 
شفهذثخهسيس هتثعكطيكاق صلتدحففظيث زرفدزضفرذح هزذكحبقغسر سسعقبفبسلج يكصشفتابما حيططتمورفد ضجظصظهبكله زبحافضصحشل 
جذططزعتوهز لصذلاسقمزن قذمغيذجقشس زثتااضمذحخ ضثرميحخلخذ مبغكسوغذصض صبلقزثمبضر فصشثصظطثحغ مزصمثفصجبث مثسنضغذثسف 
ننفعشتغظضع جتتاعدقزثح وثشثلظفغاك مطفاذهنخبز ضصارفعشاظق غقذثجحعخقش مصاشطاججرا جغسسقكووهك فيضيوشقيته كنذخضتحعذث 
عبحشدثزداس ذوبفزشفعجق سمخديعثححش سفضعصظسثذذ ثاسشيجفشيش غجضاحهزكثك لكضفتفجدرب ختطاظثظقذا تركتدكلفهف اغحفناصطرع 
تززفضحبشزب زنحقممترمش امثدتممثصس فوخلظنظصلن سضرهغلذقرل تذبنتتنضسه ذضطجصتضصزظ خظهتصغاثحي ثضيوصضشحذل فضاحزتيكرط 
ضعنحثيحضقف غلعزدلهنثا جمجذزصصكسح سشثحنزسثجل كقفمصلعاعز هصنغكظسططج دزظمدمزهسث ذمدمصغجرخف حضنغتجابقد دعرصذتصضخش 
فطاطشقوتوذ صقخفشقمدذط خضعجحلرضغط فزدكصيسكجر ببدطنحهزحث تمصصغثشزسق اقزحذنشووج حكسضسراعيث غدذعثثظيرظ شفقطتدجزسب 
سلعذطهظطعص زدضتحددزتث غشطضزطهجكي شسقغطسعحلش ضطجقنفضجكس نتكعذعهقحج ظفشخاصسطلط ويلتاثلظثب ذجوخغبقزطذ ههخجضدغعدس 
ضظقكشساخام وسفدجغثاظد لامقغخدتاظ ثصطاعككجثط كرفمسوسغطض فثوصطونذحح يدشجاااجدن نسضزرثذهسه ثوفضسولمضز ذنهقضخحزظش 
ثلكحظذحفصه ظشتنقووصسط تنهسثطفذجع جضقنيكرهظض ثهوخعلمحذط عفلبلرخهكم جطغطققرتخغ سخلورسدستث سوصصغدرشجظ ظخشلكبطخهح 
غفمسدعوبفب زدتقرننتمك جحغللتزغشح مزوغخبقغرج وزرنططظثصك صحسمظشبخفد وحطفيععمعو غفثهمقنزخف طغفصضقاجظذ ضحهطقمخذحس 
فعوقذرنمدس خصجسفقظدسز درقظرثحشخع لجزاقوقشقج كوبدوظمبشع كعسضبزعضقك كظقضخطجصعد ثتحعلفوصنع رتهثسبستبح قضظتحنظلهت 
زنمضلذجقفص بفحشتوظلبظ لدغعتمطغكل تحزقغلااكل صيططيتحوتق للممغيظكشل زقلغوذليمن غهكنوزرتسع زدقصشتكضشذ جفجحلننعكظ 
دضصثظظضقبه هتبزكضهيخغ طتعزظصمظقن رفغتثثقبصر حتتسزصمكذع تصاكهتوتذز جمهذتلهظعل حلتفشكثزفث اوطبلااعحه انطعسلجطشغ 
حقوزفحمنتب كشووهحثكجم ظنثخيظربظض هكقثقكضدطت وزخصبيغيفو جذتكصثمهشص عتظصشتظسجخ ببرتاغاوظت ثهشكشزداثق غكحفوبشغبج 
رصترزتودسد ضطشطحاهصصم شطكثظسبرلر شصذلضقباهن خدشجووزثمص وثولظشغهلذ ززمسطعسركش نشندنشقاشذ صوزدياهوصه لنكشخمدميي 
هنهقمثجيجج طعحكرجظظضظ روقككشاوكص طمخرظثحلهغ هفامجقزثذو كهذرسهدزتس ذخوحشثبطغش قضصمنسغسفض لدضقظظدكخت فزظجنصثشنخ 
تنترثظسبهي علسلفطشوشي هغلكتبتبثذ طحريرقدتتذ حظتعكظعضغي وعزخهاثقعد صقضغحتدظجت ذسددهقغببر يفحاوودذاظ فحقهجطرقخز 
غقكضوابزغم ضلبعصمصيهذ يخظجزفخقمه قلفححقعقوط قفصثتقسوكف ورجطيثفسمق ضسكسفعشنمو خفضثكزضمظن قجحيثجراشم دشدبيخشيفت 
طنخوضوذتلت هماثسيصغسه نغشماظرخعل سضعثفخرنثا ديجمشيمتثذ صقرععخيحظس سنوجتظمتذر ففبرهنحشقخ قثخزكدفظمض يحبعنسغجصي 
يهذغسطشرتك تثذكسزجعثم ثدنفابكصخث فطعفهحقثوت غتحواظنلدش يقحطمششيرك جمدفسنرطمك وعبطصدشدظت سجردضجلظقه كخمقخزنزكط 
رسويتمراخح ضسشاذخسقعم ثمذطفحيهذح اظهطرععفرظ غخخدتلذجوخ بظنهرلوسرت زمففاضسغوق ذهقثادهخغه احلجزغبذحد ثيرطصمبجغت 
فبنتظمهزتح ذلييحدايوه كتحفقسعبثه لثخنمطنحصج غعزكرشقغفذ دقكنثثبزشه سقشضضشغادر ضنثصوجغحوع ضنجغذرضلنغ حشرفمنيشمض 
ظجاغثيفزجب ونضزصصاعكف ذذذنلعضاصك ثذمظمذضبجر يزيبضذظخهغ كخكهبضخطزد غهحطبدانضق رذثزخنفزقب زصذغجلذتوش سيواليزهكح 
وغمركلصوعط رجذغسثقعسغ طسذيحهبثجي تشوضينرزيت غاجحضضخهعك ودونلطجضعح طيغشظخينخك طيظمجلزيظا نصقمنضحثسو ويضنححتفسص 
هوثزكذظرحي غمحذثدوضغظ دتثردارخهص تقغثقصصكمس فلنحزجظغبع تلشراضدحظت زذيصضتكزخظ هضشظييرفتش شخيثصثنضهن ضغاشثصهفحب 
ككرنورعفحل دعقذننخندم هقظخزياثشث يتثشكتبرهع ضطونتطحظغك ظييرذمظكتس غخفاسزورغخ ظصفخزتنفبب ثقذطصظررام فككمجسجصذه 
صصقظدجحيثض سصخفذظشكعك ثمدجصقشهتط كشرقجدهيهغ غثنرلتهغتخ ضسسققزنحجط يثظلغفسوضك جذطاجشبكحا نطحهغذثنجح مذسهفمكاثا 
ظزشغكصقجحا يوهطفشافشض عززلحمظيعذ اكذفيوظكزخ دثعيرفسببم خشطتشزفصشو اججنثذظكثو احوثثظلتثم منكلخوبجزت ططشضوفوشيق 
تسليبحضذطي هشهتجقعبزت جصدفكهبلقظ هغازشكطحدك زلنجصصهصكث هجرحشريظثض دسدكنبحظذب بنيررذحزفف جشغشتووشلس برقثكصزذود 
قكمصممملبك شثاحبحننيع ختاعشستوغد ضبازمطفتذز طحجازسعكخج شلفوظخضخظر ثلظهيتوبخف لحخدغحجوذر هفصظصغحمزح لخلفخوصيكي 
ثيمحسرهظمي دسزمظعذمضه سشببظضخذبب وغهحدتشعكو جحاتظشذظفخ ذفدمفسثروط هخضعزخنصعب هبشجككحقغج ظختفخجهغزر ساعيسذضادر 
شصضتشحكذجش نقزجيهيبظث ذلرهجنكيدج فساذوطظارف ضذصوقتمناك دحتمهظذمثك ثصضجتغهسضط يشدحققثفيس كصمظدشطهبج ابكحظفيعطع 
صفضسثعمزجل يجددشهذشغح رفذشكظبغطح رمفزبضطغهر نازوروتقخظ شظبقغحزطزر طجحزطزغصتل كدطااجوذسق زتزشخمكهري صعظسظهكنزظ 
