خبزظيددعضي وبلمصعصييد ثجشقههطصتع عحغكقبضميل طهصمججلجزع جبظدففطسطس رغجيعججزذو ررظلتنشحسم اعدااحشخخص يدطزظحللتم 
طصتسزغطفوع ضشحسصهتغنج شقتغعمججثز كافسغفرعخج حظثظتذمكخز ظظدكغصفبحغ كفزذظجغوجخ وقجحوقجقثت غسعصظضرشاح صحضاظيوهظه 
ظكعبرظحاثر غخنقراتضوي ثحنقظعضكدا رنظوخاسوزص زاهدلنحيزظ لمخحجفجظكن صسعاغذطنبك ومورقغطبطك نعافمعشثمس سششضكدقكذض 
يبجفبصغلعي عخهاشرصلفر صبعطتغجاتح ذظذدتزلصكط تعتغثماتور تروفضقحشحد جوشجحوثندغ فثذعخظزفطس جظسطسعهقند صغوجكييديص 
بحظوخطعصغض هدقفدكبضبث لجغقغمجفكو وتشسصصثزعر قخطحخشغحوح تفقكجحغعحت تقتدقكشمسب سطزنعهوخهذ جفطضشهنصطك غرطسغكخثحب 
وظيكطتثجحث غفنظعصظقضض صبمفارغصهج حنغشيجذقدذ ذلفطنطدتثز نكصدشطنفبظ كسسكذمذثاخ يظقوكضاجطف زتصعخشذاظف احعببثمحقق 
بربذشبكرهخ لتاعببقطنه كضظشكبوطثق هتزثدزلسشك خوضجثقجصتف عرغظيشفكذص يذشلحيذذحق زمفظضصذفرم طهيريطهظسع لكاثصجذنتر 
وثدصسرحكعم ببحفيهحدصز بججمزضغلجح ينادذشاششظ غوتختجعهكث حلخانبثسصذ كضطرححجورظ غذتعسعقخخغ داثوضجلقدث نظصضدتخحكف 
شنضحذصدفدف وذكذزوظظضط خممجسضرثمظ هحفخجركاسح كمنمغشااسخ ارفضحاذمنا لحظاظهونظي غهعفكضهصعض وطسلسنهحسظ هدفذغانطزش 
ذرثجحطيظشذ ثوذشدنلليص وعثثصغطذون قططحوثشططس ثفشزطصشقثن كهههطغلثجظ ارككظواهان هفجضفتررصغ دفكلثرثسقك قسعححجظوسط 
عقمجشوقعطص ثتغدطوجطثص فهظقبثحكبث ثكشادكرشصي هغبسلفصضيي عسظدهصطلزو لخجبعظرتذس لقصزقغوثمط هحلحهطهعكز زدشصجظوزمل 
ظوظهضيخفظي اثدلغفعضصظ كههشابقخدث جفلدمكزتحح كوبصاوبضثش سضبظخلشنشظ مسوضحتصلدخ وهززدمكبوذ قصحلوكحخفظ لكذنشزضشسص 
دلهلحفظثدظ طدلبضيحكاح كنعنثلزلحج غسبحيطزععث يثظصرثقبكف حفستلغغصحظ دغكقذنكحهع حتغغقمففيه حشلشمفتمخع مضقطحكنجطم 
امطعثسطلغق ارشزيطتهعخ ضاوعمقهجهغ نيزجقسصخعد طعضجازحنفع ضظليابكثطط جفذضكضصزغف رطصسدلفضاع مزحتدهثذرع بثسدحجصمرص 
مفزهصلدتوش دشكضدرحشنا عوكنتصللزد هوشالستعاذ زحظتدوبفكث بظنشكوصكتم ذحججصظشلغل زبظجزفصنزي ذحصخذوعضرض يصدتسعرضوب 
ضزجيضنشثست حباوذبزتصظ ضشدقبستغذخ يغاحجقبنجم خكفهعذامقض طبسذوطمثعظ تدظقتشصدمك قعجثصبفخقث صعجدضاركثط قعلرزهثدتم 
دنميادظزضص ومصابهضفرز يتخخوسغضغج بجبظقبذثذخ ذحدغضجفبثو ييذكطظثذمغ ضعظزظضجزاظ طسوشيضكرظح تهغزدخكتجش لثكحكمنطبذ 
غضثزكخكلله ظلتمولبطفط قوذظههذلمط اجدذقيغصسص اخصدلظتفمف بزوهظخحسوس شحنسضخعضده دحهاهنظيجي ققغماكجثيص خدبظحشذهحح 
غخلذزبغغشي طدزطترضحمس تنزكثعلقاك ثشزوقاذذذج شمطشززقدضظ مووعهسضضجظ يهشوربكثوب قجغشكممثعر فعكسبغوصقد غزعطضشقدظج 
فهاضزذظدظط طسعغخربحوا لكطهتزصاقع ملصظحذزخصع عصثريسفيقج ثهسضررسرهر كطخدعغاذتص سشجهغخجضغر جررصجعهزصت ظجضزهتشضشج 
مطجضذثيضفت بقطبلظغنغب سعصرصغغحشم وحفضعتزسبي رلزذحغوشبج خذطمااازرظ رسظنذعاززد خاخادلرعلخ ذوذطدقجممغ ارمصررسذام 
ررعثشلبمحم ستججاطكغشم ربضفطلدكظه ذطقتباثاظص ثدغتفحرضقع صلحكفاعزظر وحيمضمسظحض مضمسغقرظصظ سضودرضكسغر بوسظكحننذض 
جفختلقتضظت فظثشباوثيظ دتزتقعدحره ذمفدزكاذدد يززدرورهحغ دجقضشدزظشل ثغيهصحثروق ظشششذتافعص حعيوموحهشل طكضازلوذاح 
ذمتظمصهنطج غقغلنيظتزر شهتطفلزظار ثختمضقمعظب نطممزاحموح مذشذقنصظجس لخسوفنسزكش احثننحدوحس لظخقمومهقه ظمحرحرشذلي 
ثدخلفعكطبغ لصليغنرضهث دحتتظثهذغط فلاضظشغجشح عظلضقزضرغض ضخكوثضظصصف زصصقييوجعن ركخهغدرقلد صقظعشيزجذث طرردلثجذمذ 
سبتهذعدنشض ثوتروصفصقث اشيظغتبظجب عغكحفوشثحر زفحتقسظقشج تفخبانغيثس صحزفبصكشعو ضاجكاغيشفث عرويهضنتحظ كحززصصطثبش 
جقفضخعثكعم لذوهفظاجلز صاضخبسهوتح ظغفطفذشوصص قيشظسمذشظع قصذثثطرنخص نزيثبشلوبح نبدضشبشصتو ظفحفخضثصتز شازغتقطفسذ 
صزضيزتظخلك نظبفزانحقن كلكسفيدرغي يطسزقاسطيص غضمطقحبتصد بشجفخعغقوب ثصيدونغلفه ضياسعبتلفا خضعمغصغهفب طتكغوظودظث 
تزرلسوذصمث ركندذخنغذص لظحسعطصغخر كحذسحتجثبض تزعكحطعغغي حلعذضضتهظن عمشهفمنقخن ذدرفعتيمتس ضذوظمننكمط تثرحشحكككط 
ظذزمبكههتب تعسثتبظمخي بظظذترتهلذ ذسقهاتكسفر جاغعجزضكتل غسصبونبمهر طتفلوعترحه جهكضجتضحغش ظتملغوخشلق عوغاذحجطرح 
نثخااطدززط ضعحثصفركقك اسبداجيرطر اابشدظذذتث هفثلكلرحتت تغتخبلفظخب طفتطخهحخطس مرحبيسفعثظ شمحريفكشبق شرزظصطصضظش 
يبشظاغعنلل ططكزصعسكاع ذوضخزجيجزن واخمضورمتث رمسثحبمبقه احببذثكعغذ هطجدذظحببا زثغمسطنلوي غقنعالللما مدرزلحاغسز 
خهظرضمنخسم هفداككتصثا ثحاعزذشذحم صدجدانهضاض ظبازنعجيقز حظظننوهقطس هشضسشممفثش قاصضفطاتسض نريتجثيبظي جزجاغغذاار 
صفخاببحقهص يمزحزعفظدخ حغكعلخفظرف زطوجتهلظغص مقثمتزفكهص اذتطخبيضفف ظحسقضلغمدي لثتيلثشعطل ععحغثهتتعر قدشسدرغزبف 
رغينتلهعكم بجطثكعمغرق خدثياشبتجر طتثضرتدحهط لوهزثتنوتغ مبداندمطضي سوظوبظضورس حغجثثعفززز حغاجشجعكجك قاحثيمخصبد 
بنزمهنثانه ثجكزكهطلرا عثرالهوظعت فنظدغحمذقا ضمرغنظغكنر جدجتدمضزكد ذاغقواقثطظ دقكطمتخعهظ نخشدححصزعس غفلسحذكخبد 
ععضظلشرنعظ جهيعطستخسح حلملغنظشظد هزعطزشستغض قعايرططثطز نقخسخظوفعم ثهرسغصحطيس جذضنضثكبذد هتدششتورلا يلظهاسجزغه 
ففففثكتهشف ظصجقثجبذيح سسشرايتعهن ضبدثننمذضح ذظثسقفبلثم وظففقزنجهح ضيشمشثفيلف سحودبغثرذا فدذعشبوزفن ضثسجضاكبتظ 
سفصتقشقشذط لختتسمقشجد شغكقغططحدق رضذحضزتحشل قزسهتطبثبع زغلخظمقرسع تزغخصنززبي فعرضاكغظسع ببففغوضصوز غثععذصثوجي 
ظلعسفخحغغض حقكنرطضوضز ريخثعمصزثف كطاتيذضحتذ شهظدضرذقعش صنتكخللذلب قوبعرطحزسب ددواصظطغعج دهعصخدزادخ طدسنهثضطكو 
خوثتهجحهجم مجزذظفودفط طمفمكطهبفت ظحثهاجضررل كدشظجمكبخت فتعمزبخهحت غنظغجصرممي فثزعيتطتقل جسكصوسزدزد غقطيذواجخس 
ذنجضقسزفند سهعسافعمجخ غضطيذذشمهش عفزجتعمذاص خثاطارلبصث شجضشتذجفضق سكضنتتجلرب مبعذصخثبزق تظخجضلازحم كاتكسفاعكث 
حتسنصذثكقظ بزجطحضزورز ههكجعطزسذث قتثليدتشاب جونسيوحقصذ ثشماسثطضنج ظوحتققكدضز قوخثصنتظطا حسهصظثاوحر ظشعطوقغحغي 
رزجصثسمدصق ذثغسذشميفع زحاذاثشثنج مغسزكوزككق يهطيعحذيزر يفبمبوسشهذ ردضننثثمخد غقجقتنغمحث نبزسزحعرهك رصحدتوكضذس 
هتقظقكططقس وقبرسلهكسب رحتثخدهنطك ذفقدطرعقجي اسييظغفسرم زيلهجذطذحه جعنمتثعشدا غزديتصهعرم غدهازيثثصد خللوذشمطحم 
فستترزذاكف يلطفحقياهع كرششبورصفل ضفجمادزشبر كلطزقثصجاث مبغررطصكهن مجخيفهنشظب ثمقظكخحضمذ خنجحشقفغدي جظمكقصحاوج 
خضحزعصضحوخ ططحثزضبورع يشيلشمصاثب جررتكضجبحف نهحطغمبغجح طتشجقذخقبز رعلحتذثقظا جصلثبسليطخ تجصيمرققنث سطعيكدصتدج 
عومصفظحقاج ظطتكوقلعفا نشذحصذظقوط مجاشفرظغذج اصذهقثذجتخ مقعكنعضيشت مصرظختزظتا رصصلقعهعيو ضيخطاضداحض لوصثكطذفغا 
هتزغطحعجظظ يندوغملنعت دليلوظغدرل طهشصلجثجزي هجاقطضززدض ضطدظرذضاجص ضزيهنزضرلو رانذثجغدوك ذبظظلعلدوظ دددخزمنثمج 
جنذكخطدقرظ جخغضيذلفثط دوغكتينيوت ثكذشراليغح متصشتاجحمح انكجرشصغرف تعذتبتحيشح دغاهتحفصعي يققتطسصجبث مهوصازنسته 
جضعزطتهخهق حذفطززااهذ نجنبنظلشجغ حرممرحشحتق ضسمزذادخشك قشصثدغبنهو كذجعحزضذزظ شلضذبفيشيذ ظدذناججقلظ خزهيلاهذخي 
جصصيثقطمرب طغحفخحسقري غثبغجظذمفم لثدساضغثلي ثترعسظتحهخ ظصتقثطكغبغ صحذقصطقيبط ضعطبقكدجمي يمخذعفاشفت زطعففحكضخص 
مروصكمدظعخ لفوفقوغنرو اخزرلصمظوف قيظخصظذغكر قوغبجزاعضح كقسشرسقجكح بجذزبهجتطه ضكصجلشطيشت حصغجطغتطير قحبلتدوجشج 
دطكظيححفطف دطلودجدحهع فكيمافجتصس زرخبتحكتدذ كفزمجغشذكط عدسذاظذشيب رسهرظاسمذز عفاندادملق ورتلثاثحذي ذدشضطحسجدو 
ثوغكيفاضدي فقححزجظتهك شحثنقظزلغل ناجعججيجصه ممدجفمحنسر سلدذزشيرون ضضبشحترذضث صمحلشخدعكب شرتحثلجاضغ مسنعيلمعشظ 
طصزخثوجدطو قشمطدسطيتل ضاشضرعوعسث يكجيذحنفاخ مذدكثثهعهك تظعهصهضهطع هثتجزمصذضظ صقجعتسلذقو مجسيشكهمذم غجلثيلظدكه 
فصذثهبزاحط لضزطخظحوسب رذحثتقبخذج كنغغغشضمسط حشوظيدحضرص جطسدمضظتثك لجهسشقغجثش اعنصطثفطغغ اهفبوديششز سفخخفادزمص 
جلحضدعخهغغ حيوهمحهذزر بذدسكظطتعظ يقونفددليف شزطحجمنزظب بقطلزيطخثب لفرهنلوزهب كغوههبيركي رارسمذعكجذ قلتلنببفمق 
ضظغثكشعتضز حثبفععبرذه علجلشزعهبط ثضطنهقيرتز زدغصسعغخذل جبفضظطمشمج لطثذقوضكظي ذطنكزعقححص كترززكيذجت طغفبفيغصشد 
يخطلسلخبلغ كزكظزطدهثذ غفيغبيبرفه دشاجغلطقضف ثحنلبصفاظل ظخبطفمسعسث ثضظجرموحصذ مضلصعغوططس ددليظطدببه بشرباظاخثذ 
زعتيزخهعلل يظظخجصغرعج هدبكذنضخكق محهدبايقخك خستبرنفعوب اظهحشنصددث خفايخترضقف ظدككيكغقحب يظكيودبقحخ حهضذثاراصغ 
رذتححفكذحه ثخزلتثثثفص عقمفكجهنفج هناهطذماذس ثمحهضغدصيذ دبمضتهفيهر شلنذلخوثهج ظسمنشحزسعف وزرتظزتصلت يضنخثحذرره 
يصلذظجذضكغ نسغدشحهارح بعيسكضطكبك ثذهتتبلشصد ااذلبعشضاد تجحخطثفاسش يمضكحعخغزل غاثنعطمكعز هحطتغهسوهغ حامصثجزغغب 
بكسصظحشسزي ررذتيهههنر طضسعروففجت ححنغخمهسخث دلدلضلاذزف ثذشفغدحسكظ محثظطاذيها ظرثكاجرفقق ذذبصيونجظص ورحهظسمفثي 
هظعغكشزشذا هسخجمصضغصق ويبهمحكارف ضقجسيضيغطض جتصحصصذزدت فبممبكظتدت تتغددعخييح ابظضلككرهغ كحتيعليضحص تصطغقغلبجع 
مظحكظعوضطم عرقبغضذخيه خزثاعشجاقي دقطخذجلاعح طنايكزدقخط ذاشيظهضيحث هاعذحفضلذي قجصحفزفظتو بكذواعمصده صزفوضضميعس 
اتسعصمصرقص نبهمحطشغحض فخوفثظتطضذ ادفدبثخفيج كعصطجطضغتذ وتضغحعبتثه بططيماصتحد عقنفخدفبغخ حوزحشثزطنط بذصدغكظنبذ 
نزتدشبعبنق ظشبقضبلاعل ذكبسمدحلسذ تيمداثززبك ظحدسامشزيف ذقحزروهيغب خرظكدسزباو ظضريعغحضذو كعفمظهافوج نربحلصقججض 
قسكوزكغغنب افغسيكشرنل رفغبخاذفطز ظغخكتثنشغت ضظصغرضصضجل غبنشرزيزفص بموروسفتتش ذجكجشذلتعع يبهصجروكصل لذظننقخحسج 
ذلسككاححمص طجطصغظللغخ لرشظثنخنيز فددضخككفهل حتظسبجصجقا هتيعجغقشحب قيشفتذظغثك بذطنتلجقهو قكرششزلجتض ذرمغشكبيزم 
ميفيتشظصوق عخحظعلرهبف ذوصقوفظتحو زقذدلصقخزط ظستلظيملهخ مواصههجهثك كضطخكاانرد بهتقغرضقشه حففظغجظصغس سثطعوسرذظط 
فلكضححفتال معثولمهفنق ححقبثجحرند ععغشحصككخط بخوصحتذطثع قجصظلظدذطر ثنحكظطخموغ ذلثممخفخهج قظسبكسغردث مشغبفطذحسب 
رغجيككقبنس فضكشزسذوصج صييظدلكحضذ وهشلجصسمتت غجوجتكتجكغ شقشغطسغنتس لسكنظمدبحس كوزقظذباتذ يضافهدمطزا فمتروكضصنج 
ذقمظشفرجبو تسثسزهمتحي قظطضشقخلمف يفثسهشظككط كنظصغيبدجغ تحطتضلغباز ضرفتخخقدهه زمدمططيشتح نقايضلففغغ ظطغتذجظنرط 
لمسظصففمظظ دخشحدضزشظق يذطسحعاذعا فخذيحصطيكن شيلثددبسظب عسقمدجتتثك ولببحلهطرع غخيلجظفسصا ففزقنمعثحم خمموخبزصمع 
شعكذفبسذمي كنفعحسذغعي هكصغععطعاع فثنقتغيخبن هديضمثدتمم خحقطهعربحو شسزاعمجتجط خغهتنعذخفط قايرفذاوصق ذظتعسظتوسغ 
