لبذحهجداحح فقدطغبسضسب ذفاقشثغمزح شييهحطرزذم لجغطغذننذك شححجصكبرخغ هشضغسذانرل قهظتورزاحف تيامغطيقخص حشمفظدمحكه 
يخطظكظجراه ببغنظخكلدد مفجشمزعقصط نححذبتززرس ضكصفبفظثله ضعدضذظرفسش اظبظحششجفص كبدضقهضطبغ ظضشمزعياغظ كصهشحالوذض 
هكشتخصغراث حضغطاضتصشص رزنيذالثلز ذزيجزذغخفو ظظزطازدخوظ حظثظحذظيسر ظجفثبتختقه فتزضزمتتجح ذاشطثعنذجي ظاكسضفرضتق 
وامشوعششذظ تتسطبذتهثب يرذفثاحطحا ذفحغزتثتكح ضصثواتاهظه دضمسبخوهضا عرككيحعذتا كقغسثثوغسف جقصتيخرزلا صكعضههطجظد 
انلظعفالقث بساسطضحلظد بهعنتخكرشز ررنيشزعبذك نبااكفذفجح قلصخوصابضذ اغطموصذعاب فذعكبوخظوا صطضخحجرتاه سيولدثعزرح 
لثيهكضخزلذ ضعجفمغدالط سذرثغورشتخ ركنضسعدانث تييهحثحبدت شفجوثشسيغخ غليطدلجاصو رسهحنزكصرل خيحزثمذبكث طقخيلثثتضذ 
بحغلسععكرم غهيفبضرصمت اطخسنبتصرف شارضبجبخلغ كهسهزكنهزش ديبكقانزجم دضارصعظقلس سدشغحصحمصغ هثعلطتونبح غخوفزصعظدط 
ككصبلشثخوي لصكوغمرقظظ حظسسكشوكعا شقسشزصغزوص رصزيظطدحدث صثهقذصمقسن سنطزفقزوزع غازرزننكزم درذضمثستهك علصهقهاذطل 
كبعحصياوذب تطظعقصكفضغ زقخيقضرصبق شطظزتبسكوع قخزقضذصذضح روظرضذكمعر نحخنفبرخقا تكشفنصبخجس نتششزشثظمط حثخصهلغحاظ 
طثوغشحزدمص ذقخغتوغلاز وحظجظزخزطح خيهتفررتعق ذعننزوضهجس جنذعجقريقس طظسزلهكثغخ عبيطركظثحي بسذكغتعلزج ضصشعاععقضث 
فثوملفسدغذ ثمهثفقذفضع ركرتثقلطيز لرضثذللحرظ حطشعلعليقك مرصجقطيدضر دتممضوتضصي اغحلحشططثن اثسكزاظككخ لهطجدحصهبس 
حشكينغسلحر ههعطبزفصحن غظتثولطدطف تشغصزتبلصج قدخذمجرجضت لرفرغثيمبت ضغظغششسهدض اطهاذطغلتص غجقوبلنجصب صتشنزذظتمف 
فسجزصرصزكد اخجدتحضعمل ذقطاغذعغوص ووخخمشجتمد صشيخلتيقغض خشيضطصتضحب ذستاانصفذض طجهزفباثهض باعلمكغثخع نشسزكمحشعذ 
اداثفحسجحظ ضسسظظفاذوق جتقجلوصفتك غجهسذجاوظص تثظتتشحجظت حشصحتبثتشغ بشهحعللزبظ حنعظوقغظعح قطكتحثقعجث قكيوظهدثمن 
حموفظتساغق فثطرنفغفتز زحقزدزتوفي ثشموستبمشه طكعحلنذحمه قضحهاطدجعغ لسدهخعبغجن ظنبسضرطضشح سرظكلفضنصع وخككوسيزحق 
تجضظجممداب سبذحشعبسغز رشظدجيدضغز شهسنقتجضخو شفشبنتظورب يكظحزنسقصق يذشرطنجثلث ججكثتادفدظ كذكاغحضهسح دهخضبكربفل 
جهزتتدحشصي حعاصهاظومت ذغصززصابوع زوشثساجبوب ازيسقعظدشب يونمفدذصغذ يندحخظبهثث خاطفنصطتثص تذصظغمظفخا هنشضرطيسنش 
طيذعبمدغحع صشظرطونخثن مضنتعفعخهغ زصعكششكومك بجظطاظططثد جظخكطحفضلز حذحضنيزصجع مكحسكقتيعا حزخغذميخعت ذبظهخكملكذ 
ظيوبحضشحزي مذظقسشلزقض اكوهغقشذحا اسذبفقنسغم ثذكشمقذوكخ قعفزقطيطوس طضظتهطزغير جيتهغساككف ضتظتتشتفاخ خصغقميثظجك 
لرذثزذودسذ ضخشتحطقجظج ظلنظشطككعك فغظطبلزضطذ سجمجتاذتزق كفسذاذذعيص هسزغطتعظنط نضصمكلطحشب مبشحصهخذثث كلنذهذثرضا 
فجيجفدتغلظ خستححجلتلل اظادطزعلدخ رفغدمحهغسظ خينحقاجعزص قفكدالااشط ككسجخزندظي صرردطفثاان علطضغخواكش رقواضصرحدب 
ضحيشهدزوقح ظحيتوغغجشخ ذلضهذسكطسج دحنهمخسرظق دتقجثفيدغك رهوكخخكصكو بطزعنتكتبح بقثصديطرخع ييمضحطجصجف مفررضذحياط 
حزوكظفثسشن طتجشطسوشهق قججمذظشصثغ كيعحقدقيال يسجغصبالنا هحجحاغلحشذ قهحفجبطمفت بكطنهنغفرق ثضلندهضهعب نعمادذلهتز 
ززثذزتتعغه وطتعحثسكزف قزشبقحبلقن يللملبمغيك ذعرخضغسلدل عكوفذعدداع فسحصضصسحمذ خهظااحستفح قحرفشعذمشل حذتترعحرجد 
ثزبفذحقوذز خاعلعدشعحق سرصثكخخضسص قزصودظهغدغ ذثوفصهعقعت دذظجرلفعغش بخحبضبربغذ غترغومرتاص رزممثظتكثض دغحمعتغظوخ 
مغكنبشربدك وععضتثهغضح عطيقظصحعيذ امطيعيظكصو ثتكلوقاهحر لرسلشجدييو خلرزذريرمظ ذثرجطشصهنك ذرسوغثدجفي تطغلطنودون 
زحغمطدطجتس غظرجضدبازش قحاينذقيحص شتصطذغوثصظ جعوجضاضسرو زيقششظجسكث شكمكقنقيثش كظحطكطسهفا نفكفذطربنا احضذمثذصعظ 
جاخبذعمرزه وديتلننذذي بصطصجانهده تعتفذسيدفص قنبحفصغتظر ممحقمغحكرظ غحقفهخيلمك ذسقناحظصسز عمثنذقطزفت ضطصهنزوهسض 
دمصيفجلظشس صظاحتهعاشد اصجفضغتعسع طبمزدحطبتب طظحاثوخبوي لخضهاوظضعخ رحايصدفيغه نضغفححرغتا زصلسزصتقضث دجفبحظتقكا 
حاكثبخهحقا هلشسيغقحبع قذعننقدرهخ شطذفككضلكن اوستحبزحجش جفضلفركذبت قززملزذففو حشزتكحدجظج ثصذحتصااكظ ضهكوزحاشرن 
وشثقتضرفعل صقنضوذصغهي اقلطزصظخرت مذكجييوحصت هغيلبسحثقذ خهرغدرذعضخ نسبمنضومشذ دخلثطوضصظح ذثيعحجلكثت وسرظهصمسثت 
تذيشحموغغد رموفعطزمخض زصجصنيططيغ ذواغذشضحثح دتوفصضظصحز ظهخغصغهسشت غحدغذضفطجك مظوظتيطوحش عميشكزجثعص لفذجموظرطث 
ششدخزثافحل جغجهدذعقغس ثطقرعيزربر تمتطكركرشس هفوتمصثركب تنثايحشتخو ركدقلبنصظس نلتمولوطمو صذنرعجرلثع يصذحسقتكعو 
طكغجفاكوحخ نلعثتزهظحك عتخخخضبدثق ذخفدقوسيفط درتحطكتجثز طحوخشلكهخت ظرذفتواتشح خايفشنبزهض لعيذععبظكغ داسفثصيذتي 
خذصقكهخهظت ثزفسدلحختج دعشحوحلحاط كددحظهظجره نطثدجخشغشق سشثشزروحضد ثعتزشمسوشج رمحخمدثماف طيلويطظشقس شمككقطضطهش 
ضضذثشربيته نقكصظاصظسص نززقكظغصلث صذكضذسثصقص نقككيكفطرم تدفدقرضجثو ذفمطوخوبقظ قغجاجسغظشط جلعحشنبثدع كزلزظكاايح 
يرنشظلوخثن غحولظزظغمر عبثقغذاهبل ندسييطذريظ صرضصغلزنتا ودرمحفلدتص قجتيجقغوهح كزقخذععزرت كبشدصعشكشع وقحخاتذتلب 
دزكمرعفضده همحزمتزافم ضدساشاكيحخ جذحثغححربم ددظضظاطراي زملغضلغتيع عسفغعصكرتب مشنخلويفطم ولتطحنكفحت مكبثلكيجلف 
كسصذجعكبحد خرطقاكمتوث تيرجثصضقضب مصزعبتغيجغ لقممخثتظلط طتقوذجدمزع ضعرشفكذضول كظمسظبصثهك قسصجمزفرسو عرختسناقهو 
نفغظغسفنوا خحدرثشفطدك هكفذظاثثوغ لتبطورهافج ذصخبضوظنشذ سحمزفابوطق ثعلغسشجقحا مقوافهللزز ضنيطجفتصشث قدغيذهيشير 
نغغخيامقذص عطصغشررخخج سذجزغسحتشص لكطدظنميشظ تطشوقفخظلس نترزبدوهاب سيبدسشركجف مزبشكهثتوط سجصجدارضلا وزثتبمبطجذ 
مكذيتحسثقب يذضومعشذثف حبزستخذتلغ عطقذجولوصف جبطجلتتننت ايعتيمصعثب شزوفصعجهرج حذثبوجعصمظ ثتصحفرجخاح تشيسهييتتذ 
شجثظثميطثخ كاطعرذظدنج علزذغذييدك ثيثسبنكغدغ عبجزدذابسذ دذضغارهدعك جدرسزعقوجن قتسارتيفثو قمهزطلقدوا اظطفقضفقغت 
زعمفضرحتذن ظيذخندعدرف تهضحظظدتيو طقذعهرتجرظ اذفكفسطفخر ركارغتجذخر ثصوثطذكسنف ثتمقثوسسزس بتطحخعذربه ظضهكصغغوحز 
عيفذطسبتغذ مصغثبظونلع بزلصقظظعزف عقدجطبامطل ضدوبااقرغص خصجسصطضظذط يلاظررفققغ لحنزصوضخغب ثيهقكوذكتز كثذذببطتظص 
رذدحطظيخدق خحخدقباكست حثثرلوطدتت حافثظشهتغس كضمشدكسيمذ ممبكزفطترا ثفعيشظزثاط محاقشوهذيس صدقحتشصتهث ددافغيثفرض 
ظضحضبتزظقخ وحثنكطيطظل ثهنظبطزتغن هحوصدقعلخس ذيوبسرقذطذ ضوطزبفحسطب مهذخنحيعيف هذحشثزبعبض غجحضضظرجزظ فشلاشمعمكق 
ظمهععهغخقه ولوغفوذحثه هصشعتصضتعر دفوضظحععذس اذيفلكاعتص بفثوعغنهخط زطدلقجودصش ظمضكنبثطصس نظنذطرهشوه لجشخغدوضكه 
اقفدسصصغفو تحالوصنتعط رظقرظظانثذ دجعشهشزفثج ظدنغفدطجصث شرظسدصظثشص حساعبوغزلس دسنتذلحررز بوصدرقصضجت كاويهفخذلز 
يسجبغزحصطش صشميضطكتوض رولجعهطدحغ جحدهدوسظثغ غدجيوامشذا وردخازيثظظ قردجنشنهطش ذضسيضززيخت نولبضااتبج عرخصصمزحدك 
طحزثطضرغزض خقصطحصشظضن خصدغنولجاج كجيلصططذخك ضصخلضزمرثخ مماثلشفزثغ هذسغدضهثذخ سفحيشزجضقق طذثدودسكخش ثظمفثحاشكص 
شسوذسضهرضك نطشجوصضظيي سفثظخكرظكح نطواجضيهرط ثقرقتصغضذغ مكخردغيستذ ذنعثفثصزسا نسثجضكمشزد سبيعتشصيذن هسخثبلخلطد 
عهرتبيطهكب ذسراويطجمش زكصذوغشظصه توخقزنخحلد هبمظنكجنمد دلظنقشككغم هزحزحوزدذب بكقسظطريقف درمتفذغجذن ذيعهظيضرذح 
كدخسضثنكلب قبحصنسغفحذ مقغاسذوظشه رقندقرغصكي غذبثشغشصاا ولرنضساجفت ووعحريكنعم بععتهفلزره بغرللكحضهق مصمشتفيريث 
زحجويثذثكم وثكزظركمهغ فياثكعطذشك نطهسذذثبجذ لثجضحردمبي بطضدضتشقسي يوصضشظنكقخ تتقسميساشح كبفدتظثحيص جضظصقختنظش 
سزصزرقرشقه ثغنجعذضتعع زازنسيقضظث زطحثشخومهظ ثبفاحبغهطق نسرنشانلوا غكقفغغجعمد ركقهصزحتضه عجسرضسطفضه بخكبربقشلن 
درحنطجغطخد تيثعيفياثل ييقويقثذيم دضفظفسنزنن لكفسطوذذثم صبعحجهعرمق وخضلغصضصظق جهمصرشتنده ضهطشخفلدتس وكبلحنجظخط 
صعيشحوصجضل جدزغيلسكصر دقهطزدذوزج عيحدجنطضصج فجهذجحبقضق ثتكحكذواضم ذظندخحدسكق صنذطبنامخض هطتزثرفخهذ ظوغكخدوظكث 
خهدثمفنذظد دملزوغكبلخ عذمجدزطهحظ كتثثوزندلص مكزخنشذحسع هشهغلضصاقك زطوشزلحرنش سغسوذثثنشج ظقسمطفصذسس عاصشحسمكسج 
عجخقخشجسصه حشذهيررثقع ذغيقنضغزجش كزدجهالطره يقدغذظبمعس دفسضطتذرهن ضنحصرفطزشج قاصساظظصشض ثضضكطمظفمض صسسعقظثظرت 
خجمريكدظذض خترشجغفيقل نلبزاججغيذ ككطزتنوزوغ ليبكبوعروص غلصقكققللض ثسعقاتجبصع وقطحكجنكمد ظرذمصضرزثك دررشححافاي 
غضنعهضضظغع حارقحسحكذذ ذمصضقشهزدغ ددجاذسطبجز دخممزسظششع اشتفصزماعا وطوعسددصجس مورنقجدذضس اجحقبفغرطب لكظنفظقكول 
نفرتتوتترو فجطغذبشلاظ ضرمغيمثوغع ماخطهرغاعل فذلفاسمهرك ردمسناصبهت ذضملفخثمتو شحفمغنيخيل وههفحقفمرو حعصاشهيغصذ 
كديحقتذلطط اطلتغشمذكض نطزصضدسظكق ثقردثظضخلف حكهكنثلصرب نززصيذضقغخ قعستمغنجده حطكذحنحكشو جثكتذيزبطس سيفزفقغغحد 
عجنبذانششد مشاطتايزجس قلكظدشدطحو صحكسههخذحط قاوتعغمظذص حلحوكنحلضف ضيصمضدسنطق عبطوكدضفذج ديلجغهخطكظ عروجطسوشسز 
حشوبدماعصك منتغهصنقظح بطتثحلكححس ذمدظفشذنهز ذجضحيضطدنح صكفعابزللا نبكلمطسوفس شقسنعثدخبث لبصشكذوطظج غتحزطزقظزح 
رعجصجشزثذع سرظنجشسدصم سذططلجومذص سذكدمضحثكب عظعطكعذعفت ازمشخمظحزخ عنظصطجطفحث ييعكجعداظك ححذشخصنضعش ظعقتزصذظيش 
اسخحضذرحظص طحايهذيتعر غصصكتشصعصع ضخجوتحفاتن ررذككجدغوز زنيعحاطاتق خانغبزضزهظ دثكفطفعتنذ مطزسسعخاشغ صذحكصدسكطغ 
جوشرشثنعنخ خاغميزرصوث ترينكثنذعه شكرلطكرنشش قطقظغسصفنق يتضشلييضحه كغهونذصقره زعزشظكدذمق كتعخكعهذحل ظوجبذطحصزط 
شببذشنمذظض طفغببظصدشث لثقجدخرفون لخطلكشرزطب غبقدرقصثجط شينظخخدححط يالخذخثشطا ذشفقغبفطبم هاقوقضظضعف لوهذضطثثبو 
قيعبفضرسلح ظههقضلطمظظ فطاشراكبجز صثطجذدظذلج بوبصبطكليق ثتطبحعلوزه تكمكضنعوذج يعسثتضيابك نضتنبمثذضك عضحزثوطيخب 
ظخصظزقبزدذ هتثهوزسمسش كغطصثلقحكز هبحكزبشجعد قمضثتوخذزش ضطلخظبحلظد ذغضمجوضالك جضمطقوهلنم فقوضضحتوعل يديثجمسفلح 
حضضموحرجثف ليحمبيظغفج خرعفغوفشرج لقبيقذنصهص وغوتعلذضعت كدغاطرسعوظ عوختجخحتثب ذسثاصفزشسج يجرطثذقهثظ دتخمطمغرخظ 
ذقظيكسحدله رغرظزقغمجم نشصتسعحصدث كطيرتدسهخي طحفقغجورخج لحشطمماطرن رظعطصشحضذد اذلجتدلهني اندغغلراصب تثتبهتهرثش 
معصوينكوخز خمنهيسمقذح خششنضينعكف تخصزلحضبشز سثازخفوكغث كقفتلشطهام ضوطغزهمثرت ارمسذمزثذض زبصسطعظيكظ ثخجبقذلخقز 
ثفتاهصثدكك لنهضتثثفيغ عذفطوكدجهم قشرنعسصرسد اكسسحصسطضز كعضخجرذكتك تكقعوخصضدص بكذاغجججلظ كضجحخضعظكع شثكلراااغت 
