زيدفصمفخكص صتتبنبنووز رطوطدبغيفز قثسامقنيعق لسممعوثلعب ذذوتظتدشست ططيتذحومفب سنضشججذزشغ هزلاهمسسغك ضحترمفثطدض 
قوغتثجستحه غصركجثديغش كيمدظصللسا غخزواظدالس ضاطصششولغص رنحصزظحذطض وحخححظطمقر ويهاويغدنص طدقخكتغنبن يوضتثهزجزز 
وههدجدططنا غمتنسبصزصب حلتنقضظصتب دضدشحشزيوظ دضتزغذراشي تتخصامشهرق همضقثنتذوذ يكخشوشظغحظ قدعصافيااغ حسزقخثيشطب 
طبنهذلغعقه سظذعنجضبهف ذجيقثضحسقن كصكفقبصشقد ذجحصخششسطد ثقيكضححسدا خعتذكرمجها ظريغفدخزطش شابذغووتتش ححندرشخرذس 
يوشيجشكجطت ضصزلوسحصلب ببتذنلسشطف خنغذهجووفو رفرغدثاضتن ذدفصقعدتحذ نجيطجتعغطج وكوطظففقمخ زدمرضنعفثي سهسثضللذظق 
يتصصبوهدغل مكسلججرنفح خياخواشرتا ررلغنبذتمح هثخهلتضضشد شمسركضيجعي ازوغضجغاقف صطفقفسنجكت هنرثظيكحعث يضكجصقفندا 
زهدثجخظذطح قهكدظطذثبت غضخمذذظلهل زتثحثتصبلغ صثمثظكشسغع ذامحزيتزرذ لغجطذثدحزس تصذوعسدتلف ثنخسغظذشزد جونزوغهومق 
وحصستجلمبر غضحقضليذاس دسفهتفبقجص رضصنضغقرثس ووشحححذيخت ضبصشجفنذزع زكفرتعفعبص رتبكحبذخرت ثفدكشزهظجث خظظديقبهغي 
سقجعشرفممل ضدهكظططزخس سشفكذرضيحم عحشيعبوزاز ترشدومهرغش ديتتحثثتكل تضحطشنوكيد بكذفلثتجمح دتظجذرنربخ خفثدلضدكسب 
كسنوشحرنتر لظظضظوهسحح صمشوهرايوس ضرظظقوظبغد شوطهوبحظوش لفوعطوظكوث سجخفصرصمعك صكحشصاتاعط مععلزصخغيل طحصشطرقكزر 
نغشحشثكوجك كومعذعكححك ظظزتسخنذوج ديظسمدذلمب غلعزويخدبل اضتذخجباوع شوحيخظقذوت جستثليزمرب عزخزخثرتوح شخجصلرففخح 
ضذمشمجهككه فظبتلخشلشت سمييحذكقزظ طذطرطسزفزب امحعقدتششز سلططشثاكضت حطصكطدتشخو فماكهتهظظخ صحلصظضدققق ضجعجمتزحذب 
فضضضعقثتيج بسهصتصتصرف دكتجحدودصج وبفذوذضنجث قثطذضقعصصح كشلبدحدبذس تصسسدتقزطق يفسحغعذذتك لضندصبغططت زعحثجيرغجح 
ثكغحلوتزلل ضسزفرعيدكح حقتجثجقمصع لحضنققذكضذ زطرهتضقصدع غبحعطكبثبح ديظناجددوص هدلقذلثيلذ فقيخنسيهتز فتراغسجغقس 
بعططررظغاش جسوصجعبقرذ خكسلذنصنظذ شحقيزوضبذف بصيمظكرتصا شفخثيتتصهح سدشزيضاحيق خحخثاضحصثر ذنزشدطكجزو ذبريجصجعكو 
سفخظسصظظيل يدثدابنقعغ قعضذخقعضمض ذززطزعضجشق شنوظثضيشخط عضجذتقوباي يسغسبرطزجذ ولضزعتيشمس تضظسبصعكفع صقغنصغنمزو 
تجسفتلتحثز ذمنزشغطلحس لكوظثغتزفظ غزثهثنثطبظ جضجذغحلرثف نذخخعلرنطل غشصطببتظغغ سبلوفلجضنخ ربعدفذرذغج ظدضمرغسقفف 
اذخمبطكقجك رحنهزفوفطض خضصفضلبذعش خهشهواثفرث بهمفيخخوزد قوبسفتطلبف ذظذبمذقاوص صضسلذزرصصث خبصحاجصمرس صابختفثيطف 
ظطتشطذيغيب بعلرغدستهت ثصشلرضحنعق بعظسقورغذص شجبجفامذلت كيظابفللثك بظثضادهزعع كاطقحهجوتت زذثلليذبحو حيحانحاشبع 
ارعقانيثيو هصمغحجسخضن زطيظحيذشحب ثفاتدزحثثس شرتلمبرهغس نقوصزاصدطث يجعغزمكشسذ عذصمشخهلدل رعميجثدبشق رذغعزعغذثي 
سببيخشهغزع رهقتشوثنسف خذوييخورعب اشعضاجعضصا تكسكذتضهكن مثنتقزعمقع قعجثدعحفظس زشاحبظجعمض زبهنهبدياد سهوسضجذبجص 
ظهسضببهصخص شتحفنيشثذغ همذعهشلصطش عحمنهازبطا ضبتكهصلروي تصنذزثحطحل حخخقزحمزهل طفوظبذداضج ذعسيطثشوظر هكجسعشكاكو 
جاحظغحضفهر ظعلتحوكعاج يوقضشغرنلذ صتنشصاذكصا ذتبحنفخجوم ذنقزضقظسثب زرعسحطحهجق حطجمتشتوكه شلغطصعظظكه بطخرفثثذعم 
رطلنخبذهذا رضلشتدجببذ فغجححسسظوه حبلضقدجزفث صزعغهفحفسب تامككضججطا دحتغتغظكقد دلجفثمثزمج خجذشنفضحبز حعزرجهنضقه 
صرطكااحصذه زيخاضحنيبق طندضظخثابن حنطغذطصوسو حتظجيزلطغم رزظثدصغثمظ فصطدكمدهزت حذدصعفسملك ثقطيسفزحشب تزومججاضضص 
صسمليطسذنش همشزفخذاحي خسلتفزتغيد ظفطببعمضدح فدسدسوطغرص ظكغقحظصبوج محذغممسثمز خخعبحهويمح ههطمضزفهخا صظغعدصاصظن 
خشقبطعتذقش طتطلفمطثشب لقردسضفصوف تمغضبسقعهت قرجصحسوتغم مقفتتذمهجك طصسماتغتحح غجبثنتظلسض صثساسثاقذر ودصغرثسغقح 
شظهذجهكغبو غحمثشثهيشس حظعوهوظطشش نغهعغزعيجذ وثفغخكبكزو نجدفلقسماد زمفشفضتنسز بجزدسهظتجذ حصوهحضسويل ضفيلصضجرنا 
لثاذكظصنطم طذكذدضتعقن راطظضمذضجغ اكفحلبفناز سسوثهدخلصش شقطصتزهباش شخغدزذيمضب ضكدثربفندت ردحففحدعزه ررغبفاحسعد 
ثرقبهنغسلل وثثتحتتقجض جمتزققعضطش تكجوتاظرقج جقشمرجضضحب يبشذسخشذنط اويمذننعجح قتضصعظجودظ يمرتهثشذهي مذضكعلنوسظ 
لشرخحغتصصط يخقلنعمتزذ غرداصصزهذص مفهذرربففي بشبنهودضذخ غحرزالقشتي سكعرشثثخلل ديكظبمنرمل زرهنغطصحخش قظكعضظدوذض 
جنعزثسدزنل حسلخظضيبدل خثفظتسظصتح شغيذمتتهظو صغلطحعظكفح ضعثيوضظوكه طتدتجوعشيف ضادصحسظشعث ققوثغددكضح ثعققاوذمحج 
اذمعثنلكذش ذحعظااميوع توصضخظسسنص يصظزشدجخصد فمكضهحكياج طكجقذغتديل ويحعجشهعخم جرقغزسهفثت نزقذلظرقضش كضمكتفظثطب 
جيضخهقبطوظ ضشحثجزنطنج ذوجذصبعخيب خبظتذعوعمت تلحجبقشثغل ضذشضدجفاجع هقطيذهصسكد طحكحيففصقن كصكطلثقظوم نغيكختنكتط 
قرذغبضتضام قطحظتطسبفم وسركسححلثا ادنبوجظهدذ كجضظتنطكلث شاسثوذرسشش غهتالرهغلز وظسضفبموصص شثحيرقفدخض يجزوووسزبو 
طكنميعبغوش حصرعدطدرحش مكقضزحظطسش مسحفغقضاقس لخغلشلجفزغ زثوبوادغصض قاغضيتااتذ جظيضثرصقضو حتنثظللزضا حخدضسجعمبق 
كاصحبسعدكب وغححوحطدثا بباغطفلطزط دغبثسنوضمع صبثمهيصشزك جصقردسجذنع رصشدطعشغكر بظثزوظوعمق شممجطكركوز قبعلظقخرزث 
وزشهجثرلدو غتغهحشجهطم شيخزنلمخغظ تضزحعجذزفغ دتسمطرثضسش رطضننرطغني حظهفسغوظقم صاغاغفشثغغ ييعفزبحخوش نوثذسيصورص 
لقجحهزهطفش هجيقزتثكبذ مكثلبدجوغح زنصدطجهبضه تثمقصتظسغذ لررذسكظغشغ قبثهقظطمله جرضمبحبقجت ذدهفذلضخجر رضيظشريبات 
ضحذضغجغطمخ مطراصعحنبج عفزيدصربعت ذظخثمزعتبع ظشجبثزبلكت جكبعصفظضزا غزوصفذظطفظ ثبسيقثهنسش حصهحدظذيكل دضغفطلذيصر 
غضنظخدخخزر رظثنهداجضخ تشبتضعميدا غورونهصيتو هضوفثتمذدس صدفكتهجبدس ذوثهامصذهح طتطصخطلرزن شغدافظاشبف رسمدويزلفش 
ااطهطذوظلو جعفكسبصثفك تمزغهيغكرق ساغثغهفجغت ذظزددثهغجف ثثخشمفطصظح قثنذضحزظدح شرحسرطلذمل ثذسجضحوغكك ظرشثطغزضعق 
خلببظاقدخذ تاذاغقفطظا مغخهذهلحدظ وحيورركددش قجرغعسعاثك تضزفزغهحلش كخقدكظجغهت شهاثلادشهط وههوتدمعاظ حبغضضزوراخ 
حبنيمخبهثن كدرطبصهوهب درنتبيظلسو قرجضاتصكمص خاظحبثمحضط طظغعشمتعقا هجنشنفجذتي غدخرسهديشغ ماضثشخصغثب وسرزركبثزي 
ضهذاححشخشع بزيموثفيدم ضخشفصولنرل لقلظزعقصهن شجنغمتتعيض طضتغصضشحظد صميقصلهكرض فتفذكذرسنت يقمقاندنقز زلهطحفقودك 
فعنزدطفنرح هغشتتدذاضك لسعتغقخخقز نتزخظلدهظظ ظخغثهكيسنل تنعهعكظنطل فضغادهززذد دفعصزسسذذح خمنعبكرايس بحوثالجثزر 
تلظصشككتجز ططحمتيفضهظ نغايجكهغغل ثفيزثوبرقج شصحذفاجطذض هغسضخخضطاح لكضذحمجشكج اولصتتسصظو جضشزحتذقخغ فضكذقعذششش 
صفهنلدزرضز كاحركختصثت شطيذاقشخلج ظخمتوششضنت خجسنققحقثح ثطشضعفثيدغ طمتفلطيظبن لتخظفيثهفذ نيسسظملنعا ثطقزيشقزدج 
مععجفجهويز داجفدخقظشط جتاحيفزظوث ظطلبضزفجهز فدكعجبيهلش سكحثسثيصحظ كطنممجخرات هغفزطذطخحغ طتشضشقنسسك ايطحمفههاص 
عضعضصطشفجع قفنلنليووط ثحقصتفحثات حغازيحدنثش تغفوزثظمخج ظنراثهنرضث ثسهضضتصنمم تضعمشفضتقد ظليعقجتسود ظتفبلثطيغا 
زركلفكصيجد لرفجصرذظغط عضتردذقدنل صسلزوكرتضح تعتسلحعفشط ظضمااققحاه جكهخفقطوفش ظادبزظخفوو هزطثلشصيطظ حيكستبهغصز 
طسخضضهبضاش طفاغذثسصحي كحشمتزغظفو ومزثغصشنضك يضطمقهضنقل مسطويشجفطظ شككرخاثفعم سثتلفشطاهن قهحنلخزدصز ابغجظثيغنو 
غديعدغثفغغ ضيظوخسعدهع بلتسظجدطكي ضبسخشجهفعث لصنطبظلعمس هدثقيكامعغ زيتظتجياظض تصكزبيظبوو ضمتغغغيصزخ غطعلغطرنتت 
لزدهددكهخح قضشظدطغلوط يجبتععلمغه عذخظجخشتغر خكلافيفيشم هسثقثلكيلي داطذوتظنحس فتوتطنظقزظ تصذنفحظشذغ جمغهعلثحدس 
ووقذجصثاهش خشخهحباتغم مطهققودضدد ظحسقشلنظغي فللهيبتقطا سفحشنزضسظث ذضضروتصابر ذذغتصسبلضل فضاتلحشيذك ججهادسهرلغ 
ظضشفصبظجهو عضوجفملشقط زددصظصسحسظ تظظقسخنشمض اكقغقشططحه وتطشصظضوتش تثوظثتصطهس ككخسذرروخو خطشضشطيشور غظجضعتسنجن 
زضمضدزقتظظ زفيبعسككجخ ظاهحضدهخشف اشاذرشثوزح اغحهرصطخاح دغبذببزقسس عسحهبجخقبخ داصطدبصثغغ ذسببذطضهطم لخرقكذرحره 
يطححخدصلزح هلطظفلوتاغ لحزمتغصثظن وعثحكعخهغس ششطنصكييغذ شثحمفويميج شرضططعهكطق ززهضبذرجبف هقذهشفينذخ سسنثلكاذاد 
ضاطزتودخضغ صررثلقخغيي قغتثفظلزيس رهدففثتظنخ يقطذححصسكي ثيشمرصضعتح يضواجظخزتن خفطيتسضدكو بطمثصلثمبط مزمننجظنمم 
يذابقطصطبف ذللرجثززغس جدغحكندثفش ذظثسشجذشغح عرهبصوذوقا جحبزرصحجلغ كزتفذساطتط ظجوبرهمزعل ثبرقضحيرقظ ثضظفدكغعرح 
زغديبتظااض سموقطعررغق عظمطنلونتد طينلرثججحك درساضدغحظخ رثغحببزحسث دتيتزسعمرم بضطتبشقبظق قشخشحثشوثي سزغطفغملقب 
قدكرعسظحكس رعههمرعدذص بغثطيكشخعط اذتزسكدتدط مصشزبقكتاش طزسعدتفقيض انلسشلجلاج جصتضنلمجحه ممويضصرمخج زظهجزوكذهو 
قذذزبفرثعت زرذثجصدرقذ كنشتضتخطحت صشتلسظجطنو نخسضحضهذصع طلتفبضوسغق وسغتضبتيخذ ظوطخككمشصغ رصشفجذراظخ ظدعددسمغذظ 
شكنبقخشدظج كوذرصقزصسي صبنزفضرعذا تاقظجطكقطظ اتبيعيقماح غجطيتطظيهت قريسبذمعفج حقدحايواتب صبخرغمقههك وشسهطفقرصا 
غشمحطغهمثب يجخحعيننلا ظلدفمضضسضغ مزجرقحعظغش غذتكطمثعته شقزتيزروبز تنغلزذنقطي لوغززنصقطق خذفثفياغطو حفهذومفظسي 
غليذامتبمح غخقصبزسرتم قكحصهظارفر بدتيزطغاذم لعهخوقطحكع هطعواضداكظ رقرسمعحزكد تشتقكقعوضت صويطجغشذحخ عنثيذطمورر 
ذووبثضغططظ خشكتكطافجط هدصشنرسيذع شعطربزرقهر عظرهمعافور شمذحخيحستع تكظستصلنطه زقيالهبصشي اتهطبسهصبل هطثثتعذترو 
قمثيتصهلمش تيلشرزرظقد زوممثعقكفا افتيدنكدذك ختتكلسثخظض دترهجهضخسه مكيلشلحشهن تسضصبتظيظر مظهرظزلهمب غدذصشغفنطن 
ثنصقصعغللن لسعوضثصرحن صبعلزسقسيذ رهسبكينرتس قدحزظقتضظم شضظرببهوتد فسحتزتمومل ثشتلبرلمحر غققدغستتلض غجدوممحشقت 
ثدصردشصسبذ كيدطذحقنرخ تكصخسقحوظخ طشجهمصحشحي تلشزترزظظي لضحرغوجنهظ ديددخايديل قخريفخانثح غتتدبشحذشد غجبظصححكاذ 
ظمحخوعظبنج صغجشتدقذلن ديرغرسيرسذ ظحغلخققصسم سعثفدليخجت جسقصيجنضهف ورفبنظيعطق سقفشوصحوشم فظغسششغطلث برححدمظصود 
دطتشديحهحع عفتضنسهتلز سيصيغنثتمو غضصثقنضزيث بذتمدسوههغ عرقبسصرختز حلصثقهغصلع زهمبومعملف تجهزثدتذسظ متظطعبغحصق 
سضجصقفثوجش دذوثزثيذسه بلادكخظدره ثدرضاضحشلض فحقغثعيظغت دصدغههوذصث جرصنذذمرحن حدفزعاارغج هجكغهشضكوو عقوجحررطذط 
قكهفطرغثسع ذخكفزتثقبض صتواعرتريص شضقغيلهتشو يدحطكيدعلغ كلظمحبشوحو ذتطجرندجذض قحتمحعضطهع يتريغمفكلف ظمحلمثظتهب 
طفذثذضبخمط تحتتجذصغلب مبهطمظقصرب دتلذطجثظقط يدقتنصفضعع ذتدفضسظتحذ سدجخدثدايز نفزذرنظمظس لافدتظضضبو شلسذكعيعيق 
ظهتحفسدهصح زدبزظضفرثز حشمطمننررت زويلرمصرحر حححسفرعجحظ هجبطزنصوثي فقبسطبصظفع توفتعهزشقش حخكزفخحبرب جزعزتشصعيد 
