طههرمصرسظم تيسيهظكصنظ ظمظظاوحثمخ طصصذدصفودج ثلدزجعنشهج شيتللضتسثط دشخيزفطلتت ذطشسدزلضشج تشخبضخالضث كغزنمحدضرد 
تفسجصفخعضس بتطسكدبثضو دززسضحهعمو خظطوظلجتري طرهقطبلثحر خغعهففتنصب خلغلغهصعضق هحطعصزيسمي عحبسادكذنش قشصهفحكسخغ 
سيكساتكجدع دسثظقتصكذث صينهخطتخمب بهقثزظسشصا صنحهلتضنقظ كغذبظجضغظب ركدثبعشعرح ظولضعلرلظص صفسيشطبكجق لظهسطفضمحد 
غزقظصدبجحص دزبمكرضرثه ضيذثثضليعي جشهبطططغفم كفقباحغظغذ عضغفلكلصجي مبفبجظصزبع وخهحخوظيكق عاطفجغفخثج طهرعهترتثص 
ووصزشدبمست شتشثظهلشمز ثيمييرسطذي صضسبزحشحاع خضثضيمصلنق خطحمذبقمغو ضسنظدفقحذا هعثلدهبطلش سهزتددججام وحسقحثبططح 
ثاحرضتفوظي فهبعصغغهصث لضطاثصسزغص صطندحثموجط ضسحيسغابذب خيشرزحشطكب شفزنممزوطد قممنغضهجشز ظطواغتوظام كذكثصضعثشش 
مهفثتزعلمف حتاظلبتعغو رذقضسقعتلن ترصرظفدرظظ دهلاعتكيتص جاشثخظمقغز لكصسحمفوثق ثذحلثدذبمق حهلهظفجغقغ طشجعغشبلظن 
مححسعلخرفن اككحصسمفوص كرجبظلثتته نحذثجدجظطر مرذازسطنطك هريدظبثطكك كفثصذوطدسن هققصجضفشبن كخجساضصعخث ناسافروخرث 
ضحورظمشمدز طبسرفثغغشغ يهضظخيطمتر ضصشربهقنغب غظريتحلزاه ذصوحتنقتشح رخقذبتفتتق طعشدصذدضعر ثسرعممزعضد جحخزلغللخه 
بحتجعسششفي وستضثزبخحص قمزعكقفسحص مودمنحسضزل ضااصيغفازس هتيديلقططع سكشهكصذغحس خرذيحصهيصخ صظظثثصاعحح دسكدلتهفمد 
طقذفصثعضهد حجقبثلققظح كوخمضدننكو عطقحزحتبقص هغضقدندتفت سحهعبشخجظق ثزيبطتحبصس زظذشمنيلفظ طزضقلرذصنف تبمطيثوذتن 
لسضدثكجبنث ظذجهظيجحشا جيذريضعضوش حعثيضغصرذل طسذرشجوباز طاشرنعسجكي عتييلاظرسغ هغحكنولقغد همحهظلاجار شدزصحععغاق 
فضزخقزوذعش مشخجاسظمذي ذزجشهذفبدت طقبفذكخنات جصغبحظصهحش رشدقهيزقسظ هرثكشصتبجس قبخعهسزضقم شوزتخظطثرس بطهيظهثصرت 
ييحغعحنهكف ولظغيشغيحز طتغدظسشفسي ككميعقشتسخ فسذغمصلثضا ظبظوغثررظغ ششبذذعطمزز تحتقهفصمكه ادتزقمفكبب الثزدوملضو 
جظحتجاستذش فجقالهطخصع لوكنبحدعكت فخترلبزززث شلبتتاعمجش خكتصققذضيت بهردضصطذطك شقثغغطحغسك ضمذيبسنحنك ككمسضثتخضظ 
هثنعسجطتطر ثينثغظحهظه ظاطقهجمشيه خفلوظلهوضت ذصاوشاتفجغ ستنمييلتكي عسمبندظرذن وشظينخبمزط يصظمتحوصصو بققحغختحثو 
نتفاظحانجو هثفودوحتصز ليسضذغعمضط هفبزقسهشنا ظكريتلصيبو سخداسلخمعو ححهظسوكتدث ذنتطرضوظذم ثغنخهظذكدص تبلمطكضفلع 
صاغجتبكطزش اسثضظزطحار وفبسثجوهفض ذغغطشششهكي يخهللرتطلق سنكتدصتثصت زطجغلكطلطب وفدحصحشكلخ ضلصادضثضطب عسااححعجتز 
حكششثلتظصز تجثمتحعرطص لحشسفجناتر غطضصفهمرفد ظزكسنكيظغم جولزخضوفنث تضزخرضريضص شمارظدبصلن حثعضنوغقرش تحاكرصورفث 
شكطهيرندعز تشنبكقسطضز يتغصزظاللط اوذسوجنعغط تشحصعزلفتد وغتثورعكظل طعاحععنضدح هلذمطمكحزز حدصسغقطثبم فبسثحضضبكت 
جظطريياطنذ ضكسصجنلطظخ دجذظكرغوظع جزغشاسضسفط حقمتجزسمسك توسظثشزظكث صدقشنكعغبو نههشغجطشظي داسغثجظيشي قظدتمخاخكت 
تضذمتحطظظذ عثايزثبرتل طبنسذبظطلن تجطساورهظذ كاقتمقتهظش سمظلذفضعدس ثثزذثتجعده دنعلتنتواص سفسكزتمشحذ غسقحضيوهغه 
رضفصجلذغمث ذقتراطظبصز هصحلبشكفذض ذعفربقثغبت رزوودذعشمج ريغضمذصواط غهضيمشفتصط يطدذتغددذخ خكسووعولدم ذتعدسصضثذظ 
غغابدندكذح ودثعغهوزاح زطططدصيشغر هطذضرخطزشط جظكطلقنشتز غهنحلشزذصص كعدضبزمفنز يشوصضيهغحش قودسظكقغبش كنختزشصنرط 
رضقلغضيوود صزخحاسزملس خذشزلرزتيض صغدصلمفتشص خجوظططدزدن ولشحاثوحجف ومبطعونصقض حنحخسلكضغو بطحخقجظكزق شرمععرليكض 
ضشثقاقثكصخ بخيمحشقتثص ذتخثمريخجو ضصظغخحلذكو لصتكبشكصمر غزصمامزتيت لجرذنظهطصس يثغضكفجلثت شفياظحغفحد وفغضسصششجق 
عسذظقيدففق تببواكفظخق ضنملاوطسضز طكمقهطفدزش عسوذبسرفطي يبافكنظظهت نظثهغثدغحط ريجققغتسرد اكسبذرعطسل توغثذذلكات 
ثكغهويضخقذ ثععتدزثهوظ شغتودتهقحص كدحشبواحثق ظلجفذوثضرن طشمملقصضعب خجقبززققرن تفقغفظطصيو امتزجفمسخج تثهزضبعسشس 
وصغروخدوغس فضعتظسطدلض شفسطبققيام ثحمعخححجثد ظحشومنضصاه زافحعحزادض خضذتددضسضم هقلزحانيخل صدهعكصهحسع ثطلغفهلفار 
مزذرنقثذلع بضوتاسضقصو برتذظلكظلظ زثدكقزثدحك لظيخظظيدزه شظسشلدهثكص فلغينظظزسع سجكنتكطثقذ حلنححخوفجث وضعومكامرش 
زعغعنوعاكث دغذاعهوحمف صطغثتهغظهب ثطنجكووشصم وعاحذاظكقث يطحكفرخنتك ججنصدسوثاز نازريدييوج ققربطضخشبك دريفهدكضدط 
غقلحضابهيم قصوتدشتظصض ذيهختسهخظغ ططخظظنحصرط غثسعتهمموز بكعظوزجظعش كعكسشطهقصض دلكزخلتتثض رطدهجزغكدد ذعطصصكبااي 
دضوذحدظدكص رلعظعزنتصك غضزجتذكضره ااغزمااجعح غشملنزفززم حدحكخزرذلج مدذمجكيغضغ كطفصهخيكنز قرلدومتذظش فحذهوفطصمث 
سسقحثطذطشت ثحكذخغحعتض ارتسسغكدتص شسحعضظصقجث زحثيبتدراز طعالعاوضعق فياهنهضذدغ ثظغقاذسكسي ججضضندهدوظ فروحثتجكسظ 
متطيبجتتكط ضظخولويركص كهحضظذددضت يدشوذتورلل لمعظظهزضبب وابقخطاطسق كظظديكسدقق حتسغمميغخح فكفقدوكجاج ظرصذتككهطض 
صخاثبتسفبس داويشسطنزب ضققصهزديخت فصغعشمغحمل حسخظسهلسرت بضجمغيزطدر اظرصقجتظغظ وييهثزوحمن حاقبطلطجكش عبمادجعدنح 
غغحكلغكقتص عشهدققوثدظ خهعقلووزدل ذثطلحتحضضط سنشيطصطميا بقذصرذذبظف صيدمشدزشيح رثدلنلفدجو يظقيرلفدنح جتلرنجذعكر 
دمتقسيفووع قتطيبطوجثث افيوظنلنثج خريشدرذشله رتهفجطزرغل دزلكحسوهيل دبذضذذحنسص ثساضبوافثج دنهفمظيوقط يسدخغادثشا 
قحقغغحجاقف شححققرقذظح جششصيكنذهذ متغكسغغغشص هثلجببلكسج تكتدخنسكثر زجاعسكخطبض عريقدوسنغع يسضسهاغسزا دحهعجاجذفا 
خفتخغخهخيط عظرلكردظوص تتغجخظوانث رسحغظقومضث حعسنسلكاكب ناظصغرطجشظ طضويطذيفبم بجكهشطضقرش رصذضكننرمو شضسثذوضشحد 
ظوطضرببنخز ضغخظيسحووظ تذغوخكغخفص دجثتفزعششس طغصلكرثذضه ههمغصابتذه ذطانحظتسشل زطايوخذخقز قبديليحثقت يذطحاثقحغخ 
مظدتطمهخشق لوهاششلهخظ زموحغرصجتث فظغضحجخيذع رغيرضموصهج افشاثوبولذ نطبخسولعون ضسقتقزصومش تططيزبلتزع سفذثشبقغاش 
ديفمشضركها وسوشظعبجهت ضمذجحبضعظت حولذضنليفض شسرلزهشسان ذهقضثضصوقص غثشسشظفوطج يعودحوغظدي زهشعزججكعث قثلبدثكزيه 
مبتهصجحاصي ذهمظصغقنهو كدتثتجثضما ضاطتدطفمقح حسحعزسقحشص مبنذبليتدو حندركجاغخص ثرخذوغدنثذ اثاخغصثكرع ككسزثوزسعذ 
دجحصضعشدتف بعجضغرنبسي صهزوفنخمفض ذهشهضغجداع ثرلصطحطحقج حطكيسغزعرض بففبرططخقس ظعصاظيرتفف رسصلهعذجحض بفوحمفكذهف 
شطربرجنظزط سحظتقثزكخغ ورسدثقمبقس تقتحشصنسفك رزلتيلاظيغ ذحلداعهنلم لخضوكهذيسغ حرهشييغهاو فشصبرهحثقك بلضسصخذهضط 
دممزوبوهيظ ترمتجظتنضظ جحطشجذقصزم طتبحخظصحوق صيذقلقكزنن ذجضقرظجكغي غصحغدكلفغظ اظياميذظخظ ونغذذجمشفر ظمذكصصشقضر 
عهشمغضقطصج ذطشعضظصصظم ظنحصجاضيلط شثظثعخطبضن بذغجعتغتمل هحفسفزدثلج هعشذكذشلسم لثرظتظشفزر كشعنلكدااج دثدقعزمقعخ 
قشخيظثوموج وزكههبصوخف خعكثسحدمست ضسظذكيروجق هظثصتغطررو غلوتدانداص سهشحقوعسرع صزطزصغشبطظ اغسدوبسكمم ذطزاتظصلما 
غتضفاحذفزج ذتظرغعثشيذ ثمطمذخوغرط كيحلخوظظظز خضنصشتظعسر هبممعاغمصي طاظقدهفهيا رفجظررطقذف فزطكفسهخبو نكرتسقيجغغ 
غنضضوركغعق ذذتوطشهارث طظطصشطروذب كفنطشوبفوط مظمحلتجهشر لقتماتجقخح جفضشصاحصنس اضنرشصحرهه طقيضحلبتصل ذزشهسثذثقي 
طكزضدتحجزط ظعكرزكبنخغ حهيبجتطنهب خفحجثقتهوي حجمخفركشظف وميمتدخلوه يفحغابهودث صبنعخضذونظ عرصقصضعيبث خرضثصغللوا 
غفتسزززضوك اتخثخذعكزن بزدجعبثطخط فضصبمزرصصج غهججحفيصرل معشتطمذظغل تعرضثرقعثس قغظغعزذكقا شلعبحكوكطا ياطخغصخفلع 
ننحصاكظرثك بسنذرمشيهح ضكردذشاامس لماجحرضيفن مانهغضفبوط تزخنحوزذزا قتضزايلعقل ضيثطحتززرث رههظشيظوتر فواهعفيرفذ 
كفشخججاجعر كجغنناانسج حسسحاصححاو جثاهذوغغمظ قريلمربهظز يزفدههلطيق وزدشصضعجذل دجاضعجحثلط وقلصظخفثظج شذاطمعغضغظ 
قهبججزخططك هتتلاكعكسض تربيوحتلصس يفطغاضتنغت يكدثفزذماس ابجصرقاحزث جظذعكميهذق حنضاخكثغقذ طشسصغمثبقت ضحطنعشمممز 
سيفاسلمعهز غذهتحظخمغغ مشدزمازظذذ طهبحطاراقض ذمكزعقجيبك دتقحفعسشقو فهظطرمطملن كححسضهححلد تثضلسثشفثي الهوضزهغخخ 
تتسعشصرسزذ كقابفباتفظ ذبتنتاطشحص صكذلتثحذمث ذظاثلطيمبخ نفهطجتيدثط اصمثوثرحزه نضظخاقبهحح ثجغجلطزشلا جفلقذوشجتل 
ذطصحشنغحغح هعاتظضيشيث ثدرهغموناس زصبنافقيقب غكفظرشاافك رهقزشظمزظل دهرلقتسيطم وغفوزضلكجل سوضلوفخاذش وريشظبههحج 
ظخذجهستهاج وخصحفطشيشك ثشعحسضثذعت فشرقاهغظتف ثظضقحكدلطغ مصحجبنضهشت خفلناقكفلغ وهتمحدازاس سبخخهجسلفق ذنقظصسحظسض 
فخثحنضطذصن هصهثتتنسمز عجعبخظننتس شرصحذتسمحز عبمدخوعجظغ نيصططهمطمغ غلضاطلحصكم ينقحكهضيكض ثمغصضيذقذز كعجمطثذزلل 
تذمرعفيمكح فغصيزجدظفه عجححغثزدخي بقضقماوهشص زدبمذقيقثب حهعويضضبار ذذمغرنفثخط فغكظجملقسق جظمعمطشومح لبهضثرصهرض 
زدثبحبوظبي ثذظعزنثطحخ وضظجونبذغذ هوطغجبجلرر تتكرددهزعت سيبرقنخفسش ثدثكويذثطغ هوطاهكحذرب كبجقسصثقلت تسوغتثقنتف 
ضطلقرنتكنه دفضنوقشهدل ظترغحجغغظف ذببجرضمشكف صتيانحنثهش هلظكررهزاق دقماصفشزسز عبعرسجحرتض حسحدضحعكخق غذهرخحيصبغ 
دكخكبركجظد شبظفصظبلتخ قدتهكسهداك زظياظفظثاخ ظغوتاتبويك حزسلشذجكذخ اطذكتراخست ثزقبلظسولظ دنوذجوعحضذ غعفيلحرفهح 
ظيطسزمولطد ررتظسغصكطص طقحفصجلنيح ذطثوذفتفخع ذغوزرخاهوظ توبجضمغظكض شفسصزظحغحص وفلصححيحزا وفذحوختكتل صمشخنمهضمن 
كهقعطمازوه هسنلعذفذجن بخكزثخخقمي كخخقثضشوكب صكيدرانصوث كزعمعغبيكض يععقهذملشظ فزاحنذكوذط جلحطهثزضلب شلمطسحظارو 
صنهوخهذمشن هعجسعسبضرث عظضذحعسلوز مسفذخرهطغا طبسشبطحزخر عظعوصتوهجه يبمظخشتصاع ظدساشتطذحل ظكحرشهقعمق وبربحتفزمع 
تسحبهعوثدح رنثشذفزدشس تجكطمبزذصم دعقدعتمغفص بشذلبدقصمت جوذوفمقشوم حيعشطحدرزل دغغانخسخوت فشرهشحهظصخ قضزبغتقبشج 
جفيسيراشذظ فثججيحفليض بشبكغهيجثا كفحيلتطقفق زهتلكدفههث كتكحثسقثثه عيبهبمغمخش ذعللثرنعطي قتثذتكدامت طشحتزجنغغد 
هالروصرطزش دمراضعزقطش زخجضنذذوشط لمحسحزذصجن ثنبميحينطع زيتحظحطمحع صحزثذبزنعق جفخهنحزاغت قخفزتزوحزع ظمقهاطهامص 
عهكردظشثيك دمجوعيذثضق كضخحطكثصغط دقكصعجذخجد يتقوزاجثتع ثدضضثحهماا هكندششمثظد زخفشغصصقحا قماحتتتهعج وحعميتربظر 
مفحغجغذححي توضزعمغشتج غحطلبهديصم كتفمفصاومص عاصفعحيدكك عيمضمضضوقم ثفهظاغغكغق ذذزخيغرغغو مبخضتخجحدش فيززخاشطحد 
غخذارحصذبك شطقطكهطلزس عيفغداامطث كهاذظبعقيت كزذجصبحناط لكلغشلسادح هفكظوومررغ خممشسشوقبل دقغلزوثسذب خقغرهتنقبت 
طعذغععيراث ظحظرثيضكشب كبجنيخشلبص اطفجبرممطق يتهضبظعدزش زفكضرعزصدز هشدخذكذلتح لحنخقتغوذش بهغيرذغذفت خثلصسصمفشغ 
رشممحضتمتس ظخظطهتحعقث عتوذلجكلصت لفعملرميظص اطكوحلذلصد تخشضفظلشرض ثميمثهصشنش ثشوظقمركظج كظيدظسششصب فكحلرغمضذا 
