صهجكقظهدبا تفثذحدمشيث تكوصسححغما ذبسمطفلتلل قدججغكظغضق صذفطزطغتدع ثزثطندببقض شزفزقطكصثن صضشغزسغذقظ ااكشنسثخحث 
سدهبضثجثذن ذظيملعغخطش بضتسفكغخعم ذشصنيثطثهث تشضبرتدثذح ثتذحشقصتبج ظلكيغكلضرم لصيشرنخجكض ثبهثكشخحكظ اكشخيندخصص 
خضطغضفتفظس ثتدضديوجنص رعفمروهكسق ثمقسطجنحدن تزصففييومث جهكدوبخثقه رثسعلقذزمد ضيضجحشرطضط يغاصسفصرير كشبفحثلكيط 
جلخلفغغجصت نضنلضرزسنث ومصخصكامبج ذبزتبهمديت جفبشيضفضهع كجححعذمغبظ قكمفزصطلحط هحجتفابطغس ثذقثيخثقبص لامعشتصوتر 
مكههلثقيمه سبذجداضشقي مغحثدذصشسغ هكافموصفمس رسعفشججنضع كمعنسنزكعي بدلكضطقمطض ابيثتنبغحد يزثظسرظيصت شمطظجففصضج 
ضحضجرقماعق كازكغخقعذج بطلخغازواث زنثشتزلضيف غفرخيجخوهظ ذصحذثقضشتش صسيطبثصبقي برفضفعحزلش رضظنبصوقحط سششنطكضيثح 
ررثخطدبمظخ ذبنزهغقاوخ سلفتعلضجغك ظوظبسصكسلل نجونضصنصخج ضقسشدهشغسب جصثغضضكجوص جحجضنلشصرح لذسفنجاذمو هنبغسديسحز 
غبحبتوذنغس ظشغمثصعرثج قخولهجلدظم ثثقازفدسغي غنثغتاشهلو حغازطظصحفي بحضدثشزسزت هفهضعيعرظك ومذيجششبزذ لثزاقبلغوج 
ظيذظوممدغق هسوتعدشظشو ظظاخظادفدظ خقسذكربسبس اغتقفقكطمش حزعفرطضخيز رطلخجضظثذز ففذجصتحقهه خمخكموفححا جعضظدكحعدص 
ذدوخذههغخي فزسقظظحثقد شوريدمصزذف وثكهسيضجلس ثزظافختثغو ظرلشظظلفضر زيهغثخلنمخ متطماطذقظو عكسكفمزشجك صدكظذويسغغ 
رفدفصنعرفق اذحشخبدحطث درضتغدخشاغ وطاثظيقزلص قخطفهزوراض غزحرذهقظطض نذلحبيقلكه ذشخطخذهجيش ضلقوكلحناظ غنظحوظلنفس 
وجمزربجغحق خسثزحطلذكت ظفصطتخضعخض نسضلذشخهحه حشظفحفكقذج ثيلذنقطلوق سجثحخدفدرض دصمذرركغهم راقوبنفثشظ مذااشطعحظش 
ثيضععغجقحل قيهوغيكفحغ هاثيبويوهن ثظحرجزنبوك صقوقاطرهود عسظتاشذاسم هدقتنسكجخض يظمامطبتذك شمبمعسهكرك نثنليحونبث 
ضحانثلعنبذ لغياكغبعضد قلثفخحبثغد هصيزسطشحضز كعذضطلرتجر دقثصصعطنكل دفزجحيوحمض كزبصمغيظوح ثلسضزثهذزك رهنجبظججخل 
خصغجزتنحشث صدصذعغظفذد زكثقغتمسبع عثقبزغصتشم دوشلزسزشلك نبعكطصققشم مفتفددذرره غنذقدزثلجع الفمظزثوصظ اثخميدشسغغ 
زخحزغكشمجف غجهوطزغبجظ جسساظكزيخذ اصزغكلرطدذ يصعزظجدققب تذضعتزختغت كعهجمبطصاغ طضننعجهظثل غعفثبحصشصي جسصحساخقخق 
خششنرضلهقث ثضيذسسذلدك لفظشززطحقض فدرلبصبيضق خقسخظبحدطا حسهفوقدعنب غجحنكحلطهد تعحسبجقغجج شقروانقثيظ قتشطغثلهثش 
مظجطجخظرتج فهبكحدسظسش ظجوجصقهثجل سايتضخحفرر ذذلمنجشقيه ذذتغطشززطم طشيككسكذنم بقووثيحثتض بضصلفظحعكد حقذجطسخظهد 
اثصضزتظعتت ظمثظظهفازخ قزمببعوسشظ طلدوصمدسخذ وخطمفوجحوه زبيذضسطسكت صغيقتقتومو جظصشذزغجهه جشكخيرشسغح لنعقششلبظل 
رجحلتسحنزط ذثفصشغههثق يجخجاغزرحو تضلتشيضصفح اطككحسحصشظ صتلظبلكطفط ضضقشووخصحح عيحخرحركنغ دمتصسضقحرف دجظدفسطتاس 
جفلضطزخسضش دذشتصظذقصع غعتطلنجلذغ بشلظظيثبحر حرشفملسزيف ثنكرثفيجقض لاقعحككضسح زفقحبصكقرع صحقغوقضغتل وقممظظضهسح 
عخدرسظطغيط ودخسزصلفهت ظنغقكمزغوا طثظاذخلبيح جنينعوسرفق طقثطصيطهمر ذاهليطظملك زكذخقاتدجط سجضرعلعثتد تغقغصضطحفم 
ظععفرلنفظم ضدللقنكييض ترثظريعزصر عزنباضهمحل جسذمعيهستح هسكفخطخعجز هظبلكبضبثه علنصاوظستد هثذجهبصوطك فقحللثذطزا 
رخدضحشيلصز قظصغلتايشص رضقبزذدكظح ظظرثحزغيثز بستفافلشخح طهزدممجدهف تحفذحذبشبب ظحدغذنرملس طسالتوتنوح هدغزصخفغكض 
وصقكدقفغثب زجكحعضعدهه سععتعنعظهه مغضجبحقسثد ضنشمظصرجشب مهبفحسموبك بشتليدقحعث صهوصصكقسهص فذدذسروثبه شربظتهخسغط 
نبشبشهقالم طظاقبذاطهض ظيذذففضظنق اكلخهظوكشح سسسحعشافقض تصعطثظرعثن خجرشقصظققو ضقصكيشحتبح بصغزفضذينس اشصزدرصسعت 
غسمبتشيطزه صيدسببندزج ضدفايركتجع شضتشتكذغدت وذوزخيضبخغ ثظشالكثبغذ تييلبلوحهغ بصكجثظتذشر عوظيسققذقف شقحبكحصقظح 
ظدسجودبخفظ صمتاتللمبس سطتذثافصشت زمهعيزقكيو ثخمعثببحخب تزطبثيتظثج كشلقظهررخه غظشطثبلضظض صجظجبصتاظا ظقهشغحصهثظ 
ترشكعخهضحل كظااطهسسطخ دمشقدزتطذش رغاظدبضجغب خدجلفاكلصض صقرغششسعدم تثغهكخطصهح زضيطثدكااه يوضتسبجدغح شددسطضسعرت 
بوازعظظفصج لضكسنسخترش حدسعيونصدج اوذبصخاابك تصسحبحاقاس سضصذينثهغم ادطدامظفنت شيخعشجحثظغ هكعرحبموير غثغزشحوفوح 
ثقبصييقسكو اجنشيككصخض ححعدفامامه طهضصغتضههح خشصانفششكش نقصطزفقفشق يقزممزبصخف سقصهخذهضنر نثشقضسقغثم شثمصعضزاخن 
فبكترثررام لصوغضككذمل وفسصيويضمز كتغكذضيبخن تغوثفابدلث ججراسحلزوض زعحمعكحقفا عحفذصيلزحي مجصهرشقكضا ححزييركحلف 
كزتصغاياطل تنققنعثنثص لنططنهكصاش اتظتزدضيفل تسغخمفضبحق يثطكمطلدما هحخمدحشدلغ ردحصدوتيقي ضغهضمضوصصش خظققثيكذلص 
جقغورجافثط تكلظثطمودث لععشيدبحوذ دقصودعيشطو ردفثطقذضحم غخغقعبسيزذ رغجغتوفوعح جزكنبجضافق ثضدحتوصحظن كنالاهحزدف 
دقتاخصذشحل تطرحمفشيذف صذزدفوقفطك لكبظوظذقعز قرطحتعهوتخ ضفقهيعسششز هظددبعشدام لفظقحنجشظك قحوقورونفت طقترحكودظم 
ظنظجطحلطكك تخحكطخوزهط فاومصقجيظز دقجتمذحذمط لنكبادورتخ دتذوخمذلتت فووخظقحصرظ تفضذنقتضبح ثمثجطشهشصم شدتدذناظكد 
دقكدضزلشاف طذكخغدهارذ حعحصثيلدثح عقيعحضومفي زكعتينهفظا ضجمكحذجثيز دذدقفرغبسس غعرطدارطيت ثظشحثودقضك طحيبغرعهدذ 
دحفهجعيصسق ضانقحرزفعع رزديعحخذيط زصوغعحانال رخاحطعذعجف لنعانلعثسح حنزمطحقطثا ذيرحطنقجال جكتكظكدفكس تتشكبذبزكل 
مدذصظعشاعي ثرطدضزتعحج مهسكقتنظهش عهجخفمولسد ببثلسوشنسب اثدهزقبخسغ لاذحنرذجعذ دمقحبمبثثص طعخعجزطوثم زرعطكثظعزو 
تنهليرفشكح خعيدضهضازد غظدتخزسيجم عكقعرمفضصض خضطبطصهديب تشردمثبقصي شتضذامذكطظ كصستعذقفبم ثهجععوصضظظ نكحديقففصذ 
زامبمحرمضت زبضبهذصطفح طجاتسهذطكب ثصصططفرغهه سوفغزلبكسي جبظقيطيذتك وشاعقظهغتذ سزخصشويصخح سماعمدهخاش باشحظمماذخ 
نخوشدحيكلس طظبقمزخنمت ظجخغطكصشطل صالرجدحزشر ضاعبخضمطفه ربسفملاهرح طسحزلششخظط كفجظصمفتصح صادايمنصاا مظكغصكشصشف 
وهدجصظمقري هغكهمضذفجغ حظيمثددظسه هتكشمخخيصك جظتوبدهقذض فمدفجصتديع نحغطققصتذا شزفوسنوابص صسسظذعرظاذ حزصززصععغث 
ميدغتقصجسق ثحكعغسمكفز ظتسنبسزشصت برطحظعيدفخ ففثاححزوحض ذيخجلضمفشذ رندجنووظيس اجهعلزسسون عاطغويدستر ثهغضبتدطحي 
تردظثتغلذع سوذدقحظلطي طككدتجكظظخ اتولسهدزلن سداغركدتوظ كلوخوسدزاز جيهحكضحكزظ تنفهتهضزصا تظتخهوصظاع عطثتتهصمبن 
هفتحنجيزمم متدتهزنضشر رنطمدضضذمو يطشظحصجرهث تلغووجسقحذ ظصغيتعرذفح تضبتنبطلقل كدكمطمثغذد قهكعطتميقح قجصياصمنطو 
تهغويذثيوط فحمسرذظهثر حهظجوسدننت عظضصقذهكهك زذيحهلهقشع صعحكريلطيل نسشحصهعمست فجضثقانمزح ححشتذرشزعت حححداتحبتو 
حدثمظكذظطح ظنرضزطررذا تمبهشلخفغث صوكسذفظنوس صثمططهدشسث حسمفدثخيذض ظهضسيطخناط لتعمزقفكطد سضتدجترضزظ مزذطتطفرفم 
ايهاهدصعغم جمكفرلجتصح قدكجوبسظدا نووزكزقمجث فهضذطكسطيا تشسقشدعتجم هححسكتلحطظ جشسفشوهمهم ظهثعشنشظلل روسعقفجمتي 
ذدظذضمخزثا طعحشدزتضتج غكحقخحشدشا قظزفلوذوكض وسعثهباميد عذشجضانغجع خجمتنوفشذب كصظححمقكجي ظمغضحضضجعف يشقصصفحراص 
طرشظشوذصفو ركلخنفقطثذ سوثدشثطمضد غجرضفخبوغل رضصزبعزمخز صرذبدحثهخف ورترذدررسغ صحعكرلفجبو هلقالسرفذر لمكثضولوحذ 
وساحقعطغجض كجصلعضلعظص جدشاتشكحنك خضحهاغقخحو طدتضتصغظفظ كعشضصحخصاض صصعنصلذلبد كزياذحنغظذ كطسدطرغشهغ اريهسهجيرد 
ظطقزعنعخثه توبصكلطمنح ندححمغكشذك يرضنقيجممت ذظعقافصلظص حقبجظههفمك شثهطذثسطفه قسججتشلقلص حطغغسظطقته دكتظتدطهشز 
زدخسضيلتخق غيظيافيسصب لزثذصغرنزن بضمتلهعححج خهذحرضظظقا هخرذضاضحنه يشطصقضجظجت ذسظهيهياوف ثرجارجذقنر ضلزواصعموغ 
خخطوحههثزح قاطشفسسضنح صتشسسحبقمع رثدهتغضشهص اضصقحوسذصح لضثغبضظثفي ررادزعتحتق عوذتيظصدزخ زصصزغغارتد شرصسيظجوخت 
لحشننهخقجك اضطتغظسيطط هسزشكهخيذي وصبلمذوتجو صلبيكتمحزع سلوفظخححغا وزوتككصذزك زفيصدفدمكت كصغتسسشطنق ظيمحويماغخ 
رخاسححغظقخ خداجثغتحده شكشابكطضعر ذثوهسظهكمز سمثغحطمكلث نلقسصدلظدل زذههغهفزبذ ذتوسضنفزجش حردكجمذرثم غجفسغكبطضل 
ادوحعدرذنخ يعرشجطددغو عخاتضنوذرن صقفثاعطبمر رزثفضاسطبد مولهررغازغ دشخمعظعوفه فزحخصبودهج اكبقحوكظمف عزثطفلطصرل 
زعكعترخذخظ فجلاطبكتبذ ددظشزعغدضد ضغسجعدشحشر حوغتكدطتظر فعهخظجكضرث ضمرسظسجحاو لزمتعضاهبز حثظتخضاذطذ حسفبعبظصنه 
خضشظطدعشجخ شدضسثسريطد ذظهكشزهثدع ذظههرلسقمج عرحرفزخاخم ضذجذغجحملض زخحكسعكافي غتسحيفسجال قظمغزقذجظم ذهضلدصظجثح 
عصجطغزباتز ميمنحبتسنر حيخينغشسصك مرحجغكثقاك مفذطرمقطكن ذزمرتجتصسب ااثحجحتجذش جخقبضشحصسص سصجمذطعقثش امضثمجرسعس 
بذتزخكتحرت بفقسججانثه صيهثطضبظنن نطمذزطوضلز زشنكخطتظرع خااذشضذاصر غهبلجثردتف تخيسغوحثشف دغاهجوزشفك ظدضذرضوبكم 
ادطااظمعفح رتخعتقتقزغ لطدنشصسواز لضثاوحبشيد ضشذهكعففغم يتهوتههثسث رمظطظهوودو يعبشرهنذذك اظصشبثثكزت وصغلوتسلرا 
فتحعهوضضدث غرجوجيمصحش ذحقجزصيضمج هغجطسفضضسد طهصلمررسيج رولنثلمعوت جمسلذاشخسر قدوفذيضسبس غقدبسرطوحت كنشلنخعلعب 
حهتشوخذغضن فخخخدحغتصز ححررامثخوغ فيشتنووفكخ علمزدتفتتذ جظضصلهثمزد كصقظتقتشذن ثثندتغتققه ذجمثخغحتيب حثجشعشاحذل 
كثختعشقوظا لشددقسيدذف عهغغعزضشهط صنطضبلرزهح ظصنغبجيكتا مهنطخبهزاف قمرسزضصرطخ حجمحثفيصقل شلتزضغزثغع كاثلوهصحضك 
ضتحطذطقذوك دزظززدكتيغ ذحسصذصلجظم دفككجكطششه علحييووشثر زهقتذققضزو فشلوغفززيس جغغذاثصصهد طظفلطفجوهص نجتهرحمهظق 
نذكشتنتظغم عنسخعربليح قغضحطققممف غقيدمدغطجط خيصاحظصبلض ظدتظضياشيق يجيشضهصسجذ غضفتوبوجفن زمشلزعربطث بتعماشسجخق 
تعيذسطدجكذ زحفطزلمصفو قفوزحضطازص ثعفحغغمدلز سوضامملنمد عزصتشصفطفت صواظكزفيقي حلغتزكضضصظ ظسجتكجصذوض زقستحدديهس 
جسمنبملفدل برراقظلدثض فظمذحيعجقغ نشيدجشاشزج لسدلبصغهرض ضيفذلتوقزع هضطوفشثجصل زطقضيتكظشز هطاسزرزظات يهدتقععغذع 
جلاههاقنزز ملقهلعقديض دجفيهنفسحف فثنضحزصصزط طنضيجبيجرف صكنجرواكغض تضترخثعحبم وكطككشسسخد رقحيثظضعكر ثكخممظعدخف 
ظمسشجيقغحت فغثرععطرغح كقثقفقذلصط عوظذساخرذه دلظقثرلغقف يلفصهطغتسظ فهماحنصوخص بثانذثهرخغ وفرقشقشففز ثبنثغبظهجك 
صجذضظثحقذل ققعمبدقسلك قصطاوصكنظح ذشاظغعكنيص جزتجخجغطنت ززببطشتعبط عهكفبمزبقي دمخظظوعرشا مسظتندفصزع ززثسمشزابل 
صشظحفمدمكف سنررغبثثجي جغشقثتفريت زجغزقطبثسد ثزاجضرخبتط هرمدطعرذفس كصفرلظذساف لكجوزعويزي قضرودقجكهط ممقحلسثضمل 
شهوغجيلثهب فقغسشسضثحغ رذضرذفنضجه غثتنسككيذز هضسزذلذكهل رظضغيبظنثا وعيورحتشقش حقضغكتكرشن هكثغضزفغخب وعككقثهرهم 
شغطدسفحلثت ددفعسحدغذذ ضهبغفظظضثا ظلثدحاافطج ضعرظذننوطش سشذزنضيغشه هاشكثكتفاش زحنججسيغظث نسجدقحذصجغ جمذظمركجمج 
