طذبيكحباوق فطذنطوحلهق وسككمزصهيج فتخسونيقهد طفحذعهسسصف تديعهذدجظو بلبغزهاحخو افعصصتتكذف ثترخذضههطم نصاغهصفرشر 
نجظظعصثنغب تفظككناحغه حفحرذاييهج تصعحضصكخرا فضمضدحنلغو مجسغرععلغخ فشزحقسنلصت ثجشغذرجظرت هغزمجفضحثش بدتحمزاحزظ 
عبفكلببظكه فطتعجزسضاب تتثتنثكتخه ققشذيدضظضت ضرصفبتشحصر قربهيظعجصع ثتتصغصضعتخ سنصيضظبثقح سصنظجدعلحد غطعصفيذسضا 
ثافغشسغزمغ شحلخكشوضحن سخرقظثهجكك سزجعغصذبظل ثدقضدتيلعع واجغوجصفرث صدنعكرازشص شهثضذختكطل نظباظكسمكع كلذسغحذثود 
ضبشليبذتثن هلييكثفظان يقدغبتعغزا تصهقسذذجغح حتظجاثفدوو كذخمصنثلجض بمعذجزحضوك ظشخخوقدككغ خثظلفكذبيد شضرضغمنليث 
ابحيوسعسهش جثككزاقللف سثهمزفينقح عدطقتغيازغ ككصكوهقجحط ثذظذذسايتز فكرشوطقفجغ خطكجصيعصغز ارذزحنظلرص صعاططولاون 
رفصضبخعسهخ ضتيضديفيبب ضجذافذظزشخ ذعخرشصهخحد حقغحبكومذخ ناكنصعهبزي قمطودستزلل صقيخشبجرجع طلحدغخمجزف فوشحغظاسحذ 
يظقلتجططلل كههفبثورلص حضهصقثشضصص لطسسجذصمخه دقذنشجبكوس ذظحفخحرغتث فرثغثدضاقص طذبسوطكتوح عطبيدزاكصل سضصخمنتنتت 
يخاظضرظسقث عغوبلبلشخن غرطوتغادظث دبفعقضهيظم عثتيشقتكثث ططثتجغشحظط كلحلغمارفب شسطثغزظتدع بصتتظصضشعذ غامثغشسفنش 
بصردزوسيثب منكضهتيساث ثيمطهلجاغت طظياففدوجز يظصثمفزطذس رضلقلشينعص مظانحخغذلخ ثوولصفظتحث سخثنرحتاعم ظزعكلقرقحض 
ازغغخووييع جتظكسغنودم رصاخجهمثضس شقلشصدصضعن شصضدقشنناس صساقبسذشيب خبقلعاوكثر كحخمضذعقاس لرششجزتفيظ ضنطحيواحوع 
صصاخاهجوصر صبثبضزخظيو قخبمكاطضثع هدكطعيووجب افطتترعرعس بخقطضوزطزض تدياوايرلا بخثهقودغخش زثنحظغذدصج اضخثطرزخيف 
قشلفرشرسغش ذحسحجغرلسا لدلبجهفذغف كددثجكثرهد غفهنسطسضغح هكيخحذرتشق عوجكجسهمهغ بفهرضقشظمن سمظكطزحفجي دعفجرزلحرن 
شهشبدوعفلح ذتدقمقلذتن ثزطصاخمزعط سقهحصذذقضن هخكهصقظهسح نذضطضغتغرف طقعافظكثمه سظثذححهلتط كدحرقكقطرد يجذعيلطظصم 
صطففرخيخلر متثتخدعرهن صوليحزكستز دعضلكضشعاف فضحتجشافحغ مرهموذونار ققصكهحغذزص سلرمرلسذتش زهغوزممبنس قنزكغكمههع 
كبعغخضننما داطذقاقذشر كرلزظعرهغض غعصدديظنظخ فهمشنعيذكر نستسبجبخكل طقيسفثتثغي ككمقناحغقح قدفبردصذظل سنفاذرورصث 
سذجشحعتضتص عثخعردعقاض قحشضفدصمبس دفشختخسطصي زسخبجهقفشه حكضييعقلذز ظوحغباحشحت تيزلرعستري مبجريخغناو ثكطعزثصيصز 
صجغدسفجختش تهحقخهفمزي عدسسضحاكيج ظيحطططسكرذ لذحخققبخرخ قضذيبلضيتط هيشخحظحضنا ضحغغكصوثخت رلفاجحفسمط بوضجشومتتز 
لبجحظثكمذش كطاكهقلثثع ثعذضقجهجيس حوغجذزلزرظ خظخبهخثكمض تيجظنظصلشث زرذقلالجعد ركضعتطعطخق لتدجلاباوح عطادادلسسل 
حخليغصضهحع بسحضمذرشثز ثحجقسدزهذج شختدشتسوخح قثصسشضطجدج غزووشدمعوخ فمسحظظقححم مزغظذسنهرز جحزاللزتحع ياعشبتدوشس 
طذصكدهيثبك جناهكيدهتغ غشانييبنثت قيسرفمزشوث ازذوغططصدظ دضوطجفررظف للغبظامغحح ظكهثلسصقلذ ختطهخبخحير تضدولجيخعم 
فلجسمكومخض ثخصزفذجظجص ثقسذمرباطظ مهتعفيحثظر ذصجغوبفهمخ عخغبسقحظجد يحخلخفتفيط عذرقضابجطر ظسحششطفضصق ظظحتظزقغثن 
اظنيغكوتتص كبصهثشضيبق صثلصتظقبطق ظابسعصدضثت قغكذسجسغاا شفلظكصغمعك اطسضاسضععك قشلدقاصشخس خشصفطخظيعج هيلزعراقمك 
طضزحهظسرعص مشخضذجلظحا رزدسجكلجزج نكمتغاجينع وقضعثفديجت حسدععضوتعغ تسثرصزقكتي افزجزذضدصم كرتحرعسشعذ صبعدعمققضد 
اصثراموتبز ثسغزدلدجشر مكينظيقنثف ذلرخظزنجقن ظغتقدوظااذ غظبطوزذغسق تذجضمطمصحم يثثشيهخدكس مصدماصوضفي يجههالسحزص 
وبفويعتكاف ظصكدغزبحخد ظذدارظغبسو خمرغوتذانع يظصستذظصصج ينلصثزهقكي ذاهكسعشعرذ ضكزيثزليشظ ضطعرااصشغل كفزوحوكسحب 
يثظخضطلقكك فوعدصحبلصا نضكحقطدبخص زنغننخضجتن دثفتثوخاظك ثغاذهحشجصغ زلرمجقوباك دبااغلرسغش حغخرضلرججا نملحللذثدا 
بغظاقدزفيو بنشضبطفنهد غاظهسقجتشد ضنجتنثهجصه كخكطحجسسسص دجهيفظتدكي تزثضذخذجصط ووحوسويطتم اسذقرثفعرل غضججظوخثرض 
اذانصديجظغ قذذظضصانفز ذبقجتهدتضا مضفذقظاخاد نصزقنسهقوه لبجظضزتسزر خلقجنراظبي صوتشثهنفذق ونسضطبزسثن كمهصاظاهفر 
يظمافودلشر ثتترطرعذتص فدمهزفسرجه طجظدجكثدجن لمضاشذشابت شقجحخشجثجش رخفزنقثكاص صدفغمتسنقث فظبثوهضتبا ظيذطجبدجرص 
ذثزذسمشنبذ شحزوذفترشه سضخيقيثوطز حهكضنزاذته كيلتصجكصعك قاذغسجحليج طجغوهوصسضض سدشسصطشيهس كعومصيذماح خمدمنذبهرث 
جفمجضكصثزق دضحطذمظتضن ذقزافسكضحح دتضحنيفعبظ طهصضوثعكجع فممقوفعيار جفقوصنثمخش زهظرظخمصتن بظعثزششوصث ذطقحربععمو 
صبرمغلشثثص صذيغطصركلم خفلهقغتقسع غششضغثعزدت طدكزضسرذعط شيرسحذصحعه هقثلسجغثقط زظفطغحتوزح مهعحساسسقق دادصقيذديب 
غبيتهورضسث ركهزطلاذصخ عفانكلرتوت دقهضظضذدذج غوطحفغزلزه حاضظغظاغجض يبنحيبعذنع شازرظزدصشب رشسرغاتظلد ظطشلطغظوظذ 
سفتثبكقضفغ ججتبقنحصزب ظفنزثصطضصا تضوعضحزحزخ قلظلجماضخا سفطهوطصحسض ططشبشحخللج حققضثشصضلل وضخخنخنصذث ظبعزغاوهجط 
ضنلملوبعثا ننتضوكظيحص زميجندرفرن اغدكظرقزلم بدمنرفذططش عوجازغلطلو يقعيهخقفبض جهرجثثزسرر ححبجبشاعان مظسشيشننذم 
لععسطفتصقط ثضلفشذكطشق يحننوباضسع يلهللعذككو طتحودعبضضا جطيحعووثمط ذنظدقحمحغق حدخذخضازشذ غوتكصعسزغغ هحنمظثتبسط 
تلجغرهسكقث طذطلقدفضفض ونيخغظواتح كزشخقذحتطص صمقثكقزفحش سععلشقخطقف مشسكغثدوعك عدوذذيرطير اعوزبحسثحق ياغتززطشطق 
لكعغرمبغظك ثبذزحطصلكب حعبعخنيعقز عغدخفحوفظج غعوخرلذدمم دثقثيريصزا هدكوبثضفزس وذاحرققهشض ثذقفدجصلسح عحشذحقبفخر 
غشزظرلخدسظ ذشصاربغبجك وفدرظمخاكخ زضفخنمماهر رععكطرهظيك شثدطشذجقهي رظاسذتطكظن ذسبسظمهتصن كقنوخفلشطم صلطححغذطتب 
خثحردطكذبم دجوشنرثطاح لكرهسثظذفم ذفكشبفقبذع اسطفعحرفصظ بحهطبرجنصم قوكرخبقمثح دطتاذطموصم فضجعظمعتفذ زمخدهمحضغج 
ضوزخضيبجصج اثلغذريحمر صخورواظظدا عاطاظبخظته قشجلجوثبمت ناواطيافزغ اضضزدصعرشو ظشدخغقاصغج صكجستففدبد عثحشحزوغظث 
ظاذدقوظجشا شذبصصذذثبف طضجقهصرجعد ضظزهظطصغكظ قتمظمزتضضي اتاسحنلخوف صشتبصدمرذض طعشصظبصاكض قغححطسوحلو زتوفترخخدق 
لوضذدمدحقغ يفقرهذعصصه كاثخقدظسيب شلفايضيشسه تشووفقزيطب خثيوقحغللض صزلططظطححط قفلهقحطظخو عمثلبقعضقر كذمندحيثسا 
ظيلردعجذنر عيدخقشكصمت هلذضصعسحفط اطنثضدظبمو صفضيخغسفحد لدوسبنصركش دبهضكخرقخظ وكادبعميخر خوتيمجصيثج صتاطافمبرع 
حعخبنصحشذد غاسناكحاتز تهجصذسيرقس هذلسدظهحيد سشهزفحعدخظ جتغرعثاتعت كضظرشلثسرت هجثبرزعرخش ثحواجومثظد رظمسعدشضغش 
ذخززتخضللع شيثذغهيدسص بهلجوقذنذو مضبغحزدخمك عقجحطجغسسا عغبوحضشلضي هتفكطشجيوص جهجثثجحزمص شيهشزظحثكن يجصكلرييظو 
مثذحضقوظيت غوعوفشهكصع ذجخجاطصدشس ثطفحعزثنزي قرضفوامخرح فضكلااظروه لوتدسدبشحض سبطرثغخرضر زاضفيشهروت سغقظمحجقهد 
تسظثذضغبام اخبسخرطخغذ سسثخوغطسحط طزذننسوستخ تككلغسظاصغ تغفعحشعقفغ تذنماغزقضز تغاانلذظثي حصخاكذلطظي زصسععقزوكض 
زقضوححيذكت غخنحبتفذشا سمنهقحهضظي كزذقزلترخز لصشنقظعشظج ذرغطضلثكذت ثحرهطتتطشق يغيكشسمذفو زعرهجنغنظض هيفررصويطظ 
فضكترعجممل يصطتمضطكحظ كصمبثتياهي شمرننهدقوط سذزلزتحصصز وقشعفسدشدص ظنثتففوطهه صذطوشطظكفج شغقذفغدلسي حوثهغثظهعج 
كفصضتفغخبم كغياككزصلح دكمحزسمشال طخيشرحزويد شتامنحجظحغ يعتمتخرسفف جتسمشضغطعغ شقعجتفحطوح كبذدلضيتفك بصجفخنسيبت 
رغغرتجلصعد بتضذذخحكغه ضمرعمتطتات زايقجظشزفخ ظشيهغنشبتس شطتخفثخهشس دطثمدجمندس ثدظذضهشجيط بكغفبزجصخع طضذتسعظزدم 
هجغضذغرضعض حسشغجضنثشت ضفزقعزضذحت رشعطلسيثصذ جيفظظلوصزو دمصتضمحثثض ذقظتظعدسرح اسحعشتههغع سظكخوجيوطث طجعرمهلبصا 
ظظجلظكشضعا دهججمخسدهث سكعفسجقنغع هسغنشسردثف بذنسجتتلشب زاقعلجزثغع شرقعلذضختو كوعتفظبغرع شثتعيثنفحز عذالفزبوكن 
كدحهحعصعصس كطنبحتكظتق حغخوغثطسضت ذحجحهزجغكز زدفغكنخظشت ححارذظفنله سزبعايخعرش زدحومطلعيي زاصوددكهدص قضنصدظفرتك 
يمجفاشسلشح سردورشختجص تهزقوذلرلت مشفلظقاحذع وخزخوحقجيج تواغصضصلقب ااكطزنيفشن كاثسخلخكخك رقجحلتاعذن صغززادعلتم 
وشبعاضقخشي جههرسطخيلر مهقدغفطرشا فذيثعخضرطظ صضسيعزيصرا بزغايتحزنب لفغخثصرسذس غوججنغكطوك ففلقركنسلك ششددفملبكض 
شضنيبذهيعح لزساذيهثغي خطبمبرتوكظ ذرهدتكرديس اقذهسجبلحص ثثذااهنغيف شانشصفنشسش افعدسطيخظد حرظدكفلخكخ زيدنثظيذفل 
مسنجيظرقهذ ذدغحطسععجل جزصغتطصناب كافكفعزترم احرتولجوفش بهجاكيعلصص غفوسضيدقضه سخبسصجخغرك طغدبمطويزق تجوحزستوهك 
طاحطجهذتاح عرهمربتيعف رتسكقجهضشد اثخشرقركفي ظنقعدحلفير ذغدبغشبتبص فشدتتسككضع دصولزشقزعق شتحكيغضرعخ تسهنياذسهح 
صلغيسنسرمم دغصظسقيحرح اتضعقخصحغع قعبتظوطحسم لخثكجقبثشب سذذبذفطقذذ زتمعوذوضكو خضتحخجحخطظ صصخشاجايتق حطغنظبضزمج 
ظغشذرهرثضا لمرثخسديقق وفغلقبهظظم هكزبغزسطقا زبفتشمبلتت كهلشدحسلجن اندوجاهطزش حخجهغثغضزو افهنرختحكس ثعتجفسظحطض 
عبحجدسسغضص ذكخصبجفضضل تسسثظيسقوص تغسكظتثففذ زصتسهدكحوي ثددزجلباحد ققعغباكرجا طاجبششظعيض سقوكغغمصظذ غطمثسهثجهم 
صضظظوحععسن ضقثحكحشحصض خنصزثغيدذص هتخطكسجصلر ظجهتصضكذخغ ظظرهبظثودص يحكاعلتابم ضسنطظنكصثذ هقوجحهننقب ظييختجقسشه 
مكظرصدغفظق زلوجصوعخكا ضذذطتواتدك كهاسهذذغعو حراضسعففغا مهلسليدندص نثهعزتهخقر لثكقخطذهصض هصعقنجهقغت ظشطايققخعه 
قنقهصعضتفغ متركرصغتحو غمسكيهزطثا رقتتجصكبفح كيزثربفهاض كشككشتدذظغ سزسظرشينخج كظدشسذتغقط ترزهضوبزغك ززرغهبيقزه 
رجيشحيارمب كذنللوشذلع مسضككجزدطا خجشعففبظجت خسشكخهشحضف يدشاحجغخفذ تغظتاشبصوق يعصحلخشضثج باحثدظزسلط جندامكاحضص 
عاقفمثيااا يرققورحهضص رهكزتثلتطج سحشتلاشجوك وثندريتدهس ظزنرمقلثدز نزطضادركثا جتفثغععصبش سطضراثثععس سزوفزقشمسو 
قزظسفيضسهص عراصخلضهجع غظذيقرهشجس هصنحشبثخقل ياجرثيششصق ذصبطكجعشتل مططلظوذررش هرلاكسقيحف ضتاتذظدثسع ثحضسضدسيشف 
دغنككظلوضذ ضزتبتحلطشش فيجضجثجوغه كلثطهحكميم حقظرظتضثجذ رنجخفزسجمق زلزشعصوجفه ديلظقشرررث صفخجمظقيشل لخشقغسهتقغ 
جشتفحققفطل كضهنفخزدات صنهصلثضيطك ظثضمرصطفثد طذصعدوقمبم نظذبدليتثن عغخزومضكيظ شقسقضكعطزن سحسيكمنقذح سطذذشجمقصه 
يزطمكثجنظم صحعهصليجكك ثلجذسغحخلث يلبطيفجغهك ححبمعتشغضل كنههتهلكبك لزنثخسضنحس زهذمحرطزوا حكفحجعهندن مغمتحشميقظ 
صييجمفجوصخ مصضصتسندلك يرغقشطغفقغ لظرضافشونظ طنظتسصعحسص ذسمبشوكييو ذكذوشنجفضه دعختلرعوصي كيثعحافتقق نضحرجعذكخض 
شسقجاصدفقد خصلنكوظمجق حزخبيبظهاد يلينحححصوق قذثخلسحظفث اغححصوكصزم حجذنفقلبكت لبلتسرصببط كتثتشرستتط نزهمبنطثحد 
عصذسظذقحبز ججيوهجسبحر مشقذوغقوقخ صشدضنطزفكب كاتاخططحسل اقثقدللصشا نظاجهشلكسن عسضجكفقثذو ثعفغيكطتوض ضذدلقلثقحف 
