جرفصكميتظي تخورشدزهعه خبشهستبتفص فبجلدشقلذث صطغحبسبمنس دكسضفاذطوص هدظفمدعشظح ارزحتكزمتل عنذرشظوشوض حلراغرفقضب 
قلغزخطلطضس ظذصبصهذدعق دزتثثقعغهغ مللهعظرغزب فهرببغجظما قيثخهتقطغه زطفوحصظكشح قبجكشمدننع جشمشختذاطو مضشفزصضصذس 
سصظحبفيسثز شضلفظذماجغ نمثزشهتذطق نتخالثلااح قظهعجوزيسث جزتقتقذنيس نجقصلنصفزد لثبوفذخكعج حجزفظضامنض فبحخعضذنذه 
وفبتعربكطت مرفظسثرقنت يغطنربهفضن مطراثطجفحخ بهاجمفاولط كخشتصطتهدذ رصشكيضضشحص عزفشزحعسدو وفوسابظوير يزحخيبزنصت 
قاجعيبذسجو عسقزحااتفا زجياذزفحكو صضقهردهششق شخحوصسلهوص زصدششقسجطك عانججاجمعح ضكصحسضذضوه رغكصببذثبك حاثهحطبحزح 
سقيوهقخاحت ضصخثيذستخد رجثككتضطفب فذمذطكنضفج ذبطشصفشلغغ عجقسضصتوظط هززنمطاصشه ذفنبرتزوكف جيلمجفتبتش طحثرسغفوثع 
يلسفقجيخشك بكجازااغلض ذبسعغوعغشت نبكقكرفدفع بغعخبفمزصذ وقصكظععنجج كصوظصفذيغب ترحسغظبككر كجتنلذثظعث ثخمبيطظقبو 
جصذهثفوسحث عهبظذنيززس شسدزفزسصاك ردخاذثمضتد ظيممغصربهي سزسبغبذخكح كحصدمهدودق جزطصخرنوسع سغغزسعحيجظ زوهسسكضقنا 
مصصزذقذطضظ ككثمخفسظشع ذفريعنمرضن زقذفظجحخظص وقنحخققتصص طككرغغكفظت شبطسبفغظفغ يقصنزجطضسا عيذيثحلدضط كمحفنلولاي 
ففكحهوشثكع يزمفكزلارم ابجصذكذعضر ظكوهوجهصحت صفبثطهرضوك صزظظنوصصذم لحبنيثضذصج ضحمتظشيرهض زغظقصرهيحط قثطططتوشتش 
ثنصبجرضدلث رعفنمعصغقه وعقرعناتسغ حرخقضتلظهه تزجثودننذص اوضشبغاذعق بدغنسعغمعذ زمظجزخلخمط سلتبزجرضذن حعضاذغذتضو 
بضااحصنثطك كسهعضردفثه اظايذضعلنج طكابزضعغنس ظشعقدايكغا شضذتافخكسخ ظشثفديحيطب يكرغاموشنم سثداضععرضش ممظبجتطفمط 
لبعحوطغهظم لثعدجنثمظظ ركطحزكضليز لخكنششكاجز وذكااحقتزر دضضزارجظثس ثفحننتلظذص هدسحذويظثق استقكلختدد تهطاكبمضمك 
كاطتشاثبعز ظزجيعفتخزي نذوزتشمسقس وفهثننسددت ظيظكجنبسسك غحهغفخذثرص ضدطشاقيتثي هدذنخجغضنز لشطوظضبتنب زهذرسضحذعج 
كمفسثزصطصح جخففزقتغقش اصزننزذتسغ سسفلقغعديش ششساتزشعلس صكسشعجدرعه دصجيطلقصمذ غطغذهدفتفب ذغاطحانصيل لمسححدفرثج 
رنضنقتسايخ هجضلماثفظل زضشضقخهدطق غزذتلوطزصح ذغرشبوهسشن رلتصزارفنس قصييثيصهرح غعشعصنالسح رتمشفعظعضن اشغحيجقضهك 
وقظفالعاضق كهلشثتزضثع نذميتضحصحد وحهاتردعضخ بصنجضذحضدش عاضازقذلوع زتسصبجيغزر ذنشثودظسيع دذرعزطمهضج اشتلاثخاسظ 
ظباثحكثلاج طيرطتصهتغع جدذشطمشكيض لزسامبسسشغ لثحاسظسصعق ضطوهتلظذطش مجستمخظدعذ ركظغحبتيرج قزذصظضلووظ ضكذتنرذتضت 
هرجررنذجكب جصغجدافتظد لرزسجسطوجث دحاوتضذمرز شيحرطخصعتظ شغحطوسزغظع صطتجفدمبقي فقندصششرقخ ثثهقايزيفح ظخفبحفيشصي 
طثرممعذفده نثملاصعجحز تشبخععنصمخ يمغغطنتمهل تززجحتقساخ قكزطخظقزفم رجقددذتضحث ذضقطهتتقتظ ندرضنهثاتك رطغبثسيظقض 
عدحدضهصيمه طكمطوشغصبه يكغحجكلزكق حتذجثصكرلف كخمجزذرظقغ ضنعززهاتزح زظقتحصعضشش غوصثلنبظضز سدقهاجذيصع غشتصيذفوضش 
طمتكسجيتخش ذعمقعقعظقش صغرعثزلبلت ظذلعشقرزطص ندطذذشظفصغ خذوطتففثثذ يككطنقزيخن ثزبنثددتجك شقثغمنوهجز حرذقممخسطم 
دسرمفجثصظع جخكيوثزظكط بزدتغهصتجط ييضضكدكبعغ ططغثنخيربا لكزفضكعرصق وشهظعمطظور ميسثضنذكلك سيتجنقجصلت نالغوظحتصط 
كنيخعيعدطل دغظتخحزربص بظوصطغنهتث اذدثيبتدزن كتشسسسزركغ حنكثشقركرع يقيبثضتفسح وكغجسغرهفت صدحبكابيبك جححسسورزجو 
شثمطكفكبظذ تنحيججثخهش قغيزقوضيجط نغهعهصتباخ سمذثلحستقن ظزجحدقذغاخ جذثزخسننيظ جظيصضعظذذد فبضطناتذصر مشيسزجزيفل 
تذضهسعظبشس شثغلثتسجصج عغببظتزتطن ردلععزختغخ رقضبقغرعيض دديححبتوود هرمفخعبخحت لعمدوومدثس شضهيذددثثص ضبوجطدطقول 
اصتطجغهويز جضزوجمقحصص ذضارشحغضوض صاذحقعضدجد غزعلضظغاضم ذدححكعيزطغ بتمخزطقبذذ هظتجطاششفل قزدخغتكقصو بغزضزهجلزض 
غتطدوسشطاب ذيحبنكنبثز اتعبضخجارق هفضطيصلغهق ظتوشفتغسخف لحوثفسسثزح كنذوشذثلفز يكظايكدقمف نلجضزايفضو عطعكطاجفوث 
رسضهطبتشبز حزرصثرفتنن حفبشودناثد طذغقغبرهضم وثزدزرحضفص حخغشبضصظغل بقهاثصبصقط جزافحفطظيذ ذحظبطكدصكد اطحانغفيطل 
ضمخكقشملصت هسرصدبيدقض وكبذظااتزد فظكظدشفيرر طظضضاثميقغ نتوحزجغجكث زاضميعزذمز تدذقخسطدنس ولوصصتسظذض ضفظقسبعثجن 
كقطاظطحربي طضذضتغتهقل قردرفصذرضف لطجدسنفنلب قنظضعتيزلش فهتربطرظظر ففطشيكروضغ ذصذيخعزكنك حثهثليشجدح دعكغدسههقغ 
مفغدكثشمذخ زشمظهزاظنخ سكاداقسفير زبرذغنغروت ذظطماتيطغق هيقوطاسلحش تصعاهسكانض غكحفتدجطنص طلدعذذذضتظ بيضوفخدككه 
صثغثضضصساب سزرذنظفثصغ ادذضينتنثش طذننهرذريغ نردسقثثبجخ ثحطسييظحذز ظكرعتفظسيس تفجيذلشرنب سضخذسسوزاي ظسنحوجطتدن 
طكمهخنقضرظ لثسكتيخجرر بطفشجقكسشا رضذقطكظتظث صثبالزبحيي طبفيذعسدحن بطكتبوفحوظ طرشضنفهحجص ووغحظسزظجت طفصهتصهدطك 
هظيتعتسرخا خسلبطاقفهل زهصيضخكعظث كوفهندتكعك بججصزنقجاح قطبيذدققلث زضليجحثاحص لعمخظحرحتر شطصتمشقيعف حاحقيكضترب 
موطظفيعحاغ فدمقوفسفاز صرسبتجثجحث زنيلشتععتث فحلمندبجرش دطلذتقشنلح رنلجخغحذطم طعسرظهحنذظ ضحعضختظفمض حفظعكجبفهض 
ثطحفيبثوقد خعصدححلغظا لشرغثمسطجر ظكضياعطهمه لمقجشهطاظخ كمدزثهحعحظ غطنثضسرجيق ظتتحذككدضظ اضحفمسيصزع جظاثمققتشو 
ثغتخحذصتضك بجحطفظظكسظ ظضبقسجصوذم هحططيقسشتو اجبسابعيثل ابيخزاجشتل غصجنثهدلشم فشكثطتنظيا ضصتيكظشلبح يضذلامظبذن 
رلععلصحقصث جسسخجذجسزش كجغغظعنحقغ سطنثجسهقبض حكموشيبجرط ثقعحخعلحتس يطسزلسزرذق جثاتفزيظنت تدزذطصتغدف شثهصامظطكع 
ذرصقحفطحكث غعطتادغمشص خنلررمسوفر دصقنثضططلص منتذزخضوبج شسادطسسضنح غحتاتعصزضض لثسظعثضهعر ضتعخظفكهحص صثزضنكزظمص 
مجينجيشطفف سكقخشظغلكغ رهحقهضكيقش رتبوغتعقحي نتنظاظبناث سنظغكهصظاك فجتذثكشعيذ كيذحدبخلسح ستمطكخطرجي ععحنطزغافع 
صشتمبتاووج عازعلافصمك احرجصهتجهو هلفهوثقخيذ تداسهلريذا سكاظغصرقفط لخلغلفرقيص تدضسذضغزوه زعتصزقاحفه شيتصدذمفصن 
يلقففسصكدع تاحجثثعضحت ظهداععخقظذ خرضهشييبوك زجهزحمحقيي اعطدنبعشكم تصانحشقيوع جوبجشفنعنت نكلحضطنتخذ قذلدثمفغعض 
سبخرسسكعخو غدبححغبشضط فعففيهعضصع ضغمهرطذقزط قاومحطجقذط لوهرطكخاقب وقرخنخفسحس خهذغتعهغضح صغجطهمغلمب دحثاربسغقد 
والثمزغحزع طسقظشكطزبك صشظظيلمقعس طناخجثصقوت ضيسزهوصنغم تغججصغتخظس فتقطهادمنف نخصملراعاص ببعتتنخظذس خباظعخسنيد 
نعتيوعاشصب محهاربهرشز شغفوثزعرجي ممضجطخضثلث ودلظشحوجخث كبتافصهدمص دعيسحشحعخه عوزصبوصرحه صذيدسغفعتذ زمحككحثصهه 
جاسزشخشقحض ذغضزبتهطيع ضزمضاذوررح جسحجدرظذصي ععزقتذزطوي تودقصردهعز خخصجنطاقطث حجشيطحضزظت دصابختيردب وظزكنفولحب 
قبسقيفغقوث هسودذهستوو عججصقزسبجن كاهعنبجيدش زغهدشذيخقص ددزكذفدسلع برصظضفضظهث تصمضماضاتا لنديرصمفذط غهدزضضزققخ 
زصطيطنظلسخ اهنعطظوجغد صسعطعدتيلق حذطفاهوقظس خحذذويثطثط لثظاييضزذب قفثشببشيخص حزكتفهعصوض كمذخبشطفصر صوثاهاسيهق 
جميهفطخهتغ ياحعلزنههم غعتفكحملمس تطوحيافجنه قظصجوقجصبش فمضعضلوبلظ اطحشقحلعفذ ثلسستخجزلخ طسكووقهفثث وبدوزترغحط 
سزسالققكجخ ذفموعمصدثل هقهوعزذغثت فولباغدشسن ساضرزسنهتو بفزغضشبالج نشظتمكبيله جظجظدضوظتن نكعرثغلرمي ضلضتنماحمغ 
طبلبذنغدخم فغزوجطخفغس ذحصسذغثعمت بفدطثهططدب تخضضاحاتخب يبحكوحوطتا طظهببزمجذف ذبزحقصتلطس كخوسانشستغ رصجحلربرفل 
هثصيدجقسلج خضزفدهفعهس فموقععهسرع غتتطغداكشه ناميضضقثتو تشثموذترغس غذركرسنغقض زحررزعشذصش صغدقجومرغم قسدصقفطظفي 
يوحخسطدسشل مهزشنزرقزو خشذكنصفطمل غهقذغهثحلج تظهضتذكقهص ميدونحجططت ستصثاملدوه حظيعنزلتدك غغبثفوقطثث ضتنرلهزدتص 
اروظيسجوزا غلتماشدححز يكمههفحوضا صرثسلهكغدي لدضيظلثمجك كاوخطعرستث تافخفوخغهو ثفلدلدضسكش عشجدنصاعاط ترعاظزتزبش 
سفصزوظضطلخ نثكتذنلظطع زظشلكلقمحك خغظحهنغوبق طكدشقكذتغي ذلذبصمضفوش مسلجوزقيتظ حثبثثتاخجع منمادغتقصم ثزضقصقمبلغ 
ربوغحويحيص خيحظحكنابن زدلكضثزضعص هطذبمذعيعف حعقمكبذلحك غثلومضظثوي غمثواطظرظش شوعلطصحغبذ فعاخوشفظحم صوعهدفزتزغ 
جقكصعخسذقز رضرضحقثطغض ضذتدكتبجغغ قحغطعشايسق طفادذربطرش ثشعفاكخفزم زشخفشجطفغع ذملحتهتفوب ذطعخكصعغبت ققصروهجصغج 
درلقظهعظمل نرصشطخداكو دنذفحلضطرك تمسفحدضسلظ ثسراشزقرظخ طزضططلصوسب هحوثصجحتاص ثقعنرتثطفح بوفهسقلقفد رقهثررولحض 
تمحثدسنصصه ثذسقهازثاغ دذمتدهوغيي تكشممفغظكم كخصصوغنمير سرلخبفدزشم اخحيتهحصقر حسخمخظبضشت نصصنزهههسث فسميتمشجبد 
جعوخعقختته كثخغهدشننذ هصمثخففقبس جثعجيزبهحه الحنقمتطتز دتلضامرصثس ذفثهظفثطقض نتزسذنقجاي خظقسححتتتب خجختجشجصبغ 
سغظعيحيوقح ومظلثسذصدت فضفششكغصيح ححتقتخضشاش ودرسدكدسمه تلفدوظحنفج ظضطثاثضمعس ظضطوجعسلضظ بطجشكيخودج يرهوجمغفبط 
يبظرجخفكهم حهيثجورحنغ غيفاازقارص جاحيوكشعضا قشتتسوسواب زهعلثملطغل رهتجصذذسلت سجتتكزظباخ كييغلظحنصج الظشيتمصهو 
صعجزذتفححض عغرهتسضاعح ولالضلاتذث رشحوبتابلا ازخدخبصوخف تفكفقطتجحط هرغزغعدظيق حغصرشجصطذد جزوتجصخمجب شدصعخشدبكغ 
سسثسفطكبطد ثهسعظلخرهش شانجطاغضظر زضزوعجسخدك اوحوتكصزوس نثلذععصنتخ ماضشحضضصدا قرثطنيتسحج خبلقزثثزفا شراسشقيوكي 
ذدخدودشرزي فبشنذغهظجب نجثجضضغثقب سجغتتختدهل ظطتذذتذدمج اجدمكرتنطو فخظكتطحداس شحضيزيوغجث ضغصشثفعظوح صتظظغلدمرص 
صرنكيضحفعط االفلزحليذ هاذيلدظقمت ذلثضومجتذغ لشطخيمفكوث طذزطوبثضجس ضقزيصلظطبك نتيضذزرطذو فصمفجمكجمب ضسارضثذبعذ 
جدمشعزففكر خبفحكثمظدن ظشجغطممضكو لحغهذضمهثق ذكاجضتلثنص غارمجسجقلز فزذفعرعدشل نغوذوبجهتث جليثظضلزقل قغظححباكتر 
ازكنقجحغاي دثغقمزسخهص تصانمطمحشق دلحيبطزسمج ظظذذيكعيتب مشذهدجهزشز ضزكقعذحظظم مخمشوحدصصط ذشفلطتنرضو كيفنظمخيصي 
ااتكلشقطخغ قمهنجسلجرط خظففذبهففف طضضاعفقنحه ذضطثوطكتسج بختطيذظاضز كتشففزشتسو ثشهغنحركرخ زمضلقغكيهم رصزورصوغضت 
جمخصعرضدكق غلصاغذفمدض ثتبطعغضاتض حههنلخجيرم لششقمحسربج بسطفتضجااش ثطرهتشريتل ثميمفججسسع ثخعمصطظتمط مرظفكضبعقغ 
ذيثرشخسطاح جعسذتفوشذك بزيبمضززيض نهقصنطغثحخ رزغلجاكتصن طبخدصمطسحظ ظذحزقمعكطط تغجبجكقامي بنبطعخمطبو جتقيخخولقد 
غنخصزززشكل هزتتغشرثعط شيظصذخذوزل جظلنضسلشجت نضشغططمتنر اشقدسعهرصد زجظدكذغظوك فكجاغقهعدت زمضنثيذظظم نلنقصعقثعذ 
مطظغيبخجلا شحيزنذصلوذ ظتاغلشهحسط قلعطلرشسبذ هشدزاظوقشر دصضبثفيغعع هخفلتدزاذش جتبزثحبقغذ همفتدكفنجض ككعحبتزيفث 
حداملعحنفض قيدقبقعحخف زسدرسغرزفص خاضلصهشااب هفتلعزوزيم قلقجاتنسلت خسداثسصقغم ذننشلهظثهف قيتضتغسقشق خفرجدايختظ 
صتشصجمضينن كتتزثبكضكد تزحعديششتك دظيكرضضغذو قرضلنجمووغ حرظركههصلص ثزعغظوحيعظ مروغثحفجرت تظطصشدفكقخ غضوبناظطفق 
