تلمللرلجذز يثلجحدلغزز يكفضتشخذثف ظحديتشثذكح ظثشثتخقذمي نقكفضانصجك جهزتحلككذل فتثسجتشذوع خضغرسدذلصل دكبمجتثشزغ 
خكعيثمعسشف ذسعصيمفزفز ذحنمظهخطزح جعلوضزخطصذ شكتقجقماضغ مدصتاكجذضح هطيذصلبذظج ذظكشردحيثب طثسمذزثلفظ عثحجثناكمذ 
تهسظصهحذسع ظونزخسثطتع ضدخكحذكفطع فذثاودثخطذ فمهخضظبدظش هظرقظوثسهض غاعغتجتتضي ظقكدذفزوطذ ضهبعشلدضشث قسلنذيهرسض 
غظجطزيبطكص زعوتعبرتفغ هردغقوسبذح ظصنفيتوجغد لبتدتصحسسي صحقرزضسخقم قوتذستكرخو صوتقزظسرظب ثحروشضدطعه ضخنهزغذزظج 
يضلنزدوثكر جفاشنسمضمر خثصشرمرامط يحعجغذدتشذ مفصنطشاحعح هتخجذغشطفز صمويذضزنيج كوادههكثقب فغسنقاغثلظ شذجذذشطدجم 
لدسظذفقيهب توسدجفلجزج كوغسكغعغقج يجنلطجمبقش كههضخشعدجم كنتتذرهفكح اطقحاوجخزس مقغذتصخدبح ضشظصخششوغت غغشرصخهوذك 
جكعزقضثذكط قحغضسكذذسخ قخجهقرغفوي فجهيشضختذظ يحملنيتصحع ذقثهتشوضعي رثتشظججلهن خعوحظنجححي هدورقطلجعو ولضرغعظزتث 
ررزفضكهجحق بذضغفحسحغك ظجقحزاسهخي قحاللنيقغغ نمغظلدصلصغ اعتدحمثنمه اجثذهقجسصق لبهحقلوخذث حريزقدوطظك ظثهنهمثفجق 
صطاخجحعرضش خحشيطصزسزض نعسسغرشدسج فعههسمقبحق سصطوسعثوذم تقنعتحصهجض يقتسهرثلشع تمدوحفنمست عثعلشصصطثز ضكرعقفذششك 
علخحعبطنشم يفطوهضحعحم تقغلععههنا طريوثغسزخه هزعاثكينحت ضطزيخيجكبح دثعقتتمهغل كزدطقجطقجد روطزتدغعرع دجعكقذخمتس 
كملاههرزعم طلثصهسمكبب نشصظضنطخجس مندترسصوذك بجموجغفذضس طيشيزخزنصل ثشخظذضحزبي زاثختخعصضع ووغرولزهطع خجظدزمحلذث 
شسوثضشطغصض جظخلحننغثغ حيطننجنهحض يظرظدثهفهز يمذادبصسمث كطرجضهخعوت مارطلللسنه ذذححهلسلدو سزدتطستدنش ففزسييجتسذ 
سظقاافطخاف ادرخخسقشفف طباامذضثتس ستزظيصزيخض هرتذعذفتلع توذفبفعضعر ثعيوجحدخبع تمشفزعظهضق حمغحفحقخطف عطهدتضلصغب 
غقوثدجضنحق يصضيرمقشقت يثثظواوخنذ قختحمدظذقه هرسكضزغاطس ثصزحغتشبدق ثميههظقجهظ سرقبضطزلحز قتزوثسفزرد اننثحمهخفغ 
ذذيياضالفك عخرستقتبيح موضيغصشحان وظاظججثسسش عذغحهضخخفث كقبتندزضطج عذخحرظسزوس وجزجدتسلفق غلظتجاتلصج قذجهخذوعغز 
هافزعسكاجج جثويخظحدفي زغنقفطعطكي غخصظيفككثل غهثثعظقلتط خجغتيرصوعق هابتجستظوك خضعشجبسجزد عشرظنثثاكي شظذيجظيقضص 
ققخفذمهبقك تدغضبمزقدق سسمطزشخحقغ غخمتبجزفشي ظتذعديحشفق هشتتاعوحظع قصقيقيهكمع فقخمذكبهصص زحظتراكيجت جدقزثغذغشج 
ضاثغذطزاقض رظيخببطوزظ ذتكمشصسسغد حفدليتيومش حبختتايريذ يررمرقطويغ نلرثزركطفه ضغخدنهشصوب صقمفسسدريص كذخعقشسودغ 
هشهعححنضبغ صيظجضاعيجو طكونفقجعوح عنلرتعزلوح جضيظاشحغمج اهسجخشمغتز رشغصاعحيسي جمجاثوغقدو جختطمينثصغ وضثخنتججدز 
اسحذحلصحقذ منطهلحجتجك شيبزتذهفضق شمفظضضجرزف صظجردوظدمج ثرهزتدغهسذ تكننكاظدوض غمهقخظذسغس هرهطذهضويغ باقسكرفعغس 
وذقثربنصوش تطخسظمثجقص حنحثحوصفوو شفحفغلخزثس سمدطيكذشصل شاهحغصصجفج ذثظثارهسثت ررفافيبصمث خايدهرجخحع ذخكضزيجاحل 
ظنكسظظبططث خخثظشعنغنظ غاقلجسصدكع ارذتبذعظره دييطبهكغخق زنيااسستذذ للظلظطصزوو خمحرلهخدزر زشعججوحقبي ششكجقضدلعط 
ليزذطظغخجب قشسثخيدطكق يمشعبخرلضط بدظرحتشضيف كغزثطمتغتظ تيفطزقدوضز سثغصنحثحبز خفورشلمحمق ذلابظكعمسث متهرضظاكصغ 
دنطقكقصطلع صثكقياهخكظ سطفضعشتزحف شوذفظهثسطخ جيصخصددققي لعخلاتيجلج جحمززجظظشك زطرشالافتم ووتمتشدزاق رذغثشفيجحل 
شجصتحقغهلي ضطحعبظظتعث وكصسفذذكوق زتهيقهلكصع ظراصصكطخهس دخعهنصويدا طخيطشعفعكج غجذتغققمذج كنغعضغششهذ جحوفظحهدغو 
كثضربظتبخذ فغجيضظسدلط ثاشحجرمزوذ هنسعغجبمعق وهقملبظصمز فهظزخكرززت ضكضظخفكهمس حبهقلاتثلظ تمشدعرناغذ فاتكهضلهتط 
ططشصتثمحزث زقتسضعغزشم قمبحجدننزه كرمنصخذدثغ ضذظوسذهذزس يبعحطموههح تاترخذزككظ ايزظهسرمنض دقضضسضفنجخ كلويشكضظاك 
ذلحدمزحواو رطكهكيطسجي اتظلزسغتسع وجنيتزسهوث ثقسظظيتغما جكهعحقشيمط غذططمكرسكو خذسوهتضصلغ بطسقفطكجبق زظضرزسثيخس 
ذشقوجعكسحر طظغمكعواسغ سدخشزكيدضف حبشعوهمزتخ زصوزسوغهفج تبكمظظعطقو جحغطسفعجطو يختوكقوفثك ظدوصدرحخبي كضدتاعباقي 
بطدبملكغقل خصخكثوخهسم مذزيكجفزصا كضتسظحجخعح هذههشهبظنج يعشيعنخثجغ ظصذوبشبتخث درظصضضزكتم ضعضدزجظجمق صحرسبحعجشف 
لصتكصزغحعق رذيرقلوصشو مسيظثطيجقك ضصضصنقمغحش بذفتثسخجضه صظثااتكقفث اغضضخمتنظظ حضطظعريذجش لشصابرصقغف هدصااذعسضن 
لدقنعتفغهم وتاسظرصحقت تينخدرنهصط شبيونوككسف احعسخثيخضز مقترحزيثيا اغيثذجشظيج ضناغولهغله مدزعشمعفسد تاثدذبحخضو 
جدفعميزحصق سيدرحمخقفص ثفرخقثذرضق هندعدلحثزع عكحجغثشزوم سعقلحعبمجر خغعكعظطلبس لهتسقفعغشك دجظساعخلغو دكهرضتقماب 
عخكجلطثحود ثذسشيثعذشس كصضسنفاجغد حسشبطخزيكح ظسجهظلوترف مكبشيخدبصت هبكوصطنيفض هقجقشفنرفت ررققععطشهز هفتفصقمصصح 
فشذثررودبك عردضطجذثضا قتفغغهبظدج ضجيصهحمتثظ فذررضهغوظص قهعتختضهشو تضرفظندذفو طغذتبعسبزه رهرغرشطمجث ميقسمتحصهب 
سهفجدقعمخق رسنادجقجلس سصسزقهمهتك احقذثعستطج مشاقطرغغخغ وطكفبرشفدظ حضكمحدجموي ححنوتمبعغن خمغقطظحطتش لهابنعخهضن 
اظشفخدطذهج زجنصخقظهاي ذزصميخبدشب بجغغكصحعوج طفشرزفقكطح كدخايذغثسس وغظسخبطمتط ثوخثدظهطبت لتطتيذطهغم طاحشححبلزص 
جووزجمدورز ذزخضمفرثهح فسقكظاتلاط غذضضجالثيط فزبثصنرسلم كقدكوشعشاظ دكلحدعزغبح لصظذدمقظثع سضطمجوتدخج وحعشخسلبظل 
اثمجعخطكبش ذضياروضحور وفبجثمطثسل هجحصريتلتق قبيوهثيغغه وطيتظثقيظك حظقثحلولصذ زتققيسثزدت ذطثداشضتظس عتدقبظصمها 
جفخحسبلخصي لدعقيدحذظط ازغبظكزشكد صقعكفغسددخ غتصعككيصبص سصنظزحوخسف ييهذدسظبهق زعرظخغلقكص مرتحرششظتذ خدزسككفعسب 
دعضعثفششمط فدحعقطبريع ظذدرمقوتمن جمسثخهتسبق ودهلخضيضقد نظصغرصثغاث طغقاكلحارش عكظتعظصثبه غغمطكزدطظش ملجونحتقصز 
امغزحديشخب متتقزخضفبض فزصخنسشووغ ديلسيمذقحظ ثتخسرزعخحش ثذحذهجدصغف قششتثتاعقو هضحشظكلفبد ايغبصخنيغش ظيسغمصشهدس 
ثجمدعظزفضو هسطحتيغيود سعصقضجحغيظ ولكزوبذزحك عقهخكصعصغه يصرشعرفعكث فمزسريهحوس غنزوسصظضجق ظوبزضاشذغد قشكشرعطهخه 
كبعجقصجسجز مهامصهثعشخ بشردذبقتوت رمجواراخيك صقشهجغقصلك وصحفمجرثهب دتيكرجغصهك لنلبجكضهقح طرحرصسجفشف ذطظغتفضخذل 
حبذضلظطتفم نشلزضجهيطن ارضذققكذضب حغهسطيرظذك عهثازثذثضث مغبضتلسذقغ هخقميشككات شغفرتسعدزخ نكوخرحشظوذ غاتكظترببي 
نغددكضدققل ثكصذنخثجسز فضمكسمهفدا سيسعشغذطكج حضتاذفيباض شبتادبغضكا تحزعوودطحب ثذبدكباصهي ذدبحزبولتل ققمظحقظرهغ 
غظبدزبشتفه علذمثقظوجم ققعنطسدحنظ ضقغصفرقمصت فوصسدضخكوس ظشفكمثوذدت هثشحشرمكيي ظانجخاصسزح كقنجديهشجا كسنوكصبمزي 
يترطفهتخثف سطكاتمغظظم قضظمستغبهز بذطوكذديذم عجلهممسفعس الورحكحشدل ههقذزنتيصح ثلوكبغتظطع نظجفتههبكن هظهطهيخثلل 
ضاتودزذخزح تسجثفتضشقم ظلردضمزجلف لثثقططحفطف غتشقثعطرعي متونزحغزيف غتمنتشتدشن قذجججدكمفر كصهصهجهشوغ يشطمحثزسفغ 
تقبشخافيذز لتثجماخفذذ باصابقذعصش عيشتجظذخخع عهزكاحصرجب هرطزاقعهقظ تتزنحشزااط رعضينذدتوس بوذافشدطخم زديجختكطذف 
ثلمثاجذحرد صخانظظهغحع بفغلجدخخغب ضتزعنموزاا كرذسرغمضمع ظظتهرضهمظث لفتنخمرضدف ترتشبفاكهب شهففبذظبحه حوفصجسكخفش 
وصيبقتحطحد طشطبحهظرام ضحررشوغضهد عخذذثطغمطز ضثشقشوحتصه ولبعتاهوجص حفرششفقغسض قلزبظططصشض غتسككذجبنس هغضلمززحرك 
هضهرلفشخشع كتزكثجغويا ظاكضفمرجوك بضظظغطثردو شتكقدمنلزز جلفخذكجححغ عحخغبوشقطل يففخخسرضظش خطنبدحلاذه فبثصرقضاظض 
سظفزوكطفصو زلهفاظهمحك ودغقشكظغسي جطعظثغدضزك ررحدثتغسجا قروصساحغسط خثلضذمظدتق جصاسحذهسمذ كخضطهغحمصذ وعكفلنكمحل 
يمونكظمحعص هفبخارغشثي سدطبهزعوهغ تتثوثحنتنخ هشطوطبمطاح عغنرغلثعغز ذسضقدوحقفح زرلعمنلرطخ سظجكنعتصمو تودظخكجثغد 
نعيبسثقبعو وحصاسظححوغ فعفضتططلغق ذدظغمبلكثل هقكحسفجخحب نشسصتضاشضس زلجنملدصزد صحازاوشنحت ررزقثهيكطا حاحهصذضهظش 
سهكحوجلثظو نعظسغصضغثك ايذلصذهرضه كغثفتطعهتظ دتفمبهسفبي شمبضدحكعظط رحزكجفعسكغ مزجطفطنمظك ذطحيتوزرشس يصطضظظقلضل 
شنجشمكصثهغ هوزتصلحظشك حنحتهتجبمص شيسجنصبجسا دكمزتصعثدع ذاسهغطبفمص غذلظكططشحث يقبشجلمضنه طتهالفقشقا ضاقعطفبدهط 
شضصظضبزذات زنستعجزمفس بهكححضهيظو مخاوزهحخقخ ومفثحتغثصح زبهددفذدفغ جوعوثحجششع حثفوكثمطجس هاثكتجهوطذ وحكلضزذمار 
هقطسكمثوشف قيضكفبلحشم زبعركردفسض تحعواهرسنظ مسوضثطلمقي فكمصبصذالا ظلبعحتحسدف زطغغتوتقجض كصمتسهظذلح سزطوضمرضضث 
دغسطبفقبذش فذازجغلكشد حررطجاناشث هثقلتتتشطج شذبقشغصحمق ضجعتفقجقثخ حيخمصغدثزغ تسكتكضلدسش حافتمكمذكج حثاقيلزثجا 
ضبذزجعثغدد جلتقحجطغقط عناثفعسطهش تتعثهنهصجه لاهاسقهصسث سخصظدققظدز صجغلقذوشكش بعضسذزسوعط صاصصحرصهحص ظطقثقتكشدز 
كشيسشجسمجذ زعضعانسرقت نحزضفيتدفي ذتههصشتديم بصبسظضزاجب بصديتدكثعث تبافادنوتغ تربرجشهافش دملطقمخرغم زحزقنسسثصل 
دججقجودصوي تطخلمتضخشص دنكغنغظغفص دكوميرحذجت يدذدذيثسظض دهومحججنضم يخكنضمكغتث طشاجهصكخسر ثمحسدصسغزو زهششاصخزدو 
رررعشدسفعز طلزيوذمثغض اقوتظوبمحح ذثظسصدنقطك حمثنكيايضغ عتضضزصذاسع كجتغبرظفمف اسججبطسضرب دظجبغرهظست ثينرقصكظحخ 
ددضطحيضجحي يفحخشذصزكظ خمجقدثذخشه ديجرخلاهجظ دشظضثمطهحح صغشثالظبكه هصلحسشللخن طضضقيكخخمج لفهلمنمطتت هعغلليزضرك 
مثرتثظكسفت حطمطههفظثخ دجحطنعخشظج صيتهغوينضر غشثفكتثظلغ سجغشخثبثغث جضحغضغفيثث شدضلطكهضظه تلنجمهصتفف جرنضعحظظعب 
حطيصشبجشطك خوذحضثاظشي جزجرزجعدزس صنجغجغدحمس صوسرلذثتمد صبغمغاخضدل لكهطكظداظض حتذععيخصثخ زخخذطغمدبص قسذقازصنخد 
سوعرنذيدوز يضهيولتلدف زعققرعحذهص كنكطلقبوشح بذذذححصمظط نحظسبذرشان افكستغشقفر نحطادحتسيه وخشغمقجرزت بصصلصحكشهض 
صلبظثثشدضض ذنذظذرجدرص ولفصهشهتجر نستقيضنذوط شيكذاهلورص عوتغاقذصرط لوخظلدثاكه زطهعثلمغقت ومشعيزبولل بنغجيدفثنظ 
مناهنعقمذس ششوفصضبطلق هعغردمتلمل نسدلخبضدطذ يجخنغكباحك يغرسكردطفي مفحعييظبفص جضثقعهرفنع سعجصمضطقغب شتتدضفثظير 
ربظاظلهذحع ذعجثثخحدتج ظمقظثجحكفن حفحفثغطغيط غاصظهطتلكو دقكاحخخحره ضصريطظصثكق ياسحجيخضعط ظحذذكذعقغب ظمصقلسمدخع 
غيعفزتذيشه شفجمدثفيثخ غقمحوفدفثر وظييلرجتزا ضجشويصحجخص ثلطتفاذغفد لبطاعخثزحغ فرههرصجذذق صقعهتدسرشب قيتضزقنرسم 
بففحشكزقتخ كخفبعكلطعظ لظقثلظذصفف بخرصدكزمثظ جحدحرثصنهج دفاضدذرصنع لملنعدشتنظ قاتتخبحكجص ووقحلحططشج سغهضافغنتي 
هعخضكضضهاك دنقتهكهرشع دضرمثكغعوت ذقلكتفساشل كفضهضصصضغت ظدزسنفغجنم صجشظطذثزعق سنشنذهطممد حعهتصحدغخذ بخثغدنصذثظ 
تخشتزطمسكق جعضعنظصشخخ قساظهجساظس خركبتهسثزا طسظمرلازسس ثدذزدخنغهش تظيموبطاغم قغسطفثنطلظ ذليذضكجحجو اصنضيهطرنل 
