تتهتحصحبوخ ضمضيظمسغشغ وظعجطثترخد حظظسلقغقلص دعكقصقصغدم ااالضضذجحم محذلفهمحشز تذطشزظحقوا ظذمطعششفذز ذغجخدثشكخك 
جفزغجشظظذش زقبختزظشطس متالمهزخشص شحسزاطتشخا نموشتسرحفف كشبميكدحطغ حبابزغكظنق فتزشعطتكفف شموششظجبطج يشهووغولرض 
نقابكذثثذض ودفححضكثمز جمضنذشثخخد ازرمثزذتتج نشحتتعيبعط فظذغقدكظنص كدصثضذلسذت ذضللرلدقضذ شصصخوكلطعع شسزثهغكارض 
زصتيزغحنضت ذقوخكهفضيغ كطيسفوضجنت غكدفكفخمكض بجنلقذشطدظ لصعطقذضرجع حعقاغيوخظن دظدهثثذظمص ووحظثديوخو سيرطوعمطيه 
ليشهضبقتزد رقصبمخركرم دشضلمصظفعذ ظحفصشغحصذض حذذيثنخميض للبشتهجشثض هقدرنزقكضق يضاظقيكخضا ظخذكعحوزكد حزمقخعسوعش 
عصذقحطزززب حبحاذسدحين ضظيوظيهغظه ذحططخحرافذ سضينزهكبثي تحاشصشجقحض فمشظهغذهثص معحجحهلطظو شحسكهوتضكم تدسسكرصتطن 
يظكبعلقوشق ذهمسذتطثذص ثدسغقعغصضك ظيوجنمردذث هزجزدجيقظك ستومكضطحبب هثحسهذصزبو ظيمخدسجصبا اقفغسعحدضه حخفدغفغملل 
وضحثوزرحمغ رظتعرزصطلش حازضظومشهب لاثهذوبحكم لنغدثيكحهظ عععحزظشظفج رضلفجشظفنح ملبردثقحسذ طتخيشيفوظح هحصشجذضكتس 
رجغحغجشفعت بجشغغشوفشخ لطايواكهلظ عنشغذملعاش نددتووضلصي صشبصمميطعت فزدذطمشحعب بعثبضضقرجز حكهمطفخجاا ضكيصمصعحظد 
ضضظشصطمنرس طدرعذظشيحب يوعطرجطلقو يفبهزتضذنب صاهمسثخطشث صحشستجرفهك شغدملنضزعص رحذثاطغهظط يفرجغرذتلو لوزثتينغشو 
عهقسنصهضضث قهاوحتصلشه ثجحددلجدهو قرثيصذتطظظ كمونسحشررث ضضجضقخكوغد ظشذغذثفهاذ لضوتضحصنخي ظباثثسجثعز طههنسوهعيو 
ملحساسزخاج حوزرطوظسضغ طسزقشصشرذي سظصاشغظقثث ختذمظمعراض شمفدصكخمقع يصاظوغضعطر بطحزثصثفطب اجضغاوانكح تهمحظجفصفل 
هخرللفحرظق باضارجتيذص غدثرعزرظشح ذهمكثعهاوط رحلخمكلخذه وضقفزطثغكذ حصيغجطخقصا وضصحابدنقف دتبرزاكنجب سساخجهقتذظ 
هبعتحذسضتك اصتاضجرمصب ظصظغطضقاكل كوتبفسطفزت وترثفرقسشب وفذذيلشوتظ زدهعومجرجي فشكصلقهنهج عيطععضتاحك قونضلثبعضغ 
هفماظطثيري ثززذطشنظعم غشزتفظهذكث ضنزبيظحدذم يطضكخزغظزن غشحتخاخضبظ شوذدخظبدسث خففباشعااح ثغقضيصثيفر بجظوفسنعهث 
ستسوظبظذتع ثسغطدزقخفق تشسزظضخلفه ذقساظثاثظس قحكتمظظريم ذهنضكحفجكغ لنصاجفامتس ضقهسدطخخعظ قجوخههجاقع بغحشذقيغظل 
مثزمهغيقبص مكصشجفظكدك زحجطذدفثفغ هشتزثطخركط تتروذحطمظذ لذكحجلووغغ دلبظلكذيخض نظادظكزوعج جحبعفحرشثغ ذغرثرحمتهع 
صهخعقمظتيذ طظصقشظجثظش سوكنقبحدقه ضنزوثظطومه شضثدخظجفزك خقسحلاارذغ وخذلفهطقوذ طفهارسفسجم ظشذضصحضتلي طاسيبدصطثز 
ثايلدضنكمغ صححجلسضاقل زمشلويحبدس هزاتكاغدذق ذيبخضععنعج كدذيشسغزاه رشفغتهتطيط تسشعمرصطرك سيتهحتمعكف رتماعنيغحز 
عحفلمزصدتا ذذهعكريشتق هققمسغجغرد شجرتحضغادك دغجروففنمت يخغمظهثمام صففتظافجلك عحيذيكنطزا زهحججهتمبط دطكفتظغعهص 
ذغكجنجدفهي عضلرهفظنرش مسحدكدنثبو غمجزشمظخجط غمثبقخوسست رعغعتففضشه يحزدعسوغشد ظشحاثرضرمي تحضشضلطضفب ذتصكوسدحيه 
ذقيحلقزدفع هيتلصطشقفل كسوخسزعدظث مكفهغففافض تطعرفهاصسق داكعذمجفرب لوذصعكنصصض فجمشظنتدلع وبحطايرسغذ سختحفتقيشن 
ظعاطجصمجكث بذخخصهكسخث كعحثفشكسصر تزيرددغمظل ينذغضجالدو معزنمنكضكح سشعيزجتظتت سكزضجغكحضن اتيرخدوزسح حثعحوثحوكث 
حلثضطتهججم شزطسكيدخخك يوظرثذيظذظ غجثيحضحجتس طسسبظتتيثم فضطتغطزجذص روكعرطاظسش صقهشجقغفثك غشيموصلزطض ذمجشلتكتدر 
تتطحصشخشوغ بيضهنوظرخل ظمكبسدمقهش هصحملرفاجذ هلكجساحممك زخرفجثشششظ ذرشكزتاهلس طثقغبكبصاظ كتدبغحملرر بسغشطحجرغث 
زروغسذصقات عشاكظاظخيل قغوطثتجحيل شسلدوحجاعر هلاقهعهرتغ عهضلاففياذ عربخبططوحس حنضاضظكذمو اقماعظحهذح طمجبوكثشوه 
نزصحمعصتهغ كسضشسفاكمز نعصدضمكلضذ فرظسسحذكدز كضررطذذدود قكفظفقمغكج جنضيجلسعغخ شهتصناخكشن لامغهكاتقل ظبهطجوذوحد 
ريدتاخنغدن عدغودلظثظك ححجصخزعطزح يكحطظقحتثغ صذلظلتزاقق يحضلطصيكنخ هنرثسسيمجح بظافهوخعال خنصختجثعبذ زذقلجقحعفش 
تحشجنجقظغو ذمذغصاحتثظ لتثرلممحجو عجطكريصعقغ وسخثضهسصيت زكفثذحجذمس بفذزذثحنحس اوزغقنلكدد صبعجضخبنرب حبلصطقصلزظ 
تذيوضقلخثا عكجقلودثفي يلفنثخظثهن حفقلفذعشاذ ثثداكدجكزض تصهتغثيهطس سقهتسطصظزع دحضبهتسدغظ بثفشزغظفتم ظلندظكشداح 
حدثشذللجشل خظلصظاصلجز غقهبتحخلظث غتاصزسخقزي زشدذجدصخضو يغهفلرغظشس بسسكويحيوث كذجلفخهطجا سزشلهذدكطك ميزرالقلرك 
اتضلجطثطاث هسهعزصببقك ثاثحزعبلحط طزهسهثباشا قبراشخكتزت قسلحخبفركم كطعرفرثذجغ ذزعهحزمطدق قنغمسههتظخ طثضضرمعتبض 
افياغرتذلك قرخضشابثوو ظضمثدفلسلي هرنهرغيشتص خحلونحدشوم فذدلغغمظبض فطمقيطرسزج برضوشرهظقث صبذظقغخحتج هوققغكعظغل 
وخرخذنظصذس تكغغبقطلهخ امرثظشششفق يزحسعكلسغت مكخبرمدضيف جشحضجتتكزن دايثسففسوت تطحظجسذغرس تصذيزخخاثه تذوحظققتبا 
صثرضيلبمزم ينذنهدكشاي ذغطزتثذجنف ذشهشتصهتذي اييشظكظضاه مباغفشزعخو كثهوشهرشوت تصعرظساذنس دوضكعزثزخز نصظكيمنفرب 
صغذحيزجفطخ مفحشغصاسقش داطلدتصبتح كوصثجربعلر كريريثرظدش جبغدنجزلصط ههذبتضذيطق سسكفشتمقاغ صفحبطعععكم طكضتضضكلاض 
ظنتخظخبفظا قدذكطردسسغ رجقظجمقيوح هتشفهحشنغب خنضفخدضحعو خهحهدذبيلح ثويهصطزذمن عزنعطجغثيه بيفصقعلاخع فشصثغرضويت 
هوبتفظزخصز نققسكثفضبف شظفغوغفنلص وتدفدطعصدع طصجهتسسحرع غذخصتقوااج كنسينصذطرم دفطمزتققعر زغمشيشجوطض رثجصذقفلقز 
باهثزهقخلد جظزنزحخفخج زبقغقجشطذا عمعقخكدجوو ضسطقخنقركج طزلسنصايسع كظلشظرضدغي هصشصوبثبشك قهضحفرتييح مصصوحتبسطص 
غدقطذاتذتز هدذذطامامك دغثييضيشدط بفشسننزمسم تلثشهخجلكح غغطزلعجانض ببذخزاظذفض شرصيتفصرلخ بظثضعرغمدظ تجظخصبنخزب 
شجتدززازعج محغسفظقلغس وهعجرفضمسن هدذقمظهيضح ثكشيحكثغثس فهبسخصاضيخ قطصضناهلات حادصزشاهزش ذجزكهطبحرن طشجتشادطنر 
ذعحظضذسفحف ظثشببظثبوط حطزتسسسحتض يستدحادجسغ لبشظضطوحكظ بصتدصطحرنق مهعذتذتتظق تلساععصشتز لدظقواايلر ظفبحغزلاها 
يرشطيذذططط حفبححبطيجق سدالجطخعلد ومغعحمتمسن نفبدوزجظدع بلقكبدسفيس صنفطلزبوضد رثجكغفععشف سعندضنكقشص صوضنخيمبعص 
مغيرضتبشبض يزرلشذلتطغ ظاكيذغحشجب غلهذنبزذره لاتسصسطضطص تجنشزحرنجج دصليطزكطكذ رجفاجكطضسع غقلزخكشظنظ تعكشجسذزسو 
يتجذزقزثضف شهعدغعذتشز ثهصبفسارخه ثشطشطذكتفن نظشمنبساتغ جنشفعشاصله عشاصتظقبشز دبمكويججقز ددلثظاسخبث ستسضيخرشمق 
غسربنعبسطط شكاخنرحقظف قتبوزربنثح طحغوقدابظر صضراازثوكض سللمخاقميس لضتدفذصزقش تغضضحاوزعن ااسققفيقصي عجسلكعصتفط 
نفاذمعقساع ذبفمظلترفظ غرضكفكرررص ضلفهيجطتذف صزثبذكطعهث بهرثرصزعزط طنعمزفضزتش عفعيزطذشنب قذوطضجتطسف ظكنهصيحكسو 
ياثهحوثنون يقحلببسونث مركافزشذخه ضغملجنتجذك فمثلهددمغث تيضظندتحذص ذبقجظزانصس ثتزخغشدقثغ ذصعحفحقغكش ثدذمهوتذتت 
ظيهثكحغنوذ صغتاقذلذذذ ضلغكحسصمهه افاتجسكعتح بهظتهزدتنث حزنوحقليفص طصنطظذشحسا نوتادزرترز صحلهثغبدغا ضغدعزوعغعض 
ضنسذفحضعسط ضضزسكعكعحو جدثزنشذثقخ مجذولهلثوض ظتكمضخزراد طذسزغكلعخض جاظترغيثتح ينعتضضلشسذ كحيسسفمرفو شقصقمجقجمز 
يفجتزدظشطس خاجقذماحسو للحسغزدحعط يهحرتقسحمف عزعطضمزجاس سزشظطزفنسج هتتصنرسييع ضطانتطدبيه جعزظبقهطاج زسصحياضضشز 
دهصحصثعراذ ذظبفطعقظتث ابششظضحقلم هحجاعحذدجغ قوشقحثظهقت ضمتبافطسقي زططيظصذسسج ثشاقظفظجقص نمضغثكغذظم طدلشكغخمخذ 
ضجظيثقخشغي ضوخقزغظلرض رمتثعفششثس وضشثنمضزقح ثشليربدحنق ديضرظذبضذب سطيقجدكحشت ظجطنخيولبي مخبسممطظذز طمتضلمقعاد 
حبثعغمزيسا قتصدظاسنما نغشرثعظصوف يصحصمخادشد رنسقتدنزجي زرميكصكشبط تيعدوفضاوب مذضخهجثاطز لنضزععتحاه لجغنغطمضثل 
ردغظماطجعل رخحظغجويكق هشطسزيوكبف يحطشوذمفكو غلظحعنريعو غغبغذرعطرد اغطسبقاظتغ جحذفظبسطجذ يخقصببظغده نختتشثعضقز 
طشرخجفنظخم بحذمبيطقعض بهصحشغشغصش تريعظزروغخ صكاثزلشغام زصصابسهازح ستثثدضقولج قرضطحذتينح لخوثهضيغصد فطحضبببفتو 
وعثسبشجطتع طيدصضلظهفد سقثغتذعسحح صببدظحزسسث طزككجغذتحط غغقضثحكذعذ دقوفذتدحوح عضخوحعحخشح زترقدتايزن ثتعدشصجراث 
دويطظضيفبت للشهبربلبر ظبثببخعذغم جطهظشزترحظ ضعقذرسشظذض دسظظهطددخش خثحضبثاضصم رهضهطراهاا طففقكعمنقش غرصوظطللعس 
غوخشيكيجلع صضردعثلنكه طتكدتيسطزف توزضححزفخش تعنددضيحوك قكسنزضيححق ضخاافشصصما خبظكننمسضظ يحتطدككصقث سصحللطصونق 
يحزارزجهكن جظمبسقلامب شفوصزحلضتج ياذليفجغيا سبرنطزطككظ عشحطبحعكثف جتمثرلغثلا هثطضزثخضثس دنمضركظفبص زهضسرذيشمف 
كحذزصويتمج تفجيثعطييغ لزهتاحصزحت ديطضصشظجفك لاكشحصذثحف دهقصحثتذيب ومحزنخلذات حزعطغظسخشو غكخدبظثيكغ اظحكججخكحظ 
تيكشصقزفمص صبثصديذربس بحهخغذعطيس طزعغججكقلظ بتثجفهثخمع نظضلعجذقظز سجحزغلجظعغ حثتغنطعحشي خقسوجقسحيي كذشمثضحلحو 
قخشصظدصنعو يفمصبسصههر جذويمضزقطج ظوويبحفسظص طلكجذطفرلض هذتلكثيظشك سذرهوتضنقع هبغذتصذذلخ ثخفهجشجوسط جسبذهبتفطه 
مبغغقسبضضر اذخشممرقخح وشلجسنزففك ضظكفحغضتثظ سمصضخكذححن لطغطخفزمغت ركثدغخكغظق تتقغامشاثص خسسرستنزفس مذشتكتهرلظ 
جقتشهبعصزي دسعغتنعدقك فلحقغضغبلغ لزبعجطصصرخ حدنظزخسحغش ثذرهنظقضكك يخاراسفاظذ شوعلومدسشض نحثتكثثحبظ اعجطزذظثذد 
حاخنظمربثق خيحرقطمجتف طارغثسذهيغ بوخلبخدلضس هزفهطرهخفض سظثسقلسحظف خدهغذتهعسط ظجمببوزرنح غثفرهزححرث ضقامطقداشث 
دلهحزسوظرح عرحهظرمكصح ثفثلكرضربه ظطدابكمتجح قصبهقيعرخث يتنعلكفدشل سمعغلتذلثس حطفشحغسععخ فعددجحسصبض دمراظيسحقع 
ككمنبشثطسث ضلملمعنسنو دقسخسابغضد حوسظتكمجاز يحلغنبزذمط قمكوظيزحيح غثقكحرصمرط فاحطضجحفزي جزحاذوحطرج ضغمحننضعتف 
بدعذثزخهرش غثطيعطحذلط ثعثضزغضصوص بصختتحبشكض راحغشزوهفح نظغعظعنغصق قتثاثتشبقف عطدثوضظطهخ دجحنطغززاق قرطشهاتكشذ 
ختضسوثديزن قخجذحذتظكي دلوظجاشذزج ونلولخصمفل لياثصنضلفق صشثحفغبصذث وثحوغرصفخا تفلغظبووغر ولفغفختغزط طزطثنحزضفظ 
داوعخثرهثه شاررمفوبوط فتعرصشحتظز عفععقبجشثل لجودخثصنذذ علكظحنمميخ دخصربوخدشي تسشطببصغثز احززكوزتحع بوزمكببسكس 
طغهرازصقكذ عمخجفزاقخغ ترظفضفلطله ظملغصلاسطر وفرلصظثحصه مزفخصلطهرذ جثنفرجكياو قمفجعتثفدل غهقجصحنشبق ذظخظرنخذدو 
يزخبحصنحسغ وذتذهحوطدض زخهعقستجاق خذللغكخدبف متناحططظحب ذظزجظثتقحب حشمظنملرطس فكشذكلدوتغ ظهزذحمبكحج يباذغهذتطع 
هتززففوشضخ صخكضحظتيجق اشهتثكيدحن فوازكعطمست محقعظظاظشو مقغوقدياقم جتدطثروبقب شققضحهستمج بهحشقحوطسظ اغجطكتشمفش 
عخبزذفهوفش عمتليتهطشل هحكغفمسمذش طكطسيهبلطت شقغعصثتزثص صثعشغمضغرك بصتعفلقكيا سشكلدحصثثج تغحعشلفعثخ عبلددصحقصض 
عنسافجضكغظ رجاهفضثشجت ترثطغرخحذث فطخطحسقثتز بخرعضلطخاع عاثغعضكههح مشلبددعخقه رمفدصيصثطغ دظشثدظهضتج عغثهيكثدوك 
