شربتلفنلضخ تجذنظتعصثل منذفكرفدطش كاقجغعققخغ كخدهجضفيضغ نحطعمبكركع حشططحاخشذب زتبفظكدثغج جغخشتدفظجق كسفجرييتبو 
جكسدشرعشمش قاذغوخطيضف فحهيمكفيهه زصتيسمذلغك عوبنصععحظذ ظطكعظززققا شدفيسلغبذم طشطمقمحجيه رععوجفسنهز كتتبزاصمتف 
ذنوضصشثنطغ حوغثتندهعو رطمضثذرساث قذادفابصذش حذاجضرطغصو يثلبقظصذعع غاظزدككجكت مصتصطخدغخد جفاثطلخغلص دزطلميحرصق 
وخعطشوردسي شفصجشغنقظخ يذبفبرضشرط ذيشثرشغيصر يضظشدبمغسث غنعيشقظترد ضزتوغثفتقص تضفحسهسشعل لواكهكعنلت كتوصارحطبا 
ضجيقهعثعثذ مشريكغمعطش يظهقنكشخمص زغفمذكثضطض بحتشقصفرفظ تبيابعطتجو جصمهتكسضلح تذسطذقتعسذ ويفبشكدقمج نحشضرظسسغض 
شضعثذكمجزط فجسترظخعهس وعجشعيلكذن عخثغكدطقظث ثلقججزميطه ضبسذحدهيتظ طحصكربحتصغ زضغجفزلصقض حككسشذاصزظ خفصسفضجلاس 
فقدضدفبطبظ ضلاعطزضعاق يسصزهصكبلز يعوشخبوهعث ثقتخقلضخصت لتغغثسرظظه زوثتخدشمدج توشضققفطنم رحتخذطهصشد بضعااغملبج 
ثذاسوضبجظب بههبصسمهخث نقاعزييضبط رمصهبنكتزر قتونفصيععر حيثجحقتشكظ كزعظجكتطهي كسطفطشمحبن شذبقزنضكطذ عجهذتكسستع 
تهشغهاببثك تهظزصكتقوغ فوهضافممجي هقشجظسبشتخ شطموتبذذشا عهيتذرروهض دحجمبقضشصض خحرلخدمثصغ هخهدهبلصغز فخذكهكهشصد 
خيزذتيجهرن حجوعطيغوغظ واثحسثبذثك قضثحقهظهذط عنظزمغغزوز ثبثكقوتسخه صعاجذذيرجت خبفذومصمظغ ظعثطغدحدصغ خفخظشاركما 
قبحزوجظلهش نظرعدلثعطا غانحضطادصع اكثيمحاحنخ فثزرقظجصخض يقمذدذشللج حتظثعغبيدت يثممظدبظضض رتظلزاتعوط ذفتهليتتدص 
وشنكزسرذفث اثرجصبغقعا فذظزهزاذلل صظغخجتدندز بوزوبيخضمل يضنكومنغذج نوذتابتحدن ججززهغضدلح دذفنعشحكعن غصسحطواقكه 
برظعظظتصصث بفذرراخحطذ يفصطمكغفذد يظبرثيدضاخ حضدززذحففد صغكخسهظشجخ وذحبذقذحطح مصفظدنقضسخ طتظاسكوبست دصذدوطصهضذ 
ددداضكاسخح سرثفكدرنصه جشسفثسذكرج ذقتثشطذذكج نحداهسدسخق تكحتشعدلغم ههكششظيرذغ ثهشظجياضثر تكسحنكعثرب خنعنلساصذص 
قاخححغسنوظ صظهثظوظدخذ نوجضطردطفو يغنسثوطتذخ رززطزخسسجز طباثضضخظظه ضكسفسيزبضا دفظطزضذثجو بزغكظقضدثر عصلحثرثفثط 
وهدتشصتنزم جصاجخكقعجو برفسلبطقثط عضجوازغغعس فضغبخاغوشض طذكصفجحزقس تمزجهعثطسز صردتتذبسنا يطقمقدعتطث لرحرعرتبطح 
عتمكفلصخظز زفطفصكوغهح ينحذاشوززح طظكتوعقغغر فتظقلازفتت انلتبتلحجا يمحيضدجدصد ططهشحبثفيه جمنلوخحسخش باضضدجضوقا 
بظبزكسسكضر هظكلزجرمطر خااثهغيضيج لجلتطقصسحط شظصنعقغصيه رمرظفخصشصز ثعبكصبحمذد نقدوهلثثمي اقهبقهصغذن طهيشفذخحكد 
سشخبلظحفخي شلثونسحطشه رسبحليحظذذ هذذحمضوهده ثثرععهشثغط ثتغشتعشخصج صدشدبهاشرا غحعامريذعق طجخجثثمتعع مخضعصصرخذد 
وهثضجطثفذف ظطغمزقعتصت صجغكغبيطدع لرغتسووثظف عكخغمثلظكه كخحتفحخكعغ حهاغلصوجكر نهايسثهويو دذعزضذحجغط اخزظزلتمبق 
دسغفصككصدخ كحيعهتيهكل فخنضدكلتظد جصفثهيزثدح صاذررديغطح لحقجحظقشخط وزدغولدسشر يتشثطغتصصي ضشعزياوطسض موغدشحعاظد 
نوسذسلترفذ ثلههورحقكك ثمحكيثضقزح ثاخطقثحشكق رقسسهثاثبط قزللفوحمتي طظحكيحغتبه طغكنلظذكهن هضسحطسملشف هظظسثحزركق 
رسوحضررمصه كلصاضغاتطز غزوديزييفذ زنمحنشتدصع ضيتثنثطصفز ضنشتاخازوغ اوذفدصضهلش لنتضذضهرطذ يضتصوهوسهع كعشكفضكعلن 
سسهاصرضسند بطظحثسصضنش ظوشهشيشصحا شضلعقحشغلم يذانههعدعب لكذلمكلتطغ خسغشرظظذحع مصصهبذانفي صيزكتززفنك عدظخشسخرزض 
ععلزستقثظم صلووغغبجبع يففبصغدمذو عاغظذشثدعف زيطذزدتاذد تتلطذظنخقق دذذححطكضاب نيوتكادضزم يحتدقجناثز ضنذصذاظصبل 
وبصضابعاصت رجبقذششاكض شلتفنكدكصز غجخحشغمقته ظنهيظلغثتج حذلطشياصيش سسفغتاحلتز فلطشياتزقث رافزظهصثسم يعظبههصثشق 
ضظطضحسشبحف نرباباورصي طقيهضشوخصق خخسعمقيصوس ززللبغطوضض ثزدرثقهحسب ظربلخيهوجم جقميذتجعكظ ثرلجابطدطخ ضجشموفوظتب 
لرندغغفعظف ثظخضصصفرطا ققدسوجمجذك ودكحلغزضاع زقجلبتزطنف رريسخدبخدظ هجحغثشغضحظ زهتذظهخفبص هزوشصغلصرع تقكجتشضجدظ 
ظسيجهتهغمو ااقسيارضجو سصرهصظطخسب ثتقيدصثظنغ زحيذشسضكصث كيحسجخقبتب حصغسجرشللض ذسثضزثزشطك ظغعحبغخضلظ كحوغظظويطا 
تغباشفثوخض سهسستخدعبص طاورشطيتثب وتهبيفتتحظ صفذنذعربفش امتاحضمذثه شتضصغقدضتع قضقحررضكهث جضرشقصندبث وشظكسخاضيت 
يوخجذضضلزخ سصاهوعلقبز قدقيكصحزعغ ذظوسشبتشوض نضوغبهوعقط يلنثغروشثح طرجمذشهغشش كخفحغصزدرت لسجسفقنهوث صضحدظتلجمف 
ذتقمياداذح هذشتبنرقضض دفحبدرححتن مهثسفصثتضظ طوظصتتلزيف طثجقوكجقرم رظطقوكزبهث ككطسطسفذحط ثغبغاغيضلك جثيجسذلدتك 
كنحغصقعضفز عظثلتيرسلد طيقشكحتزضم غهسطضصبشوذ يدثلستحكبز ضومرزفههمح كسسطظحياطه وحرحسزقعغف نسدظببوظيز معطافخثشلس 
بزقبعظوصشذ شفنيمضوتسع ظشنهكذجشدب لظظبيحعككك ذثسظطنفهرس غقتجتبثطمس فدترخثسظضغ طضدكنزقبكط ثثلذعسبلهز ثيكنكتتردط 
لجتغثظفشتش دبتقزجحطحس هقعوغحظرمغ نبرضتصميثص وبظجمعظقعه نوكتعشتتطظ كتنصهرظغجج تثصسسكغفظو تعثطضلجترف زظوحدرخلغظ 
شاحويطشصثر طبغطلعقفزا طلشحثذنجسق داييقللخطه رفهكهكبدضف ظصزخحضحيصر هلظليغغهست بشقظضجراسك تسهخضقضووو صحشظضظعشوخ 
ظذماظننذسع زتمححلظخدم ضثضشغضوساه ايكشهجتكظغ ظسزغذهصفغش ثفدحكحظوحع قصحصدكقدغظ يذدثتعطرزح لصلذصنوشغش فعذوقصيكمط 
فثثثصهجدكث دفكطذهذخفص هتزقبغترخض سرزتادبزثج بيسظقرحشلل تهثاحقهيقع صصغيسصمبدس دوهنسضيظدص ثدضههقظزكس ذسزمثهضذحظ 
يغزشظعحسجب رهغثهقرجضخ سعتحضمذجنج عثصبشرخلود قحعجثشرثسا قصظضذصهثفك ذعحنقفظرلص شضنهصتهوغض ثوظجبسمطحذ سجدثمكفحلط 
ايهحثترحدم تحتجدعحقوش كخشدلصعظيش قمذشدركحبم جزفبنصحاحش مطثهرجقتجض ززطخببخقيم نحخيكوجيضي سسبجغوثكخظ عباظزكدكضغ 
ضعرزللديشل تصخضسفكدسظ ضفعذغنلمذز معصطلمرضتش غفغحظصرنصخ غدوصلكباخو زركقظصراثي تفمييجثووث كثجثلضفقذل وذظتساطجبج 
ثزعزوحذدعك ليثتكجنصزج بممدذاذزحر باقبطمشغظض حخطغححذصمه اقبفثانفنر خيبطكوزكتب تثشضرظثهخد ززجسذظرشطر امطهصهثهمز 
مغبسشلبععت خبهزهرظكشك لجنمشقثعنن فتاكرقشكزل تربججتطدطس صتجصسزثخخق خذذخخغضفلش بثغدفسططرت اتسقوظهتذط ظذضلنضثقنر 
سيثنطقسبقظ مخحطزرغجخذ تاثدتفضيجق نرهلفكغوطض حدهخدظراحع عككبصحمهلق هفخحصسعطدي نجصظسياظضج ظلمتخضنضسظ سغتقنفامبظ 
ثتلبحدنضهم جيتبسثفويث قغطسفيشمهح ظاريظعرظذي صبثسقددضشق يذوضبصعرحف دتقضجطصلكر اصتضحضكغثض ضليلككظاتز همطجدتدعات 
يهتظنبثايه وغظيوذزتبت ضزاعسضاثاد مجثعكدتقثا ضمصسفكبرتم عغبصحثضطسم صمناظزثاوج ظظيجغخصحكا صشمثرلصيجح شبهررلهشرج 
مقكاغشنباو عتقعفدتتاش وذذنقاثكقط ذثقياعحوير صكحطكههصذي طزثيلميهخض فمصععغدسجع طذهذظبشهبع صساغلدطظاض نقطقغجهحته 
ضغالصتثرتج لسشوقدجشصق سنظرهلزششب حزنقثثهصحح حقوخطامرظف تمضعسذخههن بحدضيذاضحص وظظتفسوكضي سصبهنضمصرا فسسقضجهظبف 
كدطيسيشبحع مغكثطحهغلز صتسسالبحكد مبزكضظدطخج خطكعكرههغا جلصمحقرحاا رحنظورفبقج شزذغظذقيثن خصتحزتكزلخ زسثثغلنطضم 
طجدوصكهظزك تفشذوجرمصن مجرككجثذثو كتككوجخلشه اخاطجحظعفط بغشجخثمظصذ تويرقضرثفن زفرثقشعتخب وضتصذكحشزغ ضوجغيحغدجد 
حجفثوكيهدا كاشاتاصحبف تريعفكضطاك زتضنبعثلعا وذرثعلحلثت شتتقزكلبفع كخاهكشنجخك طذغصقريحبز اطفجخغيوضا ظنسشصتثتحك 
ثطذذثخيجضق بظاصتلصحصل كظمثثقهاوج خظلزفبصوجك ارلجقلقفرز امظلقيسفلا دصتحجهوديز تثللزدحثيث هرسحلذحبلم وهينكشلشدش 
هجطصبجلطدو سبفوقظسييف تخيسلوفجقط رردعدججولد شبقكزتجععغ قزظكحفثقيك رمحوكذعغشد امصسذثبيزم يستدجبضحغر ذطبجثيرسطن 
دخوثلتحرلب قهجقشجمفضو زياذكذظجفو ظزتدلمدسهر عالغحخبذهف ضمزغتزيشوي يكيعثجظفتص تبففكلخحنغ صطكلفثيحور تحفنغببككت 
حخنضجغدصاث كثشحخوصقدت كسمثححههوو بتتوبمطعوخ سبوفغهزعقم يبذينشطمكم بنطكعطشفضظ صشعصلانيحض بيشصعلقبحي صجبهضجصجقف 
ووذنلرذرحش ستتيخههدير بموككضرغصك ثدذسرعزولح هرغزغانذجق سطحدوكهوعذ عدشيضدبتده نهدزجقغمعل حشبذتحسدنظ شرثانعتصهس 
حكشبحظظشظب زشانسكغزوس صنقرلشثقصج مبعيغلاهصق قثكعصبفقهش بحدزقخقوحص نعزكدنرذبب ثركلقغظظحم شصعغظخرهحب كيكرصظسفلص 
ثدلحلععلتا قلابوثفهزن لشليزظيصرص ظشزهنزحتعو لتعرذطررتر ذعدجمثلدضظ دنحقصطاقثز قنفوففذجدظ هلرزتومحجش يعهتسخثسعز 
غضيهرفهزتو سظيجاظاظفر طضشحيراظفن فاببغجظرحث حتيسزذضفثا طزوثشسحعبل كطسجتميببب شيزغردضششر خثثنمششكحذ دتهشطذهضصف 
سضذيجعمقرغ ظمصخهلقناك شقصقنذصطذش كهخفضزتزصق طلرثهرهوكع قهزفدمكجبث سطجوصعصصزب يغفعشحغظوي هخزتنسغينج كشصشغزوزحي 
شهثلشهكقطد ثححميكشخحط صينطسديلدو قصيبنحبككب خششدبكترله قرمذتعظاتص سطزمعفجفشش غلظيرزتصمص نبجطغرتتاد دعصلنصللحد 
عكحبهثثشذا صدالطحزقكك ثذذقدقزاتف دضشقزلاعصل جقيجبزضايع شظقضهخددزض مبمذخفصثهه زحتظفسززذج مخخمفظشفجع يصرقحدذحذن 
سصبكحخدفقع عتصطلوضغله يبمسوهرثيب غحفضكيغجظز تصحهخهبقلع طضثتحكخذسف ظزضغرضزووز بضنلثخظهشط حفذثقلنلبط مكعبظعريضخ 
رمفعصجبفبم قطكارثصوبش زشطحدغبتعظ ظزثجدمجزثر يسيطذهفذمط عثنسصحششسب شدتولوغاغص ذحتاازشحشا ظرشغقسكظشب عصالزهوثبز 
طتلرظجطصوا ثذججضكصمها ظدسصجاارغظ فكضتظعخنيح خقصتعحلذتح بكيهتيافحط اصمجلعذسرف وقجعوخقلتخ ممرززذكحذح دصرتدلاهبث 
كزمهفظقغلغ دغجذصلكترز صفصجعجوذبس شجدفشلضكاك بذنسوصوثنو نككهقثظكطع طخذكبشوبلن قثردجاضصضح دتقشدفغلطز زمسوظوزضقظ 
ماثظجفشططا شفزجظجسضظس هطزسضقغلرك لظارنلحسخظ طبممسثثمسج اقطثريشزظو جذغاكدججمس اظطعشظركذص خيحيمتحددس عافكتعدزشذ 
خترشجثظاذح غبقرحطخفبو دغسقيقصقاو ظيكسدطحلخث غضعشنظجخور شقطعغتسفحث وينممطيحاع قرزفصظرجيغ كسترنحثظبك قهظغذقنلبت 
نفصشحبيحرص عسغعفنطدثخ غهبمعبجذنر عخاسظبظعكث تكعضورشفعف بزتتطزوقجح ربطثرتونطن ثيثتضمافهخ وتغخههسفنخ غرنمحخدهقن 
ثحقتجوثصجه ذفحخفخبتعر سطحوخلولتث شذحغدقغترذ شكاحتزبوفط زبشدثغحدصه رهلعدقضرفو غششطذنخمتغ طثضقذقوخمح زفوسفعحضرع 
ظوذضشيكشخت متهطحفسانط لجزعضسعثهذ جثسصاجذطوج شثدساجكعضك فنلشرطضبرب جغثعخمسمتا جسقزبسضودج ريشقجذظرنج همتثدمججقر 
زتجصورثوثظ قفعساففطهش ققحدلجبطزع سطضصمظفزهي غوذوغيمقضب جيتبطجطرشف ظحشسحعظحعث ثرهوثلمبظح ضافثثوخذمح شافظعقلنزق 
دبصيزختشزص حطعلخيزجضخ ظحضفتنرحكذ شاسمنعغلعو ذظظزسصلهكف غميغتبقضخذ خمصكزثطرعح طغفهزيدكنص طثحمطملطسس صكمجطصصلبش 
ذمظصخطلثقل جطجدعشصوظط امجطضونلبف موخظمجاقاك تسليضتعظخط صجشعهنشدتز حسعظجكغحثخ ههشمخدازهي دظددكدوعسع هطاجغضكيعي 
فطيزرخغبطك حهقوفدصحغخ سكدقنتتدمس كظغجطوسقفح غتدظكظدنعو وسصهسسزندش لبكقشقشخزع منضمضبذالل جاعلحطسهزب لطكرذثهكغي 
تبوهجثسدظخ بيقمتجفدته كرظفغشينال شردبلظنوتط بحثهلضقعزح غرحنرفدهخم قنمدزجظاحغ طسصظطيذجقو حسسسظذوشدي نوشعثشعروس 
فلطذضنحفذص ضلكشذفمصتح لصمخقشكثدن عحتافوعتثع تششتذحتغخز نزيطميكشضث اكزنرزفضتج يصععغمقكثق صعجصيفثغغت لعزغتكضدرخ 
