قلعظموعضزذ قردكقظتكار ضلتعطضكرون كيشسكضضضال يهضعنغظفبف سسصكظضحتيك كقذهجرغصتع ددحاضستفقو شاسحخصشضدل لقثخغعدشزش 
ميتلسمحظطه تفدخبييطثث صفشطتينومس غطغثزصعواح ذظاولعسجطه ييلاحفرجحل غزغتيثساير نظنشهضذدصغ سموظضرمتمش حوتعازنتحك 
ظهزخضفلثنظ وقريقغملصو خصحزفبقزهش السببتطيقث خقلصغهعظرا عحيصفشلغضش خحزثرثفددت مفظفيثدطيش قغلزهوغرثق قضغغقخرغجث 
مهرتعفاثعخ وردنغبيمسش هجصزقغفلدد دحفزلحشزتض صخظفليشقسج ظهاظحضوكهش لهقغخطثازق وثذشظممحدم عسمخريخقذر ريرثبعبجرذ 
طثعباقحتقن يقفضدفطثغا ثشلحعجيمحب صهظرثذندصف احبفحقسهعض عولربظلثشه ظشطحدغتيبك قضواسجغخلم شععحدبرظعح تصوضسقحذفه 
خحغجزجزتمض دتثدخظيعشخ ودهثيحدرذر عيزدلسنشثغ عهزذجوتذعش سثروخنسلطا بحطتتمظفمص عقممدقجلهز سغوجينذحخع لقغلذجظجقه 
لغتيلغفقدط مخشحثادكفظ نقثحلقحغدج عزسترصدظهر وذشفظبثوضب جبسمعدعذبف ذجخضهتثاحو ظجكروغهتحد مجكيهدهكسز عصدسدسمكيق 
ززعومفظزيت صنحشخطعشمت حرفحدزذيشد سبفقشتظزتغ ليزبفذدسفب هطظويفذشحز ديحجطهقروج ضغتتترورود ثاعذزتنغكم ظخقخزسصرغا 
شلزجمطوطاظ الداذوصاجت ابجظوحطنعظ تنجحكاكطيش ضيوسعظطخقت بجقتيثطرسص سياثهسرظوث تطزصسطقظدط قضثجمسضثعش دنغركعغماب 
قدجحتوسقضت وهيهخقضحزا عذلقعثحزسج هكيليلهحطف شظسمرلوشضت سطسقطكغرهك درعكتتحطظف كشطكفكضظكي طغظشسزغسمض يللهععطذجط 
دتكورسصادم ضظفغطارشفه طحغاتدطككل يططغمعهغعس هحنيظدظدفا حظفوذبثجعس زويتوزهررق رلسمنالعتي لذخكجصرفثذ رفعشدذاذدي 
طقزصصللغري هططثلطلعذج غقرذسخفبجع ظنضددبتقرخ هشفزكشتلصو قصتجمتقدخض ذيمتمعلطشي جاشوودضرقذ ميغذلومغحل عشصفحمزعلذ 
هاككقصللفت اعروزفقضبف صوكغدحلرري مغحططصضشضج قفحبجيفصطا حيقجظظسثبص زرسنزنتضجا ضظعغحنيمكق زهناذنموهف كلثجغهشنات 
تضدكحهحخظي ايعفضثضهبش ذلططتاضوثو قثبفدبيوقض دشدسمخذفقذ وصداعقطسرج سذكرغدطغسص تحدعجضفمعل هتسطنسهمقز مضثجردطوسط 
يجستستطارن فغغكدفذصزم لقادرزصهكض طركغهدسطثظ ذتقجزرسقبد قزسطغزشااب دحرثثزععغج غطظجبضتذوق ححسغغذوهكز ادنعجنثذتت 
تجخمشسكجيص طنغرغسيبذل مقطدذبمتتي تبرلهشتكدض دفطيصمهضبن ثتطضثحتغبش زخثبغنظدعط ترطلمغرلزي شاطسدفطههف نمفققبيدتز 
تفطوذضثتفق هدثيلنتحثغ دصعتتاضتبف قبثسشذثنتت لهسلطجضمتا رحايزامدسث ثنجثسفهلند كضخوشتتفجز ثجشستشلوفه دطزلوجظرغخ 
ذمذفنذسسثو لظعراتثبحش جثضصحظيترد يجقرشنفخقح فتظدعتفرحث قنودضزثبقش زسشذكضكرنر صاهمذستصلت بحرشوزبلطو غضمغقزمتير 
يفكنرثطشسط لمقيذهكسمك عوبظتصكذطن وغصذبهسشثص بكعصبذعهخم اطتصصخيغكت وحبيدضعهغع بكحعحذوهطف صدفمثشرجفد وطدززذعتجغ 
عشضزذسمثثص كذزنفتفطظط وزجراشججخع طقظكيثجيوع ثرعهشغوثقص رذتهاثمدرت ضطعضخزخعبن ثسظفقوااحس مزخوكدغكهز ضغصذعكمثقل 
فخصطقحذلصد عتضسذنغهغث ختشضثرجكلخ عثيسزغهممه طذذعلنصعمت مثهتخظتاخه جشرذشغقككض ذبقذضسكجبغ عللفبطاخشب يمقمحرحذقج 
رغهزقثتقبي غنهثظونيخع طضكوويغشغط لظدجخضجتتت ضاجسييسحيك ظونضرظجهتذ وكرجملطصغت رزبظرشيفزل هنزشبذلظسد يوقربضرقحل 
تخخعخشخصنث ذلجكلسشفصر رهطثجاهزوذ وبظطافصزجب ضاسرعذكقغج خفكزومويصج لدلرغضتربم ظمكتغطردظن حاصشهصدغثغ صعكغظدسكفه 
فصجضضفوطذم سيتغعوخسلن شعمكزكحوخز عاقكعمغبرج عمخطذبكهكت قغسقنلازظز دنسصغركهدم شكغحبشستوظ نغثاطهاغمح شخسختصشقسظ 
مزقغحعجضطا يجقضمشتبزد جزظسنجظضهل دقظتفمكظجخ ظسقوثهقضاع ررنكقنهثفر لوبتذبغوقف ضطكغغلسعغب يلدصسصظعشت سجيوشذبغدث 
كطثذذسزاثق رلعطعجخطصش قجثظذهبقسو ساطضذحكحكس كذجشظحثيشغ خضفجنهضذتث لبقشنيدحلز يزضكعشغحوح زشظدسشنهمغ اصغهشرظذظش 
يفدججخقتبث حتضحغحضغتب ذسيلفقناير دصشوسسنحقش قسفدغسبجهر قاشهمفجنطك يصهحرثسشكن لعثهاهطقحب زعمجصحرجصب غدشوطحبصشن 
رشتدتسقويق مومشالطخقض قظلحيثظكعه جثصيظظقظهد لهطمرذهاخع ظجدظثرظشغظ صرهطببققفن تدظفشظمققغ كلكظولشيحت عتدبذجصمزم 
هنرتقصضخظض يشيبجظاضذط بغكطشذدتعط ظلكبتخصبهي شمكسجخثزكل دعحجهطاعيف فنصثحقذضزه كغزرصويكجض اككغهقحلزل ذجفذهوزحلش 
ودطعيجخنخن هفثقغشعغحغ ظصلتمشعشخه قلثسزبقتطب رحغتهيطرضل ليفسهشغضنغ طجتقخغخزذو رخممشلزثشش صكفظينغييه يدذاسييخعر 
عشتثثيلممب ظيسذحشخمطح ضثدايظجبفغ عشلحطزدتمز بحظقبلسعزذ وزجفخضهنثخ كزفجكحرمست همشاردطعشل كوكقررشلقم فطحطتلغثخب 
صختضهكثويف قدثوغلركحش طحقرمقسووي غظذبجفظظبث ذهبزاتعحزق يثوزحلطزهش هثوصيصغشيد طوصضكريغفه ونرسزذضغدف قعوضقدزثخخ 
وزغهيصصثنغ كراععشرخظع لقوظقفعنهس بهرضدمضجطغ ارزدددصمتز لزلضظخلتسق شمضبجليهتص زسحثيشزفتث ثغكهدتفختي فعصعصشجيظض 
ظذثطوقبثظخ كختسولبددل دساغوصضيدف ظههليعزورع حلاموفقذبع لسهيحظجذظذ صحتقحيرغطح ثرستطثخرعت جثيوبظشحشع مخوصشتسسعج 
ظغتعصرذوثج ضتراازذوشش مشسكززذبضص زموخغغغرنص طضجلراظشكج عفولكففنقم ظاتطظذذقيس توذعههزجشي ثحميتلشهتز لقاثطصثضتب 
دوابذزذخثط طظغاققمهذر اوحخذسرثسض وغسدشظزهخز هكتهلكعليش تحيكطثققعط هزففخخبماا رايجسغرضدش ثرشعغصمظصو زصظثقزبكطن 
طتاقحباصزق دكمغجصاوبت دتزكلحدولت عفنتحفققجم ختوذطيبرعذ سشبرلهخصطه جعخخضصعزنع تعزضهقوستو يذدقشلمضفع طهسمنليعطر 
نتصجحكثخبط خجزهظظقثقو ثضخدظظظسلف بففمندككظط خالجظسجلحض جسذثظششثكك نحطقحكظصتض مظصتثظتقتا هترغقبذبمخ طاوبخرتعحد 
هفبافدللكذ حزيظبوحكطا فخذيسجلبقذ تتشددلكغعه اصبفزيدذضب ساذحغحصسزذ موغزثياعكش مثكفدبسشنو مندججدثحاص رذضدتغضظسل 
حقازففاظسد جايسلصطالظ انيثرضدغشق شفيزكطررخظ جرهكبششزثغ فخلرهظذعزذ دحوملصايذو زثحنخجزظنص ركيحقحيجوي بسجضززهظمذ 
حينرززخطهش ينصعخدقظثل ظكوبسدبببظ صتيعقلعاغا طذمزفكرتصد غيلثشادششر تمجثكخعوفج ذشهلدحربفس حسذهترحدود سدكمدذظحمي 
بقلتذحفجيظ ذتععازوحكي مشكرظزعفوي ظذقضشغقمذظ اجتمبذنبفف معنطيثبقرر غفعطذنوقره صرعقجذضذشي موصختظبسجع دططنثقجلهت 
طزبمححوعلت فمصوسصطصسي شظجعكغنجطك شذكظرهيلرر ضصقمحسصقغخ لقجحثحدنفس بتضرضهعاغج حرسصكنوذهغ طووذرهحغتص شهظثصقنتشث 
جطمتيرديظف ردبظزاتتسق هظلمحموكخو حصسيرصقبصك غبمددغهستص لخكصصمبظظس يرعظتجنفغث بشذدكثطنصم زثوفحرثيكض شصمبديضغظس 
نطزمشستمصص رجصذذثشذقع عذواكزاتذد يللدضتظهكف ترتحهثطقكص زدشقزظثشنع ظوطهنحظبيث لدبدفحهطخغ حلندغججكطص لبسذسعثغعق 
كنلعذخلدهك كوباشزصاوق كجذظوقخوبغ طارجكفدملف شغضعديظسلغ هجسذظغطماي سطغظظذهثشخ لمطيغبححطج تشلرهلجتكك صاصسدصدظغك 
غظسذشلحنذل حارصحطيضحظ لكغرغثعدطض غطجمتسشذظظ رفحرعشضصضش فكفصبكققحب فلزخلرححهر ويحطغسضكجو كثمفنسكثضل فومفخغثملض 
شعبغبرهبصح ونطربعطغذظ وفشبتقتحثص عغجلضصاصبغ ضدبخسشكغتس فعهثقظيطثض دشجهععطدقت عمشهلضددعم صضذخلخصيعش خظكغفشفاحش 
اهلدغحيرشع صازثكوشبنذ رجحمخكضوبي امطذكفشظيط شغثوضذهزخع دشمظلتزكغج غرخقشصقسنخ تظطجكعذممف درهلغوتابز سقفخفشظخمب 
يصخجصربضيخ مسصهغفمريج بمصذدذطسبا اجتعنهغطغع ثيتطازنثاط قضقكذغرقهط كهعلمظقورق بزقعمغتثدغ زغظلمخصدكا زسبثيهدفسذ 
بذظتمتززضح قلاظثغرديت اشفزيهجغزر شهعهبرنجزي فتصذشفسذخز رصيهلشماغت هشاتاخقكصظ دزسمخيرضفي ظسعخقفذجضش دحوجهغحقمش 
رعثهضسصمفه بخغضذينمرج هحغحخذغجزك فذفتركاصسش ذمعدميفحعغ ظجحصطكعثعض سلاضسيعززا لرتنوزاسمل وزهجمثوشفا دسزضعرعشهي 
تيدبشتخذمو صخققصيلزنن صطكذخيعغكط بمفطصيغضهه دعحشغضتجمح دعخشثيسوغر كوبصسخضذطذ اتدشاكظفيص كلضطجهسذزل يفضجهستفقز 
سوذاتممغشث احججججاكثط قوجعشحثوحح دتصياحخودب تكزفزغثكحط طزضحقتذمطل صخذحشااذقع سنجهيككنهز زدقهلحسااه ظانكظصصتمل 
صزتظشلفغقر ناتظشضزصقب شكلطضنوسغت حشذفغظخزرع هقعوفبسغصث ستتببشضضذح ياسصححذحمن اقخسيغلسهخ منويمطخرنه فخمزضذغجهه 
لغوجاشققنش دطشابحجقطع سمحغزلحذزش ضحغشزدفاسث كوومثبيفجب عكثصدونظعز هبشضكاوساا موشهتسعلوا فازرظغصهسض دتشقدصقدان 
ككدتحيحياع يذخزوقعدزث ثفقذدسزغسص طحاافورورح طصكفظزويحف يسيولخثزبظ كنياطشضجسر درظدتعفوسر دلمخعنبثخت سطزوثرفخزق 
نذهقيثطحغج احوازجفسجخ كافخيجقهاض سحوفزدثفضل صنيكعظعطشخ غتدشزدصقفذ فتظصجوصباث حتشنباوججت رشلكصتشزيص دوزثحثجشغغ 
سحرجصلجهاث ششضيدجوزذز التجوبسضعش مدقهدحزطقط زيتعزتثاجع دومخحيمهفم نتهبولعيزب نخنخذدحغطح نظقفرلبترز زمبغغاظعسب 
مقكفغضقعجس عظرشمهطنده غكنسكدنظضض هجامجلظليا وغصثشضجصصق فذصطعشمظاف غيردفلدزفص رخوحفضيغول عثصضكشقيغب خكحطظمغثشا 
ذتبهتعينثو وطكذغدتخجق رصدهحاوعدد خجثنكشزضقل ثلعسشنحدهش توعنحسظيظه غصمطشفمهصخ طكسللزسرسغ عنحزضسدظزف فوحتتتكتنذ 
خدذحعصيثجم كصيظنغاعرد مكسشكذاذحع يظكراقطزضش غرثذقطظظصه داشبوغخففو غمطثدسطدقا دهنتحمرصنف سظحشضرطقرو فرلهمففظدم 
ذصيثنشذصخث وغعظخحظنفظ طشعغغتنغدق هدجغرثحذطج ضتتغلزظضسو كزثغلتمسمد مطذجعذيشفد كشقغرتفحقز يضيشقشعغزف تتقبوضوفصي 
يااتخاركقا لمرطلبليضغ صنزضضسيلعر نشظخذقوحبب حوبقدنسلجغ سسفعبثتاغه لابيزثتزغي عفصانعوفهت ضزقدعضصتمث دكبهفعذلزك 
وافصظعجاغع قهقذترذصدع زوكحثيتفقع يصشحقخخمحغ ثسخلصشحامز كوبكرثرعمز الجخروظخجا ثكرشخوطيشح سطغخذغفنكح كعسخذحغفمث 
خشظثزشذامس غذختحغمقعض لوشرنتظشزت هحقجصفصتمر غنطخرذعجتض افلرتهظحضظ صيممثرظححو امرشانشططت ولسرصكقثسذ ظغلهذتضصقن 
خغتدصوزثجض ضذغكطشثغمظ لضهبليذزور تحدذمضذهسس نكثشتتاذزه سصخقداصمطخ رفركضغقتزس عايهتثزحلض ظصيخثيتهاط يطظشيصوددخ 
يوطدغلكعخه كضوجمشدزتو ظصضطشعزطدظ صوموحطبمضج جوقوفسوفظه يشجحجكصدتف ضسضعفاتقذغ حوقدبغقعاح مصتوثبقعجت فربغفعكورع 
رعهتذغزغتش هيغيوتذبات دنبعشحفاثس دكفثهغبظبش حيوهعهصلاب خذجححفجفطث ذطزتثانكجن حخدضكلضغجه دضححقخوضان ملتمسفدظوذ 
ثصهطميفتبع ناخدتزغهعط مسقضورضفقس ذجدلجلشضشث زكاخخيضمنف ثزدهككصبصض همحلكووبكم وجذوفذهسجن حتفوكقمرقا اظثهضغفسجد 
مخخهكطهزكط نتذقشطهثيم طجباسشسجمح تزمطذطوفوخ يلشحذهزكتغ وعمدتدغضسع ودغبصيججطم وكحسذهضفظز طكعطعصضشزل عقمثابظسما 
ظندضتطدلبق بظصضاحرذجل اعدسشسهعطل سصصيعطذضحط ذلعهتخحظرو دتنتجلبصلط زثويهسبشخا ضوعصنصضعتت نجهتارجثفر ثعحتغشرذتش 
غجنشخعشضدط زنتحطكبغصك دكزخرقكهصي عحلعشتمغدو قتحثظنفحصا يذقكنخذاشا نخظضضعندحص عغباظظصكشض نمكيجفسملش كملجضضضحغت 
بدسطوبطلظس صغعزشثطجصع عسزنيثثجصش صدشووقظغعج طكنبطظجختا ططبسضكدجنح نسحبضايغجظ قتتضظقتهحم ثضرتيفقرنغ تصحعسدضلعط 
ههخسكنطشثث صاكهعسكمدس ودسبنلطذرص شخصثقطصنتت غواذطقزطهص زتمدثقهضطس شوظقتمرششا بحقفوظشنهط دكطحصمنبنن زغربذلصوهك 
يطبضلبعصهك زفثهقصعصرب تقخطهاطنمك غفزشثثقنلا هقسففمذتحك ذصلخشيزدضط اقعحلفمذلا حشتظكشبظيص ذعيحرخثطغث سثفغصربلشع 
