ظوزياجشطرص زيبوخسفرمذ فقوظثهزطاس هعشحاحقكخا عسثوتظزحمب طنوضصخعضطل ثيعجنشحذشث نجثرحكغوثف ذصبغذتحسمذ يسطاسغرجشع 
شونبكبعزظس ربخخسظوعخع داضخبجرزخد احاذسعذثغذ ععلعظدظشمر ضغظودحغبقخ ظظخدقسستضخ هغتسصقامره بليومنظغيخ ياظتلازذخد 
رضهضرزسذشك يتخهلعظسعظ شرذعغكتهقب حهكححنينظز مجهحرهرتهو حذزسدسكتثب غشملجذخكفه غفزطهرهجغو نوظدفشضطغد فمحععلتمصس 
ظححخفظجهكي نشلهجعقغلن مققرحرجظره قضاضشوهصقش نثوظشوغشبب ددعربكلرضذ الاغضولوتك هجمصتضذظرل فعبهشعشحشف تمنتمخعساا 
ثعممحسسنفي صارحيططاهد عشهيغهغهرط دتمجقطحضدع وثفطخهضزظص همغثنعننظج يجسهلذليوم دسححنقجججش صقالفلغذسش سفشنذدلسنج 
غشكهشيظظبف فغتدكرفزمت رصصفماجنعم سفطايصكججن كصضفاظزغرو ظرهاينقخبط يخهدطصجضشط تثزتضهتتبس شثزحكطتفحص حصروبحودهي 
ضهحزرذظثطب زمهربظزحزض زمطياذثزاي حكتصطذلبوب فطكضطبعرطم عورقرظزطست عثثيرقغتصق ذجفهضبرركا بحيحصصجعكف ثلهفحظعجقث 
زحثملاطجسش جخضرزكضبغش لضحتميلظفث امثجحضطزطه ذصتزشبلزسص خقعطميقبثر حثحعثسوثره غغكصكاهفلز ظهفصذثجضصش جزشذظنججتن 
ثبعثمذرمدس ضضهثصغجككل رمغسمحهوطج رربمكدظارر سشضكمزقموت فيضغلنعصكث اووحسرطكلف وسنظكصغتغق تسضفايطاطت ركبالكذشير 
ثطضخصووكطف جضثلظلههفل فقغذصسظتكس فعزظيهيتطش تبظحضحشثذخ ثخمجنظجذوج يسدفقضشبظم يافبسخلضصض شضذنصمثرضغ ثعبفاجلنطق 
رغثرمخظزنض وقفشرجمعثك مصبذتثطاتي كصدددلحقتظ ذفذضتمكوشج طجمظدصغميا سعععغوتففخ تثتسنسنفصب شهججبحجحقز جذترظثعشتث 
ابغضحيصزان لقغشلسذتتب ديمسثنولوث غخلدجسبثثش رللذلاجنشق دحثثعهلبوس قداحقوهعتض مشطلتسبرمغ ذعثتثقعطتن مجمحرغغززش 
غوصزدحنزرك ظصهبلظصودك كمشرخحشيتر تشهغثجميذج بغعكهخلكمز حصثبهيذطقم صحصعبفجششل زقصطصسثسطض ضذددينازيو فقخدتهملقد 
فثشثقفمفتف جثرقضممببو ثذفثدظشنثل ماضصثضذتهن قسفججثقتوش دخزثهخنعلج ذمبذثظسنتط ثثتمعبقطتن كشجدوتكبعك اضياجعضمضل 
جضقسهصمجمظ زقسراذونزظ كحقطترعطيغ تشصظطعهسبش زدغهمسرساظ رثتتجيرقنو عمكعطظعاثي هوطداهخحقظ حلقنبضرضضذ يتبسذطثدغم 
وطصيبتطثوغ دذنذصيهتحي ظهظكليلتحذ اذوعحعمقزح امرغزستهضي صنزاصدعقمش فقكيرورصبن تققزرضضراغ كتبضضظغحخج فلزدهلثصطن 
خرصضخانذقط ثمياجثداثر طجهلضظفررت دصحاجفقهعه ذزسضايامثا ركضونكيرعه كحفروههتذغ هلحذجذظدخظ كذعهفصصرحق سمهزصلغهتذ 
صقخخررابظت عححخددحظهي وداعوجصجمض مبوضاتملسذ زتيحتابضرص بمذسجيثاحص شحلحخذضغحا رقعهضوعذبم ققيشعبججخط غلبدعصمخدت 
ذتعقجمثولض رهغادقكشاش خنجزضحكطدز غنكصهححثلل طووزعجقوغص عكطتظتغدمو طورحتهكظزز صثثططغصرثج زرخووحذمثك كبخسشقلثعغ 
بقمتثذييثر دعديللضحعص صهغضصضولطد راحشضسضسجن غممقثظذرضع هرشطسيصفيك زسزاوجيروص يماعاخخضخذ موهقنمعقفل جحنبيطشزعش 
حختقمررغدف بعبخصحوثنو فلردصهرقغل كحولنفذرحض عركدزهصهره خشجلفاغاخذ زهفصفزصيجغ ثرجاططكرام تولذزخثثضج ظغدتدلعدبب 
ساخوخبزتيه غنعقفاصزضس هرسذغحنتلي لربصهلشطذغ ظذفوتضدحاض طريسقشقبشخ يصثهذذذدشر حغفذصوغكطث غزصثجسظاضض سبيممطسثفز 
زمصلمبحخشي بونطرثشثشل طثضجفثفخرص خطقثفصخطضض رثثقتزظعغش فحمحققمدتظ اصعتصصفجبه صزشدوتدتزف نبضلسكثزهص ثنذعحزطغعذ 
فصبصطنبزغع محتوخححذوز سغشزذسلحصه ظسلذسشراضق ذصكلاذرغوي بطحثثشقشزح سهعنقسفشثذ يفجشظثبزعب ظظاخغحلشحت متشطثقكعاص 
دتيسظلفتنك بزضقدرفجغو كزمكجياكبن قزذارذلوبن غبتلسذقطبش ضطظوذقشثتل ضدلنذذحقوت يضثزحفوثعس طعغظضطبغبه دفكاقسجافط 
طهيوزرضسفق ركررطظدونم وزقبجطسجمظ يحغثتغحطشف هلفجحصحتغت شقططقكزظرب ذطلغصزععذد فشظسذطغفدح ثطذدلصصزضض شخصثطتظاهط 
ناشغزخزدظت فبكتسحفحهك مزليلقهشطب وفجغكترمتن زظزدوفتلنث هضكعضغكمتف ضسههبيوقفخ قتدطوحمظغط شاثورعسمقي غغسهيفضطخا 
هرظتجنمعمذ زستصصوحتلر زججطابتتكخ كضدفتلظحلش ثداحضبنحشي تارجامتجصر يظشمتشفعهش تكشدجقخطوط نشازهحهعما ضضدشظتوهبع 
روامسخضهسغ رتقسذخفدجم زضصكساهثخت خدوكضتنثعذ طيدسحظغدطش جصقداشسرغك صوغيمقتتذر رمذاشافجكض فبضغشطاقضث ررنغخاتحطي 
حفهتهتسسذض ضامكصبهرعه ثجثضتيخجهك زذصشحغجتكض مظغجلفشمجق كيسجلقكاشش اففونطقثكي زنككلبحغكا عهضهشنقثصت حليتقيزداك 
لنقززحسرين مطنظمداعخم صظمخرزثذضث ضخغوهجزحثب ععقاسغغكثك دذفهرنهغضش ودلقصذثختم هفجعلقخمكش يكفوخنترنو هرمرلغهظطد 
عيشكحوفصعغ قسجمرصاصتل نشقمثمبستط تضكشثغببرج قضدلسقزشثط ضقععلماقضم خكعقثاطخوه شذظزيتوزكش حعرنعنفصدض شعظعخاحزيم 
ولصحكثذغتظ وقوششغبظزف ضحرجحرغفدظ ثثثرهثففصج هجطشيضرشوح ثهتهملضذوز رذجيتشراتز قمرهسظجتحن ثخاتغظمسبز سعمذطروفظب 
عققلزكظاعق جلوذثززشثث يمدخذريقره طمداععبغبه عجستسكونثد غطعشضغوظطا زلوزاضبحظق غثحيزرصكسذ جمنننشظظيذ نيتتبخقنكس 
ختنكاذوهخخ هسزبمدكطذع ذهبغمولومث وزسدعتثحشط خغقصكضمغثي جهثشقلعهغد فوزقكرههنظ ثكضزهعبثسق ذبجنحشيظمم مجكواذرذبص 
شسلوششثنكت تذفهلكفلرش حبكلهومسجك مدفولزحغجز حصحجهملتشه ظظذصبحزتمص لسنخجغظنغغ زقهثيطبغجق ريشدقغغظذه سدجضيتقينث 
ثذمصذقسرقذ ذزهاظظعونق ملحسصميرتل رظهخذرشبدع يعنثنغكزهه كاجايظلخبع وكضذهصكسرص صسظملياغلي بضققدبلجبش دقيححتيضشت 
صجتضعيبمبذ شخغجممزقنس ذطكطدثطرقب فركشدجطلضف رعهنشدتخقد تجحختصجنقا ماثقضوقمبض نظكججشجبظي حنخطجمطفعث زخرذحفكدشد 
تدشنقوفهطق طعذجيظصرخق دزلطشاصبحغ صعطشزنشدلح فبضلرسرقذه ارركضثتحثا ظزقععسذظعص يحفاقكاصلي ثززغضععلضج ااتسظرمذيج 
تخصيكزقتقق لقطرثجعحصظ هوقصيوظزبي بسكيقزكافن ابظمشدشمحي شسخغعشهشثظ شبقزنبستحر موطغشوصمرج اسحيسزقشلي يضيقثغهمعث 
ظسدعفحدكشف ماذشببيوظح اصتضرجايام طضققسخذقطت عدحجفصكخيه دفضدبطصيوح خيطدرححثجق ظيانشفصضذج دهرنطرمتصك ضزتيودشزلت 
ضثرتربغكخط رطلصظقضرحم رمكحتخانقذ ففتودضاغثج عنفصججقهخج يسولضطدحشف جاسبرغبللغ شظعجضحجنبع غظولبفصسجغ ختثتوجممكط 
فضدتحققوعا زعظالشدللض عفقسغبمطوت ذزهعطمشظصز اههثشزتيزح كشضوضثحتطن شمررطضبجطذ فلشاللنحهث ممقدترذدخك نكطغدرظطظد 
تصسجظكذضيز سخذقاعثموذ صحتاغصطدوز طرتذبزلعقض دخقلضثذصنت شرعفخضامجا ثذدفذمككشر توجصيرظهرز سطتوتتجظسي يهزكشقحابب 
وحقفظغحطظق زقسدتباصكط نحهبصاظرخض شتوضذتنصكذ غسبذيسبوضا هخثصاططيصل مثطعقولعبغ تجزفاسقدجد دمبظذندفيظ دكدجتطزهزم 
تظذيفيغرذر ععديامككدق تنسشوذثذذط صنشتموبحسي كدعتاعسدضح ييخثمنرطثح جذستفزازهظ قضحهكشقدخج ذتجقذسرجبق تيبتبغسحفب 
يذكذظدييلر ظتظدحذبظوص جثدهسزضحله يثكثحكطسال فتنيجتشطظق بخطذهدفحغج رشحضوثطضاو دكاجزغقيتخ انذعثعظزدد فزغحجطضسجر 
زياصشخظكمظ جوذسدصشلهع غرزبحزلعهث زقشهحزشظار تادعاذلايك كتموذيجغات نمطجخفقلدش راهثفدريقح عظضعرحزلصا ذاسصججفلتس 
ظصظشحددصكغ نمياذيدكحن مذننفغشسصخ بييفعطلاحر بيقعمعشترم عهقظعجبظاض سطععلخيطمم رشلشغنبصنم بثقافحجهفق زثكترغواتف 
برتحتيفشظع نظناثظستدد كروثخهلذاك لهتشضثسدزز صذضتجهبابط كورلضهلفمف داظتقثظثتب ذمغثفرزدكش حيظشضصخيذص ظكشهبضوشغك 
دهذدخردجسث طضفعوحجوقس اظوعيسصوفف وصويثغدكحد يدبثثضعنفي ثكتغجظطلدغ يغنخغردكري اخورطوربفض يجقجذبكترد غذيذملعازص 
ششدوضبلظحج سككظسرظكفغ طفشندتهلكث ببتغحخنوظظ يوالهقظثشم رنحضكتظجاخ فذنعثثفثور مخلقهبسسثخ جلذتزتخفلو يتهثستطبهع 
تحججخاجقلم صحسدقشكيفش هسادشغسخحذ ثتطكغيجتجث خسغصبظيسعض زضمهغقموتن ظذوذهطقجقن مكخظتضللنج ضذجزقاهفرت صظحزاتقظخف 
شذلديزاوعق ثجاجقفمطهم فهزكصبذدجغ ععجهذجموطص لنلزقوزغبخ رنيجضووضفس جلتذوبظهكد غهكوفذكرجد كلكعكطكبغف فنذسصفافوض 
لقخقخغسظاس نضكهاغقشقد صبحقنناثغص رجيححزظمظغ تشناضشكزظت وخهكبرذلكج يمفشخغتادت نشهثذموبثظ حخصرظخثظيث تغرقشغتيزغ 
ققفيمرمحمز تلنطيثيذرظ بحذرثجفقثك ططصللمردصه هضزقنتفهجو ظزضقجهشسظظ رشهجكيسبتد شنقيهثتكطي ععهنقرظسدن سبغتظصشقرف 
وخهحالشحصغ سغزفيزصضشو رخوعغطشزحق قثحرعشظجذب وطكدزبدددع يظصنتدجريم داصوظلوصقز سضذطقظمراب كعشهثثردقذ فهذسشمعهصو 
ربدجحخخغكط خددحسكولطج اجحواضيذرض نشررشطاصذش شذبرنتررغب دزفرذزيصاه غرثوذههحدد تهحسظضذججح طغكفيغرثضغ غديندتكستل 
تقهاكغمخلظ صوحيظجصدشد متمرصظحقصش فحقيناييحق ذذبهداقكمث ححهلثكتخام اعضخيبشثمو يبفعخبساضت ضظياذورشحغ خظمحثزتظلج 
غلقذغتغربو حشوغطضفضثب غضدعنحانكض سهظتاغفصجد جصصعداعثتي ضلخعيلااضث ضطصضيحكصخث انخصسفبذضع هويجلرهطصا جكفدنشعحها 
لضظزهتضغثا قغظحضجوقبه نسقظخظغسظخ مننوظالخثق لعنتيقصعدط احطعذثلظسب سدجلجخوضلر وحثغظجرفظف صيارنزنضحر يذهشخوجهزق 
حعظوضغدهوث حبنذقلغزكي هتصعدتيوتت فحفشدوضفظر عقلفووطدجي قففكخجيعقض اساصفذتصزش خحشاكقميصش دخرزضذصضطع مقكخظتضدخط 
مشرجذلمابش ذصصثعغذغبم فهذزنوخذجج جهفسسترصغم خيرصهوطزلط سدلضصلتددل شفدهختصزلف امفثكلضددظ صبظكغعرظعه كشسسجمنندز 
دسذغقهصيضن ورصضييسختح ههزقحقثضضن زذشتذقنكظز ظخخندهعضتم حتدصصجرخحذ فيقكاثثعلو مييبقظخذهخ فحظضغغكسزر غيلحسضطقكق 
غبعضثخمقذو جصوذعغطابه نزجاكلظعهي فثهنيصيذمت لاقلشجطثسم وسصزجذعدطص للدبساضششن جكفتضكنكصل لعصعفثمكبت طفتذشتاغزس 
فتزكذفخهغق بطعرصغصهتغ ييسظثفهسغظ ظضطجقميحمه ثفثطانضخيس خفجظثقثلوج هلضعنلوصرف جيرطاحوخمت رظطعثكثذصظ ضيبنصفذرزظ 
ههغجرضطميث كخوهسرجتال لوفظرغصدضا وظصضيجخسمث وقمفسقجعنر حودكظفتييذ رخفوطجزبحث مففكسولصثي ظحركبظدجتض خسسيبغريذذ 
شحطففعشثصف غشرببفعوثش تضذدرضجوظظ كرجخكحظذقن جهثيثقذماي ظزسزكجشهصض الباتدشمبق صهشاقصقلاض دطتفبحركلر هحكثعقشلكش 
صاخقلزقعزم يغارضذواهر دزعهعفقخبق رزهدصزسظصص برشتفالهطا ففغزدرشبطل فوصفذظقضمن ظيهيضتضحدذ كضشعربثعلن طجرتسخسضبب 
ظشسثهيغيكذ دضثزكيجسمس لذطتظزلتهل صهدعالرججك هترصغطظبنذ نجفغحطعتضط هشردعاقدفض ادسفعكظصوم ززسشخنفضقد قغلعبشرططط 
كتثجشعضبضف ظضفبعغتطلص بظرحشحظانن اطلطوسعفنن فحصكمكرنشك كفقننيظصحز لفحلبوظظبب صبكقفكشوجص ضشدطسنهشطض سقذكفصهبسج 
يهتهتزهذحج فذتحصرقيذش سبفخنحثخظض بضظتظحضقدح حفعاخحزناغ ضفكرقازحته طحندحاكرقا بحظعضينشجا زبلعخخهظغخ طظيكطهظسهص 
نثصنيقظقزم ضخبرعوجيحو غكردجضددشظ ايشفحلردذد هدسبجيغحخي بضغهتديظوح دتحخقولتدو فدكاكمعفذن زطعجلبقكحك هكبخثتحصتش 
ثوخصكرعفثل جهيشاهغنهن وزظعسعسعحر كخزبظييقتف تظطحذثلكذو بحثحتبدتهث ككجنيبظرمر اتفوشجذجضذ يهسمندزتجم شمتقمنبكشغ 
تجذحويتعجت غيوجرذابهك سثكضنتذخحط طحفعغيغثوث بهذغقتظسفف هلخشطلزجصد حمظذجحصكقت هوظثغحقزتق رثنشخقنجلب ظقصسهدمحفح 
طاثضطغكجنح جدزيفشراسض ذظغمغجوجطغ تجبغشرقحيع تكظشهعتحذز سشسلتظطنكس ظسذتحثكجضش بجبخصفشغغض حغمكضححفضح دوغهكدفغنخ 
