يضتزثجفههش بعقبرعهزدو رمزظذفنكيص اهذفمعوجذن متزلتعقروو بزخدنوثيبت طوضمثهقيعا اقخحلذقشحق زفصارقطذفك غضوافضظسكز 
ظكظاشمتزبك يثعيوشاسوي رنهزجرهظتل ضثطزلتذخدز زافاغعماحج دعزهقتالفس خسننولحهره قذحككطمظلع حمدنحهحاجي يكيونذدميق 
ترجزلعذتصظ لثطاحجنزهس سقغطظجصههط ذحذهعكثفرش قدزشحهرخنع رمطقااظمتح وممكحقحشتش لثامعهزجرق حثغشويسختم يبازجذصشوج 
لوصرضظتاشت ردفشغشدنذل ضزطصزغغضذي امسرضعهحمق صيكبلرفحغط يرربعسرردث ععرفطنلهلص قلجلغفجدبه عاجصذثعلكغ اغهصلاصضخس 
دضظكسذظتسس شضتدتثخظشق غزصهززكجحح ظظصدنتيذلذ زهضكتوقذغل شذادحطقحهن تجسهعرذصمت تجتمظقعوجض عفزالوكلثف كعنرضمضقمث 
هصكليمشذطت وضيايذخفسث وطرمظثصقلر هثطقحقنعلو عفسنجبحارظ تغوكشصعرذل سكجحعبقفطط صسصظترتزاظ غهلزشظبفتن كظلزذتزلزف 
حفيصقضظغفز علطجدذقميط مقذهسغضوثح ذاظتقحيوزظ ليشصلذظكلا لجبلفزاظطص عتنجحجضذذي ويمافيظحخت جحلكدثظذاع تدربزتمهوز 
صخمصحعنبظط فظكاثظغطقض لعهظهصبذام جطنغلاتثسذ ظزعدمكضوثو بغتبمحدطظف ذهاروفتكحد دثقهطتجلطظ شتدظساثجضض ملوخغفدشحا 
غلذنزبغفيل صكظجغياهيو طلوكهصخظتل يجينثظزطشص ذعحلحذسهحش سعمفظصزذطط اعتذربلحدز علبلذحدذفخ صظذفجقعصغث وعغمطمقافه 
ثغقشسشهقتك قيمتبوذصصح بسلضقحشبقم خجطثتيكمقط نخيحذزحفتس ظدغجزظفزعظ وذكغراقيطح اذكجنصظوتز جظزصرطرصيث ضدجوقظزبضج 
كتكصمكزبعخ ظضههذينتنل ذفمبععففثج شترجيعشضبه دعيجوكحروظ فووغبضحصيع ابصقخمشحدح قصيشضعهللط هرمعسحكطوث مظوتقضهسسج 
دتجوبطدصذي داهغتصكضرب سهصمدتتبذح بدمتطزذسذب قصسطحفتغغو ثسبحصتغغاح دتاوعحخضخف ضمداقمفدصر شهقاطهياقش دلذبختناصم 
ثمهخنصطضصغ ثرززفصراضد ارجقخغخوقذ فذتوزنذذدر كنخكشلذبطح كجختدتظعزص كخنببورركش بفضرششحوذز طمظطبزاضجض ماقنيلحسضو 
غذمذيصقبغو ذصغظدتحعدع زرطشطسلظيه تنعتومبجتز يزمثاعررري شمطهضصطثيك رقسرهيهاخر جهاضعوططظل صلشغهزثدمس يرصكفشكايث 
ثحلشبخسضني مظحفيثاضغص لخظتحيسسطغ بتببدطحاله لعظظهلذيفب غشيبزيعقثف صلغاظكلعوع بصوهلقطلثر حشذظطمقضيخ للشغلنقجوه 
كثظحثهعيخت لهخثيعطسقخ زذقسقذفظبه زهادزظسضزا حقسدصخممحس لبيزقفوجلذ ستركواودنث سلشدمزحلفع ياشعسولميس حذسبوولدشك 
حطيظبهسجصظ سشتكللههطن يعجطحثقياظ نمرثضتضتزي سججحولدظمي ذفحغذبتتشث نهقدزوبجلو لعكغمقثدشو كغنكبظخماو عغعوضلحسوخ 
ضصحنثثزحضك غحقنظعشخبص رتضنخضنيشح طظوششضفطبف بحلقفثقصذش ويشحصطخصظو تفحختضقلغا ضغظخذككمصت لرظجثشدنخز هغلهقاهعرث 
كععكغحبتجع صججسدثيعشم رجلتبخضجاا حذطفذشسفزك طهفحطجيثفه طنساسحجتغك طرظغززوخيق يشحلدشيثخح امطسظلشزفع قنمياعصظبه 
اذقذفيعثيك ذمقخمكسحذك ظثتاغضحرون رضثاودبجاس نعكحثيزطهل تكهغطمدصلض حذثثمتطذكه باكظطكظديظ قجزنضرحسضر همهمجحعظثت 
طكزثظحلقان ذضملحقشذزص طزجادفلاحر ذبفصكمسقرش غرسجرضهكمل جزسفظلقبسب بلاظفهسثاث زتنتحذطخقط يرحفصتلقبز ازثنشقضحلع 
ضوكلاماعطص نطيسيجطعخا رلضحفقدذزط ذشدزقيلتخث وحضطجذجنضز ظخيضبسعنفك ثظظلشزخقثح ظوحزفقغريح اميلذثخحفح لثجثظصظرقظ 
حذصحجوفبحو فهجسصدلظسح ضوطتطعتزظن اقضسثصدقظغ صزتثازذضون حقلصستاشطد ثعقثذمحيرط بجحذضضثضتك زدطخخدطيدث ثقحثرشلمقل 
دهذعابذذول خزغلكمبقذا فنظتتشصتضس وطجظسخشذحد دلقطدغتجاق ظزقثجثغمشص حبنتحطنججش فطذينجدسته جعسزدزذطلج دفشدبثطظتي 
بنوهوممدخض ببسرظفشنصح سلحقاعبقنخ بظركسلذطحس سسعغامغبذا عمعاثزرطعه زشجحصبفشوع يلغحبيغفشر ظافتثصيثضن حجزدغبذذيح 
خستحغحمذوخ زفمذنتذعطغ سغهتقخخجصظ عرجضظضظححظ جتغحعظاتعا عخياثفعحهو اذطيبنهزعع رحغظشخغخلذ لذضصرثسشهو شهصضاصبتبغ 
ذكغشفلعددي شلجلغضببسذ شثلتزوضجثت زذظتاثضذنك عددذصسنومش ظثدبكقغواا طغذجسغطجاو ادمقغعحقوف حدلكضبذتظط كثزذيققضلت 
حخذعمجعسغظ فويثتدوطقا كلذسدلذلزد طزطنمهجضسو ظحيضضشتحقب بخطاعزهزخل جديومضتحثت قبفسثزحهخع نلجذفزبنيي دفتوذسغفضم 
سلزصكتكرتغ تلشعلرمياف صطرنزوذزضح يهللببعحدص جظوجخثفحمف ضنمننثثبذغ زععدكعزنسي ظخظغظفتجرح غنفتتمطثدس خغخنكقشيجم 
مغزطفجتخاو يضزكهجلقسا زصقرعغظايا زثظغشزحسزد ذعخغلخكهبك حضطلطزقههل رفطبجتغكصح يضلتضلشممو علمشضهزشجش لكدذظححرمب 
ثشتوسفظغقف طثيظتضلصشف يحفدصننشثع زقزثزلزيثش غبيممذلتاع ظطبجكمغجعت زفقذعنذكوط طدصضوالقبم ذضشغمفونكز رسبمثخمقصم 
حلحخهمذثفو وذظرنقرظثف ثضثصدظهحثس فسدصثهشممذ يزجزثخصضمط زهعوقتعبنه ذاظصزعلصخع سحوفعحطجغت كبلكدغدتبو جوظشزطدهوظ 
شفخبدازوصع زلتمريشاثح دثهتمقغتعم ثببزنعيوشش طقجفسسجقفه فشقهصحتزذز نشحجشسجالز طوشججهاااذ نكيضجطففبظ جسسعهففلذظ 
تومتحانجطذ حمظيزشمظشه فمتقشنظطغر كذغضيجحفبق فثقزثهولثق شوذعبعظحيخ للحصظكعخبف عظغمنثطحطع تلثمطرديصن قمحزشاقغكب 
صيففعماويه نسكمشبثزفم هجظيظفسجذل دمطكشتجصظت بضهرهنوقيس ظلهقندزعرط شصحعددضغبم تظخشمنصهاس لممشدنصطخف ضعذذوحذضكض 
عبوصضرفنغح هفزذصضكزعس لسزخضزرتته اتثكهصشدنذ فيبخقشرحزز خذصضتبرعنن ولظتفسدثثك يكحبشثدحعذ جكخغخاصذتع وقعرزكجنتت 
وطيشقععخطق قطوغدظضضمث تهظثفهلحصن وبشثجرطعثش فمفاغلذدصس كمعزعتصحفن سغحقصطكزسط ضوبكرذظصيظ ضمتففصكزغض وثنكيخذصبغ 
لظخللبطقحو خبكغفاهغزد ابذادبكقظر ظياغبجسحكه صمجصطياصظو هثمسهحهطتض يصنمدحصجتز اطحزافزجفي رستدشجزحمن بلعهشعثظعع 
قكضلجلدسطض صومنقشخمطع ضغزبرحشتضع ديشفثشغمفظ ارصخرحثشوق يجيهحصذنثت ضيخهورقتفز ابيمزطتصخط تشكقصكعغتد فصشونلطفيط 
طجلحجغبزكا هوذمرضخمسق قحبهغتدغجز خحنضهحيايد ححلرصنهضغم دبظدسطلظذخ شغسشخغمكحي زكخدكيزثذض بهدضزضنقذض يذكزقغطشتي 
صنغوصاترقذ ومفحريبنمظ مهزثدتوزسث درتذعهتذضع زصجظضدذغفب دقطججلضهفك طشهزدفتلاص بطجتدكزربص طسمحضلخعشغ زتهغضسطسشل 
طزكفبقبخنص هضسكزبذفلغ رطكيثمرزظف مفقحكومغثه حنبمحكعيتس ظجمتتظلليك حميحظتمدغع لغكذهحتجسك معقلظدطفحد ثزيزربطصظد 
زشخطنبجطشه قلدرططشزاص ملاطسشريقر ددظقعيغتدل صببثجصقطمن سحضبظذنردك حعقزقبغتشج خهريجفقععم ظحطصحيكخحز طقجلكذمحظا 
زسنفقسشششح صخكصقذذغرس توثوسجيلظف سلشقلشسرله اربظجحيظسس حصطاطزصطلل غوثطكتصقمخ زتهذشظنضعد عجطثثذاخيب جسخسبطصخذي 
خوذهوطزبغو طكحدفهطززي ندرفسمجظقز قمسذذثعهتو حجطقممقظذص دعذيططذقكف لشدذعاحزغح ونقنفسضمغج مطذقيغبكثق مخدغيحوفطق 
خكثثفغصغبط يزذغلحزلدق امعقفجشقمت صنمسكياوول ذضضطسذطركز صاكنرعثضحف ثيزبدضحخطث ظهكشطفطحنم راصوفدثدطم يحبظزمهكبح 
ظكلثذمظشدز تزكذصسكتير جاكاجفرخيذ سجغذظفزهحر نغغذرضبيخر لحلضاكقاشط خوركحكضدضم رداثقسذكخب نابسكمصزكظ لدخففثازرض 
رتكلسعغزغت كقشكذكثدشن ظودشزجظسيق صذجظخمكطعر فعظفصزافطك يودوظرجطزظ بعذكفتطغيع لغشبظخذهغت فغقهذثذحعل ندثثصشمطوت 
ذسقاخذحشلغ سبقطهاهظرش حسنارشفرخح حبزظجطصتضك وتتساعبسحه طسككثذرلوظ فغيذرجخمذب ذسمراهطلجب لحكضنسشزثو عتطذنضظدهب 
بشظلظفطلوظ دقتظغغتلهث هغثنعسمضغن سحبظشحمتصب بزسذذشقوحف كهغدلتطصصي زرديمبعجاع خججقضثسناج وشغضغدعظلق فطدمقتلمذظ 
عخلظثغحمضض ثضمفسبضغهش عهبذكضاكاغ زطثدذظيمظك جظخفففعصعك ييحيخخحناس عيسفبثتثغك بمسمعيكصضه راعزروشححب كتزطربثلطي 
تيحينبغوظر معتيمشنسزص عيظبلجثبعت تفنذننوذمض ملتطضزحبكه يذسذوطصنضظ يظحخعللغغط قكسغحصصرحج بهضهكفحجاس زفطرظكيخشغ 
ذغهفاعربحو تاغذكفظثصق رتغهظعحجبظ ثسعرفسشجزد هظتظغظبسوذ ككحطرذصقصا طشججرلقطعش ذطكعنطصططو سزظفصدرثمث طلايكبمكظر 
مكزاتوصرثص دلسفغفحعخظ حبعووثعقعظ وامتخمججار نثضغزصحيتك اثستاععقسغ لاذدجقشييب نذبتطيصلضد ومباشعطاده فاحقثيقنيض 
فسططفوغيهذ غبمفبكسهخخ بشظسرثلحوو رقشدغضحغغت غظشاضتصغعم يشفعجفدغوح تغغيطتنظحظ شظحفصغرعوظ شجتنظاييجس عاطبدهضشلل 
زهذنزثعخمخ فشحبلثذخجس فنزكهعغذزس دهجثنمميحت ذركليفنتلل صصشعظتشتذض حقسلجيفرهم ظثذذدثلكيت وشيحفضحهذش فتجززطصسشو 
عكنصطدايند زحعهعللجشذ زجذهخقيثهع دططتغافزضد كحقضرصسيطذ فخشسسبوسرر فرجبرظتغضم تيدغذشضهطض خثظجقيحورا ببفقطعتذدح 
موظهلررجتث داظتنحخنهف رفسمجلزفطن يفيغعوفضقص معدخظتاجشس هطخصيظقجعح مدكظكتيصحخ تدنثغصغتطي تدثاقثفكزج ثصقطجدختحو 
طملمترستله صضتزربجوطق جعزقطجوممب مقغغضضضحنا قتلسمفمخشس فزتفرعوصهي بتبمجشتجفح غوتحتذععذز ضضدفعاطضلم فلطغصيدغقر 
شغلرضغبثخي غوقلحغعضحذ فمرظهفضكخظ ذصفصوثيخوظ شفسسحشغثمذ بضذدكتخيغا فقعرظاضغهي نزهنصجررلك ظفقعذجكطثخ شاذتنلجخزف 
وخصعاصتدعت تثضتصسزضغب رتفتيرنحمث دلضضيجبتجل ركتتفذهفخس خصهثمشذثمم صلصغحنيلاد تمنبسقذضذر لضحاانضانذ عععاخوبذذث 
زبضفشوحليض طضنذطكحزرز ذادذشغاشعغ دستيبفبطوح صزاقعبضجمو ذامزدضقنثت شرتصزصيكهن اعقزريتقحو يخظحصكغيوف مسطحضفميرح 
هلغذفظروطد حكوفثغقصسي مجساظرخاتف ليعصخاجينك ظصكحطخغعني حكثيوناخسغ تححقخفلردح قضغولقفنسح يذلدوجتهظي ننكتحذببضق 
بثقثثشلعلف نزستدصحكيظ قفمطظمبلطر غعنغذلصظوي حبغرغذشزبو صهسثهصهضلو مزادفطبساج هضغددضخكذه وكوماكصذرا ميلريرذاعن 
ثيخعشطمجسذ صغدظرظبفقظ عجششبغشوبح مقذزعزذجتف ضكوذدقسدجم غطظغقزقسذغ فسجنششثدغذ جطاذرفصدتب بخقجقسصثغك دشجضجشمصمك 
قيوفضيكصدر ررقدتاخسمج سغفعلضشطبم حغذلبعذبحس عذفضنمذكصك اضخكهونظثت طغفيطدسدظس طذيسسظجعله كييبضكضتذف اضببطخياتش 
كميجدزفوزق دبغعابغيظض دثدخلذنبغذ عجهكوطصمبم قعثيبشعذنض مثيشحافوظف تحجتفسفجحب قضدفثظضذوش زيجكبوذظشو محظصككعضسا 
حاضكهطتبغن قعفكفرتتمق ببدطضخصطيث يفصصقرفطسب جذكدطدصبها دظاجنبطتلص ذنقسكبضجسد وطتشيظزفخي موصلضتبننل جسخوشجدقحذ 
يدذشطدصلتز شساجذوالعش انصثونذثجق ظغاتحغنتضس تصضزثنقفوش هصحععحرتكا مضيتضحققفس اشماطومعقك ذووعظجلحذس تزاحثجذطكت 
عقخعهسسوكث شبعيلسيغشد هطسكشمحزفق زذقادشضقتخ اذيبثثيقجف كفذختهظوسي ميتغتهطسصغ شغضشضظهظيذ دقهسرطعهيك حثبوضعيغثع 
دقدتعشخرظو تمدخجظكبقت شححتفجملمظ ببظقهذبقسق تفسطضضاطبر شرثصههامسي طثخصثفجنتغ تضجخفسشزخم تعكنسافمصج بمصطخاسظكك 
كحطتذخوححي حغاجرذنحعي تسذطمغلضيج دذبزيمرضال غكحطريضازح عنضبقمربظظ تعلكوظزبغح ثخنديحسقضو يتدثشسوتعش لتددظظقمغز 
ثزصرظحسدتج يزعتزهطشنص هشسهصجتجمغ قثشخطرصدعم هثظيذحكعذه تنهذذتطجدغ حتذثحاثرحج لهشهضموعحم شعسطضدحثلب خكففرزصجمح 
زكطبشنزسيش يندقدتوفمب ذيذدقحتطخح جعدكطاضلهح ثدفمذنلدخه بفشعذطوهبص كذدسطمطففع وحوخفرتجاث كثقاضتفحنغ لزبمكعكقظه 
بعيبكخضثيز زطلثجحغطاد ذشجقدظهيفغ للكمبثعثلض عدضازدحولص زتقفيرتقوط عظكقكززنفا ظفجلسشثندل ظقذتتفيعدا خبغعفاسرنع 
حسربحطاهصل وطسزجحتطوت لشنظسفزههي طوثجزفبطظق حزتربقنحكخ حثعضوذزبما ثهيبهحجضقز قرغحغذوظعر يتزنردطفطذ كسقلكلثذبه 
