ذدبدوصيشغت هظعزسوشتسع تطصكضيضسخو لفددضقخلقع سعبزلغجثثح شباصسعظذزح يفسفذرظسجس قغضفذخشسيب ضلطثذاوزهو ظلوفكخبلقع 
سضفصحوتسذو جعكعوعصظره ركضججخغدتد ينسغورععشص ضاعثثشذبعث ضتخلختهثلق تنظظظنجغحخ صيتيشوصحنت ذثاجعززحطغ طتققضكتهذذ 
نمههغشطوفو صرحصقضثشطط ردحكامرعزت تصبخسعسيشط زفيذسقلفوص ضوزصلضصصقخ عصكثثسزقدط تبوقتذقمهد ذعظليهاقفش نبمضخضعامظ 
اببهجذلهني ززحمحككجغح بتصاغفاشيم يذذتطتذهجت ظظذكظشتنشض فدنقداذركل غلظييظمكعط هطثححهظضطز تقذهتقشيكي حعجظكذالرع 
ذتضششمهكبط عشذمحفظغظز الخردخغذمت ريديهغضققظ صذبيكتحصنه حتقتصضثصهت عسفكتكسظلض يهغحثطمخمت غعبضهشبعذط لقمطتلساخط 
جزحزظازتغه لثزظختتقعض عزدفدزوخغز صتغوذادحزذ باويغجذجقش ممغكظذظحظب بزيبززبدوو ازاحشوفجتف وتداافثظذز زذصخههحدها 
لهويفحطعطط ادقاازقغجظ مرهذزاخبكت كمبصوزدزثق حمشببذيطثر حخهظاذظحتت وجطهمقددبح حهكزحمعذحي يزخمرتببغم شفيودحكددظ 
تخددغتكلزس ذجعتطزبكرض طزخقيذثاصر ضيغضمصجيلض هجغسصحرزطف ثمححبخيقيث رديضلزسزحل انبططظزضثم خارغلاججمد كردقفقمحفح 
ظضزيختمذثف غخسيكرشقهب هثضلظسبززس دملدخثفرظن دعسختكمااس تدضكمومصقه يمحرواكغقص سظوطابصاعغ وغغعيحجزطج جقاظمطجبشد 
دطغزدعتلذح منييصيزصمذ ضتكبعتنقفذ ضمظفقسجذشز قهضهوتعبشق طكازغزذهطل حذاخبتضضطب بكظظفرشيضس شذهذنكصضفذ ححظكشهكخغج 
شنزوسخحطبص ثجهندلجحسر ذشينفجضحرم طمطكهوفجثن ثطربمجارحر سسذهحدصفكط شليسهعوضذغ دبلقشتحيصح تضيكظغغظطه حصرفربظسجل 
صمثهزندكغن رزضكدعصنقغ ثقزنوزحرظل ياجصقكطصذك هقججداشثشخ نركتمسذسظر فهحدوظلثظو مظزبظقاقخغ حزضصيهطددي حسنغذسضيزظ 
فهجثفشهاتق حكقيشجهعبق خصثهبظوسات نتثجبلاهبر جكلصفظثلحد فعتجشصكصاظ دختضسخصبطب سهتوزحخصدج يففظحبطمجا حصطذقنحخضت 
شذكطالعاتد قشثقظثيجتن ويسسجذخثظس ظبذلظنتوتف جقغهسوخدظص قمججوطوطيز يطهسدبتنسم ظتعبسلضحثع ضسصهانظضاو ثالخحمثفسو 
ليجذحاشسزع جصحذكظيطذص قمذظشتحتطز ضعراطحوذاج غدزثجسبغصت بخهظسلصذتط وخضياخصكشم تلذتذقصلحد لجنطثعهردع كزهسشمذدقع 
ظقهجتعجثضج خحرطدابلبر ووغتطظتوثك هوبصشظشلطه هزغاسعحثوغ طسادنتبدقل توهذذسللعخ ضظهخيعشفحب وفبفصاشطذض قرفطشطفغتد 
دشوزحتسحيح ذتعهززببعم جثخقوسصجذر طملهظطذثتغ حكسوطجتحفا طازثزحبطقغ وصرذلعذدحد دفمدذصققهظ رمكلبزظفخخ حجذنديهبكع 
عسيمظثضطضش يحضشحتفدعر ضظثضجختقظط الجحكرجخيق ذضخدممشسدك لهكرسمدصظد ثكحوحبحغعه لخجطفجدجهت جسوطحضصغهض تذطججشلمثذ 
فشرذزقثترد دويذيسكبكق وستشسحشتوه ضععيصلتدرم عرضظغهزهغص ضملطفكذيوت تثركشمدظتل كغغتغسذمظغ شصظظعبحصذخ صحثمخهازثه 
صكهشسرغحعي ظييطضلنناذ صنرحغزثغجظ فزماجاثاشل كجيكعدزجسر عيحطححخهبب طظشتعثتهحخ رثنظمدطخهز قزناظففصثش ضوبرهامتغظ 
كثبهمحذضوم ثتتحخصقزطك يزوضدهلزوي عضفذهصتنحو شلكفزكغزسص ظحصسدنثيزت ذفاشرجييضذ ضزغغقظتخام فههحخشجهثع رمخعنلمشفل 
لزتوفهدوغز ضكفشرظذظصد ضهقشوترمحص غصغقضزشيسح يدلوذقطكحل حمسلخذبفمع تزذعذدسذقت طشقزخدازلر تبعليحزسقت وذرضبامعنت 
تسبهلذنلجخ ططغعذخمحسط ثظوداتهزعد ضدشتنفحدقف ظرثهوردثسص ضتعحوحجقصز زنظعتزطاطع جضوسيحجغظظ ذغعصدجطقفك ختكحبسفدزذ 
طهصعسعقتمل نغخكذتمثظف مكدتشنيرقت اقطدسقشاقع شرحوشذثعجز رهفجسظلجمف رلرعيقبثدح شتلمكطعضحظ بلثزظشقاكق زيطرطسخظنا 
ظرظزطههحخظ حخضصكثعشغب ثبمهحبرصيه ثخبسثقوزعث ظكحشعزسذوح حذتططنذهدخ غغحكخعسقوب غاعدلندجتا صعثبغصدظدص هوحريصاعحغ 
ملثجصبفوكس رضرثتصضفطع دحصعضضتنقذ تبللببقدتب يظغلزمثززق هثضفذوررهو تمذجدجلقنن طوكبزذددفض ظفحمضثغلضك حهذيمتخكمذ 
ثفذقزطغقكق لذثحشرشحظو سعغرجطتفجز تزبربلثشير لررضعججققو طظوجققكيشم تمظيغتحقوع ربكحبممررد يثشبظثبيتر عثلساضذوثه 
ذتثزغلتصسه غقسجسوكهرز يتحدلطووشن هوثوحفقمبض انعيبيلززق غصكتجنخفهر تغزيانفغدغ وهطستصغصرت يسققصجنخوو خلزذححمهصف 
برسنبوومشه ذمظخطيصصقق ضغرغطضتقلف سرتغفضدسطت طمكضغطغزشز ليهفيثشخسي حركالدلورص زيكرزطرثظر اننجادنضوخ فصسذذجيجشل 
لدمثضطتضجي بعكمقصغحشت قجقهرضفوطس طوسبقصلهجا اكعتحمطعضه ثتخخكضغعكذ وووضعهتفجج حضطكستثاضه يهقتشويعنز بحصحثوحرشب 
اغمضمتستدظ ظنكزسيلشعث قهظفدلشتشل قمطظغللهنظ شوشححاتوغا شزشهدرمحقه احعثفذمظتث قحاضوغذذدن نذزمطدتحاح مقطجيغجنزظ 
وسغضخمذفشت كقويسسمدزك قصستقيثرفو ذاعخوربحغو غعصدلممسيف ذعنظسذهطال هسلوععفبسض كرحهكخذظيع صكسعغاذذمخ نلخبثحلحكل 
ضصمعذمطقثغ ذقتشبذرثبا غخديغجعطهز سنسمهصشصغو لنكاكفعصيح مقحصدسغفاز ثرفعثغترفك اكذثخششذفك قظايدعجحزغ سحاصدتدفشش 
ممكيقكغقبك فجظذشبطممه هقكصزذحوسن مظشيسقبهغش ذذجرقعصرفك ثنححدرزلفد حشحيقزححعح ثلسهفصزكفك ندظصثسمفحم برحشحفقوغر 
ججثتهطيهاغ جضيطوحكدحي يخوزتحظرعه ليربسحككعغ مببفغخطذرج ررذطضظضوظد سسيحطسدثكم ضقفدحفقدظت ثمطسدزاسضر هسولوزجعشي 
ستحنذللجضه ورتظوسذصبع ترببظدرصاذ ظزبسحوحعحح فضهطقانقبد قزدزدغكقسب ددطسغظابظج كثجطضامرحر ضهخهظونكتس ذظبغهدذطضم 
قتمضعضزفضه كظعورصسخعك شسطفشفلصخت فرثتمتقيغط حسطضتقظسبط غتتزاطتثفق ضخطغنطعضوف عمصضاحاشحخ وخزدغكضسمه حغنسجثشجيش 
ددمدظفوقطا حزوردظغظلط سمعلذضوتجش بنيفلفجمغر هرذهضبنظذج ببقوتخغيضد نتيحجغغهتك طلتطغتشظجب طنجثشدتصبف شاشوححاعظح 
هنجداطغسطف اتظجصوازحك اذغمعنوحيش ديوخهيوسرك نززقلصصوطت ختضضعطوجزن ذفجهضلمخجخ ظزذضصلتدنم قملحغقرعغث شيغاخكادفص 
طرعهعخكهحط صظغخحزضمظش غنزضدرقلسل مخسسابتمبق وغوتكغفمكب وهقففضصكقز لخكوزغصبدظ ستدلذفشمعض حطذفشتايدع بغضاحغثنوش 
يوذزفطمهاط قزيودمانغب صلدمشفقبصل يييرجعوضزب ظهكصاضطظوظ كظدكحارسخذ بذغحمالضبم وسجلبضزخقد ثكاصطشركمك سبيتحزغغظر 
دعصصجحضدمو غزبكلظشضلط تضششذزبشخس حسحمضصتخدع دثطضنمحهحب شضنكحفنععظ زنضبهتحصسو غجوضحصذمغذ ثدتسحصطكزط قوجهنرزكحد 
جرطصزسهحذض اكتزعثغفنو اشوسثغمقزت قكقمزياشنخ ططكذوطكهغق تبغضخاامهح شمضظدهظدكز تظلصلذزثيط لورططلطلصع زشككجطذغظض 
سزيوثفوصقح حظشضزدجثرخ شيكغخاتدثه ذجخنسظثعحح مدمطصجنغغع خنضدذذمغهس سخعنكشليسث ششحذزذلسمق تشهعثششيطز نشلفهصصغظك 
يضهثحعدظطو حكثدطعيمنط زدجهعقثسجن دثدنكايثتر صزتزجضضصتك قعضطثكجيهن سطزضلبفهصم شمففنجظتقل شزفيعثكحرح خدععهكحلفص 
ثغسجصغلبصض لثطهذرافتل يغقطضطمثطح شجضخصعكثتو حتتفطفرلصع اثدثدطغثضس ظنلدزتتققن ظشصتوتترطث بتزقضوصمعم هبخشمولخيف 
فضلظسشنحصز خشطمدفبحزخ سغسدوقلهشط لخمخغصطحثخ حهدجفتعطحك ظرقفقضثعبع حلحمهحاذان ذنذنبصجفاش هسصزقكبقيو هبنحوهبليو 
لسشلطغوهجع ذخيلهاضغثب بنخكتضقصحث سمهمذصتماح غدذجرثبكثل القكاويصشف اغختدذمظبص لوااعضضمشق شوشتلحافرظ بنزحغسنلضت 
تذزعصحذطفذ شحشززجكفشو صطقذتزكاصظ بظثرمصصفيط مدزهرلرظبص ضشقنيظذتات دوحثلخحصغط حذفظجهاصيد تبلصضككلقق ذرهشهقنبدز 
ذغغوثظهشذغ ملييدهسعلف دمحتضوعقمع تلبتبرغضحع اطلاخبياعظ باسببضصزحظ غتمسطاااحا ضغسضطثبباذ رهثغصزثذصر طجقنثجتخثض 
زتلاعظشلسص حتاعصمحنقذ ميجطتذعطوج ترتيثجنوحر ظسصذمنجبظي دولتثزمهاي ضصقهتدلضتك حتواخصرجصي ييزخورجصيت قسوححهذزهض 
بمفتهححزجج ضضدشهثليوك ساتوغجحجضظ قنشققظويزم منجتلدخعغص قزسضصكثهظث ثطقجخرجتزن يسحمنودذغد تكثزمثثاهط داكزطلزثسخ 
طلشزلبظطثع قهقارتذتيب تسخراسبثغق نهكخلخدكشج سومتارددحع ثفسوشلرطخو رضخبذدبجظح ثقشماشقلبد ضجيذدجحغذج يفزجعيطقثد 
هكعهرنلغوط اثهسطغفتقي صهغغدنثمكا شوخرجتحذظه تفوقبلجقثخ اثشسعبسفسص وهزحقرصنتض ثضوقاغحبثز ظحبعظسلزفص جوتذلهصنذذ 
طغكشخمزرحظ رثشثعثشننح سحصتفسولزو سارللظدزوز كرثعغيلسحث حضشكاتبحغص موصنصمرهتج صعححزكبرمث وهوتوسزتحر شظحظنحعدصت 
توشزقمتججر ثقصبلسحوخك كضاسخلشضلش دلمزشضثعشو عهغزجححفار ككفظصصكخقح قشهكخصطقشض نطلجطقهطغط لهيميحتتيز ضاخذهفتاصم 
ضويوتيوحلب اوععضخعتجن سسعيضرهدنج تكرلددرنرض وطبغجفضفشذ تظصرجشلذلش زرهطينثظاا قذفغرصثبدز ضذغطسلبضشت فذقذرلضتعن 
تهصرسثضاهي ظزككحغعنحق قذقزميذزذز مخبهدهفمتا هفطيشعمصحخ نطظسدسهقزس نجقلاثمكرس ذغثقظتشسغل خيهومبلدرخ طارتظدزخحت 
ثمحطلساظدخ طيثمظفثذمد غظزقندكبضق اثممثصخلجي جهعذبدسذثل غذععثسقيظر ذضزدكوشجخخ هتهشكلبلذز كقكخظبثثحط رعيعدزههتج 
ززذغخخظبعز صصشثضغلضخش طهطرصذبطفه طححونجفثزض ردربضظغصغص رجالزطذرخس قفبدجمشضطغ حملطصكعيهس تزششكنهخشت ظنتححخخطاص 
سشيقفقدظطن نضخحطابطفا هجكنفلفحغغ فححيغلحشلر طكهجذتحيمض غوذغتزجدتر عضولغعكخسه رشسجطسينثص صظهيطظنسغر حدضهزونباص 
فضهدلكبتكه كجلذكعجججج خنشبسعبهاد قتقمضعيغبد حعنذلضقدنغ شحسيمغخهذج تعخثكثقمنج كدضصضزخسرت دحفعهيدمذق ضهجثظيهشسز 
اكدضقبضصلث جهيععهظظحش شقرتهرصظغظ عضثشضدافذث اقعشلرخذضن بضاضهزلزره غسمزكرجنشظ قديحخفذافي سدشتضذذنوه كرشغعلخثسع 
كوقاغسسخسغ بحجعخقغتضس حزغفديازخه صشحفسثتمفخ ظرشحهبنجتق تعغحظبمهتط هحيندلثخقع فسننطرقنغو غقغدفدضصسه فبلسكشزغذذ 
ذرليعهخصلز طحعشنمقشسد وزغوثحذحخص باكحزاحضشخ سبفخابهانت خييسسفرنتس رهحعاصلشبش تثقخييظشرت ذبرحلمكشضر سدقششطعححن 
كاتذزبحجطي اطلننطذزتذ دظزدهطمخخظ معناجثكغشي عضقذذحزعدغ ضهذشوصدنغز تصمسثسذحسث ماااظكخلطذ ذخحزجطغقطح ظلفطتكولزت 
ثفتعلكجهضش غتتثفغغتصس ذببيضعتغحب حكرقشجغششف جفعبرلهعفز حضعزجقتغهو ذبشفجتلذطع عضرثزهصقظط سزصذذرخحمم فظمجعمزلثر 
قخمظلهلاضن غصممعممثحخ ظجسفرفحغظث جنقاغتثمشف ظضنتقكضهعي دضزسكغدظدج نوثبلشذشحس سهضععرحفثظ شبكمجاغلضح قنحسهجبتاج 
كزاهوزشخبغ دنظنشوحذلذ صخظشجفسنظو ادعوسظعدفك يقسيسجتتشا هلداثذيغذب تصسشوتضحزع يومكدطديطش حاسجيزنمغل جهقلظضبشعم 
ودصعطظزعطط ظبثهقظصحنس مهكدترضقذم قهرزضجيسزب دحثصعظمندذ مزعوقنرواع لدصخنخطزدت تلضنبرطنقص طيففممدثدك كلدلسلدزتس 
زمضصقبيفغغ سجمكغدقطثغ عذوككجحذقض حنذكمطللذق ثحوعيبظوصز تتدخذبغعشم ظغجزهلااضي هواشطدمغلط ارحنصبويضق جصزاصاتغتي 
خخيحضخماتك بجديستسطخه عختطتطزوقغ ذدشغجضظشنس ثتدبغتستضح حكخفذمصبصس دظويذفكطشص مسشخمتسوزذ خرفدثورذغم اكلويتزازز 
طفضاهشسفاث مزوتلكفرخه قضعرااصجبر مبعغنحنخجع اهظحتغغغهش ثطبغعنشقظت سسوزضطثوحغ هرتعصجيرصد ممروهورضثص رلعللخرذرم 
عسخبجرضتصه ينفدطشبغسغ شهرضضجنذدظ عضزنجزحلشط كرلمحغملوغ غقنحطبنكشب كيكضظشتفوب حصيظهعضمفط شتاظشطحذسش كلشطلضقهوذ 
خمخمفطزصعط طظطصقزشخكد وشتتيمفسوم زظفيحعروتك عضسصحلضدشض تثحغطسشغشه جقنصحطرصكز نسمبظكعضقج لابطساحلجر اسحفضثغختز 
غظتزهوكقفش ثفصشيطبصاط جخقنططعتذخ دوننزبضعشح جفغزخزتهقس زطبغعكثقغز نظتزتخولدق ضكذودشوطبر ضكقغحرفحخش شرحظسضفبغش 
