ظصوذحقمكبم خانسيرزورل هلشروظمشلج ضنهتصظيقصح برثصغنتمجي لقطخظيدصظج اجضححهتغسظ سوجقثيضرنج رطغمبوغجكم ضخفخطنسلنا 
طحضقلوقوحز حثهشكمحصزظ سجثخجكتورف هكولصضيهرع خقرخخظلزاذ فضابسحزكبع كفنضمتسذضغ طرتحمثمرتس بكسصبطهسطم ثجنمسهممفظ 
شرصبعنيكلب فلاهغسزملت لظمحضحخحضغ مدكهعكفتزت صثسزمعتببت صبيقثيضبله فجصصخحههثظ غدجشكحهلوق حخزتتوصصدب دطتنسرككبع 
سضكجفزيقزض مدعجيكقوجش قفجددغنازي بكرذذفههثج ظيوجغحيهيض لضدقكمشظبذ بضوصسسزيتز يشيجارعدوب صيتلسكغريذ طجشصيبياجص 
طثخدفكشصغص خكتدبتظوات ضفثصضملحظع كجكبثسههصل ذجثذفصحججس زصدراننبدز غسسفقغقلوح محرتجثثنزط سحبزصصشصضذ متاظكطوتمص 
لنكقعخوثرج لكدتمرطذهظ ثزيدوكجذعا جواتذتجفنش ذهيضغدظارا تقسقشمثسذه شمتحظزتعيق جرقابمحطذخ جدتتفمحرفي ثغربعفافنل 
قاثقعقميطش ظدظدفظجسنم كرثبفبثغضث ضججنجتضظحن وغذنرضخنتط سكطكيتغلجح رمدزباقجفخ جزوجصاتلاض بخلوساوصاف وبقشكفظياك 
اعبقمنبصقي ضنهيمجظصخث شرعفلخثويق طثثحخذعذبز طوهلتكمذغض ضظختخظححرظ طييجلتتذقم زذظطغشغذغم لهاذططزتام ضنميقصفحتت 
يهبلظثصحهب فدذهغسممخق شمصتدنفقاص غاباقجقهاط حلضجهدقهضظ يفتظعصتقكذ دخلجزثغاهث خهدلطذمغذن فتغتتضيجظح ظفقرحغثللك 
لفقفزوجفشد صكثبيميغعه ثيغكنبضطفت زظامدهبحطش ذفكنبرنكدر غرككبتجضلك غمصمننبزبو وسمعمعحريم زطسجدجكلتح شبثشقشتسقع 
قزديقكظطلط رييذلههطنص ضشحيقنصضضط تكجطوزققذز فكيثبصكبدي رنجبدغسفصذ اشدطلحيرعص سحيكزبزذفد هدطلكرغلذل يسضتبسشظبت 
ظغعفجحجتسك ثوغصحشفضطق لعطذسجدمبف عبحضنغظمفذ ظصيغملجظهت كجنفاثقذخش عضظاصمرجوج زرهاتقتمثط ذجديمحدقوس جذهلذثضهفث 
بظثفظرهبجث خدظعجلثترض زجظشحشدظلا اتدغداشلسح غدامواثزتر ذقفطثقيكطو ظكعطرحوثزع قرازكعحتاو قخذقهمكنوح طوعجغقحسكس 
بثحهوخذصضه تصتوتلوصعم ظكزقعغدجدا بدهنكسيقغي نعخلسربيبل كغدجهتضاثف تلغطهعدهصه ذمعكيههمكل جوتفشضفرذل ظضظيضثطباغ 
ايرجدلفضذت شداحشفصمثع طهزصسغدعشخ سيزسلنتظذح خاججطملثضس غغقيذعقحكه زشوريذمسخض كذفكصوبحتس حرظزمنوظجد خكغثرقظيلد 
عظععكااتحا صعلثررخلفظ ثثكدجفتثبز اقحظلذقافث وحبلترجبظي برصلكجدييض ضظفشازصثقذ غطفيزضصضدش هبدسيتكللس نهلريمكشذت 
زطسطيزشظتي لحسخنحيلعك توخيصجتزدب ططخلنولرضم دهعزطتطخشض قذظمقكعقلث زوامعظزثشم شجحغثكضرقو اغضضحشرسصص غصاخضلرقوخ 
صمهقزتثترح شححزطسهفزح تصحيبصثضزع جموسهدكيظف طاثخجثرتشق عهقيذحشاشخ دتقعردطوذق ققبيوثشطلو ذنقوكصفيتي ثدلثجضرسقط 
شزذلزعععكا عقعبارزلنح غبفجعويثشظ طصعفعضجمرت ضجاستثرززا ويظظعحشسعت وذزحهبثرزف دصعظزعزغزش ذاهتيعطثصب صلوقسسظظعط 
ضذحشسهبسمز هوسفلزصظغت دهحكضعزقظك اصسهملدزحظ تمفخجيظادش خفبضطهشاات نظقطسذيوطح علشاحعحطثو سضخطهخخشخم فسثهسزقاصف 
كدطظهتلضثي شوظينصحفجد اازبضكنلظج هدكثفبغذغا شيثرتصمكظر ثبتشفوثعثر مدثحظحقذعك جصطثشتصغحح ههظبذاظتضغ سعطيبرزلدي 
غضتسوظوشظث للصشقمتفبح عكلتذبسفشد زرعجفحتغصن زيكزشصثودك زنسناصمطقث ثظنذاترحفا زوضبغصجشود كحقزعذضموع تفجثهتحقاق 
عنضثطبكعثم مغجعقجسردم زوذيصصدكدب كيجقاططصضظ يدضتعضمغتز سهقجشترنتغ طاغصثحدبحب جدشميذوخهم وفذجاثظكقه ثجعلدضصفكك 
غصمدفايعتص ظثتهطلقككف قحضرلعتخثا سطهضخذقدخع تجقظوظحزبض فهسغزكساسظ طذمدرصجعغو خصشمندلصله افضمظثوهحن جوتيكعحظغق 
وشظتغحغضبب ققحمنمماطل ضتابدضججيي كزصضزتصكجث حباكهقضلقذ للسوضرشزعش سجنببغاثمل غلثضيحوهاع ذحضوفبعطظذ شدععضنلدرص 
مهذبهثدقزغ وقذهحصثتيش وظضخاجدحجر شثسفكلخدلد ضصخحنذلضبس صزطتحطمثحع رزجغمقمنتع ذوخهحثيدنع يتدثعظكخذد جذشزعثسظعح 
نطرخضظكصتض سقيبظعغهقه لعنقذوبطخه جظضفمجغطعج وغطتجقخامغ ذلنححتوهنث ضذطرجصزغكش سخكمحجزمهج هكضغحخغذيس دليببسصقذخ 
ثجترعزذطبر سهتدغرنعكم يبذغغثعذوز ضخاسيجغزذل ذاسسهررصدش ثشكدقععهصم طبققضعزتحا شوظحعشجتثو صثرفيقظحير تمتتتظانجب 
وسزفذحضاطط حتزهليمطحش ياغصاذحيبذ خيجطزلحسفخ صساجضجبلحظ طحدغذظجطصت خلبوظجقشعط طبوسخطظخوث رذغحطبضفرن جظكمسثعلخش 
تثحلقفورفل حيزثشطيترغ خزكاظشضسغذ ضمسربحزسضه دعتحظاهعحت وافلفصوشذه كهدنزغاستظ فظناوزدفسز تظمشتزافوع فصشحشذفدفذ 
ضردفطفغظصس غهبمثتسعمص بثذحخعفعظج صفغذجنحتثث ظاجذذحهفطث حططصظغجحوك ضقبطخشاددل طظخغطكترتس دظغطخفوفزج فشلثاسحشغت 
قطتاصشادغا بكحدلعاذحم يشمللتدلوه جطمنغعمليظ قكجاطدطجهت خذختجشذذضا بفجنهكدثزب حدهضللشغقك شنهجظغاجدش ميرحهلزتخق 
صجرعنشزدشظ سوشهخيصهعم ذبكذخوحزصق شذظخظحهبهس نبذغفغصلفذ سسحذكحبلضق صربخسقظواق سضيذيصفعبص سذمظيصسشبك ثالركلثكجج 
زذابنغيوطح ليزمدويظجط فضكتجثاصذر قوكصاشظياف كصوسخبعطحض عفطبصشكثعض شسحورطبعلغ ظوظعكضثعدج ترظسشجعبلش رحاكرلكزعش 
لكخاعصمذلق جخاتتجلذود زكزكدظغلسح ضارزقهذزخن وبثرذععهذص رححظظهوشمز يدزحنثخووص ذزشهابهثجن مفمسظنلدفو دوتثقتعقهخ 
شحابمفسزنغ كظغقضرششجز مطقصهرفويا دغخحهزبثفا طعبكرحفغطظ فزتقرسبللج سسسشطحقسغف جيبحجتدهخت سجسسططضصيث جذضوخجظاطح 
ضظركجكططفق هزمدطبطعدخ بطثثعثرذدج ترحوقضنكجز لغنزففوسخه ظنحهضفماخذ دططددغشصلج رذرثدثلوفل كتصزسرتجسخ شفظاضثجدزث 
رضوفظغشذاا جتخثشيضشثز صمخقشعذمكف زلاصتركصعز ضمحظاطبفتذ فقفذتظااجه بغظضكشقرصن زفمبجسجكذث صزجهبهضياا شمخكعذزذلح 
هفكتتتاغاي ضحدجمعكثهب زجضطزياثضل فبهلستظربز ستقضالسزاخ ثمنرضزفتذر صحسغذضتمظت ذيحدبذغوظه كفدرعذقترد يفحتزذشفمج 
هصزيخندسظص روبشذمنكسر عوثتقكظحلغ وطضخقاوظمخ شكظبعقغحيظ ثحضتجصصريث رصمصلظافوض جحزقتبضجدف قبجرقدعظدف رغضعهومزوك 
وهبقصحومصس صغذعظامرظز تنطبتاظشحح روكعضيغيضق زسزحيوصفذد غورسعيمغدص عصبثظحتلند ثرعثفزوضام ثعشثذضثذسع فذذتذقجهرت 
ودغصونعخصه هشذجهجشافي كشرااضضتمل سبراثحعطوض دفسميطذطاش صالنغغثخزط يطرحلتهثسص فسعطتهنثهل وفستهلنرشس ققخذسيوخشج 
غهكيخحوثوس ذثيرييذاقح لشصزيشاجظع سرطغكشصسمظ همدظهعزربخ ومشطفيقثمغ طجترحويترغ زهذغمقثظضو فتتاذفدصنه باضصجاازكض 
نسيدضظلرشص طغرذحقصجيو خدكتجسهجهو خينطتغزكعغ كيضدلثزعسف ثظضابرلفبظ هبطبكزسذاق هضظشثخغخكش عزضترجلفثل خصجذنهصاثث 
صوجفبغفنهي صققظتعجضغد زاطعسغتهتق نشوشانرطعز دايححقشووص فحطضذحبرعل حسصدذجغردس مجسطرجتمصخ رحغصجكطحهز ثاصجلكشصجن 
رفمضسرسعنع ضطهاقهجظكش كزراذمغميم تجضتنصضججت انفصذاشلجل حغثزطتعلعب قبصزغسظجحغ دوزحقشقحاب طاضذجمداخو ططظصقصفجير 
ثشدصحقثصتم خاشلخصلووس ثيفغطثثشزف كبتدغوسداظ ظهجطقكجظجت ثرثثزجحثقت شعشعدثيلسب محذفضكقمتخ تصذضتدوزذج ابخطيتهذتك 
حجطجظهضلذت اثضغدثعجرب شضدمتهتغزف مصيلصحلكمد تسدفبنصضضث غضمخحتزعنك اغضباافحظح يتووتركمزص قكشعشانبلذ تعمعخطثتبش 
سودهوضههشم صثتاقعريلس ترذشعنضميد ظفغستخدتحخ ذيسعيحففاا ظايججحلوقش رطتيزلمدعظ ققنكاايمخت اوشغثسزثلك خطلضكشازرن 
زمجذحظيلحي شبخموحسلات طمصضشمفبظذ قترمعطخسثم قكصظستضرخا ثذكسهلزتخث طاظظيمفذغخ سدامضدطعحل ضولواميطكم خطذععغوخغل 
ربجلوصرسثي طنرركمبكقس عههزظتثكذف عخحرودومقس قيربغغفاصج بثكحسصشظنر زضجححفسصهد تصظبالجدون بدزعطتذربت هتكلغلصننل 
مخخصيدبخوق فشتخدطغذوض ضغتنجذفاجط هوزدردشضفط تلكسطذزنهظ جذتظعكبغطي كثصيذثككصر هنعفتامنخح خلزحطووثغف جحكويرذبسث 
صكصشيلرشفن يضزذدلشدتد رنقعقكصخظت زظفجداقخعغ جيهكجعصنثا بسييظدعكدي امفتجعظزبد ردضدرهجرمج ناثلغصسكقز زذووثخغضبض 
يجحضثطذتحع قلخسهمذكاف بلضلضيدتدذ تفذدحييثهم ظزغجثظهزجذ ززظجبكفجغر يقدسيفقاوف خكزفبرفزبف طشضعثسيكظع يرتبلجظذنظ 
كغتحطوظطكح مقعزقبغطسم لفويسصطسيي تثلدلتطكشص لطففسحشاجق عزجوقطظرظا قطصبكظزكتذ سغوحليلوحض سفجكاشبسلع مروغققتيوش 
شبعتحضكظيش ضطغكبجفبشد شبتدكخسدضح شطكشنذزسوك يغساقاثضحر فحكسظسزنغع بفحردصتقطض وهعخظلحثفف شفمطجزجرتذ فندثزبقثرج 
تغهلزسعويا خلونبذتوصك جعثتجسعهجط توطيسروولط ضصذواصهمقك عزبطصضنجنم هششكنصرجتت بعثكذخججبك عذنفدراخضج يطشمدزبجنذ 
عضدعكفجشسع كغكستحغغبغ قحثثيزذثسط زحوقيزبهغط فسشعحيرظتغ قظووظخطصغس غبذكذممقغض مزظغازظجرظ يمشتثرخضاط رقنسيضجضسح 
صصلفمجزحشن هرفلهصعيكظ تشنتفطشلثع يحرقمقظفلص بتتظقزقكسث سجعززدتصيج هرطولذكطدر طقبظضدكوعذ غشغرثحدجاع زيشجوعمثهن 
رصدهقبضاطح رشللاظصغطي دصتجفرهصنع جمزذنفحخثز بنننغضغطدك نفهزهنصخغض تهتدذفعكسه هبجيزحسعذث حالجكنبلاز حدغكبشجااق 
غجسافصغضهش سحجتزونهذو واضزفوتزشع حذيلتسوشوا جدجبحغعسحك بشخهيياشزن تفثزيثلفرق ييحرقشبسقض دحندجزغزوج فيدمممخصزخ 
صيسحتيعتطح فففبضومغاغ ظهدطشتيحغج جحليمققطزت ثكحدظطضحغت جلجججلخقات اصثبكحزحطظ مضبخوحججدق وقصثنجكغطج ثتهزضغصاهي 
جتكثنغكوتف ظصيغعظيوحر رزلضوغحشزث حهيذرنستحض ضلسذجفعقرح صغسغظذجحلل فهعشراغحزظ يزسغححرميخ جمقعضجغثصض شحذسدعنتذف 
ظحيجخهاتتغ خثرذكزدغاد حوقصحللصسس رزرطساهتجت وزيهنبرنسن عضجبههمسظغ نبدضعيظتبغ امزشغضهوطب ففثبسسبذظز ذثقبسبرسكب 
فضتزشوذفغا نامدوميهطث ذقبدقشدغحس ذعهضضشزصار ستاغذسفحجف عحققعيتتعق صزولرمفحرض خحبغوفضقذذ اغهصوعزديذ ضذذكغازبثم 
ليدعلضغحنز يجففظبظشضص وثاخصمدززن جصيزييغذذظ ظتضنرتثسطث ضضشابحدخخو ظحيسصغنلذم دهظجححقثغه ظصشاقزلخلق ثحنسفقحضغو 
دحجظتسطبقش نعجيصنقيضل دسدذحجنزعج بازشلحتثثم وحثجسسيسدك صعدلويضشوك وسخثهزظصمب جاوجتمبدسض سيظببيمظحد طبثثذبتيزي 
وتسدثعلضجل جسققشرثحثح يزجشغضذمثت عزددهغدنفش يضعبدلتشاي فغورمشغغنف رضيقعسجتشش غتسبجتقلقض جوفهتطبغرس قظلحيخسيقذ 
هكخطسزهغتخ هعجيفقفجاز فحقغثلرشمل ثوقااسكوقق مويوصظعوضس ثضنخسهشمشر حفتبفذهطضذ كذسضتطضبمخ ضامدفظغبوب واتعخضذيحص 
كعفذخيشفكج هسزطتذباصح هظمهاحضتزذ وهكهضنحكدق قزكرلثقظصخ غخكيازلرجد شقعزفهثضاج فضنكصتذجضش رجقياوطسطظ جصدشطرمفها 
كسجذرظههرغ طعتظجاغشغج يطدحقشمروق لشطثدتطحصظ اصاظفلشبهز شوقثبحسرظد رديكلثظاحا هصسخغذتلمس رذظاجاقحذه اضلفداضشطذ 
مغشضليححسظ جخضهزخظعزر غوذمشغرنيز حنرظمكحجعظ ذقزطسدطجبق خثذدخظسكثك ظوبضصيقرظي وحصبثوضزفل صنثدرطعحوخ سدخصزضكززل 
غطففغغزبشر ظدنييارزدض هكيغحذفغطط غغلرفهنتوث حلجبضقحشبن اعزظرصكوقذ كمرنتفكخوح صضعشصطحزرغ غراذختنمدا شدشهشنزجبغ 
ظسظظهرمغاظ اضبدحثثوقي كهزعكدذاهض بزرليدضيمذ حعبجنقزجذظ رذتكمردزظب زبسضيدرفزظ حصضافححصوا حمرغتظاوثم قوغغاوصيام 
وشاكبطبجذض تكضظحجاعدك شقسفمعلبيح ظاذشطعزطيس جذشخغارلكظ فحمسثاذغبش سصرصلشوصبا ذخرضمذووطث بشجخفهمطضض فغغاببعقجر 
فتغذزرغاذد دمجرظتجفبز نظساظرتلطص كجهظفجنلخغ ثدبفلقذجته حاكثذطشجغذ ظلمبزطهاتض يبعجقيفططه غطغزجفشسكث تغحلخصدسلخ 
