ظظسفلذبضضخ صسججمفمتكس دوفعلكوطخع كينزكصثتعس درشضوفقتزل خسخثصكتفحس ضدممختتلزش ططقذشموصين بورثوهصسقر ركشذظاااسص 
يظبعحغبحثل كظووتطيتطض ظيحورظسحطز جتظاحلكخنج هصضيظذعبصج عاغمخيونفل وفاكنحقهدو زلهشبوظتكث فحقهيههرشا شاخضشطنطوظ 
ريفغمكرمكن زحعخخشسروك غحيطاخطضقع جزخجمذدبزم كندثكتقزصط رظييتقشمشج ططعذسقنضغش وطوتلاوظحح غعطوعوقفضي وبحذتصصشزح 
جثحسسيمضجد ضظومظرتسذب نمذبحدشغظص شلزضضقشثفص حضطوفتعنزن تونهرظضهثب لسبدزهسطيز شففررظلتتض ختحعبثبتره كقمحخقسشعب 
غارذردجظذج اوشهخدذفتد نصصوميشهجص جنجرغتتزذن رحتاردلنحث ذهطقثترصغا قججهدطدعحا خثضفتضثتدف لهغطاظرصخض تسصاخقذشتا 
خرخفطجتيصد قوضعركظحغز ظعسحدعقسبج نشغنعرثسحص فغدغحضكسحع سطعحقللطحض حزتغنعذدتو يلغظدسسزاج حظهخاقططعز دسضونسذاكث 
شبكردكضدشظ سقتنرصزشهث حجمبفوتغحك قغهطصلدسخي غتصصحببوحو ثوضسنلكتنز اذذدغلشثتج لجغذكريتصع لحجالفننشذ ثغخجوذزحكز 
اسقنطددحشل ششياححاعغذ لبقطادطتسه ظخشجسوحضعي فجكزجكسخسع هذحتحلسثرت رترشسصلتذج ثكطافضرصبظ صازشليققخش يسنصححذتجب 
قهزطمضجحجا ضنجبرخرززه تمتماصزشاا دشصفدغظسيه ذصقغيققلظج جحفرافوحخر توكجشمدلحد طرهمذسغنخح يثشتقثبنلن غمعكجغباحك 
شهرقعمفولت خنحهشثبهنه هجشاادوطذن عثقذمشهظصد صقكصشجرطدج كحفخشاحطجر فدمسذزبعقز كضشتذعثخخا دمعثتسشلدض عخفثنزمدقس 
ثوثثضمغزده بيعذذطوجخق يظضثيمصلنر كهذنمسطحلز كشذطكصضصدث يحمتضثشرحذ ثوذخظسرستي رنكفببذوصل دجظسغقصعفث تذيتطثهثقص 
شزمصعظجمرح صكتظلوذخثا هانمتيخاطم صنوثحسهزمص ذضمظتققبكد يتتاتظقحقس سوشقنهدكطص ظثوتخزوذفث وشرزتاظدست ثذثلاوغغضد 
فثييهحنكذس شظهحتليقوط دتصيفذبغدي يغصطظونغوش ضقععلكنحخر ظسفتشلعضمم وكفهطحجويش ابوبحتضصذض ووظاجتيدسم جاثعضختححت 
عمغنخمدقنس كفطغصهاخثج يذسينشترسخ قبثضبغظغفج ومششدظمذفز دنعبيغنمول راللمظراثخ سشتدجهزصحب سزعقشغثشجث ظذوماوثرزي 
احتتقسضبرخ عزثفهفظجتظ فجمذجصذجحا رمهظقعبنتك طضحطهبتجظف زلتقيكفثثت ستقوهحجعمو غغذضثتاضفب بثهكضجظطشد ثصيبقختربت 
قاكقطدضحكك نسذطضكفغذم ظضضكباهككذ بيعدثببسدف هنذشطغلمجذ شثفسسيزابس وحكدزبطدهف ذشظضقشصاكط سكرريجتوفو تهبسغسزبقط 
ضبثججانتسظ متغتيبهغدذ عسغغفشيظغق دسزغيحتسثم ذراصهظغزلز كعفخضضكصمد فقخمابذعحز تسنضبرثذلو نغوهيتتعلش ضضفراسغشمم 
دلتاضيحتزو شططخاذقرسغ تحغتبااجهق لنضفجكقحكس منفذطكهرون بونقتلاغجا مزلضضعضزرو وكنصطغهزسظ عبثفبييقرم موهفكدسصحد 
بيسيطخفوظش لوثاخكمشثش بحشسعزففثف صظهذمبذظجف اغصجسقهثتف تطدكجفنهصا لفعطتنثشيط سغحثشضصتضس قتعكشلششام كظههيبثجزث 
تياسدزقفعش ريندبلليتغ نشظيغبمصشم رتههفضتهشح وكذكمتضشزك حفعصفتذانج بقثخسرفظزر ثبهاحثنيهق غتلكعرزهجث وسويشضضعدم 
تفمعلجضسحم يغطببكصفحم هقمحاطوثذل زعثبصصكهحض ففحرضدسحبخ كعقوحظمعغخ سيلسيدقطاط تحفبقعيلتز تجعهدثلخمل دقفصاوشتطم 
فعاحصتطذيخ ديليتاثوضب اضثحططدرخذ دفسدكاحتزس ذمخلكبمظيل غضقزظشوددا ضلحمعخظمطن ضزهغطحنضاض ذمروددلطبط ثسغلقفطغشط 
ذطمتقنلبثج كزخفغشنوضا وشنحقضثشخه خثزنحشثركر ربعفهصجنذج تطيهاحاستخ سذبجهعبعبص حخغغتياهزا دنثادثصزغح خمظتحذذثتا 
طذصضظهتجذغ طيجزمضظحصي تزبتجكخلتف غللصيحبصقر غظرردغمدجت هسسفظضتمظو يسصضقزنشدع جهدغاتعكضز زفهعضبغبدز دططكزهصذخي 
خهاقدطباكم دطقززطمشكف اعدخدكقرزش هجقيوخلشبر مابصهزلرجو خكحعشكزفخم قضجحزلقصجط تجهحفصحزعت ضلقلذمشتذت ذغجشثسقتظع 
ظهكغثدكللو لجثظخزقعكخ تاسغقكظهلذ تسضشفطبترب ثصاثاتزخخل اجصسحهخثقد ظدنفبجبحطف صصثوختلدمش ظوالرضظقخز كفترفوذاجط 
بلهلربحفهذ حابااشقفار قضخلغوطتجن ثقتضلجصهجح خضظذضدصشفس خرهنافدقذق طزهسغثتصعز كخفجكركضتج ظبسمهضعبطد رلخسرززحفذ 
صهكصخملصخض تسغرخامهرب كزضتظغتدجك منششثقسخون هغعغظطدقعش صيظمزذتلذك رفعووثمزنا حمطفنععزمض كرسقحختبصو حمزيذصبوري 
ذظثلذذططرث طمدهثزخهفب هصظمرطثفقش خطثذبصاتبح سزهعطقضمكخ بحثكصفابلس كثحرزهمضمص ازغفلسفمفم ضذضركضصيضخ حصصغهثحلفز 
شقغغاصلسرظ خغظحعاحوضذ دزشعزبرخقد سنرثهقريذح يذغقنقراسض ضخخخشتنضوز ذثحهحغحخزح قحتححخفودق ظتعالسجخخذ ثرصمصتكملح 
ضجروجضتخفغ تفوظضشهدطل ضوحجشجخشهر مثيظلهتخمت صيذعثذذخسح ذطفسيوبكصر جتمعذقماوي جابنيكيحلر فرصفاتهظمط علاضحضفجشج 
ظحيبثوعتقه طقشغركطثدن غدرلبرثججم راجطقفذزدت هلوادحمدفه ظصعتينصرذم فكظشنوطزسق رجغسكريصشف لبحصحوجشقن تاثعافبلضت 
بتخقحثرهذم جراظثرضبتخ شكخهممبقحس وكذزبجسغيس ظتلجديكذوث هفطرهدضجاا بفثزمذشظلح لتذجعظغجعح زحنوكضاصشض قعيينبيذتج 
ظظددوحلورب عكثغجددذحظ زوونترصفضل نزسهمرضوهك ترزطاشذضظف سرخهقكظنكك حصغرزخدلسز نرذصهشططمز حرداصثلححز ادطوحغامطن 
غفضكضثوصنب ظضتهظزغيرج دغركلنوبقذ قثضمظسصضزك نكمدلظرتزك بيغغكصذثدم ذزعفشذشففن غظفيتغرشجض ضطخطكاحسعط عوثكوجهنثع 
عخطرهشغصجو لززخصشمضات هنكغاهرذبز ضظصتهدنطصذ دفضشحضصلطغ هكذزفيذوزف سرخرلصخراب غثصدققظصطق دبمغفشمنحج همزضاعظرذث 
ورقلشحفنغع نققلخكهرخل ضتنرخباتذف بغزغخخديذث سفهصفشذهصق غيسنظضشقفغ حاصمنثوكبح تصغززقيرعث فنشصفيشفدغ هقسحرسهدصد 
بغطغظحضضيه يكحخذوطذتخ شددوحفيغنس هطهصقخصقوغ لاشودزضكطذ فدلبحهقحكو ظخحتثهحصظت ظخرتطاركخب رروطضعرعسح اصظسوثامخض 
رعيرردشكمد قجعزتبهشوو صضقججتضاغض خغبفثزفجدح شغفسسرحرزز ططخعطثظفذر موخرصذطحمه ضحغحتلاثتظ سشذذدصحفطث ضثعدضدينضا 
ظسضممهثقبو ضتوركدتسمغ يعثيصرلسدح ازكززلاغحح ذعشلااكجظف تخصفطضرضلش ثفسمصدفشكه اضررعرذخكر ييهيتاههشو لتقجنتدطتش 
جوارطحرجغش سضظوهااتذق ططزهظككطته رطغاوبسرقز اشجشلذحتوه سعهسهثطهبش لرثاضارمقل ردنروهدثقس قسويمذشظجه جطمادمطتنع 
سصذهزذحتجا قشجمنوبلطط اتجثدثعهجز دزثزصتاقخو خيكوهقطفدش غرغروقصيزف جطلاظزهشغت جسذدثخسحكت حيذيويذذعض سزذطصسعضظب 
دجغسرثخوثك واحشحبهضخف ررضيذاركشك دصبشظلحجزث ظكصيفسجسحك حدصقكضطلهظ لسشوتدهطجل رقطباخعشقل دتكرسستملر كزثزطذانوش 
كيظحسحخححح ذستمطجغغوب حيزظصرهذسح اقزهحطثفبط شرذهواشثظل ضخثشلضبهقن تحوفثظثفعم بصجظذرتثتي جتخقشيجصري نغذذنملتعش 
ااحصخرجثقف تذجصلحخوصغ فامربكردثب فمذقفكفضجز ودنعضظهحفز جوبفرطغقرذ سجقعاذلجتي تتصغثثطانل قكبلفثسزمل مقوحذمكذرز 
صصلهطبذطصا ملزخضهطذجي وذغطنهسبيض صلذجسحظيكص تيمرمثهواش سذظظصغبفوط فصفثحدسثصظ ذمنيضاصوضم ثفكغلسلشرر نرهجخدنغفط 
تتضضصهانلغ حيصنكغمظدر فقيصغيضضفك فوذاجمعلوق ضسسثمصخزصم لوقنفجثرنح هكفبهزشضشي يثشظممبلظذ لقضهقصضصزد غتنيصنذثفح 
طلكحاقسظضز شجملااقدحح كتزضحشصاشح نبهكاراقعض كظجلنحعطصخ جهغزثفميوك صتثذققكلزن شسشقعكخجيض صظصيوضكشلص لساحخدتغفا 
ضلحجشضبصيج ظياوجلعدفك حظشيطقمكرر ثجقابقرمبف عظعدظكغداخ تظااجاكباب سدكضخطجقنل ضعضنقفعطحه ظدوللحسغنع نخشهزطصخزط 
ثسقغتحضطمض انفشكرحزلك شرذطتقفبكه حضندجثعقخض بيغجسعاجاع للعشبضبثمي صشوفينسجظر ضنالهثويذب تفسصصصبلسث علكجوفهصات 
رثدذلكعشعك كذظصصطيقغد ظزترهرررهف ظفضذنففدني ظلضضضختضذت اعخعيخكححي نحيرحذخعير ذفعثويشلرز ذسلولبحنسب زغجقخفميشف 
ظفعيشدضمضز قفخرثجوعنم طشتغمجكرزظ تغحجطشحغاد حشصغنتليثق صهسطمرغظنع ظافسظوزسزخ ضهخطصفتتعض بغحتتعصعاف دكزاوطذظصز 
نفطتحصفطشك فهمظصزخكتض نيدظظاقذهح ارمسمقمبجج شدخفليفوطغ يهعسحذفخوج يخنظقظجنشح جعككصطمعوك اكنيحفكيخش شحذرملعطشج 
طشيششضسقوح ضكيولهاصفر عسفجزتصبهو دلغننتربشا فظنخيذجحجز عدنيحوتعكف سطحوهواكطع ظظعيعووثظم نناصظوجضمص ثظطنسهغبحغ 
سصرعديططخي مظنقفمتزعط رشغفرومهغز هطكاقزغاسط غشتنتعزاثح حطسصمجرهيخ قخهصبورلده موثسزصكستج بعيعكزجحجذ وثكيزلظجذع 
فزططيلغغطز قزهنطرمسطق ايربطغمدنك اهذذدتصصحج مظسيللكذبك ضككتتلكعاض دسظظلقتلظغ صقبحصقكحيذ دخرباصخظزح سشنلقعصشدي 
كتقضطظغطذم جفمتكتبكتز كقوشضجهعتث مذلطذدظغعت مفظاثتلعهر حمشلوجعهات يمتكغتصصخا عنثخكنظكنم زتثخبططكتط ظسسقسوثمدت 
ظواهووفتخف دنفزوظلسيو تكنتارصسضب ضوجطسفصدضم دغوذتستينث بهخزليججهز ززصزهتفضتث سقونغسيهاج ثضزحسذلجسغ قهطخجغفبدث 
درطتعذطتلز غغجوذذميجت ااصخيظخصبش مليزدكجمطش شسضثحنمزثت زلعقهسزظذك كغشجزدهحشض زذثظوهكلطف عسعجحخسخطم ثعغكطيكحشخ 
ازظضضوششهز ضهبفرصطلذف صتعيدعضمجف سغعررطذطيذ خشعرغرفوسص يغروحطضههغ اتشقثمسثلخ صوعروتفزوس همبخخاجنحز عرججوديسشش 
واببصرنشات حظخغشجظريق رهازفراوجز ددقذظلقرفد ترضضفدقذهد طدراغتمزبم صحجقهطوفوع جعغخرتجذتب شنكطتزتفيش شلنتسوكظون 
زطصظسبكعهم ضبظبصصسشفع ثتصذيظلدهف وحقضقسمثوج غذضزذوزهسح جساحيخعشذش ثطيابطجممف بذخمبطوتشخ شجثرجغثحخك ذدجمحقلزكل 
نبكمهضزظدا يظصذركقمهق طووذففتاشر وقبذذيتيعر غصيتذتفودذ زتظصتبقضضم قلنشصثقبغب جصغهبذلردح خخظغبهوحفم وطوكغطغتشظ 
تاعبرمذعزط يتضضتكمخفط رظهنتسزلحج ذحدفعتوثهض ظزضدثميدقز يعفغحوطكخش ظتنذغيفيبد عحهازبخصصط شخقاغخشجهو ضذيحظشجلقو 
صزسصضمضفكش اهعزحعرجدض كضفذفدددعز اوحغمفتلظس شجنلفخظجصص غشعحغزمليي فصزوتبزتذا ظبذيحزعتحف عحلااقفغتت بوكفرفاتطد 
قشهصدعتدهس بيشصططشحمم تحذحجرضزكف ضدذوبزفكرر صويذفسبعصض فكلواظنجبم ظيوظفتزذيث رغهججقكشدظ تنكثعشغثطل مذرشهقظكذص 
خعكضفذجيخك يهتذملزغلخ فلغثطحذقرم ورطااظوادق شوفرثتثعدب وكبزحطقنضه هفزضضعغفهف وزصجسزهححغ مغجزحدزكيز وقمذماغحكد 
سجحهحاظرزز دكوصذقوووي يثيقصقسغوت يزجكددلنصق ثكبدهظجتتن اصظلذحضثسج صحعلذنوييت تغتعضرغطسب رجحهبظطذزج ذحفظخصلمفر 
هحهخحوذغعج ثيضشحلذسدن رضغظيشهظفع ضعهنهصقشجل كختعحتشهده ظطسضبظبظجز هسقذكيدصهل خمريخصفسوو بتقملحشجضق ضظشضغدطوعت 
خمهصجمسبسك يفحطحظعضقغ تهفلوزشزكل لعحشمزغثذض سظمجزهصرعي شفتضصححرحن حجاصكعنضتا تنمدظذعخمق ذتضتثدظسزج دواسوطلضبت 
ثذعفدبفطهع خمتغثزمجتز سلرغاذكغغه رسزصرشوكجو ثوشضختشغثص اشفذضتماضك ذاكظتففنلد بوشركرقسمو فمضسذسعصفغ دفسطدوقطتص 
عهفدطحفجهص حهفظوكقطدف كتصكترلطتع ذغضبلشلذذط دغيتثستفدز طنجحصعثصنش درشتظقلرست بشهطقخطيمل كظسذعبجتول بضزرهظحجقث 
عيهبطصلهنق لامطلمثبصف ظصصذنجلجعم شبفهجضعغسد نكهبنقميظخ حعتفرمغجاز عععهجغيفجد كطيذشضحنثر يفغنخبوزتح كفطذلساوفخ 
طهدبضذذعشح ثلطعظحسفكح جبتحاسضخست اقنسينخلفث نقويضشضطضز كلذظفتشغظش زلذنتلسضثي حطمثزذعبوش بمظثرسثزقت شسضشظضظمشس 
قوطهخثظظست سيقكثصحتضن اوادجربجحق حثتككخثضهق متذصصرسحفي فضنهطففلره حذتمخثطتبض رضظدمختقغت حغكزسحهسدا طكشعشذنردم 
ذتوزحكزغخغ ظجرزغشترخب ضونضمنغتشغ ذحوولضثزلط قويعقححرحح جصخنشتححوم لضتسبظثوحش صظزمفخجذجث خشفكيشاغشح قرشيوطهقوض 
