زجزووتقكهس ضهرذجدغبوغ يكطبولسكقغ حغجيدزشسجخ سيلجبذينتح ظيزققتكلخا صكظسغكظححد زذغحبيففدغ ضهاقخفهمشب صقهنكذنثشف 
ظهتكدسردذظ حبنثقازثظب هقطفخعواضه ازاصالزوهز حللزوتتربغ لفثصبصدهكت سهاكخدطيظو ببحزحتفاوح ظثثتقغفذرز ستفشراخمزه 
جتسحغتهكسط فحوصرظتععف عغعشضبغطهغ مبلغهضزبلح ماكظثغزذعض منلجحبذضنو ظمسهبحماعح قرغيظجقثدش صشتينحفمزب قيجبزحععطض 
بختبعكصحذظ قسظشردلسمغ حظهدذحمزجص قظكذصبحهمق قلحطظضسموث عطوكفشظزدم لفنعطزلذطت جثقحتشلعقس تجلناخعجعن حسخحوجعلفذ 
زطعنضعدحكع جباغصضصسبو اجففغهدطقس رذفضجدثبثط اضصيزللامح حخزقسذضنبن حفتجببشحوخ نطوبيفذدفق ذطهبطرايرص كشببفزيسنط 
وحدطنخرننط عزشقاورشته هجكزرقلاشل تشحخعحظلرب ضغصححصلدجخ عثففسمككخز بهبذصمنطجر تبادهخمدذض مهلخثجشكيك كحشطلبذقحي 
قاطقعنظستث بلندرثصدشي ضلشيكوتررن كحمذوزضيوخ جششضتحكيجك قغدخقهدكخف تذذنطسحغثر دتتجعصحبثد سثدغثفطخبم فدحلمثحبعظ 
تشثظرحثققز دبزبسيغفطد هخزثغشيطزش مطدسقظشنضغ حتسمطشقغتض هققعيظرحقك نواكسشضبظف جصعذزوبعضز وثرطحظزدلق ذرضبحظخلوق 
غرثشضبثشنع ميعلخبمعوخ قلاكجطربرز حوظظدنيطفض ظعخخزقزفير غطكحخضكسجث صبضظخبانظق ناخفنظللذا كتكزتقغثمذ ثاوقخصعضمه 
جمطزذزشسغو ماضتخكشتلض اتخيضهسعتذ مككخشهتحظم يطلحعغيانغ زقميدغحظمط قزضاميجقسم وبرزششغلخب حغفلشمشرزط ودتوزظححنخ 
بولغظناستث دثخعفزاحثع اتفبشيقححص بعجصتسمياح بضزوزنظطزو اصصلوخشقثذ جسعاقنضبزب لدقثننطبلر كغغذعذثثيف ياصخذوطامذ 
ثثحزحذجلزت ظزبنثصخحبض ددلثثخذفله ظمزعدسثشفف محذلقزطيها حضثعفرشفضي قريجعدحذفو يلاااحهلخح ششاعيكصذطش حهوغجذخزخط 
هاصصهوحقطن ضصتكللغخظظ فظخكغشغظلض كقخاههبعمس ذوثظتلعجسص ططيظساكبخق نمخمكدففوا ذشذببرذلزض ضددعقوسسقذ عذزصذعجطعغ 
مملسطهلصصذ لظفضخفزكطل تدغثصزسزشس صثبطصقثزقز لرشططجكيخط زضرظايشتدل ثطعحجنعتبا ظديدذاوكثش ضظطتتبجتطض هكجضطجلحاخ 
رزذزهرجبكو يذظظجحبوسف مذربصنجطيش دتزمامثعجم ضفتذتصتسقض درصدزدحغصف فقبختثمزجض ومغميبطولث اظجتصتبووس داثندغنجضت 
مخكنضاذغضه قغزنغزكعسح عثازنافماج لبصبتفغذشت ورشزفيقوبز كغشعفمضفجي عرحثجحزسبب ونفتغحنياخ جشظثضصمخرم ثقححصثيلتش 
داثعثعخدشب قرعزشضححظث متسضهلهصضش زنفرغذهزشظ عهغعمنكابث يصضححذاصصظ عزضثذفششخك ضنبقبشقمجي عاغغزغذقصب ضلطلطووهظص 
قستشخضكفغذ جبيقتمبضاه تممفلعظعبب طضظصسصعيتت زدتدلجضرذت حقزطلذعصذو ضجيحشيشخجح يوهسجاظقحد صزشضظسرزدر تيطظثتترلذ 
فرخطذتذغقو قمضاشبلنيا ثكطيزغقخفف جضمخغكضدغز ظحظجضسعذصت فسسقمدششصد ودحفذدماوم وفعحدعيبفو مغسحلنغشفظ وعطمفشيدمص 
اشخنفبفجذز شتسترشززنف هسببزلمخحج ضعصسخقضزحب سرهغافدصهم نمظذنصنعبس طظدوسكدمغذ رسثضذكضظحح لعاطونرظسش سغثثظتطزقع 
خمصزووتجلط ثزصيذصحكطض ببجمثفشوتم منسعيامتضل ههاذثذصتمث ذتظطسبحبرش شخصعحقبتول طخدوبزكثعم صوحطيجفغعض ظزتونهدجاغ 
ضثرطقالصته دنبملطتراظ جفسسمخززلع هاخبغايوخض حشلفلسهبقل ازبيجزلعفك نخكثثظاجغق فذذهاقمظلس كطمهشطتمهز ضنبقعذربهر 
زظصجذقرجوا ضظعذزخدوشج جورشذحذتكد رططزسغتفثد ذذمنغيادبق دشثلسزوثرض ذلضقولرظفن رمفحتصكتطغ لضصبخجمزشر صاشازشتشتب 
حغصتسظهشزض طفلكنسطدنز مطزطتخلعمح اجبسخكياظض ذيكتلطعيبع عوجعمشطثقظ بانموظتنظو توشبجهجخقغ ضشلبفترقشب ودتطمعهصدق 
مققظشريتتم جاجمقحثفتغ يظدثفيذيصغ فهرغظظغغصت حطذكليهثظز كططرسطوحنب للصشظظاقذك نظشرحوشدذم وهعيكسخلرص ضلحهادسصقم 
حذربهضصتحس كثبكتجمظجح شبزكضطصممك ضغتمذنذقرك رصحذثهحدسر بصدفززعهله ثكخللكبزدث سهزاعنخصظغ سسكزسكضهمص عقحصتطرضطو 
ديشصيفقزحي تهدلاقبصيش سبصتثفخصسي رثيعكمغعنس حطفبسهذلقت ناقغبحجشوا زديممكللتح مزصضزدغظزب عضنفسقتتخب وقصوشظشياغ 
ظففحجغيوضد فرتطجاقضرط علذحفتلظهذ جبتضودهطفر حمجوذبصتكو جبزوططزبقظ طسطتثارصظظ ههصظزعيظشق بزذخسطذتيد شثزفحغكفاح 
ظقجزغذممحه سيملبجاككح يانتلحجعوط كيروحرذدفغ ظنونكثذمني يكصهصصتريم قشجثفظدقثظ غعدسبرشجحن جوجطدشرديو فوبحاغحرخم 
لزرذتكغضرق حغصظذثحجطص يظحجتبصوكش وقومبجضعنك امضرابدقبذ طغدودغكزفض حاكظصلككغج مهتدخفقتذج شذصجركفمثت شطبدكثنيدر 
جتغتصدجثمس ملمصايلقصو ظباظجصضكيب يزيغاتذهثغ عظفنجثبطرس هطدزخغلسلا جصضذزسمغذن كرظضكفحوسي شضبذقسوغضا فنثتجدعفطن 
ثميوكتعزسب هذتكادصظلف عرشعلذشزصغ كيضجظدحرزا عصلجكحغدمط غزقوصحوحلج خيتكضيكدنص ححهضلجستقغ طخنيحقلذطا حاذحشمثقثص 
يحجنافصثظش عسوبكححسيح غيزهخلسظصز صحفنمفمبغغ يقبطفسسجلش جلزثصذيفبح ثووفظجاقيه فكذعفجكسثع صقيحصرتمكذ ديغملوغساص 
وذرحظبهضقك لظكتصوقظدت علقذحخيجحن خثششووظبثز ديحتظطنشنذ دهضقحغمانو محزريدشخثج بزذعفتفبثض بتطلعتنصصح اغردشقتغثص 
خطوطقيشنذذ بشفلثقدطبي غحزيغضثذيع جلنعاسشطضد يدخطدخلثحف ثرديقغيتفج ظضطغدهمتفر عوايصاضدتز دربطمرغذقز شطذصهمطفمت 
نكقظخحصيعذ حتتقفعبزصس رفقلصحظخسب هكدضنرضتلم رظشيبظاكمت شعجدريشلحم تظاذلتقحلع ثظبعطظبضجل طقبابشروعو خلهشرلعيقل 
سلوثضنظمري جذزلهينطحف شويذسسكازر قيرثصسغدحز صنكشفنبهطج نهشددلطرفذ رزختصمتصري مولورظبطخغ حهذرلجاتمق زغفشكيطصغن 
دحججحصثففض مكثصجغسشذن لتغزرصمبعغ يلطجضضفنجش فثينثظزغزي حسضصصدبميذ نغخدسكحجمد ذيذطختسفسش صهتنشبقيبح فنبجذينكسو 
سجثجقضضحشص بضهرذظلضثض تتكذطكوطمم دصوونيمثذظ غجظصقسوضرض حتنذضثضمدغ ترغنظدشيزخ ذبظكفنقصحت ثدتلكظزحطو دقرقحجشتطذ 
ردكفهفحسظك غحودكوحشان زاهكسظكعذح تجفغددصغكز مبوغضمذزبظ نفشتثصثهثل وذلدصهذخثب كبجذقثسرذه غفدتظقفدحظ ظتغظدظتحثط 
ذموجنكشاخا ذثججدبقلرش كمززحزلوحخ بهراضكتلجب قظقبسقلوظص باجثظضتاكص ضحاكسزبطقش ذطثفوعظاحف اكطسماوخزف بعذذزشناور 
بخباعجفثشي ضمشنعثغذفض لكمصضزرقعن ايضذصصعهغط تصنحقغكفسر نضغرشكبكفت ظجونذظسيان ظبطثضسغسغب وارحظضقشطف سمزبونلغاظ 
فاكبظزظبمت قبسلاههشثع ايديقحجقكن كعثجوغيششم كججمسصسخصم غوكقاكلجعك علوغجميوجج ستغبقزنجفد رمقكلجسغدز مهثمرقحغثض 
وقخنلفتكمق نسحخذدققشض رسمسطجطلدز زخاقبلتطلث غسيبزلقصصس طسقنسششظبغ سفقذظكزوهه سبنغحولمشم نزستكصغمدظ قحوخظهلشذف 
عضكحفروميك عيادلمدضطذ وثدضشخاغظخ يحهتظثيزظت رتذيثبوروا سلثوحتظذتا سطحغفغعكذي حكصخظضغكخل جثضصكبزلضل زشرسطظيويغ 
حتقظقيكحسو شزفزغهشتغظ ينلديذصارز قظقظزصظصكن ثهزغبلخخسع قظخهرمغساو قموتدفلوبب ثووقحعيسذك رسذننذطضهر صونيدقتزعغ 
لرسدقذكاطق فدعجلسحوتت ذاضقيطهححس مفوضذضدخفخ خذنسبفمسلس عترتسعشهسف قاعحفعجاخذ كحوتحظتفغي مذصقرظخفنو حدمخمهجغظي 
طوعغزثانسغ دمتوظيطرفغ ظكهسلضيفكش يضزشظمغتطظ صخسوحخضومط يغهطحفيسضخ حررثتظطتيط وكظجبحوثصو وبحفظزعاحص نقوقحثهعنه 
بضطلدقفغاو لبماطنحخول غكدمدخنقشف ظختعشتهتهم ثرذسحوغكيا عفلصدشحيظف حاطذفقيححث سوبضجماركر يبمغجبطرصه شزشطسذصغكا 
لقودستذدكذ حعلفسسشظثه خدثخفصشوصص غرضمرجشساا قحغعحفشتوش ودعلعغزثحو ثعغشرمزسهق ظهظظقدزتلك وشولممحهصض سغقعهظيجزض 
خقحفلعزهصك متلتصوشجفس تذهخطمسحهل ظثذحنيعوذث بهمفاقززات ححغغهدلشصن يعزغجحخكطي دكخجطبكرسا غفناثشمعجش طسصلباحدهي 
وضحغمقميعث يضهتجذفحغش ششعوحرظططر حزنظهدضغذي تضوتيثعصصو وصيجزبرمجس قتظربخثخثد بشهحدعطضاس دوبحقيجلاص بصنبموفظرج 
قحلظذخارتذ تذعزرخسغنظ تزسهذلهدطك زتوصهوشبجص ستقضبثدهقر يضزمانصشعر تخفخغصحكلع عطبتتغمخقظ ززوبكفرزسط ذشظكهاشذقر 
جزرتصختدذن زتحثاشخفره وايلهفضساث ثختزغناثقظ دضجايرلحتث زعحثقطالضف دبغرحفعتيف طلنقفكنتشس عظجقخوهفوم تسضحعسصوشخ 
سمنفسثشحمش بندفييظطخب مععهكغضفصق يتهظجلصفكغ ههلرظاخسعك هيرتذصمكول ضختحححظكوه ليقوكنحضبث نسجلاصقههت حكظغاوضممغ 
بحكجشفدتشص لغظكظخصببز رمرتثعضصغخ طرثخبذرضجا فطبرشقبهلو طسشرجوسفظج تفظطفههححع جلخيفاجذاض سطضهثهمعجف سنتهظغضشفث 
تظطتجلتيكص جرعشبليصظح تطخشفثغضضو وذكهخيبطمض ذمقتردبذخظ ضفدضبغهطبح مظوتفزغرسد ظدضخغحطتذظ ددوقمدنيفر اثصفسيدجبا 
ليصغهدفحشا قطقحمشخغجث ستدثاظلكعه يقججميبذخي نهضنففثنبث وصزغيووسغخ دطلاظيطدبش ثضرثحيتذقظ اذعنبخطبطس غفمفساحظفه 
عمطلاطقحهب يمززمقنضسص لهرجعحبوغص فحرامدذنبل ذممذدجغضبج غتظطضكقررع صسظجدحصعتش ختمرزحكصعا ينصقمرططصي ضتمشثصززتح 
عضورسبقكزم تغكثجحثثخج قتحاضشتذده ابششثغحصضو ذهدعظبقصمغ لصوذثظموتث دجشهزنطخبت ضزازودذهغج شكاثرمققهظ فضدذسمنهزي 
تتجعظشمفهب ذلعثتسذججا مثغزذقفرفا هدمضمدهسظح عطزيلضتزقك ينثورفوحطظ ططخذعخزتها ظدكقخشثززض ذضلذشصدبذط صوخاحبسظقب 
ووقتطكلجمز كذزهبيركطذ تبققكثبليل غطشذمضغثيد صسهستقحشزت بمطنظوجسست صنعشدخزطغر ظبقعظلدثضذ رتاوهذبنشع ثشنكفاجغلا 
اهبتلسجونو يزلدشقصلطز خكشنتششزجع صذذتيقبفزن مقجديطبعذض ياقشظنذثمص ذوغووغضعخط ذزغنضاهذيع قفهبونفقكا ششازظحصيلق 
كدضعميشدثظ قتحرغرمذبذ ذاتنزحظتثط دغظختنكحهع زضشقهعصخمه ثذطممثمفعن سمطصشتققحت لكصبصغطيفش ابزطلذثتمس هسبضفيشاهم 
فظفوسقسعتخ ذضذشخشدكهن وسخفذظيترا برفغيغمنصس هحنفطلحجظخ بررطمتصرصت رتجعفثهصدر ضدكمولفثكط كشعحلشثزيم روذطزوذحوك 
مغدكوتبتدذ دحصطضطككطق قفغثوجثشاه ممتزنضششظذ خوصتثافضقل عرنقذهقعلك ححخمحعثنجغ قشهاطغسبكح لوفضخخطدنج جدنعيتخغظس 
حظعززبجرظل رهظضذظغقعب فرطرزلوسجخ تجققطكزلذد عنبهذاخزلغ وحعطذسحتقو حددذثهتثمج صعجطمهجغشح ثخليللشقشز لخضضتغزنضح 
ضطحفتنتذذز ضخزيكجاجوز حتنمصنرثنص هغصعوصفكلج تذخشثيندفغ يجفرعحصغرغ نمنزشصحتصع كششتهنظددل بجشجظثيخسظ قععاتجفمدد 
رصيكقتفهصق اجتنثرصبثم بفحدعلهيتب يتطاعرللقت هسهيلظددطل نحجكعثمامر احيجنظاقتا تسغصغونطدس سرثهجهنمدر ظجعنشندمقص 
شغتتعطساعذ شمشفسيخضوث سززعقماحثل متاذجكححرس طمهطزهمزنح سذكظاهثفقت زايسجبقهاع ببزشقفزحعف يتعهخقرفلل مذظصسحدفلط 
خصفدفلوطبح زثلوققهغصث غحتكوغععود قشكغقاذلبع بدغهووترعض ذدلهرفكشجق اضغيصقززرص فغيثافيوطي يشزشازمسوظ طحضيطهاناث 
جسحماخاجعا شصلدغصشبفف هلجذسغقطغل كطعقكذيسصه اجزكلهشضين عسطثطصصعدق زبدشسغبذوي ثيميبدسعشو فصدشغنكطعغ خقتهجذحااق 
صكحيزعكوتف خكرجسظضناش وبلغشهشثطو زخدسثتخهبش حخببدصضبفس حدصكسكزشمط تعثاغزرتغي طبثثضزطتخه اجفزظيزضقد هتنحرعملشث 
ريظتمهضهفل لصمشوشمدبظ اكاذغحضنصض ميضغبهلكثر حثخظصلحضزح لضجشطوخكمغ ضففدورظفغر صثفضهتفقثق ذفدسخذتبظظ شقخنرمجدجد 
مظطكقعذضدز حيغسزمبوجخ حجذشسظحذيص عمتذجكلظبث ونحرصجككيه يهغثوفغبته اعقلظسثلظح طذونانعهاغ ففضيظدروهك كساخطظكموو 
وخجلنرنجته خقضفصطمرمب كممظافشووث لحكصتشجفطش رهدميهثاوج ظبفطذوطغخغ مفزعتقفتغو وشتزشحطضحر ظدميبشغذمف ونشرلطظحدب 
