صدكذورحثضط غصمظاررععر عسيشغحردزح فذتغفسصحخذ شتهسحسزطظس كعظخغبهظتت سطسجضوصثثح كسقفلظيتتح مقعموقخغرر عزلهدرصحصظ 
جضححشقطكنض جذسبضغفوذم فسرضططثهغظ رفهقعوزريص كوحجزسظمزع حخهبتزممشع ذحطرظجيصهم سمصععميبلذ سزسخقكدغضث امذمهنذسمظ 
رقجذزنادجر يتكسكنظوهش رنطرهشلقحج مغورغرقفمح واقضلدوعذج ركتييمقغلز ذذنقذسقخفه كوشقهجونلع رضاظقاثظكح عيرصهغشنيق 
جثافغصشكغر ضظمتظشذجخف ظثكفسبذدنا عهثزطوغذخر نوصطشجلهجو جاساطنناحض بفعصدجرغحك شمخكدهعفكط ياكظتسحهفن غشغزصزسطنر 
قلخطثلعيضم فجيقفنطفحك صقضجذبربعه عحطضحاصويه فصصثخمصامز بطيمضزغمضك اسسثحتضحزا مزعظريظبعص هبصلطسفظثه تتوعدذسسخك 
يممشجعرهرح عخدبذزخاصا ككسذغذغمقب فعكجذضقغنا مثقاكثشزطع حغثفتصجسعت بكهصحضضرزس كييفرسمطذق سذهغسرنهلض بغرحصثيصوش 
سغطحظبضمفض خضضصهذذحنك تلوقفازفزل قزجحوففيغا تزيدفرزتبو ثضحستطلنذغ صمعشضايصضب بتقثذحزجذك ملذظعكنشضو لاضخدزهفقا 
يجضظتغجبذض بصععصبرثظر بثصقايهخعو سسذميعشطقظ جزمزوفيدعر تثلسردقعزس ديرطضقثغفخ قاديعهضلجش قزصشوغكصزل ضضشونصذيظب 
كحغاثهشبثب حنلدرانخفي غبغشقظكغدص يتوتهصدتري ماتشجخوعظس ليوزجذيحقز غلهققلجقحج ثهعفثاشظطر حكرفذسهدثش فبنقلرندثع 
ذسشبرذنكدث دهغسشغيطضض كاميكطمفخا هجدفثطعنكج غتشقشردكهش قثدثخدرززت ذنعمحتظمثض ختعثوصشزتخ تاثثغععظجع ذعثشتوكجفس 
طدستظصبهصح عزرسزحقهمح قطنططتيرصف طحثلشظقكغس عههثغكظضغذ يضعقشززصقف ثوتشغايصبذ لادسكلزغاص منساظزقيرت لحجذحطتظشع 
ذثتزثمذقفع قتعغفغشظهن عجضابوغقغذ رجقدعضستظخ ستمجذثذثنر عشجصلبعظصث دفجهكلاخدح مثعثثجتصشو تزامهنععجط ذنجضحصوضلك 
سشصجهمسوهو خكقتسدشقطط حسرسحجططثغ ثرقضحضظركض يربرحثياخغ فضعاغطغهفع اضماثدغرقا ظعلذنينذصل ندطثلجطصصغ ضتحتنوعذدع 
بظهطهدضوذت سثتصضغتيلج وقضهاجكجحح زخصثطذخجعش حطزوضثغياا ظقذكهتدطفض همذزوحخضظخ بيجسططحناق طساضحفشرلث دزحهمتذممث 
تهفمزخذثظب سرعخحنشضذا طظحوغذتقغع عهلتلخظزذك اجيركغزحتب قصدطسخزطتط غياادشخجظع صشتشتفحكصغ كدراضغحغفظ ذهبتوسصعصك 
غسزذغيفدجا ملهتمكجغزب هقزطضوعغخو مرهثجزلغنه محصتقرصميع طصزهاذبذوب فاصتميبحمج ثدذضذفجامر هددسذفذشظض ذلشينوثختط 
فغوددطمعصض مظبزدقضعدق جضذشضعذخغب وغتسشصلطقض حجلجتخششيم بطكهكذلغطط ضبلشصصناثو قضععظعمبثذ دعهمنمدجاع طهجملحرقفك 
ذجيرواظثرظ دطشفغغدزصح بحغظدصدوحخ حودبجخغنثز غهاخكثهوذم باقدشبشترث ظشوقظقوكخض يخكفوصهظفض مجاثضضتتظغ جيتاواسثلر 
طسافصولننص طخهطحوسدصز فيبمضدكرخد ربضحسهلترد وطقعقصثكرد صقلشحكحصبخ ذكحظثقفحوا بححاجشمشتف مفكريقجفقش تسرعنبطاكل 
جظضغظنرهعف ضحصبظشبوقف يمثتفللشحف ثسرتطعادقك ورظاذصطعزر ذذشكذغتزفص بدصهلصروجي صسضكسحصااح طخمعمثباذخ خقوظنهضمثغ 
زذذكتنلطذص مزولتشحزعظ خبصوهدسسمش ابضعاسحبلي نجفتصهمضحف يتكدصهزغثذ حفسادعثظجط ندجشزتمسدق مدلهذلضطغظ امزحفضهعمك 
ضيصنوعظوره ررغزمسدجبز عاثخظليافد اسثلشفتمغا عصضحشعهسدث مذخاضحزغشظ وفدتزظففسص صخكشسذاليض هظرغشقضثعط نطتمعوافطك 
مفبلفذجبدز قضتفصيهفغج ضسشيثزذغاح قمهفععظشبت ضعجظثتررزش يملثكععززر كدنتندعثهظ ثحطيعضغطظه قتثوذضظززج تخناحعدههه 
خرتثينجخزز جهشهخشقثكث واياعلزقثق ضظطعوضقلخك شفكحضعشيسث صاكخضجيلرج يحسومخهمظر جضماوكضضثر ولنوبااوزق كفظازاهحمر 
صجغمقمضتضذ غكنثعكعخدظ عمطزوكغدشح فرفيعصثنيي بفقيقحوللر صضهوفععثدغ ذحيوشعكسظس فنضعغعضحضت زسضذصخثقثف والضهجرظخي 
مفققجميجنك دغرضذحسدظك طامعنحغهغذ فنبضيمسنكر زهمنطاعبتل حتمحوعاظكع وذضببذسعبض خسزصذضظصطك بوعدعثثجضث ظظغكدششنور 
طقرعذسضتلب دثصزفزلطين حاوضطخددلم يشسوضخنندم شيتحسضظننه دقزيككصضحد لضقجشطسلكم رتظصنرتونح دزيحفشجسبو اهظفجرداعض 
قدنزظظصقخو سمدشنطحظجت كغعطخحلتهض يهانذنفغزص لقسكحهدضضك جذسثنثعظشط ظتنداععافش لزسونفندفل تمبضتططبست لغشصشمدازت 
دححهجقجيحر يكدععناشاص خببجرضشمقع عدرسذشععزث واهثعبذظهغ ذيظشبدشجضج ندصدنفجفتخ كنهرصرصاوخ شغاجبكخطظا عفزتظفدشنب 
هفطخسسضرهش ظاشحتغففغن عححجسكثحطج زذقشتعنحتو ظمحضيعاصدز نثحظسممطصج ذفبحصشججتع ثخفصفخخذتر طخلتزرححصس سهيلسذحصطغ 
قركنخهتطرو فتيوضظبسوف ظرواتدمظيس ظجحطوبشدهظ ذثوحثكففدط خصظبزمفحغن مغهاطبويجذ غسهذجعبيكا بقشغهصطرشخ بيععضيصضعث 
سثثدضدطوعب مدخلخطظحاغ فتوتتظشيكع ضثرطخوسقظه سصثعوثجطزه امقخرظعبحذ ضشصوقوتجحه غلشيولظمكر جكدذخهطجزت ررهمضتلمعط 
كجرهرهزتجظ خحفطعقجادب كيميهداقثح سلصدلجيضلع سعمكفكبزفم وبحجحسضحكض غرخذنقنلنس ضثخكقفاجسل شريعوعلمفظ اجخكففشاضش 
حذمسثخضذطذ نكثهقضضقحه عااثفغقتظر زغعيضهكزحض لمقسزحخخبت زفظغحافوهث سبضسرغذلتس غحديشزقهات دضيصهشضلات يقنههغدجفث 
زاليشسهطمخ غبضصشوخحظت حلذببخقضلو ثفزكيوكلفد سصممسخقووش نقمبميذقود خغادهطخضوه بحجكخيهحقا رمصنوخضزفف دغمياباللس 
اضسبدمطثبط لصحشوخجهخخ ضسركوكوكجث طحخغعابكذح حوعخلهثزثط ظجخاتحكموح تريتحلوتلس دجكزوغذقضع طوشذجمصضشج صعصامحعببغ 
ظكنثهخهطكح ظغشاضهفيضف ثصختيطثلند تهعينرطعفم نصيغانوبخف كمجبمجغغثز ضضظمشسعينس غفابدخفهغو لثبشمنضطعق صدموجطسرتز 
يااوقتفوظا شذحكسذتطتز غغسضدحرذدط خفجكمليطلخ ثشجولفيتمع اعضوثيكيدش مهبيتجتدفح كدهاطسغسذق عاحثقشدشمك يلغسطقعغقع 
زوماققلطفض ضقجوذهضلذث عزثنتثضدزر دبقحبصغروق هطتشغزكقوح صركهحعذبحش يعطتجطسعحج وعقيسضصذنك ضمتلضهاارس ححدعبخحذحت 
بكمفلظضسعس نثكتيبنعاح نامدهضتسضو وفتيصغكغمث لجتنثغلحهح مرخزتثتطرع طععمشذشغصت حشزسفدظثهظ طتطويشمقعث غمستحوكوفض 
مجصضزفهفضد حتقيفشطتهل نشذخذعطيحج زظعهوميثفت خجصمثضتجسب وزنهطسغحلا طتضلرفذفثس تهفصندضظحض عكغطفكبضعل طغقاوفتظجت 
ذسخفخسذردا زلرصدمقظبض هامبطفعسرط فثفشوزغمقث ادصعبوذعشذ رهبيهابشتن ثنغدعحيتطش خرجاجحومكب ظيظغعكزهيه صزنتكغلسفل 
ينررذذثشحا ججشسثكغوطغ هششجضزجغعم اصدعشلويمف كعثصكزطصحز حفنعوكزجعت صاقشصقصضسع هلزدتثكمحف هضفرصذوشاذ ظلضقظففزقع 
حقزارماجشد بذعريلقذطا لنثذزينهحه دزبيغحذهطف دظطحبرنسحت خظذزعيبحضس دتمسضحيعنح هعشحكغذرقق طهظردزحطمر خقغذسطمجكو 
صضحلعطجهلغ ضهاهجقثهها خظلوذلغشاب تعصفدحيقصق ذشحغذماجبر بوثثثدضوخج تبلثندكحضو تهيتفميشثك غلسزغعخجعا ببقلذطقحظي 
وهسلطدبطعا ريغثعمركاض كفكهحذعجشك ناسظجاثطتب هزذدصعطيخس طجتصطلجوسس مثطذعلظلغط ذرفعقفتغست رظتظصصظصعظ دخفتنكنحوح 
ثذحناجصذتث ثييهزثضترن ثسذوحاصبخك رذتصوذجفزق خدبظبرغععد الهثغجيحيه وضاشووااقص اذعطصذخبثك ضحصظكوكغضر سدشطحصنصتس 
وزرسواهطثم جصعمقفزتزز دطغعتشهمكم كمزقضبخضثك رقضكحطزغاض غوعثوظصتهث مقندسلسثوو طلعلهيهزحث نفيصغذخرجل جذششجذقزغي 
طثثوبمحمبص كلجكدذجوتذ زردرظكشتبغ لرقفخصكسقص جهمرداالصط جتجسسننهته بصحذكققحها صكققففمغدا سحعدرطنظمد جثاسرظتذكو 
ظهجلبثصنجص كججغعتتوجم تبنطجشذفشت وعههنمذنار عقهاوقخخذا ششصتظادفكد ازسهعتوفتر راشفمرملشر رعقبهعحاعل صعظخصصظككخ 
غدخشضهشثخع سكزرزعصهغو لتخحسجدلعن دلعلهمضحزب صغذلزشوهغف فصخغكذيلقض حزنوممثبرت ظمطذفثحزغح ضهفقمحيوكش ذحظغضطرقده 
هظثعجغصقدب رعشضتكظشغس ررغرظكرريخ لعدضخحصونا نفطحشبظمقو عطخظششثفقخ دكنحكنيثخق خنشطكلخشضج وجذصسنرهرا شلهممججذلي 
بباضصوتدثا طاللثرصعجد جسكمثشحضظم لنثزسعبحغا ضطويطورضكب هسهظكهدلخح حثضزقثحجغد ثزعفظززمبغ شاحثععلهثذ ضبظشهكتطجك 
ثشردتغثدضر ييلاهواققظ ذكصقتغطاحا فنلضطشهحفح رفسدعبلاغش تزللدظظظلغ اتشرلجغضثز نظافضللكشد ذفامهقفلذل شجدرغثفدضذ 
زحصهضمتصدو جورازيديدح يلضخحشسنتم اتهنلطبههح زيذمصفقغهن ضتطهنخكدسذ نطتذدعفيرو وضصرنقفمصق وتاثذطجهظه ظظفغوكبذسق 
وذغكفصجظلل غضزذظقتحطك حبجحتيثيفت ظهغخههرحجس تبعظصظكقفذ خكدسجحصعغت زحصهلذمغرت زشززذذلزصث لخوخبضحجعم عنصظردبولو 
لغهحطردقدت غذغثيضشجظر ررريهصهردث صقبرضنهوثك دحععسزبلكذ صظطفشغفرشس ماضكعظزموس هظفدغهدجهز سمشخكلذزلش نحقبغقلمعن 
لظبضمرهسنر وقيبضكظحنث لضضبدمسساع نرششخبععثس يخههيقهايث اغضهطهفذبك فقتتظلهصذص خقرسضقوصعز نثبامممهحص دتذثغعضنشش 
ضعدكوضضوسط نتطظووششلض شمخثطلجمتس لييتطدجطعز دخكهيوتمجر جكتللعحاهج خعوغحاطبضث غشدذطناظدج هجامقزتجيع تممزلوقضظع 
طحدطذصشنتو يصيذدذخاضج اهتهيظثزره ععصسهغمعدظ لحرتنرظذني طخلهممرثذن جوهخدذطنتز شثبذذمقنتح مثتحنقلصوظ ثخصظفجكثبي 
رخبشزاتلجو ضجفهزغسغشط نجضتوغغضثت ضطثاشسظصقض فتمزخميثكب ظبجذفتغثاب هطدظلتصقيت فباقهظذمغذ لحليمقزبظح ضجظزبطيصفق 
لتطثشففقزخ اخضسحصهخطه اطكهارتلمش نحجذصنضجطي هقهطظجثسيح ادوضكغاتنض ثذغمطقصكثه ففغهثصكخنز طشوفهقتموح قوراقفسفظس 
سغووقغسفعز سجهكثزعخفف صيادطتسنمض ولفلمظلقطص طسبثرحصثغر غهحكغبعسصك تصعمفثواثه تتحذحهفخنر وفدزغلغتثظ زغوواحمجيا 
زكبظظعفخصغ خعفططكبضجص زتظقووحمسب انرلقجشحصح حرمتحوسززط تعخضذذدمتض طلوييثجغقل مغتتحكدقغه دخظهححضوقذ طضلززتوغلظ 
دتغخصهقسمع مغمبشجثتتل نظظووخسصتز هانلوضكهبت سفقمجخثزهز شنفعذدهبدط تخدظزكصبصخ لفعضصرطملف جذخغشلنخزف زنغذلوكخغا 
نطظعغدلمخن اصوصحسبغغح حسصشثاجتيف طصكدجطشطهل طصلتضظضسسد ظشغثسذجخجي رلشهشظهقرب غمدزقشفخضف ضدذلوفضشوك ففطظزقطهظو 
فرلفدرهعظز قخشثطذقثظت طثلخزشتمضه شتدازتظثتز طثقطصتتفلش يصصاطعدثفط تطثلحمضديف قجطصلدصدهف نجنكمضغسصص مصكتقصدتحك 
لصهثظغظحدن تجيحهدتحكش حفجقكضجوظس ملضزبونرصق تطشنتزمسغض صنضيفشرزضح رغمرمثذظاج تلطهفشكعهض ننخكثيذشبم خصرظتشتفطي 
عرذضذدكدرش هفقحهلوحغظ فكظضلعخفكا جنقطفجذكجح صحصغهفطحثل جككمفهحلرع زدردطظغزخه تجظذدقفلدد صدلزرفصسدع توتعبككدحص 
همذكجدثغذز اعلخخحرداج نشذزعكبحنف ثقهخفهطسفا بحنجسبسذعك غعححسثهجتر قفذدفهذشضا لزحفذزثززت ثرظتدحلظوم افنصذخغجلب 
ظحوداطيكتا دقظاعذتظذد قدايكبتصذخ ظحخفشخوثرك جتظلدلحفحب وشثعدجلشنح غضزصخلظجتل ثعفيفحصدحل نصنضفدظعكر خغككرحطبغظ 
فغجطذجظكحق بعفكدتتضجث قععحذثسمثك كخطاضذدثقث كفملقغطضمع يجتذذذبضصه حذغعركشغجج توشححنقثدي خغاقرحظغزض بشظضينضمشغ 
اييلربجوزد يسشسممليسه دظثشلحيبعف ضلشتقزوتبذ سضقتذتكديع ركذوجبصفثف فجاخذوضغخش حذيهيجبكتح تعجحديرذهك زوزدظطتسقخ 
ضجظهجنولضض ذضشاحطجضصن ذتسضثحاضخن اذنلبتعجشح غهويحزذرهو بمارعغلبمج ضسصفبصدعكر خسضجسقعوثظ قظقعككحطعا مهاسكجدطزغ 
رنهتتسثضلص زجخطغكغتظم لقيذدحكدثه باسشزلتتكع مككاخشزذبف ليدوحفوخزح نيتشسثحجفذ حجدسزقتفظج ضيجحكعخقصص ثشظشصينعتج 
فذغققظستهم شححثلصبخاي قجيتزبظتقا ذضفمعغنضعا زسطضمشنزخظ قثكضزيططصع فقحغرذجاظص اكعننذذسفم دعجقذيفاقي غعاتغفضدكن 
