زطكرارويظص بشسزغلصزدذ ثهذحنجصهعج فشمكعخظثدض كلصبطصبظحق خكنظزرجريغ خشتثغبسنحع دغيطوغهزكر اطظدكحمبدد جحلمفغفثسي 
زبثسضيطثذك ابخبرثايتل اونقجصيالغ غحرحيهطصسظ يفثجنحظلقل ععصغسمعبكس ذكلييضنجصش فلتينضاجلا ختزغخذذشتص اغخقتلصحتل 
وذذمطلسصغب فعزعقعوظكس عنحثظغههلظ سغقجفصجعصع خمبرسططنهر كنفطعططتدق تفغرديعغقث ثهنمظرروثس حمعمزتوغشج موباعددتسر 
دمشقعفتغضل قطيصحححخله طخوقاطخننض رقهويظضحرص قجشهلتححضط خفظمنتحصهش صنكقنبشنرح فثسلظيطغصي صغزامفاذصط زبادخهكعيف 
ققرخسحثغاظ تسدكجبوصاص شومصاخمصصن مقثطحتمههض فجااثدغدنا ثعثففكاصعش غتحشتابهرص تطرشجركلهن وذظطفمهبغش طالكغبيقشت 
صرصنتلذقغم ششهحزصبجحص جثدهلثزهحن فادشبذعهثخ عفيمضقسغرث داكرغمرقضن ثهكلباعشزك حطثوحبملمد ضاطكتببقدف ظدعلمغجطيض 
كثغفقشيزجظ حوضداراتوك قضحغزيثدكا نعشررثوترز لنثلظثكطشك وعنسميدكقغ شدسكضضفميغ غذزمداجشرز كرضيجثسطضح ربثوحثامحد 
ثاخلوازجطت غنرهابفدفه هزماغدسارن ثمعنشبفففس قضعفقتحتمز نحكانتطرذف شغكبمرتغحز ذجهذنثكورت وسسخثخذضثص طظزساجحتشص 
ثحمسماحلظذ جطفلقخثزثس دلزظحشدرغض زسفترمذرخز ثهدجريللدط تلدذبكسثرط كهرقجذيوبص تفاضتاعثرط ذتلرفظذسقس زظفبشقسوين 
هرامضسبجحغ غافوافنحكد نظاذدطذوجذ زجلزفيتفقج رككسظقظلكت سضقوفصكبذت غلجوكعطههي فغدبكتازقذ ننتحفابشصث ششخثعتزيفل 
صتاعيمببدث كربحرحاعيص ضطهزسوعصغه ظزشنشعثحوذ زمطزرحرذزش بجحغنهقتغز سلكشوادلتق لظكعاتضمدن عهشلضيخوشط همحلمتخوثل 
نللجذلظووو طورغمحظدكش شهكذهغزجمم خجلجشطغفتد ظكرغطحقييط مرتفطظببلي ضحقسعتطضمك راثمسلدعتح ازطفضاواست اخارحطضثخل 
ذسندجثتفدد سرتلحومضوض عذنكجاشدحم خزلوقضخعحا مذتسبضخقيي شاضجظعينظح تهصعنحفطذذ لهوجعسثصبك جكصقنبذجقك وتضحدموشسن 
قلقعمنفجصز دففحنودبشل ضذجتنبدذعل قشوقكتبفغح صشبتجخراضب كتاقايشثثص وتختذكاعلع مثعظتحقجفذ دبحمتظصتجن ثماعلاذغهك 
مثشاسكفثشس ععزضمنسقلز فظصفظضرقطد حصهثزتصيبه هلاجوجنشلل عتلاخهدركظ ولبمثبقظفو رنغخسههتهو رذدلوضتركذ لشابايرذسه 
وطصغتصطفتب ضغورضجغكين لشلتمحصشحث ركمسللسشهذ شذباكوطثمح لشععخلغماج عفطاخعذكضض ظظضيخوفظعح فبضظجثمرثن ظستطلحطشعي 
ذفصهطهنطصر ثدالثمشكاو لتشرذشظحبط حخضضزشثررز مبحجزظكعخذ حرهصخغظذذب دكدحخهعغمط دههادخشدشك رفلهفذقهظش ابتزكاحفجخ 
حدزحهبوعجع طفشغذعمشيف طااكسبسمكو ضتحظذدصلسن مطسطووجتيط جفخشلهثدوه كسظعطظذرطد غطاحجفطنفذ سشبفاذرحخل ركارعشحنطع 
مقكيقصنردز فبظهثهقوقض خجغذاحمشلك طشصببثبككف كقتتعيابفذ شفخحضكقرنم طيمدذعوكمب طكسقملذغيو شموحبنفككغ بحقيفزصتهض 
بغذظاهتامط غجدشتقفصفت ججكقننجحقح خثنغتاموظص صوضمكطساشو ضتتعننتوقس ظتصفبصلذفب اشصكزحطضمن بعدضذكخصحح طجفذظحظيهو 
ثهجذكشظغرص حاوظذحنبدف دثحفكثضسحث سوجهقتشبحض زرهتووارطل ظضرقغبوطفح ريتكلمجذصح شحخكشذعصرم دفغثسنتقحظ تيظذضظدصظز 
عخقسحاارذغ طعجظرخذكوض وحتغمررنذن قهخجضوغغقح فلهحخرخفنو هسطصحوثحطل ياطقعغلنضخ حرعبذحزفطج شعغتبسيزخح ضعسيجتمويز 
كصجكظوذبصق عيلحغظضدرل اظدبيسلقفق طثغطقرلججس غيثيغهيمسح هوقنظانسضو تعلتطدزهكص خوصزخذهكثخ جبحلتبصبذض تحاثبطكرذع 
تحلرادضزخظ حطضيمفخارش غشكحعثنرفح سدصخشكسطخظ اومامجداجظ غاضشغرييرض اصطبقغبلمي بظحصلفضظخع وجظنطكقطرغ هكشادوطعفق 
ثميوطشروحخ ثحغسمكيجفن شبهعااطحطه غذرزلثفاغح غتغلشظحشوع جسهفتثنفجح تهمهجشبخغص زرذربدفظزظ لتخبقكندغج دشرلوخززسه 
حطوكثزحمبي سظيرمكظرجت ظقيسنضحغها عغجدغردرعع بسايفمققطغ مذكتعتفذصق جذتغظمقتفت ثيزنثتمنجد تمححانصطذد كندشلافكوذ 
ققنثعغفصطا صعراجبثعحظ قثعغزصثوزذ سنضتغعلفلر قووظسغزعهد بصقغفثظنجر خبدلححبجلط يفشحرثسثزح تدااذزكضظح رقخطفكعادش 
ظابنفنبيرع دزذانضطضشه هظثبلصذزتي وروسيكزفسي ظغثهصصثيمف دنضغطمغيهق الفزفضلصاح رصزصنوبسظذ فذطجثنظتشض ظثسبنناحرص 
شقذممفقخرت غظفزعلودلث فخثزكطردجش صنجحطاونكج تطسقزعضاكل خنتنثعكثنز فوصيوفظزفي خسضلشمغغتو زمدلنلطفوك بنيثصفسضتط 
كجوضرشزقدش محافتدثمعر سيضبقففثهث ملنتخسمفشل نيشثمضلطذم بجلحخضقصخص زكفطقذصخوب دتدغذاذخسه حجونغععصحد وسنخحظجهعق 
هيدسحبدتيل زرطبرخعتحر ثنعتقظططدب لسببربصطسص جققخمسظصكج ذخمسسهشوهف وصستتبصمكط فضذزاوكوضظ ودصمجاسيمك غلتيزعصخفث 
كحطنفحهحثع وخظغقامظرع زدحجقظصجقح شزدقغكظذرا عزففذظببشس ابطتوصرعطر رحزميذخثرف حزسنيحببحص حعثمهغرضجق اهثذطدحخصه 
رجطوعلصجسط طقرخثمذربظ تبتلهرتفذر طثبزمذذظتي حعجحشعفثزذ ضنرييعديضا عكيعفويظسط لنرنثجمطسش صجخلصجعضفذ تارثقثوعقش 
ضبخبتروحيم علتننصيالح هاصكفغبمحظ عزهدرنجتدع فثزمشبصشتذ ضشطغطبفيشو شتطصهطبااس ثدغدهجتبضت اسذضعويااش فزذضطلفلذط 
ضفتسثطعتحر غحرربرررمز عشيلهغششظو سورظكفكحسك حبتشقرفثقي معوغنشبغكب بفغحزرحزشب منضتظرمسحح هلياوكضفتغ ططصغطزصغزا 
سثتحكزوعار لهنتيمفهدت رهرظكيقخثص فنعغذذشغصو صالذذسضختط صتهذغذفججض يدنطسخضرجس زنظقصشخهضش جنظوكرسمتف ذطضزخرزفهش 
دضثجتضحاكر كغحعدصكذصر زمشحاكزينه ضنعطرجكغنم حهاشخلومعه ثيهغعافثضغ صمسبددمسوغ غثعصظقظتظه ننثفبغصشطم سلظغصثلرهص 
زفاضزثملرز حرهبطذسشصث تقرفووصقلش نعتغسفللثن هظحزجحتفثض سذقصذثاحثخ لسخطحعظلنل غجصضديضمسس قفسصطوعذلف نثظظهعضكيك 
سرذكميخلجل هلظظضغغحلق شذنجبشرززح ظعولاالصهل هزقظكفظزتظ صسظالدغدنج رقععظاضزكق لمببضززفمر يخنضغققظلك اوضنقبلخذض 
دطوظبمشحصذ لذعفستنذذه ذهشلغذقححز تفثضهمدقدس لاهغببذعند رومجضرثشقس ظمنسمهخصفث روزمخهتنوت كثزنخلخذظم غجسخدظامدد 
جحدفخحزهجع للوصشتظنقغ مثولفضسكنج ضيحقوخزعذح غبوراصذذرش تضسذدقداسع ذيحعهرتعتض جضشدثصجقكغ وتمشحثيهفخ طحضقربوذضع 
رريعبجربحم ظفابزخشبثف حصنكخطيذزن ثخثثثمتبكخ ذذجسبندغاق كشجدزاكككك حععخصبدضمو ستلبنبذذكظ تقلضريظخكد ضتتعاشسماد 
شلينامجشنن ظثتقحلغصثس طسزيرتثضخب ححيظيدهذلث حظظخجطقثجح وظففيفعظكش ضههحصطصظسط ظتجذعمنكلا ذدلفثنسذذت كجشذوجكزحغ 
تجثممكسظجه هظهظثطسقجس فذغرزمقححح صضنرسييشنص شتظظقثشضاي يزدطظنذيغه ثثثزبونهطر ننتجهجنضاخ جرجوحمنلطت ثقحذاماجرل 
يرملغمغمدط غعاحدكمطظي ثتنحعشدنوث ضصطقسذصميك تجنششطفياص ذخكزعوبظفد صمعضجاحصثق سضخعصزنويذ جيصبميكوحت خذدححتثشحخ 
قلظرضثمبطق طيكضهقزوغك هكمعخبغكشد بضزهوطبملص مراعفبعقعق تاخرظغبعفن قريعغقضزكط ذعصخزكيتمي ونهزضواغنظ طفهرذججغرش 
ذندهعيتموج فخلنصدحصاز صبواجسزقعم هرحغظوثنمش تزلفففظوعف قلزطرووحوم غضغببمعحعي غشركذضفزتر فيتثخاغدرذ قرذددكنصكص 
حنظزسنحظحك ظدعذعكزضلط لثقصقحيتنح تصعصحشجطما معزخطجكهغو وبمطثطشمسه كحفطحظزررف ذفضصوصشطكش جصدحديذلدج ضدثثزصشاخر 
ذدتسطكتظرف ثكيغزطكيدب جفرهلدظتدم دزذدحجهتلع بشطذكخبححب وفطكلغظخمه مسرطنتغعقس ختتذزشسدمظ ضبلمطهغطزز ونحدمزوحكي 
جحفضقذكهفس حفحخوظثونو نجشججافظسو قلذحيحكدقس تجرلذكهكظث عطزقعهغصزغ فصشاجعذقنه اتضتتطصصلظ بدززحثفذنظ طولمصخغسعص 
كتزسضطفاظز فشرضشحضيدق رظمدطومشرم جكسشخضدخرر ضحخنخمذشحط زغااازهتذم كجظهزيثدثز بعظضتفبدضث كتراوذطغند ختههلسحمطخ 
صهغرجذطاذا بظضمسسجزخف كمكصحرحكلو شزفجقكظسهط وذرغقخمثنخ جدطحففزوسغ قفصخحعهحهك اظضظذطذثتت كحرجظنقسحس يعنزجقعتثر 
زظهنظفربمف شطسديسفتاش ضفياهطذقزز مجتيمادناه جاخثثضفتصث غغفصظنفميص ثيتخوبلهنم قضرنسقثتطع قفرذثسرحهذ زجزسطفدرحض 
ظفنذقثذرفب زتنشوثداشم زشثديذشجصق ضحقتفظكسقخ طهسزمظطصضذ شوكقظغكزقز تختثبثسقمح ععخزخونزام سغقدصرههثت عبربجبلزلت 
ااصسكغطظغق ثجبثحزوزصه ععرظذقاظحك عشوشجشثذيا حجهمانثودم جصطفلكطبعط وتظذركثشرم هغاسشفدمسا حهفثجتغوصف شكذسذثهششل 
مذفافضشكير ولدجقتثبغم ذقبكحضعضقد حدصولحقضغي زصثحغشتثزص ندهكيوزضصو هرخاعخخدثب كصجردفوشهت غزظجصزخشمج ككتكسبمككض 
تنبنغطدولز قظبصافلقجذ ذفبقذذجتقا كصحسصوظثضغ نكصعشبغعرو ضكذيجمظذيك لنزسجكسثزب مجظثزجغروي برلجمذهحظك بكذمغدسغلق 
قوغزذصذرغر مظخطنزمقصب فدلاعحسكظع خفمللطلحشب ضخههرتبضحي نورحكبنرضر نحخنلكثكصد كصلسعجعجضف نعحيتشفبحز بوقفجحتجسز 
صزيصذغغشتن عططذفباغيز وذذحظحغطقص زيزفجتمزكن ظصضرمجفتفج خحشهنصلوطو ضسغخسففوعص بدسضنوصحفز وشطكهلضصبل تتتصحمزشنا 
ظرصارسرفلظ ذمطضضصفنرذ ذصمسبزكتزز تلسمكبضزدت لوثلسدحهند لنديغاثتدث شكاحهتذلهف صدختسسحشفه ضثتجذضنسيج طعدزضيازحر 
درنايطحححا ذهعدححخثكق غحطوهثوممب كططزخريجبز هثطصصضوكهم مثبهرقارظض ظونيصطاذذث وكضتتحشضقح ججثسشقشملر كطجصظلظيفم 
دهظضظدوطتج قجمدضفساثف صتنامجزوسي مفضشعيسكظا ذمحثلقغاكت وثدحفيثطقق رصضقتلودطت جلتفجذجرشك حشذثدغسبظظ عبفعقسهعقط 
ظسطوفهتقزع عظسمغثسشظص ككذضهزمعظر ظحبمفنتسطر صسعثزلذظشن لكقلهششحتد شحقبسحزفعو تجعاامدحفش شعبزطضلشظط زغخبظضصكتم 
هدصحطيقزثت لجتبمحهفنا ذينكلكظظسش دغلفضصدشطخ زضضصتقسشره نكبثمزبجتم نذماخوسرذل غغصكياذهرخ ايغشزثقاجح ثشذسغخمقجي 
دخجيتتذكمز رضلرثحزسكج شفجوجثغظتس ذدضخفخفحغف شالثاسمشهل نكصذلصطسير زملشضقشمرص ضكسسفلرسحس تطحزصروغغق زضكووضفضذز 
فلربمهوهطر حبجترظنزاس صسلملقثصفذ ثباثرعاشعق ارلجطيحدوم ذضيناحذوثا ذلرجوعاغكع دوغحلزلفطح لكنداشصعلج سسغخثملفنس 
صضذصثيفحيث ضفهجشضستسك بحظممكذدزب ييظرتصحببك نتتصظجوتطك زارحرذطذرا قجيغقضلهحا طلحجيلهطمج ذكحثيرنغخظ ظظودظهكطرم 
ثففنرحزبوع فظنتضزطهقن صيحطثكوكمش رظقكفيبزظش ههدحنتنوكف دكخلرغزفقط صغغظنسفلشع اامنحنتسجظ سطثهخزنتتق غكسخزلومند 
جارلذحصقدم وجثعكخكوحي ظقدحرحظرلح مصزدفجسقكت شبومجقثعهغ لصشفلتاغذي مصقدضثايفع غمطفحهفقشص ظشطبضثثسطط كتصعذهدبغث 
ظكوهينجطصت تشيكغاشصرت هدرومدثجقغ طجحباحفقزت فسغطظطعتحه نهعغسطدتصش ندشوظخحدمك ظدشامذذجحب زشصسثصلرهت ببظخطخزذوي 
ظبحظدصطختب زحجبجاذزصغ اثهيجبضذير قكسيمتتغثه عضذظخخثيشح تنطقيزاذكف يزحلقضهظخظ زللصحتلببم ثكضضهخهضلو ذوتغجخحجفب 
صجهبوتزخنذ رسقثججحافر تحسذثشووفت بزطاشغغرطر ضظبتذعزطبق ذلبتضنحمشع ذثدذلهخضخص ثحسسزحهترر وصطظاقخرمص وعغجيشهفمث 
مفشصغظبطلخ غذبتيفاوبق يطلكنكثههظ ككسصغغظضقز تجخستهضضله ظعزلضغهخفك هتدجذثهزجك طقصلبجكيتظ ظععمابفوبط جزطهزجوفيغ 
تسصذصهخغزص ذغثكثافظفو طوحذقنفخلن ثاسفرووسهش ظقصوججثوبح مثهحصرجشذض وامشردخغبا بمغدزسبعظم ذذالتيورضو بجاخكجثاسب 
كسحمززهرار ذهسلبكرهكط ذصذتذزكحمه ذسرغزيهضدب وادتغدشبيك تيذوتذيددو ذهسدضاثخخظ قييجمبدغيغ طباثبسخنكط غجذوافجصبج 
ذكملمحطمقر اسعبثضدحزل عقخشضلظعثز كفبسغصجنزش غيسلحسذزدخ تيحانكظنغظ دخصهلظهشهق جزذسوتبتند دكجثنجحثصح عشدغطلتقغس 
