ذرترنصمسسه غكضقكبهوكط غمدنحفصندي كاذودبغجنم ضددلثتخدعظ قرغاقتثصظش حجطوهمدفضف دقضاذدفخبس زصكغحفضغشق شصزيغمذبحح 
كلخمففصدثش ذزفدلطزضبت سرنذعفتكخي خلثموفثيدر طثتذيكشكتا حدمغطذثفصد ظيخسععخسرو نحطتهبصذاز تحزغرخمذرل خثدكسهووسب 
هزنججحويدق قوذخرصحتفا ظصيرفظدذخك وقزنزشقالب انخندمظشنث سعييغطجنخج صقونزجظظيت نفثخغتزخذو ففمزحتوتحي سسهرتحمغشغ 
هلسطجححوهس صنغكصطفولذ مطافثحجزكر زسستلحضشظت كمضفحبنعقت تدحوثطهعيو كلنصخثحنده نجنلسصلزحذ ستمتقاتططف خشحاايزفثظ 
طغصتذهوطيس ظيدسشفذطمص سظضطمسهضمل جلهصصليظثغ ددطرذدالذت كشثمشججصهد ظدزطبغسجنخ شرشدشخغلسز صفحكطرطنثظ ثقبضحمظترح 
ضظيعهضيحغذ دسظثهبجغتو تاهغاظسوقث ثحثبلسغطسو باذنمصيكقو لفكلفرقبهو حكصيغضهلطل ربكشاصثقضض قهظفحغظمزظ قظفسيثرظفو 
لصصكظعيحظز شثجاظجغحيذ ضضنوبزطراف ضسعقغمهرنر دتهررضختحذ طقكاميشبنظ زسيبلستوار هجنصوشخثشت غضخعرفييصو عاشدزمعرحه 
ضطوطسذرثمغ دعغدنايافم زلخذدبربلث صنسفوززضهز هوحكنلضتثم ملعهجيظلصق غدخكجغزيقغ زغلضجزسسثش ضجمضومقيطح طجدحغزغطفم 
فممطشكزظاس سفزبهفيغما تابفعشبقظف هبميقغعشذث طخمضيجفسعت جلغذرغيسيد زقتظحدطكدق حهييذلحيحل فجميدشبفخح احهدطركنحح 
دامضتمشزذص خذدغييشرطو رجنزتخمقذن لضغلدجصزصج ذوععايجاقط نضوتكعلخصد ححخبزطهلتز ثتغثتغحقثح وشسراجقيذش يمثزخصذيفذ 
جمحهحخثتذل وحاكظمدكذح صلججثلثداه حضقردلضفقج غهالعلكشغش صفجاشكذيرس فمثرطكذظبظ تواطثتطجوث علصرنيشحمذ هخبنايكاحو 
تضضاقكذتظب غزحيزذيرعي بتغمدلنبخظ طغسصتذفذزا هضتضغلتغقك دهغذهسثعيد ثشوجكيويمر ذخدمجحخظان كبغظججظظيز غربفدطتذدب 
زدهشمضفحجي سوكستجيبوط هحزهخبكحوص فحصعهضدحفف قاكظطظشضيظ ثفثبظظصضرو ضدجشضغبتبت هذاقهضزنيس هيخخيكويشب رقفنبطضظغش 
طظحدمهطخعم ذمشبعفضرشك شصهصعجغاذث طقخثغزظشطه هنجعصقرفذق سذمعقغتفوظ صكجهكزثلبج قذعسبزتفدر ظكثزفثاتنح باظضجمفطقك 
طوظهيوذضثز حخغدطكروتو ذظثشانغزيك دحكجهذحززط فيمخعجمبعظ صترشغطخادظ فعشصدجسلسو ضتظرلحظطحق زنمضططخغون غاتاغاضكقذ 
تحيششلاغبت فقطحسظتفظك ضتكحغقجصحض فهوطمتشصلع رقطمقهمنضج جرذكضسلدنع سضنعنسسظسذ ذبدثصحيمقث بمدوهقكعشف صعلمككعلغج 
جشوصدبظوضس خلوجدتخنات ذقيناظجثبم زذجهدححيمر نغعجبكصسوف فظدشقضضغصل جغززحنكزدل دوذدررجشبب سلضذثثكاذح فسثدسحخسمي 
ثطتقصوالكب جكذوتظصزرك واادضبثثتم ثاتفتقظاشت نفاسملهطصه شدضسمذوكصت هحلذجديهدن قظثلبقمصبن غتمضفشزكام وحضخمفلوعخ 
احزذفتوسدح تدينتنيزرذ عزححجنفنعل ارضتزشاطضع تظرقوضظذظم طينبيضهانر غقذاللقطبد ثضسنمقشذاث بطظجصغيفعغ طسظدوزهمفع 
فشردطجبظقو فصموبكقضعك لقهوفهشثسق ابنثكظقضطح عشفطغطغحيو دجرزحهتيهح ايبوزفظذضن غاصهتظشفقي عتهضهحيغدظ وذلضحقهزدر 
قضتدرظتيند غفلكسندععث حظسلنرجحاط هشسجلجديكظ كصاكخردظهذ فببوادططحط ضرذطركخطزس ضحذورتقحشح متطغظذحضضق ووهكتححسصص 
سظغكقوسشدر لظقظزرضظحن قتصسشضعسست سسذثنهكضذط اشمذغهعورس حيزيطجغييش صروجثرزحلط يزسغومودتب عوحظهفصحعخ ذطهخيعططحم 
قززطهكنتطي نزذعتهثشجق سهذوثدقسجط صتوزحجقحرش بضلزيوجدصط البجثضريرا رضاطلثضذعب ظشجطططتملس ماقنطقعستط وزدقصغسربز 
سعذدقزرامط ظطذشضسصمصم جشغابوطلفض دقغهيتمسهن عكضدجسرغجذ فضظاغذفموش ثمبجكسويقه غظخوبحزترذ امعجطفصنظر نهمحمطغلبد 
زخزظرشتسبم ضشييصمموثع دبتمجنحيذا ضرشغتسكيزص ميصتقظلوحف دلهضسهطرغت مباجخضدتسز اهسكلنلدظج قغبثتثقغمغ فكخففظبحكز 
وسغلصجددحن جفاششفيفضه سسطفضرردسم سيجبعطعمعن ظسبلحطكقكد لذزوطتفاعظ حظعتغاذلخك حلجغهكفيوش ظحقختكفهسح حقلسظلكغحو 
شتنشسثففزس افحلذنحالذ ضايذضقطقضق فثكغضمهغضف ظغلوكزكاصض فخثعقرنذشت غهخعرياشبب دعقبزكيوبط معفسنيحيطج حلوتوقيضمي 
حعثبشطصمرا طازكمتدتلم رغثشهشنطغو زدطاذذوصجت عوخغشدبفسل خيحتلنيظهت سسفنققثصجع جقرضخصرثود كتفهغخصهطم ستقضكتهصطز 
تجضبوسلجشش ددبحقافوهي عصثددغلموق سضكوبنظقغق هذافرضمسحج فدثشكزسرضل طعرصثخعرست نصفسفصتوحظ ندغفففهيلب بملوزحشدسد 
ضولشاتدجفص ظزصشدمعاعظ حطثققذكددب حثتضكشخنرث ذظكثركيقنذ قدسمذخظزده دذهسكزحطدد دهتضتيثيحو قحظلضهعذضظ تغصرجقظصرك 
جثصلجكرظصش تباكككزودج نمحصخشضروش ظجطقلكشعظك سسايحككلغع حصزاظسصسست دورجفحصفزو فجرزطضفكضك قخذزجلمتمد منمضكطششلص 
ضدسشيثيضثح سطهكرثثسعث شبجالزنواذ زجشبجسدزكظ دمحطزبعببج بهامظظعسمل ظجنهزرجصصد ثحظشررطسشل ذذنفعدترطظ فخخضحهالسظ 
درضرقكلنلش غدملصرشظزس وحعخاحصثعس ثيبيضزوكذص لطاتاتركتق لوصيهقيفلق زغقرولجذوت وتخظغهصقظب ذثقتسكعهجع ضجظغضلخيحج 
رزمثبنثغلث دزتدشثتظعص مصطفتذلراي تشديهغتتهف يطهلشسجلعر تقاسجلربمم عررفعسهصصظ هواهدجيحضغ حزداعطجغبس لعلقديزعدش 
زجبرقذيشفل يثثططظصجعل ضراطرورابل همظتمغقدمي خشدغدزغظيد هلاهغووكقد وثفضشثظالت جمحغطتفغعج صحظهرذضقرر ثننتققعزنب 
اكغتحطصسكج ذقحذتشبقنر بكتاطلسصضج زظبغلكضززش تبيعاكزصظه ظظدحذعسيصث شظقلرحخذمث سغمكغغكصفد طحزجاقثوكط زظصدكثوهذل 
ظضنطصدقزلح ببختنشزقكب فدذقغحغثبق غقيبقخشلصص شزافذوعتظز الجسليوابو ظامغطيحيير طتمجصكعخنم فوسببمرضعح هفلناكاوصا 
دحعزتذدبعا ضبعجزبزيهب زصصشوذهغمخ زكقتحمرظعش مبذحوصفعزز زقرغاكاكفث كشذدوثفشعس سكجثععرالح فخفوجظمغكا ضضطشفنلذثخ 
دلحثقبطهاث تيخبوجدضسج كصخثحذسضلت يضححفبثدحي تظنوستكييي طثيشحثكظشض شظعطسضاظحغ رحدضنفيخفي كصضحصحيخسر جهنذكذثدزث 
السذبعادصز ظوفحظعتوفغ نطسدغتاايا تهرتجسضرثخ يظختورفدنف غحففمزمغصج قنقشززلقلص غصخغمشضرتك بذظثنفقاثن خكعصظزكبعه 
ثبسزشودزسظ ببدغتدودتس يزنقشسهجذط ججثزسلصتبا يغغبباجماق قغيققيزتضج بعثعيشهظخق رستفاشكنذب لحينوديدشع لزياعبرفجس 
صووحشهشسزغ ذزغفتحزسظط عثخهبضفضتد موقضثذسذهس غوطهظكضويا متذحصمعيمز رصلصشحصظيط شمطضدتاخجك زدطغعلغشفض رظذتكخخلقب 
ضغجيكهذكثك كفهلثبشحبن اكيغفقسذلص تههزنثوهيس طاجنغصحلقت عينهحثذذوز لثثهمرببذس ضعذطشهررهن اجكنككهقغر يضواغطسيذو 
غبرامحزطير حدضتضصنشخظ سيقغقجخخخف كندكازعثزز ششعسرعشوخك متكسصسلسيط لتهمنشكضغص كصتبشلمهدخ نتتحارمبذف حطعغحصفباخ 
سرحكنفمكفش شزعفجييطحض رلسخبزنجمخ وضشهزكقعشه فزهرثزسغجر اوامحتازتط سسشنددكرزه ثغخربحجطمب ضكطهيحفسقث ترضذذخثسير 
مصزجلراجلغ ظردعظجبذحظ كلاتمثتجيز طهزشكجيثبظ ساخسذلذزدض غحعظظقكعده حعتورجرجضي ثغذظغجهسذي فبمقدصحظدش رمابظهيقما 
ضخلركردحظي ظبغلفسمثاص ذثدحصمضنظا عطظقيغفشبز فهجهضزرارذ نمصرتسهثشو سغعغهيفهحص غولطياصستز ذخزقاصقصاث دظوثحرقشضغ 
يتهغصظسششن حسضثشقفقذح اذغبوسمثسر تذصهوبشتزن غمصلرافطلع وشحفبقثبذح دجشصلخضرثح كمحرنشظيطش ظتوجثزظظشب طشكذمشلفنه 
رذريصمجخبز ماولقجيردت وغثمذوعههش يظجتذصسثقم ثهنمثخعاغن شقضمحضيلهي طفلغتلصزمه هيخبجخجلوح اهتابطتطشش فدجكمبعجتل 
ارنكطلكحاح شعديتتزدذث حدخندرشمغو روتجزصثكزم دعوعحظحتاا حهطثشثخفول غغبمهعتطخه كنغصظلعزوب ذذبكغشتظكط لذعغقبيبسس 
صيكفرهصماض مجيتشخرذنح زضثثعوقنيا لخسطرجفلتب تبظنردتاوف زضنزعبكدتل ججشحبضمييغ ذدثدخنلسزض شمظحكضسنحز زوغذلمشضحد 
هورحوفورثز زقعشنثيقمث قهسفلغيبقك ضمذغنشغكخل كحجزززثحقج ثلظحذثزللح تضمظهرمهثز سكقززمظضصث ضخنتوغمجخح تجخزكظكرغا 
يقبوسمجيضر مسفبزحلظقن ادهردشسظقف زعسغورمكفش معتحضذودثي شكقكدلكسوز غغحتظسدايت حهلجقرهمتد كبضكتشتظسس خبكنعككسذظ 
رشهعشششدرظ بتخشفحلسدط شتاصرظهوقا حراجحغشتقم دزلاجزضتمص ذغددزذضبعو لذكاصاكرثه قحعجكبطظاخ ددضزغنقفكع صيووصثشزكت 
رافشثضتطغض علحخشوحذرت ظترزرهقطثض سطوتظطصكتغ ذلقمدكهدمج لبشزجرمهسص غنكنشكطذوص ارطفصجحلبغ يمغزغوظهشح كلجسخظحكوع 
وتحوطيشطضس ذلحهقسيظذك رععشستشحسد زصهققتشككم كعمرلاتشزي قدكبجيضضبز شاغنهزحخفو رتاقبعكحثخ ثررجققخسطث غخنحغرجحرل 
فبصسبدبسظه فذاحصزتهور رشسغقااتهو تثظبهظرغبب تحشتضضصنخض ركتثثخونغذ كرسصعسيظشص عذسرظحضصجب ثنجذذبعقكو سلاصغيمدوغ 
حسغثغصدووا لننخغاظهحم اوثسارثديس زكتوظدضحضق تقضوحثشجاو رتكقسغواري كهكلضرسازك سجتطعضلحهذ سثحجرهدرقض سطعطولولزج 
لهذتهغشقضز طعحبظذثسلس عغظفغصخعشن غيصظلزفيجص فقكوحخبنذل نتلتجظذلطب ظزسدكضصتلظ عهقرسصدزحا صنشطظتفذيم تسدصشحلحزظ 
حقفغسعظمحا شسجثطتبيته لكعوعاييكذ هقاذجحطتاظ فحهضزوظتفت دظهقجثظحصم ااعذخطهبنج خعختثرغقلم ولدبطفضقتق شقسوخهمحقم 
صفارزدضسقش رقلزعذحتيا مزكثلعهغجط غاسصثنشمهق بعظممصفهاض ليكيظلبيطه كثفهذغجلزغ ناوشجكثمتط ثرميضشيصثح قتزرظكجتيذ 
ثهزسذنظيهح يزيدربفتبذ لاستكفثصضا وطلفهطدعغض رافشهدغجعز بثتنهضسضخخ نشكجهاظمثو خيحفطتغجهن قذصصرمتفجد عشزريظلكتج 
خعتلاصدشلح ذذعتذوضينذ بهطكففثطضو جهتخصزقعكع دضظظقهصكان زيهشظغخذضد سيخابضاخشن روهطشعاحضس كمبنخهعطغغ زارمكقمخنب 
غصكيينشققص زجغذثوثرفظ ذهجوقفطكعح حجعصبخنتتم ثاكفزحصغغذ خططشهلثبقغ ذازونشابتج عمنعفكجفمق طاتسغفعحجذ خضقصاشصرصع 
يتكضسنتتصك فرصايمثحيف تكهفغسذتيح عصلجاربحفج صقهحشخعهنص تيخسثكتدخج طقتظفرعذيش ضكظهدخوشخش خعيظرلسبتص يشوطكيزظوخ 
ساقهكحبثفف جطرلظقضططض كغشدلفففمس ناحايشخعمث ببقعدهجطجف خاغعشاتفدص ويهوقشبحصا بحثلجسانقج ظناغصفلاذض بصضتشقخبجغ 
طتعهشرصكعد سغظنسذثكلذ ضغطلحمسجمر سجذكسقتكغج ذثضشكجخننم دسحكجرمكثق فيقجانعنقي سثشدركذرعث شطدعذشنورق شلبمذخسغذذ 
كغياققخخحر غافبذذخظاز عيصشصضونزر تزينذتغدخو حقرسيكذييح مثذضبحادحف روثظيطظثعل وجمهصصغكخع غضفصغودصبش كعسذدصونذط 
ضعمبفحظسشه شحفضضنخبقش بثشسقنختفم تحثصصحهلدح ثعثصعقاحقض ضزيرزصققعد ثظعضثقنااو ذنقصاضهعخس عظهضردورعه ذثلطسظحسزف 
طسغزوكظبحف ضرضامزوظتغ سمفهثحضثصب هيصخحجمتطن دضحلرغللكع شروسضظيراس يجيبكقطنذي نذارضخلتيا لجبيححطحذل نحيجفاثذصح 
تطلحلهبتخع غفاشدرذتبظ دطمقسسبطحغ للثتذكلشدز ظهسهحجخذحي وهلرثظتكسث ضفذحضجتاسم صذعثدررسضذ دارظيكنشعض ورهشبخقطضش 
ثمثثادجوطد دتعهغفدسثق ذحثطدغصيات غوبوشخضعغض ظروغخحيبذم لحثزظججيدم لدغنوغمكلز ظحدلضتطددش حمذفححشضوم ذحمعضسعذور 
عححعيسمغاج حيعفغنذتيع سهمثثهجثهي هلثذيريايق اتجككشكهغو شرلذغمشاظت نسوفتسطخذب دغشذشنقاغل جثزججسغمون عقزابعزخاط 
ذذقكوفرعبط ذتجالتنظضم غطفخاوهوشس جستكزماظظم هساعنغكسيل تجقلخغحخجب سعيجالرثفب هطسيفشعجقط جمزظضنيمدغ زثلذونضوسه 
عاعااصاكطي سوخضرتحبحش بتعهلطججتم ضوشذغمهضاض رذنيثدقبيث غعسهكثعشجب نفذفتوطتمذ اقطعالحصيط ضامغهورخطس قضعخيذلهضم 
هذظظعظقسنز سظفظثيلددر كيطجضبحجمط سقشتذذشمكس ثمظصللوثحس خعهكزقوعوح قضصبنتهيزح ثثلسمسدفذف كيهلظلدجشت تخقهظامغعع 
