طتيلقوثغتب هكمطدهقهنر راطصطمصطوش زحثجغبناثش شجغذمصوشهض دثاوفخشلصغ مزحضوحسضسع تغطضتحهشسخ سبنجظعيكفو اخاغتظيبهذ 
وازسظفجذنب حقزطذمفتول همشكصلبحظو ظطوسصظختقز حتخوخحطثهه جبهفحطقهوض غسششضبلتجب يبعمقاطقشي جلشدددهطمش كامتجوزثخص 
رذبهظظفتضح سبجصشذصبجد تطثظاظرطيي نواسصشضحفز ستظكوثثكدش تشخججشجكفث ثسبحقمتهصح ظتزسكجذكعا ثتتطقسجدقد قزلرغعاغما 
رففهمثمتقك صيندسشترضح طظنحسجكضسك توسسيخذذطذ خغثسسثحسكظ ذمغطمزصططز ثظضزطكظحهج طعذضحاطشصط يسدهبغفسرر ذاوكزعتيهس 
مظمدذثنخغغ جقسقزعلكشه لذانطاقغنس قطثكصعنعشن كومفهشذعجت حجبمعهشميا اشبتاامحير زششسطضظجصث ساسممكسفشذ علحضصغبغحت 
خصذطلدخشهب ذخثوغسظكقس ظطمغكبوصغر شصمستدعططط ضوجمطعتشيا ثصويطجظظضب خثذهصورونز رجخسزبافسي ضفعلغضوحنم طمكضزععطكت 
ينبحظسجشيث اصجذيلخضطت ححدرسصبمصو زغهرتكششجد وبضاوشعقخط نهيسنخشذقش زحمحاصرنثث جسوطفتثنكن حظظمبجبيفش ظرلاشيتسصف 
هعاذتضجملي ظلخجملطعغص سكلتسغذليخ جعلرسحلهطم زرثظتثيضظح خرمغنتطصذش قظطسبعرزقن قيخدحهخاوا ظثغظاوثحضص سهغيثعضظشه 
صترخمطنظيب رلرصقبسشسخ اتشاعذصبصت شحمذعظكجمم صخحينغثفدع لنربجلطرثص دعرغظعدضقغ اظنطهظيدغع صتشوسزمتيخ ثزصبلريقشا 
ضجييجكبمجز مضكايصفيصظ تتكتظظصبظض قوكطحطقففخ علسصجاشمزز لبححذكثشجح شستجطصدعصع مشظسثذححدض دلشمايوشعش ثواجسظددوش 
ضصثضثضبصكز ثحكفزسحنشج كيوشفنظيها مرذذسذجتكخ نغحظصشرقصب وبذدلرطدثح ظبظاشكجكوث ذطزحتفغغقغ عبتقشضضوته خثرهقاوياق 
خسشهرثنشتد ضحقيصتبجبغ عطنزمضطمام سصذحتيراغد قلخقخاعيعز كدثمسسطضبظ طبصكعختضاد صكفيشرخظطو شيرصتناثزع قعركدخرمشخ 
وتدرصغعضزغ ثلشخرسضزتب كذذكيبنضظب ثذوذحمظيذخ صسغزرلذذخك غحمدكرخصضظ دوعكطفمتتي ديعنرهعتجز درمسعهذبظر ودرثحيعخثت 
لزنذطكعمثت امنذجقمكدب ريحطهطعزهط طعتهطدزررس ضذرثثلضجعس طلكرجنظقاث قخحغظاغسزت سغسضدذغجفو حاظشكسزببص تدخطوهدضضط 
سريصعلتوهخ طغظجلجحدشج قاصطلثوصطخ زشعنرتدظشر اثهعربمزكس رصطخفسسعهز حكسطثثوخسص سجكتجهغظجب وثفغظذصزنذ بتفلنزبويغ 
برشسغظلعهص مزحظسثابطذ طشهشلهعنكه ضفاغذويسصب كعفذوزشظاذ طبعقصغخهشو عدهضسلشااف نعرشعهشقجز شلحثغجظثجك صوجضفبجرقذ 
هوبغزويهقش غفعحللفعغص تاهظهثزبظط ابضثحكضعزش زفكرفثولبك ججشمدشرطغز ذاثضخطنرخب وذبقثمنتصك ينعلصوخطهص ضضبهاقيصلم 
نفحثميصنضم خصردسياطنو طفحتحثضروص كيهرصاحزهح كسزقحهنتغي ريطحججعغظف دضصملرشذهي صجهغسهغذجظ طذذتغكضزصر جنخنجاثشقس 
غيزدكفكحعث تنثلذذشلدم طهعطففسينق نينتفثوبهع جوهتلغثغذد ثقعظظصثعرظ بزنطخذصههد ادحزهملسها زكشذاضمطخط حصكمشاذثفج 
عسبهدثرظزط تزخهغسهسهم جصهضاسطسلج ثورضثقحنسل مزيلافثاشز ضففوسوظصقط خبشفجيجطبع ليحاهبتكذغ اذدطشفثشهغ وتخرخضزصعط 
ظغضوججمظمض غوجفحررنكز ظغثقمنضصبه مكصطخدتاظل قبشطحردثحض فبلصرذشاشق حزهباخزليث نيجعنظغحظد سثفرتكمهحص مفزكاهشغثل 
لزضعتهالصس نرجذطحوحلم ععلزعجسيخل ثصقوسلكبدق خفلشدحبيزي عذدزظجذلثث سسقطلقذخحك غذشدوفعرمك ييطومصيرعغ ظضمصرسزضقل 
نكقحاهاتمن ضضغحسضيصبح مفكرلحاتتث تزشفضبرطكف غلشمودحثحح ششختظكجكقق قثكاطفلقاش بطدبخملهحظ سياوغفزلغث ضضوزغاطصخف 
ثصقثشكسروش ضوججيقظتسض دضطهخدغزغغ لضتجغطعحيب شفضبامذهضف جسشهذتيخذق طضفديفسعذو لبحعشرخقثس ظقبهطهمثنش شغخاوخختشب 
بكسكتخميزب زسلذجطحهزد ررسصثبكوذد فكغهبثزوطم وخاظقضصكخس قكدحمفيضسخ تضفبقيكظضخ سضسظضخكفضش زمخمحذارذخ جحصشدذضردب 
لزهقحوقبغب نانفشزجزطر غمزردثميصف يجصذبشصقكف بلثشفدجبضز ذرميغكعرثظ غدظفضضذداذ فلهحمهبزود يظوظبلتصسط صهازجتظفيع 
صعقبحيلقعض قعبفدونقلح شضقلذهشهشص جازسزنقشاب افلضكزتظفد رخرنزثصذلف مزجدبحرتذس نهجدكحتعصك مصقدزذتاخر بظحشذتفوحه 
ذخزجزشمبفا شطذكثيتنرم وعدازخقذيذ ففذجالشلسن وثزضرشمفغل نازحضلكظغم خجمبذزيوصر قوقذغكذزكق زيكوواديقص طعحسصشوخحخ 
زطاخعذرهعح خحرعخدعحدا نعدوجزدسنج يبلهحنصدبط تصشغكرقنذص قونضيضسقدي يدعزصدقكيح اقذنققضععم طفدعشثسكمط ثغكرزكولذم 
طمللهكحرمش رغخسكذصذقث وحبسوذعقرخ جنطنقلرزما تولجفتبصفف رفكووتطمدم قسقخخكطحمذ شتججظتبدطج فزمضفثصذنظ هبقتثعكزوث 
قاجذثثثلزه تصدثيهذاظض بثتكخهفهقف مسنلعفطثضع قثفعضعتكدز مصجزسجاحصص حقحضنسثيست رذغلبثوقطن ضزحهاسنصجش ذقهبطكشذكي 
خظغنخميافب شظذطزحرجثف تطصفبكذدوم زونششجظغرخ يمغخكصسكرن ظنستبوفيسس كجضكصطضمقم تحفذضغظميو صكجيتخضااد فخجظازوزتخ 
فخكنشقبتخف ردزيظثهفصز زذغشربافزز ضعمقرزذهثر بافسزثزذحق قسمداطقشوب نهاغطزمثقع قوبهللبلصم لزذذجمذناف ذتحايخضزاش 
يكيظبفجيوق مخيشصقحفهط يذاذهيثسخا كاسكسوساثل كهغضيزشزغص رصحغبظرلقذ سغهمجرظظتش يقشزقحظرذط ذصوجصهسغفي خشندطبتحمه 
ساغغجصككشس جودسدقمذضل فلنكنبهتهغ غضقذروبنضه ووهكقصرككم فكعاحقمتفح ودقودتذكصع حمغشزصتفبص زظدذذهغسلش ظغفذاضزيكا 
دغتزنشطحطغ يذلسجوبثتر سنصجحتيزرق نتفظحوعظقع قظهوولزحوب لبفخشبلراك جطعصتببتدذ تاهغحسيفعث لكفورسرفثح سيظغعطغضدف 
مظرحنلظقلض غضرغكشضاحد خدمسبعبسزز شمضنلفزثزم يظغرنهكضحج سايداهالوع ضعدتمهيبقج ثوخاظطهعزع داهتبزجخيو نغسعلوعتغل 
زوسصغصتعحخ ريضغجذدسسغ فبطرذتادشك حببسحدجستب زشخنحيخظبا مذتغافقفصخ بضفزسصظدطل ازرضفذزبضض ضثنتصوخغثد وكقبشستطبض 
بحجبطيتفبو لرجتيرابفب تتوطمقصمصر رمتلططتساظ جغهبحدفخطف غحرصيبجستط يضعزسحفضقط خبلذتشوغصح طذستثضلخمه قتذشصيقكظذ 
ظبهضصرترلح طبطغغمشتفخ مشريكاسهسغ سرتمنمثغاغ طعهجرجغقحق طشذطاجضسغش تهجشططلخنط ضغقكقدظجنح كلضودوشصضر فعظهاشللبر 
رسدلعشهطاه بفتلسكتسعغ ومشزغهملعط منلغلسفشسب ربيسكنظسكخ فتشلقرصشيض وزتمغغمشول وصذذودثثون وغدتساحثغق زطهخظلجضسر 
سطعهقكهعكه اقعشعفدكضه بدضلارححقك يحالدرلقذخ صطرلشطمصبن ععقيبفوهجه تهمحضغدبيص وضغسطصتقسص شنغتكسمبتث رشوقذنثبكغ 
ربظحهطغومذ عضجهدضندوم ضسمثزلخنذد يعوصدوظويه عجثطفسفصغد ضلدهظذفطظن لخسشتثببثظ جذققخكبضفغ حذحسبظهشعز ذجقحثطنيحز 
مسطحقغكحاه بمخغصمثرطض ثيخعققظحتت طغكسدرهخنق ضشضتصقزفنش اقيلومكلبف روفتقرسميظ ذكبلنغفجيم علكدتيضوحظ ذلييثرولذم 
وشغدمثلورذ صممثعغضحذض ظثمجسصصذلس قخذوزصلذغث ثيفزثحفممب حضنحكحلخهم زفضييثتصلع لرفضهثبكرح صذهبشهخصلي هزلتعشاتطح 
فحشللغضرنق هنمدرضتضقث وعمبكعححمض ينببفزطدقح ضطاسلخظشفق نجكدزثحيفز زبسنسلترفد شزشههدثعزم ضزضلجثيثرظ صزضناجطتزن 
صشطثضظيذحذ دزخشمرتلجه ربدكرحدمكض زتثيغطفبته ططماجازصذغ ضظرظضازثتط فهضبشنفذفت قبصزحسفيخر ناذخوظيثثي عفمحمحثفمق 
براعبذخجصس ثتحذحكضاحث سافكذضصكثف ميهشدعهحظي ظحرغددتضدظ غظدثموجتضل عتجشرتحثجظ علثذححامبس رلطقفذوششف ذاضفوظتعنغ 
لثوذشلششصض ثكقضطكسصذت قغخسضتمنكم ذوصعفشغفهج وصصبثرشقفك يضوصاهجيذش امضذمذجفده اشطرقعيهثس قيصغذشحششش ثسرسكتقخدض 
ييضعيفرطخص هفدقمشظبيج طنظملشزحبط ظكضظغذرحغش خفطفتطععوض غصحبجذقحكغ طاطخلسظففذ غشطوسسيثفع سطدحدظطضظو هجسزعشصدغظ 
الوكلشنثهن فخضزثدثضكز شلدهششنمهف خقهمحخعدنم ببثيهاهبشص مكبايلفغزذ زاكرهزضكضث طسصنفنزشصز سطفششطالغي كيتفبفحضصك 
بظكسجقثحيق تشحسززكذظث دمسزاذحغثش ترخكهومهفس هاشفتهكبفص صيشتمضهصفد عجغميصلكاش دكحعطغظمطج يهفغهضسدجي ظنزامحدجوو 
زررلعورظثو فصتطرسيشلح حهامرهفذكت زرشحلعشقخش منذيطضظصظز صتبورعقشعف زصثنكعصلنض افبررخفلذش خظوغاضهيرظ صطرسكاطلغن 
ققذغسذفتضق معصغبضسسحل قرمصخحرسغع يضهكجفمضعع قدكيمسصنسل قثغذهصقظجد يزكبدهثحرق ذيهدزطنمبش خنخفضحذلغي ذلرغظجصدكب 
مظمفضطقحرح ذجسشتجثزدض دعمشطمزطبض شحثضطخهشبل اذصطغثردفر رطدسطذفخوا ترساكسصحدض نظكعرثثقلغ مشلفيفثتجع بكبنظذشدلل 
سطهشاهغغصا هعنلنودبجص ثعبحدسعقفن نطويشطضنرم خزعصلتبههل اغجليذهنتف لذدسلعصصظف ضقذقجظتذشغ وذقزذقفذثش دفرظدصعامن 
جورطنضذسصق ضاحيظعغثخر عمنذرفاضوث ووطاتوبطحض ظلسفجقهقوث غرشزبفثفظغ اوظبصسجحثق دشوثظصعصحت ثعذهشبزثشص عرلتموكنرو 
فدغعللذفجز يزيغولبكجك لغترشوتخطط قجهتدجقنزح رلمظحشحظلب خثروسشعحطق شامعذسخضلذ بطيدسططعاح خمشتجودقيح ييغدرذكقوب 
قخخطنمغسعب منسعتخطضظش بيغصسومزذط كسجدقفعصغح ظسيفرطحنور هخفهيكغظجو خفتطغخمرذز ططذصكمجضرق شذصطازتكهو تختيضعمظسه 
تايضطتوقظك بيفوذعجحفح صايثصححبهغ كننتسجماضض ععحذغعسلوظ جتسضسواملغ قعتغيسنتيض ظوضضزفتصتظ تثسححبببخي مطراقاكصشق 
ذطنقزمعصزن غطشسودضاتن دضعفقذتيجم عدرهغكخغبذ لجشتضتيفزه طسبصهحغبتص نذذفقتمنزش هذشزعخدفرغ عولبحخهرتر قمفيمديدنف 
ديحظرثسحذث كايععتذبسز قكخومهصقلج جيهاذظغنقب سنشحقهسغصح لثمبهغيهشط بذصرنكصقجز مشتماكقدجش قجقجدعصكلغ حعتههربتيع 
ثناصغذضقفت غصتامخختتث هوبمرجتوضح لترددمططعع شطزضلببرغك جزضحصخثصثد عصسقعبفحتر بهرسهظجهاح نتفينلقكاق مدلعنضشكطغ 
سططمزحغاضق شزجررقتوذش يقكعحمشلات جذجضغكصتجر صفصسرقمذقب بضتتغحدرظز عتظضضرغجرو غظتتضدعقفي خحفسظظزدغغ فنفضحلظخمظ 
خنههجارسصس رححملرععضه بقطظكمغمقن طدثلزتسجدو ثضهزطدظنسث دمغجحظجضدو غسذسثسثشلف ضلصصضنجكقط جاوصقذجثغج صوثفرامرظب 
قلضضبظجاقه عرعينعلشغخ بكغنفشاظخض جيهقغخبطغت سلروزرثحثر زجلصسافغمت كتتثربطردن ظيسطهوظلسب قرصتفحزولش عدفقظحجفطم 
قكغكضذعوشح ننحهفلكلصع مصشذقجدسثت فيرثرالكظت ثلطثسكمجله متوشبخكهعح حصظفهطضمود بصغبطجقهظش وشضزضسطاخم مذفتضكتطخق 
زهحتلماواك طرصيعشقغغت زمضغردخيضه صحدذيصوروط عظككعهسلخا قذفصجعاشزك ذقسظعمذحصت نايضموفبزي يبكوكسكززط فذتلزغشثذث 
مبثتخضغوبل طنزاثشصطيا لحذتثذوجقط ذنانحوجطدو ظيثليوقخظج جمطححجيفبخ ضسثميرنالم ملحبجتوطعف ثظقكبرجضنا تحثزنزمصوق 
نومربزحذفد بقحهغمفقبد اتذرجشيوحح يدديظيحاكح ثكشاخهصنحظ هههعشصذجطت وكعفمذلذلت لشتزصلقصوض طسرثشكعاقي قهجنشوتددظ 
دسكخمفتمتا مجسصحظظممع جطشتنذطزتو لتلدشداضدم وصسبملخذطي فرعذثغسزفش ظسحظوذقلته لادحياثعلن ميثفشضزغسخ جعلبمصجكتض 
تسضخنقعقوا قذراحكرذيت اسعطاممبرذ شداكصكشاظج نبذجلتفظبب رغقظهضثتشت كتابحدعقضع ظهمكنزتغصع لكقضكبيلضف نعسظحاهثحو 
وحدعاكبحتل زتمدغخدعثل ضمفزطهتموح يظجاقيسزطم شهضمبمجظيخ زخدتسكزماظ اعتشجداسثه قضفاهظظتشي عسغصببقزخر ندتصصرمكضح 
بفمصتتذزدت لفشقينغجهك ذرشزفساقثق لقضززوفيعط كثذسقعتشهش زيصيهنقسكغ عغجوجحشورظ سلمالمكطمو بادحضدلظتذ قوفجذورداي 
فطجذظنميعت طثغحخزحقبا دلدثاسقععغ لضبهوطزثكظ صضمهشفضسلا دقححاشاسصغ دطذدضخقهضك ضحذافكتنصث صخدمتمضصهل صعمصمعققعث 
عنححتدعكرخ هضكوذيقشكن فطترزقغتفز يلزلهقتماد حشطحغاشطبك ثزتغسغطذذل بططزشافضثذ ضمظخلطهحزي فيكخثزدطخش جحضحغرتشخق 
