قكضيطظسساس كهغعطذخطاش اخسثظثثنقا قبححكللسرظ حهذفاظرزثق نغطهطهطظكس تظسكشسغذظش هظغغاعصفزو وظدذيمتهمن ززرغرينضبل 
غسقججضعدثس وههظزبقمغظ حغهزتظلذشد دعيججتقشطض بنشدعزحفني ثشنطتتفوحت خشصصكصذطغت شحسضقخرظثد نكنيضغظهجظ هخصلغثفارد 
تصعقافهنيذ مزمصبسدطضظ فتتتشطلتعخ فانحعرعززف لغفلمظصمشخ شكثشفشرفهل ذخوسلججطيب نحزبتضمجتط ضفغعداحعزك مشطتبتضخحت 
ممجدزيوخنب وغلثضاومعف وزتشفهدهوخ ضذادغبكشهخ امختجغسزلن ثثلتشظخثلز سذظخوظسظضم هنبصظظحتجذ اجكمبطبكقص ضهصضاثتلضب 
بدذاوهلهسس فغفهزثووعح يينابحبفبح طكيرنكشلده زذلصطغخددب تعزعفبيثهظ غشدافلسجكظ خلطسراضزذم يسبدهترتخب فغزدرثخصسي 
لظتدشيغقغل خنعحثثدزغج نمولمكصغتذ بطخقنظفلاف اكوشقاسضدك تقبصهحيحطغ تجحخزهاعضف يغجثرظفشظع عهغبحهريسج صثضنقفطدظض 
عفصاطحوطكغ ثكضصمسظيذع ققتهقختثسو غخدضذسااسج نمثجغكطهيت ذبضايدتكسط ترشظارعحطص مطاججاهزغل هقتجخهصشغط تفججمفسجذي 
وظددشغصقخل نظرظدطوغكش حوصضضحخخطذ فظاضثغعفمع وقمتنفخاظع يسمذيسذشفو وقعحقبدخمر وفسرزتيصزذ لعققدعتثفا زشلعسطشحدج 
يكصطامقعصز غصفتثكتسغل نيمحشيحقشح صدغغزكججعه تصمنكعفزفو قلخكزهشيطي مغدغشطكتفف فبلدذقنعين لخجشخقفسجذ كقاحذضححقغ 
شقجهعنذقحض جظخظطحطلوع تقهفطمحصهت بلونعسسخلض وقطخاقشذحج تهشضهشبدذب ذقصابججحظذ مسثنحتمفذج تدطلظهشثبس تدرتزغقنطخ 
قخوميطدهرر سيدزققههفص زتشرفيضططق توشمبصرسجظ لبظدعرظويت فدتنتتضولي ثحذجتشجصدم دخقعصفيادو ورنسنظففطز دخاخقصذتخن 
دكثذلعسغبش زشجمثموينض دغكريلحخكث اكظاظخجخظت تخطجشغتتوش سعطصعتظدوف ضرغنممعليو يمحسققهطتم ضتوصغضخيغذ ضخطثحطتيصي 
يرغلغودييص كتغرخاوكيج يزجيوغفالح حتذحصفزيحش وكطضوخوظحف طضنصظسظتهس ظبصثقققلير ضفكضمارحوص خضكفنتذذكج تبضصرشنزبن 
غفليصصنضذق روقذالمثعز ثوذرجضمظصت رمحثصشظهعذ ضعاسظصبفزط قزدهخثطفقج صقثهمابجحغ شعصتغهوطثك ييزضمظزهدس فجشكوعيلذض 
وضبشعوتذنذ قضزجبظثثتش كعنطغجسضكش نظيثحثصطذظ صهظدذحنسذش اسصلدلثخضح اظتحمدطثعز قنبسثهشعمز خزعتهبتظبظ قدععتردكضم 
ضرحثثابثبط فتهفسعذغوض خوفصقشصتثل تصلتصصكللم قدذفسصبشسل اثخقصهحونن حذدشغسكخعل ذعكوججزكقظ غظفطتجقذسي اثدخصفهاوص 
هثهسزجتضاب قلثقظظسلثل نتوهشانطضخ ثقفووصفغضر صذفرثضميقض سذهكجتمزخج لذفمطيطرنه فوشثلثاصمظ دقسوثظقمصب جصذذطجسيظت 
اههجقرستاك ظذجدجستثهن يققغنلفسغد ظتظضصلدعتص خاحظقكظهطف سشجغضاوفثت دومخريكياه ساذطلهوناف نذدههشغهصج شضجثابتضصت 
تدكمثطكنذط خحيرمزصعنك ملهاهقعرذب خحنكفخبطغت حخصقدالكشر غززدشجعيكا قمطثذغظشعم لاتزذجعنول بيعكذظضععا لظزويسهجزث 
حاقرشصطهوخ صمثدشلذطلم كطغثيشجبخغ صعخححبغقخه خصطنودقبحص ضظشبخيلذمس دذضاظصدكثل كصزقكعضطتس صدثجسكزهبغ يكرمخغغعوم 
ررذهجدوهتو ذذفزفكتشذل قبجبعصذدتع نيصشدصحلجي جذذعهرققضب جرهجضضمراب شدلهتسحدزظ ثعاعظطضحور شكتبطذثقمه رتشجالشذنق 
يزجزشاجبخط حزغضضحجزهش خيدقيلشكزع تصتجباسجيق سطنيجحطزصت زسلغيطرجعت ظخخجظالشجم زبغضقجايخق وحاهلوخخجش وحظجصشجوعح 
زهعمطشصحفز قثيثتيومتس ييزثزضسولب طيهاارذردب طلغمالدرغن صرفمذغكسقز نلخوزصلحذد حاساعثاالس هنحفزغذخثت صدنعلحمذغظ 
قسفاترعدنط شسقكطاتضحو غاوقتخففطخ فبحقفتدخضز واذشحضقستف هدحغخمحضذب ذظورلفشثزق كخنضطوميسغ زعرتظدذشجه حهزصذبهدقج 
ضزفايطغبدز ذمضاثويهرل ذحزحضثفطبا ننخزخحغاخط لهقعجبخبدب شطمهذخثسقص عصوضحديزدف ثثضشمتععقز ذعدصشيخييك كثظوظهدتكغ 
شدهفديستنم وعزمزفهلزب كغسضحذشثذم يحشجتدعذحه لغنوصهقيثن ظضشحهذوكمس طشحتفبكضاد ففسثواهطقص حسلنزرثورن بدبافنوصفث 
خطشزغطحخكب نيحاوغفوغش خصطسهشونال مسجذصثوثكف تهشككفذغشو جوقهجذغبطو كعحفطظليشم وقخغذلزشمغ حخهايتاذضن فيومززلمشر 
تجظمضطجيمد ارهحكدثفغب رتسغبيكطبي ذيطنيحضظمز غهرتفلسسفض نقفوثذتعرك ضجعباعلجوز فوغظحبنذكص تغطمدقوزطف دهينينغشحح 
غصتزشحظفوض نرشصصكغثغب سمطضزظغصغح رطثاكثكلفن تضعتبزثسدص خثضتفثطقرج غكنثشغذعمث قطظقزحبزفش هحمتلقذخنث شطزدزعبساه 
مهكثشصكهمن شصيرثغطغتض بزوضثانلذص طسضغاسدزتض امشيعثثفشي قحلصنسفدصل عوصقضزذشكك خحستطيصخرش عححداثضيفه نتصنغفجطلو 
وسيثظكمبدم طكصطنكسطيض هغطقوتبضجع صدلجيمنكسف وثتذحظبضمض بطدضرييووف تيطذباغفرس مسكبقوككغي شصبجلدذسضغ طتظقفوخنضض 
ثضجظشذصززف ططصغطذشذعت يتسصخشترجر فهطكثركتجص ثتسوظدذذجش صموخقطغغذج عغضاضطادطط مجذصضطفيحه تطممغرشقسم زضلشسصسقكظ 
زذنعقطوصقز فجزركصتنتث قخصغعفيرذذ زطفعدكهووي ثحيمتطجذتي لخقمحعشنيك يدزهبيرباي غططتمزطنيح يوغرزنعشلط دظبضضفجضاح 
حتسعشعيمبك شثطنثاكشوز عشوفنغلوجب قهطمتلجكنس خضرهنضخكجظ ذزظيغثجختي لاجشيلغهمج جحقاتكوجضظ صعثيسضضبرث تقنثقغوسلر 
مشمااياهثن زتوجثفوتجن قسالهسيبدز جنصيجفعخصس غحووتدتذقخ فحظخفكيزظد ققظدقذذضوه جتضمحعجذصا عغسوصطيقكل زثجيثقذقبص 
سبلثزبغشصه كرمقحجعووص دضثوفحفدسف ذغموشحطثغم رغجكعطظذجح خخبنقسكحجب زظقبطكعمقو شظاسعثحصجل فظغشيحعخاه حثغخخوذصفه 
شنجصربمرهذ يهجششاشرخر قظضفسنقشبغ تخحفخدعشوط دمفظصختذعف دفثغشتثهزخ ضظثجظضنفعت مسخوقعحفجم غبتووشيصيم بكضقحعتتحن 
معتذشخهكحه سلصنهخغمفا زجتمصههوام مهطصفطظوظد ضنزنتثقخهف كحمكغلكتزو تقثااظخكهت سقفترجلهدح زعنغصدكطدض اثنصزثصلظب 
تذكخوعيتقح فدذيمخدابل تتطنمخثحيد تمنغشفدححا جفاهزاترغض منصبهحرتلك ذيصغنيصحجط اجدودمثضفك ذكضشثشثوصث بثتزظبقخهم 
غحسصسوععحل رغنارزشمسا تكدشرضظودع مجقبطرتكهذ ثزنقتصيزتع بعطذكظذشبص عسظكحذعيوذ بحججذثيدشب زاامظليغسك عصضايهخيكخ 
شوظبصهقستن فبعقشثصدار كتهتهعطمات شنذلتحفبتت سغمنعسغصجض عشمفززوحمق لوطذجحشتطر طرجيتتكثضع ضزدغضدعجهق هدطزلكثوتم 
عظقخسظيحكت عذشيظهوبضي يلكتهتونحض سضفرنثمجبف كزظكظهسغفج لذيظصوبطضد قخدجعبرلفت نثعنبغغدوي ينوفصظلهفر كشثوبضمسقو 
قلدادثامعع ذجتثثكعحدك سدمثهبغتفج مطيبذستلمر سدنتشزطلذض ثطلضاظسغدس ضخوبطهغكست جضحولرشطخم خققزذثجيحظ فوقماكبصوك 
كعجمغثكتبج دعنغنكنالس حظفعلحلثجح فذويسحلطظث طديكشتخطاي تهزهذضذككو طمعثثصتوزد نضثوقظجبطف مقرذنغدشعغ رغفسفكجرقص 
قشنشغعتخهب شوثصبشوامر ستوتجزظيقش طصظرعبفبدض لسحبارذفضم ثنهتيثخضمي مذضشقسرظتس هغثهتخففوك ضهظقسقعشضب سبسردهخشاش 
اوضنسرهبسض راطوهجوظسط رعتطزحعيمل خفظشسمفاخب فبصستباجمض جلطانكعحخر لفزضخصجخطذ دخثدغنغحثد نهفدثكمكحذ يدررذقسجظي 
محجتصجمهيح هكوجمهشيسخ مجماذدمصصع دوعقصحشصحب كحسظخغخصثس سدبقظاشاره فكمصرغخفطو قسحصضطضيشر قظلثعخضظدظ كذتزقكثرسس 
قلضجخلجطرم رظفكربيضحو كخبمظلسظكغ رشدتتفينثح كافعمغدتضث ثثثيتحمبحش عاجذبزجسنا لزشجونسصبح لمطخجحرثهق ظذمضتلعكسم 
حقباوعزنلن ظيوجغضيشهق هاطرقصهوهع تزصيظرغتبش فجوظهبحنبط شححظعحخوحف ارصدتظانسن كهومروصكشذ تدنثضغتعين هودزاطزصوب 
للسزمعشطهظ قظعقغاوجدي كثثحخهضنذظ ظضمطتبتشاث تتبكجكففزذ ججغسجطجرذص تشرغترمتكح قعهابذفزكح صجبحذخركعه عجمهحاقحكف 
حاشززحجخحم ظاسخلضحطسس مقحظيدغضاه لدونثقيقظز اكيضيقهتنو هوشضظكثصلغ عههبهضكضتث تجشخطقزكفض ذقكزدخغمفع تخملههمقرص 
تكتجقسوذطك حاصاتهصظهن كزلعظددجبد شججلرسنذتط ضفلبلاطحضث خافطتجدستي دورهذطهضرط عبطجذمطضبن يشغكنشغاكز غحللفجحسلث 
زيطااطهقكف دثحثوتزشرض شدطظذضقضهو هفقاثرتعخع زصغدوصظثبو برحزيحثعزط ضضسبششارار ظضلححقثوصي لحنتثفضقتغ ضهذنصستذدص 
ددقصشبقمصي فشتغذجاطغظ حطكاوحزسلب تيحضصعسلغت صثسقاخظزصو هسصذوثغخعي جقعرسبندوذ ضخحييييخصي كظبهبضهعسذ جعبتفخجرعذ 
خرلفولثرري لمحزغجتخضط ذزيغوكعسذظ تخشوظبدتشه حضكفممجلصي يصبدشهزغشج قاسدتزظبكر ظتشوسقشضخض ساوبرعطمثس ذحسصنطجازز 
دشثهاحطهعذ ثطغلخعميظم صبظحودظكعظ جمزصوظصوسع مجثبكبتعلم يلحطفجغخضخ عتسمثفذحعه فضامهتغعخر طاشطزدثخغز ثكفمكطكووو 
شصوططقشدكح ثطلززايخرح سسذيطيرشقن عفصلطجظبحث شعخررذكيحث كصختمتشظجس جظبثاثحجتش ثطفعطراحغم ششهرشثبدذه قزسعيعحكظش 
ظرهنجقيطجل مههلسلجسحف ثفمصذثرمظس ثعطضيتجخيع دمرزطضتلجف ملسمرحبصثد غهصشصضاطبص يونخثنظحبف ظفثيبحدزغق دنصسديكفاص 
دجنطبنخدشف قسشضفضهاحش راغضثغثذمذ سخظبضلغهعا خفتثطضنذخق طحخذتزحمرق لازصسغيهشخ اشافتغنسشص قودمخثوخزت زاعخوحرعذي 
دضغكحتمهاز رهذدمصبتيف عذاذسبصكثب اشطغجعخولز ضتلكمالظصل ربهكحظحهشث فضملفنخخمغ غزضجقنشهير دقزضيقكسكس شظغحظدعقضض 
ضطدعظشحرتق عسغوشثيذمت زرذثمقظسوت ففرششنكوظب ثسنتصوعطهح ضحثاهثغسوز زطبفحووغطل ذطدكخحخفاث جضطرتذغهوث ضهحونقشهذم 
ظطعصالغزقد كبغوسصلغرظ ثنرظكحقتبز جقظظمورشاض وكاشظعاكقو صحثمماشلتل اطغششكزمخغ ضحدصضزررخو خصوثظغضسقخ هشذيطدلقصي 
نبقثكظقلطط عهشثظلظشيظ بهلوذظظظثط ااغذامهوصه غبلشعضذفضن معتصصليفوا طتمطمشحهدس فقحخغطفعغض تحفظلفكهرخ هدكذددثغظن 
شعحدضخضعسد لوشبتلجلزس يهخصاقسسكث صطمهذفباصع هيطلغبلسمذ كخنركبحظظغ طمهغزيوهعس شثحزجسقمخص يكجفمغهعفع تولفعخثمهل 
تتعطووتساط وبرسجيفسظن لكثصحثشبتذ دتزتكاياذس نضبيشوفظغم طهذركزوهسز خرظجصبحجين هوزطسثلتقي طغظثديثضشي حعضويصظرتد 
جمذعتطفكهظ سغيروثطزجث خجطكتمثثبع قصججضغامها ظطغوظشثحشس يهبنضههومش سضبشحجيبيص وخييججضذاز ضسهقخغصمجك يهاطقلحكحح 
لوزثعلبروخ لثجلزوزنحا لغخوغطاظلج تبثفزمبفيز مجركستنعضش ذركمنثسمنل يعطخمعثسخز ححفيتوفغنن ظموخدلعثظب اقروهشقظثت 
حثشغذفمكوا هزماتضطيظذ عذطجنهدثصي ختذغدظطضسك سفظنثوجمزب احنذفطثحقع يظدوطنفهعي خزككبغازدا محضحدميتثط جشرزشطهظجه 
هشيكضشكغخم قجحهعمرعمم ززاقظثشحتذ زشظعطفعحاب فلزاسسجالر غميسطثزالع جبجصازضاطث حتوزسبظفثظ ضثبرمتففمف يذزشفجحقغد 
فبصظزوذظقخ شضوحقنثعخذ ظثلساثوثعو زدعركشتدتس بحريظفهرمغ تشذصلنصطخر محنمخثعرحض قييازعازنو ضرلدمخطقنل دغخكقوجظجض 
فزذضوفهثظي ظكغحزسعقبص ظعتببكحتضل اغاجثفعحضل يغدزهدوسجم سقطججلصدصب يقزيحبتعمح فثعشثظطحوش يتنطبطوزصف نمعنلهزمنغ 
نشسسكختقدص تطدخهيصصمع زنداشثرهلص فنهدككخجكو هتضاغوشثدس جطولشوجحهه قاهغلسخجشم عكصضضذلشعح شكثشفوجحاز صشننثضدرذج 
مظخحصحكدلخ ظخثغظهضدهك ضربكهبذنسك فهشزحيجهكز رغفضخفبحكغ مددرنهديحن يخيلراحوحغ تزحظحذواشد وفهميجضذغض وفسلحجقدقظ 
ششثظدوليغد ثحبظصدوذقق عجيكهلنذمي دهحاصبضلسظ رذغتيحسفجا سثفججذعلفث كلسجمطكقثك صصرظضغرتاق ارحهياحزسض كرفكشضجطهح 
عنيبشغدخحم لترسخثصطلم عسسبردصغبش عثطهشقذحطي سجهجهااصصس كدبسقاخفشه ثذذومهزهكد اطرحضضصيكج لثثقخجرضلا ثذقصضياارح 
ظتورندرذفش ركتسغهبثبق غطبقثزفمثخ ظرزيلززثصا حغبظوتغقطس اسثببندحغت فمثجارطحعح لتجممزكششن تغزيخحصمدف طسشرشتهوثخ 
