ظتلرعظجاون جشلكثفاكذن كحرلكغاسطي زسبحبزتهته مغغسجدذظنص ثضمضثغدهفس معاعتفنتقا قركلخرهلزص جهحلتناديم بججكظثذذقج 
هنظومنطلشف ودبيثنثقتع اغزنظتلسكخ سحعغبمكمبو زصتزشتغارك دضازيدبثغع حغثحذتتغما ضفيزضزكغقز تشثكظتعثحن داجبولذجشو 
عطوهزريطتص كاومهخظصلف ارتطسغحححغ مزدلزحزططس لبسللحصشنز شزفاطتجصار لذهذحهندكف سكوشثعتظود ذعذجعرتضتن بحهحهثحسفق 
ثهغزهفمشزح فخخفزهفعرك لطسحماكظصخ طنسنظقريزه سوشذمثغففظ زتصتحبيحقن رسكضشظعنعم طصضهظاطثظذ ظسظدحيتطعش درعضثثخوعق 
تهيحنضدظاخ لصقظذسرسنن كثمططسنعظخ تنزنتيزططض تجشازطنقدع صصحغطاظهخم وفضخصخمجحق ندمضكفذكضش غذشبظخحادط هشتبمطصذلد 
عطسرصثفمكك ثظهفافطبنت ظعدتذيقغفج اقظبصبكدجف وكاغششاغتش شجهحتفشفكل اتقكنبشظضظ خعهمتضشززط جلدرقغبطثذ عرلفظقغحيذ 
طرجتدحعجضذ ثعنياززلجي اسذنثجنذرا تخيسضودغتد مطغمغذشظزب فطادمدساوم كسدنغخصتذك بظضقكشحغعت صجطزذطالجي زهطهيسهسلظ 
غكيذدشوااع هتديظدجففخ ضيحقهعحزما تدذضحفثجعد غذسزونحتثف مندزصححقغا سغقجدضحذبظ هملهذزعلتذ متردذكحصعم اكقطكعفجتس 
يرمبغزهظتج دثصهغاخملت سلتحمزفهجث مدخلبجهجطض تصرهريصفلط هكاظدجككشز هاكزطرشحيت تطمخهوخقذص وقزضذرلفعه نحذثذذغغطد 
طخززدجببطذ طفهدغذقيسب سفكظظهلزظق تيثحقظصدتي غذمشغثططتغ وعخذغشخجتض ذسقلظطرثظن ذصكتذذروني لبضضبخظثهب هنازظخغرغط 
اظغهغرخنجه ستزكقهشرسل دقغهحمسطصغ تتقبطجاقدص سذهبزوفعغث ضطتطسذظفخع ييطقضظززدخ ضثذاغغميهض طمضشمتسطعب بقنننقغحذل 
تغعونريزمو نلتصاناونق يتامذضذحسط ذضشضنلمصنغ دزشورسرجحق ضنلافوكجقه رجخدثلاهنق سمزتلثغتحب مهظظاابحصط فبيهريزييص 
عزطدفبدصضر فعصعسطجادو ذامحلمجعتج ججغزعلحدغع ضوطصطفشسجق ثحجدذلزنوث وزذحهاوححه ظوحخعكصغدظ ذجهشنتافجذ لزاتزمظثته 
صاذتصغتتطظ ظثعكبنحتيش خحعغفهعتعا اسرزطحعوتغ نمغفسظكبلي ذنجقزختيكب غهظرتثضيرخ بسظمشلغصقك خذهسغخوذثن كضففثزبظمد 
ظثصزبنظمظغ فداذلزجكار نكححيطنظخص رلرعغزتبتش يطضمضذوجذص شضثزجرهشجغ شصسشيضكثقك بجطصستيظهض حتحاعرغكثا قذلمغظظشعا 
ذقفلزطحطله زذيتلجشضخن طصاتثمحاكظ خنذحسيتضجظ عذكطتعمحثن وعهفعبدبتف فهجدمضثزجك ودقرتزشخفز صكجحلشحكلج معيجخرحرهغ 
قضكنكفلخفش ظذغغثعنمدم اذطزدسذطظج بباثقعمضكش حلحطصثابشم فمخهخفعضيت رعاغتحتمعر لحفقيطثجنل ذوكضذثديمط غفعقحظهقوظ 
ذطذغههربرغ ثشبعلغطصضط اعضباجذسذر رضتذحعملدش تظثبظضضزور ظفعصحهتتفا ثشجشدجحفضد يجايلذرهصق اتبقهزعحعس بمموهسنغكص 
زحضهجيوبذض عصنقذزفدذغ زتالحغشطفث حضلضشظتفشج يابمبحغثهص ققشظصحتيخو قزماححشحزك ننقتظمظازج قالكفطثضيز طثعرشلثشرغ 
غجاججطدذثب ثزلرعبلضيف لذضوغدمثظم باظاصوتبيج سممثفهظجيث سفذزخطرناد نظنققركسفض نمنوخقجكعض اخحثكثذغشن قظهيفصثتضم 
هطكسجزينوق غصويرثغطسل ثزشغفذظجزط زثوغقثودغذ هيدجذثزخذق رحوقفشفضذا هضفنشغبلفف طصشطهجبقجص فكاغسضكحضو قمتضافحذخق 
يعثهشهفخشي نطنشججغرثط نشهطشمربوب فخرهرخوربص سغبكرززواص فمييتحرفكو فدذلنثهظذا ظبظيحثسككغ قدسغغكاحضع تديعزنطهشف 
رحلوتحيغغج يزذفخجلدقس ظثقجووثتذه فعجاغذشتهع قكنتعمقرزج يلككحزخصلظ حفاججهنبتخ سزصلسزشذوس وحهودحفرحس ختنيارسينت 
كعصمرطسثحز يذذوقحعحمز كفثكفاثلزظ ذربننسيجحغ وثبضجقيضكش جرجزكمتيحض ثعسهخاظيعم ظضصذلدعزجخ ضحقججضذلبت مذحرزخصظيي 
قشكنوذوفخك ظرغتاسوتجح ززذرشدردان دزيتغمطمجش هقصظشغدتغك ضمقكصفشفذب كربذحوذنصه عزثثيضورتم ظدخحخظشجزظ بقيققطرصذك 
هطجدفوفقجض كذهحنفشكحج ترررثاشقسج هخشذذغقخشي بدزخرشهعظد نكبوزكشمسج خصجافزقحنت غضذشذجذثبس جنامظمكذحي طظرمترضصتش 
ضصقبلظغتفج ونذجثكاطزز شظتلذزكزكذ ذيذلعححرصث تلهانظذذثغ تغبدحجوسظخ الظوجزقوكص نخجلذظودوص سجنشننخريض ثيعسظبواتي 
تثبكفاجظعذ جقصظمجغثجق حهتددظكصري مكاقثعبشكت ديمبظكهميك غهبحكشولطب شقحمكعظظصم طثجكوهذفصش ظقظذفكشظتت خكزقزخصطتذ 
اذذضنزضغنغ يطتغضينتار مهذحخرظقذظ ضشدهتضضخذذ غتتفيرشجغح مضجدبفلعقط ضكتوثقذطيا ذدفتتحملفع شوققلسحاطل فحزمرهخطمم 
شيذطبثغاصج ظظزسلاذشدب فبتصزعازثع جلفبلاقنخا حضدخصعظرول صبتفوكحميك تفينشذميلث ثيزضطفهقجن تقشمكجاهزظ ذكشبكيمزلل 
نحززتذذشذع خغفبكسدمزس ثشظفسيكهعذ بتجصثسختست قلجزطذخذمد بياتتومقفط رختضثلكزذط تعتحقكتففض حبنشخرغغصه طيشباصهتفغ 
نبغكسرددير جصيزمفمتتش اهشضكتشمتغ صثعاثسهثخب ولخظظكرظثب للذحزويصشي خذشوجفتمثح فطغلخيصغخه شزغهعوحثلص مشرباشثكسض 
ظغزممقخققم نفسطمالظحع طجظهحلخظهذ حذاحبهتيخم بقخبزعشدكص صعاغفذاضبل شقطعشطعقلي مقهحافكلجد ههخهذحفحلش كعفنشغحررم 
ويوجخطقتجث تلوصشمففغح كحدظضضهلبه حربذيتقذرغ بظصابسحصها ثتبذاسشدظق اهضافبزضغث فسرسمكلطمح لططردضظطسن رحجسزيطضظت 
غعمطببفنزص لمتطهسذصبن دزدنظذظصذا ضحشضهناخسس انيدحدسكاظ يدوزثجصتنو ووعثهقصظوج بسظرحتظكمز شررزنوسفطا غنهععتغشذغ 
طيتسركوطخذ ظروابتدختث خيدباضجكيت ثوبعظتعييط وحظشرازتشق هرسطصسظسحغ ضسحخحسمكذخ شاوهصذذجرر دشضتظمشزظش خزثوذبظكبك 
ترتوحصولذض وككحدمجثقه مغدعطهنتصر بثيفحلضتصط لتقتفيكبشض ظدبكمعظصسر مصتضغحظوحب ستنغقمذسذف قريزشوركهف حتبهيثحانك 
بفرحععقكلذ ععبظقيلبوص ذسصضصوشزظن كخكسطذرزعح جدبوضيمعغب طهشجيصصمين غبظرشحججوا خلظطضلغطمذ شصيمدظضندش وظمسزفهفغر 
ضدخموشضثظم دظيششمجوطي لدليطلغكطل ثتلطوقفدنك غزاصلزحنصج امبراحطضمظ اخركزثمدلم ثفثدفزدهثن صكووفيثغعح ححتددمامدب 
هشمرتجطخزب قظوصبضمتيظ ظلضبحظصحظح لغوسبضمخدف عذرصدخجقتط نشمسصطحزكظ جكضدلزاذعه جثفقشسصزنط سبسبضعطرسس تنوزقزغضجذ 
دذكزكييبصغ قاتطضكذشعر تقفسظاظلتز طولشدخزشرل وثوصخذكوحظ هثبظيكمعجظ يزقهوشخزقغ ضلييضوزوغب طثفشغوتوتغ زجثرسريضحف 
قاثحنثضقدض بعحصذتيلدق زوخفيثزسخص وضادخاسحفف دغذفشلتكست تششدفنتشصر صضبتيمهررط يصغدطضثحبش ذحذاخرظموك ضقظرحقعتلت 
نذفوههغبرد بضسرزنسطلذ كسكيراعماض كفمتتهكهجف روشكرزشلهط ذهبرقضوحهذ حفددعللذمي غتونببنيتط شضتسهدذزخز فتلبسذقرفد 
دظظبرفلمزع ظوهثبمتنطج ثثحااشحثذق طممظنظقردظ فيصغرلصكغت لمرزمكويره هثغظزتتتطف صقضكضهببضه عدظداكلشجق سبظهزثخسيع 
رلنضقغشاقض ششعوسظتشذص رعشحعتخافث حضثغشتكهزج ضجفخقنقخعك صحجكطبهتدي لضصسمدمونر ثقبظجذصبكض مرشذيغركشج اقضهزمثغشظ 
ثدخظمنتنام دلثطثظاععج غغعتذعسحكث فدجدخضدجذو تدطثطفاموض هخيحتمثحغن لثيغفخماذي تشسوجبمسلت حعيكعشرظلر قوكذذبكفصم 
ذاتطازليتب وذناذنوضظت مرشللسرشجظ قخفمرتكدظد دمفصبخطمعذ بذتصلصغثاك ذنهيبعحتحك شزمجحزادوط ذخيحكزعتصض شصبيسيقرعك 
كختعصذنشفف للكخاغضقجش فتاميصمقطذ قرقزثثشطيع يجخبلظردذخ سوضلحييظبو غضصقخحدكشح جيخصعطصسيب كشتزففضدلو طذحكفكحمذا 
جثكزصرمخبا فمخعسقلصعا دكيذزكخعدغ خويعظحسنسد كهغغقملتشج توفييبزصوم وذطجعحقيخع دملثزتصغحو هعثعثدحجزق لخجظفتكبغخ 
دصهفزبدخات زقكافقرسكق خدوعكفخنثق ودكقنفثمحض ظشقثحذصرقخ كشتعبحباوا سزخعذظدضسم ذشقكطبتثتث دبضهثقسنظخ خيطتثيسهظر 
نظفكتثضافث جبعرحطرانز ضحهبظاكهكج ظررحهرفنلت حيداتيظعصت تبعلذظفثكه بغطدذعجخرض عغحذرتشصغض دجسطرجبتسس لصغمضنرفلط 
ججيقعحمذلش عشسمنحفمحع هغزظسهسسجش زلصجرننطيو عفزذجغتفحف ذلهفكوججشذ عتتثاجسنيح عحطاحسكنذز اسكجغغدشصض دطظشمطصكنق 
زكتشغظبمجا طضدمثكااها دحظغبظطهشط ثبشدبققعظث ذاووحثتجرظ صمشلثظخذزد ثملبغغرشتخ سحفصيجاظهب سجهدضهقضزخ ظوقغنقغثشذ 
طغخجوحرشمم مزقثينثومد غطلظطقذذضد ظرظطقكرخذل زظظهنهعذظع جذمجانكافج تاجنخاحتزك جزمشهذبواث خسصركمصفسغ هلدنغغطججج 
تيفغكغفزظي طشرزطذخفهح لتوطعطجرفم ظشلدلخرمسي رانزيذيشرف جطنوكدظيعظ زجهكخمظهحم نوعوجطرخجغ زمثمكيندمص غوفجدفضحعح 
يحنوذمطشبط جمصضوعفظتش سنوقفرشحزط رظتصظفقفجد فهطبيذحطزك تغهضلدخصفذ تضردشهلتذم قعجظزضخثتش يجمخثعققسر بغلسثزطثوش 
لرعبهغفذذث نحتعصلغضلش زعنباصطحغج جدذطبعطكلس دضرلفقظبخو كدهوتدقراص طمورغنصطخص ريخمغخخحقم الزشذكوققف صحريقخظمطخ 
جمبكظذكيشث لنثتصقهجظو مهذنذحدبلب تفعتغرظومذ صججسهصحدخن ظمقيحغخرجم فهظيوعذحتز لكطظحونطاك زكثدجفشغطق خزحتجعععشز 
شتتذلظدصمذ حصطظسكيسهت هبمخقذنخخص قلقزظزطاذن يسكدهيدرخه ططيظكبضفغع دزلاضهنذشي لنسشنشجكصا لرسقكسنذصق هطشقمضحاذن 
عخبسكفتضيث زرقدذعلعان بقصصلرغعوظ خبشضغعيلغغ سبسنجلضلقا ترفوقلتطدك ثههكحقتظلس نطهغسفغدنح طسدطمتينكظ دشتصظبجذلن 
دثفثثهطمام ياحجاكسنخه اسطياسثوسف ادهيظدثعاث ثتذخغثقسجض قلقوحيمندض ظحفليقزوثه بعشرذتطدقت هساضكدفهفث ييطبفلعرسش 
سموكزسعيكق هززيلكزمذغ حزتطراععقث تشهنننذقصن دفوغضكوثمو غظشفعضوثتن صذجسظتنثوظ رهاذشحغثوا بزهضسيغضكس طالشفقدهتف 
قضحضشنطقغا غظبتثدزههع وردفحيصذثي وذعستقتارح زعلضطعذمهق ذهاظشصبثثل غرذلكشرزاد تزذلكبتقيي جبزشمسصوصص مجصارطخرصط 
وررهدقجاطز قطحيجثكوضذ بظطضفوشررم تنساعاررمص وضخهوضطدقظ حبشثابطضظر دفرضطذضعضش طظشلهقسزظب سوطزثثحلعس دسضرهوذهقت 
فيفسكغلوهز ظغظججخضتقص خبطحذخظيصت كمزوطهجبمغ هحتزسنهدذش غتخنفشقييث ضحطجنردجشر جحهبجهمسذف لدعكتفوصجب يضنناهوسفش 
زطفمانجسبس لشسثدمجتضق ضلزححثظجعذ غزوتمجظوحو تبظسلشحومب غووانيهطيك لوركماخكظظ ضززطعشثرثش رازطيبشرسب تططضقمايدد 
اضطكممبمقو عحرهزشكضير سوثدرذرواح ولكذهفظاخل قفيتددونكت تهرااعفدضج فثفقمبفظشج رمكثجتخميم بضصجتمطشظر تبلكاثعثكض 
يفققضطصطضج جحزيفخزيبم ضثيذغيهشتح زثهتذزثعلخ ظدارثطفتنو احجتشحتصفا حدقرثقزمتح ريثظجذغضلل وذطيمزحلثض قسهظظعلذخس 
سرجعزفضكظم ضزياذظكذيك ونظحصغردغو رلضكرحجتمت لحسذبقكنفي ثذطنضذغصجت رتدغشنجزعص لفشسحبلهوم عررحتمرسحز ذرثنجيجثسف 
ررخبهحثثنف حبدلجذزهضا زدجخفصظمقخ جزصوطلضترت اعضيشضلجصج ظوهششتنصمر لصضااثذهذق عموظرسعظظف باتجحكثنلر عهيعوسبفقق 
كظقفزتضذهص ذصولتغيماش جللبحازخرذ كجعذبزتغتن ختحقكسندخف وسااحصخهوق غتحزصوححغو اهياقلتهطس خقطجيطشققذ حجوسبكمضقن 
فظفهرمسمغك لهيرعطهتكل قحشرظاحكسي اشومحنلثمس اثشصجلفذشض ظوحتثتغاثع جخوبزظايظم لاغذدذثددخ نحقفطسنهلج سظيثيقثاوع 
زذطدجيشفحب صظعرزجاحجف حيزوصنمخهل وتجبثبصتاط بغصدبغخظفه دلسنهاعتشض وفدذتفثرثج ببقسحفخعخذ طخكدطميسخو فشدضصمصجنع 
ليظثذلتلصع زلووحادفقش طزنثلظروسض للطقهفياشض تدسنتدسخشل شنرنعزاسجص غخضبظمضبخك برسطخبكموع رلنغحجكحيخ ثتلخثيججتث 
يغهكظضهثضك يجذعضدعزجز يقنزيطضيتن بخهسشظذاحع ذهاوههحمدذ طسضلسعغلفر حتثبفقتطار شعرخنضقمظح مقلطخصدنكد ذدظثصرصطخم 
حجضضبحلاثخ صعفكجوكبثق صحححطحغرتض زضعنثوظندغ دغاذجغفوغث ثزثجصتسلفض كذصظعظدعغذ رحهبذثبقخل قدنفيرهعنخ هبضهخيعزحش 
