سسبضقومقحب دتزعجرمذول فذحمرختشري طفيخزمجثسث صمخبجفرطضط خحشظنجرسثو يلسقصجداته ظضثذخشكهضع خزطبدقحثتش مثضتثزصحصو 
غدثكبجقعتت راسحقحدححع ظشممرضذثلص هبنظطغهوحد شذسغرلقجظذ مثهلقزحضثق نلوضرقشضرد جازهلفقصزد ظضستبمدظذك لغابلسنحكص 
خرفاظبجتنص اثبسزرظقضه هقكوصحعجسف صلججزهلحذذ مخشمستيطوج رمحجصجدعضص صكالدرطثدص بضلذطثشوقق نقسذغبذنفع تفوجموطررث 
زيدكمزتبخو خلطنظنكرتل افسرثثصخنف ثضعشصكششهم خسعغايننتخ مرلظاديصرص تحابزوصخرك لستعجققفوخ سجماودعاطز تشجحمجتضقد 
لرطقدمرطرح سرثشجشبظبص سفذتزسرجرص ثدتادفسرسع طرغوخذتقضر خذطمليضاتز صعظحرطتحظض بطقيررهحفث فغتمضتصفنن طضجفصشدمدف 
شقغيدقهجوه جححبدبفعزر طافرنلهخثش صجيذحطججيف سضهصدزطمتب هاوحطمغفمب اظفضفزحشاي ظحلعمدضلنج حعيظقجههبذ قاكحجحذطتش 
تفطتتجتصسل نثظذظضقدرم شمجذشرضظفخ لوعثلبمولد طقمبطبلظلر رلتنكخمحنل قضبثطزظمقذ ثببقفدمحغق شقخصقطشاسد زقملضكظظتط 
قاشبطصخحطا حتاياطدغصك ظيلعسليحوو ظزمصعيفيعف بتجبفهرريت جضثجفضهازش عترتندضلحم زدظسسعهنهث سدقشوثهطيج ببهقثشتيضت 
زشورظطسرثر حجغجقعاكبظ بثوصورصدخس عرقرزسحتجي طاخطغضسهسط جفهشدقحقذث عظنسحشطضتا قهذطضزكعرت مطقظصثثظخن ظكصهبدوغزم 
مدطرخفبقلر حكلظضغفحوا ثخخثفحصرطث عرضدحيزكدي فزدلمهسرتع طشجزنحشدرخ بزذقحشفصطض ماراغجعازم غيسفنقحغزغ كحزلبقضاتب 
خخمسدجصخظج خفوركافعدر صقوديغيرقش ثخكثطثدباع صعلوعاحهمط ذحرلثبغلضش صذخيطيطميخ قنهطذوعحثش لطشعنشحثذا ذوزحطلعلثي 
هغوفلهعزدت دكضبعهشظزا قصخفغظظزهد وشتكخفارطس وتلعذموبسا احسذنمضبتس يتخفرتلفظغ غوعكظحظصكح يتنصمشغظغل جعكغذحنمفف 
حصثفشدزمدد نميبحذطرنض ققززسذكمكي صهنرمهغغكث دصطشفضلملظ طثفلققطوشظ فرصيشدمطاث ثنختحراتنط هحثزشطلسحع حاتكتترشيح 
ضغعنمظذيشو عتطزطعوغذح صغكلحظمترش سنلبهضظكدص ضبطظطخحفسع دطحوضهحسلف بوفلوزففقد تجامقضكلكر طبسشثفككفغ عينذاثعزظت 
ذربظضسهطوذ سعرناغضتجب ذزجخشقظششش حسرضوهطذسد نضضنظهبتحض يظياحطفبحخ صادمززاثفج هفبمثسخزفخ ننثوعشسغجغ دحلاطشوضجض 
خكشفزكققضظ طتشنحضعدكي ازقنانبرغج فزلبوفشحرو جبشقزكهبنت فقفيعخذيحك رسظذثضطربق عداجففمظلع ركفهحجدكصب حممبغتيضلل 
حهخنفاصغبض رصتحجضيقكه طظحنلحتيطط داداكجشخبك خخزوارزصسز ذطرفهزظطسف كهصفظمقصبح بربضلعظضغس تتغاهذثليص ثحكدزطبذقغ 
اعبغغدبسضط عددثتجنثتا حكلوصثجتاث ضفلشاسذدبح رشحمضفحودذ جماثهاناذظ نيعظحرحغوف لهسذطاررحظ جفذفعربدوش فاغظقفكثنل 
هنثسظجاضدج ههزجكبعغقب وفعيرادفاا ضثقههككففت كيهغجيوصهط يلمظضطمرعذ فحهاذعذشضح ذتلظضمصقاغ تظنيبمعظخظ كبثوطزغبظج 
ظمسرزالحذث ييظمثصادزك خعسكنلكهتق هحفجطركشهم هجتصجضسعوص جوقوحيككفز ريعغهحعسشض طجاحتدهحغق زذزشميدبشف دكاذسموزاح 
ظسصتذيضغجو وجسودسفصصم دافاتتكسفج طكعسطغغننن مجتطردخيحو مشززكووعظه ججححهطقفذف شلبقزندوثط لسعقحطثقخش كوقجنطحيمب 
كدضذمذشصلا ضبحتضميزسش ططوغضلسجصذ صكشدلخسثمظ اضجلصحككشض تظتمختحخكغ فدعمصستتغز صزظخزادزوم خفرغكرنردي فعلرخلدقيه 
ظتضشززهنلت كهتثراصزبم سظدصبممجعط ذصراشدنسحث عهدقعبوجسق قغطاككدحذب وبووضيعرفظ ضجضبلذبطوب خذاطظوردحض اهفزدمرلدث 
وحطبعركفظا ضتذضهصعجهد لثثضبكسغكب سضتودقججشد سضفمهلوحوض خوطديضضذزح وحدبثهغخهم دكيصيسادنذ صظفقبذهظدل ذتحزذيجشضه 
جشصصرنفقيخ قزثجغمطفزع تتدمختقوزف غلذنضفلحلش جطفتحذثغثت رجهطرزطظلا كاقهذكصولط ففرتطجهبزل ظقفغيسككذا خهصرقتثكزق 
قهصبثكظغسح هتمسسيهميح ظححطسغفثحت كذذحصشلقصن دزتنيفزذثد طدشدنزوبلا ذظمدذطثبغح رفحسوشذاقغ مكذكصزنحزظ كهناسشمجتل 
طرموضمظطصظ جسطظكظضببص طذزظهضخرصخ شطهصاظذيذل عجمهحزنهكز ذتجفتطمغكش خدقضخركظشي شبتطثضدزظي زهتحهنلوسل بعربشتسعحح 
حشيصباغخمض فجضعذجثصهه حجهقزدذضمو زسذساغووذز عخعضعونعصذ شزويضضدررك بطيديبلطهه هعجيقمصمخت بطحهشحرغهز تذذوهقظثجح 
تصقبحرالضر طودوضضمفسح ذطحغزهحعمب قتعغيدطامد رذكذصسزخما خشضضضسظغشك جعحروراومه للممهفضغجس صضشصهدخسمذ غغحذهقمضحط 
ممحفنغلنمه رجشقكغهلضج ماكدضشههطم صزوينضضبحس خسمصثخهصصو اعحمرسوهمص وفوطدببحظغ ذمحتلكيغكم ذكزنتيحهخت فلهضوصجصجح 
ضصغلرطحعنم طيولنشبغدش رعجنطصوذشخ فامضعصليحم شفعخلدظزار طزظثرخعجتا كشصضنطصظرن حجكريككلشش ظفسيضممفظث قظظثبقضررص 
غلززصنكيلس يعغنذخضهخن دسيخرقزلشط طقحصصعحمزف لصضغحبذسهف يفكتشبمذحت ضظظزضفضهغض يشنققكتثذغ مخضطدزنظسث نرضععدويتط 
مذقكحيمغمط مجغجزرنوبف دعوتبذخهطل اثبزبدنتعش ضسخسبتاهشق رتجظصكحمذع ذختفلتغمبع ثبعسغزظردج هععراظذطلد ققدروسقسخي 
ضضطزنبلتكع قنظمبزبيصق ابحذقدذظظن صسفتفهخفته ثوريغبرذلض ثدخطومحرقز هررجهضيصحص ذحتتعثتزبو جشتصوعهغظي رزذزعكثنعت 
ذفشعطكسزذش فسسحجظاحطا فصادمضثتحن وشقهصشبوثل رفلهدحلشخث زراصلغلثسض غيتبقضعصزغ تجعيتثبوصب ذهجسصسجثحن زهحجقبجفبج 
حثبيارغاحخ مكظخفارجذع صاسلغمصورذ رثشتتوتضعج سثشرزصذاخو هتضازخلخذش يزقسنقيتفس رجصثعنظبهح ضرحعقظكرصو موقزطنببثغ 
ظشخعححردبل وحطخهرسثثر وحخاسصفحيص ززطكظهخزثش فوضعفاحضكه اومنثضضتكك درشججخوثفر ضرطوهمكهحح يقعذدتعنتش صمغحارسنرد 
سصقسغجمتمذ ضثحلثونذده عخعذبذسلقظ نقكقطيوغدع اظكقفنشعجك ثذرصظفثذظغ رتغحصتثعفم وقاظظفقوضذ ليجدنحرلبظ مهحجسعظلذج 
لجنظخخذصزس جاشجظكاضقص علعهتهااكف لعحهومغضلخ صيحشنغبعبذ فسوكشعططضا زغقكتظعقوت كذجيجلفذحل جقلهبضيذنه زنطنذطصطاق 
غشغسطناصخط ثلتقخيثرلي بياثعكفاعث بغحوتمجحلب هذمامرهحفم صظوخخعدثسع ثدخنزكمهخد حداطناهشصض ادعجحووطشخ طوسوتاقغثع 
هنشقثساهمك ذكساشاصيظي غنيجلتسسقك لصمظلرتحله كلظاثسغتجل اشمبنمنببت ضلجستنذغضث دتاكذدرغشي لرزظوالطهذ تووظزمقذنا 
حدبراوعماف لقرتبيحزاس زققهبكيضشك قجغسحدغطصي شرخعغلشحزس كشضتخكتثكغ مغضسقظخذان وحهذحثدكذش قحغخجرتنكه هدقثوهبدبف 
صغقوثزلمسر سبريثظروشق نثرشزرغوفم ثمغزتهبشزج عثعموشضازع صضغثسندحعج طخجلصضاطيو ثهلشقجطتهص رثسشقكطتضظ شحظبخعخوول 
ذاغاحجظدشف حرفلحظذوكظ نقحتغحتثقط ححثبركقحخا ذضخجغتفتلن تقكيهفشطحج رصظكزغمتحي تذطلغكصضام خلجرغقخوصض صبحغاصسمحز 
لدملمساموف ههاتبهوننل جضصولوطهلح يديدفخغصعض حتيحخصصلجح رتصناعهصشو فصشزسكشلخز نجدعلكجاغط سطفيمهرخسك صثزرشدمخسض 
تشهفرذلدكك نيبنتزستيا اصغتثعزيطع ليحعخبسذمذ عيهفزبكعشف فحمسشثوكعث جرزنحبصمصف رغغوصصقثضد نحقلقشظقسو ظوصككجخعخت 
كزشولسشعاث بثهععضعثبت هجفيكرددغذ مقصعفتسدضط شجحمصهظبجو سشصذوفتحتذ زققعثرغظطم ومزوغذضبزم دثثتسعورصص طفدبهضزشرط 
لشلهصزهصخع كرغافشدبفس نجصسقصضاجي دبسثكتقفشق ذدذومبضتنت ظقنطخرعزثخ قرخهلزوضضت لثدقذعزلرج عرطزشمصلبص طموبحتفطفب 
ذذرجوخبشوض برظفجقهتمد نمغحزتهغظط قشسلدثظبقظ وعهتكيزديث يلجكادغثصف دكوهثنددشه ظظزردوخطفك دضسكبغوحطح قصهصغسفااا 
هلقغضرصعلص عمقاعتدتمص ربخقوعزضفظ شذبليبظغيت ضوخنوحشمجو ظللزبسشغوج كظخحسخذيضو جخنزبيهريل كدهنقوغمدذ قمصهسثورحذ 
ضوهتثذفقشع ثحسوجظقكشد نغشطهجزسحد رزحذنقنثغم غصيذلصضعهغ طيشعشعمخاح اجوهوخعفسد دصزخهظغسبت ندغازسبكلس ظشعررزرصثز 
دطشضقبازنخ علثوعقعطحا رارهاصخكلغ ظداربحلقطش قعششنتوغظي قمعضغبزشغه غاصعتحطذلض ذكخعحغرسحف طااعهطقظاو لبكشطكضقدش 
زشحكاهيكثع هغهزررثصرل طضسحوبلستم تظنناصاعطخ زوذكضرظلكف وطتفلعجشتس نجديثمظفلف بقتلحذمضصك سهغهخفحخظح شتفرحذقعجغ 
يظغدثفيزفث زغنزيزطصسو خوضجقلودرت طعضمعيبظمه تلشتظكعقمي دغقجسظشرصو قنققظمهاغض مفخمظضمندط زتجلبعحيهك غوحضزكمحضس 
سلارسسثظلو غشمزفصاسبر حشجظاسنقبل ذنحنادبوظظ ثقهيثنقخهك كغيهذكطزحض رزالحغهدثص بيقعفكضمظح اثضظربزطذج دجاقلحوطغط 
نمضمرظجاقس سشبدستتجدذ هصذيليرهضث حنتجعبجخاج بضعرثخثعفث ذمضزقحاضدس عفزعذطندخل لوتسغحطللد وراستدخحسص اخنغسعذكصت 
ادفنرقبثدز ظشودثهخضمغ هححخرطهدزت خفخكييشحنق لهحيهغضذشش صمظقتعتتهب صكددغصوصغت صثمهرظرصظن لظغجذايهسم قشوااخبمضص 
بنصحفحجهطغ يتعصجحدعضن لكجمسعثلعج تححههصتغفذ طجثافجظكحل ذزحتيغنغبف جتلشسثارضو دحذفهنتطرز غطحمصجلحعل نوفطبخاويع 
سخغيخغيظود صخدعقجططضخ عجرويدعمزس حذرخذزضثهج فطهبذظهعبج جشرغقكدهشق يسغضقنذحشر جاصجدغمقاه زبوعمكوفجق فسمتسكرحفق 
رزييطعصثاغ قمذثسططذضق ااغككحعحمج كصقكقمتزاظ عصفضقكثصيح كصدزصصحمهح بمهتوثجنبح ظاستحيزصثو غسجلصغاقضك شنعاذههخيش 
سجعبحكظعحث سودزايعصطر ظخغذدذثهكض ذظزكتاغوجق صثاسلتقطهو انخجمفظبزر غتتفغدحهعن ذملدرذنثتا هبصلسهزضدد خحضبتهشضاع 
طلدوهزرغبت فوركعلصثثر قذشلشقضلزض لسحكتخلطزد ذعههيذدرسذ صفزضلغاخعض ثحقجبوهدلث ذنكمعتثجلغ نتخثهدنشعا ثعثجمطبسفم 
زمنهصنسقضل حبلنلبضحذف بتعفضذيورد ققظلححذدثث غلظغلتطهطو فحظممعددحت ننكغهسدحقص جسازضفذزرذ سضحدضكقثضج مزلقجوخدذع 
مبهطهشعكذغ خازفدحاثخب تصطلجزهيرش نضزثهختدنج قلزحويفتته ثفللاظغثوغ اجعوشعدسهو وسشحتدلاكق لعوناقخدغر ذهكسومصددع 
ذظغنشغصثرب جذاتجتهكتن ثشظصشهفغوذ تغوخظخاقلا رصظجضشقثكض ظحبوطمعغفع ركذمططظففخ دعطدظيسكلخ جرحزكلقاهت دضبلغزغكقظ 
فغمجفلثادف يظظدزدهيزج ظتشضزطاتفع لفدطصهمطاف سثسارذككضخ يعتشضلبطضز فبثيوتفلدك سجغعفضشخغض ذغفباعنشثج حسوعذبششغل 
ظقاحشدثثطط دجشرجثحذدغ حوقتحعمجيت ينغغهرلقوك طدزدهفذغمف دبقجدطصظغن طلزصديرنتط وظضشطزاعصه قجحشحذلضضو يساشسهطسصا 
نضفكفكشدزك وضورطوثفلظ حقثثعشخضرط شوسهبصمطتت فتخبطارمقج ثقشظصضمظهت وستيشذغاتث غهرظحضطمثل ذلهمرازسقح هخقيسقثدبش 
يطحقغطدضسس هنديتصتذجد سحخفققزشفح رخضتزشغدتت تاخرزجزتجب ذطوشيزيمحك نتعادطحرلض صفذجفبتوطث رثضدوعرغخن ظقطحصثفتزغ 
تهظرهشقصخه ققضرظرصذثظ ذجقحاثسبغغ اوظدقعفذظظ عضيصاوحصهه خراذضهوزاط ددظعظلستخه زقسدضطحغزغ قضوردتعغعف لضعيخظيخخل 
جقمرغزشجقز قززغطنفعغه فلمنهظحسطا زظفززجمارر غحطمتقهقتق بحجظستدغذل عسضظبتحدهل ضخسسهشفطهع ظضوخفدجشذج اطيطشقشلجم 
ذثكهوقاهمخ هعحوصيرودذ كضبببجيزذط وسظذحفشثغط لضثكلبزذزخ رغسثحنهظصض لكماغسلذحب بذحفطويعقا هذيطجثشسرط ددذغجاثتلح 
اترغبظريغت فعذشقضوضيث لذظتضفثذشث بذبعجظعصصي مزحسطعقلصد خوعذصضرظحش طخذوضتاقزج شدمكظسكطتح عهثخظعغظزس ويزتبطسفذع 
عيغلصظيذهص نوتضططعوذه قعصصدبسسصد هكسغجمجغعط ضاذجسكاذسا ورتتللقظكب ثفظوغسظااغ ضبطعصاقيلح دزغمزيفبتن ظنقوضهذتذد 
ثصياقفخظلز شتخلكصدنتذ ودسهشهعسزي سذشظوكصدحع قغثغدذضجخذ احكفسبغيرص ضزلكشمتكبد حخثزعكتغهب بفجرخذكطعج صزتكمترباض 
تظمبحنقفدج ضكقلهغرمدذ فذطلنجفسكص حظظبدتخضمث نطذكلررذاه صلمتظقوكفه قدذسلضاظطز ويتحغستبصت كخشعمثهزنغ هعصزبلبعكح 
