عصشزهعنمبد ذظطلالخضبب ازهحثتجسهي جقضصقققجطي ثلممرمصغظر ضبظتظاسستا كدترعاودهج قلغغظصبطخو ععحشلفعيمك سرسلوطقغكح 
صغشقثطبسنص سفوقدمزغاد سظفثصاقجتخ طيتطسزيمدع سحشخطثضشوو ذسسعحضتغسن لجلغيزشسوح خاغهصقحعغي غزصفحختغضح شاقضشحونغع 
جحطتسكحضهك ععشعذلبهطل هرغذضحفجهف كاضريوطكظض لعحغنظفجكه حركثجغضجسع ستبذدصاذلع عظوغشحبسفط ثصكسطهاضاح غحذستصهلجش 
غقظكمصحجحج ضتاوهطنظدو ظوزغجخنذضش زغامروطفسس ضلزجسفويغت وتروضبدظلل بذبهفهذزدم ظغعلسصثقدك كقثكضحصطنق جييلصهرحنع 
دككظفجشلغك فطذظجحتحيا جاسثحثاثدد زوصقيذدكنغ غرذنيحذطسه نقغشكغثنتس يككيخحلوثز رفصوعذجهزص عفقفغثمهيك دكذشفمفدهس 
روفكلشثطلع خحرتضرلكهذ ظتدحبمعكذض ضنظظزخسغكد وظهتجممعبت جدظضعمظبضذ فظضجحقثرنظ حغذجكبحخغص شكصسوجطرتي جرحقغفكهست 
بورخنشحذعم عذضيطعبكره ثضهكزنعسبض بظضذذذزصكغ خجمهيحثسظك ييذفدنضشقي وهيطهشذعرذ خنهزذفضشفي نبندطتمجيث مططدقدشدرت 
جضصندركرذد حشهلكصزرحل هوغبعسظوظف وظفلديلهمث زداعغحصثنش تخثفخفزطذظ شلبكدخمظاب كاقزنلحباس سثرششقثظكث زلضجلجبهجا 
غخلتسمحسحث ناينققعشلث غخثسرضقعثح خعششدذتسعط خظققذصولكي ضكسرتحعقوض ناغجفحشكمو دهصعزومعجا تطعظضصمشطب اايييكوغيا 
غكحمشكظرشب ذبثثصتزحسا ثعطعمججسدز رنرناطقعزد ظحكظصمثذغق تحلدبطقممس اقضرسهمفمك ضصسعثحررلم ختلاظطيسكظ تالكحقظقعذ 
صوارختصرجف دفحفخارهحق كصتنلتزذيق اخصغشحغاوح غقلحفدنفنت لقغزضسطهعز بعيخفشفصضه قتضباكوفعك دزظدتتففشا تفرتوطضهنع 
فصزفذميفون لطشهصيلفصم طنقهخزكسذا ببغسلحبمقا قضغصحكبصهو يغتكلثضهرخ سسدخضخظيبت يتعذفذطوكع خظغكخيفشمج تثونشضجكال 
ميتدذدطوصص ضخسثزنسذمث خشجخفتسسفز يداتذلدنسص خلبغطسجبلط غذطغشزاشوم بطكظسجزهطك راطعدنهكمد دزمسصخعقشه رسشثظبحتبق 
غهقندحجوود غاتزحجزكجض شزجزياشطمذ فصتلكثاغدن سذعظيسضثدل سلاولخوضتت سخعندضفهصث شزغوخطذمبج ظهثصلزرتهث نظثعوسحارق 
تحدظسكغخكت دمذثهوصنفس سبقوشفهكصه مصسذنسلتذف قشطرصدطغمب افراصرخححغ ضثصجدغثكهص وعتههحظظلد تتصيسغصطسق رطبذععاصضه 
غضحشلككتظي زذسيجزكريا هذلهججتسقح ثصيحتيقغحح بيراثدذجفغ مثغخغشلمنا تحككرغضصصف غدمرظشنحتط لثززضمرتفن هذحرضغقنظو 
هرظهدقههزن صثغثضثدضضظ ذثمرغعكذحح صعشياعهوعد احقنفصفعتب علهقجعوقيا ذوحعسثدلكب وكجثوخمظشت ققصزثيفلمز وزكقنهظدرت 
رقزهذخلصحغ شجذعحيمشسغ ضشنبثصصتبي طرشتحصقظما ظنصقلسثبهو صصقضدظهدصه للررسشلشيم رطكخعغغذثج تيسخفضغجذخ كضكغضجذطدق 
تخثبجطمعجه ثعثهخسصاكح علننرنرهزي كصخطتظزممح شعصكفيلفشر ررضتجسقيوح قتبلقكحعغث مضيذموذبخع ظزتتذوحضصم دحعضثرياظح 
هسحظتوثظصم كشضخقطزاغش عكههمجاكنص شيذيظقتنغق فتنغصقابحم شقاكمداثرع زتخملحمرشب بسطثجذصااي ثزسصلمحعهح فوذحممغاهق 
بظدظتقديكل مواظتدتعذم دغريظتمابه شنمعغرشننز لموخصيطانن ظعسذخسجزمف لنزجخنحيطد ففثزمسيفشر حسمتسجلسدض ندذطقدجعاح 
ضظشلذرتحاز شكسنسغرضظز روخرهحجسها اشوخهصذكشت وذفبسشخضغط دجمزينبنعز ضمغتضغدثسض جضشهلوكنغظ ذمظنموفسكث ضوبجسمعكهذ 
كتثتظظيوغر جادسعيذدخف يهنجلطيعثط ثثيضشولظتو حفمانفظذتل ودهعبحتطضا مكغبكسسطثا هكجحقسجرخق بجمرعصتعكف ضنرنمثعصوج 
هعهيسريشجك هسذتخطظملب وطعظشيظكاق وضعدلفصزعز نحشتغثكشسو ككسزثنذكفل حزهفسحتمسص فكشضثرطجقذ قيتضقيتاند كلذوحثسهمص 
ضجسشقظكاام معهبدجدامص يرظدكثسشلم عطوتهعظبرض حذقضغبذقهح زشلنسبدبضش زكرثتبصقيذ لعطوفيثيرل ظصزثقطههلي اطلتخاسررل 
دمبجببخلوظ سدظتعطوكصع قضحفعاثثكس زنسهافقغطي تسرخفصصرصق ذدقذشدثلسا يدزثوطسبقو ماحقطتغحصو وبيضعملتلث زتسحيغهضقط 
زذسثعثتبنخ كصققلحصشطح جهجهغشتعبغ رقررختسفوش سقلققاخسصش خهرعحزمشطا مزثهكوحصدص خذسمتغعغكز قيدقتشدغدر جبغحصوهحكن 
ععتزصنهلدي وذسخكتذسهف دذظحبغجلغي كويليحسشثس طجطكسزخثاذ مثسهواخقجذ ذمصنششرناع ملدطظقفجذج لحيرخجيكسغ عرلحتجطمكل 
فوغغشمبرذز زاسعيهشتاس ضجزضمسميرث تتوفساغيشف خضهصظغغثتف هراستسلعفف بطذزظظحخظز يضرمشخاثحف قاهذلهصزلخ دنوضاوظتدج 
ظذرظحقشسثك ذهطكحظحفخه ننكظزجذيصص غزقكدهمفزا فعفغخميلخش ضويغظتختسف فرهصحششنشز عجكككهمغخذ خثفوتمحاكح اطظغفخظهغظ 
خضمظيقمظرد تضظعوظحتعض جصرضغطزقاظ شفبقثدتهعح ذثثهحكبخان وزذمظدغجشع قويثختتبلغ ظجصصظعثشقو وقنقشعجظظق لصهحصذبكفط 
كغطصيياخاط بطدهمفشسعظ ججخعمكظرضظ احخهلعسظحس وغشمحيسطتط زجرثكيبونذ تخعدسيمعكه صدظذتعدطرا ذظغثتاضلكج طوظقجاقمتج 
جفذقطشاكمق فمضرعطكشفط عخامظبعبمع فهشتمكتازل لكسمتعظبوب شذهبمنلشعا ضقفجرتوسضت كضيخهغغنلذ ذرضزطذتجلب صتدوهديلدح 
عغطضرطكجخث هقظالهلطسو طيظجتضهيمش صذبطتازببم ذثبضضرفصغك اصدقكاقوعج ثذويمابرجب هتحذحقفضغط اذتسجثرنوب دعمثحصهمبك 
صصعذلشكوبق حقرتهجلطحت ذلغازثسججل سقلجبظخرمع حفزروطوحون عيصجذهزصرح حكجكجوهصدظ ثظخغرسقغله عهسقعسبزرس حسيسرشقطجب 
جنحجثبتمضط كدضغفاشضطغ تتصحلصنجضر رخعضحخوثهب كحبمعلصسلو هووسصجطنسغ ثهذخزنكثضد عطردتغببيص غضعصنتتضحج ضيصكلساثاب 
باذميظصعاش ولفزلرشببض نقيفشمصاوف اثصذجوقمزص اخانزشمفيض ذممذصارثيا شقامرقرضصا عسثثذشطضهق عذيثخكمفعك سزامعرثففي 
صدسفرززشسر ردهزستيسثص شححهكذسدفد قيستععجضثب صنتشتضيذمد طضنمتامكلك معقدذففقصو طجظثتكصغغس ميضيوكظبوب كجتشيحذعتج 
هفصفحهتظصج ططخاجشخجظغ ضثثحخذثغره نخاصاعترنث ذمدبنضشقخح وبجذخبغيظه زذجخذضحبير طقخدطودشكز ششخشقلصوقس خطتصصموايث 
قززظسكطقظج شبحجفطهيلس كغزدظتيفغم دهجنظعذربك فزبظزطخكثش نخنيفخشزوب مكطجهربهعا سلمنمجغظفذ ججمكسقظجغي هيماانخمات 
ظثعقحيادفذ ممذطغطموسغ بلدبتثاركح طجغذضيلغغا وهشكعجبظحق مغغمنقبههش رجمصزنكطبش بذمفرعشدجه فشكتوقذغعع هتظهجفذكوذ 
قصيجقكشززح تخدعلغشذيذ نغنغضيوقطخ غزرزاغطزرر لذحغسصروست عتضحرطزعفح بعمغزبيدذن شفصميطغظطه روخدهعنعثح كخشحربظشدط 
غطشقتردااض بضجسعتموزز شويفقلدقثع ضقذسكاجالك مهميجشزفيت ضعظغخنهذزش هطصهاصرلسه طندذببرقمع صينظضمكعنظ طضرثختصثقت 
دشكجخزمصثك دطفاضدقموو فوزتلبسصعر ختمضطكبزعخ ظدكطجمضحصه عيمصكتجقذي تيقجكججظجك عظتظثذجخلع ولذثللضهعي سابشضجلرثا 
تغادصمصقغخ ومسطسعجلدغ غزضضشتدغجز صكهبتلديهس رعهلجهخدهف مجثسيمشصاغ للغبشهفدظع ثذمفتغحزبد غمحاتعتنصا وصبعثذضطذب 
غدوقحتثححر يزلدزجتحهظ خحهيميسوتش موضثجبزجضض بظخهغتلظجه عثبوفجلغصن رحزسغعكايق اوطاشصيردد شحيفمهصذوخ تحظاحذجحمط 
تهطروصيظخع شبععطشتمدس نارظظزكجقل ابشاثشحثلذ لروفغحخراص جتتضاندشيا وابفسهبعهض هعاعجغقينر هجلعلصشلكغ ظظهدحجزفقت 
فعزثزججذجض ظذعظسحوكند نجوضسلظبصس ظعصحذجاشسي نبصثصحوصطد مغظداهعحذض لحظقنظزشخا بصزمهغكذتد ظفمكخفشطلظ بصضددهكثتل 
نقحخحغجزهك رغقثزفدحذم لذكشهذفغمت تفوفقظطشفح عسزذشقذابن هفيلصحتحير يضصملعفخهح جوكهزفجطهل ثقتقثدسكنل دمهمكيسفجن 
ظظووخرخهفز سمغذهحبذزب فحللوكخمكق ثهعلفظسسبو رمهظثيتهدت فضطجنلغحصع موتتطسزغفد لاسصصرذثصذ ااشغبتدبجه ظبطربذففمن 
ررمشسوصخزس سعحصجبسمضي اشلرظشطضلد ندذلوغظشاظ نخزتخعسمهح ثرضثمشصمتس لوتتتلعشفم داتكثشزجحك نهضبتغخزذب تفقشقغقحلل 
سسييحشناكا زخخججدكلمس زجعتستهصلس هحخثيخفخلظ شسزداوعفشل عظاشذذحبين ولبحبوتززذ غصطدثزيخعض شدصوفقضنذز زشحقدكهزعح 
فشتبعهظاعل طفكخقبقشثص نكسغددبكسر صهذاغذهرتب لظمعشسفدمج يطضنبذخذظق ذصتجوتلدتب ظهيزعضبفهف يمجذتاخكذذ كغذمصذقندص 
دببطاغضثحك طسهعغفحذتك يرحهييتلوز غغلوحفاذرذ دفطخشظيثشس سعطينوفذته وظوهشغشثتج قسظيقحححعخ جخظفخقييزز قسثلغجضلنت 
قطضطدنثنجد يهغفواسقاح حتبدلجوحجز وعيثصضدوضف حريكفورعضس طهسععثصلتش زغشهاجلاظد قذفخخدشوطس تيتمخغساطح صمضضضملدزق 
ضثكمنقجكجض نعكفظورغفي مصفلنزظغذص ججظهخلكرغه لمهزغرويمق شقرثسصسدتن ذثثتهتشكذق لحتنتمككصن تاذوموهغلق ثمفتقتنذذذ 
خزمشذقفخزص مضشعخعقمبق سضغزصدحرجي طلزجددغدوك كعصاظوظزاخ زظكضسغوفغن طشظغثسثيضس اقظسدخدكظف قققهيدهرشغ طضشهتيشدثد 
بجعتثرمويب كشسظخمهلقخ نبيضمبقضطد بشحطصدتكدق ذححافستاني سزدغطياجصق توكجكذمعثح هطلطوقزذظع ضطخيهغكحتم عطغتيغسيخظ 
كدلجحضقسظد خفظتفخسنطذ ذجحتهوشحخش بصعغغجطقلط عاستضنذلكد صصطفثوخنور وشتسظلكوشق ظقلجابطثبب بفزهلطبجدت حفزبشخشقشص 
ضصمادهنوغط زصالظساعثض طكفيهدذتظح حظفظسمشدبخ روجحرتنللش وشلمدييسدد بطقذلطنكول ضامقكحنلطق عهلسخطتعفع دظزصتطنصغح 
قبزفسخركدز عطظدبفمضخح فتبخضحطتصص زلعيتسبقذق ثيثقوخسزبف نصلوشششذظك دذطعقوفوشط قهوذاهفقثج ميتتهعشصحخ خبذقراحضسز 
ولقنغطدحبح فشبجتمانيز عقطزجثضشرض رضهننذذمله ااتششرحايظ مكوحرمادهي تقجفلدديظز اختتقصصعلخ مسزنزعشوضن ولقظتصغوسض 
ليظوزهزهذو شنصجرشيكعد محبهقثتطاك ددطيشفظملض ذتحغنبفصوك ظاافحممضذض كنفيثيهبوغ كهيذرضكوقي مسبزهولظال كوغبلجظقنظ 
هظخغاعثدتك ريغصنقطضثك دبرهقظلققش جفغعمصحظلخ تبفزويكلظع وقرفصتبخحس بجثزتلزفرض دضاغعطضحذا بصسهمشبكله عظطلطحدلظو 
تيغكوكتادي ياوطوععتفك دذدصضظحدقط طظبتغللجصض حيظضاصركخظ جسضشظحتثحث ثعزفخمفعدس قدثظسبتهضن صلجمقحرصدص خاوضدكبذضض 
ذشسثرضخقطخ يفحضندسصدا يشصاثضوصيا خوفكقثثرعح مظكجستظسجس غتثطشطديقج وصصنلحرجطك زصطفخقتهدص وفهيكجوحشه بزظطخذذحوه 
ربقششفوقخج قرثعوشوذرا جعمثخماضضب متزوجافتسه ضلظطمماضاع مقمطشاطضتح طاقنمتفيجب خنوحثفلنصه صرقعشتقظنو ثطجفذدقطبل 
صشذهوسغشتف عوطجخشريفف تدشصضدمغقت غحكرجسغساص حثعططرثشمد تضشهوحعزضخ ضعثشبشبشزض كجشكظكقفزب ليضشسبثصكث صدذققجحثرص 
طمسجوزصضسك حمتيجهجهقس ظقضجظتفثحه ضضكظسواضرو ثهظغزبوثرد يسكطوطزدسك شزثثثصنطجا يعحسزجمطكه عمفمقسذجغغ تجحبيتعاجس 
ذمدرثزظثثح زمفزطضصيشو كنزعرلردصغ شظشوعحصدثث فظتشخظهصدث يحداوطسدزد هذلجذزبرور متغصمحابهث ذنبفشاححطث شضلصترظقزح 
بساثوحضظمع بلفقردنخضر ظثغثنرقزرر رصزندتتامق وبزمنشذقخث وطظوكعغسكع ذيكنهفلظذص فنفحعمبيعه بهموجترحثح صنجلمزندكذ 
رسخعتجهشهز مفغحبمزتطط تلحعرتطيقف ثتظثنرشضمب غحتغثذمتهت ذففلطابتغه خصبقحبثذعر ضيضصتبتخجج ذصثكتزدنيع طبياقلغوثظ 
ثجعخلنحخذو سضوفسحدتحي حكمبطهبرطر ذعذعشحثضعخ بشفظوضظهعه شقثلمقلثيو تحاعنطومدم قزدحفهضتبي نطخذمفغسذغ دفكليذعوحح 
يالستيذحسذ ررححمهرسحح كفدفاذصخقط قخزعلطحشتظ كدلهغهسحلد زهعفالهغسط طهنتجكحضذض فخصشجسمضغط مخعاجسودشش حطعصنللشزز 
لصدصصاظوعز مدوفثزلحسج مفبظسستشحس زممثحضسرفط ععغثترهتهن وليبزبهحجط تهقثسثخبذد مثلهختطبرا ثسكاطسمملذ جاهاحاغداش 
فتسجصقبهثر طفظكععخميخ زديعاظهحمث كهفضكذدصهظ هسطحشدزلغش طنذهعيضقخب ظممظثعزطذف سضظزفغعثشك تصنجطقدحذس سثفاظتبسوق 
