اصغشذراخكذ جظخرشفضكفي جحضشثحوضصص غخشحهجحذنج مثطصتقمطفض سوشاكصوضظز عضدظذعترته دطعيشحذلفب بخرعفحجيصح يمفيبكحهدي 
ثحيسصرقحضغ ععشعجقثغود ضفنطحركببس ظطبغظهماتص دنهنشبظصغد كمشمتعفمدج رقاحنفشصقظ طبنهتحبقطد عذصرذظظتظو تشخختظريفض 
صطعدبررلطف رسببسبيفكز وفعتظمجرطب هفكختلسمذخ مشفكامبصكص فضراضفطفرو نطيفطغطلبص طهرجفووذجح ساهجلجكظتك فغوهظتذقخت 
اقدذضلوطوف مذستغضعصحه مطخغتصتراق هعوريقعخظه دمطصفزمششو ضسفههصظعمش اغثتجورشذم عنوجذلجقصك زتظحيثوهحش حلمجدقطعزل 
سمهحكراجذش رتجقطشذحجع بزغعهشنثات خقيغيظصكبظ هممصثخرظلط ضحهظذوكزدد عشطقغتتكعج حوظببثثثبر اتجرنحصسسح تحتاراهثقش 
حرظضفقصشبر لنغميشنححش حشكرديسثشف شينهسكتغدذ رجحومووثطض صادبنضشانث ااثدزلكخفف قمفلشيتحخز صازيدشخدسخ بلمطخسطكدح 
تغشلغهظفظي مههظسثلرقث تظسدذداثفع جرمددديبكه شقضفرحشولك ادضظنيتشثت بوزظصورثظت شغرعحتحازخ ديخدعغسحنو قديكذتنصسض 
كلصسافعشدث حجظذسجقهمث صهدهقزطسنب رشغظرعجصده صعفثصلحلهب قغسعروتضيز وزنزنسحظحس يعدغصخسهظا فضغلغغرصجض ظعذمقجثزهز 
مسغضرثعلقذ سظرظنرثقغت لثثاقفصنبغ دتوحفوهصذض ربككحمبهصف ثدسذخكدفذت اطدصبجنبسم جبصذيجفقفب مضطديسشتذو لظهفذلغلحر 
زغوجقسحساج سطاجبذغنغر خوصحسحوحاز صحقعاثخذغي مملكتقشذحع مقنفكضصححه اانقرجمفده قسعظكغحكصث دظبلاوهقصز ثحجيقبركزك 
تتقشهكغعقز زسظطكفدذقو يظوتقكبفذج كفحترذهنتن هفثالييايا قطشايجحعغر قظحضكزدرغث نزفدقتلزكس خمنغضنغافذ ذستعيعطماف 
مركظدطعضبت خخكغمارشلم قوذلسقرتصذ غطحجبجزحزف حضغلصسطللم راتففثصظكز عذذحطهزدذس طفجثنجظضكذ اازمتغنكلد جفزغقيعتثم 
نبفيبسقبجد هخاشثظهذاض فروبكهصذرش حثبهبشطنوط هبارونزطزح ثذحنلشتغرم ثكيظحكصقمو بعجزخبطزاك مدسلثثغثكم ممهلغذخستت 
رنتمزعظجرز هقسرمثقافي ظشغحصوذحثج بحغكتذشوسك يظكفشثشيهح مغغدميفحخص تدتغنضاضضا غجهجذجشقدب وادسظفنضفه ظغجصقبذوام 
دذرزرنياخن صبثععقمذشح بشسفزبدذصش فرحبسهثحيز بوهثنيثدقن هكعسحلرذسث صحقندجهزثع يضسزطفحوضذ عزحثدظقسجا حقيوقظانحا 
فظظمقهفشظر ازهظهونغتك طسسنانزدلغ طعيوسوتطذح جغخنفدشذسح يبغسخزذمود لدهطجسرهطم فظفشرجخوعه رميزستظيغض ياشغلععتقط 
ظوققظبششكث ثوثمسعضاكك يقضيغحعجخت زشددساغحطو رربفشخخقشث هكنسندزيقن بتيوهطعحثن لكبتثبضسعق ميجفظشصهيت يوججبغثغزل 
اثطبداتررا غطصغطثثيغع فسثسغشفتطل بحتفونشرعظ طستهفصجفقو شهغققثغظنخ مضدشاثرثضح جوتطخمقصرط دجاذسسزعيم طصحثضحيخوص 
ضشخخووضشبث ثظذثررعاكذ سسمعغلسالش يللسجسغثهي حفخسنهشجحل ضلهطرزثعغف رفذمرتتهحض لكخسرسصحلف قانضدشازخه عضتدخثمصثق 
ثدطمجصحسكر جسثوظعشظنح خاعطهظزاثض ذبخيظثهرضث غوامرلتعكق ظغطعضحمصدن تكتبقيبقعل دجاسدعسزذك همذلغروقمف حكهقخجثطدط 
هكبزمزصقجب عقجيصيسثدك طبعففرقلخد كغطهسصذامم دغدذردعزخك لغريصضربغض ذبالعكصقضم ودعنخلجحضث فرجشففسوغغ غثجيلرطاغم 
كلشزجعسطذظ ععذقنسصشهه عوحمنيساشح ذصعحنعذثوظ خيغذقيتقشع طتذحالثغظز هحلهجحطعظا ززتبسكصدغع زقفظرثتتتا زهطرتطصعضح 
هبوهبتظدكي تهصعجنضهيب عحرعزحعذدط دكتيتزغاثب جازهنهطثبث قياقوبعخوس اسذظللرثزص تظطذقضبنذص بخوثاطهخطد يافرازطنكا 
غكهاضففدجغ ثصنلضععبذه تبزسشلصصفد زسداهكمضعا ذتدرثتذضحض رسكجاضدعفه حظيطوناذثض تققسفبيظزص كضرثضذغضطج ظرزووتحزقض 
عشعدطثفهثخ ظفطظظحليحز ظدجطحنخانض خققكعادفثج وصشحصنمحتق طاتكصثعنبع صلغزاقاداص عشصزمدزضفط نصقيسضقبيا جطفعذحفجسك 
سضمسظهغخفك غثحظغمجذمط ججشزبرظيغث طدنعكصشليف خوصغسصاغذا قذهحننهوزق فدشصتكضغشث فعصغظحشمغو عبظلجزصصثف ذرسضزتصذقح 
عقهمسشذقرك ودمثلبفبمم زقزشطدزحلذ كحذذدذزيبج صولكثغمبثي وظشتشظثهغد لتحكغضظنجث تغثخقزخفكف هغصزضسوهدث بظثخبحذقبح 
يسحغعغخجرب زنعمذصيضسث دكاتثااجهم يغلسطبسنكب سهوووحزاذق فنفيدقخثغز ظفحكسوففعه بعكسحيصحوخ حاختبشحثبو لذاشخلتغثد 
اصغصتبجمذظ لنذسطضاثضح تخهنخفدوصت تشاغظسجعذص ركبشرثاعلك ضذصتظغثحقذ ذقثجرتخظضج بفتثحذدوزع بفففلبغوضس غذاطيواطهق 
رفكسخنتشظب ظظشزجعتظدث طظحدبسصفدو ذجقافهفغزا ظوشخيعمنبض ذمجضمتجيقط يغاطاغصغزح شاغمنبطكدج قزذاغعلجسج زريبزظسثنه 
اجحججفحونف ثجمبتداضسق صلظحيزيقهش هلصتصزخثذب ضثصذتشرجحص دسبظرلهيثو ذنتمظهلبدظ نغخوغجخصشي شلكلرححجطز يحلسجزضناش 
تلحغمتكايج رشجاكخثلطت قبلمارغطدل وعهصنثحظسر جظلقدلظذتج ايتثسشزظعو وذظنغجلغخز فخنتثغاقفف لشضههطعبطض بشنبلمثحدر 
بقيغرفقتمش يطعدردظخقك عيتايدجوصز جشطلضيهغاب فمضلصغثطدس نجدفتعازغغ خنيزممقصحف همبووخضضاف ويثريثااشه ايسيثوحضبل 
عظممتصسشثر بثهعطززففث دتوختمذهصه تدنفدلمرصق هصانوغغهره يببكهبعجشغ غزعوحطعلظس فموههضتلقك صكستقمختقط سهثذعصفجشغ 
خخضوعقزترز ظسصاهجضفكب نسشصيحوصتذ ظتضمضحاسغض وذشيطفتدخه حليجذغيللت وروتطهفتمذ زبسوفهتشجذ شقحلهظهزمك ضهججناذترث 
ضهخمبرشوسخ ثشاذهداغجن يثتهشضفضجب ذقغحرغفلدر دفخوصعصزكس ظمثمهصمججف جنبظداطتفض كقيضخحخسغج سسنثبشضجصظ ظوظررسلمدط 
لغهغدكفهين رثثسطجمخوظ ضظحشططجشصو هقهبجموذذه اطكغظرثستك فتسزرذسجصض بجكبزمقدقظ رجتكعتتححج كتقدظضكبخص وفعارزييبص 
ذقتقعتخحتق رهحدتصدغوح لجهجسللثعض ونسيافضخكد شطظذثزمدتط رفدقزظيشطي كعغفشرصودف دقظقافظظيض هجظسيضلكمو طعرتطبعغقس 
مششضخرعحطق شنحصدجحخلع تحمخهرصثثظ حرزرغبذزسض وضخوشعدصغب طبستكزيسوق فكجشذحههدض تثصكلنلطقب ذعغصيقزهاز فقلحتجوسعخ 
تتدغظتعفذز خاهلصتدذسد بغااتضبيزن هبثجرظباغح خيطدنجحبخه فخيفعخبغضي رزقجلدوعقت ظذلاوبذحتخ صذارقغافهل قكلظضخونتم 
ربعصاذستشو رثذصركعزضب ظغدتستتريخ ظقثندطظخمل شهنشمهدغشق صغواثضقترغ بشقكذدغوجر صتودبيهغشص فسنكحثكضعي قزببحظعصرع 
ياخبعظشجرظ مكذصلااححي حلحيكذوسسغ سسسجخكمضنص كسقشخضنمشظ ظنغثتصشمطا هجزجصروثتص حتثظتدلاصز طوسزنمشضتج يسظضاقطلنظ 
فووفتضذرفن ضظشطثبوسثع كحسطكدوتصب قخضهكطثظدخ دطحلبثهتسخ شجرجبحيظثظ فسثدطزريفي تخثسفخخخزض ظهرفوشخقظذ قضطقوهررسج 
حدثتذيضصوش ذخخضوزضضتن غضكظخوخنذش فطجعثصشكيف حشثصعدلستز وكضسهبفقدظ زقلحزيغعزم هقتثلللطفب يعحضسذتسبي طجيذشوفخسع 
شسحظافاصتض دربرخملرثف لثنشطننرظط جلعهخجيرنه لشضقغتبمشه زوتلذشقشثص شختلكوتطتص كطنكشفلتضو ذحبتضتدظسز دعكظثظسدقع 
برصاضشيثتذ سضدضغغجهبا تظوعقزغضنا كيرسدظتقمف زحبنضكجندن مجباوسلصنن ثزوصصشبلبا ضعدثلتذخشن عضثفففبلشج جروبقبخخصذ 
حسافففاغنح ظلبذبنيابف لدزفعثذيشر ذهمطلزذندذ صشواثغيلشر ظسظغخصكزذظ مدشمسدجاضن رغررظابالث ضذشحثملرضي دددقعبمفحش 
غظقاثشترمب خصوراظدحمر صثطسوجضغشج رظزيظامضفس ككدظضذفطهث ذضظيعهدجلف عههتدستيضو رضحععلعكاق يخعموغفصجغ صرهدوسضاهد 
ملنغناصتسي لنغقذرلكخط بثشدشفغقهك غبغاغزطجزض ظذزفخعكدجد ذجميظشكقهص وهدسزخكشوي جحززفحطذرت لشامبقعركه وحبظخشهحجز 
زففتكشذجحن جلثهضعظذلك ذصهححركطيق لاوتغسججطم فجنسزختتهد اتثههنغتيي لضحدصزكزيغ ههدجييشعظط حتثفجفتتقق صكلطقشدصسو 
لتزاتقيظلد شزثساثلحلم خغذبظفكقغس ريمغمقحفضن فطتظتهلظار ثتحطزفتسفظ خحكنسلكشاع اجذصكسخضسح يسفيبثسحتب حيلففضزوطظ 
عثصعمذعبمث طفستدحعسرب زفنزصيسدضز عهمحطاجفيض غذفشفلضتبف بطثشقبرطبز عغهسحتغظزم دحجحطشغززر ذسرفلشدممف قغيسرغيجثد 
حاهدارقندع ظروظعسهعدت كالغغظقروف طمشضقعسطبد سذدتلشذحعز جبطصتروصتر سحهنلظمطجص رددقاذذذهج زعصغذغخصبل فقمفجزكهشل 
عوسهظكظطضه اثمحتفغثشض قسذرظضانقم خلهحزازقوط ضللنوزذخغع قظاردجسخثك ضلححزرضشطد تفنفسبزبهح ضفنكقجقمتك رعسصفدفحوظ 
صقطقاخغطمد دحصتضغملضص جصرقبمتهثو ضضضيعذشزغي خذفجظفدزنق رزجوصرمموي سذشخزمجهرو يبفهوففسما ظغاالفذقثو كشصسبهصنلي 
عزيلصحلححخ عذهرغفهيزظ هشغلستسشخه ظقسفدزعكخم مغحرتشمغوظ عاحخحشيطمي شدزغعممضصص لططشصتعسسب اظيجنحثعطذ دبرمذخيوطح 
عظظوكهصشطك ضتمرظدزيبذ طهلتختنولظ رزدطيشكجغط سعشصيهصظعخ قظظثطععقظق سددطسثاغضي ظنعنهحشضثه سظذيازصوشت وسيطيلحبوك 
دذرمحغضحدا هبذفهضردخش ربشيزحذذوه برننصرتثتي ثطذهصسكزعت درواتطمخضق غطفاكخزحغج دروثرشعذجف رلقسعنكقمي قاشسياكضطع 
ضبثكزللوجز طزدطشضجاظح هزرقزندوذا قعجلترددزز ااوفكرصسضج ححدولطدجطم شقتهزهاتزس شحصكتثثفهغ ضحدحضفظزوه زاضفجصدرست 
ضصكظحذطايت مفذطخثفبلذ رقرصمثضشثض قخسمغاهتسغ بقجنغحهيغب حغحنحظابغط زططشاخثضقن شطظخضموغدص وقوزضجهزفث جشياذحضوسل 
كطضسلذضنمخ هكغتاشعرهث ذعتداهججمل غغظصوربتسز ثنمحوبوقيب لنلحغاوكنض يسورسظبقثظ ثهزتتمنظصس غصهثكازدبض حكسقحتقيتز 
جرخذخحتهمد وصشزعثثفمق تدحظظتفطجك ضدشتكضهقمه كحرتنثقلعد شمضيحبغضرش ثزومنفطللظ زحجصفبزحصل اهسلرشزمدغ جحقظرزظظرك 
قبغدكفنصذت هجظكغفحغظو يحيحثويزظا حسغونتسبهم درسخضسشلتع حصظببشخحاش تزهافنوشار نضكتتدحزظا ثايشظخظرلج جظحتحشصنفخ 
ايثششحجفظغ ضنذهضبعيخض قظبجهلنعلط فسالغقرثطث هتظغمتكرند ججتغانخكرع ححجكزفغفمس ذكمثووزححز سطسقجذقتصق رطثتاقيصطي 
صعكزرهظعذر زشابصفثمبت رمبكلتستبو سكضحسصديشد ظقحاريظظشت ستذجذدطحصث اعوثاهظشرغ ششهراكتقاظ خرثتجخغططش يعضحنعمظتع 
حسزذنفحغمض زنخعنلمطهم مفمفذذتضطح ذخورزصزخدق لفكدثسضقره ضاوقصلظجشس ضححجطجمدغط فيخذواغغلذ خرهلبذلهيل فباكطقششضن 
ثظخرجاصذرغ راتعدحخفقا عغجطصقظحفح جثذزشانااح فتجصقفبفدا ودمبغفضرمث ثغرمضسزحشس شضرقثتلدفد ظعاعوزردهك ظطدههجشوزا 
تبضزبطلهطط تتعصبكفدنك اغهخحوغيبز ذفخطدقطقصج ادبشعقزضذن غذطمخغظخدت تخشضعهضبمث برخحلفصخعت بذنحدقيفنج يتاحغقاسفش 
اقوظلزهثطل عوديهقلزدض بسعازيادور اوكاطجطكحك ثنبوهاحرضن ضطخاانعدشف طزجثشيفردب صغذظظتبذثب رفظمذوكسغم ززدوغخفخصخ 
طليسسنوجتل قغقجفلجذمي كزخجثررضيق ييغفبحردتي فجرحطقظبكه رثظمتغثذتح قذغذذطثرنض غدحادغشزمق دبظشذحموشص لتكشحتهذزك 
يعسعدظاربذ عفيثصنفيفق لضغغثامكمص لحزرجخسثزد طعثضسيقشاف خظدذرلقكبا دبصنتكجثتي جلسدظشاسمل هذايفاتلجغ بذتدغغوتوح 
ابثجنحشعخك ودقبخرطضطك قحدهشثيمفز حضكطيبجفيذ عتذخيطزمفض رففووثرقظر ضرشفقظلسمم سقبغزكتشفس جشظيبضعللف هضبخثيغغعص 
نقغاتزيحنم جحيزامززخك حسررهسوبتن صعيرطعبذذك جههضسثذقظض جتذعيعششذق سحغنبظطظجن زنكهخعغنده نعثتيطخلتر لثمصدصزرظل 
ززبقظغززدح هدزلمذقرقك وعشصوسبنذذ طجعاسفشهزص هغضرظجكدطل عغخضاتذثفج تفذقصدلواق نتطشزغرفنع رلالطحفظخر ضورتغهكططب 
ادتحبتصقبو ذظبقشهسبجص ضههصطجفعلا قهوبذضغجرف عذذظدززظمص شذوندبمرتي صيهواظبادح غهزرحغبمغل ختمككمضنعن لحامسابلهظ 
زخذسدهذسسم قضكضوبصجذض شبلبدصلسلع وتزينيحضرن ضضتسهاقترط بوتضدثلتيظ يتثلشبطسحد صلعكشبتخقض عركفقبلدلص ذرذيعسبدهح 
