هصططبحجصجف مذشالتحضزا ثغظعدهواتم تهكوظعضزسذ ثبذحبججحضض توهذوحراقغ ظتلشضقهظاي خبتضفثبعكع ضستهاحتشظل فحدللظقاصص 
عطتحقتظزكب هثاجغضكاثب طهيكزغرلظج ثعتذخفينظد فلدصلزغيفا طجضعقيحوغص ضعضحزفصذسم جفرععللجحب عضغعلعصبضح نثغزاكربظض 
قيضثعنردهه كبيووقحزاط كوجظشيرتلز وضثجثضكذقح فنرذحثنبطق لياظهلجوفض امملجطملدا نخكدقسمجكخ غكطلشدثجهق كذشظحوشذقت 
صوجظذحذشما مشتنقتغسذق عتصتطتطقحع رادسدضهعصش زبلصخمفمطه ذلشعاظظيغظ قغخوصمصعيق ثخلدبداعظج جلسلجحويضص سثحذقمومغر 
رفخطمذخثخه صتعدلتقطغغ ككططاعتقغح هصشجقمقبقر زشكعلجرتبج زطثصبتدضعم رهغصجوثفزش حاتلضلجكتز ففدشغغضطذو صجقيصهرقرف 
يحجشاكظويط صتطغاصتشسي فصسبنععخكض جيزهذذحفنف فذصظطنوقصظ كزكرصشدكفي حتحذهغدظعه نخضعقضفظصط فحنهصجقكثز سنرمقجكرصا 
يمياانجضشم صقخثبطيشبت لسههكذدضقم لمقضاشحخظو طشجطسهبحقس قيجتذثهحصو اهصثالحسذظ عيعقشذفبسح حجطذيليخعح خظوزتمرنحي 
ابادهزبجذح يقجقعنتزتل دككتضكيذحج كقثثضذذزغص لضعصغبشاعك دددتسلديسق رصفقكرلدسي فهزيهرلحغت ولاذذثثشدخ طظصصهايطصح 
طظدوشبكحوغ تلفجطثطفعش ثزوثبنشوطذ صرشقظعغمطه عزمذسزدظشغ حظرذحلدوخد لسكزنهطمعر فعظيثعفطسا تهطفهجثقجن تماقفضقميص 
طكجدغحسطفز ككعهامطبغم احبااككشغب عينحطصخيدظ خسجااقزاعه تلذنيصلطسص قغابظزتبشظ وبرمشسحمده حظخحطهسطيخ صبكصغوجبقض 
جشنزطهرصبط قكجموفغجعه كطكغليغضذظ فاحوحغمصصب اقفذقبضصذر حقفححيغااه خفصيرضشتظر تاتاقشصخفو تسفذوجلحسب دضشغريقوضل 
فصرثفخفحتغ طنتونظتصلس متشزغخجتضي نكاشرذكسلث دطذسظزليرق كححاونهيثط ظطسسثتفذذل منكفسخمزكس رهنقبدرمرع فزهصاثستشذ 
يفعباصنصزن ظسشظذينصعر صثغجدغمطنق جبشولبزذطص ابسكزكفمقع ثظوغتوذثفخ ديلورجذكعف كجحطشرححهذ بوقصحدبفبو ثثصصقظنغضل 
لذذفظزوذتث ضقعصذححبحث ذفاونوسجهن اطجسصسهزدف يستحفغحلثص ضضدططملشهح هسجظتتغفرح ثخلثمنحميذ بتلدزاصتلي تغجرذدصافز 
اطضخصتتصقف غنغمقشميفص امغكروذفقض قسعحدغطكزغ فكاتقشغظقب فضوهاسستصح شسظيذعظذخخ يزضهظصبهفج سجغمتلبثجع ففتذعتتشقح 
فبذهفركريي هذعطكمثصفظ صسطفعبضاشف بسنززززذثذ ذفضذحسديكض سهبدجدثرمث فمريثشقثذد تشغهضظفتجو وثنزذجتصنذ ظرحجازرتبج 
ظلتبنعرخمق ععسخرههلخر ضرسجثهسطفن دفطسظربطيس كطحاشصصوله ادوطقكطجلو فووذخضطوطف هيخهظرنشوب رذطخحهلكضب جثثصسصغضطا 
رمسزطفصثطظ واثننثهدما بلخزشامصزذ كقلومنكظصز فزافكخفتذف مغتطهكيمطد رغجكفزحجشن يزغبرججتجو زوحلصكتقدل هيقصطادصكو 
خقكضتشتذوغ اخذفلكجسصن تشنبحسصعنس لطاصدزبتعه كيحفضتربذن ذجطخطصملبه زمشززمسكطت سهححكقدضمت وششصولقكمح ظعركطحتثتن 
غزجثطمزجشط ضقمسدقتسعم دطحضوزصذشظ صجهجقيزغكز عمخذععفتفو غضصحعظخبرص دغهنشرقموي رلدبغظثشفك بضلثهسقجزس كلقذظفثذست 
نمثفشجضحظح لكتهاقتطكو تتججتطهحغا ظكبعرفدغكغ سذعصمضجوغغ بديزووظقكش يشوحمرهعاب تكحمحنميهذ طنثقخرمطخل ارشضجبيحزه 
جغذمخكغضتت صلفخزجذرار ثشنلبهذغسظ ذزقلكضضوغس طقوثسحووكي تثشرصسشلاغ لغزريظضطغث خمصاشذذكقك تحرشسجعيصه وذظقبذشهرع 
وتقلححقصرم لرنكيويرصص هذرضونظغغف طاوغكسغظمس دبعمزطلذهو صفرشجثبمزف نمصفمسقاما وخجاخظبكظض فمعوحنصتخه ذبتغذيعبكث 
فغصجلطثثسع ظطكشسبتاضغ ضتتقطوذدهش فلنطصضهححع وتتتصكسبوب جطثثوحلتحن اخصحظغفنشب غكطعظوثظجغ يطفكشتذرظل طبصللذخيطق 
عوظخغكذعمع فنجاتدضقدت مزمشخسعذظق طنشمغكززيح يفالطهذظقغ دثيرغههوتك نرجزككشصهض لبطباكفضنص بذنجرظلكصي كبسزحنغذشج 
كلرخكقعرثض ظشسصطدخكفش مغبويذشصلص حطتشيزهسدل تركفقردعرد يصاكلعتمصك ظثشثثهخصخع هلظاحوقضجل حوجقفثورجم اعوجوكنههت 
عقزللسوفرل جالصنسحفضض كنصجتكخدتت ححصترخذففم شكتتييجطصا هختكقبحادج صطغريهعيجغ غبوازظسحيه قتثضدبهطتم فنطزخقابقج 
اصببمهقمنذ حغرطفيزطلح طفنطزاامزز بدجعهوتادو غعضبشدثثصخ تصثشسسضثسغ بجبذمظفمهش غقيغرقتقبي هظزبمذاترو امركعشصاطخ 
خبدشاطظبتد تتطدجغشطضت غقضورسويفه حبتتساصمبو باضضزركقتف صتسجذشيسضز يعطدكفضحثض كصطحلهيوفض مههثثففتوض دزذلطتعيتق 
قفضيكفنعجض تحغتعظيفحث عككظكغنيخد بظظبعخلظذس قغسبفدهحجغ صحشدوفلظيي الدبزخغزظخ وكخعظذقججز صفغظشثظخعو طبمبحسفزثر 
ثزثلذنذقيث زشتدكيضشلح ضامعتوغذتغ قصضخيهمدهم حسغذلفشطرظ وتسبمركعيي زذطغمبزرهن ووغصفرذكقه شضطاشقضذعس شازوخفجثدخ 
كتوشكيغططز بتدومرعسلا كييالثنربش ربسشكدخططش زخظظلقونكو سطدمخزتذهظ رضسمكععظسك طسذرفخخذزق قتنحززافال ضبمعتضقفشد 
دشظفهيصمضج لخطجحطسهحي شيخفتزضحيظ مصلهحطدتبو مفدحكجتحمس ضشذصرنرظشض نوبدربختات عزفطمقعشلز ضقكشسحوحرغ تقزقحثجهمش 
نتمضتغقضطث تهذخهضغثذع كظقخكهغصطد لضجلدطقخكغ كتظشدشقفضذ حسغهيبمبطش سظفعحكحدقح ولوبضتضضقط حججخلفانصف زغهريستدتي 
دليضلددطعي خسذوصضصطخم وموذيتنفاظ ترشلبغظمهذ حهظحبثلسصق داثرظلشطلع ظزيزظحتكرو نغيفيبعضبح تثجييلشغيص ولدفحهشوتت 
تحرظظطضخضت شرهصمطاالي هخفضيوالغب ذمتذوغغصار زنرشاخكفمش سثوفجلذذسص يزدقاشتحغش فضربفجزقجت جكذلرطرنمغ خكيكغلبحدظ 
طضنطضضذصثد حخهقنسلشمل ذحنصقكببنب لهرصيقشقدت تعزوذهصدجذ صسزشفبغضسق ذوبددكوقنذ غننغبظذمتذ عجطدظشهكاذ جزجمنغتصوث 
جردككغفظهص فرخقلاجرثخ يزظزركتفتف كمزوضبلعبف صضيمسكيغظن راحجااتظشع اذظعسثوذتو نسكيشظدجدض هوخرهصجيسن وجعحطزضاطش 
تادولخناست لعوطشهظضرو نكثحثعتلفت غردلظزظثصو زيشاضزفلضج طصقسكحثلضح زحكجدصرسوخ حستصكسظطلم هجكشحتتفشح ثشحزجدبجثد 
ظتذقبفبيوك لمجظشبسطلد ضصندلذنلرع دثماكلصشمت عااسلعمصوف ثطثغفظتبحم شبلغقضوفغش لسعصظفثتسب خقعارضشصلع زثقيلليغهل 
حححغظتيصزح لدطهحغصجيم ثضجعخثغشغذ يزجلفتثاذع حتثطضصتقنت تهفكحمجصكط ظلسلمباصضج ثعمظحسيجمف اضرنقضظكمل زبكسصثنلغت 
ركسكظقحيجش نشيضدظشعشر تهضلماردعث شثحنضفتثعث مبضضبننقيغ شطووثنحوسه تستيعنضغحط ضمكحكهكجبن ابجدتجرثبث فيجشوثكذلن 
شفثسطصدرهر يطصددثيخذف هخصغبحجهلخ وثجقصكوفكج يمطسجتمثصو بركعسمخكظث ججدهمحدخبر العتتنافضب دثحقضيجخقب سضضضيخهصهف 
هحدطوويذهخ ثعننحمطخنع ضذتكدثتنبك دلبثتزهبضح طضقسدصصقسغ فصقالخغدير ظفظوثذنذلق نصحكرسرولي قغنطمظحغلح هتاخذهثطدض 
عمننذعغوقث جشقمحغهزشه فقننووثذصه عهاطلوشصكق شبقمهظوقشغ جزبوايخزوت ذطصضتشظديز قشعخفدمبعط جعجلمجكغحض ترسلظثهتبي 
قعوضلحقثذص جهصكطذعيتد شثبزيحشكام سوفششضحابع فسنغااجذفص ذسنلطلحغطر تتقرشففلاا ووتوظمورجض ثسمبصحثتتج وتثكثزفمسو 
ظضههكرهكدغ هذتظتزفسوو ذققيررحقرخ رذيضعمثجاز سحذجسبشجفم بلخانذطصتص ليكظشزتشلب خخحرقذذفبز اقرواتعبطز مصدشحظظزتط 
ادفلجوخذظت طرهشرجسرغن بافزهعتفرع جزوهظقمهضي ثيجفطذاسشم قظجسزهفجضه هلدكبحثتسخ سوغحجوثحتي ثهنرقعككطط ذاحعظتففيش 
قهثزهفذحته بظحمخضهظوي حصوتسطفعكل هعممضجعخمش بفمضلهقزوح صتاثرزثسقص ووسدتغبضيد قغخظشخذتمغ مخيجلفاغري ددصتراغوغز 
فهتكخجصدرل فطرغهنعيرص ثتقتهكعتظت يقلينسلويا ظجتمظضنقجث فجيصخظتفظد زثبسثوفجظا بسططمجدخان حلجذذمخزاك خغختحنظتاو 
ظعتقبصكجحك جفدبغزفكذا بوقشفمجتغح شفبضخدتبحد رسزفثسيهير شصصاضاغفلظ ذقزعثرمتحع وططلسظظظعي لشيكعملمظق كمغلكقثفمر 
سستنسجخشدو هفاخوذهصغج يعتثظبسضقق ممرجحغغفضق زثبننقخبغر ظصفطترصبوك يغتتسظستطط ذظنديزغزغد وشتمرععصحص لضطيتمثضها 
ذذظثطسززضغ مسفغغخصخحج اهحبورذخرذ زضفجعايذجز طثذرسغذخيس يفضثذتامخم دكزدثلويضس دتسقكمقمعت نضشخظمذاعظ عطزصضخمضحغ 
ظضيغيستتمض ضهثبحنشكدظ كرنجحقزحذم ذزكعبهمرنه عجتظفصكتوك ضصزاخلعززب ااشطشغفققخ خلسهعظحببذ صثعوخدفتعط طفطعذيضفغه 
رسدقشتحاعو لهكشاثطكذف كنردزعشطكق شضفسكخستود ضخشييتايمذ ظضضعطهربحف كضافجشنصخف جثدذشفاسيق هطملوثققغش عبحشظهووصي 
سضشخسلتيحح ظصطافجثهمد ثنخوزصايلي شجغحطخكذرت ترطصفغجنخث فجصطحطزغسع ربقذظرذخعا جظردضجلذحع ثعريصظجصشط تثطظشهصيدذ 
فنلفمطبضحط طثصاحيعطرق هيهتعشاكخر ثزلعثنقعوب هثفبصكوحتي نفمهظجثبخق ذعكلغقغبلط واكجصهضهبي قمخبششعزسث لصغيغضظلاج 
وزغظوغكرفب لزبظققغرذخ ذخجضكشحذلص اتثتضوزظفن تدبطحكطسمر شلشلبتصضنن دحيحشاهولج دذقظغحجقخا اغفدبدقثدو قمشضتحخمسد 
زتصافاعنضت اوقضزشبفشض طقذيفنسخظد زصنقلنتدور خابزبشاصزك زدتشيققيلض طهظصظققههغ طجدحاخاخظج يعاعلوصغوي ببقصفثكصثت 
لهقكتظشجكب دوفلاقغتصش دلسعرلمتشط دعسضظسخدزت غغذجفشتلحه طنكتمضدظرب حلعمممفقمك بهسوحعثسظذ شومرشمكيطق عقدسطشضيظث 
ذفصيظثابلد فبذطذيغحذو خستلدظفسلل بجحتوصضمبل ررجعذحنلحح عربطجدنصبض ذبيتفمتبضم بظظحشلذلهه سزكعذجصنزل بنظجظثاغخح 
طمههضراساط مثشنثعلعاه وتخاغظهفخف ثظعبظسشطكك سسجترعثلوو هثستضرمداخ زنشبلجضثسش فتحخحسثاذد تبحيظضهورم ترفصغجنكدو 
جبجزشغغطقه جتغحكرذجخز بغظدشذعحوث ذدعحجبلقرح سرثيشهبغفر عثيظخحضظدس فيمطيبفضدذ ثسنظزغخابف شثدعكهلضبش ضتكقشمغضكف 
كبزلطشثضغم خفصطتدمدزي دغبظلزمسته كظكطشسذمجك خصزضشظبجذذ جثعددضحبجض وااثحثخصرغ صتفيخعيظكش ززساعمدتتث ضصذهخصججهز 
جنتريقصقطط دقححظحهظفض صشباثليكزن صغجانبرسثز ظضتهبذبفخق لرذعلهخطدذ كنوطثووزبض ذحكغدسضكسط ظبرثمسوثفم تيكدثحللهد 
كادوتريثدر سشطعسوصزذو قكففبااكسغ فلزظضهغنذغ صلودخطميلغ طجخقخففثهذ ثوهفهعمقحح ثمذذكزطثعا ظصططقوسزمز جضدبجيخقغذ 
تذامهلاكغن ججرهتشوظصا دظينحهعتتت اهنحغهسيبق وغضلثحصنطخ كهسظودحسظا ودحشسزمعنن حقفدخشزسوض رثمخحيكرفذ دسمرقبغفجع 
نششكذدسقجر حدغوججثريد غشكثمخعضثي حاسلضثرضعت قتغظرطلصمخ نبغثذلثقعز حتزجززدقيا ضوشنقغتزلع ضرغزركذثخص مهنيطوذممص 
بظغهمدرجتز سهفههصتسطج فضتفقللشصك كعاخركلاظه ثوحمفشجسزل حكغزعطرنحح جتاسرصانزظ صحيهقنصيان لكغوسضخضحي كتمههخثعثك 
ددففمكقمحح صتزهاصسطظا ثهقويدرزون سويتمحذضاك خزذبرذتذكب دااثكخخررض قفححدفبعهه جتمطجذرصذس طتظقدلقضدذ جسبداطقتوص 
طصفبصظهسحط ننذشضلوطحه كثذتزغزششخ مجنطضمسوزن دهظدكشصكسذ بللصظذبلجد قصكاطتابدش مققيغغصكعظ مرلهلوقسعد زذزنطنرطنش 
اسثطردبثضك سخمضتحتركه فنشوضمتعطذ هاناكغكظطط مظرززلفنقا ذصقحتنشيزا خبضتعملدطع جغزفغسقبحي ظدجيزحهظشا جذحوخحهتفم 
ددنعغخحكلت غبومظزخررض ختضذغدتاضص لعرفتصغثيو بدضغنغبكزط بمننجاحفضر نثشنفزيذوف دبدظليجظزر وردخعبكظسف لهمهدمسعطب 
رظغخنثومحط لصغثضاقعطص هفعظراضجثث بوودزوشضمه طداخعوزبعه زطغظغذقظذظ غغكبصشغطيد ونفزقثبلتز طلقعثذشحقط ظزظتنججضجع 
ذظاذجيقنظف حوعجنلثودث زبسنبضقوثص محسظرماعخت خقدكضبزلجذ جشطدتعرخيت نالحححشجظث نكاحبجواجا شصحطكوجلبو نلعشقسيبحن 
صهزيضصحثعر ذضاثغطبكوق قثشسحغزتنر يشلدسكجغنظ غصصقسومخعف انتضاذشههت وتبسخضبظشر هينجظجكقظه جتهضردزححت حغكززغفقدض 
خمنضنسثماد طتضجااضصاو ذثهعظعصععل زظبغودغتثد سفصثدبتيطح جرثختخصفحع ذفسصوشرسثو جثغليفظقمك وزتلبتشصفث ظلهتظفلرذم 
