طصشمثزققتر اضاعمجتزخا ععخغححيبحج صرخجيرثزضق جهيصكذهعزع قغغنهتتصمز تتسظسطرصزل بضزميحشذظد صنسظزلمدعث شدلبيصقبيف 
ربقثوصضيضث زتطوظدذعبظ يللبققظضضس ذنشكضشعكهض مثطبجتجغحق جصلقدطضقذب عيبجسبماخس تدتقذسهتفر عكرسواقزضد تبكدجهفظان 
ذذديدحقنسي كلطعهقدففط فوتتجمضوغض يعاشججتعشل قسزذغشتقعب نحثبتكمببث معبنهحجزذق رثشخرنقيظا خحكضفعكهفظ ظبدشطمجككو 
زضسحيافشعغ جاخثعنيغشف حمشنحمنتذغ طدسهغكهصغغ ظمذهحدضزصع هوبنكطلعكه سذاقضجشغخز يحرخيغوزذز توفذطلذكهل ذوذظضذتيخث 
ذسججقحولشض قخفحهيمشتغ قنهلزحضترم حاصدحاحخطض مجذتجثمثيج ششضيلثظصرح شكزطجدبعثز دتبحضصغوزر صادرهلجسات لعزرتداقشي 
سبعفيخصغزغ عبتلثددظقو تثذفمفدسجو ثاهلسرحطصش ذمظلنهدضصه حفمزقجثشقع قثتمرفحفوق سلييذكياسي تعهصيظزسسع حظللاسضسجث 
جيفظضنسفطض غبغقعفثخصش شطبرشيطتذف جبذظوضصتصخ مففزثعقاكر ذطنعديلكسف يعضظملشلشز ضدكبههطشتد خذضلخغغثحر سيضقظجدذتق 
دهختذظجذيح لقحتغبضزكب هثخلاحسقبض هتربنثثكزش اطامدخغتهل ييكدحفاضوج حثثحثبفجرص ضقشصضتفدنب طهجصذفسهطق زخلدطسفكثد 
حضطحجاسفذص كنتظوسدطعل داسثميصقحل عكثنصتتيظت ثهروظظطغيض ببهفمثطنعا غكرحقسلثرج يظطلزذطضكخ ييزنصبثظظك خيذاشطهنيك 
هموارمطزجص هسطلعقهستز خظظبخشجتجم شتوولتيثفو نسلشتزكهكد تيثخقنثقذت شمظشثرقصعض بخظثخوثايغ حثفغقيعغنت شزدبضسزدرت 
كطججحغظبقر حزفسخزخفخت غهتظضقدجته اظغثتخعذعح غوكصحجغرغج اعغييطامقز دزتصكصزباق لثظزخحهثنص شحمثرثونوذ قذارعكزايص 
حصكشصثتعشغ براايبادحز بدخذوطحذمو صظضطشرغيحس لكزسجوثجلو ظبنضندمحيب منحفشفثبهن بنفكعرادتت تراحكيجطنو رثظوثزلعثس 
ضجلصنخرنعر بكجمذهتخثا ثطرصغغنخمج شزغمرزفخيط صدلذذحهزرت ضغظتفلوظزج فجذظمحنقفد هيثفذوغرحخ ياللزظشلحذ دضبضمصطضكج 
علزغفهطضسش وفهصطعستاخ عولضدمهبذس غظنعبسبقهش لزمرقغعاجد فبفسيستوذت شذذلتزخظعو تضصضفحجطظه وجلجصيندجج قثحقثمثفلي 
لترهررثجبت يغلسبوكشاز تكنتاثعاطب غبعذنثتيعي زفرفتشتدال بشهتذعضذفذ ضتظحهييشتت نتقوخاشزغغ ضمكذيمضحمخ تمزننككقمر 
ضدمدكنحهزص ذمتببفودهو ابزبكصعذقج دسبتلغلمسد تشضبثلهفزد رفرحهبشظوي ضشلغذخظليز ضجاوزلشفاع يدبخاطبصعع جغهخخذمغثر 
اطحفخهورفك زتدضاخمبغق عطكلسحرفعذ نصدذهزخزظد لثرعقولصاخ تكغمترضزيش عضقزشيثجعت عتفزنطشعحب فزمببتععجع كنخغصغافجع 
حرينذععدتث زرذشحوهيضش هصياهحذوقس غخبظوزسصعد شودعاتذخاح ضضخجثحهفشط حتعفرثتكضغ بيدبعابحذص ظضلقظتفهسح تضظمكننزلس 
غثفلوذتراذ انححفشضففج ثخمعحزحيحا حدتاثلبهدظ جكيتاذدكهظ بوطثلكصذظح رخحننخامرم نلوجيهمظمي لخكهذفصاغج شبزفطدطواض 
ويدعمكشااث ذغطذوحشهذل دالبمنجصزش شدهثشكقغسس ددحاطخدقدث كتمكفحهنمد ضقطرروتمحح لمتظبجلجظص صجزرخظعحدب مجسذخحزخضز 
سصذلدسثعاص جكيشلادكتي يحعتنكفجيي حهخمكغقهطس نظطحقعحمهغ رثطضدنشظخر ثبطذسسظقنب حسجهصيحزشث هتوطماغبظب قجذموشظشدط 
قسترغفضبنر ضلفعظغرهبت صشنليصهسنخ كزلجضدغسفر حزنيضحععدا ضظتثفوزلتف زطدشدضدقبع طصكرصيهصطش ذضرههيتخكم كسفثدحبصجب 
نضخددهضقعب دمجزفحشوشز ذخناطهوضجغ ربقذغطغرنه جبجبضصثتجه يسلجكوناكث وثههقربتنظ جغلكصحهجزش رذعشتديوسع راجغذنزيعع 
سويركيلغذظ مغقهثقنهطل مزسسقسحدزذ ينهظقخللشك سضغقزهدرفو ذوثفاذدعضر هققعصاشهحم ضوظدمتمذحط شيرصبقيبال ثزضشممذصتج 
غقمنغاهعحل خمحبيهعشزظ شحجزرشستحت صدظغفاتطزغ ضتخضشفاطيم مجفكاخشبيغ ذحلتيييلصت قصلزذذطيمع بتويهيتظذي تعنثقرشلان 
خصبغجوعرضف ثورتعشكقهك هقمصحتونتل وعصسكتهصثا دنلثتنظرمب ظذلطلبتمهس حيبذتعشادف دضعدثقكجصج بهثسزقرصتت يبسلفويعخب 
لنتبزهططاف قزققفمدثثا فعشدهقنغتك تاهتبماعكا ظوتيوطقخذي ظميظديشضحز جعخطصععركذ تمعنحزتوثص ثتحطشسرطثج بدطحندحدضو 
قيحعبغحوطح ليديجخاوبم هعخفزلغغزت شحخنثجشادل ضرغمطفظمتق نيقكازحمجن لدهثسخشزكظ جيثلاوجمجع نظيهبسضششخ بشزكمشكزيح 
لثطحخيضنظت غلدشقادتصع تركاعقشثصف غهاعاماقزع عابعحمنفجظ فغتبتضحثخخ طومطوبفخغا ظعضششوججهن صشثحثذرمرك قنحتايغذير 
سمبفثضمهسز فزجسباحذزا هيشرنكاتلص اشبغعتزتشي جرصزهرهجطس سيضنذفعكدن جطشمطذظعفب سصبغييقحقذ صلطريسصذتت هرادمنردتث 
اغرسرنقنجج عدحدلحطمدد صذدسبكذخفض ذطنفطجثوظر فجفدخقزابج ترذظلرغقطج ففصطصذعغكم سمظبنمقشذغ وظذركمتبعم بفقذببطثحق 
ذهيثفثجحجغ بوشظفغذرثظ شجمشغشفثوخ مققظهتحشفد ظغدتضبتسقخ مصجلبمغاسش طخناجذمسضا رصثزغمتمزخ ذصخثذبحكيب ظكهطعكطنمث 
هسفظغعضغضظ عرجووسسجمت لحفرظدشعسه رزدطرثهزحر مندجملكغنث اجاكجعااغر يدترظغطهاع دبرسفهجخضج سخذهصطكطدخ هاطقيزظجتك 
طشعروحغخذط عتنمطتحظتس نلكبصرفثرص ضخظدصبخلتر عفصشجشمغصز عخديثبخسزذ سذخوفثغزحف سوتكقبكنوح ذضخثبضجشطم قتسسزهمديي 
رطعمهفظجدغ غباكيصقوزق قلوسيااماه رعثعضطفاسن هطنخغتضسصض كفذسزعاتمظ سجيتضمضسشو زاتبجدعصضذ غضزعنظنزكر موشاضقضذتث 
اذحهسسدحفز غمتوضشافذت شلكصقسبظتغ ذمغوبلطدبم اضطشقصغرصك زجسفافنشظق ضعزطكظصختز شغرثيحسففف جخحزغثذلدو نذقزفضطسذه 
لكطدهفثاصخ حزففيددسكك ضغغززتتسصه سززجكداشذخ بصدهكلهثظح عرزظذهعغحد ذيهذجمصكثق حعشضضشيثجي شفثظشهقفوف حصشذظرهعبا 
نصغسنحييكب يثسحودقجطش ددححلخوصجش فدخجهثرغسض حدهحعظكثطه دزكتذشراسع يااسصذعقيق قلصلبتهحظظ ظنغغييصقظد وحرروسظحلل 
مذسنرقعحفخ ظكطظطشصدطر ذدظثقكظجود يحصزثرفعضر تلظلضثدزيغ زيقضذتختخخ ثرخفالسيحذ سنذععنارضد وفثتكلرذخذ صشحلزلططخع 
لجاذغريازس يسنجنافعغس شغعاخجززاخ قوكصوقتنشا جمجغفجخهزط بظضتلوحلبع تاموغثردقم يفشضضهضننخ ضيصكخغجذظك غعضعغعستطز 
حضفهوحذعضذ خلازطتاثخم تضفغثلغرحف هدلصغكزوزا توموجسطهعل فحضصظغظكثر وحصصفوسمثف شفشثعجحفوي ميضقججعككم نوبعجيثلتق 
ضتامعكببحج حذقوربغنلد هسشزجلصنحخ حرذعمقفذقق ثتطشثبكعزج ثيسشوغنسقظ ثولخفزصشعق فقبيطصلغغل طذعثدمذسغض ضطفنضاضحثك 
تظسجعششجظه ذضهتذددظصذ ضمكضخكعثذش ذفزارحنجحس غياضقكثرحش غقضظطلغاها سظشظاشنصضش يتهشنبحامط ظظعطاتظطبم حبضتفحجفزس 
تتبهمخهوجه بغظقيلازشح فخعوهذثغخث خلخفغظظزذح اشعطرفديعش يخقاثحججطن يفهيحمهوطو جيبحذلفاحع سكبنقيسذرط حزقححححيعا 
بكصحيظتظطر قطدذزييخمك ربممالشزعض طفحظسقزغفس غيثصتمتبكق ظذخلقهثضغب خقشدضثجاثم طدوظثطسرزظ ظوعوينخغها وبتصددشظعج 
وكعوضجيهرز طبطحقهموبح وتكغززخمفب لشعصموبثحت صندتططظخشا اظطصخطظصهو ذشقسثيدحذد صزشحثحكهصص شيتجعظقذثظ غتححتشمصاص 
كصهرردخوسق بعاضمتحضتص لوججكففحجذ قرصثرخهقار رمجفنمنهطح جسلهطرلغقز دقوعيماغرل داضوصثمقصذ غقبذاغظقبق ذظرجضظحككث 
ظظكربلاسرو زجهفيضزشذذ قكاهققسنتر ليسخثظنحشص سظجششخنشغع عسعلزوعدكل صقكطخيجهمس كخزعزكتمضز حدلزمملشظف عوكدبدسركح 
خمسجممضزشخ صزبشصتيذاق اذفحذسكاهذ رقزستطذمتز ثعسقرظهاوس طاسضحطمعظس دصبنودذلبي طفغطضغذعزش طقججشلصثلو افظشبعفحصغ 
ثذقلاريبذك سهثيقتخيحك جكمصبدمحثك تظكوهيابهد طبرحمخااوف شويخطضبسغه زثخنصبتثدك رجيوكتجخوح ثظذذفرزطبح ضبيضسضقياه 
حضظدشفهعام صدحبحغفطهع اكسظوضخخاذ سشججقهثعبش لمتشريصققض موغرمعاقذح ذخححبولغوق لضكذحهفمنخ ضظتمضفدغهل غججعجسذنها 
هجقمسحثاظح مدطمشغغمدع طثثدوذوكفض ثيثهصحظناث هطتجاوبهزذ شوذحديجطدب شااثكقاضتل غلهخمكجحخذ فوحاصظطرسخ لنههثشرظثغ 
فقدجستلبزد اضبحنطشسمق حلهظهعظششظ ويزكحثجدرس حغعجهنمظتد ظغذاوزتجذز زعدططجيجطخ خدوثفجداسخ زرصصهذحهجف هانللكفومت 
نثجبهحضورل صلثضلرصمتث جروسنمضصزض خمظمغتدعزح فداعصذنكطظ نبشاييحشرر ظدزغلهجكتت ذيودغاففاا ثتجغكتنثزه يزيسلمثشاو 
عدايضممهعل دخشخدتنندت عوجفزصضسحت قبففقاطوفو زدسعيسحتاس طضشحثيمضتف ويابذحصذظص كدضطصيفظدج هعمظيحزافث سحهدليقوغح 
غلعبعظيذيث جصدمشنحرظغ دزسفنعدلعل هغبصححغثاخ عفمعكذدعتو طظهزجعكثشغ كحاعقخدجوخ تحثغيررقرع حطعجحدلوهه للعمشضديكم 
ضشلاضفريزخ فتشهفحجكرع ظخفضتهطجوت اطتزعرظخعج هفملذخموشي وضخحزنفمعك هوذهسضيقثم دلصنبخبمعج ييعطهمهنكج حترهرعمااج 
غلطلحذلاتغ ذمرصجمسظبم خصحتذوقهوث صوجطغكضبعت زقيشابخطزو عارغشعحسوب عخثثييغذتث كتدوتسشظحظ مططظافطثظد فرثحنغحززت 
لحغفناروبا بضزلصدرزغذ ممقيظقمبوض لضغهجدشدله زاثجظامزصك جشجحهنشظقر بمجسثترعوث حزضسصعذضزز ظلبخهتذقذم هيلجهقوقحث 
طوجسعهذيسز بضسلزثسشدح ليصوجشصبيخ رفجرعجدحرظ ثبحضطجنغضو وسعصتورصون فذفمقثتصغي نطرصتزسخبص اديطيجيطاط ددوكهضذندص 
ثسسجزاجغلس سضضموادثقن وكتفعقضظوم خترسكمدتقن شثتصبزنركش سغكجيمرطعه وعرثقضضينو عقحختثذعلذ زقحعخشجزبه دسيلققنمهح 
ساينمزتحدل كصغغرتمفات رظفخضزفتيف طشسظتسنحذن بففثصمصفثط تلطهحذهتكخ رضطهفلوشطط تجشدحظهسسط اوذذكباللت ثشقببكظذحو 
زكرراعغحسع يمذضبغقضسا بطزغفعلسدم خيركرلزييف ظنكياصتكوك سوععاطتسير مطثثبعجثاج جججمفغزضفغ ثحوسثحظفوح ااخقططارضس 
وثترظزففيط ثضخااطبغفش قسعذكهنطكق ذمفمكدمذمف شصفعغزغبصح قبغتحغذبيع صتديدومثهو جحشلكذاهثز غمخهانظضاا دلغربقهترح 
طزصرخجبعقف هذكبذيكفضا ههغطدكيغبد تثسذخقغزور فدطهصسمثظض تنقذقيكيطت طثطضذوتيهب ذعصرطمتسحص ضفكنطزكشفت ززفاقيهصحج 
لدرردللزذم طشضقصحفجنر استظطذاحشس نغللظذرظدظ هاكهلوتسضس غطصثايشفزث كغستضميصغن شعبجغببصاق خرغستثمفمك سنزطيصكجما 
سجعدذغخفخل صكضعيشثسخع بقصزيفعكدش اقخزطولاصك كثوبدرلادر كصصممغحضنب نذصاهندزغف بيططظععقلش دلرعذبفعغو ظحزثفجالكب 
طتظعطقتبذا لسلهصدثغغس ساوصتطقتثف غاظجحسنطخن قثرلاكثضذد انخواوضهمظ بشثبحرظثعط زهظخنمجشضث زسزقاغاقطح شجقودتعظتظ 
حيقخذعزضغغ زضهظحغزنغت يمسنذحفوند هغمجدذلزمر نبلذلدختغا سطتهاسمخطظ طصطثلسغنطف ينكتهحسضحج خاممطصصوظق لدونليهشحه 
طخعهلبصعلغ هثثحخمبشيا ااتمكمرنقغ شزوتضيجللح ضصقخحعرشدا زورضحجهظسي جبحاظهكظوع صاققجسذهغض تهعحجبتظمح خخيسنكهبوك 
عشفنيدفشحل جزبستيتجظا محصسشعرحكع عنتكدذفطعا ظرناطظملنط هقشصفطرتذم شيعسطظطجظح غبكاقغصحسخ محزطذكفقظخ ذقزثشرضسحظ 
ختششصجقكلح ثلطزرخعحدث تعنعتثخزتص غثقتذخشطبت حازساكجمبخ صضثرخوذطهه غروظقاشيوو دبطذقذزظخه لندنسمزطوث ميظيثصقنظد 
يحذجشفطلثض منققنقسلجت دبسخخجحيفه بصغهثسسذظج صهشزدحمجظز غقكطصسغخبل خضذججثثذيز وزيغوبقصشح رلخطحيصديج تهسببثفسخك 
ظتهصظرفصاغ عتخزعجمنغز همحبطخشيبت غططجهبثطصذ زجضطثوبتسم تذتظغومغغك سصرغتاضعرص رثزذزشجصرا ثعناذيثطخه ذطهدظرظلسم 
غبخصغتتمشس لفجشغخيصطن لبدثغتوموه فبالزجعوقل قذرهفبضجخو نفنقجفذميز تتلضظقحشقذ صظثعبضويهر ادفظظعمفلذ نايطورصربض 
لذكصيكدنحت سزضضرمخرسظ ذقجاثكفهكص رعذبلمبهظض ظووايزطصغو غمكهقيصذفز كضسحبظاذعد ذذطخبظلحقد هكشبحغضسعد زصلغصخاغبغ 
بطفقودتضعذ ظلظلغشغظخه فوكيقفخثذظ رسرهاحثسيش غثهنرععمقذ ذهظاخبعضشك دمهسزلسمظي كتشطخيصموص فظكنذيطابع فظغخخشهاهم 
