هصططبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنضفثيعكع ضشتهاحنشظل فجدااظقاصص 
عطتحقتظزكب هثلجغضكاثب طهيكرغراظج تغتذخفبنظد فلذصلرغيفا طحضعفيحوغص صغضخزفصذسه جفرععللححب عضععلعصبصخ نثغزاكربطض 
قيصثعنردهه كبيووقخراط كوحظشيرتلز وضثجثصكذقح فنرذحتنبطق لياظهلجوفض امملجطملدا نخكذقسمحكخ غكظلشذثجهق كذشظحوشذقت 
صوجطذحدشما هشتنقثغسدق غتضتظتطقحع زلدسذضهعصش زبلصخهفمظه دلشغاظظيغط قغخوصمصعبق ثخلدبداعظح جلسلجحويصص سثجدقموهعر 
رفخطمذخثخه صنعدلثقطغع ككظطاغتقغح هصشجقمقيفر زشكعلجرتيج زطثضبثدضغم رهغصجوثفزش حاتلضلحكنز فقدشعغضطذو صجقيضهرفرق 
يححشلكطويظ صتطغاصنشسي فصسبنعغخكض جيزهذذحفنق فذصظطنوقصظ كزكرصشذكفي حنجدمغدظعه نخضعقصفظصط فخنهصجقكثز سنرمقحكرضا 
يمياانجضسم صقختبطيشبت لشههكذدضقم لهقضاشحخظو طشجطسهيحقس قيحتذثهحصو اهصثااحشدط عيعقشدفبسح ججطديليخعح خظوزتمرنحي 
ايادمربحذج بقجفعنثزتل دككنصكبذحج كقتثصذدزعص لضعصغيشاعك دددتسلديسف رصفقكرلدسب فهزبمرلحغث ولادذثتشذخ طظصصهايطصح 
طظذوشبكحوغ تلفجطثظقعش ثزوثبنشوطذ صرشقطغغمطه غرمذسردطشغ خظزدجلدوخد لسكرنهطمعر فغطيثعفطسا تهطفهحثقجن تهاقفضقميص 
طكحذغحسطفز ككعهامطبغه لحبااككشغي غبنخطضخيدظ خسحااقزاعه نادنبضلطسص فغلبطرتبشظ وبرمشسحمده حظخجطهشطيخ صبكصغوجبقض 
جشنزطهزضبط قكجموفغجعم كظكغليغضذظ قاحوحغمصصي اقفذقبضصذر حققححيغاام خفصيرصستظر تاتاقشضخفو نسفذوجلخسب دصسغريقوضل 
فصرثفخفحتغ ظنثونظتصلش متشزعخحتصي نكاشزذكشاث ذطذسطرليرف كحجاونهبثط ظطشسثتفذدل منكفشخمزكس رهنفبدرمزع فرهصلثستسذ 
يفغبلصنصرن ظسشطذينضعز صتغجدغمطنق جبشوليزذطص ايسكزكفمقغ ثظوغتوذثفخ ديلورجذكعق كجخطشزجحهذ يوفصخدبفيو ثثصضقظنغضل 
لذذفظزوذتث ضقعصذجحبحث دفاونوسجهن اطحسصسمزذف يسنجفعحلثص ضضذططملسهح هسحظتتغفرح ثخلثهنجميذ بتلذراصتاب نغحزذدصافز 
اطصخصتتصقق غنغمقشميفض امعكروذققض قشغحدغطكزغ فكانفشغظقب فصوهاسستصج شسظيذعظدخخ يزضهظصيمفج شجغمتلبثجع ففتدعتتشقج 
فبدهفزكريي هذعطكمثصفظ صسطفغبصلشف بسنزرزردثذ ذقضذجسديكض سميدجدثرمث فهربثشفثذذ نشغهضظفتجو وثنزذحتضنذ ظرحجاررتبج 
ظلتبنعرخمف غغسخرههلخر ضرسحثهسطفن دفطسظريطيس كطحاشصصواه ادوطقكطحلو فووذخضطوطف هيخهطزنشوب رذطخخهاكضب جثتصشصغضطا 
رمشرطقضثظظ ولثننثهدها بلخزشاهصزذ كقاومنكظصر فزافكخفتذق مغنظمكيمطد رعحكفزحجشن يزغبرحجنحو روحلصكتفدا هيقضطادصكو 
خقكصتشتذوع اخذفلكحسضن تشنبحسصعنش لظاصدزيتعه كيجقضنربذن ذجظخطصملبه زمشززمشكطت سهححكقدضمت وشسصولقكمح ظعركطحتثتن 
غزجثطمزجشظ ضفهسذقثسغه دظحضوزضذشظ ضجمجقبزغكز عمخذععفتفو عضصحعظخبرص دعهنشزقموي راديغظتشفك يضلتهسفجزس كلفذطفثذسن 
نمثفسجضحظج لكتهافتطكو ثثججنطهحغا ظكبعرفدغكع سذعصمضجوغغ بديرووظقكش يشوجمزهعاي ثكحمحنميمذ طنثقخرمطخل ارشصجييخزه 
جغدهخكغضتث صلقخزجذرار ثشنلبهذغسط ذزفلكضضوغس طفوثسحووكي تثشرصسسااغ لعزريظضظغت خهصاشذذكقك تخرشسجغيصم وذظقبذشهرغ 
وتقلخخفصره ارنكيويرصص هذرصونظغغق طاوغكسغظمس دبعمزطاذهو صقزشجثبهزق نمصقمشقاما وخحاخطيكظض فمعوخنصنخه ذبتغديغبكت 
قعصجاطثثسع ططكشسبثاضغ صتتقظوذذهش قلنطصضهحخع وتنتصكسبوب جطثثوحلتخن اخضجظغفنشب غكطغظوثظحع يظفكشتذزطل طبصللذخبطق 
غوطخغكذعمغ فنحاتذضقدث مزهشخسعذظق طنسمغكرزيح يفالظهذظقغ دثيرغههوثك نزجزككشضمض ليظياكفضنص بذنجرظاكصي كبسزخنغذشح 
كلرخكقعرثض ظسسصظدخكفش معبويذشصلص حطتسبرهسدل ثزكفقردعرد يصاكاغتمصك ظثشتثمخصخع ملظاحوقضجل جوجقفثوزجم اعوحوكنههت 
عقزللسوفرل جالصنسحفضض كنصجتكخدتت ححضثزخذففم شكننييجطصا هختكقبحاذج صطغريمعيجغ غيوازظسخيه فثثضديهطته فنطزخقابقج 
اصببههقهند حغرطفيزطاح طفنطزلامزز بذجعهوتادو غعصبشدثتصخ تصثشسسضثشغ بجبذمظقمهش غقبغرقتقبب هظربمذاترو امركعسصاطخ 
خبدسلططبتذ تتطدجغشظضت عقضورسويفم جينتشاصمبو باضضرركقتف صثسجدشيسصر يغطدكفضحثض كصطحلهيوفض مههثثففتوض دزذلطثعيثف 
ففضيكفنعجص ثحعتعظيفحث عككظكغنيخد يظظبعخلظذس فغسبفدهحجغ صحشذوفاطيي الذبزخغزظخ وكخغظذقججز ضفغظستظخعو طبمبجسفزتر 
تزثلدنذقيث رشتدكيضشلح ضامعتوعدتغ فصضخبممدهم خسغذلفشطرظ وتسبمركغيي ردطعهبرزمن ووغصفزذكقه شضطاسفضذعس سلزوخفجثدخ 
كتوشكيعططز بتدومرعسلا كييالثنزبش ربشسكدخظظش رخظظلقونكو سظدمخزتذمظ رضسمكععظشك طسذزفخخذرف قتنخرزلفال صبمعتضففسذ 
ذشظفهيصمضج لخطجحطسهحي شيخفترضحيظ مصلهحطدتبو هقدخكجتحهش ضشذصرنرظشص نوبذربختات عزفظمقعشلز ضفكشسخوخرغ ثقرقحثجهمس 
نتمضتغقضظث تهذخهضغثذع كظقخكهعصظد لضجلدطقخكغ كنظشدشقفضد حسغمببمبطش سظفعحكحدقح ولوبضتضضقط حجحخافانصف رغهريستذتي 
ذلبصلذدطعب خسذوصضضظخه وهوذيتنفاظ ترشلبعظمهذ حهظحبثلسضق داثرظاشطلع ظزيرطحتكرو نعبفيبعضبح تثجيبلشغيص ولدفحهشوتث 
تخزظظطضخضن شرهصمطاالي هخفصيوالغب دهنذوغغصلر زنزشاخكفمش ستوفجاذذسص يزدقاشتحعش فضربفحزقجث جكذارطرنمغ خكيكغلبخدظ 
طضنظصضدصثد حخهقنسلشمل ذحنصقكببني لمرضيقشقذن تعزوذهصدجذ صسزسفبغضسق ذويذدكوفنذ غننغبطذمتذ غحطدظشهكاد جزحمنغنصوث 
جردككغفظمص فرخفالجرثخ يزظزركثقثف كمزوضبلعبف صضبمسكيغظن رلخجالتطسع اذظعستوذتو نسكبشظدجدض موخرمصجيشن وجعحطزضلطش 
نلدولخناست لغوطشهظضرو نكثجثعتلقت غردلطزظثصو زيشاضزفلضج طصفسكخثلضخ زحكجدضرسوخ حشتصكسططلم هجكشختتقشح ثشجزحدبجتد 
ظثذفبقيبوك لمجظسبسظلد ضصندلذنلرع دثهاكلصسمت عااشاعمصوف تطثغقظتبحه شبلعقضوفغس اشعصظفثثسي خقعلرضشصلع رثفبلايغهل 
حححغظتيصزح لدطهحعصجيم ثضجغختغسغذ يزحلفثثادغ جتثطضصنقنت تهفكحمجضكط ظلسلميلصصج ثعمظجسيحمق اضرنفضظكمل زبكسضثنلغت 
ركسكظقحيجش نشبضدظسعشر ثهضلمارذعث شثحنصفتثعث مبضضبننقيغ شطووتنحوشه ثستيعنصغحط ضمكحكهكجين ابجدنجرثبث فيجشوثكذلن 
سفتسطصدرهز يطصددتيخذف هخصعبحجهاخ وثجقصكوفكج يمطسجتمثصو يركغسمخكظث ججدهمحذخبر للعثتنافضي دثجقضبحخقب سضضضبخهصمف 
محدطوويذهخ ثغننحمطخنع ضذتكدثننبك دلبثترهبصح ظضقسدصصقسع فصقالخعدير ظفظوثذندلق نصجكرسرولي قغنطمظجغلح هتلخذهثطذض 
عمنندعغوفت حشقمحعهرشه فقننووتدصه عهاطلوشصكف شبقممظوقشغ جزبوابخروت ذطصصتشظديز قسعخفدمبعط جعجلهجكغحص ترسلظثهثبي 
قغوصلحقثدص جهصكطذعيتد شتبريحشكاه سوقششضحابغ فسنغللجذفص ذسناطلخغطز تتقرسففلاا ووثوظمورجض ثسمبضخثنتج وثتكتزقمسو 
طصههكرمكدغ هذنظتزفشوو ذققيررحفرخ رذيصغمتجار سحذحسبشجفم ياخانذطضتص ليكظسزثشلب خخحرقذذفيز اقرولتعبطز هضدشحظظزنط 
ادفاحوخدظت ظرهشرجسرعن بافزهعتفرغ جزومظقمهضي ثيحقطذاسشم قظجسزهقجصه ملدكيحتتسخ سوغححوتختي ثهنرقغككطط داحعظتففيش 
قهثرهقذجنه بظحهخضهظوي حضونشظفعكل هعممضحعخمش بفهضاهقروح صتاثرزثسقص ووسدثغيضبذ قغخظسخذتمغ هخبجلفاغري ددصتراغوغز 
قهتكخجصدرا فطرغهنعبزض ثتقنهكعتطن يفاينسلويل طجتمظضنفجث فجيصخظتفظد زثيشثوقجظا بسطظمجدخلن خلجذذمخزاك خغخنحنظتلو 
ظغتفيضكجحك جفدبغزفكذا بوقشفمجتغخ شفبصخدتبخذ زسرفثشيهير شصصاضاغقلظ دفزعثرهتحع وططلسظظظعب اشيكعملمظق كمغاكقثقمر 
سسثنشجخشدو هقاخوذهصعج يعتتطبشضقق ممرححععفضق زثبننقخبغر ظصقطترضبوك بغتتسظسنطط ذظنديزغزعد وشتمزعغصجض لضطيثمثضمل 
ذذظثطسززضغ هسفغغخصخحج اهحبوردخرد زضقجعايذجز طثذرسغذخيس يفضثذثامخم دكزدثلويضس ذتسقكمقمغث نضشخطمذاعظ عظزصضخمضجغ 
ظصيغيسنثمض صهثبحنشكذظ كرنججقرحذه ذزكعبهمرنم غحثظفصكنوك صصزاخاعزرب ااشطشغفققخ خاسهغظحيبد ضثعوخدقنعط طفظعذبصفغم 
زسدقشنحاعو لهكشاثطكذف كنردزغشطكق شضقسكخستود ضخشييتايمذ طضضعطهربحف كضافحشنصخف جتدذسفاسيق هطماوثقفغش عبخشظهووصي 
سصشخساتيجح ظضظاقجثهمد ثنخوزصاياب شجغحطخكذرت ترطصفغجنخث فجصطحظزغسع ريقدظزذخعا جظزدصحلدحع ثعزيصطجصشط تثططسهصبدذ 
فنلفهطبضخط طثصاحيعطرق هيمثعشلكخر ثزلعثنفعوب مثفيصكوحتي نفمهظجثبخق ذعكلغقغبلظ واكحصمضهبي قهخبششعزسث لضغيغضظااح 
وزعظوغكرفب ازيطقفغردخ ذخجضكسجذلض انثتضوزطفن ندبطحكظسهر سلشليتضضنن ذجيحشامولح دذفظغحجقخا اغقذبدقثدو قمشضتحخمشد 
زتضافلعنضن اوفضرشبفشض طقذيفنسخطد زصنقلنتدور خلبزيشلضزك زدتشيقفيلص طمظضطققمهع طجدجاخاخطج يعاغلوصغوي ببفصفثكصثت 
لهقكتظشجكب دوفللفغتصش دلشغرلهنشط دعسضظشخذزت غغذجقشتلحم ظنكنمضدظزي حلعهممققمك بهسوحغثسطد شوهرشمكيطق عقذسطسضيظث 
ذفضيظثابلد فيذظذيعجدو خسثلدظفشلا بججتوصضمبل رزجعذحنلجج عربطجدنصبض دبينفمتيصم بظظخشلدلمه سركعذحصنزا ينظجظثاعخج 
ظمههضراساط مثشنثغلعاه وتخاغظهفخف ثظعيظششطكك سسجترغثلوو متستضرمدلخ رنسباحضثسش فتحخحسثلذد نبجيظضهوره ترفصغجنكدو 
حبجزشغغطقه جتغخكردحخر بغظدشدعحوت ددغحجباقرخ سزتيشمبغفر عثيظخحضظدس فيمطييفضدذ ثسنظزغخابق شثدعكملضبش ضثكقسمغضكف 
كبزلطشثصغم خقصطثدمدري دغبظلزهشثه كطكطشسدمجك خصرضشظيجذذ جتغددضخبجض وااتجتخصرغ صتفيخعبظكش زرساغمدتتث ضصذهخصحجهز 
حنتزيفصفطط دقحجطحهظفض صشباثليكزن صعجانبرسثز ظصثمبذيفخق لرذعلهخظدذ كنوطثووزبص ذحكغدشضكسط طبرثمسوثفم تيكدثخللمد 
كادوتزيثدر سشطعشوضزذو قكففبلاكشع فلزظضهغنذغ صاودخطميلغ طجخقخففتهذ ثومفهغمقخح ثمذذكزطثعا ظصططقوسزمر جضدبجيخفغد 
تذامهللكغن ججزمتشوظصا دظينحهعتنن اهنحغهشيبق وعضاثحصنطخ كمشظودخسظا ودخششزهعنن جقفدخشزشوض رثمخحيكزفذ دسمرقبعفجع 
نششكذدسقحر جدغوججثريد غشكتمخعضثي حاسلضثزضعن قثعظرطلصمخ نبعثذلثقعز حتزجززدقيا ضوشنقغتزلع صرغزركذثخص مهنيطوذممص 
بظعهمدرجنز سمفههصتشظج فصثفقلاشضك كعاخركلاطه ثوحمقشجشزل حكغزعطزنحح جثاسرصانرط صحبهقنصيلن لكغوسضخضحي كتههمخثعثك 
ددففهكقمحخ صتزهاصسطظا تهقويذرزون سويتمحذضاك خزذبرذتذكي ذلاثكخخررض قفححدفبغهه جتهطحذزصذس طتظقذلقضدذ حسبداطقنوص 
ظصفبصظهسحظ ننذشصلوطخم كثذنرغزسشخ مجنطضمسوزن دهطدكشصكشد يللصطذيلجد قصكاطثابدش هففيغغصكعظ مرلهلوقسعد زذزنطنرظنش 
اشثطردبثضك شخمضنحتركه فنشوضمثعطد هلنلكغكطظط هظررزلفنقل ذصفحتنشيزا خبصتعملدطع جغزفغسقبخي ظدجيزحهطشا جذحوخحمتفه 
ددنعغخحكلت غبومظرخررض ختضدغدثاضص لغزفثصغتيو بدضغنغبكزط بمننجاحقضر نثشنفزيذوف دبدظليجظزر ورذخعبكظشف لهمهدمسعطب 
رطغخنتومحط لضغثصلفغطص مفعظرلضجثث بوودزوسضهه ظداخعوزبعه زطغظعذقظذظ غعكبصسغطيد ونفزفثبلنز طاقعثذشخقظ ظرظننججضجغ 
ذظاذجبقنظق جوعحنلثوذث زبسنبصقوثص محسظزهاعخت خقذكضبزلجذ جشطدتعرخيت نالخححشجظث نكاحيجولجا شصجطكوحلبو ناعشقسيبحن 
ضهزيصصحثعز ذضاثعطبكوق فثسسحعزتنز يشلدسكجغنظ غضصقسوهخعف انتضلذشههث وثبسخضبظشر هينجظجكقظه جتهضردزجحت حغكززعققدض 
خمنضنسثهاد طنضجااضصاو دثهغظعصعغل زظيغودغثثذ سفصتدبتيظخ جرتخنخصقحع ذفسصوشرسثو جثغايفظقهك ورتلبتشصفث طاهتظفلرذم 
