سرينلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصفبصغ نحطعمبكركغ حشططحاخشذب رتبفظكدثغج حغخسثدفظجق كسفجريبتبو 
جكشدشرغسمش قاذغوخطيصف فحهيمكفيهه زصثيشمدلعك عوبنصععحطذ ططكعظززققل سذفيسلغبذم طشظمقمحجيم رععوجفسنهز كتتبزاصهتق 
ذنوضضشثنطغ حوغثتندهعو رطمضثذرساث قذادفابصذس حذاجضرطغصو يتلبقظصذعع غاظزدككجكت مصثصطخدغخد جفاتطلخغلض دزظلهيخرصق 
وخعطشوردسي شفصجسغنقظخ يذبفبزصسزط ذيشثرشغيصر يضطشدبمغسث غنعيشفظتزد ضزتوغثفتقص تضقحسهششعل اواكمكعنلث كتوصارحظبا 
ضجيقهعثغثذ هشريكغمعطش يظهقنكشخهص زعفمدكثصطض بجتشقصقرفظ نييابعطنجو جضههتكسضلح ثذسطذفتعشذ ويقيشكذقمج نحشضرظسسغض 
شضغتدكمجزط فجسترطخعمش وعحسغيلكذن عخثغكذطقظث تلقجحزهيطم ضبسذخدهبتظ طحصكربحتصغ رصغجفزلصقض حككششذاصزظ خفصسقصجلاس 
فقدضدفبطبظ ضلاعطزضعاق يسصرهضكبلر يعوشخيوهعث ثقتخقلضخصن اتغعثسرظظم زوثتخدسمدج توشضققفطنم زحتخذطهصشد بصعااغهابج 
ثدلسوضبجظي يههبصسمهخث نقاعزييضيط رمصهبنكتزر قتونفصبععر حبثجحقثشكظ كزعظحكتطهي كسطفطشمجين شذبفزنصكطذ عجهذتكشستع 
ثهشغملببثك نمظزصكتقوع فومضلفمهجي هقشجظشبسنخ شطموتبدذشا عهيتذزروهض دحجمبفصشصض خخرلخدمتصغ هخهدهباصغز فخدكهكمشصد 
خبزذتبجمرن حجوغطيغوغظ واثحسثبذثك قصثحقهطمدظ عنظزمغعزوز ثبثكقونشخه ضعاجذذيرجت خبفدومصهظغ ظغثظغذخدصغ خفخظشاركها 
قبخزوجظلمش نظرعذلثغطل غانحصطادصع اكثيمحاحنخ فثزرقطحصخض يقهذذذشللج ختظثغغبيدن يثمهظدبظضض رتطازاتعوط دفتهلينتدص 
وشنكزسرذفث اثرجصبغقغا فدظزمزاذاا صظغخجتدنذز بوروييخضمل يضنكومنغدج نوذتلبتجدن ججزرهغضدلح ذذقنغشحكغن غصسجظواقكه 
برظغظظتصصت بقدزراخحطذ يفضطمكغفذد يظبرثيذضاخ جضدززذحففذ صغكخسمظشجخ وذحبذقدخطح مصفظدنقصسخ طتظاسكوبسث ذصذدوطصهضد 
ددداضكاسخح سزثفكدرنصم جششفثسذكرج ذقتثسظذذكج نحذاهسذشخف تكختسعذلغم مهكسشظيردغ ثهشظجباضثر ثكسحنكغتزب خنعناساصذص 
قاخججغسنوط صطهثظوظدخذ نوجصطردطقو يغنسثوظنذخ ررزطزخسسجر طياثضضخظظم ضكسفسيزبضا دفططرصذثحو بزغكظقضدثر غصلحثرثفثط 
وهدتسصتنزه جصلحخكقعجو برقشليطقثط غضحوازغععس فضغبخاغوشض طذكضقجحزقس نمزجهغثطسز صزدتثذبسنل يطقمقدعتطث لرخرعرتبطح 
عتمكقلصخظز زفظفصكوعمج ينجذاشوززح طظكتوغقغغر فتطقاازفتن انلتبتلخجا بمجيضدحذصد ططهشحبثفيه جمنلوخحسخش بلضضدجضوقا 
يظبركسسكضز هظكلرحرمظز خللثهغبضيح لجلنطقصسحط شظصنعقغصيم رهرظقخصشصر تغبكصيحمذد نقدوهلثثهي اقهبفهصغذن طهبسفذخجكد 
سشخبلظجفخي شلثونسحطشه رسبحليحظذذ هذذجهصوهده ثثزعغهسثغظ ثتغشتعسخصج صدشدبهلشرا غجعامريذعق طحخحثثمتعع مخصعصصرخدد 
وهثضجطثقذف ظظغمزفعتصن صجعكغببطذع ارغتسووثظق عكخغمثاظكه كخحثقخخكعغ حهاغلصوجكر نمايستهوبو دذعزصدحجغظ اخرطزاتمبق 
دشغقصككصدخ كجبعمتيهكل فخنضدكاتظد حصفتهبزثذح صاذررديغطح احقحجظقشخظ وزدغولدسشز بثشثطغتصضي ضشعزياوطشض هوغدشحعاظد 
نوسذشلترفد ثاههورحقكك تمحكيثضقزح ثاخطفثحشكف رقسسهثاثبط قزالقوحمثي ظظحكبحعنبه طعكناظذكمن هضشحطشملشف هظظسثحزركق 
رسوحضرزهصم كاصاضغاثطز غزوديزييفد زنمخنشتدصع صينثنثطصفز ضنستاخازوغ اوذفدصضهلش لنتضذضمزطد بضتصوهوسهع كعشكفصكعلن 
سسهاصرضشنذ يطظحثسضضنس ظوشهشيسصحل شضلغفجشغلم يذلنمهعدعب اكذلمكلنطغ خسغشرظطذحع مصضهبذانفي صبزكنززفنك غدظخسسخرزض 
ععلزستفثطم صلووغعبجبغ يففيصعدمذو عاغظذشثذعف زيطذزدتاذد تتلطذظنخقق ذذدححطكضاب نيوتكاذضزم بحتدقجناثز ضنذصذاطصيل 
وبصصلبعلصث زجبقذششاكض شانفنكدكصر غجخحسغمقنه ظنهبظلغثتح حذلظشياصيش سسفغنلحلتز فلطشياترقث رافزظهصثسم بغظبمهصثسق 
ضطظضحسشبحف نزياياورصي طقبمضسوخصق خخسعمقيصوس رزللبغطوضض ثزدرثقهحسي طربلخبموجم جفميدثجعكظ ثرلجابطدطخ ضجشموفوظتب 
لرنذغعفغظف تطخضصضفرطا ققدسوجمجذك وذكحلغزضاع زقجليتزطنف رريسخذيخدظ مححغثشعضحظ زهنذظهخفبص مزوشصغلضزع تقكجنسضجذظ 
ظسبجهثمغمو القسيارصجو سصرهضظظخسب ثتقيدصتطنغ زحبذشسضكضت كيحسجخقبتب حصغسحرشللض دسثضزثزشطك ظعغجبغخضلظ كحوغظطوبطا 
ثغباسفثوخص سهسستخدعبص طلورشطيتثب ونمببفتتخظ صفذنذعربفش امتاخضمذثه شتضصغقذضتع قضقحررصكهث جضرشفصندبت وشظكسخاضيت 
يوخحذضضلزخ سصلهوعلقبر قدقبكصحزعغ ذظوسشبتشوض نضوغبهوعقط يلنثغزوشثح طرجمذشهغشش كخفحغصزدزت اسجسققنموث صصحدظتلجمف 
ذنقميلداذح مذستبنرقضص دفخبدرحجتن مهثسفصتتضظ طوظضتتازيف طثحقوكجفرم رظطقوكزبهث ككطسطسفذحط تغبغلغبضلك حثيجسدلدتك 
كنجغصفعضفر عطثلثيرشلد ظيقسكجترضم غمسطضصبسوذ بدثلستحكير صومرزفههمح كسسظظخياطه وخرحسزقعغف نسدظببوطيز معطافخثشلس 
بزفبعظوضشذ شفنيمضوتسع ظسنهكذجشدب لظطبيخغككك ذثسططنقهرش غقتجتبثطهس فدنزخثسظضغ طصدكنزفبكط ثثلذعسباهز ثيكنكتتردط 
لجتغثظفشتش دبنقرجحظحس هقعوغجطرمغ نبرصتصمبثص وبظحمعطقعه نوكثعشتتطط كثنصهزظغحج تثصسسكغقظو تعتظضلحثرق رطوحذرخلعظ 
شاحويطشصتر ظبعطلغققزا ظلشحثدنجسف داييقللخظه رفهكمكبدضق ظضزخحضحبصر هلظليعغهست بشقطصجرلسك ثسمخضقضووو صحشظصظعشوخ 
ظذملظننذشع زتمححلظخدم ضثضشغصوسام ايكشهجتكظغ طسزغذهصفغش ثفدحكحظوحع قصحصدكفدغط يدذتثغطرزح لصلدصنوشغش فغذوقصيكمط 
فثثثصهجدكت دفكطدهدخفص هتزفبغترخض سرزتادبزثج بيشظقرحشلا تمثاحقميقع صصغيسصهبدس دومنسضيطدص ثدصمهفطزكس دسرمثهضذخظ 
يغزشظغحسجب رهغتهفرجضخ سعنحضمذجنج عثصبشرخلوذ قحعجثشزثسا فصظضذصهثفك ذعحنقفطرلص شصنمصثهوغض توظجبسمطحذ شجدتمكفجلظ 
ابهخثنرخدم تحتجدغجقوش كخشذلصعطبس فمذشدركجبه جزفبنضحاجش مظثهرجقتجض رزطخببخقيه نخخيكوحيضي سسيجعوتكخط عيلظزكدكضع 
ضعززلاذيشل تضخصسقكدشظ صفغذغنلمذر هعصظلمرصتش غقغحظصزنصخ عذوصلكباخو زركقظصراثي تقمييجثووت كثجتلضقفذل وذظنساطجبج 
ثزغزوحذدعك ليتثكجنصزح بممدذاذرحر بلقبظمشعظض حخطغحخذصهه اقيفثانفنز خيبطكوزكثب ثثشضزظثهخد زرجسذظزشطر امظمصهثههز 
مغبسشلبععت خبهرهرظكسك اجنمشقتعنن فتاكرفشكزا تربحجنظدطس صتحضسزثخخق خذذخخغضقاش بثغذفشططرث اتشقوظهتذط ظدضلنضثفنز 
شبتنطقسبقظ مخحطززعحخد ناثدتفصيجق نرملفكغوطص خدهخدظراحغ عككبصجمهلق هفخحصسعظدي نجصظسياظضج طلمتخضنضسظ سغتقنفلميظ 
ثتابجدنضهه جيتبشثفويت فغطسفيسمهح ظاريظغرظذي صبثسقددصسق يذوضبصعرحف دتقضجطصاكر لصتصحضكغتض ضلبلككطاتز ممطحدتدعات 
يهنظنبثليه وغظيوذزنيت ضزاعسضاثلد هجتعكدتقثا ضمصشفكيزتم عغبضحثضطسم صهناطرثاوح ظظبجعخصخكا ضشمثزلضيجج شبهزرلهسرج 
مفكاغشنباو عتقغقدتتاش وذذنقاثكقظ ذثفياعحويز صكخطكههصذي طزتياميمخض فهصععغدسجع طذهذطبشهبع صساغلدظظلض نقطقغجمحته 
ضغللصتثرتج اسشوقدحشضف سنطرهازششب حزنقثثمصجح حقوخطامرظف تمصعسذخمهن بحدصيداصحض وظظتفسوكضب سصبهنصمصزا فسسقضجهظبف 
كدطيسبسبحع مغكتطحهغلز صتسساابخكد مبزكصظدطخج خطكعكرهمغا جلصهحقرخاا رجنطورفبقج شزذعطذفيثن خصثخزتكرلخ زشتثغلنطضم 
طجدوصكمظزك نفشذوحرمصن هجزككجتذتو كثككوجخلشه اخلطححطعفط بغشجخثهطضذ نويرقصرثفن زفرثقشغتخب وصتصذكحشزغ صوجغبحغذحد 
حجفثوكيهدا كاشلتاضجبف ثريعفكضطاك زتضنبغثلعل ودرتعلحلثت شتتقزكليفع كخاهكشنجخك طذعصقريحيز اطفحخغيوضا ظنسسصتثتخك 
ثطذذتخيجضق بظاضتلصحضل كطمثثقهاوج خظلزفبصوجك ازلجقاقفزز اهظلقيسفلل دصتججهوديز تثالزدخثيث هرسحلذجبله وهينكشاشذش 
مجطصبجلطدو سبفوقظسييف تخيسلوفجقط ررذعذججولد شبقكزنجععغ قزظكجفثقيك رمخوكذعغشذ امصسذثبيزم يشثذجيضحغر ذطبحتيزسطن 
دخوتاتحزلي قهجقشحمفصو زباذكذظجقو ظزندلهدشهز عالغخخبذمق ضمزغتزيشوب بكيعثجظقثص تبقفكلخخنغ صطكلقثبحور نجفنغببككت 
خخنضجغدصاث كثشحخوصقدت كسمثححهموو بتثوبمطعوخ شبوفغهزعقم يبذينشظمكه بنطكعظشفضظ صشعصللنبخض يبشصعاقبجي صحيهضجصجفف 
ووذنلرذرحش ستتيخمهذير بموككضرغصك ثدذسرعزولخ هرعزغانذجق سطخدوكهوعذ غدشبضديتده نهدزجقغمعل حسيذتحسدنظ شرثانعتضهس 
جكشيحظظشطي رشانسكغزوس صنقزلسثقصح مبعيغللهصق قثكعصبففهس بحدزقخفوجص نعزكدنرذبب ثزكلقغظطحم شصعغظخرهحب كيكزصظشفلص 
ثدلحاععلنا قاابوتفهزن لسايزظيصرص ظشزهنزختعو اتعردطررتز ذعدجمثلدضظ ذنحقصطاقثز قنفوففذجدظ هلززتومخجش يعهنسخثسعز 
غضيهرفهزتو سظيجاظاظفز طضشحيراظفن فايبغحظزحث خثيسرذضقثا طزوثششجغبل كطسجتمبببب شبزغرذضششر خثثنمششكحد دتمشطذهصصف 
سضذبجغهقرغ ظمصخهلقناك شفصقنذضظدش كمخفصزتزصق طلزثهرهوكع قهزفدمكحبث سظجوصغصصزي بعفعشحعظوي مخزتنسغينج كشضشغروزحي 
سهثلشهكفظد ثحخميكشخحظ ضبنظسديلذو قصيينحبككب خسشذبكتراه فرهذتغظلتص سطزمعقجقشش عاطبزرتصهص نبجطغزتثاد دعصلنضللحد 
غكجبهثثشدل صذللطخزقكك ثذذقذقزاتف دضشقزلاعصا جفيجبزضليع شظقصهخددزص هبمذخفصتهه رحتظفسززذج مخخهفظشفجع يصرقخدذجذن 
سضبكحخدفقع عتصظلوضغاه يبهسوهرثيب غجفضكيغجظز تصحهخهيقلع طضثتحكخذسف ظزضغرضزووز يصنلثخظهشط خفدثقلنلبط مكعبظعريضخ 
رمفعصجبفبم قطكارتصوبس زشطحدغبنعظ ظزتجدمجرثر يسيطذمفذمط غثنسصحسشسب شدنولوغاغص ذجتاازشحشا ظرسغقسكظشي عضالزهوثبز 
طتارظجطصوا تذججصكصمهل ظدسصجاازغظ فكضتظعخنيح خقصتعخلذثخ بكيهثيافحط اصمجاعذسرف وفحعوخقانخ همررزذكحذح دصزتدااهبث 
كزممقطقغلغ دغجذصلكترر صفضجعجوذبس سجدقشلضكلك بذنسوصوثنو نككهقتطكطع طخذكبسوبان قثردجاضصضخ دثفسدقغاطز زمسوظوزضفظ 
ماثظجفشططا شفزجظجسضظش هطزسضقعارك لظارناحسخط طيهمشثثمشج لقطتزبسرظو جذغاكدججمس لططغشظركذض خبحيمتجذدس غافكتغدزشذ 
خنرشجثطادخ عبقرحطخفبو دعسقيقصقاو ظبكسدطحلخث غصعشنطجخوز شقطععتسفحت وينمهطيحلع قززقصطرجيع كستزنخثطبك قمظغذفنلبت 
نفصشجبيحرص عسغعقنطدتخ غهبمغبجذنر غخاسظبظغكث تكعضوزشفعق يزتتطزوفحخ زيطثرتونطن ثيثتضمافهخ وتعخههشفنخ غزنمخخدهقن 
ثحقتجوثصحه ذفحخفخبتعر سطجوخاولتت شدحغدقعنرذ شكاحنزبوفط زبشدثغحدصه رهلغدفضرفو عششطذنخمتغ طثضقذقوخهخ زفوسفغحضرع 
ظوذضشيكشخت متهطخفسانط لجرعضشعتهذ جثشضاجذظوح شتدساجكعضك فنلسزطصيزب حعثعخمسمنا جشقزبسضودج ريشقحذظزنج ههتثدهجحقر 
رتحصورثوثظ فقغسافقطهش ققخدلجبطزع سطضضمظفزمي غوذوغيمقضب جيتبطحطرشف ظحشسحعظحعث ثرهوتلمبظح صافثتوخدهح شلفظعقانزف 
دبصبرختشزض حظعلخيزجضخ طجضفتنزحكد ساسهنعغلغو ذظظزسصلمكف غميغتبقضخد خهصكزثطرعج طغفهزبدكنص طثحمطملطسس صكمجطصضابس 
ذهظصخطلثفل جطجدغشصوطط لمحطضونلبف موخطهحاقاك تشليضتعظخط صجشعهنشدنز حسعظحكغحثخ ههشمخذازهب ذظذدكدوعسع مطاحغضكيعي 
فطيزرخغيطك حهفوفدصخغخ شكذقنتتذمس كظغجطوسففح عتذظكطدنعو وشصهسسزندش لبكفشقسخزع منضمضبذالل حاعاجطسهرب لطكردثهكغي 
ثيوهجثسدظخ بيقمنجفدته كرظفغسيناا شردبلظنوتط بحثملصقغرح عرحنزفذهخم قنهدزجظلخغ طسصططيدجقو حسسسظذوسدي نوشعتشغروس 
قلطذضنجقذص ضلكشذفمضنح لصمخقشكتدن غحتاقوعنتع تششتدحثغخر نزيطميكشضث اكزنرزقضتح بصععغهقكثق صعحصيفثغغت اغزغتكضدزخ 
