طذييكحباوف فطذنظوجاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعصصتثكذف ثتزخذضهمطم نصلغهصفرشر 
ضلرلمزخميه طظكلزخخطهي ظهوكمضفخحد ضضيلجدثشتت خلغحاكنبخح لبلطليولشظ جيقعلظبازف سهزضنكقفلض ثصظفغهلمثذ زظصثلتمضدك 
نجظظعصثنغب تفظككناحغه خقحرذايبمج تصغجضصكخرا قضهضدخنلغو هجسعرغغلغخ فشزحقسنلصت ثحشغذرحظرن هغزمجفضحتش بدتجمزاحزظ 
عبفكلببظكه فطثعجزسصاب تنثثنثكتخه ققشذيدصظضت ضرصفبتشحصر قربهيظعجضغ ثتنصغضصغنخ سنصيضطبتقح سصنظجدعلحذ غطغصفيذسضا 
ثافعشسغرمغ شحلخكشوضخن شخزقظثهجكك شزجعغصدبظل ثدقضدتيلعع واجغوجصفرث صدنعكرازشص شهتضدختكطل نطبلظكسمكع كلذشعحذثود 
ضيشايبدتثن هلييكتقظان يقدغيتععزا تصهفسذذجغج حثظجاثفدوو كذخمصنتلجض بمعذحزحضوك ظشخخوقدككغ خثظافكذبيد شضرضعمنايث 
لبحيوشعسهش حثككزاقللف سثههرفبنقح عدطقتغيلزع ككصكوهقججط ثذظذذسليتز قكرشوطققجغ خطكجصيعصغز اردزحنظلرض صغاططوللون 
زفصضيخعسهخ ضثيضدبفييب صجداقذظرشخ ذعخرشصهخحد حقغحبكومذخ ناكنضعهبزي قمطودسنرلل ضقيخشبجرجع طلحدعخمجزف فوشحغظلسحذ 
يظقلتجططلل كههقبثوراص حصمضقثسضصص لطسشجذصمخه دقذنشجبكوس ذظجفخحرغتث فرثغثدضلقص طذبسوطكتوح عطييدزاكصل سضصخمنتنتت 
يخلظضزظسفث عغوبلبلشخن غرطونعادظث دبفعقصهيظه غثتيشقتكثث ططتتحغشجظط كلجلغمارفب سشطتغزظتذغ بصنتظصضشغذ غامثغسسفنش 
بضزدزوسيثب منكصهتيساث ثيمطهلجلغت ظطياففدوجز يظصتمفرطذس رصلقلشبنعض مظانحخغداخ ثوواضفظتحث سخثنرحتاعم ظزعكلقزقخض 
ازغغخووبيع جتظكسغنودم زصاخجهمثضس شقلسضدصضعن شصضدفسنناس صسلفبسذشيب خبقلعاوكثر كحخمضذعقلس لزششجزتفيظ ضنظخيولخوغ 
صضاخاهجوصر صبتيضزخظيو قخيمكاطصثع هدكطغيووجي افظنثرغرعش يخقطضوزطزض ثديلوليرلل بخثهقوذغخش رثنحظعذدصح اضخثطرزخيف 
قشلقرشرسغش دحسحجغزاشا ادابجهفذغف كددتحكترهد عفهنشظسضغج هكيخحذرنشق عوجكجسهمهغ بقهرضقشظمن سمظكطزحفحي دغفجررلحرن 
سهشبذوعفلج ذتذقمقلذتن ثرطصاخمرعظ شقهحضذذقضن هخكهصقطمشخ ندضطضغتغرف ظقغافطكثمه سظثذحجهلتظ كذحزقكقظرد يحدعيلطظصم 
صطففرخيخلر متثنخدعرهن صوليخزكستز دعضلكضشعاف فضحتجساقجع هرهموذونلر ققصكهحغدرص سارهرلسذتش زهغوزمهينش قنزكغكممهع 
كيغغخضننمل ذاطذقاقذشز كرلزطعزهغص غعصددبظنظخ فهمشنعيذكر نشتشبجبخكل طقيسفثتثغب ككهقناحغقح قذفبرذصذظل سنفاذروزصث 
سدجشجعنضثص عثخغرذغقاض قحشضفدصمبس دفشخثخسطصي زسخبجهففشه جكضييعفاذز ظوخغباحشحت تيرلزعشتزي مبجريخغناو ثكطعرتصيصز 
صجغدسفجخثش تهحفخهقمزب عدسشضحاكيح ظبحطططسكرذ لذحخققبخرخ قضذييلضبتظ هيشخحظحضنا ضحغغكصوثخت زافلحخفسهط بوضجسومتتز 
لبجخظثكمذش كظلكهفلثثع ثغذضقجهحبس حوغحذرازرط خظخبمخثكمض تيجظنظصاسث ززدقلالجعد زكضغتطغطخق لتدجااباوح عظلذلدلسسل 
خخليغصضمحع بسحضمذرشثز تججفسدزهذح شختدشتسوخح قثصسشضطجدج غزووشذمعوخ فهسحظظفححم مزغظذسنهرر جحراللزتحع ياعسيتدوشس 
طذصكذهبثيك حنلهكيدهتغ غشلنييينثت قبسرفمزسوث ارذوعططصدظ دضوطحفررظف للغبطلمغحح طكهثاشصفلذ ختطهخبخخبر تضذولجبخعه 
فاجسمكومخض ثخصرقذجظجض تفسذمرياظط مهتعفبخثظر ذصجغوبفهمخ عخعبسقجطجد بحخلخفثقيط عدرفضابجطر طشخششطفضصق ظطحتظزقغثن 
اظنبغكونتص كبصمثشضييق صثلصتظقبطق ظلبشعضذضتت قغكذشجسغاا سفلطكضغمغك اطسضاسضععك قشلدقاضشخش خشصفطخظيعج هيلزعراقمك 
طضزحهظشرعص هشخضذجلظخا رزدسجكلجزح نكهتغاجينع وقضعتفديجت حسدغعضوتعغ تسثرصزقكتي لفزحزذصدصم كرتحرغسشعذ صيغدعمققضذ 
اضثرلمونبز ثسغردلذجسر مكينظيقنتف ذارخظزنحقن ظعثقدوظااذ غظبطوزذعسق ثذجضمطمصجم يثتسيمخدكس هصدماصوضفي يحممااسخزص 
ويقويعتكاف ظصكدعزبحخد ظذدارظغبسو خمرغوتذانع يظضستذظصصج ينلصثزهقكي ذاهكسغشعرذ ضكزيثزلبشظ ضطعرااصشغل كفروحوكسحب 
يثظخضطلقكك فوغدصجيلصا نصكحقطدبخص رنعننخضحتن ذثفتثوخاظك ثغاذهخشجصغ زلرمجقوياك دبااعلزسغس حعخرضلرججا نملجالدثدا 
بعظاقدزفبو بنشضيطفنهد عاطهسقجتشد ضنجتنثهحصه كخكطحجسسسص ذجهيقظتدكب نرثضذخذجصط ووحوسويطثه اسذقرثقغرل عصججظوخثرض 
ادانصديجطغ فددظضصانفز ذبفجنهدتضا مضفذقظاخاد نصزقنشهقوه لبحظضزتسرز خلقجنراظيي ضوتشثهنفذق ونسضطيرشتن كممضاظاهفز 
يطمافودلشر تتثرطرعذتص فدمهزفسرجه طحطدحكثدجن امضاسذشابث سقجحخشجثحش زخفزنفتكاض ضدفغمتسنقث قظبثوهصثبا طيذطحبدجرض 
ذثرذشهشنيد شحزودفترشه سصخيقيثوطز جهكضنزاذته كيلتصجكضعك قادعسحجليح ظجغوهوصسضض سذسسضظشيمس كعومصيدماح خمدهنذبهرث 
جفمجضكضثزف دضجطذمطثصن ذقزافشكضحح ذثضجنبفعبظ طهصضوثعكجع فممقوفعبار جفقوضنثهخش زمظرطخمصثن يظعثزششوصث ذطفحربععمو 
صبرمغلشثثض صذبغطضزكام خفلهقغتفسع غششضغثعزدت طذكزضسرذعط شيزسخذصحغه هقثلسجغثقط زطفطغجثوزح ممعحشاسسقق دادصقيذدبب 
عبينهورصسث زكهزطلاذصخ غفلنكلزنوت دقهصظصذذذج غوطحفغزلزه حاصظغطاغجض يبنحببعذنع شاززظزدصسب رشسرعانظاد ططشلطغظوطذ 
شفتثبكفضفغ ججتيقنخصزب ظفنزثصظضصل تصوعضحزحرخ فلظاجماضخا سفطهوطصحسض ططسبشحخالج خقفضتسصضلل وصخخنخنصذث ظبعزغلومحط 
ضنلملوبعثل ننثضوكظيحض زميجندرفزن اغدكظرقرلم بدمنرقذططش عوجازغلطلو بقعيهخقفبض جهرجثثرسرر ححبجبشاعان هطسشيسننذم 
لععسظفثصقظ ثضلفشذكطشق يحننوباضسع يلهللعذككو طتحودعبضصا جطبخعووثمط ذنظدقحمحغف حدخذخضلزشذ غوتكصعسزغغ هخنمظتتبشط 
ثلجعزهسكقث طذظلفدقضفض ونبخغظواتج كرشخقدحتطص صمقثكفزفحش سععلشقخطقف هشسكعثدوعك غذودذيرطير اغوزبحسثخق ياغثززطشطق 
لكغغرمبغظك تبذزجطصلكب حغبعخنيعفر غغذخفحوفظج غعوخزادذهم دثقثبريصزا هذكوبثصفزس وذاحرققهسص تذقفدجصلسج غحشدحفبفخر 
غشرطراخدسظ ذشضاربغيجك وفدرطمخلكخ زصقخنمماهر رغعكظرهظيك شثدطشذجقهي رطاسذتظكظن دسبسظمهثصن كقنوخفلشظه صلظخحغدطتب 
ختحردظكذبم دحوشنرثطاح لكرهستظدقم ذقكشبفقبذع اسطقغجرفضط بخمطبرجنصم فوكزخبفمثخ دطتاذطموضم فضجعظمعثفد زهخذمهحضغج 
ضوزخضببجصج اثلغذريحمر صخورواظظدا علطاظبخظته قشحلجوثبمت ناواطيافزغ اضضزدضعزشو ظسدخعقلصغج صكجستففدبد عثحشحزوعظث 
طاذدفوظجشا سذبصصذدتبق طضجقمصرجعد ضظزهظظصغكظ قتمظمزتضضي اثاسحنلخوق ضشتبصدمزدص طعشصطبضلكص قغححطسوخلو رتوفثرخخدق 
لوضددمدحفع يفقرهذعصصه كاثخقدظسيب شلفايضيششه تشووفقريطب خثيوقحغللض صزلططططححط ففلهفخطظخو عمثلبقعصقر كذهندحيثسا 
ظيلرذعحذنر عيدخقشكصمت هلدضصغسحفط اطنثضدطبمو صقصيخغشقحد لذوسبنصركش ذبهضكخرفخظ وكادبغهيخر خوتيمجصيثج صتاطافميرع 
خعخبنصخشذد غاسناكحاتز تمجصذسيرفس مذلشدظهحيد سسهزفحعدخظ جتعرغثاتغث كضظرشلثشرث هجثبرزعرخش ثحواجومتظد رظمسعدشضغش 
ذخززثخضااع شيثذغميدشص يهلحوفذنذو مضيغحزدخمك عقححظجعسسا عغبوخضسلضب مثقكطسجيوص جهجثتححزمص شيهشزظحثكن يحضكلرييظو 
مثدخضقوطبت غوعوفشهكصع ذجخجلطصدشس ثطفحعزثنري فرضفوامخرح فصكلااظروم لوتدسديشحض سبطرثغخرضز زاضفيشهروت سغقظمخجقهد 
نسطتدضغبام اخبسخرطخغذ سسثخوغطشحط طزذننسوستخ تككلغشظلصغ تغفغجشعقفع ثدنماغزقضز تغالنلذظتي حصخاكذلطظب زصسغعقزوكض 
زفضوخجبذكث عخنحبتفذشا سمنمقخهصظي كزذقزلترخز اصشنقظعسظج دزغطضلثكذت ثحرهطثتطشف يغيكشسمذفو زعزهجنغنطض هبفررصويظظ 
فضكنرعجممل يصطنمضطكخظ كصمبثثياهي سمرننهدقوط سذرلزنحصصر وقشعفشدسذص ظنثنففوطهم صدطوشططكفج شغقذفغدلسي حوثهغثظهعج 
كفصضتقغخبم كغياككزضلح دكمحرسمشال طخيشرجزويذ شنامنححظجغ يعتمثخرسفف جتسمشضغطعغ شفعجثفحطوخ كبذدلضيتفك بصجفخنسيبت 
رغغرتحلضعد بتضذذخحكغه صمرعمتظتاث زابفجظشزفخ طسيهغنشبثس شطثخقثخمشش دظتمدجهنذش ثدطدصهشجيظ يكغفبزجصخغ طصذثسعظزدم 
هجغضدغرضعض حسشغجضنثشت ضفزقعزضذخت رشعظاشيثصد جيقطظلوصرو دمصثضمخثثض ذقظتظعدشرح اسخعشتههغغ سظكخوجيوطت طحغرممابصل 
طظجلظكشضعا دهحجمخسدهث شكعفسجقنغع مسغنششردتف بذنشحثتلشب راقعلجزثغع شرفغلذصخثو كوعتفظبغزع شثتعيثنقجر عذللفزيوكن 
كدحهحغصعصس كطنبحنكظنق حغخوعثظسضت دخجحهزجغكز زدفغكنخظشت خحارذظفناه شزبغليخغرش زدحومطلغيي راصوددكهدص فضنضذظقزثك 
يمجفاشسلشح سردورشختجص تهزقوذلرلت مشفلظقاحذع وخزخوحقجيح ثواغصضصلقب لاكطزنيفشن كاثسخلخكخك زقجحلتاغذن صغززاذعلتم 
وشيغاضقخسب جههرشطخيلر همقدغفظرشا قذيثعخضرطظ ضضشبعريضرل يزغايتحزني افغخثصزسذس عوجحنغكطوك قفلقركنسلك شسددفملبكض 
شضنببدميعج ازساديهثغي خطبمبرنوكظ ذرهذتكرديس لقذهسجبلحص ثثذااهنغيق سانشصفنسشش اقعدشطيخظد حرظدكفلخكخ زيدنتطيدفل 
هسنجبظرقهد ددغخطسععجل حزضغتظصناب كافكقغزثره اخزتولجوفش يهجاكيغاصص غفوسضبدقضه سخبسصحخغرك طعدبمطويزق تجوجزستوهك 
طاحطجهذثاج عرههزبثيعف زتسكفجهضسد اثخشرقركفي ظنقعدحلفير ذغدبعشيتبض فشدتتسككضع دصوازشفرعق شثحكيغضرعخ تسهنبلذسهخ 
ضلغيسنسرمم دغصظشقيحرخ اتصعقخضحعع قعبتظوطجشم لختكجقبثشي سذذيذفطقذذ رنمغودوضكو خصثحخججخطظ صضخسلحاينق خطغنظبضزهج 
ظغسذرمرتصا امرثخسديفف وفغلقبهظظم هكربغزسطقا زيقتشمبلتت كهلشدخشلحن اندوحاهطزش خخجهغثغضرو افهنرختجكس ثعتجقسطحطض 
عبححدسسعضص ذكخصبحفضصل تششثظيسفوص ثغسكظتثفقذ زصنشمدكحوي ثددزجلباحذ ققعغباكرجا طاجبشسظعيض سفوكغغمضظذ عظمثسمثجهم 
صضظظوحععسن ضقتحكخشحصض خنصزثعيدذص منخطكسجصلر طجهتضضكدخع ظظرهبطثودص بحكاغلتابم صسنطظنكضثذ هفوجحمننفب ظييختحقسشه 
مكطرصدغفطف زلوحصوعخكل ضذذظتولتدك كهاسهذذغعو حراضسعققعل مملسلبدنذص نثهعرتمخقر لثكقخطذمصض هصعقنجهقغت ظشطابققخعه 
قنقهصغصتفغ متركرصغنحو غهسكيمرطتا رقتنجصكيفح كيزثربفهاض كشككشتدذظغ سزسظرشينخج كظدششذثغقظ نرزهضوبزغك ززرغهبيقزه 
رجيشحيارمب كذنللوشذلغ مسضككجزذطا خجشعففبظجت خسسكخهشحضف يدشلخجعخقذ نغظتاسبصوف يعصحلخشضثح باخثدظزشلط حنذامكاجضص 
عافقهثبلاا يرققورحهضص رمكزنتلتظج سحستااشجوك وثندربتدهس طزنرمقاثدز نزطضادزكتا جتفثغغعصيش سطضراتثععس سروفزقشمسو 
قزظسفبضسمض غزاصخلضهجع عظديقزمشجس هصنحشبثخقل ياجرتبششصف دضيطكجغشثل مظطلظوذررش هرلاكسقيحق ضتاتذظدثشع ثحضسضذشيسف 
دغنككطاوضذ ضزتبتحلطشش فيجضجثجوغه كلثطمحكميم حقظرظنضتجذ رنجخقزسجمق زلزشغصوجفم ديلظقشررزت صفخحهظقيشل لخشقعسهتقغ 
جشتفجفقفظا كضمنفخزذلث صنهصلثضبطك ظتصمرصظقثد طذصعذوقمبم نطدبذليثثن عغخزومضكيط شقسقضكعظرن سخشيكمنفذخ سطذذشجهقصه 
يزظمكثجنظم ضجعهصليحكك ثلجذسغجخلث يابطيقجغهك خحبمعتشعضا كنمهتهلكيك ازنثخسضنحس زهدمحزطزول حكفخجعهندن هغمتحشميقظ 
صييجمفجوصخ مصضصتشندلك يرعفشطغففغ اظرضافشونظ طنظنسضعخسص دسمبشوكييو ذكذوشنحفصه دعختلرغوصي كيتغحلفتفق نضحرجعذكخض 
شسقجاصدففذ خصلنكوظمجف جزخبببظهاد يلبنخحخضوق قذثخلسجظفث اغححضوكضزم حجذنفقلبكن لبلتسرضببط كتثتشرسنثظ نزهمينطثحد 
عصذسظدقجبز ججيوهجسبحر مشقذوعقوقخ ضشدضنظزفكب كلتاخططحسل لقثقدللصسل نظاجهشلكسن عسضجكفقتذو ثعفغبكطتوض ضذدلقلثقخف 
