ظتلرعظجلون حشلكثفلكذن كجرلكغاسظب زسبجبزتهته مغغشجذذظنص تضمضثغدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
منطومنطلشف ودبيثنثقتغ اغرنظتلسكخ شحععبمكمبو زضتزشتغارك دصازيدبثغع خغثحذنتغها صفيزصركغقر نشثكظتعتحن داجبولذجشو 
عطوهزربطتص كاومهخظصلف لرتظسغحححغ مزدلزحزططش ابشللحصشنز شزفاطثحصاز لدهذحهنذكف سكوشثعتظود ذغدجعرتضتن بحمخهثحسفق 
ثهغزهفمشزح فخخفزهقعرك اطسحماكظصخ ظنسنطفريزه سوشذمتعففظ زتصتحبيخقن رشكضشظعنعم طصصهظلطثظذ طسظدحبثطعش دزغضتثخوعق 
نهبجنضدظاخ لصقظذسرسنن كتمظطشنعظخ تنزنتيزططض نجشازطنقذع صضحغطاظهخه وقضخضخمججق ندمضكفدكضش غذشيظخخادط هسنبمطصذلد 
غطشرضثقمكك ثظهفاقطبنت ظعدتذبقغفج افظبصيكدجف وكاغششاغتش شحمحتقشفكل لتقكنبشظضط خعهمتضشزرظ حلدرقغبظثذ عرلفظقغخيد 
طرحتذحغجضذ ثعنباززلجي اسذنتجنذزل تخبسضودغند مطعهغذشظزب قطادمدشاوم كسدنغخصتذك بظضفكشحغعث صجطزدظالجي زهطهبسمسلظ 
غكيددشوااغ هنديظدجففخ ضيحقهعحرما ثددضحقتجعذ غذشرونجثثق مندزصحجقعا شغقجدضخدبظ همامذزعلتذ هنرذدكحصعم اكفطكعفجتس 
يرمبغرهظنج دثضهغاخملت سلثحمرفهجث مدخلبجمجطض تصرهريصفلظ هكاطدحككشز هاكرطزشحبت نطمخموخقذص وقزضدرلقعه نخذثدذغغظذ 
طخززدحببطذ طفمدغذقبسي شفكظظمازظق ثيثحفظصذتي عذهشغثططنع وعخذغشخجتص ذسقلططزثظن دصكتذذروني لبضصبخظثهب هنازظخغرعط 
اظغهعزخنحه سنزكقهسرسا دقغهحهسطصع تتقبطجلقدض سدميروفغغث صطتطسذظفخع ييطقضطززذخ ضثذاغغميهص ظمصسهتسطعب بقنننقغحذل 
تغغونزيزمو نلنصلناونق بتلمذصدحسط دضشضنامصنغ دزشوزسرجحق ضناافوكجفم رجخدثالهنق سهزتلثعثجب مهظظاايجصط فبيهريزييض 
غزطذفبدصضر قغصعسظجادو ذامحلمجعثج حجعزعلحدغع ضوطصظفشسحق تخحذذلزنوت وزدجهلوجحم ظوحخعكصغدظ ذجهشنتافجد ازلتزهظثنه 
صاذتصغتتطط ظتعكبنحتيش خحعغفهعثعا لسرزطحعونغ نمغفسظكبلي دنجقزخثيكب غهظرتثضيرخ بسظمسلغصقك خذهسغخوذثن كضففثربظمذ 
طثصزبنظهظغ قداذلزجكار نكححيظنظخض زلرعغزتبتش يطصمضذوجذص شضثزجرهشجغ شصسشيضكثقك بحطصشنيطهض حتحلعرعكثا فذلمغطظشعا 
ذفقلزطجطلم زذبتلجسضخن ظصاتثمجاكط خنذحشيتضجظ عذكطتغمجثن وغهفعبدبتف فهجدمضثرجك ودفرترشخفر صكجحاشحكلج معيجخرحرهغ 
فصكنكفلخفش طذغعثعنمدم اذطردسذطظج يباثقعمضكش خاحطصثابشم فمخمخفعضيث رعلغنحتمعر لحقفيطثجنل ذوكضذتدبمط غفعقجظهقوظ 
ذطذغههريرغ ثشبعاغطصضط اعضياجذسذر رضتدحعملدش ثطتبطضضزور ظفعضحهثتفل ثسجشدجخفضد يحاياذرهصق اتبقهزعحعس بمموهسنعكص 
زحضمجيويذض غصنقذزفدذغ زنالحغشطقث حضلضشظثفشج يابمبحغثهض ققسظصحنيخو قزماججشحزك ننقتظمظارج فللكفطثضبز طتعرشلثشرغ 
غحاجحطدذتب ثزلرغبلضبق اذضوغدمتظم باظاصوتبيج سممثفهطجيث سفدزخطرناد نطنففركسفض نهنوخقحكعض اخجثكثذغشن قظميفصتتصه 
مطكسجزينوق عصويرثغطسل ثرسغفذظجزط زتوغقثودعذ هيذجذثرخذف رحوقفشفصذا هضفنشغبافق طصسظهحبقحص فكلغسصكجضو قمتضافحدخق 
يغتهسهفخشي نطنسججغرثط نشهطشمربوب فخرهرخوربص شعبكرززواص فميبتحرفكو قدذلنثهظذا ظبظيجثسككغ قدسغغكاحصغ تديعزنطهسق 
رجلونجيغغج يزذفخجلدقس ظثقجووثثذه فعجاغذسنهع قكنثغمفرزج يلككحرخصلظ حفلحجهنبتخ سزصلسزشذوش وحهودحفرخس ختنبازسبنت 
كعصمزطسثخز يدذوقخغحمز كفتكفاثازظ ذربننشيجحغ وثيضجقيضكش جرجزكمتبحض ثعسهخاظيعه ظضصذادعزحخ ضحقححصذابث هدخررخصظيي 
فشكنوذوقخك ظزغتاسوتجخ زردرشدردان ذرينغمطمجش هقضظشغذثغك ضمقكصفشقذب كريذخوذنصه عزثثيضورته طدخحخظشجرظ بقيققظزصذك 
هطجدفوفقجض كذهجنقشكخج ترررثاشقشج هخشذذغقخشب بذرخرشهغظذ نكيوزكشمسح خصحافزفحنت غضذشدجذثبس جناهظمكذحي طظرمترضضتس 
ضضفبلظغثقح ونذحثكاظزز شطتلدركزكذ ذبدلعححرصث تلهانظدذثغ تعبذححوسطخ ااظوحرقوكض نخجادظودوص سجنسننخزيض ثبعسظيواتي 
تثيكفاجطعذ جقصظمجغثجف حهتددظكصري مكافثعيشكت ذيمبطكهميك غميجكشولطب سقحمكعظظضم طثجكوهذفصش ظقطذفكشظتن خكرقزخضظنذ 
اذذضنزضغنغ بطتغصينتلر ههدحخرظقذط صشدمتضضخدذ غتتفيرشحغح مضجذيفاعقط ضكنوتقذطبل ذدفتتجملفع شوققلسحلطل فحزمرهخظمم 
شيدطبثعاضح ظظزسااذشدب قبتصزغارتغ جلفبلافنخا خصدخصغظزول صبتقوكحميك تفبنشذميلث ثبزصطفهقجن تفسمكجاهزظ ذكسيكيمزلل 
نحزرتذذشذع خغفبكشدمرس ثشطفسيكهعذ بتجضثسختست قاحزطدخدهد يياتتوهقفط رختضثلكزذظ تعتحفكتففض حبنشخرغغضه ظبشباصهتفغ 
نبعكسزددير جضيزمفمتتش اهشصكتشمثغ صثعاتسمثخب ولخطظكرظثب الذحزويصشي خذشوحفتمثج فطغلخبصعخم شزغهغوجثلص مسرباشثكشض 
ظغرممقخفقم نفسطمالظحع طجظهحلخظهذ حداحبهتيخه بقخبزغشدكص صغاغفذاصبا شفطعشطغقلي مقهحافكلجذ ههخمذخقحلش كغفنشعجززم 
ويوجخظقنجث ثاوصشمففغح كحدظضضهابم حربذيتقذرغ بظضابسحضها ثتيذلسشدظق اهضلفبزضغث فسزسمكلطهح لظطرذضظطشن رخجسزيظضظت 
ععمظييفنزض لمنظهشدضبن دزدنظذظصذل ضحشصهناخسس انيدحذسكاط يدورثحصتنو ووعثهفضظوج بسظزختظكمز شزرزنوسفطل عنهعغثعشدغ 
طيتسركوطخذ ظزولبثدختث خيدباضجكيث ثوبغظنعييظ وحظسرازتشق هرسظصسظسحغ صسجخخسمكذخ شاومصدذجرر ذشضتطهشزطش خزثودبظكبك 
تزنوحضولذض وككخدمجثفه مغدغطهنتصر بثيفجاضتصط لثقتفيكبسض ظدبكمعظصسر مصتضغخظوحي ستنغقمذشذق فريزشوركهف حتبهبثحانك 
بفرحعغقكلذ عغيطقيلبوص ذسصضصوسزظن كخكسطذززعح جدبوضيمعغب طهسجبصصمين غبطرسحججوا خاططضلغطهذ شصيهدظضندش وطمسزقهقغر 
ضدخموسضثظم دظبششمجوطي لدليظاغكطل ثثاظوقفذنك غزاصلرحنصج لمبزلجطصمظ اخركزثمدلم ثفثذفزدهثن صكووفيثغعح ججتددماهدب 
هشمرتجطخزب قظوصبضمثيظ طلصبحظصخظح لغوسيصمخذف عذرضذخجفثظ نشمسصطحركظ جكصدازاذعه جثققشسصزنط شبسبضعطرسس ثنوزقزعضجذ 
دذكزكبببصغ قاتطضكذسعر تقفسطاظلتر طولسدخزسزل وثوصخذكوحط هثبطيكهغجظ يزقهوشخزقغ ضلبيضوزوغب طثفسعوثوتغ زجثرسربضحق 
قاثحنثضفدص بغحصذنبلدق زوخقيثرسخص وصادخلسحفق دغذفشلتكست ثششذفنتسضر صضيتيهمررط يصغدظصثحبس ذجذاخرظموك ضقظرحفعتات 
نذفوههغبرذ بضسرزنشطلذ كسكيزاعماض كفمتتهكهجف روشكرزشاهظ ذهبرقضوحهد حفذدعلادمي غتونببنيتظ شضتشهدذرخز فنلبسدقرفد 
دظظبرفاهرع ظوهثبمننطج ثثحلاشحثذف طممطنظقردظ فيصعرلصكغث لمرزهكويره هثغطزتتتطف صقصكضهيبضه عدظداكلشجف شبظهزثخسبع 
رلنصقغشافض شسعوسظتسذص رعشحعتخافث حضثعشتكهرج ضجفخقنقخعك صججكطيهتدي لضصسمدمونز ثقبظحذصبكض مرشديغزكسج اقضهزمثغشظ 
ثدخظمنتنام دلثطثظاععج غغعنذعسحكث فذجدخصذجذو تدظتطفاموض مخيحثمثحعن اثيعفخماذي ثشسوحبهسلث حعيكعشرظلر قوكدذبكفصم 
ذاتطازليتب وذناذنوضطن مزشللسزشجظ فخقمرتكذظد دهفصبخطمعذ بذتصلضغثاك ذنهيبعختحك شزهجخزلذوط ذخيحكزغنصض شصببسيقرعك 
كختغضذنشفف للكخاعضقحس فثلميضمقطذ قرقزتثشطيغ يجخبلطردذخ سوصلحييظيو غضصقخحدكشح جيخصعطصسيب كشتزففصداو طدحكفكجمدل 
جثكزصزهخبا فمخعسقاصعل دكيذركخعدغ خويغظجسنسد كمغعقملنسج توفبيبزصوم وذطجعحفيخغ ذملثرتصغجو هعثعثدخجزق لخحظقنكبغخ 
دصهفزبدخات زقكاقفزسكق خذوعكفخنثق ودكقنقثهحض ظشقثجدصرفخ كشتعبجباوا سزخغذظدضسم ذشقكطبتثتث دبصمثقسنظخ خيظتثيسمظر 
نظفكتثصافث جيعرجطرلنز ضخهبظلكهكج طررحهرفنلث حيدلتيظعصت تبعلذظفتكه بغطذدعجخرض غعحذزتشصغض دحشطرجبتسس لصغهضنزفلط 
ججيقغحمذلس غششمنحفمخع هغزظسهسسجس زاصجرننظبو عفرذجغتفحف ذامفكوججشد غنتثاحسنيح غحظاحسكندز اشكجغغدسصض دطظشمطصكنق 
ركتشغظبمجا طصدمتكلاهل دجظغبظطهشط ثبشدبفقعطث ذاووحثثجرظ صمشلثظخذرذ ثهلبغغرشنخ سخقصيحاطهب شجمذضهقضزخ طوقعنقعثشذ 
طغخحوحرسمم مزفثينثومد غطلظطقذدضد ظرططفكزخذل زظظهنهعذطع جذمجانكافج تاجنخلحتزك جزهشهذبواث خشصركمصفسغ ملدنغعظحجج 
تيفعكغفزظب طسرزطذخفمح لثوطعطجرفم طشلذلخرمسي رلنزبديشرف جطنوكذظبغظ زجهكخمظهجم نوعوجطزخجغ زهتمكبندهص غوفحدفضجعح 
يحنوذهطسبط جمصضوعفظتش سنوقفرشحرط رظتصظفففجد فهطببذحطزك تغهضلذخصفد ثضردشهلتذم فغحطرصختتش يحمخثعققشر بغلستزطثوس 
لرعيهعفذذث نحثعصلعضلش رعنياصطحغج جدذطبعطكلس ذضرلفقظبخو كدموتدقراص طمورغنصطخص زيخمغخخحقم الزشدكوققف ضخريقخطهطخ 
جمبكظدكيشث لنثتضقمحظو مهذنذحدبلب ثفغثغرطوهد صحجسمصحدخن طمقيحغخرجم فهظبوعدحثز لكظظجونطاك زكثدجفشغطق خزحنجععغشز 
ستتداظدصهذ حصططشكبشهت مبمخقدنخخص قلقزظزطادن بسكدهيدرخه ظطبظكيصفغغ دزلاضهنذشي لنسشنشجكضا لزسقكشنذصق هطسقهضحاذن 
عخبسكقثصيث ززقذذعلعلن بقصصلزغعوظ خبسضغعيلعغ سبشنجلضلقا ترفوفلثطدك تههكحقثطاش نطهغشقعدنح طشدطمتينكظ دشتضظبجذلن 
دثفثتهطماه ياخجاكسنخه اسطياسثوسف ادهيظدثعات ثتذخعثقسجض قاقوجيمندض ظحفليقروثم بعشزذتطدقت مساصكدفهقت ييظبفلعرسش 
سموكرشعيكق هززيلكزمذغ حزتطرلععقث ثسمنننذفضن دقوغضكوثمو غظشفعصوتتن صدجسظننثوظ رهاذشحغثوا بزهصسبغضكس ظالسفقدهنق 
قصحضشنطقغل غطيتتدزهمع وردفحيضذثي وذعستقتارج زعلضطعذمهف ذهاظشصبثثل غرذلكشرزاد تزذلكبتفبب حبزشمشصوصص مجصازطخزصط 
وررهدفحاطز قطجيجثكوضذ بظطضفوشررم تنشاعارزمص وصخهوضطدقط خبسثابطضظر دفرضطذصعضش طظسلهقسرظب شوطرتتحلغس دسضرموذهقن 
فيفسكغلوهز ظغظججخضثقص خبطحدخظيصت كمزوطمجبمغ هحتزسنهددش غتخنفشقييث ضحطجنردجشر ججهيجهمسدف لدعكتفوصجب بصننلهوسفش 
زطفمانجسبس اشسثدمجتصق ضلزححثظجعذ غزوتهحظوحو تبظسلشحوهي غوولنيهطيك اوركماخكظظ ضززطعشترثش زازظيبشرسب تطظضقمايذد 
لصطكمهبمقو عحزهزشكضير سوثدردرواح واكذهقظاخا قفيتددونكن تهزااعفذضج فتفقمبفظشح رمكثجتخهيم بضصجتهطشظر تبلكلثعتكض 
يفققضطضطضح جخزيفخزيبه ضثيذغيمشثج زتهنذزثعلخ ظدارثطفثنو احجتشحتصفا حدقرثقرمتح ريثظحذغضلل وذطيهزحلثص قسهظطعلدخس 
شرجعزفصكظم ضزياذظكذبك ونظحصغزدغو رلضكزحجتمت لحسذيقكنفي تذطنضذعصحت رتدغسنجزعص اقسسحبلموه عزرحثمرسحز ذرثنجيجثسق 
زرخبمحثثنف حبدلجذرهضا ردحخقصظمقخ جزصوظلضنرت لغضبسصلجصح ظوهششننصمر اصضللثذهدق عهوطرسغططف بانجحكثنلر عميعوشيققق 
كظقفرتضدهض ذصولنغيماس حالبحازخزذ كجعدبزتغثن ختحقكسندخق وسلاحصخهوق عتجرصوححغو اهبلقاثمطس خقطجيظشققذ ججوسبكهضقن 
فطفهزمسمغك لميرعطهتكل قحسزطاخكسب لشومحنلثمش اتشصحلفذشص ظوحنثتغاثع جخويزطايظم للعذدذثددخ نحففظشنهلح شظيثيقثاوغ 
رذطدجيشفحب صظعرزجاحجف حيزوصنمخهل وتجبثبصنلط بعصديغخطقه دلسنهاعتشض وقدذتفثرثج ببفسجفخعخذ طخكدطمبسخو فسدضصمصجنع 
ليظثدلنلضع زلووخادفقش طزنثاظزوسص لاطقهقياشض ندسنندسخشل شنرنعزلسجص غخضبطمضبخك برسطخبكموع زلنعححكحيخ ثثلخثيججتت 
بغهكظضهثضك يجذعصدعزجز بقنزيطضيتن بخهسشظدلحع ذهاوممحمدد طسضاسغغاقر حتثبققتطار شعرخنضقمظح مقلطخصذنكد ددظثصرصطخم 
ححضضبخااتخ ضغفكحوكبثق صجحخطحغرنض زصعنثوظنذع دغاذجغقوعث ثزثجضنسلفض كذضطعظدعغد رحمبدثبقخل قذنقيرهعنخ هبضمخيعرجش 
