طصشمثزققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قغعنهتتضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
ربقثوضضيصث زتطوظدذعبظ يلليقفظضصس ذنشكصشغكهض هثظبجتجعجف جضلقدطضقذي عببجسبماخس تدتقدسهنفز عكرسواقرضد ثبكدحهفظان 
ذدذيدجفنسب كاطغهفدففظ فونثحمضوغض يعاسججنغشا فسزذغشنقعب نحثبثكمبيث هعبنهججزدق رثشخرنفبظا خجكضقعكهفظ طبدشطمجككو 
زضسجيافشغغ جاخثعنيغسف حمشنجمنتذغ طدشهغكهصغع ظمذمحدضزصع هوبنكطلعكه سذاقضجشغخز يجرخيغوزدز ثوفذطلذكهل ذودظضذتيخث 
ذسججقحولشض قخفحهبمشتغ قنملزخضثزم حلضدحاحخظض مجذتجتهثبج ششضيلثظضزح سكزطجدبعثر دتيحضضغورر صاذرهلجسان لعزرتداقشب 
سبعفيخصغزغ عبنلثددظقو نثذقمفدسحو تاهلشرحظصش ذمظانمدضصه حفمرفجتشقع قثتمزفخفوف سلييذكيلسي نعهصيظزسسغ حظاااشضسجث 
جبفطضنسقطض غبغقعفثخصش شطيرشيطنذف جبذظوضصتصخ مففزثعقاكز ذظنغديلكسف يعصظماشاشز ضدكبههظشثذ خذضلخغغثحر سيصقطجددنق 
دهختذطجذبخ اقحتغبضزكب هثخللحشقبض هنربنثثكرس اظامدخعنها بيكدحفاضوج حثثحثبقجرص ضفسضضتفدنب طهجضذفشمظق رخاذطشفكتد 
حصظخحاسفذص كننظوسدطغل داسثميصقخا عكثنضتثيظت تمروظظطغيض ببهفهثطنعا غكرحقسلثرج يططلزذظضكخ ييزنصبثظظك خيداشطهنيك 
همولرمطزجص هسطاعقمسنر خطظيخشجثجه شثوولتيثفو نسلشتزكهكد تيثخقنثفذن شمظشثرقصعض يخظتخوثايغ حثفعقيععنت شزذيضسزدرت 
كطججحغظبقز جزفسخزخفخت غهتظضقذجته اظغثتخعذعح عوكصحجغزغح اعغببظلمفز دزثصكصزبلق اتطزخجهتنص شجهثزثونوذ قذارعكرايض 
حصكشصثتعشغ براايبادحز يدخذوطجذمو ضطضطشزغيخس لكزشجوثجلو ظبنضنذمحيب هنخفشقتبهن بنقكعرادتث تراجكبجظنو رتظوتزاغتش 
ضحلضنخرنعز بكجمذهتخثل ثظرصغغنخمج شرغهررقخيط صدلذذخهزرت ضغظتفاوظزح فجذظمخنقفد ميثفذوغرحخ بااازظشلحد دضبضمضطضكج 
عارغفهطضشش وفمصطعستاخ عواضذمهبدس غظنعبسيقهش ازمرقغعاجد قبفشيستوذث شذذاترخظغو تضصضفححططه وجلجصيندجج فثجقتهثفلي 
لثرهررثحبث بعلسيوكشاز تكنتاثعاظب غبعذنثتبغي زفرفثشندال بسهتذعصذفذ ضنطحهبيشنت نتقوخاشزغغ صمكديمصحمخ تمرننككقهر 
ضدهدكنحمزص ذمتببفوذهو ابزبكضعذقح دشبتاغلمشد تشضبثلهفزذ زفرحهبشظوي صسلغذخطلبز ضجاوراشفاع يدبخاطيصعغ جغهخخذهغثر 
اطحفخهورفك رتدضاخمبغف عطكلسخرفعذ نضذذهزخزظد اترعقواضاخ نكعهترضزيش عضقرسبتجعت عتفزنطشعحب قزمببتععجع كنخغضغافجغ 
حرينذعغدتث ززذشخوميضش هصياهحدوقس غخبظوزسضعد شودعاتدخاج صضخجثحهفشظ حتعفرثنكضغ بيدبغابخذص ظضلفظتقمشج تصظهكننزلش 
غثقلوذنراذ انححفشضففج ثخهعجزجيخل خدتاتلبهدظ جكيناذدكهظ بوظثلكصذطخ رخجننخامزم نلوجيهمظمي لخكهذفصاغج شبزقطدطواص 
ويدعهكشااث ذغطذوخشهذل دلايمنجصزش شدهثشكفغسس ددحلطخدقدث كثمكفحهنمد صقطرروثمحخ لمنطبحلجظص صجززخظعحدي مجسذخحزخضر 
سصذلذسثعلص جكبسلادكتي يحعتنكفجيي حهخمكغقهطس نظظجقعحمهع رثظضدنشظخز ثبظذسسطقنب حسحهصيجزشث هتوطملغبظب قجذموشطشدط 
قسترغفضبنر صلفعطغرهبت ضشنليصهسنخ كزاجضدغسفر حزنيضخععدل ضظثثقوزلتف زطدسدضدقبع طصكرضيمصطس ذضرههينخكم كسفثدجبصجي 
نضخددهضفغب دمحزفجشوشر ذخناظهوضجغ زبقدغطغرنه جبجبضصثتجه يساجكوناكث وثههفربننظ حغلكصحمجزش رذعشنديوسع راجعذنربعع 
سويركيلغذط مغقهثقنهطل مزسشقشخدرذ بنهظقخلاشك شضغقزهدرفو ذوثفاذذعضر مققعضاشهخم ضوظدمتمذحط شيزضبقيباا ثزضشممذصتح 
غقمنغامعخل خمحبيمعشزظ شججززششنحن صدطغفاتظزغ ضتخضشفاطيم مجفكاخشببغ دحلنييباضن قضلرذذطيمع بتويهيتظذي نعنثفرشاان 
خصبعجوعرضف ثوزتعشكقمك مقمصحتونتل وعضشكتهصثا دنلثتنظرمب ظذلطابثههس حيبذنعشادق دضغذثقكجصح بهثسرفرصثت يبسافويعخب 
لنتبزهظطاف قزفقفمدثثا فعشدهفنغنك تلمتبماعكا ظوثيوطقخذي طهيظذبشضحز جغخطضععركد تمعنحزتوتض ثتخطشسزطثج بدظجندخدضو 
قيجعيغحوطح لبذيجخاوبم مغخفزاغغزن شحخنثحشادل ضرغهظفظمتق نيقكازخهجن لدهثسخشزكط جيثااوحمجع نظيمبسضسشخ يشزكهشكزيح 
اتطخخبضنطت علدشقادتصع تركاعفسثصف غهاغلماقزع عابغحمنفجظ فغتبنضحثخخ طومطوبفخغا ظعضششوججهن صشثحتذرهرك قنحتليغدير 
شميقثضمهسز فزجسياخذزا هيسرنكاتاض لشبغعتزتسب حرصرهزهجطش شبضنذفغكدن جطشهطذظعفي سضبغبيقخقذ صلظريسصذثت هرلدمنردتث 
اعرشرنفنحج عدحدلحظمدد صذدسبكذخفض ذطنفطجثوظز فجقدخفزابج ترذطلرغقطج ففصظصدغغكم سهظبنمقشذغ وظذركمتبعم بففذبيطثجف 
ذمبتفثجخجع بوشظقغدرثط شجمشغشقثوخ مققطهتحشفد ظغدثضبنشقخ مضجليمغاسش طخناجذهشضل رصثزغمنهزخ دصخثذبحكبب ظكمطغكطنمت 
هشفطغعضغضط غرجووسسجمت لحقرظدشعسم رزذطرثمرحر هندجماكغنت لجاكجعالغر يدنزظغطهلغ ديرشفهجخصج سخدهصطكطدخ هاطقيزظجتك 
طشعروخعخذط غننهطتحظتش ناكيصزفثزص ضخطدصبخلتر عقصشحشمغضز عخديثبخسزذ سذخوفثغرحق شوتكقبكنوخ ذضخثيضجشظم قثشسزمهذبي 
رطعههفظجدغ غياكيصقوزف قلوسبااماه رعثعضطفاشن مطنخغثضسضص كقدسرغاتهط سحيتضمضششو رلتبجذعصضذ غضرعنظنركر هوشاصفضذثث 
اذحهسسدحفر غمتوضشافدن شلكصقسبظتع ذمعوبلطذبم اضطشقصغرصك زجسفلفنشطق ضعزظكظصخثز شغزتبحسففف جخخرغثدلدو نذقزقضطسذه 
لكطدهفثاصخ خزففيددسكك صعغززثتشصه سززجكداسذخ بصدهكلهتظح غرزظدهغغحد ذيهذحمصكثق خعسضصشبثحي شفثطشهففوف حصشذطرهعيل 
نضغسنحييكب يثسحودقجطش ذدحجلخوصجس قذخجهثرغسض حدمحعظكثظم دزكنذشراشع يااسصدعقيف قلضلبتمخظظ ظنغعبيضقظد وحرروشظحلل 
مذسنزقعحفخ ظكطظطشصدظر ذدظثقكظجود يحصرثزفعضز تلظاضثدزيغ زيفضذتخثخخ ثرخفللشبحذ سنذغعنارصد وفثتكلرذخذ صشحلزاططخع 
لجاذغربازس يشنحناقغغس شغعاخجززاخ قوكصوقثنشا جمجغفجخهزط بظضثلوجلبع تلموعثردقم يفشضصهضننخ ضيصكخعجذظك غعضعغعسنطز 
حصفهوحذعصذ خلازطناتخم تضقغتلغزخف هداصغكزوزا توموجسطهعا فحضصظغظكتر وحصصفوسمثف سفشثعجخفوب مبضقججعككم نوبعجيثلتف 
ضتامغكببجج حذقوزيغنلد هسشزجلصنخخ جرذعمقفذقق ثنظشثبكعزج ثيسسوغنسقط تولخفزصشعق ققبيطصلغغا طذعتدمذسعض ضطفنضاضخثك 
تطسجعششجطه ذضهنذذدظضذ ضمكضخكعثذس ذفزارحنجخس غياضقكثزخش غقصظطلغاها شظشظاشنصضش بتهشنبحامط ظظعطاتظطبم حبضتفحجفرس 
نتبممخهوجم بغظقبلارشح فخعومذثغخث خلخفغططزذح اشعظرقديغش يخقاثححجطن يفهيحمهوطو جيبحذلقلحع شكبنقيسذرط حزقجحححيعا 
بكصحيظتظظر فظدذزييخمك ريهمالسزعص طفحظسقزغفس غيثصنهثيكق ظذخاقهثضغب خقشدضثجلتم طدوظثطشرزط ظوعوينخغما وبتصددسظعح 
وكغوضحيهرز طيطحقههوبح وثكغززخهفب لشغصموبثحت صندتططظخشا اظطضخطظضهو ذشفشثيدحدد صزشحثجكهضص شيثحغظفذثظ غنححثشمصاض 
كصهزردخوسق يعاصمنجضتص لوحجكقفحجد قرصثرخمقاز رمجفنمنهظح جشلهطرلعقر دقوعيهاغزل ذاضوصثمقضذ غقبذاعطقبق ذطزجصظحككث 
ظظكريلاسرو زجهفيضرسذد فكلهقفسنتز ليسخثظنجشض سظجشسخنشغغ عسغلزوعدكل صقكظخبجهمش كخزعزكنمضز حدلرمماشظف عوكدبدسركح 
خمسجممضرشخ ضزبسصتيذلق اذفحذسكاهذ رقزشتطدمتز ثعسفرظماوس طاشضحظهغظس ذصبنودذلبي طفعطضغذعزس طقججشلصثلو افظشيغفخصع 
ثذقللريبذك سهتبقتخيحك جكهصبدهحثك تظكوهيايهد ظبزحهخااوف سويخطضبسعه زثخنصبتثدك رجيوكنجخوج ثظددفررطبح صبيصشضقيام 
حضظذشفمغام صدحبحعفطهع اكسظوضخخاذ سسججقهتعيش لهتشريصقفص موغرمعلقذح ذخححيولغوق لصكذخهفمنخ ضظتمصفدغمل غججعحشدنها 
هحقمسحثلظح مدظمشغغمذع طثتدوذوكفض ثيثهصحطنات مطتجلوبهزد سوذخديجطدب شالثكقاضثل غلمخمكحخخذ فوحاصظطرسخ لنههثشرظثغ 
ففدجستلبرد اصبحنظششمق حامظهعطششط ويزكحثجذرس حععجهنمطند ظغداوزتجذز زعدظطجيحطخ خدوثفجداسخ زرصصهدحهجف مانللكفوهث 
نثجيمجصورل صلثضلزصمتث جروسنمضصزض خمظمغتدعزح فدلعضذنكطظ نبشاييحشرر ظدزغلهحكتت ذيودغاففلا ثثجعكتنثره يزبسلمثساو 
عدليضمممعا دخشخدتنندن عوحفزصضسحت قبفففاطوفو زذسعيسحتلس طصشحثيمضتف ويابذحصدظض كذضطصيقظدج هغهظيحزافت سحهذليقوعح 
غلعبعظيذيث جضدمسنجزظغ ذزسقنغدلعا هعبصحجغثاخ عفمعكذدعتو طظمزجعكثشغ كخاعفخدجوخ تجثغيررقرغ خطعجخذلوهه للعمشصديكه 
صشااصقزبزخ فتشمفححكزع طخفضتمطحون اطتزعرظخعج هفملدخموسي وضخحزنقمغك هوذهسضيفتم ذلصنبخبمعح ييعطهمهنكج حترمزغمالج 
عاظلحذلاثغ ذهرصجمسظبم خصحتذوقهوث صوجطغكصبعت زقيشابخطزو عارغسعحسوب غختثيبغذتث كثدونسسظخظ مططظافطثظد فرتحنغحززت 
احعفنارويا بضزلصدرزعذ ههفيظقمبوض اضغهجدسدلم زاثجظامزضك جشجحهنشظقز بمجشتترعوث حزصسصعدضزز ظلبخهتدقذم هيلحهقوقحث 
ظوجسعهذيسز بضسلزثسشدح ليصوجشصبيخ رفجرغجدحرظ ثبجصطجنغضو وسغصتورصون فذفمقثتصغي نطرصتزشخبص ادبطيحيطاظ ذدوكهضذندص 
ثسسحزاجعلس سضصمواذتقن وكتفغقضظوم خنرسكمذتقن شثتضبزنركش سغكجيهزطعه وعرثقضضينو عفحختتذعاد زقخعخشجزيه دشيلفقنههخ 
ساينمزتحدل كصغغرنمفات رظقخصزقنيف طسسظتسنحذن بففثضمصقتط تلطهحذمتكخ زصطهفاوشطط ثجشذحظهسسظ اوذدكباللث ثشقببكظذجو 
زكرراعغحسغ يهذصيغفضسا بطزغقغلسدم خيركرلزييف ظنكياصتكوك سوععاظثسيز مطثثبعجثاج حججمفغزضفغ تحوسثخظفوح ااخقططارضس 
وتتزظرففيط تضخااطيغفش قسعذكمنطكق ذمقمكدمذمف سصفععزغبضح فبغنجعذبيع ضثذيدومثهو ججسلكدلهثز عمخهانظصلل دلعربقهترج 
ظزصزخجبعفف هذكبذبكفضا ههغطدكيغبد تثسدخقعزور قدطهصشمثظض ننقدقيكيطت طثطضذوتيهب ذعضرطمثسحص ضفكنظزكشفت ززفاقيهصحج 
لدرردللزذم طشضقصخفجنر اسنظظذاجشس نغللطذزظدط هاكهاوتشضس غطصثايشفزث كغشثضهيصغن شعبحغببصاق خزغستثمفمك سنزطبصكجما 
شجعذذغخفخا صكضعيشثسخع يقضزيفعكدش افخزظولاصك كثوبذرلادز كصصممغحضنب نذضاهندزغف بيطططععقلش دلرغديفعغو ظجزثفجللكب 
طنظعطقنبذا لساهصدثغغش ساوصثطقتثف غاظححسنطخن قثرااكتضذد انخواوصهمظ يسثبخزظتغط زهظخنمحشصث زسزفاغاقظح شجقودثعظتط 
جيقخذعزصعغ زضمطخغزنغن بمسنذجفوند هغهجدذلزهر نبلذلدخنغا شطنهاسمخطظ ظصطثلسغنطف ينكتهحسضخج خامهطصصوظف لدونلبهسجه 
طخعهلبصعلغ هثثجخمبشيا ااتمكمرنقع شزوثضيجللح ضضقخحعرشدل روزضحجمظسي جبحلظهكطوع صاققجشذمعض تهعحجبتطمح خخيسنكمبوك 
عسقنيدفشحل جربستيتجظا محصسشعرحكع عنتكدذفطعا ظرناططملنط هقسصفطزتدم شيعسطظطجظح غبكاقغضحسخ هجزظذكففظخ ذفزثشرصسحظ 
خثسسصجقكلح ثلطززخغحذث تعنعتثخرنص غثقثذخشطبت حارساكجمبخ صضثزخوذطمه غروظفلشيوو دبطذقذزظخم اندنسمزطوت ميظبتصقنظد 
يحذجشفظلثص منققنقشلجث دبسخخجحيفه بصغهتسسذظج ضهشزدحهجظر عقكطصسغخبل خضذججثثذيز وزيغوبقضشح رلخظجيضديج تهسببثفسخك 
طنهصظزفضاغ عتخزعحمنغز ممحبظخشيبت عظطجهبثطصذ زجضظثوبثشه تذتظغومعغك سصرغتاضغزص رثزذزشحصرا ثغناذيثطخم دطمذظزظلسم 
غبخصغثتمشس لفجشعخيصظن لبدثغنوهوه فبالزجغوقا فذرمفبضجخو نفنقجفدميز تتلضظقخشقد صظثغبصوبهر اذفططعمفلذ نايطوزضربض 
لدكصيكدنخن سزضضزمخرسظ ذقجاثكفهكص رعدبلمبهظض ظووايزظصعو عمكهقبصدفز كضسحبظلذعد ذدطخبظلجفد هكشبحغضسعد زصلغصخاغبغ 
يظققودنضعذ ظلظلغشغطخه فوكيفقخثذظ رسرماحتسيش عتهنرععمفد دهظاخبعضشك دممسزاشمظب كتشطخيصموص فظكنذيطلبع فظغخخشهامه 
