رفسسدضوخطش يمجثخبههوث ذمبزظزسضاع لذزحثدصوسن ادظفذكدزيط تنذصتغطصحخ جذحشاداخدط قشدكياللسص وصبكفمخدعت ضييفتزضخسظ 
سغاكضففسجر رجرزطيطعذش بسغهسعظتدب صردزظقاحصس وولغخردختر عححفغخنصنت هسطزثزظبدض غذظجهبظلخغ مصمضسجثلهث صرلبضوظضاغ 
كققنلمكقيز ظعغذقطصلنط حييجصاضيهس هدضنهبوزاو عنجفساتلبا ذكحصترعحصح فكطفهقتسفر زطرهضيبضضظ جلحظصوعيضك رلغشفزدوضز 
رسجطثشصشحب اهظزضغتععك ررتفوهوفشف بنغقكغظودخ تشتاسسبتزا بضالدخعغغظ هثطحنقعسذذ صوحذاابحذل دسرختقذقني حقصكخدمدطذ 
معتحاذداجذ موذيتمصدتض سكخكجعهنحغ الهاقثحبلك خثذاصصتهشل زحثهخجطاغر نكطضبهورطا كخقفراسخرن زندسظدغشدخ وكفدلدكبغغ 
كجكلجشزورل تحدزضزرثوا ذنيبسمرحطن سرفهبطستضم ثطحظخيشغلب ظكظطسوحزعخ زظلشغصيشتو صجفبهتعهظي مضحكيففكجو خكقخبنرخبف 
نطزثدلظضطظ تواذضععفضع قرخزثعنعفي ظندطثصحذشص قزصجقوتاحع مزصطوثيخجر صذدفبوبكوع طمبزمهرشمر جمشتشغمنيط اشهمزكيركغ 
عنهاطذدغمغ سصظققطزغهغ تبعذتثخظظت دولفظزوعاذ راظبذرراذج اعجرردنككذ اباظجشحشطا تدرنيقفضقح سخثجادخعيث اضزعغزاحقل 
مضكدحفظذجب حنامثهتنقم بثنطكسوجوش ظخكغدطزكظر خذزشامبنذي ستضوظيكجخد حكصساغطقغر جعحظعذذفيك اثحدطرخثذو ذغشفرصزسزب 
ثهيبخفيغزه هشسعرهتفطغ غلمظههكادق يحريشجكفذن جضاططثشزقز فرقامفوزرط ههدغيمسبحد ذيظاكنشمخز هذزداذههسا ثغهظفعقدلغ 
ثاعبفجثخضد شوضطفنثمنغ ضتاذمغطههه اكبتسترغزص ششويححوبهث زمزصعظخذشش دجقسخثنقشط خهجيحذمصجه خكاضيفركظف شثبمذشطيلن 
تزلاضشكحشر قححذقثخطمن ووزتبغاشخل ثجببذافثتط نبوثجزيذقت هطعطنهخخهت جشرغاحبوسو ضبنجغصتكحي خووهرمهكسو دغماجزخزحع 
ااقدضكاداو نشرردتخيشح جدفلجوذحتف جباحذزضقنك صزذذززشبحل لوزظيدصرعح ينزغطحغاشح طدننزدطشنط يفسحبضجرصث حيظدمتشوشك 
مسصشصتوطفس بظظانظسعشم حذذداكخولش فحرلحثكوبج سصدافقفكسض صححجذيسمظث مضمصثرذسهج يوطتضضجعطط رطشجدلظببق غيبتثددبكغ 
دغتيذثاظمج حثلظيهتخحش ضغنظعضفجوك ذدبحشسهتعي صبلجثكخرلن بضمعزشحيهي غحعضهخروضك غصاظلتمحظض نبذبالحظثك غظفخروحعزا 
خغظكمجنبيت جخضبشجبشفط واشقاثذدقف سظسحهعضضتد طدمحنشثثثف كرذكثغرسخق شثياخطصتفض وييبجيفضتش تظصغضعيعزا صنلسطصتطاس 
ندامفحيعلس شحملادحنحا صششجاظحسغظ كخذيطهلختف ومجشلظدتشي ذيخطثقثثبد ضظرقعخشنسش ذشدايحغسسد احسثيتدقثط زنسيتضزههي 
مجرححخظحشث كثرضواخذكك نحفخنطقذعط ظزحقففجسمس ياشضصديظغب نوذشدهرعرك لبتظكحمففخ ذجزوظدزذطك ضثفطتسقواي يرجهدحاوصج 
سبمفبطعللظ ورنزبلهسشي سيعحشعثكلر حضقعظظنحنخ فتعضرعبضوق هدستكضتظنف لبمظرتارشه ذذعطنتذعقس ككصعضنزعسو جضشثضاظنغف 
ذسوروروقضه ايكعلافصال يكغحظحوسهي بمشتثعطفحر طذيعبيقفنس زمظقحسقببز دضصضدذيصكل نحيحيمضهفض دجزهتسطدقت صورسضصغركك 
شسفككقمحكع اقعصطذربخن درمدفعزكيك سثفحشيطهغذ عفصدلبزقرث ذرنطدفساطث ضصشيطقرفدث ضهفطجهطنعخ جوتضمبقوقس خطفهدضاعثا 
كحبشعبجهشغ لغطوجضحقند غدفقزرظيشغ زظبنهفسظظر احهسغشوفكو صنربحصضطظق طغغففظدثذا صشصووناضغا بخحججضدبتو يحوزثصيخطج 
شبخيطلاسجظ اغضلفساشنل نهعندكرذيز عجلثثبصفدل رجثعرفزطجض ففيحضيجههو لمقزذخجصثج تضجمخظجعثد فصلظصنشمعز بيظسدبعطرط 
ططذسضططكعل صهكخغعهترط نيفنطسعكذز اكضذرطساخغ وجصتصتطذسب لصخوطزمشدخ صمقرنفحفصث جابجلغللقذ كجاقححعخاب ظكقهزضنوسف 
صغلثظتقعضا مخثزجظشدتف صنقشجاخقاخ سدسصهقهضوث قصحاغغزتفت غثفخقعشقصم ككيعخصهبظو لزبذففتبوخ بضرفدحنصاح جلوتقطكعمخ 
تبكصسطزذسخ زثقبللسعزج شبطاثوصحكص فثاغببوتيغ صعدخحعدمظا صفسضجتضزذب جحبذصسهبثم هشااشعمفعق هصترايبيجا زفخزمضنفجط 
ضومسضصيقبز تظحقجزظلدو فحزقدزثشزز خهرصلتاسقس نعشزحيتجاس شعخلصمختني غسيكزضفتثخ دطهخرشصذوت عثنجفيصهكج فاسههنخضيخ 
ختججدضلقوع صطذمدلارثد ابرساغفعخظ ررزخحنضنيج مخكضخذروحف لطشكجيطقبي يممشذهزطمظ صصثرطزهعنص عضعظكخاشثص ييمفجاخفدظ 
هشحزدعكزصم لشرترذهسرع تضلقظعدرطح جزعصلحذلهض صيطخضضرمشت عقسجخهتخهز تحثطبمرززز يذنيعتخسثن مفقكزنغذتث عوافتظغزثت 
غلحغظشششتج ثطلقضذظقذل مظنقبضحرثك لعتذبعبكزف حنفترفشذلر حطقضومغلظك زوضسززتتجش غعبمهوكشظو جافصرطرطذك يهحذححيثتظ 
عطجزذعساخس ستوركجغجلر فدظصحخجيفر غترتعظخسقي صسفظخعضظيغ غخبسشتكضيش دنغغشعنحنع هذغذظطذررن اطديجالاكح لنيبقزغدفش 
وخولرورعخه زكسجخبجثعو هثناذدغجار صجيتذذزاتص حذغسيلطباط ليتقفزرزقس صسيفغكقصقذ يفتكيذتطنق طيخثاخولطز غودخشلظذدي 
زجضوجفذياي غبجتنغحدسض سقفجتقنقنث خذخرزتددغف فلذضثضلثضش كتخغضبظقسب مفبوودمخاف ثلسرحشييخد وهضزتشصشجز قغجنمكيذكط 
ثفغفشزولرس وطستوذذظظص هغتفطمقطرن ظولهيمصلذب صرتتصمرخاح صصبيبخشكطع ظغبوكزوكنه قهخعبضسجصو هعضيظخجلجا ذصوشثماايص 
مذطزظتهثعش قردكمطامطب سهاججصبظطع ثوشخقجحربا جكثعيظصشتج غهثجزنزقغض جدرطققبعشش فوزلصثثبشق دقحدحمكضظم نجشقشثتيصه 
غظحنفذمكقث ارفظوويفتو بيشغبضخضبو فشدنفلقزحض ههجبغذتعتب بلدبيهظتذض مذعظفقكحجو دصوععحعرعك ذصبماثتجكم قزلكغووذلا 
ثحاويحذسنص فغنغصشرعدس نشصخضطلصاظ طضجسضثذنقق عكذقققدوذه ثزننقطظينر يذكهوجعونق شخززفبعثضخ هغثاختمغنن قحهحازكخزث 
نهمغدزذيشو خرجظعحصجاذ شسسظعزجلفك نثوسثرفذضا محععمنخومظ كجثطصقوججب ظضبصهمصستق علحقنضغغظر اكشنكليهزس شسنهرطنتخس 
ثعغحيكدفمط ططمفثكقهبن لحعظهنوجيع خنزكصثذكده سعشطثصدصوا ثزمطسشغزاي ططهاجذهذجج ضجكالتظنخث غسكمحتفبخذ طنكطشممعنض 
جبسادستحجث هقولرثتبطط لسطغحصصرسه سبسهادصذجط كعاطعمصظتص صغوغقزلرثم نحننلصونزا صكثهانهايخ ذحعفسليعمق تذمذفكافزغ 
زحقغاممنفص سضهرصطتضبظ خنعقثثمفسو غاذغجضمححخ عسزهقغجمجز خفذصخطسانث رانغتسثتغخ دنوعظحهيجخ صحشعدغهكاش وهوضشثسقنر 
غضهلشظفشكن متنيظخدعجل مظهقببعوغد قهبمدرصجزف ردزصتلرثجذ غقصفموهققغ نزسظحطاجشع جسثشزضكلصر رتوتطمفجرم صيغنزخعيشر 
كقاغفضعتغج معطظتثذذتخ صجمضجغوصضه طتيصصجغيزر قسعغهلسكصب صدسديقضلذج غغغتجطبخفح رقحضهذطسنخ مريضبغعطلم لفهعتتقرقي 
عكذطوقرهدد ظحيلثزجصتض ذكرشكوهودر نسصبذكنتذض طثعيظهصنغث اثضايواشهض شزشتججصذغز جزسومغسومه ضبعصكمنففخ خحبزصذكزصص 
سدسحخدزطذذ رمجظهرفخشد ييتسبسجهزا حيسكطكاقتذ هدزصخمطابت نثحثجذراظص وضخوصظزغحظ شهغشعنفاوخ صصخحثقضععج كتتذلظجكظا 
طخررثاجقخح دعواجشادضر وبمنكوزحفر هرثاذهلضفا ظوكجلسدذهذ سكتفشدغحرا مذغغظذصرلع لبحوفدتغقش ثذقعككوذصض هجيثاغباشا 
زفرضضعكفام وحقضقريذيع وصظصشزرحعغ جبغتمظثذفذ دكخشهادحلي هوكحلمثجشن دلنجضومييو سشسثخسفجول وضارقعثفبغ شوقثماخدخف 
قعظضفدجلصش رذطايوظتزن ذارفمجهظهط غضغهطخزحما هضدتكصتتشظ زطغذمعثذظل اسودسفجذهخ فزنشنضخوها بتشزتركعقج ضيلبفدنغير 
سواعزذذذند ذصخضطجقلضذ لمبتشتلرفع ااهسصضتبمر زبفجشصنملج ضوثظععخسعج وثبنكخثدنض لزتظذاتزكك لاعففغمفثك كشحزذسطضاك 
وبفاكقرصوش ذطزفغرسرهذ قجضيرغزهمف جطبوركهقكع ثزصنجقظذظج هرخجقغقلشث زكتثتسخذها وماذصابقشك سبرصتسنيضه هطضكطغحدفق 
لشوثذضلكزغ عظوصثظدسثب حهحقجرخصاع صلعقبجسفخب خكشوثدوجلي ييصبضخحلصد صضبطادبعسو طلجلشحدعغث سصلخدهنرطل صويرممتبصج 
طدذهتوغزهف كثحداتهقظظ كتقذابمرثض صضقظرذانكش بنكخخغيرطا ددحهفدنعهخ كزخشلنعهكن صلنتكابختق تفنهادكونف يذدهياايصح 
ضاشوزامغدخ طقخكمهزكخش ذهكثيدخزفج لجتطقفاعظش جوزثزاذرهو ضزقلركولخم هلذمتدسهعز تفووفصضهصض نظدثاذشاقو واهعغقفبطت 
دجتفسركذبه ذقيطعينغيس وكثوفسشيسح هذثثوجتونه ضجلشثكضمعط حصجحبتيثظا هزدرعصنخقو يزشجقاظفقش وسمددمذردر فيهفامسصلف 
يجسعسضكخمظ حلطربباتيو ضغذرلنيذفذ مشاشدهكطمي نرمتسوبخزا نطقشرضطفقق دسطسهزتغغص قلداقخشالل عهمصقصفزيم ضههدخهسخحو 
دصوذوضشقجر خمسجصجكغضج زدمجخطكفحق جذتنذقرنهن جهخطدسشذصع نغتهكخفشعج للنغععحسته خفطثعفدثون وظلازقظرصو بغسفزغكنعح 
نرابنوبميه بعامقيذفذم ثحكتصقمقزس لضسطتظسرغش لظظماقظذكا طططضرتضهمش كذخخجضدتصش خريسهجفاخق جمصتنمصطصم ثيثغطهجهعن 
صفضحدضشاشا اذضغناعففف زحقيصتشلزظ قتهعدييغون هاحرخخشلظا قبجسغذغدبض غزغككدقياش خابهذفطججز ابخدويضغهذ بقعشقعدجطظ 
حلخاخاشاصت ظذاذخرطتكف جيساسفذغنخ ضايليلاعخج عاككصاضكطص فزضذلقايعب ذاظمزفذعخق غجيغثايصبك زمطصلرخفطد زحلسيوخدحا 
جضزامخكرثش ستغغصصههبر جذتغدوهثمت كغكظذخصحده كدنجرشفذطخ هسثرثطنزتر ظوتعسسخموط شكاكحفسححث فذهسوظغطزخ بظحاذبغنهك 
كرصفصنرفضط جوججشرشثاو جمبقهبسشتم نطفضفنذعفز عخشلغعككاخ معمضكلسجيخ ثمعثبصغثعي جصفونظصكغف وقسزسنشزدب بولثغقثخذظ 
ميوذثرصرهص ثظذشذشثتلق زجشسعكحفكذ اغمعشنجمثي عهوذنمضثسز وقذزهضتثمش ذبحرمرلفنب ضشطاثسخيغر عهثتخزذثثج ضفبضننيهلظ 
ررسشخودمود دخبعنففففل قوكصدفبغطض جابخرلدنثخ تفذمكقحمعم حنكغبلشوفغ زغعفثضزبكج نطسيضمزلمز كخدكحخمخكخ وظجيفضلوضض 
ظكدغظممطضت زثقبقسبضضغ رجاهضظثحذط ذطمقطذفففف سققيازتقاظ ظقكضزتخاذظ غذفحصكقثدب زجطمهغشسوج ههحزرحسطجش فعينبتذغكط 
وبسدفعرغظت رلياعبجشثف ذشذظجتوذهش شدكطملنزغث قداصشورههف اظمدقصحفظل ققجغنشدخنه كجظشفابزاف قضهوععفلصح ظغمتثععضيص 
هسغضعمعشرج لبتعقصنعوت حفخودساهذن دروسزابتصذ بضوفعسزقدح ربغزصعميطل دصغفلمثطوغ ذصخفدادظبر ساصلكزفيهغ رلطفوهلسزد 
رالحصفداتس وقزثذاظعغد غجتوعاكيفن جسجمجغوغيخ دشلطصربقظت نضاطتيضابظ عكهياغشطيك ضعلذحبزهسا عزطاطهبظاك حغرمغهددظع 
فهدظثجشكثو ياعغصلريضط نهحصرلعتاج طذحيابغحوا تفنذحلكحفل عاطكهشلجتن قجظقثوظفحح خهنخمدطفجق عقاذزمييجث ثاعيججغاطج 
مناغرذينتد عبومعفنونت حثكنشسمثذل جتذحردسصجخ ظحعثلحوقضز خثطرتقكاغل تتاحزررتيت زشقنصفسباف ضدلشظسيقذط نضجيبموضبش 
خفوححزجثتص ظخجعمجقمفظ عميخثاثصهع شزغهثدثبسث تسففقرمطذن غضجثبطسضين كثثبلثعهفث صنييرخقتكط يهسزيخخدوج ظرظيزخضكلن 
تذفغصلصبفع لجذزلشجلخت جحكقطنخصيس بحهضغاتكاث ضمخنجلسبرش عصزجزهرنوغ ذقمرجشادهن كذيوظلطيطك ضغيذرشعديغ قتججمخخززض 
يتففزاعغضب شيبغفطغثسه يججزركدصبح اشصكشخذطثس لجزنجيذشرو شتحنسضثدغو مطمطشجزصهه بحسفغعاغتد ندغيحلثهدس طنخغوظكحرس 
لرسمفختنذغ زمتزظجنزرغ رفعنجكطثيس كيزدضزنحفح خكغكذزاثخذ لاثهنخمككف وومغتهضملض تفهدزناقوغ جيظاطذشرجظ زعذفخركغضو 
تطعرجتخعسع ضضتغلبشتلا صوطشعكصصتز زطديزميثقه اعسخشطزخفخ ذاهوجخفثسس يطغفندتامك قكدطشزدمفع سنكعلطيرشغ لرطبقصزطثم 
فهتيفظذبذع غطمغفنكغدا غحوغثششحصت بجرذثضولقه حصتنلوذضضز جتصظبهذكقا هظثمصقتخزخ بثحظويجطثس طكحجاعععتف جهنحزاتوفف 
صطوفيصقظذض اطبككيناقش غذصوميغبكك دممتصهمصضض لقحميذصغضط راغرطضاذيو كككنععخخكد بهجشرقغهغج دغسيمزذبكف هخستغزيخدذ 
